0.530936-0.403316j 0.13753+0.321308j -0.00139855+0.551498j 0.143436-0.319027j 0.528283+0.410396j 0.23122+0.144883j -0.104165+0.174679j -0.163306+0.152329j -0.00145512+0.120531j -0.161495-0.152778j 0.101021+0.175502j -0.231829+0.142326j -0.0456902+0.0611707j 0.0291052+0.0340681j 0.167612+0.0847913j -0.0316947+0.115623j 0.0598769-0.0713855j -0.00782839+0.0764825j -0.0755694-0.010445j -0.0572056+0.0599188j -0.0397309+0.093507j 0.0453808+0.0685937j 0.0894032-0.0317984j 0.0889369+0.0325791j -0.047132+0.0680862j -0.0399948-0.0953997j -0.0564036-0.0609107j 0.0741744-0.00995618j 0.00357629+0.0746243j -0.0576287-0.0761327j 0.0294806+0.113525j 0.168788-0.0820851j -0.029076+0.0340487j 0.0459394+0.0604057j 
0.162513-0.0436893j 0.0323808-0.202305j -0.327515+0.0922498j -0.00846239+0.136412j 0.180545-0.209981j -0.11577-0.139492j -0.210578+0.0658614j 0.477844+0.391232j 0.295541-0.223848j -0.0749849-0.047093j -0.100439+0.202275j -0.158449-0.403124j 0.043959-0.0479402j 0.0824255+0.0688408j 0.0544279-0.0271382j 0.0443075-0.317491j 0.0057974-0.243852j -0.260243+0.0935183j 0.179698+0.157804j 0.0320834-0.0393822j 0.0589696+0.110214j 0.0917014+0.0677466j 0.00457915+0.0246454j -0.00733727+0.0145166j 0.115881-0.0305552j 0.0591426+0.0232125j -0.189678-0.113161j 0.0322494-0.0360504j -0.043259-0.000134274j -0.0686581-0.0864883j -0.00470787-0.0541833j 0.0551915-0.0273284j -0.0341195-0.210368j -0.303021+0.00779753j 
-0.181906-0.209246j 0.0117071+0.138422j -0.324123-0.0918866j -0.0339323-0.205796j -0.163871-0.0394993j -0.158054+0.400078j -0.0960889-0.203465j 0.0679296-0.0526584j 0.289474+0.229206j -0.481396+0.391369j -0.211489-0.0696239j -0.113836+0.143673j -0.303756-0.00968099j -0.0388306+0.212015j -0.0543211-0.0287961j -0.00292309+0.0596165j -0.0695367+0.0902111j -0.0401708-0.00160245j 0.03484+0.0335718j 0.189253-0.112936j -0.0590925+0.0204112j 0.116847+0.0287727j 0.0066337+0.0145031j -0.00420008+0.0264132j 0.0912205-0.0660135j -0.0595574+0.107317j -0.0308707-0.0386012j 0.175084-0.157871j -0.261873-0.0950055j 0.00433234+0.236484j 0.0421511+0.32144j -0.0543153-0.0298131j 0.0831363-0.0643487j 0.0474508+0.0462606j 
0.0158841-0.0343957j -0.00454004-0.102333j -0.0573361+0.046845j -0.109643+0.0574308j -0.00350326-0.0147993j -0.0381663-0.054136j -0.166509-0.058513j 0.106247+0.143447j -0.0328477+0.220585j 0.256612+0.0881587j -0.0247271-0.137542j -0.208426+0.0371317j -0.016177+0.0239729j -0.0172133-0.0766681j -0.0226376+0.0362833j 0.00980355+0.135976j -0.0431073-0.0232812j 0.0224778-0.14753j 0.0761502-0.117279j -0.024505-0.0143432j 0.16534-0.118446j 0.0364112+0.0362052j 0.0331124-0.0434639j 0.136391+0.420921j -0.00173953+0.0670621j 0.0175485-0.123348j 0.0142211+0.211733j 0.207069-0.164561j -0.130453+0.0585114j -0.108189-0.0303886j -0.0688806-0.169082j 0.00811239-0.0842376j 0.0450714-0.143104j 0.0255216-0.231278j 
0.0234191+0.0207957j 0.0996101+0.0871578j -0.0123911-0.128599j -0.00361714-0.181387j 0.0193334+0.0323841j -0.0860805+0.0290387j -0.0562586+0.058262j 0.10926+0.0507944j 0.0566074+0.140849j 0.168561-0.0556718j -0.10931-0.0356655j -0.0484055+0.13841j 0.0249881+0.0442556j -0.0277624-0.0471097j 0.0368125-0.0595131j -0.0305835-0.010727j 0.000971527+0.194398j -0.127172+0.0932521j 0.149685-0.0368159j -0.106392+0.141172j -0.113532+0.258779j -0.060656-0.0243284j -0.122312-0.440284j -0.130846-0.217091j 0.184573-0.364473j -0.229648+0.031225j -0.073304-0.00231708j 0.0143055+0.107558j 0.118628+0.134851j 0.0274329-0.0533607j -0.105077+0.17141j -0.0508693+0.291457j 0.00649386+0.0954185j -0.0110329-0.061051j 
0.12375+0.0533372j -0.0087755-0.0869292j 0.147892+0.0259548j 0.139837-0.109042j -0.104715-0.0558235j 0.15906-0.0795599j -0.111141-0.109701j 0.0112584-0.0465756j 0.0256117-0.0275729j -0.012885+0.0116426j 0.148829-0.043279j -0.0876303-0.141639j -0.0828716-0.0262804j 0.0445436-0.04808j -0.1999-0.0820303j -0.0513146+0.109309j -0.00301853-0.0743462j 0.183024+0.136943j 0.129481+0.0322791j 0.0909964+0.0878846j -0.180379-0.141666j 0.284257+0.19422j -0.0799578-0.0889962j 0.0544238+0.0113256j 0.181764-0.217005j -0.0371146-0.136171j 0.133212-0.301544j 0.0297394-0.0859352j 0.243199-0.124705j 0.203688-0.0220497j 0.158232-0.144522j 0.124168+0.0922252j 0.000347207-0.109392j 0.13305-0.03099j 
0.101983-0.0585181j -0.143823-0.111934j 0.146823-0.0233298j 0.00677952-0.0804483j -0.122588+0.055218j -0.084809+0.140709j 0.149567+0.0414648j 0.0158282+0.0100096j 0.0235003+0.0257598j -0.0155326-0.048314j -0.108542+0.110875j 0.160728+0.0768396j 0.133401+0.0302639j -0.00209057+0.10719j -0.125921+0.0957966j 0.151008+0.138433j 0.20835+0.0250674j 0.244745+0.119733j 0.019246+0.0792124j -0.13757-0.308885j 0.0408785-0.136309j 0.181503+0.219574j -0.0445737+0.0118563j 0.0883173-0.092181j 0.277563-0.18754j 0.185832-0.134174j -0.0946649+0.0946121j 0.132764-0.0342844j 0.176858-0.13794j -0.00308064+0.0771429j -0.051647-0.108089j 0.199005-0.0881079j 0.0427712+0.0468545j -0.083739+0.026601j 
0.0212379-0.028814j -0.004312+0.178844j 0.0148163-0.128264j 0.101704-0.0910205j 0.0193971-0.0205092j 0.0510749+0.137804j 0.108198-0.0350992j 0.170068+0.0533505j -0.054382+0.1403j 0.108303-0.0524514j 0.0585255+0.059193j 0.0867397+0.0269076j 0.0128482-0.0611125j -0.00816012+0.0954422j -0.0534608-0.291414j 0.106212+0.174609j -0.0258305-0.0534271j -0.112404+0.137582j -0.0100489+0.10698j -0.071193-0.00207482j -0.23288-0.0304526j -0.17882-0.359984j -0.127812+0.222052j -0.12502+0.433082j 0.066712-0.0292645j -0.111724-0.2714j -0.10521-0.145293j -0.148078-0.0407041j 0.133669+0.0871694j 0.000872396+0.194422j 0.0318591-0.00882409j 0.040361+0.0572524j 0.0285153-0.0471164j -0.0250561+0.0437702j 
0.00681804-0.0131563j 0.10914+0.0545628j -0.0545931-0.0474775j 0.00289229-0.103305j -0.0172056-0.0328921j -0.210983-0.0368836j -0.0184769+0.137336j -0.256181+0.0917421j -0.0382905-0.220095j -0.104404+0.142478j -0.167949+0.0613546j -0.0347985+0.0542231j 0.024043+0.231291j 0.0465776+0.143681j -0.0066481-0.0851941j -0.0621029+0.168239j -0.105292+0.0334262j -0.124689-0.0529644j 0.209905+0.163814j -0.0163429+0.207722j -0.0179686-0.117541j 0.00112825-0.0629278j -0.136387+0.424969j -0.0344586-0.0494101j 0.0412719-0.0410752j -0.164944-0.119812j 0.0227332-0.0142666j 0.0785178+0.120656j 0.0235326+0.144824j -0.0434243+0.0256865j 0.00775845-0.137384j 0.0255472+0.0353638j -0.0179471+0.0757011j -0.0168788-0.0233873j 
0.0031462+0.00316191j 0.0258834+0.00411578j -0.00839756-0.024155j 0.030123-0.000935236j 0.00850955-0.0755767j 0.00856236+0.0106824j 0.0460492-0.0314611j -0.0902674+0.0305453j 0.0728948-0.102318j -0.0907484-0.0171892j -0.166318+0.0254124j 0.0694835-0.0252911j 0.0297982-0.000798893j 0.0174704+0.0508247j 0.0136608-0.01053j -0.0390805-0.104451j 0.00216264-0.0317504j 0.0474104+0.141107j -0.0737601-0.0240654j 0.0626594+0.00849723j -0.121469-0.0829724j -0.0133241-0.0735456j -0.0562311+0.0347685j 0.0540288-0.174787j -0.0155407-0.010389j -0.0357202+0.0682593j 0.117318-0.129075j 0.0250259-0.20255j 0.0159865+0.0706074j -0.115298-0.0558712j -0.119091-0.0890921j 0.0767935+0.0659831j -0.0599898-0.156513j 0.153084+0.0776822j 
-0.0132202+0.0112761j 0.0194746-0.00779606j -0.0758661-0.00776505j 0.0608577-0.0240144j -0.0974469-0.0839892j -0.0109402+0.0506958j 0.0307007+0.0563922j 0.00811066+0.090569j -0.0189528-0.128369j 0.032195+0.0705602j 0.0776688+0.133009j -0.0250604-0.0958651j 0.0281637+0.0461651j -0.13315-0.0194406j 0.0387863+0.0239925j 0.105993+0.0223161j -0.023143+0.0902317j -0.0321024-0.00132328j 0.0507627-0.0112837j -0.0184216-0.000301689j -0.0580203-0.00442794j -0.0382484-0.112232j -0.0242872-0.120177j 0.0420427-0.0135528j 0.0296722-0.00585093j -0.00360465-0.138084j -0.17079-0.00268211j -0.0621757+0.13336j -0.148503-0.126206j 0.0468299-0.0120553j 0.0802607-0.0427869j 0.0131391+0.0494193j 0.213699+0.142602j -0.0786862+0.147633j 
