-0.17239-0.145289j -0.152311+0.176545j 0.166789+0.0727967j -0.065739+0.181459j 0.125278+0.0941777j -0.0795278-0.0374435j 0.167786-0.116448j 0.106771+0.174225j 0.00935553-0.0337887j -0.156145+0.181579j -0.117982-0.0511489j 0.00632411-0.0274765j -0.169729+0.0509438j 0.0109511+0.0821098j 0.0345247-0.0347373j 0.00439061+0.115363j -0.0178933+0.0711728j -0.246259-0.158115j -0.147366-0.0160106j 0.10055-0.0621334j 0.0593362+0.147142j -0.00538924+0.177095j -0.0218859-0.0745425j -0.0915025+0.111013j -0.0904522+0.0610951j -0.016985-0.0224225j -0.073803+0.247169j -0.227166-0.0336628j 0.152128+0.0622327j -0.0684158+0.17174j 0.268383-0.0870617j 0.0918598+0.275539j -0.0999746-0.0679862j -0.0739088+0.0949828j 0.029896+0.0516491j -0.0130163-0.00790662j 0.061296+0.0329178j -0.0399109+0.074402j 0.0530396+0.00362486j -0.00896435+0.0202832j 0.00117026+0.0178838j -0.00480874+0.00282122j -0.0202356-0.020724j 0.0327934+0.0128631j -0.0149815+0.00852622j -0.0153373+0.0239916j -0.00963723-0.00963727j 0.0207586-0.0208778j 0.00103076+0.00951541j 0.01645+0.00781835j -0.0131987+0.0176621j 0.0229805+0.0260833j -0.011271-0.0325528j -0.00737642-0.0191572j 0.0276944-0.0049276j -0.00996998-0.00724607j 0.0127293+0.00371861j 0.00834961+0.00917039j 0.0241104-0.0301278j -0.0115014+0.0128328j -0.0109081+0.0135975j -0.0283794-0.0172319j -0.0188722+0.0166501j -0.00581778-0.0153833j 0.000163689-0.00784989j -0.0289748+0.000169319j 0.00989875+0.025292j 0.00355404-0.00571975j 0.00141707-0.0266144j -0.0287866+0.00395911j 0.012045+0.0668556j -0.0656846+0.00949251j 
-0.122207+0.0557644j 0.053484+0.122917j -0.117857+0.222215j -0.229252-0.130608j -0.0741066+0.0188497j 0.22989+0.0665712j -0.13472+0.230847j -0.0260573-0.0662795j 0.0199383-0.046063j 0.0705876+0.2008j -0.0573804-0.0914314j 0.0988802+0.107467j 0.026109+0.108837j -0.0733294-0.0700669j 0.0995455-0.118941j -0.0753778+0.00996743j -0.0252005-0.0721274j -0.135319+0.106212j 0.0269876-0.143283j 0.119999-0.0112203j 0.0431269-0.084225j 0.0605676-0.0247517j -0.162249+0.0488659j 0.170336+0.174822j 0.176104-0.0555409j 0.10344-0.21275j -0.28566-0.134929j 0.0824391-0.210888j 0.00451738+0.10601j -0.116917+0.00845724j 0.0512382-0.255813j 0.254625+0.0516391j 0.102392+0.0327265j 0.0299262-0.10764j -0.0511644-0.0197952j 0.0535211-0.015128j -0.0307788+0.053787j -0.0296315-0.0467236j -0.010188-0.0104782j -0.00209812+0.0355058j 0.0195077+0.0261023j 0.00398037+0.00785934j -0.0118084+0.0227578j 0.0215468-0.0157785j 0.0049788-0.0201818j -0.00622366-0.00666254j -0.0305611-0.00570997j 0.013438-0.00332488j 0.0178666+0.00499631j 0.0201478-0.00730396j 0.0253085-0.00964052j -0.00680344+0.0193436j -0.0129947-0.00670837j -0.00589093-0.00883717j 0.0106221+0.00948662j 0.00335063-0.021687j -0.0105238+0.00800471j -0.0161941-0.008078j -0.00448006-0.0236592j 0.0169955+0.00630806j -0.0141891+0.00277446j 0.0067484-0.00322881j -0.0151033+0.015255j 0.0102592+0.010131j 0.00930067+0.00887186j 0.0144026-0.00306856j 0.00661727-0.0182185j -0.0119637-0.0121384j 0.0316169-0.0124671j -0.0140186-0.0298467j 0.028997+0.0106871j -0.00989629+0.0283113j 
-0.111247-0.0453723j -0.0498787+0.112643j 0.124694+0.00108666j 0.00220929+0.109092j -0.0206773-0.0118821j -0.00024557+0.0267649j -0.0740058+0.00806567j -0.00901699-0.0719803j -0.0257087+0.014729j 0.0273615-0.0171619j 0.00917905+0.0181552j -0.00056214-0.00373287j 0.00993767+0.0106468j -0.011397-0.0118385j -0.0214513-1.18042e-05j 0.0105562-0.0317533j -0.0100165-0.025675j 0.060081-0.00322205j 0.0360249+0.00870407j -0.0141374+0.00817606j -0.014434+0.00349362j -0.00836512-0.0373786j 0.00802422+0.0318416j 0.012108-0.0489976j -0.000782815-0.0241042j 0.00893386-0.00741259j -0.0157202-0.0789526j 0.0611464-0.0248098j 0.00160315-0.0898765j 0.0836453-0.0137214j -0.0452754+0.102142j -0.0972876-0.0522921j 0.158934+0.155467j 0.167552-0.141985j -0.0207812+0.00193578j -0.0178417+0.0105344j 0.0701825+0.089358j -0.0643095+0.130966j 0.12656+0.058468j -0.0694212-0.0838795j -0.0678575+0.0375359j 0.0622041+0.0948697j 0.0496021-0.0780291j 0.0161475+0.101879j 0.0426216-0.0307725j -0.0472817+0.0694924j -0.0662173+0.0577999j 0.134105-0.0558747j -0.0569005+0.0732731j -0.0507107-0.00298918j -0.0161341+0.0885173j 0.016632+0.107868j -0.0183876-0.0309908j -0.0230157-0.041011j 0.112467+0.0381989j -0.0774071-0.065618j -0.014448-0.1285j 0.091884+0.0472689j 0.0766143-0.00942845j -0.0171937+0.0560853j -0.0326778+0.0945831j -0.0290929-2.76153e-06j -0.0316063+0.055124j -0.114319+0.0616492j 0.143291+0.0703612j 0.00891766-0.0486913j 0.102782+0.00913952j -0.00757693-0.0973066j -0.0995354-0.184305j -0.198705+0.120949j 0.0199116+0.193827j -0.193038+0.0127719j 
0.0831919-0.0891777j -0.087821-0.0820446j 0.0129563-0.0365325j 0.00913432+0.0183976j 0.0363758+0.0939056j -0.0558566+0.0755144j -0.0654734+0.00521881j -0.0581573-0.0187983j 0.0447412+0.0242252j 0.0208+0.0134496j -0.0199217+0.0394152j 0.0188928+0.0294398j 0.00822252+0.0236001j 0.022067-0.00471159j 0.0102259-0.0131579j -0.0062887+0.0056135j 0.000730657-0.00226629j -0.0103492+0.0237296j -0.010434-0.0186897j 0.0255077+0.00866456j 0.0236822+0.0159034j 0.00841204-0.00648356j -0.0481204+0.00086051j 0.0136864+0.0283823j 0.00352097-0.0381843j -0.0140806-0.0011723j 0.00831353-0.019662j 0.0175688+0.0299743j 0.0771523+0.0598214j -0.0649611+0.0810977j -0.0167121-0.0735744j 0.0674823-0.0187652j 0.0584315-0.0208331j 0.00332908-0.0571506j 0.00328441-0.166429j 0.271975-0.0948676j 0.193887+0.104071j 0.110613+0.16902j -0.0317266-0.150698j -0.0266871-0.105879j -0.115519+0.00934976j 0.0440022-0.0665793j 0.108291-0.034812j -0.0826293+0.149471j -0.163169+0.0789315j -0.0728494-0.134164j -0.0110702+0.0375154j -0.00101267+0.0172083j -0.0390285-0.00569216j -0.0312399-0.0107609j -0.061606-0.0403658j 0.0765777-0.0179353j 0.0410594-0.0873893j 0.0753284+0.140172j -0.0646147-0.0446846j 0.00221793-0.084106j 0.0852771-0.0721232j 0.0332652+0.0831191j 0.0818088+0.147853j -0.0875765-0.0904124j -0.0547589+0.00721598j 0.0415118+0.0897559j 0.234846-0.0878707j 0.0355044-0.0411773j 0.0235146-0.196767j -0.0825177+0.10655j 0.161815-0.0358882j -0.0687995-0.116568j -0.121138+0.0960083j 0.110782+0.143993j -0.19183-0.0291881j 0.026251-0.189211j 
0.0354486+0.0796574j 0.0797114-0.0361814j 0.0462177+0.0893473j -0.0753674+0.0552337j 0.064239-0.0202222j 0.0219047+0.0652912j -0.0404695+0.00741816j -0.02385+0.0325198j 0.0097083+0.0560043j -0.0587018-0.0116727j -0.028119+0.0130818j -0.0277346+0.00695779j 0.0265441+0.00400053j 0.0196733-0.0101793j -0.00921493+0.0261645j 0.0048977-0.00570989j 0.0157539+0.0105546j 0.0144839-0.00422242j 0.0081994+0.0109339j -0.0164383+0.0285643j 0.00924177+0.0139462j 0.0227266+0.00920472j 0.0184203+0.019685j -0.0180677-0.00602902j -0.0051626+0.025982j -0.00413454-0.00398691j -0.0001674+0.0366563j -0.0341461-0.00367657j -0.074127+0.0300595j -0.0281513-0.0789303j 0.0692859+0.0606173j -0.0562927+0.0730945j -0.0960835+0.144921j 0.148239+0.0861316j -0.122475-0.0548529j 0.031873-0.208611j 0.129264+0.0130666j 0.0478896-0.0306906j -0.0846748-0.174804j 0.226577-0.0330704j -0.0944656-0.0801607j 0.15388-0.0134715j 0.00162504+0.0337165j 0.117024+0.00328678j -0.0576309-0.109135j 0.00503749+0.0789909j -0.0431129+0.150076j 0.0125781+0.0246065j 0.0330742-0.163659j 0.00949325+0.112641j 0.0309407-0.011352j -0.0450975+0.0565625j -0.0147836-0.084155j -0.0305856+0.09606j 0.0514641-0.00567654j -0.0428612-0.133894j -0.0417824+0.0279169j -0.16153-0.00669572j 0.064753-0.154823j 0.0529531+0.0230688j -0.173778-0.082094j -0.194326+0.0288259j 0.0971427+0.0541584j 0.0576554-0.242742j -0.136452+0.0557108j 0.241663-0.0148836j -0.117253-0.276532j -0.188995+0.127831j -0.105334-0.150445j -0.137311+0.0907652j 0.0125206-0.0718818j 0.0731785+0.0119205j 
0.060166+0.0451978j 0.0497052-0.0605428j -0.0731728-0.0139304j 0.00955908-0.0681761j 0.0011484-0.00685453j 0.0171071-0.0165827j 0.0332802+0.0111942j -0.00632533+0.0281292j 0.00828594-0.00362878j -0.00967809-0.00165643j 0.00783616-0.0141898j -0.00599757-0.00429661j 0.00360325-0.0158439j 0.00715054+0.00123908j 0.00611193+0.00745561j -0.00722757+0.0122712j 0.0076831+0.0107712j -0.0156029+0.00832918j -0.00767329-3.56111e-05j 0.00102117+0.000813617j -0.00354488-0.00963427j 0.00634008+0.010111j 0.00270866-0.00922077j -0.000651944+0.0158357j 0.00400601+0.0131248j -0.00175783+0.00564835j 0.011807+0.0275634j -0.0244616+0.0137197j -0.022439+0.0347468j -0.0268696-0.0130909j 0.0158177-0.0389004j 0.0320866+0.0154877j -0.0659113-0.0816723j -0.0921163+0.0537663j 0.0199892-0.00776617j -0.0113341-0.0109523j -0.0341393-0.0991856j 0.0541621-0.0729594j -0.0726968-0.037203j 0.0622104+0.0737521j 0.0645097-0.0411605j -0.0534833-0.0655672j -0.0601643+0.0503137j -0.0150836-0.0904967j -0.0183191-0.00935034j 0.0554136-0.0267629j 0.0568557-0.0397117j -0.116428+0.0183532j 0.0488784-0.047657j 0.0301269+0.00952303j 0.0245428-0.0678884j -0.0271761-0.0769947j 0.0133102+0.0378946j 0.00144+0.00874134j -0.0725968-0.014922j 0.0387015+0.0484763j 0.0034187+0.104711j -0.0675469-0.0446444j -0.0472328-0.00409436j 0.025969-0.0351922j 0.00903186-0.0764447j 0.0274256+0.000197693j 0.00134756-0.03306j 0.0701298-0.0575532j -0.094078-0.000374149j 0.0289422+0.02218j -0.0808814+0.017846j 0.0404108+0.0465793j 0.0813561+0.0784083j 0.0798725-0.103863j -0.0161389-0.107816j 0.102672-0.00954935j 
-0.0521433+0.00896449j 0.00798225+0.050725j 0.0244766+0.0342282j -0.025696+0.0241036j -0.00797424-0.0296717j 0.020521-0.00773759j -0.00188624+0.00239489j 0.0209442-0.00789976j -0.0204652-0.00605782j -0.0111185+0.00218082j 0.010009-0.009494j -0.00112959-0.0111127j -0.000348832-0.00241322j -0.00921055+0.00466387j -0.00729263-0.00160954j -0.001767-0.00796568j -0.00364786-0.00346361j 0.00293685-0.0139581j 0.00442298+0.00289896j -0.00621588+0.00398667j -0.00966092-0.00493873j -0.000722817+0.00410411j 0.0113799+0.0073975j -0.00023996-0.00925375j -8.03474e-05+0.0068063j 0.00903442-0.0126196j -0.0111888-0.00716906j -4.26305e-05-0.0107119j -0.0157543-0.0287113j 0.0284404-0.0237064j -0.000592697+0.0351795j -0.0335994+0.00550533j -0.00758098+0.0463886j 0.041599+0.0109382j -0.0393148+0.0388469j -0.0905237-0.00470261j -0.0394437-0.0104052j -0.0457377-0.0310919j 0.0367934+0.0567895j 0.0192134+0.0185469j 0.00707473+0.0228616j -0.0379845+0.0538308j -0.0524571-0.00980923j 0.0359626-0.0349262j 0.0647368-0.0482693j 0.0178166+0.0842572j -0.0184336-0.0011254j 0.0319098-0.00876019j 0.01237+0.0046981j -0.00397483+0.012144j 0.0283618+0.0340387j -0.0284432+0.0183152j -0.0264408+0.0361536j -0.031535-0.0573465j 0.0711162+0.0207885j -0.0388826+0.008003j -0.0481208+0.00355203j 0.00228854-0.0372314j -3.4832e-05-0.0743991j 0.0494891+0.0516571j -0.00212617+0.0285454j -0.0433148-0.0393919j -0.0805729+0.0631531j -0.0330575+0.00535614j 0.0348052+0.0684582j 0.0201788-0.0792715j -0.0297171+0.0102131j -0.001418+0.000406447j 0.00619893-0.0598625j -0.0765202-0.0034543j 0.0599157+0.0258854j -0.0225238+0.0599841j 
-0.00433277-0.00688318j -0.00567264+0.00257271j 0.0054369+0.00612484j -0.00646284+0.00576239j -0.00718475-0.00824595j 0.000721444+0.00821121j -0.0106251+0.0100945j 0.00543779-0.00669714j -0.00695551+0.0041316j 0.00149828-0.0125095j 0.00849488-0.00643276j -0.00662759+0.00875167j 0.00652639-0.000837158j -0.00103177+0.00957859j 0.00855556+0.00184947j -0.012796-0.00229294j -0.00215776+0.00276684j 0.00205839+0.00329723j 0.00807359+0.00566511j 0.00614615+0.00763268j -0.0102958-0.00237345j 0.00539538+0.00855187j 0.00334419+0.00307038j 0.00824274+0.0114204j -0.00532889-0.00541128j 0.0123774-0.00544999j 0.010161-0.00101302j -0.0141285+0.0113211j -0.0061024-0.00455749j 0.00200732-0.0078056j -0.00977213-0.00649202j 0.00378695-0.00522879j -0.0129621-0.0123711j -0.011307+0.0120946j -0.0147887-0.0126287j -0.00407211-0.0160354j 0.00188614-0.0187491j 0.0178401-0.00984051j 0.00412038+0.0229719j -0.00330363+0.0142324j 0.00602221-0.0515316j 0.0549712-0.00621665j 0.0314299+0.00261958j -0.0172272+0.0198212j 0.00399468-0.00733318j -0.0189974-0.0201816j 0.0263674+0.026604j -0.000160535-0.0188334j 0.00960012-0.0131545j 0.0157045+0.0202717j -0.0085751+0.024053j -0.00591821+0.0406566j 0.0199907-0.0235817j -0.0280147+0.0125988j 0.00836269-0.00958325j -0.00569267-0.00962378j 0.0054254-0.000112479j -0.0120651+0.0119615j 0.00258428-0.00750509j -0.000976293-0.0203549j -0.0458387-0.0227285j -0.0171091-0.00200381j -0.0269967+0.0234092j 0.0269003+0.0161085j 0.00101404+0.00246906j 0.00583994-0.00549565j -0.00955904+0.00333319j 0.0112493+0.0218337j -0.013889+0.0313783j 0.0288973+0.00437135j -0.00552652+0.0080317j -0.00640821-0.00530647j 
0.00920393+0.00425654j 0.00401546-0.00764592j -0.0239738-0.00492623j 0.00560733-0.0202071j 0.0143844-0.0199014j 0.0140149-0.013348j 0.0152967+0.00167287j -0.0104832+0.0198275j 0.00283998-0.00127503j 0.0253236+0.0104257j -0.00412654-0.0100639j -0.0325207-0.0115208j -0.00843622-0.00950127j 0.00564135-0.0148277j 0.00729547+0.012867j 0.00851341+0.0110762j 0.0122402-0.0028198j 0.000877276+0.0330297j 0.0019582+0.0122045j 0.00152947+0.00223222j -0.0127241+0.00438123j -0.000396259-0.0111142j -0.00143131+0.0010958j 0.00760563+0.000647105j 0.00368915-0.00291111j 0.00290176+0.0265258j 0.00408173-0.00888041j 0.00984962-0.0182169j 0.0152243+0.02032j -0.0134891+0.0133333j -0.0030509+0.00492276j -0.00650984-0.00472827j -0.0197301+0.000611381j 0.000407092+0.0197606j -0.0114897-0.00980498j -0.00413988-0.0196643j 0.00362614-0.00630711j 0.00208917-0.00517481j 0.000223361+0.0140994j 0.00201094+0.00945741j -0.00195171-0.0125335j 0.0026704-0.00561109j 0.00413649-0.00576671j -0.010056+0.00265771j 0.00899062-0.00781024j -0.00222695+0.000885506j 0.0121834+0.00992946j -0.00296524-0.00593275j 0.0124128-0.00722931j 0.00212457+0.00518255j 0.00684034+0.0120943j -0.00335042+0.00175784j 0.00494811+0.00796311j -0.00675222+0.00410265j 0.00727661-0.0133837j -0.0107067-0.00124064j -0.0086285+0.00950382j -0.00275371-0.00992577j -0.00178489-0.00604759j 0.0138263-0.00833695j -0.0121487-0.00602744j -0.011557-0.00611386j -0.0113015+0.0193784j 0.0188567+0.0018556j 0.00345916-0.000802347j 0.000620551-0.0107514j -0.00749734+0.00283693j 0.0130463-0.0084598j -0.00433813+0.0233041j 0.0202109+0.00733073j -0.00533778-0.0111885j 0.0111267-0.00518016j 
-0.00543502+0.00510849j 0.00661268+0.00437556j 0.012303+0.0044886j -0.00214531+0.00828021j -0.0186596-0.011438j -0.00305514-7.5749e-05j -0.0103348+0.00813059j -0.00199494-0.00195075j -0.00505566-0.00537069j 0.0154089+3.4647e-06j 0.0253967-0.0182202j -0.0260253-0.00702603j -0.00739117-0.00494163j -0.00982978+0.00450182j 0.0145722+0.0218339j -0.00300077-0.00874846j 0.00775955+0.0022615j -0.0145975+0.0193263j -0.00189207+0.00779859j 0.00255072+0.00655103j -0.0261272-0.00430797j 0.00512061+0.0128844j 0.00807275-0.00677636j 0.0144396+0.0125938j 0.0029085-0.00523064j 0.0208768-0.00591557j 0.00456666+0.00663133j -0.0303586+0.00170535j -0.0117671+0.00724314j -0.00864691-0.0139349j -0.00408762+0.00943421j -0.0106443-0.00290378j 0.00607699-0.00606444j -0.00711888-0.00619607j 0.0122189+0.00656758j 0.00547267+0.0253699j -0.0167515+0.0135298j -0.0114141-0.00497852j -0.00861785-0.0136767j 0.00219512-0.00641849j -0.00669548+0.0201566j -0.0147863-0.00809531j -0.0112847+0.00432762j 0.0186289-0.0127604j -0.00472683+0.00753989j 0.00435218+0.00975468j -0.0172245-0.0158006j -0.0012917+0.0144818j -0.014331+0.00581934j -0.00351905-0.0114411j 0.00180256-0.00917873j 0.00398333-0.0131706j -0.0163923-0.00182074j 0.0178116-0.000351999j -0.0100813+0.0159816j 0.0166577-0.00156513j -0.00542895-0.00188412j 0.00590969-0.000680859j -0.00683429+0.00154894j -0.00690725+0.0161915j 0.0181188+0.0117113j 0.00911496+0.00674359j 0.0111056-0.0192121j -0.020462-0.00280887j -0.0132174-0.00297j -0.00125547+0.00532023j -0.000115038-0.00486611j -0.0217233+0.00207419j 0.0102013-0.017874j -0.0108062-0.01082j 0.0101429-0.00389426j 0.00410329+0.0108755j 
-0.000358628-0.00192674j -0.00278055+0.000768398j -0.006025-0.0109138j 0.0084077-0.00134065j 0.0187686+0.0131098j -0.0088895+0.0189328j -0.00748327-0.0116763j 0.00074971+0.0117318j 0.0026397-0.00156741j -0.00342927+0.00599832j -0.000270754-0.016088j -0.00998552+0.00237819j -0.00883052+0.0034434j -0.0141621+0.00272878j 0.00368941+0.00336643j -0.00672489-0.0130135j 0.0098083-0.00266015j -0.00291663+0.000561644j -0.00711589+0.00423153j -0.0130717-0.00462453j -0.00265859-0.00893764j -0.00846394-0.00149657j 0.0100296-0.0104612j 0.0122567-0.0267869j 0.00339967-0.00812939j -0.0111345-0.0130877j -0.0140881+0.00576758j 0.00137174-0.00788294j 0.0111918-0.000476503j 0.00195166+0.0117052j -0.00769615-0.004113j 0.00441846-0.0076115j 0.0097548+0.0116131j 0.0137956-0.0100749j -0.00545774-0.0297936j 0.0270541+0.0198743j -0.0423067-0.000572774j 0.0215199-0.0349963j 0.00994387-0.0163823j 0.0112651+0.0364534j 0.0178776-0.00710142j 0.0138722+0.0156709j -0.0114625+0.000628228j 0.0133793-0.00216811j -0.0078735+0.00174637j -0.00984162+0.012602j 0.0157881+0.0124764j 0.00668386-0.0102636j -0.000415356-0.00981416j -0.0194837+0.0214118j 0.00494191-0.00547675j -0.00696708+0.0182203j -0.0137114-0.0208976j -0.0263426+0.0027902j 0.0112126-0.00645515j -0.00595074-0.00715433j 0.00197247-0.0102099j -0.0167755-0.014344j 0.0237653+0.00728007j -0.0161901-0.0157812j -0.0160461+0.0142994j 0.0129679-0.0106765j 0.00757886-0.017314j 0.00733969-0.0132071j -0.00632822-0.0246348j -0.0356613-0.0309612j -0.0489472+0.0290428j 0.00664063+0.030767j 0.00302689-0.00650804j -0.00725846-0.00558083j -0.000581758+0.00583288j -0.00549845-0.000992959j 
