0.340647-0j 0.197811-0j -0.426696-0j -0.332244-0j -0.117095-0j 0-0j 0.0361152-0j 0-0j 0-0j 0.176928-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.197811-0j 0.00473648-0j -0.00107976-0j -0.200305-0j -0.282392-0j 0-0j -0.178322-0j 0-0j 0-0j 0.216691-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.426696-0j 0.00107976-0j 0.000841721-0j 0.141637-0j -0.609144-0j 0-0j 0.126092-0j 0-0j 0-0j -0.153224-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.332244-0j 0.200305-0j 0.141637-0j -0.332218-0j -0.118553-0j 0-0j -0.404125-0j 0-0j 0-0j -0.176928-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.117095-0j -0.282392-0j 0.609144-0j 0.118553-0j -0.335891-0j 0-0j -0.369716-0j 0-0j 0-0j 0.125107-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0.00213364-0j 0-0j 0.142513-0j 0.00110818-0j 0-0j 0.14075-0j -0.303609-0j -0.384844-0j -0.176009-0j 0.473904-0j -0.1605-0j 0.288033-0j 0.0738122-0j 
-0.0361152-0j 0.178322-0j 0.126092-0j -0.404125-0j 0.369716-0j 0-0j -0.471579-0j 0-0j 0-0j -0.0395622-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j -0.142513-0j 0-0j 0.382824-0j 0.152264-0j 0-0j -0.373381-0j -0.25966-0j 0.0802502-0j -0.0503859-0j 0.0802502-0j 0.138997-0j -0.249444-0j 0.0126887-0j 
0-0j 0-0j 0-0j 0-0j 0-0j -0.00110818-0j 0-0j 0.152264-0j 0.00504953-0j 0-0j -0.154184-0j -0.109024-0j -0.204938-0j -0.188052-0j 0.101509-0j 0.175819-0j 0.0621616-0j -0.0808572-0j 
-0.176928-0j -0.216691-0j -0.153224-0j -0.176928-0j -0.125107-0j 0-0j -0.0395622-0j 0-0j 0-0j 0.806186-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0.14075-0j 0-0j 0.373381-0j 0.154184-0j 0-0j -0.373351-0j 0.0851115-0j -0.0833042-0j -0.250694-0j -0.0802502-0j -0.138997-0j -0.049143-0j -0.244939-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0.303609-0j 0-0j -0.25966-0j -0.109024-0j 0-0j -0.0851115-0j -0.0663483-0j 0.058905-0j -0.54077-0j 0.0567455-0j 0.098286-0j 0.467695-0j 0.173198-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0.384844-0j 0-0j 0.0802502-0j -0.204938-0j 0-0j 0.0833042-0j 0.058905-0j -0.44646-0j 0.030237-0j -0.273609-0j 0.092665-0j 0.032762-0j -0.408226-0j 
0-0j 0-0j 0-0j 0-0j 0-0j -0.176009-0j 0-0j 0.0503859-0j 0.188052-0j 0-0j -0.250694-0j 0.54077-0j -0.030237-0j -0.316906-0j -0.032762-0j -0.0567455-0j 0.101835-0j -0.202822-0j 
0-0j 0-0j 0-0j 0-0j 0-0j -0.473904-0j 0-0j 0.0802502-0j 0.101509-0j 0-0j 0.0802502-0j 0.0567455-0j -0.273609-0j 0.032762-0j 0.399282-0j 0.092665-0j 0.032762-0j 0.00845912-0j 
0-0j 0-0j 0-0j 0-0j 0-0j -0.1605-0j 0-0j -0.138997-0j -0.175819-0j 0-0j -0.138997-0j -0.098286-0j -0.092665-0j -0.0567455-0j -0.092665-0j 0.8395-0j -0.0567455-0j -0.0146516-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0.288033-0j 0-0j 0.249444-0j -0.0621616-0j 0-0j -0.049143-0j -0.467695-0j -0.032762-0j 0.101835-0j -0.032762-0j -0.0567455-0j -0.135638-0j -0.00518013-0j 
0-0j 0-0j 0-0j 0-0j 0-0j -0.0738122-0j 0-0j 0.0126887-0j -0.0808572-0j 0-0j 0.244939-0j 0.173198-0j -0.408226-0j 0.202822-0j 0.00845912-0j 0.0146516-0j 0.00518013-0j -0.264795-0j 
