-0.00766018-0.024959j -0.0287382+0.0108801j -0.00798507+0.00119468j -0.00383881+0.00895892j -0.010388-0.00670468j 0.00757368-0.001333j -0.00881279-0.00595365j 0.00886097+0.00444216j -0.00495047-0.00988888j -0.0370211-0.00608749j -0.00520523+0.028538j -0.00788549-0.0237326j -0.00355558+0.0449487j -0.0187846+0.0185895j -0.0012203-0.026153j 0.0475828-0.00505522j -0.021381+0.018759j 0.00410388+0.00113493j -0.00343183+0.0144786j -0.026892-0.0182073j 0.0184018+0.0136709j 0.00938234+0.00801987j 0.0336215+0.0216059j -0.0172874-0.0400944j -0.0132022-0.0172639j -0.0115282+0.00118125j 0.00742815+0.00139766j 0.00110682+0.0251908j 0.00347188-0.0282263j -0.014747-0.0127732j 0.0486661-0.0352944j 0.0114085+0.00158185j 1.5858e-05+0.0400451j -0.0444296+0.000189267j 
0.00237221+0.0203419j 0.0240369-0.00740797j -1.12691e-05+0.00132754j -0.00276792-0.00524365j 0.0117888-0.0011757j -0.0076685+0.0011036j 0.0096402+0.0106633j -0.0105846+0.00478997j 0.00735808+0.00113102j 0.0268616+0.00377239j 0.00846578-0.0232623j -0.00989638+0.00708925j 0.00488062-0.0264766j 0.0144396+0.0136892j 0.0147276+0.0226116j -0.0170174+0.00142768j 0.00874204+0.000225193j 0.0118301-0.00631272j 0.00789324+0.0109402j 0.0110748+0.00605443j -0.0225299+0.00848831j 0.00657995-0.00622193j -0.0126957-0.00909263j 0.00422088+0.0240694j -0.000255284+0.0217209j -0.0146908+0.00950566j 0.00204082-0.00710042j 0.00597798-0.00525416j 0.00835184+0.01817j 0.00644863+0.00250286j -0.0283721+0.0071335j -0.00580077+0.027755j -0.0111112+0.0367194j -0.0424174-0.0131503j 
-0.0361011-0.00149738j -0.00560942+0.0474715j -0.0102833-0.00696036j -0.0172052+0.00197154j -0.0213688+0.00461202j -0.0057496+0.0159905j -0.0112434+0.00281649j -0.0133201+0.014519j 0.00698351-0.0195521j -0.0136263-0.0359615j 0.0122182-0.0103784j 0.00950133-0.0244042j -0.0152093+0.00184287j 0.0309144-0.00122025j 0.0313029+0.000800153j -0.00500341+0.00265731j -0.01904-0.0111238j 0.0264924-0.00162707j -0.0260546-0.0258551j 0.0144234+0.00288771j -0.00282701+0.00307993j -0.0174152-0.0194577j 0.0149564+0.0216646j 0.0219537+0.0318175j 0.00626684-0.00257608j 0.00338884-0.0267576j -0.00127936-0.00144851j -0.00973918+0.00591729j 0.00256284+0.00547623j -0.00297843-0.0454805j 0.0114127-0.00392479j -0.0370404+0.00494219j 0.0442208-0.0642339j 0.0594732+0.02673j 
-0.000830052-0.0174456j -0.0179917+0.00371591j -0.0395002+0.0132687j 0.0238996+0.0381622j -0.00715029-0.00535716j 0.0174489+0.0254345j 0.00661739-0.00538092j 0.0203769-0.0279746j 0.0117377-0.0109036j -0.00154137+7.57091e-05j 0.0127889-0.00759298j 0.00417622-0.00910152j 0.00331022+0.00162283j 0.0090587+0.00129j 0.00480775+0.00416989j -0.00252962-0.00266295j -0.00293739+0.00114057j 0.0087959-0.00189553j -0.00611714-0.00136579j 0.00136153+0.00243196j -0.000269535-0.00124195j -0.00348748-0.00296891j 0.00437382+0.00332254j 0.00468932+0.00663525j -0.00306377-0.00108918j -0.000144972-0.00512967j 0.000908223+0.00226973j 0.000418505-0.000151087j 0.00128925+0.00107204j -0.000339336-0.0075974j -1.00899e-05-0.00361071j -0.0067099+0.00163858j 0.00529146-0.0109123j 0.00940947+0.00212395j 
-0.0436165-0.0335744j -0.0391395+0.0545605j -0.0150448-0.0200539j -0.0130824+0.00782646j -0.00934477+0.00740448j -0.0153647+0.00731519j -0.0330577-0.00579746j 0.000979394-0.0037397j -0.00614819+0.016246j 0.00214413-0.0379871j -0.00903017-0.00778989j 0.00874942+0.0135919j -0.0161993-0.00294977j 0.0339603-0.0199275j -0.00511339-0.0123672j -0.0183924-0.00584192j -0.00809232-0.00192667j 0.0233502-0.00120875j -0.0302873-0.00840171j 0.00973243-6.11882e-05j -0.00106739+0.000906516j -0.0223496-0.0142223j 0.0239204+0.0269126j 0.0302181+0.0335773j 0.00276989-0.0086643j -0.0018544-0.0155897j 0.00197198+0.00508615j 0.0015627-0.00315707j 0.0127415+0.00808211j 0.00122257-0.0436628j 0.00603996-0.0121208j -0.0320749+0.0124245j 0.0242039-0.0447806j 0.0364883+0.00595839j 
-0.0173187+0.00371464j -0.00280278+0.0173866j -0.000196371+0.00187746j 0.000483758+0.00539522j -0.020317-0.0122906j -0.00971768+0.000952127j 0.00251725-0.00779464j 0.0019988+0.0116308j -0.00136513-0.0121767j 0.00537671-0.0139938j 0.00816768-0.0114374j -0.000404499-0.0079824j -0.00719547+0.00484509j 0.00122446+0.0149392j 0.0165731-0.0104507j 0.0124911+0.00702983j -0.0302538-0.00327667j 0.0103889+0.0198953j -0.00713442-0.00571209j -0.002079+0.0156262j -0.00786201-0.0125308j -0.0116254-0.00566731j -0.00323383+0.0179053j 0.00542674+0.00978119j -0.010029-0.00681662j 0.0101049-0.00155299j -0.00147921+0.0165931j 0.00485485-0.0106389j -0.00583283+0.0126552j 0.0160253-0.000541807j -0.00435657-0.00382679j -0.0105758-0.00830816j -0.000155524-0.0355056j 0.0361451-0.00786069j 
-0.0150623-0.00573589j -0.00807689+0.0131456j 0.00161698-0.00295107j 0.00436895+0.00255807j 0.00621215-0.0100608j -0.00923602-0.000828626j 0.00198028-0.0035181j 0.00607375+0.00732272j 0.00514808+0.00747902j 0.00274548-0.00277455j -0.00786883-0.0122708j -0.00739989-0.00182781j -0.00815135+0.0104849j -0.000805411+0.00889231j -0.0019106-0.00521302j 0.0136568+0.0179831j -0.028062+0.014327j 0.00649938-0.00122498j 0.0128564+0.0171473j -0.009394+0.0184925j -0.00370408-0.000425433j -0.0107933+0.00445091j 0.000510676+0.0209908j 0.0110562+0.00279948j -0.0170985+0.0010128j 0.00970397+0.0221891j 0.00557717+0.0182291j 0.0195393-0.0252191j 0.00949107+0.00723445j 0.0168203+0.014859j -0.0232255-0.00321516j 0.0134069+0.00281942j -0.00422521+0.000380501j -0.00254216+0.000115263j 
-0.00608723+0.000140615j -0.00301514+0.00756944j -0.0104471-0.00589821j -0.0145128+0.00151346j -0.00373563-0.00415015j 0.00228226+0.00445597j -0.00371589+0.00565588j -0.00713902-0.00212919j -0.00442062-0.00745701j 0.0153981-0.0157205j 0.00402194-0.0149841j -0.00399268+0.0111071j 0.0103802-0.0166807j -0.00194305+0.00476684j 0.0133108+0.0044889j -0.00978303-0.0225589j 0.0211368-0.00210293j 0.0231367+0.0134467j 0.00367533+0.0163537j 0.0071858-0.026309j 0.000835568+0.00134725j -0.00649749+0.00112152j 0.00557549-0.0115355j -0.00986915-0.00455868j 0.00946398+0.00206653j -0.0144718-0.00108942j 0.00282886-0.0170951j -0.0128099+0.0154249j 0.00774389-0.0154563j -0.0199127-0.0153131j 0.0196009+0.00224743j 0.0117824-0.003942j 0.00161324+0.000918292j -0.00114513+0.000186973j 
0.0113017-0.0112467j -0.00672402-0.00760408j -0.016432-0.000428199j -0.0208782+0.00109769j 0.00259962+0.0220129j 0.0212172-0.0053206j -0.00617111+0.0232941j -0.0206592-0.00906923j -0.0119344-0.0215753j -0.0012329-0.0151859j 0.0018337+0.0138603j -0.000768543+0.0103553j 0.000943031+0.010433j -0.000261831+0.0103683j -0.00970439-7.20076e-05j 0.0153511+0.0102756j -0.0245363+0.0134479j -0.00828237+0.00179425j 0.00510071+0.00369038j -0.00722177+0.0218083j -0.0029714-0.00297261j -0.00476715+0.00412157j -0.00133419+0.0152439j 0.00938968-0.00116889j -0.0146763+0.000473607j 0.0137366+0.0128609j 0.00362836+0.0189382j 0.0183334-0.0225376j -0.00106705+0.0106293j 0.0224719+0.0185012j -0.0215522-0.00199703j 0.00513124+0.00136644j -0.0107631-0.00239923j 0.00282637-0.00496046j 
-0.00971527+0.00624153j 0.00496787+0.0120465j -0.00719763-0.000891229j 0.00083889+0.00379298j 8.04573e-05+0.00763152j -0.00707814+0.00529997j -0.0194864-0.00853359j 0.00225485-0.00117237j -0.00737295+0.00686905j 0.0099775-0.0123213j 0.0120005-0.00259235j 0.00753507-0.00250864j -0.00103052-0.0114739j 0.0187881+0.000927525j 0.015035+0.0032638j -0.0013362-0.00634081j 0.00407359-0.00837504j -0.00850468+0.000325692j -0.00413278-0.0231159j -0.00371735+0.0108091j 0.000768537-0.0030832j -0.00316598-0.0137895j 0.00088854-0.00291037j 0.0119163-0.0102629j 0.00722611-0.00272736j 0.00512604+0.00580764j -0.00503398+0.00181446j -0.0057193+0.00237067j -0.0197371-0.00524187j 0.004248-0.000361151j 0.00594023+0.00553504j 0.0113167+0.00929893j -0.00322043-0.00762814j 0.00691351-0.00136316j 
0.00110493+0.00969602j 0.0122672+0.00176151j -0.00619238+0.00558592j 0.00255809+0.00764771j -0.0155161-0.00984774j -0.00512176-0.00735017j -0.00212204+0.000227167j -0.00726504+0.00267515j 0.00608554-0.00310221j -0.00164378-0.00108772j -0.00427559+0.00963359j 0.00237076+0.0017273j 0.00384885-0.0164852j -5.02969e-05-0.0130883j 0.00112178+0.00637809j 0.0034951-0.018139j 0.0309832+0.00504394j 0.00275508+0.00142288j -0.00878331-0.0102524j -0.010804-0.0222036j -0.00772083+0.0161157j -0.00659169+0.00125227j 0.00788544-0.00206987j -0.000940894+0.00742599j 0.0119524-0.0158406j -0.00485432+0.00292385j -0.0128086+0.00307025j 0.00551875+0.000950741j 0.0125432-0.000990717j 0.00682684-0.00521652j 0.0127095-0.00473311j -0.0025121+0.00030151j 0.0068558+0.000149743j -0.00152745+0.00282447j 
