-0.32785+0.169616j 0.184971+0.313295j -0.0189304-0.110877j -0.10523-0.104968j -0.0029623+0.20086j 0.0328758+0.054658j -0.0927202-0.0173027j 0.062056+0.0387799j 0.00457889+0.00200439j 0.0559523-0.165662j -0.0184596-0.137252j -0.0151218+0.114724j 0.0332189-0.0833562j -0.081945-0.0375757j -0.0370419-0.0498912j -0.0872221+0.00105243j -0.0458252+0.0312696j 0.0939244-0.0894905j -0.0759534+0.0505352j -0.148697+0.156284j -0.0613837+0.0529909j -0.099674+0.0162898j -0.356548-0.0499134j 0.0305481+0.157669j -0.305047+0.14239j 0.135517+0.356718j 
-0.0559908-0.0157074j -0.0129575+0.0546519j -0.00728332+0.00671916j -0.0230751-0.0327324j 0.0103158+0.0365015j -0.00290291-0.016129j 0.00410631-0.00711533j 0.0015693+0.0160548j 0.0254051-0.0124372j 0.020645-0.0584847j -0.00394113-0.0185485j -0.011556+0.0340237j 0.0285065+0.00382466j 0.00507976-0.00208129j -0.00398245-0.00447571j -0.0134294+0.0273357j -0.0179241+0.00338552j 0.0371944-0.0300342j -0.0253287+0.027239j -0.049455+0.00409445j -0.00303387+0.00832502j -0.066402+0.00813077j -0.0717178-0.0296423j -0.0037853+0.0781037j 0.018851+0.0678323j 0.0656197+0.00371954j 
-0.0207896+0.0376695j 0.039356+0.0210201j 0.0144105-0.0178058j 0.0185304-0.000389486j 0.00330211-0.0194418j 0.0261848+0.00333706j 0.00723134+0.0302996j -0.00377508+0.0226078j -0.000783575+0.0250042j 0.0190072+0.0015061j -0.0281554-0.0187548j 0.00875085-0.0294686j -0.017326+0.0281756j 0.00909357-0.00620323j 0.0246233-0.0112366j -0.00851384-0.00914269j 0.0164506-0.00203275j 0.0230626+0.0145375j 0.0191755+0.0141375j 0.0119714+0.000388728j 0.00477592-0.00185582j 0.0148142-0.00502969j 0.00440442+0.00768599j 0.000866133-0.0105063j -0.0210915-0.0172917j -0.0204995+0.0180257j 
-0.0217437+0.0366377j 0.0406652+0.0191811j 0.0116552-0.0298204j 0.0159447+0.00509148j -0.0169633-0.00307415j 0.0008262+0.0298665j -0.0182283-0.00379997j 0.00864902-0.00893846j -0.0230171-0.00599281j -0.00652532+0.014056j 0.00264595-0.00399748j -0.0238839-0.0126907j -0.0145436+0.000582494j -0.014722+0.000117604j -0.00569325-0.00620794j -0.0190762-0.0283621j 0.00199073-0.00112895j -0.0076607+0.0105864j 0.0035731-0.024287j 0.00964623+0.0243494j 0.0121699-0.0178621j 0.019072-0.00620325j -0.0257015-0.0028214j -0.023202+0.0199264j -0.00861691+0.00235911j -0.00887837+0.0145578j 
0.0142959+0.0140833j 0.0131446-0.0160974j -0.000297201+0.00571559j -0.0089338+0.0219459j 0.0192526+0.00463825j 0.000947249-0.0035782j -0.0172219+0.00204832j 0.00316446-0.00381949j 0.0190702-0.00417751j -0.00667346-0.0001168j 0.00600825+0.00167821j 0.003554+0.00795946j 0.000420284+0.0121716j -0.00842981-0.00794086j 0.00225646+0.0147532j -0.000745047+0.0215216j -0.0012263-0.0108638j -0.000996315+0.00108973j -0.000416864+0.000322333j 0.00314025+0.0181302j -0.019313+0.0198754j -0.0299348-0.0208091j 0.0160697-0.0340355j -0.0281408-0.00341359j 0.019719-0.0146626j -0.0261275-0.0231147j 
0.01272-0.0163295j -0.0147403-0.0108077j 0.00330701+0.000741557j 0.0103696-0.00847416j -0.00629532-0.00792078j -0.00445225-0.00225227j 0.00717161-0.00748492j -0.00602678-0.00985626j -0.00249374-0.00508426j -0.00407179-0.00210853j 3.63435e-05+0.00568473j -0.0145214+0.00548781j -0.00313882+0.0176428j 0.00603982+0.0180593j -0.00766506-0.00338028j -0.0120095-0.00520973j -0.00341395+0.00301708j -0.00212337+0.00195221j -0.00445658-0.00267816j -0.00185379+0.00279422j 0.00795943-0.0125408j -0.00498519-0.000995017j -0.001102+0.000546733j 0.0034123+0.0144339j 0.0343194+0.00170098j 0.0023655-0.0290963j 
0.00572366-0.00779661j -0.00875525+0.000224742j 0.0124837+0.00579149j 0.0213115+0.000699295j 0.00501096-0.0267517j -0.00141215+0.00290031j 0.00751791+0.00702118j -0.000968892-0.00636838j 0.00538802+0.00449119j -0.0182018+0.00570652j -0.00411155+0.0166671j -0.0084641+0.0178132j -0.0136976+0.0166267j 0.00583261+0.0176297j -0.0125012-0.0131553j -0.00317633-0.0139098j 0.00441512+0.0166801j 0.00512845-0.0109359j 0.000197686+0.00571061j 0.00424934+0.0145785j 0.000661104+0.00804689j -0.00522547-0.00955239j 0.00175298-0.0114612j 0.00189267-0.0131653j 0.00525329+0.00245137j -0.00205243-0.00821483j 
0.00225652-0.00868097j -0.00804749-0.0051443j -0.00646998+0.00230759j -0.00922672-0.00366521j -0.00160075+0.00568789j -0.00144469-0.00293696j 0.00382175-0.00321894j 0.00113601+0.00312194j 0.000370392+0.0023869j 0.00240453-0.0051204j -0.00298718-0.000265741j -0.000464524-0.00865722j -0.00546679-0.00518495j 0.00385324-0.00191906j 0.0014998-0.00164165j 0.00141366-0.00649344j 0.000186657-0.00237509j -0.00114081+0.00391355j 0.00237085+0.00234213j -0.00718096-0.00141198j 0.000783518-0.00493372j 0.0133517-0.00361938j 0.00918418+0.00578421j 1.15455e-05-0.00904376j 0.00642277+0.0013726j 0.00231286-0.0106755j 
-0.0122951+0.0110651j 0.00787184+0.0165569j 0.0117203+0.0105237j 0.0160858-0.000907977j 0.010151-0.0106665j 0.00364885+0.00415438j 0.00597208+0.00987316j 0.0240018-0.00147408j -0.00287414+0.0119466j -0.00200238+0.0195875j 0.014973+0.0135991j -0.00282537+0.0223089j 0.00495389-0.00657705j 0.0111817-0.0106544j -0.0123382-0.00570717j 0.00769042-0.00392092j -0.000298974-0.00874028j 0.0133401-0.0119385j -0.0139816-0.0031688j 0.013378-0.00885712j -0.0178452+0.00144955j 0.00432352-0.00448503j 0.0050516-0.000698424j 0.00104456+0.00503739j 0.000336934+0.00589475j 0.00702773-0.000308269j 
0.0146685-0.0114845j -0.0087005-0.0132849j 0.0175519-0.00640831j -0.00863421+0.00878943j -0.0099662-0.0241069j 0.0203258+0.0188222j -0.000327117+0.0073247j -0.000269638+0.00345406j -0.00527507+0.0231029j -0.00363086-0.027386j -0.0157633+0.0117026j -0.00476816+0.00682747j 0.000565963-0.014028j 2.41687e-05-0.00716861j -0.00284876+0.0141634j 0.0173866-0.00127905j 0.0376022-0.00142435j -0.0155323+0.000401247j -0.0170466-0.00964112j -0.00612412-0.00877324j 0.00515551-0.0033212j -0.00406507-2.63448e-05j 0.00286392+0.00227935j -0.00564114-0.000170457j 0.00672127-0.00285508j -0.00282382-0.00771779j 
-0.0115941+0.0176186j 0.0154969+0.0110244j 0.00554995-0.000522358j 0.0054337+0.00986812j 0.00583251+0.00542008j 0.000844091+0.00401898j -0.00290355+0.0040694j 0.0159348+0.00166719j -0.00663767-0.00134295j 0.0095756+0.00267486j 0.00724264-0.00514927j -0.00357233-0.0046656j 0.0031701-0.0155632j -0.0124594-0.0142236j 0.00888759+0.000500506j 0.011718-0.00113327j -0.00716868-0.0145246j 0.00534858+0.00254469j -0.00940979-0.00679846j -0.00105957-0.0145086j -0.00462624-0.00080616j 0.00132885+0.00456376j -0.00202251-0.00142702j -0.00339689+0.0211187j -0.00462056+0.00532363j 0.00622302+0.00798463j 
