-0.043134+5.55112e-17j -0.0477286-0.000192786j -0.0305104-0.000168927j 0.0374002-0.00222674j 0.0101232+8.73931e-05j 0.0343355+0.00113227j 0.0357133-0.0028577j 0.022802-0.000221989j -0.00330826-0.00168354j 0.0123003+1.57008e-05j -0.016755+0.00225279j 0.0404321-0.00136524j 0.00702158-0.000471337j -0.00513424-0.000940979j -0.000410017+0.000717307j -0.0135268+0.00173618j 0.0237329+5.53883e-05j -0.00363646-0.000118886j -0.0132009+0.00147787j -0.00766013+0.000686858j 0.00327915-0.000276518j -0.0200312-0.00131742j 0.00352613-0.000156974j 0.0188569-0.000890185j 0.00492837-0.0016599j 0.00446778-3.85211e-05j 0.0165018+0.000493702j 0.0225283+0.00116212j -0.0113824-0.000286007j 0.00104589-0.00188927j -0.0265888+0.001655j 0.00411972+0.000921985j 0.0408235+0.000802171j -0.0110734-0.00394189j 0.0354289-0.00165608j -0.00382015+0.00119701j 0.0371512+0.00482317j -0.0688475+0.0028509j 0.204967-0.00205951j -0.102752+0.00501183j -0.458727+0.00930896j 0.065598+0.0197323j 0.139743+0.000470682j 0.00549857-0.0100394j -0.00964578-0.00301362j -0.0560649-0.000970385j -0.0229042+0.0076422j 0.0618434+0.00240527j 0.00826818+0.00235353j 0.0103691-0.000777887j -0.0135921-0.00352768j -0.0540802+0.00294343j -0.0177859-0.00128268j 0.0133913+0.00436217j -0.0125649-0.000399719j 0.0062245+0.00116152j -0.0207077-0.000802972j 0.0424248-0.000947552j -0.00387562-0.000789843j 0.0210435-7.20104e-05j 0.00943401-0.00383691j -0.00547561-0.00144514j 0.0160735+0.00197028j 0.0135185-0.000347911j -0.000591034+7.95371e-05j 0.00925516+3.66597e-05j 0.014288-0.00133939j -0.00371637+7.44646e-05j -0.00166048-0.00326185j -0.0143909-0.00151669j 0.0143887+2.59964e-05j 0.0167629-0.00365177j -0.013273+0.00175808j 0.0141952+0.00042293j -0.00357865-0.000276043j 0.0166619+0.00112581j -0.00708058-0.00108195j 0.00104839-0.00255326j -0.0148648+0.0029512j 0.0117668-0.00151857j -0.0089643-0.00372712j 0.0170433-0.000717098j 0.00362398+0.00584802j -0.0295746-0.000712449j -0.017337+0.000721831j 0.0147985-0.00657618j 0.0329022+0.0017166j -0.0342788+0.00644718j -0.0206747-0.0166077j -0.0884846+0.00219467j -0.00127421-0.0200119j -0.100823-0.00913327j 
-0.0477286+0.000192786j 0.0612603-4.59702e-17j 0.0440304-0.00250774j 0.0283009-0.000110863j -0.01489+0.00027733j -0.0283002+0.00202718j 0.0311318+0.00103978j -0.0185416+0.0017684j 0.0159832-0.00056062j -0.00885005+0.000247307j -0.0308376-0.000658334j 0.00292172+0.00211475j 0.00780823+0.000606769j 0.0138181-0.000929694j -0.0123722+0.000197985j -0.012756-0.000703233j -0.00985118+0.00132431j 0.00198501-0.00054716j -0.0207641-0.00100248j -0.00505286-0.00046973j 0.00019867+0.000315655j 0.02381-0.00155933j -0.00785547+0.000895983j 0.0136081+0.00114407j 0.00748132+0.00156793j 0.00324442+9.52129e-05j -0.0162125+0.00180156j -0.0155218+0.00156834j -0.00521578-0.000223428j 0.0308727+0.000256385j -0.0176781-0.00229598j -0.0213515+0.00119099j -0.0104557+0.00401112j 0.0557838-0.000243925j 0.03561+0.00310399j -0.0257562+0.000940408j -0.077828+0.00187989j -0.0829815-0.00358688j -0.173047+0.00934172j -0.162307+0.00614429j -0.112745-0.0177084j -0.45237+0.00685161j -0.0192251+0.00997778j 0.147108-0.000302213j 0.0212937-0.00251004j 0.0433228-0.00670812j -0.0742602-0.000957175j -0.0228572+0.00616516j -0.0288499+0.00117867j -0.00687007+0.00115096j 0.0387768-0.0030264j -0.0122937-0.00636786j 0.00434154-0.00146979j -0.0279567+0.00160543j 0.00284902-0.00125446j -0.00800805+0.00182265j 0.0127999-0.00284722j 0.00356219+0.00460448j 0.00981495-0.000645716j -0.00457014+0.00351088j 0.026864+0.000845796j 0.0113322-0.000620898j -0.0184999+0.00351416j -0.00404809+0.00154113j -0.00124116-0.000855006j 0.00648086+0.00145771j -0.00101741+0.00289837j 0.000995503-0.000325394j 0.0197291+0.000241043j 0.0127121-0.00240486j -0.000513519+0.00219454j 0.0225034+0.00266981j -0.00691926-0.00189627j -0.00477192+0.000543055j -0.00384691+0.000623133j -0.0109453+0.00363792j 0.0114325-0.00325418j 0.0220395+0.000471286j -0.00996203-0.00310054j -0.00784084+0.00204771j 0.0231631-0.00297009j 0.00397563+0.00498942j -0.0279174-0.00195356j -0.00973398-0.00492197j 0.0305556-0.000582111j 0.0305246-0.0009046j -0.0173903+0.0119218j -0.017212-0.00607444j -0.083373+0.00262924j 0.0189657+0.0157018j 0.1099+0.00956032j -0.00181094-0.0199626j 
-0.0305104+0.000168927j 0.0440304+0.00250774j -0.0285525-8.82974e-16j 0.00421196-0.000592683j 0.0022413-0.00169281j -0.0291321+0.000535765j 0.0343372-0.000470456j 0.0461745-0.00204559j 0.0266773-0.00181978j -0.0107075-0.00132028j -0.0299371-0.000217968j 0.0130969-0.000589896j 0.00263666+0.00110364j -0.0202656+1.30836e-06j 0.014004-0.00184733j -0.036741+0.00139931j 0.0113824-0.00159336j -0.0103193-0.000604694j -0.0249448-0.000315236j 0.017019-0.00156269j 0.00798147-0.000340763j 0.00548224-0.000271223j 0.0370394-0.00163572j -0.0030967+0.0024699j 0.0494545-0.00155721j -0.00281581-0.00127j 0.0364755-0.00123519j -0.0223895+0.00047763j 0.0320974-0.00214317j 0.000996419+0.00134793j -0.0590503+0.00306966j 0.0218812-0.000673721j 0.0536512+0.00305009j 0.0995814+0.000660257j 0.0672129-0.00180705j 0.159273-0.00538331j -0.0679885+0.00160561j -0.519761+0.00362275j 0.216676-0.0109927j 0.355687+0.000504646j 0.232051-0.00592095j -0.125643-0.0068847j 0.00126249-0.00245262j -0.0390638-0.000656564j 0.0145649+0.00251137j 0.0625467-0.00409279j -0.00574785+0.00164319j 0.0603241-1.39225e-05j -0.0262446+0.00589604j -0.00846793+0.00485355j 0.0243601+0.00131486j -0.0006115+0.000697119j -0.0370017-0.00106114j 0.0326609+0.000312799j -0.0268417+0.00205751j 0.000459822+0.000671045j 4.43497e-05-0.00132066j 0.037337-0.000649181j 0.0136943-0.00382963j -0.0093232+0.00241819j 0.00247085+0.0038402j 0.00200071-0.00435665j -0.00604186-0.00307743j 0.00430078+0.00289013j 0.00774674+0.00256373j 0.0211932-0.00378503j -0.00892022-0.00442966j -0.0116487+0.00207137j -0.0172655-0.000924353j -0.00166499-0.00450337j 0.0106631-0.00433863j 0.00566442+0.00200238j 0.00657013+0.00398675j 0.0214863+0.00135011j -0.0394419+0.000767426j -0.00825145+0.000847869j 0.0157447+0.00617645j -0.00124372-0.00769265j 0.0125304+0.00330979j -0.010203-0.00113322j 0.0389716-0.00746302j -0.018404+0.00492066j 0.0546176+0.00251072j -0.0446251+0.0031954j -0.00932893+0.013527j 0.0859743+0.0014691j 0.0561898+0.00350778j 0.0711325+0.0101346j -0.042105+0.017223j -0.116446-0.0218014j -0.00302821-0.00853673j -0.00240016-0.0031677j 
0.0374002+0.00222674j 0.0283009+0.000110863j 0.00421196+0.000592683j 0.039343+3.38271e-17j 0.0416174-0.00100121j -0.0455837-0.00102j 0.0197165-0.000271851j 0.0240735-0.00041256j 0.0586496+0.000661814j 0.00409118-0.000310795j 0.0099403-0.000525301j 0.0058785-0.000573932j -0.00658192-8.48422e-05j 0.00809162-0.000297078j 0.00775115+7.79485e-05j -0.0141945-0.0010173j -0.00210842-0.000650904j 0.0115969-0.000465657j 0.00291181-0.000138497j 0.0184098+0.000555814j 0.0243362+9.22451e-05j 0.027169+0.000440568j 0.0127319+0.00191189j -0.0173258-0.00128467j 0.0363025+0.00277592j -0.00587322-0.00043034j -0.0103406+0.00150959j -0.0348887-0.00209817j 0.0479961+0.00246712j 0.00431402-0.00154147j -0.0448612-0.00157774j 0.00925301+0.00104263j -0.0919864+0.000754151j 0.0398217+0.00324933j -0.00569833-0.000533622j 0.154491+0.00615917j -0.615235+0.00600379j 0.161828-0.00518244j 0.298757+0.000518048j -0.205803+0.0101739j 0.110118+0.00942952j 0.1478-0.00600472j 0.0496351-0.0012406j 0.0220345-0.00551147j -0.0577747+0.00393242j 0.0521268+0.00434793j 0.00586311+0.000233221j 0.0444411+0.00511843j -0.0333693-0.000748311j -0.0464919+0.0027032j -0.00311399+0.00378475j 0.00720221+0.000413715j -0.0129699-0.00231991j 0.021997+0.00230124j -0.00187175-0.00308097j 0.0138115-0.00169604j 0.00945507-8.88227e-05j 0.00436308+0.00321894j 0.0158199-0.000620423j 0.00158011+0.000325278j -0.0105529+0.000531566j 0.0150589-0.000585978j 0.0101971+0.000215364j -0.0244829+0.00233184j -0.0135653+0.00144177j 0.0238857+0.00211813j -0.000690007-0.000262768j 0.0023934-0.00252048j 0.0055182-0.00163571j 0.00459971+0.000867721j 0.00952169+0.000830223j 0.00511579+0.00164214j -0.000207521+0.000115232j -0.0214361-0.0002886j -0.000925091+0.00071892j 0.000226222+0.00233212j -0.00734441+0.000687909j 0.0249152-0.00323002j 0.00435285-0.0047092j -0.0368368+0.00271599j -0.00201629+0.00687777j -0.000358645+0.0102959j -0.00505466+0.00309578j -0.0301456+0.00356515j 0.143032-0.00411855j -0.00964476-0.0174491j 0.0180219-0.00803638j -0.0158148-0.0200864j -0.0897764-0.014823j 0.025876-0.0109685j 0.00154854+0.00234869j -0.00133362-0.00618008j 
0.0101232-8.73931e-05j -0.01489-0.00027733j 0.0022413+0.00169281j 0.0416174+0.00100121j 0.0403031+1.3288e-15j -0.0185121-0.000344369j -0.0149099+0.000466113j 0.0258976-0.00109501j 0.0185509+0.00125719j 0.00881763+0.000644326j 0.0147178+9.82978e-05j -0.0159867+0.000878864j -0.0190191+9.34375e-05j -0.011535+0.00113506j 0.0352908-0.00132767j 0.00261782-0.000319665j 0.0198955-0.000640376j 0.0101568+0.000212842j 0.0072332+0.000482851j 0.0354459+0.000231049j 0.00307136+0.00047761j 0.0142288+0.000335934j 0.0114698-0.000369875j -0.0509338+0.000593042j -0.0197047+0.000389633j 0.028901-0.00125341j 0.00495105-0.00121938j -0.0117857-0.00126116j 0.0254727+0.000463073j -0.0389459-0.000750048j -0.0577941+0.000735922j -0.0231389-0.0016658j -0.193261-0.00224216j -0.103446+0.00121532j 0.0462558-0.00228228j 0.740334-0.00658094j 0.22921-0.00931727j 0.09542+0.00307387j -0.179168+0.000996361j -0.12206-0.00636928j -0.104035+0.0021843j -0.0173285-0.00203568j 0.0734475+0.000270801j 0.0624103-0.00438094j -0.0502078+0.00308135j 0.0247343+0.00553962j 0.0150297-0.000519791j 0.0269338+0.000316578j 0.00167945+0.00096061j -0.0104149+0.000604389j 0.0125905+0.00337586j 0.0170777+0.000215325j -0.00955982-0.00155521j 0.0206702-0.000965002j 0.00303273+0.00045862j 0.0228614-0.00565953j -0.000636577+0.00301476j -0.015232-0.00174666j 0.000579435-0.00556864j 0.00958693+0.00166395j 0.0139513+0.000855459j -0.00417398-0.00275613j -0.0103495-0.00107286j -0.0172058+0.00193078j -0.000445201+0.000413371j 0.0131937+0.00157174j -0.0495921-0.0022436j 0.0173045-0.00213386j -0.000913223-0.000922463j -0.0240766+0.00353833j -0.00313003-0.0028776j 0.002292+0.00097215j -0.00450358+0.0041155j 0.0119637-0.00175843j -0.0231002+0.0061337j -0.0190579+0.00331947j 0.000380377+0.0114042j -0.000578115-0.00581935j 0.0440656-0.005887j -0.0512167-0.00318068j -0.000553833-0.00207649j 0.0479162+0.0027668j 0.0555207-0.0040044j 0.0566542+0.00055016j 0.0108632-0.0115533j -0.000904796+0.0170668j 0.0166888-0.0134353j 0.151739+0.0186721j -0.00793989+0.00441036j -0.00613966-0.00671744j 0.00594842-0.000630401j -0.0052706+0.000574153j 
0.0343355-0.00113227j -0.0283002-0.00202718j -0.0291321-0.000535765j -0.0455837+0.00102j -0.0185121+0.000344369j -0.0471387+6.26899e-14j -0.0186466+0.000483909j 0.00575543-0.000228192j -0.0137001+0.000408767j 0.0136842-4.66538e-05j 0.0131712-0.000451272j -0.0399182+0.00112863j -0.0242813+0.000201266j -0.0178996+0.000695505j -0.00313029-0.000515791j -0.00193469-0.000773181j -0.0167034+0.000482352j -0.0123457+0.000352795j 0.0390065-0.000404995j 0.00316325-0.000661633j -0.0133683+0.000453212j -0.00525014-0.000220841j 0.00676454+0.00093784j -0.0302035+0.000271424j -0.0651985+0.00266448j -0.0238551+4.2017e-05j 0.00217744+0.000905366j -0.0465614-0.000401484j -0.00173329+0.000844152j -0.0891937+0.000225068j 0.1177-0.0008231j -0.0642448+0.00112666j -0.171891+0.00333426j 0.00632463+0.00190249j -0.723032+0.00256396j 0.027631-0.00208607j -0.0401266+0.00240829j -0.336716-0.00124982j -0.0362761+0.00242793j -0.138145-0.00265737j -0.131031+0.000919123j 0.0639174-0.00348145j 0.00837109-0.00480017j -0.0896444+0.00169302j 0.0266495+0.00380242j 0.0401694-0.00220979j 0.00265018-0.00402022j 0.00994684-0.000649078j 0.0231288+0.000564417j -0.00507921-0.00209951j -0.0032806+0.00209509j 0.0124975-0.000554479j 0.0109142-0.000754418j 0.0159734-0.0044201j -0.00707065+0.00597687j -0.0365863-0.00148501j 0.0010719+0.00109437j -0.0217528+0.00509405j -0.0113056-0.000790047j -0.000999332-0.000376195j -0.0135818+0.00364786j -0.0143121+0.00274588j -0.00701225-0.00549522j -0.0068118+0.000748311j 0.00732004+0.000460154j -0.00886813-0.00514278j -0.0299404+0.00697293j 0.0128614-0.00152862j 0.000558763+0.00260134j 0.0155276-0.000871742j -0.0014577+0.00199522j -0.00477407+0.00614972j -0.0190076-0.00173159j 0.0180622-0.00458439j 0.0558787-0.00352339j 0.00148874-0.00441491j 0.0234334+0.00532136j 0.0483542-0.00664959j 0.0243101-0.00237863j -0.00541134+0.0114647j -0.0424946-0.00560954j -0.0615401+0.00227527j -0.0575665-0.00273066j 0.0087597+0.00850149j 0.0240865+0.0134926j -0.014238+0.00945319j -0.135276-0.00825437j 0.00364692-0.0100661j -0.00519047-0.000976129j -0.0162683+0.00234573j 0.00209507+0.00202655j -0.00512633+0.00174155j 
0.0357133+0.0028577j 0.0311318-0.00103978j 0.0343372+0.000470456j 0.0197165+0.000271851j -0.0149099-0.000466113j -0.0186466-0.000483909j 0.0405008+6.41848e-16j -0.0117391-0.000878062j 0.0517707+0.000486356j 0.0152775+0.000102483j -0.0251282+0.000487553j 0.00535984+0.000506756j -0.00273709+0.000377338j 0.0387482+0.000874448j 0.00210383-0.00167331j -0.0439228+0.000489776j -0.0185747-0.000843913j 0.00151244+0.000499907j -0.0172252+0.000236474j -0.00529502-0.000419566j -0.000682982+0.00122722j 0.0509564+0.000232749j 0.0178034-0.000205231j -0.0161851+0.0011059j 0.096811+0.00254122j 0.00480096-0.00118428j -0.0002386-0.000672923j -0.073364-0.000527523j 0.0810262+0.00116465j 0.0116616+0.00109328j -0.0826628-0.000868352j 0.0117794+0.0016812j -0.282903+0.00248994j 0.691561-0.00383218j -0.000543807+0.00159906j -0.0792207-0.00119946j 0.324086-0.0048474j 0.116303+0.00357409j 0.132829+0.00485674j -0.142282+0.000851941j 0.060764-0.000958323j 0.159749-0.00408767j -0.00842229+0.00205297j 0.0312251-0.000462768j -0.00171444+0.000237704j -0.00463777-0.00326856j -0.0254146+0.000686169j 0.0211097+0.00107372j -0.00536499-0.00284001j -0.0405947+0.00411225j 0.0106468+0.00126109j -0.0139949-0.000994876j -0.0257408-0.00342031j 0.00870384-0.0025327j 0.0260345-0.00127947j -0.000367758+0.00240376j 0.00949974-0.000245468j 0.0410164+0.000196856j 0.00281966-0.00202924j 0.00993358+0.000647631j 0.0141655+0.00294187j 0.00354533-0.00100932j -0.0227429-0.000554089j -0.00983771+0.00238091j 0.0102277+0.000352509j -0.00448318-0.000524243j -0.00400682+0.00258454j 0.0152595-0.00193317j 0.0143506-0.000651691j -3.32081e-05-0.00345279j -0.00482449-0.00280337j 0.00468573+0.00589934j -0.0154711+0.00690381j 0.0221637-0.00480239j -0.0283661-0.00285784j -0.0146355+0.00325104j 0.0654481-0.00976967j 0.0080446-0.00479466j -0.0262866+0.00137762j -0.0693202-0.00346378j 0.0694809-0.0147252j -0.0123143-0.00688307j -0.0154375-0.0115973j -0.0165759+0.000962j 0.0559033-0.00640708j 0.118204+0.016598j -0.0104446+0.00669989j -0.00680845-0.00412805j 0.0178206+0.0016742j -0.00332112-0.00748676j -0.00811005+0.000743106j -0.00460074-0.000766876j 
0.022802+0.000221989j -0.0185416-0.0017684j 0.0461745+0.00204559j 0.0240735+0.00041256j 0.0258976+0.00109501j 0.00575543+0.000228192j -0.0117391+0.000878062j 0.00947997-6.95819e-15j 0.0107664+0.0016189j 0.0151956+0.00146877j 0.0175112+0.0009338j -0.0220563+0.00132996j -0.025722-0.000626324j 0.0259221+0.00121167j 0.0336397+0.000446981j 0.00882051-0.00071728j 0.0226979+0.00120563j 0.0244725+0.000871929j 0.00308966+0.000277322j 0.0323422+0.00211966j -0.0184265-0.000269558j 0.0399649+0.000484175j -0.0173429+0.00059177j -0.0679862-0.00182935j -0.0416453+0.00171433j 0.0666192+0.00102368j -0.0283917+0.000193035j 0.014961-0.000238352j 0.00147882+0.00146465j 0.00245053-0.00035207j 0.0156656-0.00241103j -0.029555+0.00062668j -0.676596-0.00125301j -0.325705-0.000257092j 0.286317+0.000756468j -0.282154+0.00370634j 0.0390593+0.00424717j -0.270404+0.00384768j 0.00972505-0.000167013j 0.0324446-0.00234868j -0.0288789+0.00251889j 0.0937907+0.000364148j -0.00570895+0.00446549j 0.0581704+0.000158173j -0.0357783+0.000576992j -0.00929646+0.00381106j 0.0216875-0.000678714j 0.0238435-0.002765j 0.021382-0.000136722j 0.000882189-0.000854934j 0.0211162+0.00316524j 0.0270108-0.00431926j 0.0116608-0.00412072j 0.0198585-0.00323162j 0.0222359+0.000205687j 0.0346189-0.00307747j -0.00524609+0.0039278j -0.00660964-0.00250606j 0.00983093-0.00530113j 0.0231668+0.00126225j 0.0196051-0.000109085j 0.00144607-0.0015573j -0.0116812+0.00132361j -0.0201106+0.00108934j -0.00453862-0.00224057j -0.000914572+0.0060206j -0.0345976+0.00242026j 0.017251-0.00521674j 0.0257317-0.000249465j -0.0254906+0.00574493j -0.0181521-0.0025799j 0.0221111+0.000299169j -0.00532018+0.0042279j -0.0492207+0.00208985j 0.0406985+0.00137774j 0.00162604+0.00427522j -0.00754899-0.00390259j -0.00293366-0.00110861j -0.0521549+0.00456823j -0.0923072+0.0107665j -0.0210507-2.90089e-05j 0.000980635-0.00772676j -0.058057-0.00623972j 0.0348574-0.0138628j 0.0947375+0.00446414j -0.0287945-0.00204422j 0.0194166-0.00677981j 0.00214746-0.00231727j 0.000956837-0.00753847j -0.0138508-0.00391597j -0.000831527+0.00133003j -0.000589082+0.000327238j 
-0.00330826+0.00168354j 0.0159832+0.00056062j 0.0266773+0.00181978j 0.0586496-0.000661814j 0.0185509-0.00125719j -0.0137001-0.000408767j 0.0517707-0.000486356j 0.0107664-0.0016189j 0.0434915-3.28817e-15j 0.0398798+0.000718008j -0.0130486+2.3149e-05j 0.0578196+0.000118229j 0.0049715-2.27659e-05j 0.00601042+0.00123938j -0.00180791-0.00123563j -0.0390003+0.000160581j 0.0159049-0.00107856j 0.00159363-0.000124505j -0.0245681+0.000519888j 0.0261671+0.000587248j 0.0297762+0.000359102j 0.00497067+0.000451663j 0.0329234-0.000555438j -0.00648505+0.00105473j 0.122995-9.77888e-05j 0.0357294-0.00142183j 0.0511009+0.000529372j -0.040715-0.0010325j 0.0955366+0.000790141j 0.00634878-0.00229916j -0.77872+0.00319327j -0.137052+0.000113855j 0.000101422-0.00187574j -0.235865+0.00253927j -0.254918-0.000971485j -0.157928-0.0003128j 0.0921599-0.0001888j 0.0790012+0.00149165j -0.0470863-0.00180052j 0.0327858+5.31918e-06j 0.0870828+0.00101273j 0.00849218-0.00112382j 0.012384+0.00384255j 0.0791352-0.00407857j -0.0185833-0.000411224j 0.0136093-0.000561758j -0.0379316+0.00208931j 0.0226722+0.00386002j 0.00318683-0.00262147j -0.0377956-0.00028593j -0.0152998-0.000313221j -0.0270393+0.00444679j -0.0144678-0.00277539j 0.0201044+0.00135962j -0.00674031-0.0013482j -0.000335306-0.00176527j -0.00217334-0.000806739j 0.0261615-0.000387926j 0.0141392-0.00427406j -0.000378832-0.00173889j 0.00381846+0.000782561j -0.00369992-0.00166302j 0.0116117-0.00136235j -0.0019601+0.00183175j -0.00918354-0.00209437j 0.0192838-0.00128799j 0.00219667-0.00476162j 0.0193651-0.00175285j -0.0129755-0.00427745j -0.00092799-0.00369744j -0.00159213-0.00478809j 0.0197816-0.00491311j 0.0485046-0.00126192j 0.021211-0.0055168j -0.0880852+0.00163465j 0.0433237-0.00117507j 0.0215433+0.000468971j -0.00266413+0.00730812j 0.020452-0.00578122j -0.0745794+0.00234228j 0.000582986+0.00195837j 0.0590492+0.00114729j 0.0794438+0.0167j -0.0886504-0.000903332j -0.00490652-0.00775999j -0.0133511+0.000914551j -0.0134112-0.000990235j -0.0025516+0.00107131j 0.0110149+0.000535565j 0.0122627-0.00544627j -0.000392516-0.000591668j 0.0019385-0.00106965j 
0.0123003-1.57008e-05j -0.00885005-0.000247307j -0.0107075+0.00132028j 0.00409118+0.000310795j 0.00881763-0.000644326j 0.0136842+4.66538e-05j 0.0152775-0.000102483j 0.0151956-0.00146877j 0.0398798-0.000718008j -0.00049569+5.29676e-15j 0.0381601+0.000406141j -0.00204416-0.000890167j -0.0100772-3.39353e-05j 0.0146758+0.000876718j 0.0145393-0.000420266j -0.0130401+0.000688865j 0.00517819-0.000731571j -0.000883899+0.000934278j 0.0168999+0.000199627j 0.0340014-0.00146979j 0.0120821-0.000492422j 0.000931141+0.00125898j 0.016768-0.00156093j -0.0251523-0.000533782j 0.0722666-0.000379646j 0.00133962+0.00095567j 0.0446591-0.0022808j -0.0615516+0.000477583j 0.184315-0.00115634j -0.180339+0.00227571j -0.0484561+0.000797759j 0.859909-0.00166183j -0.0122401-0.00234615j -0.0653221+0.000587081j -0.0638927+0.00127803j -0.0736467-0.00108701j -0.00369036-0.000451231j -0.0321491+0.000209431j -0.109393-0.000407751j -0.0890925-0.0025528j -0.0371642+0.000567452j -0.0420196-0.00250935j 0.0130321-0.000946919j 0.0125683-0.00156279j -0.00601952-3.6819e-05j -0.0210107+0.000944037j -0.0115296+0.00441518j 0.0327199-0.000298421j -0.0298838-0.00191607j -0.0329382+0.00466146j -0.00986781+0.00578232j 0.0142842+0.00192712j -0.0018955-0.00119043j 0.0113175+0.000621487j 0.0119792-0.0015597j 0.00619422+0.00489347j -0.00497035+0.000202699j 0.0306736-0.000975209j 0.0123383+0.00133896j -0.016996+0.00149987j -0.0163175+0.000501491j 0.00353417+0.000132533j -0.000423025-0.00476907j 0.00590291-0.0010237j -0.0200809+0.00893163j -0.0022226-0.000688224j 0.000473127-0.00377633j -0.0303172-0.000683484j -0.000799484-0.000117966j -0.017478+0.000583053j -0.0128704-0.00364587j -0.0446486+0.00353798j 0.00506692-0.0054342j 0.0168653+0.00569825j -0.0452976+0.000779042j -0.0288594+0.00398256j -0.0430617+0.00684534j -0.0806127-0.00366123j 0.0123682+0.0128478j -0.0281901+0.00370126j 0.0299897+0.0123021j -0.0321227-0.00277581j 0.103539-0.000512411j 0.0758133+0.00741957j 0.00279529-0.00562592j 0.00461509-0.000680107j -0.00458199+0.0038155j -0.00855642+0.00359596j -0.00601721+0.00180832j 0.00340135-0.00261745j 0.00591771-0.000642854j -0.00250416+0.000101643j 
-0.016755-0.00225279j -0.0308376+0.000658334j -0.0299371+0.000217968j 0.0099403+0.000525301j 0.0147178-9.82978e-05j 0.0131712+0.000451272j -0.0251282-0.000487553j 0.0175112-0.0009338j -0.0130486-2.3149e-05j 0.0381601-0.000406141j 0.0273985+1.471e-14j 0.0012634+0.000921866j -0.0106994+0.000755608j -0.0391105+0.000682576j 0.0280767-0.00157677j 0.014233+0.00101178j 0.019902-0.000394495j -0.0319604+0.00138428j 0.0406189+0.000485013j 0.0536845-0.000467937j -0.00920167+0.000821729j -0.0750312-0.000351742j 0.00433786-0.000568927j -0.0197822+0.00119051j -0.120942+0.00128362j -0.00296068-0.00125054j 0.120502-0.00191091j 0.160397-0.000534946j -0.0710528+0.000851715j -0.805177+0.00222776j -0.122854-0.000572982j -0.149161+0.000648843j -0.00291829+0.00180182j 0.160852-0.00201295j 0.152277+6.59402e-06j -0.0545207+0.00131263j -0.11659-0.00181326j 0.0210216+0.000308279j -0.117109-0.00221217j 0.0560603-0.00306625j -0.0329711+0.00142686j -0.0742344+0.00158474j 0.0403429-0.00137567j -0.0015493-0.00231407j -0.00535715+0.00112299j 0.00220926+0.00178865j 0.014239-0.00102638j 0.00357858-0.00120784j 0.0249969-0.00243698j -0.0141484-0.00188629j -0.0139414+0.00162158j 0.0121044+0.00320273j -0.0219403-0.000471838j 0.0128698-0.000242604j -0.00226359+0.00411757j -0.00781218-0.00401351j -0.0221434+0.000931708j -0.0132674+0.00326412j -0.0129516-0.00177452j -0.0357999+0.00272529j -0.0123384+0.000221775j 0.00648329-0.000773512j -0.0162865-0.00851821j -0.000736087-0.00173338j 0.0239591-0.00327704j -0.0327329-0.00213209j -0.0127726-0.00466863j 0.0354317-0.0124424j -0.0204223-0.00272889j -0.046528+0.00278619j 0.0268592+0.00322643j -0.0306997+0.00761976j -0.021382+0.0042251j 0.0350113+0.00184452j 0.0452635+0.00167017j -0.00634265+0.00304144j 0.0583865-0.000301252j -0.0278284-0.00640982j 0.01855-0.0058293j -0.000820839-0.0055609j -0.118604-0.00332675j -0.0897094-0.0149761j 0.0246347+0.00218549j -0.0201616+0.00831301j 0.0120077+0.00402625j 0.00564624+0.0035627j -0.00109485-0.00294342j -0.00429509-0.00265481j -0.0105362+0.000538273j 0.0052573+0.00102612j 0.00567671-0.000593723j 0.00256495+0.000128835j 
