0.183257-0.396005j 0.566076+0.103495j -0.139523-0.331389j 0.144348+0.378898j 0.0496406-0.0178278j -0.205848-0.00446098j -0.0489543-0.0184114j -0.158497+0.374996j -0.152767+0.326047j -0.569744+0.0782689j 0.164125+0.401751j 0.213616-0.00611985j -0.0501903-0.250058j -0.0887845+0.140827j 0.130161-0.0739977j 0.0497723-0.0771983j 0.0875488+0.0651416j -0.0489155+0.0149242j 0.15862+0.00155293j 0.0476643+0.0158277j -0.0892488+0.0627821j -0.0489534-0.0782557j -0.128295-0.0764047j -0.0837006-0.142611j -0.0567696+0.245507j -0.210702-0.012976j 
0.237166+0.0680848j -0.038763+0.212037j -0.042408+0.132933j 0.046961+0.14725j -0.107676-0.0112328j 0.197345+0.00292488j 0.107343-0.00696825j -0.0507378+0.145064j -0.0367932-0.131234j 0.0281037+0.213502j 0.237727-0.0577351j 0.0092169-0.379039j -0.353033+0.029515j -0.134718+0.000405149j -0.0732986+0.251684j -0.205587-0.0574675j 0.0733167+0.187972j -0.0413097+0.0849657j -0.31422-0.00322754j 0.0412193+0.0869543j -0.0761142+0.185722j 0.207911-0.0512541j 0.0647953+0.252772j -0.130937-0.00479042j -0.354861-0.0428245j 0.00436481-0.379692j 
-0.0410036+0.00202535j 0.0166041+0.0406489j 0.128309-0.125629j -0.0585855-0.113526j 0.0393713+0.0107317j 0.000855634-0.00594084j -0.0592429-0.0745919j 0.00583346-0.009686j 0.00168749-0.0682337j -0.0152361+0.0783814j 0.111941+0.0589336j -0.0410913-0.0170922j -0.0765774-0.025542j -0.0431161+0.291258j 0.257858+0.0183953j 0.0580178+0.134231j -0.00938821-0.00262912j 0.0111609-0.0359156j -0.0236047+0.047893j 0.211872-0.0269818j -0.014341-0.109594j -0.0293189-0.096325j -0.0269741+0.0882679j -0.00344087-0.112245j 0.0522417-0.165139j 0.211194+0.0796474j 
0.0882656+0.0623691j -0.00477266+0.08058j -0.0372435-0.121753j -0.111576-0.0505841j 0.124543-0.0314127j -0.00700804-0.000471133j -0.123711-0.0329006j 0.113053-0.0488783j -0.0388044+0.123776j 0.00173617+0.0812399j 0.0890278-0.0599733j 0.12505+0.0306776j 0.0701363-0.0909706j -0.0365414-0.167174j -0.0881138+0.0299513j -0.10446-0.00632727j -0.0343621+0.0353686j 0.0784322+0.0923878j -0.0109228+0.000216633j -0.0806452+0.092115j 0.0348408+0.0366968j 0.105099-0.00415056j 0.0855248+0.0319298j -0.0396045+0.16478j 0.0657642+0.0948434j -0.127323+0.0273619j 
-0.0453327+0.0792323j -0.013797-0.0844459j -0.14631-0.0388849j -0.015712+0.0981426j -0.0452185+0.0389665j -0.0045825-0.00107282j 0.0240123+0.0562276j -0.0296292+0.0929922j -0.147302-0.0295268j 0.0516789-0.06799j -0.00455104-0.0934345j -0.0455079+0.121084j 0.119267-0.0107857j -0.146598+0.0663241j 0.0884694+0.205464j -0.125875+0.00135538j -0.0553349-0.0629252j -0.0817917+0.108621j -0.0744851-0.016891j 0.0264906+0.133168j 0.075751-0.0326685j 0.110997+0.0584741j -0.172023+0.1449j -0.103535-0.126781j 0.100839+0.063768j -0.0144082+0.126735j 
-0.113016+0.0569115j -0.0127985-0.0792129j -0.00147201-0.0706612j 0.00375202+0.00962633j -0.0592885+0.0742217j -0.000195593-0.00592717j 0.0391668-0.0092266j -0.0610986+0.111288j -0.126342-0.129551j 0.0184642-0.0390075j 0.0423587+0.00177517j 0.212817-0.0739409j -0.0460232-0.165833j 0.00253412-0.11245j -0.0265371-0.0872256j -0.0309991+0.0973861j -0.0143846+0.109491j 0.211497+0.0293249j 0.0238643+0.048138j 0.0104803+0.0370976j -0.00791817+0.00266804j 0.0625645-0.134471j 0.257772-0.0101562j 0.0359382+0.292102j 0.0778998-0.0206091j -0.0431064+0.0191212j 
-0.00718681+0.0138756j 0.0239035+0.0229177j 0.00429154-0.036479j 0.0139235-0.0420373j -0.0246181-0.023386j 0.0688543+0.0614543j -0.0215845-0.0222727j -0.0204547+0.0511852j 0.027604+0.0186667j -0.0107871-0.028843j -0.0195222-0.0556409j -0.00345299+0.0114861j -0.0324287-0.0204933j 0.00814461+0.061186j -0.0380293+0.0598542j 0.0621019+0.0689018j -0.16139-0.0520239j 0.00301463-0.0379765j -0.0040252-0.131572j 0.114948-0.00570082j 0.0506786-0.0593442j -0.0209142+0.0418523j -0.0101949-0.0311425j -0.0299479+0.0815638j -0.0381404+0.0542793j -0.030975-0.100245j 
0.028657-0.0190045j -0.0458282-0.0176773j -0.0152855+0.0272094j 0.0368004+0.0418944j 0.0777607+0.00183445j -0.107518-0.0114852j 0.0303876-0.0563216j -0.0399548-0.0519905j -0.0077342-0.0248095j 0.0481434+0.0285184j 0.035534+0.0427156j 0.0262846-0.00612531j 0.0229048+0.010142j 0.0672144-0.0531717j -0.00538603-0.0593361j -0.0887673+0.0603484j -0.0254289-0.0443266j 0.0400623+0.0230489j 0.0323121-0.0452846j 0.0802266+0.0709451j 0.070051+0.0230427j 0.00534807-0.0758474j -0.0677296-0.00127106j 0.0580946-0.0416647j -0.0572093-0.0263832j 0.00646218-0.0236656j 
0.049347-0.00489068j 0.00952265-0.0193712j -0.0823173-0.0164085j 0.0120724-0.0523392j 0.0348142-0.0315454j 0.0876199-0.00999806j -0.0729136-0.0992341j -0.0125794+0.069893j 0.0595147-0.0649268j 0.00786654-0.00709631j -0.0780193-0.00282682j 0.030002-0.00831248j 0.0193431+0.0259028j 0.0792678-0.0778159j 0.0225494-0.0361352j -0.0330267+0.0235438j -0.0278114+0.0742465j 0.0209189+0.0110852j -0.0649425-0.0225893j 0.0612134-0.0259122j 0.0164463-0.0103j 0.0128297-0.0654327j -0.0768344+0.0285696j 0.0932413-0.0469136j -0.0149831+0.00299608j -0.0536441+0.0163331j 
0.00267012+0.0688005j 0.0275391+0.0187663j 0.0499911-0.0978333j 0.015518-0.00847006j -0.0984508+0.0701625j -0.0309188-0.000767598j 0.0968016+0.0691266j -0.0162234-0.00553633j 0.0515568+0.0967552j -0.0287901+0.0189137j 0.000776989-0.0689196j 0.0350737+0.00858221j 0.00646407+0.0100053j 0.0678565-0.0127331j 0.0407296-0.000611915j -0.0166551-0.0203048j -0.00694635+0.0339791j -0.011394-0.011708j -0.0622378-0.000375825j 0.0128062-0.0122642j 0.00691175+0.0328668j 0.0160025-0.0218201j -0.0412961+0.00013084j 0.0689208+0.0123952j 0.00640701-0.00949681j -0.0347978+0.00860144j 
0.045475+0.0101868j -0.0540238+0.0161439j 0.0172284-0.0258858j 0.0890669-0.00904097j -0.00838835-0.0318535j -0.145656+2.11681e-05j 0.0086364-0.0328132j -0.0901125-0.00785812j 0.0192364+0.0258824j 0.0535982+0.0164418j 0.0458851-0.00957984j 0.0391836+0.0256922j 0.029769-0.0269023j -0.0071224-0.0129459j 0.00328513+0.0559655j 0.069421-0.000642665j 0.0389739+0.0523408j 0.000734969-0.106009j -0.150701-0.00182252j 0.00190035-0.105461j -0.0401354+0.0516834j -0.0698265-0.00221081j -0.0043831+0.0566126j -0.00737284+0.0104879j 0.0278579+0.0281621j -0.0404002+0.0246719j 
-0.0469562+0.0322413j 0.0177725-0.00210892j 0.0332035-0.014161j 0.0413725+0.0432269j 0.0832963-0.053854j 0.109535+0.0774747j 0.0249229-0.0968808j -0.0540348-0.0251707j -0.000399443+0.0359909j -0.004613-0.0160746j 0.0149251-0.0556692j -0.059143+0.0232525j 0.0218817+0.0475574j -0.053167-0.0141203j -0.0179851-0.00724505j 0.0204779-0.0431022j 0.0869174+0.127877j 0.0632225+0.0429459j 0.0054269+0.00410006j -0.062232-0.0455051j -0.150144-0.0413154j 0.0348487-0.0327948j 0.0129871+0.0141011j -0.0311939-0.0456914j 0.0516389+0.00628057j -0.00370391+0.0628339j 
0.0781973-0.00349414j 0.00675291+0.00836256j -0.0609472-0.0622902j -0.0147319-0.0701606j -0.0716343+0.0988829j -0.0878181-0.0104945j 0.0320068+0.0316793j 0.0134973+0.0538075j 0.0812218-0.0175666j 0.00972643+0.0194344j -0.049878-0.00359931j -0.0546224-0.0169865j 0.0149463+0.0037634j -0.0915032-0.0458037j -0.0780269-0.0279382j 0.0128514+0.0654745j 0.0167548+0.008901j 0.0620592+0.0280534j 0.0678809-0.022981j 0.0198174-0.00913168j -0.0281231-0.075122j -0.0310771-0.022886j 0.0229349+0.0350952j -0.0796207-0.0784005j -0.0200388+0.0248454j 0.0303891+0.00701612j 
0.0301262-0.0448854j -0.0452678+0.0339422j -0.00475136+0.0268765j 0.0345772-0.0552107j -0.0348307-0.0536926j -0.105538+0.0229169j -0.0770713+0.00854853j -0.0331514+0.0453731j -0.0184857-0.0253753j 0.0441305-0.0227213j 0.0317081+0.0156895j -0.00727669-0.0237346j -0.0553013+0.0300835j 0.0606763+0.0358341j 0.068292-0.00827786j -0.0128006-0.0748213j -0.0669555+0.0309086j -0.0740429+0.0783718j 0.0348328+0.0435736j -0.037975+0.0246206j 0.0218363-0.0472642j 0.0939386+0.0514502j 0.000459353-0.0587036j 0.0718698+0.0477766j 0.0225233-0.0119544j -0.0267545-0.00269267j 
-0.0194002+0.0555289j 0.0105619-0.029858j 0.0266525-0.0205103j 0.0205599+0.0503776j 0.0210888-0.0209475j 0.0686783-0.0621074j 0.025619-0.0236532j -0.0141499-0.0419654j 0.00447295+0.0365251j -0.0240996+0.0230252j -0.00826005-0.0136101j 0.0331079-0.0989125j -0.0364607-0.0559944j -0.0310855-0.0814585j 0.00836728-0.0321333j 0.0209123+0.0431857j -0.0498045-0.0586604j -0.113688-0.00702648j -0.00502714+0.131008j -0.001846-0.0395146j 0.161701-0.0506619j -0.0635782+0.0690164j 0.0390767+0.0600529j 0.00736117-0.0608954j -0.0316112+0.0201992j 0.00365183+0.0115258j 
-0.00070704-0.00891593j -0.0138401-0.00181833j 0.0123843-0.00957738j -0.00676515+0.0275429j 0.0165583-0.00185927j -0.0218765-0.0034813j 0.0153788-0.00600669j 0.017038-0.00242525j 0.0098242-0.0231666j -0.0149098+0.000353054j 0.0115491-0.0241362j -0.00776542-0.0136294j 0.0141938-0.00553354j -0.0113313+0.0133203j 0.0206342-0.0485062j -0.0406554-0.0118562j 0.0511468-0.00688769j 0.00419321-0.038105j -0.0253457+0.00983664j -0.0332008+0.0442088j -0.00877827-0.0887482j -0.0259777+0.00218003j -0.0480233+0.0282995j 0.0128803+0.0459276j -0.0101038+0.0297156j 0.0386776-0.0372342j 
-0.000704678+0.0174987j 0.0269783+0.00797741j -0.000479457+0.0205869j -0.0207577-0.0399839j -0.0207953+0.0269515j 0.0208334-0.0160572j -0.00397359+0.0440388j -0.00023858+0.0168662j 0.00852424+0.0265367j 0.00683172+0.0119427j -0.00625517+0.0351579j 0.00668202+0.0181541j -0.0304783-0.00604349j -0.0171011+0.010494j 0.00252448+0.0376593j 0.0473306-0.0161007j -0.032795-0.0111518j 0.0439109+0.0480032j -0.000356216+0.00292919j -0.0455464-0.0608717j 0.0367972+0.0340437j 0.0192332-0.0288583j -0.0137238-0.0102804j 0.00997226-0.00905611j 0.00480523-0.0385326j -0.0152315+0.016792j 
-0.0163892+0.0175206j 0.0317596+0.0324681j 0.00668462-0.0228333j -0.00325382+0.01734j 0.0126693+0.0236295j -0.0239178+0.0172888j 0.0566522+0.0244828j 0.0383338-0.0420127j -0.0198219-0.0323887j 0.00303406+0.0721235j -0.0367498-0.00678522j -0.0103165+0.0183067j -0.0442443-0.0119596j -0.00609929+0.0417698j -0.02172-0.0168775j 0.010411-0.0054851j -0.0312521-0.0703927j 0.0344061-0.000797537j 8.87107e-06+0.0470609j -0.049217+0.0290789j -0.0655994-0.0173117j 0.00156435-0.0126608j -0.0177409+0.0737748j 0.0742021-0.0086834j 0.0176553-0.0196146j -0.0348658-0.046463j 
0.00681518+0.0183388j 0.0436373-0.0126278j -0.00331784+0.018945j -0.0455751-0.0305143j 0.000618293+0.0373784j 0.0207239-0.0254959j 0.0439321+0.0226304j -0.00887332-0.0021473j 0.0115547+0.0307506j 0.034652+0.00977224j 0.0121696+0.049811j -0.00479035+0.00263321j -0.0136166+0.0165343j 0.000630712-0.00675842j 0.0119625-0.00175929j 0.020932-0.0266027j -0.0266943+0.0135884j 0.0180702-0.0173213j 0.0130639+0.00507183j 0.000542486+0.0126013j 0.0149323+0.0306081j 0.0219581-0.0129906j -0.00254881-0.00862117j -0.0175269-0.0200104j -0.0107158-0.0131786j -0.00423026+0.0156746j 
-0.0365384+0.0065435j 0.0231946+0.0149022j -0.0265331-0.0139137j 0.00769797+0.0402886j 0.0124175-0.0054296j -0.0125686+0.0195193j 0.0471833-0.0871421j -0.0222369-0.0565303j -0.036192-0.0145814j 0.0158127+0.0403616j -0.0322386-0.0170049j -0.0275633+0.0149283j -0.00524081+0.00429405j -0.0356228-0.0258253j -0.00590828-0.0183123j 0.0504382-0.0500431j 0.00877419+0.00905319j -0.0026923-0.00182802j 0.00777073-0.00170341j 0.0380447-0.0413147j 0.0648097+0.0404723j 0.0763297-0.045522j -0.0533532-0.0279636j -0.0437373+0.0224718j 0.00237501-0.00865129j 0.0148787+0.00894478j 
0.0296715+0.0108209j 0.0264428+0.00297952j 0.00478861-0.0262818j 0.0140682-0.0289515j 0.0294979+0.0190924j 0.011557+0.0223111j 0.0360095+0.0780697j 0.0204781-0.030872j -0.0195524-0.00393307j 0.0432737+0.0316976j -0.0140069+0.0327721j 0.0245615-0.0116727j 0.00482912+0.00415399j 0.00865149+4.35786e-05j 0.0458417+0.0357178j -0.0308393+0.0332549j -0.0224632+0.0429134j 0.0224502+0.0374477j -0.0100383-0.0289805j -0.051472-0.027088j 0.0164212+0.00851929j -0.0659061+0.0194734j 0.0276714-0.0468413j -0.0136621-0.0138055j -0.0188631-0.0106217j 0.0110565+0.032045j 
0.0306418-0.00302957j -0.0156372-0.0214004j 0.0242959+0.0193715j -0.0266489-0.0112584j -0.0895601-0.00219786j -0.00566487+0.000253983j -0.0340146+0.00190504j 0.0486611+0.034045j 0.0235856+0.00990015j -0.0246905-0.0334866j 0.0224676+0.0157162j 0.0264719-0.00992757j 0.0194838+0.00409168j 0.0167904+0.000357573j -0.0176188+0.0287198j 0.0435425-0.0521263j 0.0511952+0.00116274j 0.00954955-0.0365223j -0.00368169-8.04281e-05j 0.00442403+0.0125412j 0.0606363-0.0566515j 0.0438137-0.00861075j -0.00198742+0.0204622j -0.00989261+0.00825076j -0.00786352+0.00963876j 0.0132036+0.0184384j 
