0.00649472-0.0147029j -0.0151086-0.0150863j -0.020293+0.0167135j 0.00645112-0.000216489j -0.00983366+0.0219889j -0.0109418-0.0115205j -0.00932345+0.00131368j -0.023581+0.0142624j 0.00131195-0.0136389j -0.00196021+0.0288249j -0.00242416+0.0303711j 0.00419539-0.0225608j 0.0352828+0.0390322j -0.0328612-0.00363599j -0.0237875+0.00220873j 0.00672393-0.0426851j -0.0437443-0.0280458j -0.0180943+0.00544972j -0.0245909-0.0175509j -0.0171319+0.00888277j -0.00853146-0.00464985j 0.00257192-0.0152053j 0.0207977-0.0063163j -0.015408+0.026365j -0.00155698+0.0178253j -0.0568503+0.0288593j -0.00354155+0.0475576j 0.0171284-0.0210345j 0.00773385+0.00815994j 0.000288146-0.0283103j 0.00567421+0.00936097j -0.0151465+0.0194562j -0.000684098+0.00255671j 0.00708837-0.0185802j 0.00873902+0.00364154j 0.00761436+0.00493406j 0.0123309+0.0276626j 0.0101487-0.0360878j 0.00326077-0.0148276j -0.00273856+0.0230995j 0.00774666+0.0108566j 0.0146468-0.0138973j -0.0100021-0.0217364j -0.00268435-0.0279117j -0.00638848-0.0132874j -0.000109756-0.0188465j -0.0333673-0.0844499j 0.0202658-0.00581104j 0.00808546+0.00826318j -0.0185467+0.0382454j -0.0219402+0.0251496j -0.0198647-0.0130984j 
-0.0215446-0.012717j -0.00177144+0.0155721j 0.00544308+0.00742059j 0.00810648-0.0198092j -0.0275653-0.00948675j -0.00465918+0.00791318j -0.0105815-0.0234627j -0.0531732+0.0170796j 0.00321414+0.00356766j -0.00851112+0.0272199j 0.030975-0.0373104j 0.00536537+0.00399452j -0.00783862-0.000173475j 0.0263417+0.00767589j -0.0254854+0.00982463j 0.00109368+0.0104433j -0.0070282-0.00233656j 0.00740714+0.0123944j 0.00776901-0.0107485j -0.0146673-0.00529856j 0.00529055-0.000252254j 0.0172188-0.0126619j -0.0307128-0.0151737j 0.0330214+0.00255308j -0.0206138-0.0154598j 0.0271065+0.0526347j -0.00567978-0.00970262j 0.00981348-0.0161606j 0.009409+0.0136432j 0.00511987+0.00950249j 0.0437297+0.0118774j 0.0171491-0.017036j -0.00766842+0.0173573j 0.0137112+0.00711166j 0.0199218-0.0261347j 0.016351-0.0204298j 0.00527095+0.00678089j 0.0351316+0.0175982j -0.00976523+0.00431221j -0.00999131+0.00587539j -0.0414214+0.0172322j 0.0201418+0.0244422j -0.0150928+0.0169616j 0.0376519-0.00501117j 0.0180289-0.00534267j 0.0369054+0.0172301j 0.0403298+0.00259721j 0.00580026-0.0223778j 0.00210666+0.0110432j -0.0510033+0.00442926j 0.0268301+0.0218395j -0.0241731+0.023382j 
-0.0230104+0.000385073j 0.0237472+0.0321006j 0.00502085+0.00496452j 0.0198111-0.00991443j -0.0162089-0.0953718j 0.0526119-0.0151761j 0.0131342+0.00659445j -0.0494056-0.0226226j 0.0162907-0.0186649j -0.0253951+0.0498844j -0.0671006-0.024915j -0.0565256-0.027991j 0.0297014+0.000324319j 0.0636273+0.0329114j -0.00884911+0.000558503j 0.0122787-0.0256379j -0.00481194-0.0178332j -0.00761765-0.0367952j -0.0232629+0.0561273j -0.0263728+0.0448354j -0.0328302+0.0606377j -0.0167788+0.069453j -0.0127054+0.0593332j -0.00693224-0.0473329j -0.0035937-0.00483622j 0.0269442+0.00847698j -0.0271129-0.00882157j -0.0424613+0.0553243j -0.00249832-0.0799461j -0.0469428-0.0256096j -0.038157+0.010481j -0.0200374+0.0216377j 0.0342745-0.0374925j -0.0493788-0.00168207j -0.0505026+0.02738j 0.00586756-0.0456496j 0.0143446-0.070133j -0.0331936+0.041126j -0.00371379+0.016695j 0.000849256-0.0513955j -0.0243237+0.00608376j -0.0183264-0.0350629j 0.0285717-0.0102679j -0.0342571+0.0695951j 0.0242445+0.0626314j 0.00648449+0.0229633j 0.000672135+0.0274243j -0.0172371-0.001866j 0.0529136+0.0912177j -0.0895275+0.0256589j 0.0165537+0.0115557j -0.0109667+0.0234105j 
-0.0541885-0.034299j -0.0171954+0.0666812j 0.044628-0.0318519j -0.00403568-0.0315005j -0.050442-0.0132495j -0.0317574+0.0211972j -0.00383799-0.0848541j -0.0951191+0.0594202j -0.0275769+0.0698537j -0.0145072-0.0391444j 0.182715-0.179892j 0.0268409+0.0533431j -0.133377-0.095845j 0.161874+0.0454006j -0.0368541+0.0451473j -0.0377316+0.173263j 0.0535671+0.109499j 0.0942541+0.0808917j 0.10207-0.00687207j 0.0145353-0.047634j 0.0541723-0.000106819j 0.0887609-0.0682851j -0.0914908-0.055917j 0.180341-0.00823365j -0.039745-0.0581857j 0.187212+0.105726j 0.0074883-0.10211j 0.00246872-0.0760854j 0.000319539+0.083024j 0.0494482+0.10154j 0.162309+0.038916j 0.137731-0.093383j -0.0725451+0.104442j 0.0459943+0.0505052j 0.0845527-0.106155j 0.042804-0.102302j -0.0343126-0.0404267j 0.0986912+0.100878j -0.0147209+0.0424659j 0.0124862+0.0443608j -0.136474-0.0121207j 0.0590891+0.0994761j -0.018167+0.0936425j 0.179958-0.0299852j 0.0272249-0.0249268j 0.0738454+0.0412601j 0.209004+0.0694067j 0.00222807-0.033874j -0.0897237-0.0291294j -0.0374089-0.0748604j 0.120357+0.00867775j -0.0366665+0.0983257j 
0.025915-0.0684185j -0.0703187-0.0727906j -0.0956817+0.0449252j -0.00955777+0.0224435j -0.0881283+0.122804j -0.054431-0.0291172j -0.0492511-0.00742852j -0.120732+0.100392j -0.0202783+0.0146381j -0.0723144+0.0911008j 0.0679649+0.0723572j 0.0371275-0.106934j 0.0809425+0.141378j -0.077029-0.0214737j -0.120921+0.0103053j 0.0307797-0.0943854j -0.152061-0.0563175j -0.0115389+0.10069j -0.037253-0.0702301j -0.0192661-0.030688j -0.0165346-0.0965289j 0.0823648-0.131757j 0.0248352-0.0792617j 0.0368757+0.122233j -0.0481159+0.0335427j -0.162555+0.144079j 0.0494692+0.14421j 0.0784134-0.126488j -0.00654522+0.124507j 0.06095-0.0473677j 0.0557316+0.0257203j -0.0309407+0.0623284j -0.0627677+0.0746226j 0.046321-0.0393786j 0.161073-0.0528608j -0.00170679-0.0188946j 0.0437009+0.108119j 0.08274-0.0498996j 0.0380337-0.0468594j 0.01943+0.159077j -0.0252267+0.0519156j 0.0477904+0.0304607j -0.0499359-0.0495567j 0.0661051-0.176928j 0.0493086-0.0579017j -0.0489379-0.0908758j -0.0480873-0.266991j 0.0813474+0.0177224j -0.0141906-0.0208911j -0.00632088+0.0627872j -0.0476533+0.11049j -0.0858909-0.0318943j 
-0.0350148+0.0193937j 0.00819003+0.0342619j -0.0174198-0.0837949j -0.106244-0.0675963j 0.0694003+0.201061j -0.1276+0.114582j 0.0834563-0.0643808j 0.0188292-0.229606j 0.0248724+0.0439303j 0.0938336-0.0026999j 0.0146874+0.038931j 0.0102418+0.0340441j -0.203854-0.0636772j -0.138109+0.0147378j 0.105899+0.0213412j 0.00435252-0.116746j -0.0136406-0.0778241j -0.122218-0.0871567j -0.0298275+0.0444028j -0.00437832+0.00338683j -0.0177494+0.0801534j -0.0253225+0.0648096j -0.0153191-0.0252117j 0.0481899-0.0156841j -0.00682928+0.0143989j -0.0762084-0.0979791j -0.0571003-0.0150129j 0.0271524-0.0370642j 0.12848+0.022162j 0.0763784+0.0856538j 0.0851232+0.136114j 0.101489-0.0427151j 0.0174638-0.00837331j -0.0646835-0.0341485j 0.0332295+0.0225738j -0.0966496+0.0956841j -0.143137+0.0284448j 0.130537-0.244466j 0.145728-0.0269851j -0.07909-0.0510349j 0.179086-0.0238276j -0.0414539-0.0114217j -0.0822164+0.109593j 0.0764701+0.00189156j -0.111439+0.0187722j 0.196385+0.0110467j -0.212294+0.00964498j 0.0178851-0.255346j -0.0851881-0.121054j 0.0760997-0.0187395j -0.0525964-0.0429536j 0.0517454-0.0387454j 
-0.026192-0.00980113j -0.0106577+0.0479942j -0.0700587-0.12857j -0.121163+0.105755j 0.0290386-0.0240805j 0.082556-0.0861041j 0.0959672-0.0132442j -0.0705477-0.0077549j -0.0734198+0.0737726j -0.156934+0.0102761j -0.138582-0.0617819j -0.111713-0.203506j 0.148979-0.0355058j 0.139199+0.136985j 0.0116595-0.0348988j 0.129925-0.0481108j 0.0204754+0.00359805j 0.00313151-0.143923j -0.0717238+0.331034j 0.0501918+0.124046j -0.162467-0.012398j 0.134369+0.103781j 0.0413854+0.0539527j 0.116356-0.13365j -0.00287026-0.0930861j -0.0130126-0.0562906j 0.0411558+0.114528j -0.113786-0.096368j 0.0625926-0.178536j 0.111843+0.0112798j 0.114986+0.0836918j -0.146374+0.226325j -0.0349094-0.0013061j -0.142571+0.0393815j 0.056504-0.049273j -0.0426743-0.0521311j -0.0979725-0.101059j 0.0449505+0.112942j -0.0113635-0.0655207j 0.129766+0.0629781j 0.03208+0.0488012j -0.0709437+0.0105361j 0.112511+0.0276551j 0.107462+0.152609j 0.138566-0.0838049j -0.0808095-0.112846j -0.0476121-0.0628248j -0.0351827-0.0229031j -0.0507211+0.0728996j -0.0133286-0.0409062j -0.00501632-0.00475199j -0.00404627+0.00119244j 
0.0774861+0.102024j 0.0860006-0.0318194j 0.0687112+0.0117473j 0.0110811+0.022216j 0.112122+0.172491j -0.0841149-0.00227294j 0.182039-0.0658581j 0.0768921+0.0755996j -0.0504135-0.0582165j -0.17987-0.0415214j 0.0519266-0.0643624j 0.0537569-0.0544867j 0.136688+0.0233333j 0.023603-0.0280167j -0.00162708-0.0389771j -0.129025-0.0319172j 0.115384-0.0629346j -0.0544988+0.125283j -0.115475+0.00662835j 0.102501-0.11412j 0.0781845+0.152463j -0.0428494-0.0605761j 0.0361385+0.0059552j 0.0521891-0.0233816j -0.0450502-0.15415j 0.021353-0.039932j 0.150248+0.148466j -0.109694+0.0047813j 0.0863851+0.0700961j 0.0767875+0.2004j -0.0711857-0.0468682j -0.0164029-0.0431704j -0.147458+0.165386j 0.138697+0.0273527j 0.0121831-0.00727391j 0.0428313+0.200079j -0.0277624+0.102199j 0.0145043+0.25724j 0.0337301+0.0651429j 0.101414+0.153474j 0.177311+0.079892j -0.170391+0.161939j 0.044977-0.0128836j -0.000511035-0.127469j -0.0199281-0.0742414j 0.138791-0.0635968j 0.0655146+0.0141558j -0.104361-0.0188608j -0.00937906-0.047766j 0.0559957+0.00349776j -0.0228708-0.0247774j -0.0329217-0.0034054j 
0.0237327-0.0184989j -0.0462387-0.0319961j -0.0292771-0.00392148j -0.0169905+0.0714414j -0.0142166-0.0035883j 0.0334513-0.0181885j -0.0712733+0.075827j 0.0649596+0.0537663j -0.0187176+0.0516305j 0.00418965-0.041765j 0.022557+0.0355862j -0.00860999-0.017435j -0.0313416-0.0148655j 0.0139359-0.0279607j -0.0103954+0.0138254j 0.0343482+0.0804135j -0.0152308+0.0866096j 0.0499531+0.0521134j 0.0643079-0.0177531j 0.0187979+0.0166356j 0.0272786-0.12255j 0.0390228-0.0353613j 0.0104423-0.0260131j 0.0100965+0.0327953j 0.0139538+0.0594766j -0.00446657-0.030254j 0.0208589-0.000540572j 0.037073+0.00361729j -0.102532+0.0343022j -0.0173658-0.0569329j -0.0224069-0.0422788j -0.0181728+0.0241005j 0.0270416-0.00653486j -0.0154749+0.00853072j 0.0423523-0.0335953j -0.0267478-0.037775j 0.0232872-0.0510984j -0.0513499-0.0312599j 0.00566374-0.0265849j 0.0125259+0.0272527j -0.0711036-0.0385016j 0.0294717-0.0180796j 0.0165757-0.0511156j -0.00500963-0.00792713j 0.0406719-0.0208793j -0.16057-0.024579j 0.0585615-0.0145356j 0.0331078+0.11079j -0.0442534-0.047062j 0.0817361-0.0613567j -0.00241556-0.0149533j 0.0214235-0.0218339j 
-0.042714-0.0615235j -0.0601178+0.0188785j -0.0680874-0.0682751j -0.0825154+0.00230237j -0.0629135+0.0450665j -0.0313225+0.0109372j -0.0229946-0.04162j -0.0835147-0.0510008j -0.0218498+0.0949236j 0.0174723-0.000366032j 0.0356162-0.00591484j -0.00988853-0.0359079j -0.10952-0.0362884j 0.00866904+0.0334985j -0.00780353+0.0480531j 0.0549584-0.0148765j -0.0557996+0.0412561j 0.0294146-0.0397236j 0.0224609+0.0731945j -0.0224489+0.020901j -0.0442108-0.0762549j 0.0730556-0.0258666j -0.022875-0.0576679j 0.0969775+0.0275171j -0.0357722+0.00983684j -0.03355+0.0376864j -0.0103709-0.00412493j 0.0448535-0.113996j 0.0299319+0.0390274j 0.0818171+0.00376291j 0.14724+0.0749484j 0.039071+0.0443238j -0.00655917-0.00549931j -0.056095+0.00421221j 0.12572-0.0502837j -0.0587698-0.0827211j -0.0539684-0.0171759j 0.0965725-0.110282j 0.021673-0.0419993j -0.0266137+0.0283331j -0.023691-0.0250731j 0.0580921-0.00855363j -0.0499992+0.0760703j 0.132313-0.0230297j 0.0162895-0.00656944j -0.0119922-0.0264267j -0.0343518-0.0661226j 0.0565444-0.0680216j -0.0866302-0.0470296j 0.00949542-0.0398396j 0.0110281+0.0295343j -0.0147376+0.00506059j 
0.014955-0.0136575j -0.0400079-0.0128692j 0.00780771-0.0231185j -0.0235452+0.0290984j -0.000384421+0.0438694j -0.0123464-0.0163169j -0.0292742+0.00431549j 0.0471229+0.0453357j -0.024528+0.0351029j 0.0339609-0.0827595j 0.0640348-0.014841j 0.0331845+0.0156337j -0.0608519-0.0368357j 0.0203573-0.0100634j 0.0157135+0.0169891j -0.00302454+0.0848128j 0.00978405+0.100428j 0.0523478+0.0471868j 0.0509991-0.0033289j 0.0552831-0.0234496j 0.0337718-0.0717508j 0.0454358-0.055841j 0.0171288-0.0464346j 0.0416019+0.0143316j 0.00788549+0.00919112j 0.0204507-0.0214786j 0.0405966-0.0362953j 0.00916355-0.0501182j -0.0219289+0.0561609j 0.0378423+0.0416548j 0.0516469-0.0022065j 0.0417882-0.0116646j -0.0410113+0.0416694j 0.00644842+0.011585j 0.0565355-0.0370339j -0.00910463-0.0232106j -0.00403074+0.0172063j 0.0119285+0.00207441j -0.00176603-0.00780837j 0.0247766+0.0392684j -0.0263233-0.0563363j 0.0202911+0.0185302j 0.0138143+0.000505351j 0.0471535-0.0373848j 0.000415673-0.0383695j -0.0606015-0.0136014j 0.0812897-0.00470242j 0.028907+0.0342336j -0.0693092-0.0654372j 0.0682485-0.0723233j 0.022798-0.0225649j 0.00991255-0.00187006j 
