-0.138649-0.166283j -0.166716+0.249833j 0.126184+0.0384399j 0.23922+0.00503036j -0.127711+0.0319175j -0.153871-0.255774j 0.144147-0.157778j 0.141161-0.306636j 0.438802+0.0789321j 0.107985+0.256329j -0.113068-0.293565j -0.0377575+0.0145753j -0.159525-0.00383656j -0.0386717-0.0135261j -0.121621+0.290728j -0.118561+0.253182j -0.44152+0.0619335j -0.128037-0.311684j 
-0.0800543-0.127694j -0.0934176+0.06163j -0.11791+0.0369825j 0.0290894-0.0599957j -0.0442881-0.114683j 0.0084904+0.112071j -0.150013+0.015638j 0.193852+0.114864j -0.0826118+0.178663j 0.0680026-0.107638j -0.00686095-0.141114j 0.0924142+0.0353168j 0.174465+0.0480726j 0.096909+0.019154j -0.0792207+0.116951j -0.00255179-0.125647j -0.0238244+0.19686j -0.225384-0.00369019j 
-0.149624-0.018144j -0.011043+0.111678j -0.045752+0.114895j -0.0280768-0.0605289j -0.116848-0.0385255j 0.0922024+0.0647874j -0.0833474+0.125709j -0.225981-0.002688j -0.0177893-0.196723j -0.00507934+0.127598j 0.076823+0.119298j -0.0982381+0.0156906j -0.175842+0.0455379j -0.094102+0.0318185j 0.0105468-0.141482j 0.0649311+0.108042j -0.0776404-0.183218j 0.197848-0.10941j 
-0.0487765-0.0267984j 0.00627696-0.042642j -0.121727+0.00783423j -0.0136675-0.0683815j 0.0166873+0.0347301j -0.026683-0.0345535j 0.0811995+0.0448001j 0.0545581+0.0273429j -0.0185761-0.040716j 0.174869-0.0922055j -0.0287067-0.128099j 0.0223778+0.0139739j -0.00308943+0.00603245j 0.0356283+0.0845463j 0.0120809+0.0153904j -0.0391195+0.0928026j 0.0301148-0.0761818j 0.095835+0.097487j 
-0.0509492-0.0771753j -0.0592855-0.0097235j 0.0110762-0.000475281j -0.0942965+0.0279432j 0.00643432+0.139695j -0.0471767+0.0357189j 0.0109833+0.0247519j 0.0688332+0.08854j -0.0773449+0.0554238j -0.0153251+0.00448275j -0.00960781+0.069296j -0.104441-0.0531262j -0.00413495-0.000653076j -0.0277237-0.082439j 0.132585+0.0275825j -0.0776008+0.131934j -0.0690446+0.0228964j -0.025181-0.00923384j 
0.031965-0.043944j 0.000288836+0.0549619j 0.119697-0.117751j 0.0333398+0.0883946j -0.0162738+0.0470427j 0.0410183+0.0378494j -0.110426+0.0368009j 0.0247186+0.0282726j 0.0079239+0.00145379j 0.0741884+0.0434105j 0.0474747-0.0311875j -0.020466+0.0188271j -0.00366006+0.000665651j -0.0368034+0.0265088j 0.0186167-0.00665326j -0.0351566+0.0363242j 0.0292549+0.00494224j -0.0165573+0.0606849j 
-0.109832-0.0370038j -0.0418522+0.0380725j -0.0175831-0.0452267j -0.0329791+0.0875949j 0.120186+0.117957j -0.0012362+0.0553275j 0.0325072+0.0434352j -0.0169246-0.060762j 0.028673-0.0052195j -0.0354203-0.0365765j -0.0193145-0.00651496j 0.0386096+0.0257905j 0.00345374+0.000987001j 0.0211367+0.0188737j -0.0488053-0.0304747j 0.0748179-0.0448287j 0.00748814-0.00186365j 0.0249194-0.0287728j 
-0.0104918+0.0243869j -0.0465791-0.035793j -0.00672949+0.13822j -0.0941702-0.027794j -0.0120603-0.00029007j -0.058595+0.00907218j 0.051666-0.0767097j 0.0264088-0.00892467j 0.0688433+0.0251795j 0.0749581+0.132089j 0.133012-0.025222j -0.0300327+0.0825929j -0.0042296-1.79506e-05j -0.105561+0.0520631j -0.00768844-0.0705863j 0.0162677+0.00594302j 0.0759358+0.0577448j -0.0707257+0.0871975j 
0.0803869-0.0445532j 0.0268329-0.0346871j 0.0160898-0.0366944j 0.0144265-0.0672304j -0.120875-0.00789848j -0.00577618-0.0426422j -0.0488694+0.0277982j 0.0970243-0.0955033j 0.0278786+0.0769003j -0.0400964-0.0939918j -0.0138707+0.0159227j -0.0352319+0.0843134j 0.00328572+0.00597374j -0.0221773+0.0116302j 0.0302374-0.127518j 0.174176+0.0942101j -0.0198944+0.0399548j 0.0546312-0.0275901j 
0.0245716-0.00162321j 0.00507407+0.0468297j 0.00442946-0.0261452j -0.0318039+0.015143j -0.00932945-0.0440702j -0.0346106+0.00574588j 0.0183935+0.0444397j -0.0270419+0.0120278j 0.0276042+0.0444029j -0.029444+0.0386076j -0.0196108+0.0534198j 0.0437509+0.0411182j 0.0754406+0.102979j -0.0294568-0.00794145j -0.0294599+0.0626109j 0.0149302+0.0390142j -0.0126926-0.0480071j 0.00136443+0.0784634j 
-0.0374628-0.00580855j -0.0218059-0.043515j 0.0294905+0.0190467j 0.00642178-0.0318224j 0.0353042+0.0141041j 0.0367843-0.00329528j -0.0228306-0.0322448j 0.0397405+0.00600987j -0.0228412-0.0172799j 0.03088+0.0146205j -0.0479013-0.0131826j -0.065228+0.00373364j -0.0378084+0.00154397j 0.0207133-0.0895059j -0.052805-0.0138184j 0.0358687-0.0178067j 0.0347688+0.0216691j 0.00390877-0.00421484j 
0.0339899+0.0363162j -0.0388714-0.0050443j -0.0110366+0.039738j 0.028615-0.0386786j 0.042179+0.0489522j -0.0199651-0.0520124j -0.0615515+0.0103242j -0.0463785-0.0164948j -0.00915806+0.0199694j -0.0608274-0.0356202j 0.025148-0.0346551j 0.0273788-0.016838j -0.0663612+0.0156055j 0.0345313+0.0895461j 0.0257217-0.047378j -0.0651815+0.0346332j -0.00558749-0.00486812j -0.0646769-0.0151024j 
-0.0497117+0.0176081j -0.0362521-0.0398203j 0.0280409+0.00400136j 0.00610248-0.0227923j 0.027078+0.0081611j 0.0512421-0.0215561j -0.0373591-0.0364512j 0.00980352-0.00139525j -0.000331179-0.000558877j 0.0144013-0.00392772j -0.00359172+0.0306618j 0.0224428+0.0405847j 0.0383624-0.0279604j -0.0632956-0.00463825j 0.00293258+0.0375705j 0.00373232-0.0177465j -0.00473522-0.0109017j 0.0239156-0.00161956j 
-0.038437-0.0100824j 0.016145-0.0198521j 0.0118749-0.00276543j 0.0195787+0.00826495j -0.011566-2.6745e-05j 0.0454253+0.0128763j 0.0127437-0.0287832j 0.000788416+0.012523j -0.0391895+0.00440655j -0.0470738-0.00584078j -0.0436771-0.0326279j 0.0127126+0.0201968j -0.106813-0.0344566j 0.0223638+0.0246025j -0.0387108-0.0473875j -0.0270699+0.0370756j 0.0220503+0.019696j -0.0572461-0.0115553j 
0.0229325-0.0532933j 0.0400024+0.0145863j 0.0561386+0.0557166j 0.0465387-0.0573919j 0.0626977+0.001673j -0.00511678+0.0176161j 0.0166042+0.0419728j 0.0278063+0.0582063j -0.0136031-0.00483868j -0.0260407+0.0484133j -0.0529499+0.0193945j 0.0817938+0.0446518j -0.0146039-0.103371j -0.0320775+0.0239755j -0.036565+0.0154722j 0.027195+0.0449936j -0.00955724+0.0198757j 0.0123562+0.0205351j 
0.0289614+0.000409022j -0.0360082+0.00190368j 0.0412649+0.0417939j 0.00118458-0.0717166j 0.0823782+0.00865415j -0.0289347-0.0310958j -0.0452227+0.0371225j -0.00104378+0.00877579j -0.000512105+0.00891843j -0.0117023+0.0184737j -0.0195006-0.00325909j -0.00705956-0.00470604j -0.0150953+0.0345336j 0.0267149-0.0161249j -0.0253786-0.00536595j 0.0107257+0.0199383j 0.00773621-0.000954775j -0.0129706+0.0218651j 
-0.00128803-0.00241702j -0.000495927-0.0031103j 8.37731e-05+0.00040871j -0.00248809-0.000461591j 0.000680189+0.000662092j -0.000245067+0.00271826j 0.000974254-0.00239262j 0.0124784-0.0482538j -0.0392207-0.00940813j 0.0318706-0.065563j -0.0201385-0.00351856j -0.0742166+0.0680385j -0.0205437+0.000967626j -0.0732626-0.0674208j -0.0194171+0.00235943j -0.0329952-0.0653088j 0.0395262-0.00949081j -0.0141914-0.0478645j 
-0.0474878-0.0364954j 0.0268525-0.0316511j 0.0830738-0.0118051j -0.00374006-0.0715057j 0.0398875-0.0429695j 0.0367064+0.00148208j 0.0288624-0.00136644j -0.0134401-0.0221292j 0.00843897+0.000801097j 0.0100776-0.0206936j 0.0261637-0.00646119j -0.0275385-0.0161382j 0.0162151+0.0347114j 0.00719201-0.00372397j 0.021-0.00362228j -0.0127849-0.0185302j -0.00104299-0.00893742j -0.00099296-0.00905827j 
0.0154573-0.0411566j 0.00420845+0.0171j 0.0616842-0.00435022j -0.0479382-0.0550636j 0.0529753-0.0563005j -0.0401601+0.0154698j 0.0231693+0.0515275j 0.0102499-0.0205653j -0.00917525-0.0205748j 0.0259806-0.0469411j 0.0367813+0.0140354j 0.0308136+0.0270654j 0.0177383-0.104395j -0.0827702+0.0454125j 0.0547413+0.0174142j -0.0287154-0.0486023j -0.0139721+0.00406025j 0.0274305-0.0584364j 
0.0138497+0.0294178j -0.0443806+0.0134083j -0.0136974+0.00101445j -0.0181849+0.0101207j 0.0111722+0.00436979j -0.0168398-0.0197723j -0.0383078+0.00964054j -0.0573035+0.0124075j 0.0231711-0.0196648j -0.0279895-0.0341343j 0.0363714-0.047176j -0.0224086+0.0237149j 0.106183-0.0320526j -0.00823696+0.0192828j 0.0424534-0.0337718j -0.0455463+0.00816886j -0.0386346-0.0045142j 0.000777183-0.0101737j 
0.035844-0.0374661j 0.0526784+0.0200573j -0.025532+0.00776113j 0.00718837+0.0222297j -0.0286583+0.00403491j -0.0344733+0.0406995j 0.0508714+0.0164924j -0.0240559-0.0021085j 0.00527365-0.0112414j -0.0038185-0.017935j 0.00227586-0.0377049j -0.0631638+0.00591409j 0.0376972+0.0274257j 0.0215951-0.0400765j -0.00353717-0.0306711j -0.0147483-0.00397522j 0.000225077-0.000581192j -0.00976241-0.00159306j 
-0.0625911-0.00783759j 0.0174382-0.0509738j 0.0396602-0.0505748j -0.0289044-0.03679j -0.0121771-0.0381018j 0.0395052-0.00639706j 0.0321444-0.0370967j -0.0652547+0.015908j -0.00509533+0.00381117j -0.0662376-0.0329975j -0.0279799-0.0470916j -0.0337707+0.0910684j 0.0673288+0.0158406j -0.0263028-0.0177831j -0.0265886-0.0352942j -0.0604381+0.0368698j -0.00951603-0.0198672j -0.0462732+0.0172055j 
-0.0229239+0.0325041j -0.0377783-0.00260333j 0.0353369-0.0150258j -0.00871062-0.0314676j 0.0295831-0.0204241j 0.0206566-0.0436012j -0.0375157+0.00635424j 0.00376517+0.0044006j 0.0350048-0.021312j 0.0343076+0.0172186j 0.0526151-0.0160567j -0.0217483-0.0876529j 0.0394358+0.000295483j 0.0651896+0.00384423j 0.0474539-0.0142605j 0.0305914-0.0143217j -0.0225736+0.0178727j 0.0389863-0.00596679j 
0.0171998-0.0449494j 0.034571+0.00313221j -0.00772294+0.0431656j 0.0318707+0.0130642j 0.00443078+0.0260655j -0.00358+0.0461688j 0.0245269+0.00035682j 0.0014169-0.0778713j -0.0121674+0.0492707j 0.0137573-0.0404289j 0.0296648+0.0614436j 0.0288667-0.00772253j -0.0738171+0.103223j -0.0435876+0.0421223j 0.0202472+0.0524022j -0.029317-0.0379373j 0.0270751-0.0438328j -0.0274093-0.0111595j 
