-0.0109024+0.101899j -0.10041-0.0211092j -0.0406594-0.108418j -0.133279+0.0788111j 0.0755618+0.087929j 0.0412207+0.0484849j -0.0437564-0.0811675j -0.083362-0.0149826j 0.0721324-0.135301j 0.030285-0.0586802j -0.00321986+0.0537717j -0.0134445+0.00808599j -0.156437-0.0291652j 0.075409-0.0242997j -0.0243808-0.112283j 0.0228115+0.0133448j -0.0242359-0.0164495j -0.0795459-0.00610534j -0.00176033-0.0630078j 0.0580973+0.038015j -0.16757+0.0501037j 0.00658411-0.0448104j 0.00203417+0.032632j -0.0942932-0.234793j -0.0038328+0.0117902j 0.0546894+0.0343807j -0.0721429-0.0261182j 0.0103762-0.0402674j 0.0826301-0.0647086j -0.101859+0.13522j -0.0871915+0.021273j -0.12283+0.140308j 0.0174818-0.0169116j 0.174249+0.118772j 0.126947-0.0337836j -0.0185734-0.11703j 
0.0742535+0.110287j -0.117365+0.062845j -0.0334766+0.00872036j 0.01908+0.0418808j 0.0283048-0.01943j -0.0990974-0.0635012j -0.0490453+0.139591j -0.0111629-0.0910663j -0.106886+0.00107938j 0.00263009+0.000186198j -0.0251103+0.0147307j -0.113901+0.0821606j 0.0310215+0.0300216j -0.129415-0.0747047j -0.00905621+0.100531j -0.116824+0.058048j 0.121283+0.0398189j 0.0893286-0.121846j 0.144432+0.164312j -0.132457-0.0315053j -0.000840044-0.0840266j 0.0437785+0.0573523j 0.0437617-0.0967952j 0.131564+0.0689994j -0.0156563-0.0046988j -0.0665238+0.173276j 0.0476063+0.000458719j 0.00294049-0.0701357j -0.0140928+0.145708j 0.0164666-0.109431j -0.0601973-0.0402801j -0.00678897-0.137562j 0.137952-0.0745297j -0.155242+0.0488155j -0.200767+0.0627801j 0.117889+0.171959j 
-0.00748917+0.00811809j -0.00730475-0.00825661j -0.105638-0.019025j -0.000650852+0.143532j 0.105811-0.0182033j 0.0540159-0.0303781j 0.0849618-0.0855346j 0.185939+0.0653908j 0.0878369+0.172347j -0.0125353+0.100334j -0.00649164-0.106306j 0.0923096-0.166688j 0.186048-0.0617908j 0.0853822+0.0870852j 0.0529866+0.0308465j -0.0483386+0.0866192j 0.132564-0.0170081j 0.0643593-0.0115449j 0.125669+0.131594j -0.00832975-0.0818218j -0.103702+0.0283365j -0.0389462+0.0601171j 0.0390281-0.0568099j -0.0748478-0.0712382j -0.0213012-0.0251235j -0.00186667+0.169731j -0.0209574+0.0242354j 0.0790401-0.069982j 0.0342633+0.055764j 0.039604+0.0621921j -0.103176-0.0334854j -0.0114648+0.0795237j 0.127034-0.128167j 0.0625627+0.0123799j -0.132731-0.0184394j 0.0463896+0.0883547j 
0.117499+0.06181j -0.0735137+0.110767j 0.0299688+0.0192187j 0.0183048-0.0438157j -0.034497-0.00770456j 0.00891853+0.10157j 0.131579-0.074605j -0.0291435+0.0289953j 0.115491+0.0850892j 0.0204082+0.0125328j 0.00145612+0.000215302j 0.10662+0.00047671j 0.0135523-0.0938962j 0.0483676+0.139167j 0.0999692-0.0612942j 0.123516-0.167029j -0.195424-0.0668803j 0.151681+0.0579133j -0.1387-0.0777254j 0.0129447-0.133325j 0.0643278-0.0395628j 0.0124748+0.114525j 0.00789953+0.136287j 0.000404309+0.0734878j -0.045472-0.00154517j -0.0616722-0.178906j 0.0158321-0.00470276j 0.128967-0.0608306j -0.04689-0.0954572j 0.0432719-0.0621286j 0.00592278-0.0807889j 0.134165-0.0282652j -0.149155+0.162946j -0.0852769-0.124315j 0.124949-0.0383768j -0.115734-0.0635954j 
0.0983158-0.022029j 0.0119233+0.10017j 0.0756641-0.0881528j -0.133644-0.0795029j -0.0413414+0.108721j 0.0259237-0.114358j -0.0789878-0.024052j 0.158444-0.0274474j 0.0118487+0.00990187j 0.00207277+0.0548969j -0.0321697-0.065462j -0.0699392-0.135843j 0.0845496-0.0114787j 0.0462003-0.081926j -0.0434118+0.0490356j -0.0233981+0.118429j 0.127107+0.0387524j -0.18078+0.112628j -0.0157066-0.017035j 0.117583+0.145023j 0.0869123+0.028543j -0.103013-0.143369j -0.0737407-0.0593495j 0.00562682+0.0380937j 0.0736953-0.0236269j 0.0582185-0.0294408j 0.00232918+0.0133655j -0.10229+0.232953j -0.00105955+0.0286321j 0.0057666+0.0508659j 0.166365+0.0556436j -0.0595453+0.0397881j 0.00536164-0.0662684j 0.0826837-0.00242025j -0.0260382+0.0161848j 0.0244669-0.0116465j 
-0.0166878+0.0658806j 0.055801+0.0379067j -0.0578016-0.0995908j -0.0136686-0.0337466j -0.0242223-0.112514j 0.0541367+0.0424488j -0.0574059-0.0503189j -0.0656908-0.0218345j 0.0288229-0.0361605j 0.0257788-0.00811206j -0.0820997+0.0328768j 0.043263-0.0236667j 0.0563415+0.0246857j -0.042863+0.02795j -0.0405988+0.110896j 0.0133211+0.0156916j -0.0229205-0.0069057j -0.0585905-0.017991j 0.00197622-0.0272256j 0.0329897+0.00789646j -0.112702+0.00327433j -0.00698807-0.0166637j 0.0200015+0.00475421j 0.0102931-0.0694601j -0.0111778+0.000166744j 0.00995943+0.00747349j 0.0425231-0.123544j 0.00103845+0.0112547j -0.0513728-0.0175198j 0.0367481+0.0274219j -0.000738748+0.00929075j -0.0432054-0.0345j -0.0791581+0.00521892j -0.0344693-0.111758j -0.0823663+0.00279237j -0.0556548+0.072675j 
0.0469021+0.0857298j 0.0960769-0.014726j -0.0559382-0.000170746j -0.0174219-0.00224772j -0.0531421-0.0176404j -0.0729749-0.04287j -0.0569369+0.0505679j -0.00307375-0.0148557j 0.011149-0.03158j -0.0597538+0.0324467j 0.0368694+0.0236064j 0.0202315-0.0252573j -0.000602102+0.0235357j 0.0282266+0.0784123j 0.0475543-0.0385917j -0.105507-0.00550375j 0.0440599+0.0545678j 0.0849684-0.0158937j 0.005297+0.0760015j 0.00390952-0.0742898j 0.0131613+0.0265211j 0.0137741-0.0465149j -0.00614122+0.074757j -0.0340285+0.0376685j 0.00457004-0.0362116j 0.0385554+0.0347603j -0.059094+0.0374054j 0.0159986+0.0122886j -0.0721845+0.0299211j -0.066788-0.0250941j 0.0470225+0.0441899j 0.0479176+0.0382241j -0.0196157+0.0175247j 0.0132796+0.0151491j 0.0707154+0.0969904j 0.10135-0.10299j 
-0.033401-0.0198614j -0.0298802+0.0246132j -0.0966622-0.0134634j -0.0296995-0.00878223j -0.0880201-0.0429703j 0.117738-0.0442116j 0.0502951-0.0518074j 0.042343+0.0619894j -0.0273874+0.0574882j 0.0391266-0.0936028j -0.00355097+0.0144934j -0.0460753+0.0412381j -0.0360873-0.0736012j -0.0552824-0.0816821j 0.0395133+0.0423776j -0.0539203-0.0114506j 0.0341516+0.0441965j 0.0468798+0.0189108j -0.031645+0.0190223j -0.0237905+0.0039578j 0.0842562-0.0930853j 0.0237177-0.00211304j -0.074777+0.0179758j 0.023836+0.0629408j 5.77481e-05+0.0325623j -0.0254798+0.0272764j 0.0404397+0.119201j 0.00585724-0.0217011j 0.0347941-0.0511883j -0.052111-0.0282474j -0.048224-0.0128456j 0.0722498+0.0293118j 0.0409902-0.0709789j 0.101789+0.0591141j 0.0480825-0.0147152j 0.0439471-0.0879405j 
0.0731499+0.0505574j 0.0721496-0.0511823j -0.00507284-0.0286161j 0.0001702-0.00926793j 0.00414447-0.0293209j 0.0279659+0.0159413j 0.0509326+0.0447906j 0.00584784+0.0532231j -0.0509142+0.0106957j 0.0379158-0.00298651j 0.0350312+0.00174155j -0.0520483-0.00925579j 0.0052028-0.053426j 0.0490882-0.0466477j 0.0275735-0.0148655j 0.132354-0.001569j 9.32533e-05-0.160569j 0.0731819-0.0356675j 0.0553473+0.0366525j -0.00660893+0.102862j 0.00426192-0.0682182j 0.00820236+0.0632191j 0.0660214+0.0123426j 0.0825588+0.00428475j 0.107279-0.0454576j -0.00162631-0.0319513j 0.106898+0.04819j -0.0828274+0.00172759j 0.0702997-0.0191829j -0.00301987+0.0610906j 0.000852448+0.0672091j -0.00570817-0.101231j 0.0569195-0.0378178j 0.073557+0.0393206j 0.0033257-0.161676j -0.132252-0.0040223j 
0.0295788+0.0239032j 0.032528-0.0194228j -0.0873369+0.0431368j -0.0292881+0.00937578j -0.0967549+0.0139944j -0.0397242+0.0415109j 0.055577-0.080741j 0.0373475-0.0749994j 0.0469668+0.0431409j 0.0013304+0.0132135j -0.0384236-0.0924516j 0.0286902+0.0610269j -0.0417578+0.0625316j -0.0512448-0.0511122j -0.118629-0.0449014j 0.0406326+0.0880644j 0.0462097+0.018476j -0.103469+0.0574889j -0.0398215-0.071225j -0.0733639+0.026747j 0.0474703-0.0106745j -0.0547554+0.0232867j -0.0301612-0.05522j 0.00493726+0.0200994j -0.0437628+0.118414j -0.0254487-0.0279961j -0.00201011+0.0300122j 0.0263591-0.0622505j 0.0717708+0.0193805j 0.0296137+0.00183527j -0.0831798-0.0958961j 0.0216923+0.00353467j 0.0309011+0.018841j -0.0481849+0.0178674j 0.03313-0.042918j -0.05256+0.0112596j 
0.0969945+0.013082j 0.0452623-0.0861859j 0.0539904-0.0188931j 0.017808-0.00383845j 0.0572472-0.00132003j 0.0477432+0.0376779j 0.0282223-0.0789197j 0.000300662-0.024002j 0.0227462+0.0253646j 0.0351839-0.025425j -0.0591311-0.031175j 0.0145372+0.0326506j -0.00368567+0.0153234j -0.0577014-0.0498215j -0.0724001+0.0418828j -0.0995538-0.103917j -0.0708102+0.0963128j 0.0136025-0.0140071j -0.0217321-0.0181573j 0.0463725-0.0386177j 0.0478626-0.0440185j 0.0612319-0.0277085j -0.0780391-0.0268376j -0.0168404+0.013097j -0.0598623-0.0348341j -0.0390066+0.0348819j 0.00326821+0.0373843j 0.0344226+0.0363444j -0.00601217-0.0712817j -0.0137987-0.0533965j 0.0119407-0.0277791j 0.00444407+0.0757379j 0.00497326-0.0749395j 0.0841472+0.0160295j -0.0444704+0.0555488j 0.105901-0.00357173j 
