-0.000713635-0.0678087j -0.127903+0.0298269j 0.0177262-0.0357529j -0.0388743+0.0670226j 0.0477425+0.0710432j 0.0915901+0.0824912j 0.010252+0.00359175j -0.001312-0.0125048j -0.0132046+0.0346017j 0.00844157+0.0442924j -0.0139321+0.0619815j 0.0460578+0.0555813j -0.111794-0.0211991j 0.0882829-0.0117566j 0.00668609+0.0984263j -0.00869213-0.00516522j -0.010238-0.00731661j 0.0178602+0.00128255j -0.00556353+0.0162737j -0.00739592+0.00829383j -0.00631194+0.0205287j -0.000316427-0.0113106j 0.000150942-0.0291082j -0.000407985-0.0140459j -0.00791079-0.0132669j 0.0352854+0.0783517j -0.0169423-0.0796122j -0.0123859-0.00214783j 0.00680232+0.00899914j 0.000245166+0.00101968j -0.0110249-0.00504997j 0.000238086-0.0119173j 0.104615-0.0428057j -0.0617202+0.0406395j -0.0701634+0.0248952j -0.0658713+0.0497171j -0.00263279-0.0172881j -0.07374-0.115653j 0.0616879+0.0162818j -0.039077+0.0564449j 
-0.0824243-0.0652071j -0.0341692+0.0811738j -0.0213435+0.0651043j -0.0248678+0.012469j 0.0556333-0.0616587j 0.0276844-0.035622j 0.0105763+0.0388424j -0.00739132+0.0680346j -0.019974-0.0550284j -0.0875054+0.0435144j 0.0791663-0.0186839j 0.0221692-0.0360513j -0.0180736+0.000244276j -0.0729834-0.0883983j 0.0293218-0.0520439j 0.00313089-0.0113366j -0.00782054-0.0216034j 0.0189917+0.0500276j -0.0244098+0.0221354j -0.016269-0.0473811j -0.0342564-0.0116328j 0.0216765+0.0562228j 0.0485321+0.0530828j 0.0283447-0.00884466j 0.0202282-0.0233157j 0.00384993-0.0112528j -0.0368476+0.0404401j 0.0730485-0.102889j -0.0643946+0.0364134j 0.0185973-0.0237616j 0.0146661-0.0361365j 0.0229709-0.0158385j -0.0232197+0.000338496j 0.0654425+0.0141256j -0.0223598-0.0200551j 0.0837419+0.0162781j 0.12368+0.0350907j -0.00653937+0.0487329j -0.0481609-0.123477j 0.0675363-0.0682565j 
0.0723031+0.0208696j -0.0312441+0.0611157j -0.0518712-0.124758j 0.096193-0.0249033j 0.00658635+0.0822188j 0.0288936-0.0210331j 0.00215184+0.00180025j -0.0499946+0.0196336j 0.0539852+0.0249591j 0.0092758-0.101648j 0.0228164+0.010047j -0.0361792+0.0109775j 0.0784825+0.00454054j 0.00987842-0.00980181j 0.0189458-0.0350531j -0.0333464-0.00681156j -0.0358453-0.0493194j 0.027543+0.0351174j -0.0112145+0.0895573j -0.0259692-0.0641221j -0.0201945-0.00796222j -0.0183973+0.0575236j -0.0272248+0.0442245j 0.0649968-0.0581367j 0.0227183-0.051113j -0.061527-0.052156j 0.0504187+0.0289112j 0.0631081+0.00400283j -0.0984184+0.0189117j 0.0305013+0.0168126j -0.0275422+0.0142057j 0.106814-0.0331321j -0.0549606+0.0889508j 0.0174526-0.0334302j 0.0350395-0.0565422j -0.00921117-0.0718561j 0.129742+0.0892974j 0.0772384+0.00535084j -0.0479186-0.0885136j 0.0472551-0.0913398j 
-0.0935798-0.0167979j -0.0498404+0.0141994j 0.0368866-0.059161j 0.0519879+0.0357374j -0.0324273+0.0135571j 0.0192687-0.0126863j -0.0761359-0.0686086j 0.0560516-0.0998739j 0.0329662-0.0787904j 0.0388298-0.0340923j -0.066809-0.0474638j 0.0315492-0.0847097j 0.0771136+0.0693328j -0.0262974+0.033616j 0.0132113-0.0376502j 0.0394583+0.0139833j 0.0197563+0.0418537j -0.0234542+0.000711957j 0.0447051-0.08197j -0.0510521+9.01302e-05j -0.0635007-0.0665087j -0.00472758-0.050899j 0.0363841-0.00501863j -0.0164951-0.0661335j 0.0414453-0.0701077j -0.107654+0.031215j 0.0696119+0.000346755j 0.0109166-0.028043j 0.119049-0.0297329j 0.0153171+0.00874732j -0.0597059+0.00498288j 0.0279896+0.00558063j 0.0558459+0.156057j -0.000740642-0.0171074j 0.00537183-0.0208845j -0.0414862-0.0967371j -0.0280842-0.0613607j 0.130014-0.0346647j -0.0521858+0.115389j -0.0862402-0.0402568j 
0.00587683-0.00371706j 0.000408908+0.0569134j -0.0203795-0.0241124j -0.00715137-0.0837734j -0.0596125+0.0601604j -0.0906745+0.0425442j 0.0395088-0.00227023j 0.0611472+0.0498193j -0.0229003-0.0191677j -0.0270841+0.126257j 0.0674088-0.0265721j 0.0877794-0.0197104j -0.122971+0.0537286j -0.0535239-0.0809746j 0.0452807+0.0156158j -0.00255974+0.00332572j -0.000322326+0.0117814j 0.000293335-0.0191514j 0.0208021-0.012555j -0.0351207+0.0329073j -0.0596553+0.024294j -0.115835-0.0106183j -0.10442-0.029097j -0.0605082-0.0968353j -0.0623219-0.108339j -0.0429629-0.0373369j 0.0660337+0.0189154j -0.0296101+0.114696j 0.0222269-0.153338j 0.038825+0.0360063j -0.0908345+0.154367j 0.109835-0.0589843j 0.00334655+0.0573116j 0.0370883-0.0186912j 0.148737+0.0156109j -0.116825-0.0865982j -0.0711852+0.0401579j 0.052774+0.000435674j 0.0172074+0.0722341j -0.0227135+0.0199384j 
0.000428984+0.0172357j -0.000500511-0.12405j -0.0109886+0.00913405j 0.000691506-0.0133418j 0.00226665-0.00848057j -0.0101883-0.0100134j -0.0998443+0.0235369j -0.017311-0.107713j -0.0689213-0.102391j -0.000686615+0.0790137j -0.000409554+0.0616549j 0.0979888-0.136802j -0.0695217+0.101521j 0.00654891-0.109203j 0.100161+0.023947j -0.0287868-0.0122949j -0.0453833-0.0771209j 0.00157845+0.0896218j -0.076536+0.0952226j 0.0230119-0.0259994j -0.047004+0.0102415j -0.0375261+0.00211776j 0.0260596+0.000488115j 0.0870354-0.00880853j 0.0335002-0.0362112j -0.000835091+0.0494706j -0.00559547-0.000565388j 0.00158098-0.00701905j -0.0912344+0.00159721j 0.000200837+0.0180377j -0.0321202-0.036045j 0.0847409+0.022271j 0.0258026+0.0013786j -0.0378358-0.00108527j -0.0465789-0.0117131j -0.0227903-0.0242367j 0.0782808+0.0955426j 0.00149372-0.0886266j 0.046021-0.0782897j 0.0306282-0.0126113j 
-0.00562446-0.0036097j 0.000389493+0.0566643j -0.0900495-0.0419726j 0.00652047-0.0832391j 0.029+0.0796568j -0.0202592+0.0245495j -0.0461556+0.0154302j 0.0446519-0.0857844j -0.121875-0.0548783j 0.0250232+0.124553j -0.0683879-0.0264291j -0.0106352-0.0887509j -0.0216704+0.0170207j -0.0547676+0.0557635j -0.0403337-0.00207718j 0.022307+0.0185618j -0.0179735+0.0723231j 0.0550812-0.000141174j 0.0693202+0.042093j 0.115343-0.090314j 0.15105-0.0105224j 0.0399795+0.0207209j 0.00678651-0.0592101j 0.098059+0.0798304j 0.0874913+0.157874j 0.0470743-0.0360762j 0.0675362-0.00112036j 0.0267178+0.112759j 0.0220705+0.154452j -0.0401899+0.0338639j 0.0659555-0.109552j -0.0793535+0.0854635j -0.103405+0.0239698j -0.115086+0.0092537j -0.0625005-0.0240452j 0.0384019+0.0338975j -0.021322-0.0134801j -0.0017832+0.0199067j 0.000118733+0.011176j 0.0026207+0.00371716j 
0.0933387-0.018298j 0.049409+0.014434j 0.0202025+0.0128024j -0.0505863+0.0377313j 0.0235215+0.0234982j 0.0385084+0.0566879j -0.013033-0.0387408j 0.0311669+0.0294285j 0.0761657-0.0689876j -0.0367209-0.0328982j 0.0664829-0.0482954j 0.0699538-0.0592144j 0.0331731+0.0811777j -0.0665162-0.0930133j 0.0767164-0.0686428j 0.0878395-0.038112j 0.0501037+0.116422j 0.125929+0.03699j 0.0294023-0.0660862j 0.0371498-0.0959062j 0.00152644+0.0203776j 0.0010078+0.0150217j 0.0617075-0.152143j 0.0270157-0.000519518j 0.0595381+0.00489482j 0.104388+0.0363235j 0.0656695+0.0180723j -0.00933672-0.0333421j 0.122021+0.027856j -0.0154781+0.00675311j -0.0395575-0.0720225j -0.0299393+0.0627723j 0.0409718+0.0066869j -0.00335704+0.0504868j -0.0663244+0.0645101j 0.0518054-0.00118753j -0.0439323-0.0850046j -0.0215281-0.00119099j -0.022239+0.0430721j -0.0411581+0.0126447j 
-0.0715687+0.021922j 0.031891+0.058128j 0.0285824+0.0206781j -0.0973877-0.0246475j -0.040201+0.0724148j -0.0512338+0.12709j -0.0183679-0.0347029j -0.012147-0.00724627j 0.0807158-0.00386774j -0.00989659-0.104011j -0.0192328+0.0103909j 0.00235845+0.0378962j 0.054939-0.02388j 0.0520728+0.0111342j -0.000188138+0.000717624j -0.0433289-0.0908423j 0.0486377-0.0850216j 0.0792338-0.000650091j -0.129331+0.0867836j 0.00959353-0.0736121j 0.0332645+0.0593854j 0.0166931+0.0344992j -0.0495377-0.0906256j 0.0999303+0.0496022j 0.0280681+0.0145537j 0.0650756-0.0482564j 0.0565673-0.0125249j -0.0619696+0.00281069j -0.0985168-0.0159904j -0.0307491+0.016298j -0.0217103-0.0525268j 0.0548003+0.0679406j -0.0257992-0.0455411j -0.0191945-0.0564075j -0.0223005+0.00778256j 0.0246774-0.0631527j 0.0114416+0.0898377j 0.0262657-0.0354262j 0.0375902-0.0496861j 0.0341885-0.00575937j 
0.0798925-0.0670664j 0.0384743+0.0828026j 0.031381+0.033734j 0.0245835+0.0146414j -0.0282307-0.077837j -0.0223726-0.062342j -0.0308793-0.0496826j 0.0605917-0.0970379j -0.020931+0.000192274j 0.08779+0.0438433j -0.0809502-0.0155148j 0.0245137-0.0330544j -0.0201611+0.0532207j 0.0159135+0.0679422j -0.0116274+0.0399905j -0.0661343-0.0672761j 0.0482388-0.123915j -0.00863175-0.0440314j -0.126398+0.0356736j -0.0809179+0.0203107j -0.0255445+0.0192934j 0.0629522-0.01533j -0.020098+0.00166147j 0.0213552+0.0204396j -0.0137011-0.0373839j -0.00614263-0.00867437j -0.0256495-0.0463739j -0.0727542-0.103742j -0.0679035-0.0367055j -0.0187703-0.0235676j -0.019872-0.0240449j 0.0288826+0.0146194j 0.049484-0.0516991j 0.0211973-0.0580041j -0.0340021+0.00886715j 0.0149726-0.0494489j 0.0256351+0.025469j 0.0218872-0.0513592j 0.00980082-0.0225502j -0.00193473-0.012037j 
0.00268776+0.0660574j -0.126637-0.026066j -0.0902302+0.0839386j -0.0387408-0.0669849j 0.0729462-0.0466556j -0.0187955-0.0375983j 0.00568192-0.0999987j 0.0917798+3.66974e-05j 0.11219-0.0206908j 0.0120861-0.0436146j -0.0154524-0.0633178j 0.0687892+0.0249472j 0.0127986+0.0374598j 1.30052e-05+0.0150472j 0.0102729-0.00266304j -0.0399686-0.0585905j 0.0633747-0.0189079j 0.0750044-0.115651j -0.00829781+0.0173715j -0.0704349-0.04773j 0.0702642+0.0280533j 0.0638296+0.039925j -0.103209-0.0453051j 0.00235755-0.0111852j -0.0118464+0.00375989j 0.0379609-0.0781026j 0.0376428-0.0737297j -0.0163134-0.00255027j -0.00854024+0.00760341j -0.000764824-0.00204353j -0.00907618+0.0115345j 0.0036908-0.0127284j 0.0023813-0.0322829j 0.00145759-0.0134279j 0.00432925+0.0215825j -0.00630833-0.0103347j -0.00515603-0.0164625j -0.0174492-0.000531835j -0.0103647+0.00656174j -0.00904031+0.0047042j 
