-0.0063954+0.0105123j -0.00818293-0.042328j -0.00363321+0.0648535j -0.00290611-0.0635441j -0.0157149-0.00979991j 0.0260724-0.0419582j 0.00544225-0.0850168j 0.0174962+0.000410109j 0.0503098+0.00829689j 0.060792+0.151237j -0.0250352-0.0705505j -0.0256414+0.103636j 0.0238738-0.0204378j 0.0474964-0.198081j 0.0737724-0.059181j -0.160129+0.129058j -0.0600693+0.0339274j -0.115042-0.068537j 0.060232+0.138827j -0.0316305-0.153675j 0.0650519-0.0879785j 0.0242071+0.0412877j 0.0162071+0.0452949j 0.140603+0.0935295j 0.027006+0.115584j -0.0731945+0.118127j -0.147589+0.271371j 0.0527051-0.00560861j 0.0524178+0.0224985j -0.0625148+0.153357j -0.0536225+0.0490326j 0.0295724-0.23302j 0.214792-0.0530311j -0.011764+0.050621j -0.151785-0.0691166j 0.010713-0.0384479j -0.116899+0.0411595j -0.446077+0.00094722j 0.0928291+0.0206146j 0.142792-0.0298841j 0.0182284+0.139834j -0.0876738+0.306499j -0.0412014+0.263323j 0.0563482+0.27822j -0.0649179-0.346944j -0.287642-0.187658j -0.0565633-0.342598j -0.0726737+0.0266339j -0.0381431+0.124306j 0.265083-0.185141j -0.52101+0.144362j -0.0121894-0.220668j -0.254967-0.00449003j -0.205506-0.388309j -0.292779-0.386217j -0.397893+0.0670121j 0.196698-0.541445j -0.228359+0.259061j -0.220479+0.336405j -0.468321-0.0253891j 0.299945-0.377306j -0.0736401+0.268074j 0.101412+0.139984j 0.628458+0.290271j -0.514039+0.0305634j -0.0809868-0.0560813j 0.203112+0.394476j -0.224909+0.643696j 0.338428+0.550074j -0.313678+0.313261j 
-0.0192766-0.0355434j -0.0349108+0.00458122j 0.118421+0.00134052j -0.224217-0.0762741j -0.13145+0.000546339j -0.0964191-0.101849j -0.160411-0.128775j 0.0335595+0.0357601j 0.0780621-0.085652j 0.299343+0.0236157j -0.143505-0.0179273j 0.145399-0.0315213j -0.0293283-0.0661986j -0.13883-0.0566496j -0.0126028-0.0999685j 0.0244031+0.106124j 0.178383+0.0306311j -0.0455512+0.00452299j -0.00142438+0.0359748j -0.0470539+0.266054j -0.135808+0.190326j -0.0467076+0.113868j 0.0806632+0.0722688j -0.048934-0.234307j -0.0273892-0.0792158j -0.119031-0.139826j 0.375458+0.0488578j -0.0915648-0.234533j 0.0875412-0.155282j -0.0900855-0.0648289j -0.0785366-0.0176835j -0.0271636-0.0585531j 0.246272+0.126174j 0.388657+0.0494423j -0.152228-0.184933j -0.0890498-0.060095j -0.0649291-0.136947j 0.242197-0.619193j 0.100944+0.0360724j -0.139239+0.101182j -0.358168+0.0343475j -0.0791451+0.130834j -0.0704348-0.0261767j 0.108937-0.491025j 0.133938-0.0537991j 0.248291-0.279265j 0.583788+0.147569j 0.278818+0.167494j 0.214499-0.0768556j -0.136884-0.0726958j -0.0297174-0.217213j 0.286671-0.180605j -0.237219-0.243639j -0.0309161+0.194028j 0.323826+0.0253988j 0.137933-0.530006j 0.070244-0.0229706j -0.393741+0.00739987j -0.293193+0.565366j -0.0355596-0.555624j -0.0659236-0.19367j 0.350936-0.137599j 0.418067-0.0194884j 0.393956+0.394352j -0.0878748+0.494161j -0.190932-0.1433j 0.387069-0.403869j -0.454029-0.00714337j -0.151642+0.417244j -0.120081-0.664792j 
0.0315905-0.0222151j 0.121431-0.146392j -0.19494+0.12081j 0.0233787-0.164557j 0.134189-0.120078j -0.125842-0.0606503j 0.0316267+0.049369j -0.0910423-0.0207342j -0.278291-0.0060443j 0.208427+0.03691j -0.0869625-0.0785061j 0.119952+0.187747j 0.143376-0.127306j 0.0233125+0.117876j 0.0840814-0.0585269j -0.0351152-0.0590876j 0.263815+0.0201954j 0.142024-0.368659j -0.317258+0.135974j -0.202807-0.157027j -0.197583+0.080953j -0.387511-0.0671997j 0.00842064+0.0229615j -0.521046-0.262958j -0.321228-0.155544j 0.214127+0.0110592j -0.00866206+0.101596j -0.119368-0.0784569j -0.235511-0.0361614j 0.441527+0.070811j 0.145892+0.0601434j -0.0441227-0.166855j 0.604189-0.3417j 0.0441803-0.129155j -0.35612-0.334448j 0.341527+0.200678j -0.0380041+0.0675189j -0.192169-0.265422j 0.110076+0.186947j 0.0523887+0.356903j -0.365439-0.0545619j -0.09867+0.10295j 0.29807+0.378405j 0.285645-0.254764j 0.0642075+0.209209j 0.0404292-0.208898j -0.0529495-0.329923j -0.256808-0.209005j 0.0170815-0.135771j -0.571968-0.133851j 0.208961+0.0545443j -0.480059-0.319186j 0.108593+0.458064j 0.0999966-0.215155j -0.0322456+0.159149j -0.348241+0.0973525j 0.249113+0.0750122j 0.0695234-0.128917j 0.252187-0.0660764j -0.433348+0.510999j 0.12125+0.509234j -0.160757-0.2663j -0.431886+0.0391272j 0.0904196-0.0816161j 0.0329694+0.0903318j -0.106599+0.0164223j -0.359311+0.414096j -0.187349+0.511853j 0.0946499+0.201949j 0.262377-0.313173j 
-0.0392655+0.0274847j 0.0740417-0.103716j -0.251228+0.117416j 0.154395-0.0900659j 0.0465607-0.180812j 0.0631563-0.0125225j 0.155149-0.058389j -0.00567548+0.0442828j 0.0788665+0.121882j 0.24342+0.201239j -0.0215926-0.115682j -0.119846+0.0822523j 0.124538-0.132945j 0.15396-0.223093j 0.222044+0.202934j -0.205357+0.0525876j -0.0442066-0.0512337j 0.0485202-0.0459533j 0.0837421-0.245872j 0.119068+0.321646j -0.148195+0.218892j 0.0712424-0.0460923j 0.0491674+0.0405896j -0.138756-0.134954j 0.248814+0.0345553j 0.498325+0.309721j 0.494062+0.039024j -0.211726-0.243209j -0.116868-0.281982j -0.0849573-0.116254j 0.210921+0.00528589j -0.119162-0.0848901j 0.058396+0.0284483j 0.14501-0.163946j -0.0990313+0.567467j -0.169868+0.229418j -0.306636+0.0535959j -0.286541-0.026691j 0.0556717+0.217566j -0.180821-0.142929j -0.148564+0.135602j 0.166369-0.230466j -0.0487977+0.0253042j -0.17915+0.191778j 0.0224656-0.0710415j 0.0244355-0.586318j -0.275256-0.303901j 0.512908-0.292392j 0.111775-0.204409j 0.0621727+0.352718j 0.145506+0.40841j -0.61751+0.140003j 0.568834+0.457768j 0.203219-0.314166j -0.471248+0.0285688j 0.101057+0.136975j -0.121405-0.111562j -0.284182-0.22035j 0.00098956-0.0239504j -0.0977462-0.353592j -0.134703+0.160791j -0.127783+0.10348j -0.0488285+0.0206149j 0.0582864-0.373265j -0.0998526+0.0666003j 0.489174+0.0325982j -0.0976064-0.158648j -0.0651223+0.101402j 0.416714+0.0597312j 0.304584+0.091782j 
0.021323-0.0421544j -0.0402628-0.114317j 0.0775483-0.0162527j -0.0609092+0.200396j 0.0296288-0.205415j 0.0615614+0.0382955j -0.0635075-0.0368639j 0.0180507+0.0422974j 0.360918+0.237919j 0.0254324+0.0484226j -0.0507715+0.0220061j 0.111916+0.0796246j -0.359042+0.142552j 0.0175669+0.0109471j -0.0703005+0.182958j 0.238391+0.354874j -0.43384+0.0323615j 0.505695-0.0391667j -0.120761-0.0665249j -0.0872637+0.336582j 0.489882-0.436974j 0.273124-0.0135007j 0.0236223-0.262486j 0.0598399-0.0144969j 0.240593+0.232737j -0.203938-0.192127j -0.142926+0.087857j 0.0334179+0.0319376j 0.128048+0.210495j -0.471733-0.38801j -0.524821+0.0676795j -0.0780261+0.51908j 0.112851+0.0183044j 0.163667-0.125219j 0.120658+0.0195831j 0.318412+0.0559589j -0.350792+0.0521927j 0.305707+0.0488018j -0.131882-0.193835j -0.0627163+0.0897502j 0.679578+0.0110104j -0.0705809+0.240159j 0.0724463-0.123078j 0.0525057-0.18534j -0.324656-0.273539j 0.18102+0.125097j -0.313275-0.4206j 0.361523+0.147427j -0.0271309-0.239594j -0.0566501-0.134987j 0.0114321-0.210578j 0.162096-0.156689j -0.268273+0.00115964j 0.429539+0.355742j -0.309283-0.0420242j -0.0594089-0.176474j 0.0816069+0.148014j 0.00265839-0.02424j -0.562262-0.23803j -0.402786+0.270848j -0.496919+0.324875j 0.0327293+0.00465652j -0.040951+0.238652j -0.303895+0.405728j -0.307279+0.656965j 0.302655+0.171454j 0.095205+0.0353398j -0.00353321-0.0810109j 0.103782-0.179518j -0.175149+0.0520315j 
0.0239051-0.13901j -0.0794398-0.242373j 0.16701-0.00859872j -0.160245+0.185686j -0.047633-0.0692875j 0.14707-0.13651j 0.0599789-0.0421327j 0.0531138+0.053512j 0.203755+0.434425j -0.440528-0.0945534j 0.0345911+0.0439946j 0.282373+0.23625j -0.477854+0.123579j 0.0421789-0.0140896j 0.0592974-0.00605294j 0.371005-0.321726j -0.365346+0.0709335j 0.084552+0.402639j 0.201718+0.000295286j 0.436519+0.190428j 0.0877337+0.162589j 0.27394+0.355477j 0.444529+0.122026j 0.606336+0.0192706j 0.0546544+0.147978j -0.637627-0.368534j 0.126412-0.209914j -0.0941072-0.0501461j -0.0888661+0.297855j -0.406794+0.234009j -0.226907-0.00186643j 0.491957+0.351022j -0.0865025-0.131511j 0.318124+0.24609j 0.321231-0.0917933j -0.199161+0.0494435j -0.250571-0.377477j 0.166134+0.273202j -0.696185-0.197881j -0.109823+0.326046j -0.10563-0.32604j 0.233746-0.370932j -0.470764+0.478746j 0.220792+0.0722329j -0.872533-0.123696j 0.918663+0.00723784j -0.137417-0.272351j 0.194368+0.278923j -0.377738-0.293715j -0.166436-0.0202305j -0.225083+0.0761343j 0.179664-0.382854j -0.273324+0.109302j 0.27513-0.149893j -0.440193-0.0858737j -0.0322378+0.0367266j -0.0764306+0.0466019j -0.232631+0.433133j -0.00881334-0.0386315j -0.0602829-0.343497j -0.0772319+0.179522j 0.201021-0.496397j -0.193204+0.104673j -0.0499143+0.263903j -0.504926-0.155078j 0.238183-0.164253j 0.281658-0.108856j -0.0283247+0.0371015j -0.137014-0.288579j -0.24412-0.143227j 
-0.0777037+0.0266534j 0.0268487+0.0836202j -0.0884768-0.0284043j 0.0906553+0.0768219j -0.315755+0.0372227j -0.334999-0.00617015j 0.12514+0.0887233j -0.0112047-0.233009j -0.358409-0.0785457j -0.0124353+0.253173j -0.0225804-0.0833649j -0.139566+0.0202293j 0.396836+0.0280785j 0.0888836-0.290253j 0.462101+0.0476338j 0.0754101-0.0871592j 0.110104+0.0371092j -0.505101+0.184928j -0.130715-0.557559j 0.182302-0.142821j -0.130113+0.0662269j -0.559341+0.0621586j -0.243809-0.698136j -0.326993-0.109012j -0.31926+0.165347j 0.147733+0.191297j -0.125895-0.00883785j -0.188874+0.100711j 0.316687+0.147457j 0.0775617-0.0913264j 0.28819+0.114085j -0.81291-0.302541j 0.481836+0.0532457j -0.0470925-0.214843j -0.029808-0.184114j 0.0119693-0.216008j 0.139624-0.0887267j -0.174044-0.0862648j 0.332318+0.0151136j -0.276333-0.427375j 0.000473338-0.24296j -0.288543-0.114006j 0.211685+0.122229j -0.158479-0.176437j 0.361524-0.184063j -0.00918663+0.182904j 0.186563+0.0485612j -0.535751+0.0387624j 0.576654-0.194886j 0.0511536-0.09108j 0.18416-0.235217j -0.306082-0.0221033j 0.578453+0.00129131j -0.429368+0.365268j 0.129839+0.251458j -0.243486+0.0703542j 0.309225-0.11547j -0.370183+0.12771j -0.0699088-0.449388j -0.074808-0.0316348j 0.0419749-0.188828j 0.0187172-0.117481j 0.213652+0.553532j 0.290709-0.224233j 0.436913-0.189457j 0.0650861-0.165237j -0.113457-0.225682j 0.0488641+0.0896432j -0.1046+0.083187j 0.00237463+0.066822j 
0.0848768+0.104779j 0.0428337+0.309278j -0.00124547-0.243152j 0.0803117+0.205386j 0.421576-0.034526j -0.0154699+0.141567j -0.224343+0.104131j 0.052006-0.0301663j 0.0822254+0.182688j 0.15084+0.220534j -0.16849-0.14603j 0.0844961+0.184865j -0.182439-0.0352928j 0.275348-0.240231j 0.413523-0.150367j -0.233147+0.0856845j 0.180802-0.0618835j 0.0933229-0.377268j -0.263385-0.0660679j 0.134345+0.189409j -0.187398-0.0594883j 0.182909+0.368454j 0.173924+0.00132475j -0.0542839+0.186105j -0.137644-0.0443866j 0.0117265-0.239488j 0.0426403-0.0240691j -0.0935744+0.0620453j -0.115385+0.176194j -0.22442-0.022458j 0.122682-0.511115j -0.0350063-0.452071j -0.138506-0.109784j -0.550866-0.125417j 0.556932-0.0413363j 0.221055-0.586542j 0.514663-0.138725j 0.148241-0.0856244j -0.0179255-0.555191j -0.272864-0.578827j 0.231415-0.111171j -0.156305-0.160509j -0.175084+0.046419j 0.120326+0.0253583j -0.0839094+0.208843j -0.00456763-0.0282073j 0.0974329+0.20661j 0.147576-0.0534453j -0.143553+0.415684j -0.155096+0.150673j -0.106514+0.0787682j -0.229105+0.0432827j -0.0416676-0.410828j -0.152942-0.00705854j 0.216661+0.0628467j 0.278463+0.189985j 0.184613+0.295968j 0.225179-0.0373187j -0.119501+0.168169j -0.224072+0.102697j 0.141712-0.152329j 0.163514-0.183025j 0.032012+0.0198653j -0.269457-0.151638j -0.0294194+0.155965j 0.462759+0.0452206j -0.103522+0.217978j 0.0536796-0.30155j -0.20152+0.291851j -0.10922+0.0506003j 
-0.0707646+0.0411643j 0.0418452+0.128036j -0.0586993+0.126951j 0.137224-0.193984j 0.0431031+0.116958j -0.401142-0.245351j 0.205542+0.278793j 0.162362-0.398889j 0.0523903+0.180091j 0.00918764+0.189654j -0.0611393+0.0179863j 0.111099-0.426297j 0.313322+0.0695227j 0.332982+0.170487j -0.286105-0.113395j -0.0551002+0.252221j 0.467293+0.494632j -0.451746-0.0862037j -0.366666-0.0767744j -0.283854-0.0603723j 0.203169-0.0191956j -0.4779-0.333859j -0.461144+0.0352862j -0.0668219+0.152052j -0.0212393-0.326035j 0.497461+0.313571j 0.126444-0.140899j 0.0918107-0.165442j -0.381132+0.107005j -0.0743072+0.0514961j 0.149162-0.399301j -0.276958-0.0346184j 0.267067-0.137408j -0.174676-0.0189761j -0.131257-0.0405004j 0.145114-0.156625j 0.257161-0.33171j -0.414681-0.0609165j 0.782394-0.293501j -0.28245+0.114923j -0.163049-0.173915j 0.405903-0.176844j -0.193487+0.0716005j 0.111634-0.0149752j 0.271587-0.0157318j -0.27485-0.250726j 0.286677-0.131097j -0.168802+0.743752j 0.5738+0.0954297j -0.292122+0.022222j -0.22654-0.133844j -0.0884816+0.464067j 0.3827+0.173508j -0.0902231-0.0632277j 0.0216295-0.0584737j 0.455276+0.000180454j 0.0496558+0.255283j -0.488998-0.0681216j 0.183466+0.0069434j -0.0563862+0.101663j 0.0652009-0.231089j -0.408006+0.125954j -0.0656534+0.248264j 0.122871+0.0177241j 0.327486+0.10382j -0.3118-0.121437j -0.149041+0.108105j 0.162087-0.0488871j -0.0542509+0.0480246j 0.0392293+0.0550787j 
-0.303257-0.0310966j -0.177773+0.270671j -0.049429+0.0345937j 0.295532+0.0447625j -0.187519-0.190742j -0.440793+0.0390669j 0.062337+0.213606j 0.115068+0.289112j -0.139521-0.547712j 0.0068151+0.11394j 0.196061-0.293832j -0.188688-0.0729939j -0.0987346-0.441411j -0.0427274+0.184361j 0.15804-0.103121j -0.448958-0.0542378j 0.267407+0.0310129j -0.274743-0.123947j -0.235166-0.519314j -0.321186+0.174801j 0.0175095-0.0263721j -0.252963+0.0203687j -0.175557+0.253073j -0.0243684+0.0879909j -0.93673-0.0330675j 0.857081+0.0738319j 0.31226+0.130966j 0.595965+0.425256j -0.220541-0.284966j 0.0131569+0.474881j -0.290059-0.20733j -0.652838+0.120474j 0.279041-0.0467561j -0.288863+0.247388j -0.335162-0.332733j -0.228246+0.0744936j 0.266221-0.121154j -0.156921-0.100315j 0.328879-0.205807j -0.221685-0.0314237j -0.578538-0.242286j 0.207683+0.334307j 0.125057-0.0602494j 1.64812e-05+0.128462j 0.7093-0.356303j -0.0826546+0.09911j 0.548113-0.100901j -0.486305-0.0105375j 0.262077-0.304859j -0.118211+0.00940532j 0.353581-0.103686j -0.182358-0.103244j 0.0576508-0.371364j -0.351066-0.220298j 0.430424+0.33218j -0.16858-0.0522163j -0.0551837-0.00906868j -0.580103-0.142033j 0.437347-0.189663j 0.0338282+0.0680793j 0.44624-0.0688404j -0.270316+0.496953j -0.0870664+0.0257109j -0.00995026-0.0331337j 0.0238683+0.136204j 0.106849-0.0965238j -0.16641-0.318998j 0.196017+0.00241483j -0.166689+0.179107j -0.0054078+0.0862131j 
-0.095651-0.142695j 0.0729652+0.226802j -0.0700571+0.119255j -0.0242767-0.104793j -0.329047+0.189613j 0.0323171-0.676394j 0.278846+0.418015j -0.0179887+0.271856j 0.163096+0.0660676j 0.466109+0.390653j 0.373706+0.161914j -0.596943+0.0194606j 0.046513+0.172822j 0.0331747+0.195359j -0.0161487-0.219231j -0.121356-0.135703j 0.36241-0.363089j -0.24415-0.124033j -0.203538-0.103316j -0.0332738+0.0995193j -0.0171213-0.138063j -0.0940743+0.158308j -0.281939+0.155178j -0.296948+0.198846j -0.128301-0.0106539j 0.318389-0.0912467j 0.0417084+0.120685j -0.157925-0.145932j 0.104805+0.0821397j 0.764563-0.0928776j -0.0619052+0.0429172j -0.0300702+0.0691098j 0.232653+0.0406431j -0.317539-0.056869j -0.117078+0.100282j 0.198402+0.160313j 0.167489+0.0825689j -0.00316017+0.00843595j -0.181181-0.388001j -0.467265-0.0629372j -0.418833+0.560899j -0.130919+0.162129j -0.0290454+0.0775886j -0.180054-0.0665542j 0.0650887-0.0204289j -0.320941+0.260452j 0.0462788+0.0443044j 0.0647363-0.421228j 0.301932+0.118769j -0.574911-0.512995j -0.161185-0.39294j 0.0877807-0.122612j 0.49483+0.0935797j -0.492636-0.0075324j 0.214894-0.425076j 0.0688391+0.212602j -0.0650442-0.0480147j -0.314861-0.186304j 0.0930285+0.0111566j 0.0654491+0.0372884j -0.0712704+0.0734441j -0.422326+0.213581j -0.0193846+0.0328587j 0.0604279-0.0205282j 0.0586304-0.0637775j 0.0538964-0.21392j 0.0160217-0.210179j 0.0602931-0.0172748j -0.0651997+0.0722206j 0.0116407+0.002207j 
