0.0121116+0.00265859j -0.00405228-0.011844j 0.00527779-0.0115544j 0.0149564-0.0255148j -0.012395-0.00332067j -0.00318626-0.00474602j 0.00609559-0.0229996j -0.0077822-0.00390558j -0.00667122-0.0297874j 0.00239082-0.025731j -0.00796426-0.0162336j -0.00431326+0.00361358j -0.000565293-0.000733392j -0.00173524+0.00453492j 0.00581943-0.00342157j 4.81487e-05-0.0048291j -0.000374593-0.00731298j 0.000292082+0.0111869j 0.000171872+0.00641843j 0.00485832-0.00623063j 0.000312407-0.0104141j 0.00414678+0.00299227j 0.000309349-0.00496538j 0.00795188+0.00366322j -0.00241429-0.000777523j -0.000758861-0.00694173j 0.0107259+0.00227001j 0.0113416-0.000425511j -0.0034257+0.01958j -0.000876719-0.0057583j 0.00664166+0.000729909j 0.00646898+0.0128677j 0.002571-0.0131943j -0.00791864+0.00208696j 0.00391147+0.00277593j -0.00188265-0.00501447j 0.010223-0.000914334j 0.00429726+6.11925e-05j -0.00776765-0.000903302j -0.0184742-0.00409467j 0.00602301+0.00116928j 0.00581449+0.0103976j 0.0027688-0.00849847j -0.000884529+0.0087986j -0.00900443-0.00720638j 0.00351676-0.00408558j 0.00608772-0.00582291j -0.00359568-0.00166262j 0.00744967-0.0103758j -0.0013081+0.00525892j -0.00184045+0.00155935j -0.00175531+0.00249452j 0.000135919-0.00296399j 0.000478729-0.00394112j -0.00174901-0.00106779j -0.00113663+0.00190585j 0.0011761+0.00101939j 0.000887395-0.000982519j 0.00128814-0.000157979j -0.00278592+0.00173572j 0.0028833-0.0028318j 0.000442117+0.000609505j -4.13671e-05-0.000115086j 0.000489079-0.00218007j 0.00192419+0.000125277j -0.000497889+0.000936459j 0.000940884+0.000321484j -0.00112199-0.000436483j 0.000568566-0.00378119j -0.00194959+0.000875699j -0.00168518+0.00373635j 0.000327708+0.000174917j -0.00412658+0.00239231j -0.000643374+0.000720539j 0.00539274+0.000249102j 0.00109538-0.00174582j -0.000778239-0.000493198j 0.00248504-0.000676419j 0.00148696-6.12926e-05j -0.000714656-0.000814453j 0.00147546-0.000332701j -0.000856201+0.000101922j -6.02235e-05-0.000144572j -0.000239917+0.000956491j 0.000143278-0.00112622j 6.7686e-05+0.00128437j -0.000601128-0.000973537j 0.000663159-0.000231418j -0.002218+0.000713401j 0.000887919+0.000615821j -0.00113963+0.00230713j -0.000196557-0.00155899j -0.00174533+0.00110636j 0.000417028-0.00033978j -0.000403975+0.000430968j 
0.00919466-0.00485013j -5.46235e-05+0.01232j -0.0181304+0.00249588j 0.0282193+0.0123899j -0.00539069-0.0014537j -0.0173363+0.000624407j 0.00427615+0.0183085j -0.0226432+0.00102076j -0.0162093+0.0117459j -0.0217295+0.00367482j -0.00913961-0.00668022j 0.00353523+0.00776696j -0.00339027-0.00178881j 0.000811251+0.0103988j -0.00278574-0.00280065j -0.000606427-0.00104643j -0.00164527-0.0112066j 0.00491631+0.0115843j -0.00144055+0.00153787j -0.00105796-0.0106814j -0.00513557-0.0194745j 0.000617135-0.00196632j 0.00254731-0.00997903j -0.00372743+0.00688184j 0.0047255-0.0141716j 0.0003215-0.0144863j 0.00168002-0.00121933j -0.000203861+0.00469117j -0.00455027+0.0051186j 0.00524971-0.00253573j 0.00558672+0.00302639j 0.00220492-0.00977402j -0.0101377+0.00511493j -0.00260678+0.0077766j 0.00141988-0.00495696j 0.00513673-0.0136611j 0.00379348+0.0114602j 0.00119546-0.00356389j 0.0108947-0.0146928j -0.0057101-0.00165669j -0.0117179-0.00692629j -0.000781823-0.00564792j 0.00373376-0.00649076j -0.00402312+0.000738905j -0.00220622+0.0060631j -0.00520447+0.00184585j -0.00789885-0.00667008j 0.00425903+0.0118716j 0.00437003+0.00437366j 0.00251472+0.0018878j -0.00308106+0.000541566j -0.00138805-0.00181488j -0.00173035-0.00158574j -0.00195669-9.20597e-05j 0.00167029+0.00160878j -0.00171947-0.000327498j -0.00349011-8.33911e-05j 3.89702e-05+0.00093798j -0.00162355-0.00134456j -0.000403336+0.000313183j 0.00142279-0.00344152j 0.000487925+0.00114152j -0.000187505+0.00064385j -0.00181109-0.00088855j 0.0035437+0.00195464j -0.00179947+0.000977358j 0.0024916-0.000645523j -5.85959e-05+0.00122648j 0.00121702+0.00136838j -0.00266728-0.000328709j -0.000850273-0.00229456j 0.00365828-0.000849707j 0.00167496+0.0015971j -0.000201354-0.00341012j 0.00130802+0.00179793j -0.00075983+0.00181543j 0.000855805+0.000990139j -0.0005706+0.00196809j 0.000649273+0.000172792j 0.000395773+0.00040286j -0.00113289-0.000110407j 0.000404668-9.93121e-05j 9.05666e-05+7.77646e-05j -2.37746e-06-0.000441735j -0.000138856-8.84622e-05j 0.00063079+0.000437913j -8.63094e-06+0.000671174j -0.000648005-0.00169904j 0.0020422+9.63339e-05j 0.000437495-0.000943102j -0.00123421-0.000850286j 0.00146949+0.00193299j 5.32907e-05-0.000753659j -0.000405593-0.000299334j -0.000586764-0.000425484j 
-0.0119031+0.000122766j 0.00977526-0.0101409j -0.0168038+0.00172655j 0.00657762-0.00817681j 0.0145319+5.77421e-05j 0.0111893+0.000968946j -0.028245-0.0134078j -0.029656-0.00674295j 0.00306578-0.00754518j 0.0187393-0.0019929j 0.00922359+0.00678391j -0.00340941-0.0136881j 0.00439763+0.00545236j 0.00441302+0.014788j 0.000275341-0.011302j -0.00063032-0.0178074j -0.00126292+0.00645524j -0.00471836-0.00420629j -0.000272848-0.0260209j 0.00239236-0.000719765j 0.00208667-0.00679467j 0.000610042-0.00505911j -0.00341363-0.00324194j 0.000208086+0.0048686j -0.00771605-0.00233797j 0.000302539-0.010365j -0.000570651-0.00057545j -0.00143676+0.0116762j 0.00233794-0.0147442j -0.00453325+0.00558741j -0.00933957-0.00196889j 0.00238884-0.00126822j 0.000385094+0.00352504j -0.0083365-0.00712988j 0.00280591+0.00528066j 0.00204867+0.00275178j 0.00308915+0.00743345j -0.0165664+0.0049386j -0.00406424-0.00749926j -0.0132412+0.00858242j -0.00572104-0.0120185j 0.00126036-0.0132495j 0.00663664+0.00227313j -0.00285022+0.00685516j 0.00759101-0.00203156j 0.00360901-0.00392072j 0.00849238+7.01014e-05j 0.00235494-0.00907995j -0.00182602-0.00335579j -0.000320843-0.00345048j 0.00305918+0.000731152j 0.00187251+0.00196757j 0.000151977+0.000156118j -0.000883234-0.0027168j 0.000948493-0.00212482j -0.00209167-4.00806e-05j -0.000540043+0.00127765j -0.000382997+0.000808161j 0.00098722-0.00123408j 0.00213541-0.00361254j 0.0001952+0.00152453j 0.000772332-0.00127796j -0.00169229-0.000146412j -0.00391301-0.00222584j -0.00222433-0.00201132j -0.000149891+0.000768137j 0.00102521+0.00122424j 0.000715497-0.00223109j -0.000472213-0.00181951j 0.00144131+0.00194882j 0.00448021-0.000651804j 0.000220604+0.00110976j -0.000795218-0.00200257j -0.00279305-0.000132939j -0.00194413+0.000171106j 0.00106144-0.0012692j 7.8122e-05-0.000830535j -0.00110098-0.00167588j -0.00120797+4.83635e-05j -7.76232e-05+3.11996e-05j 0.000216647-0.000361072j -9.79443e-05+0.000755196j 0.000177795+8.83105e-05j -0.00095354-0.000365447j 0.000886269+0.00045867j 6.27374e-05-0.000423814j -0.000132354-0.00107749j 0.000759086+0.000512169j -8.12874e-05-0.000366619j -0.0010497+0.000631015j 0.000595439-0.000219751j -0.000717631-0.00116189j 0.000751836+0.000436511j 0.000134646+0.000307933j 0.000615117+0.000273306j 
0.00235028-0.00264263j -0.00990588+0.0062166j 0.00683012+0.00262413j 0.0108871-0.00968893j -0.0013438+0.00401358j -0.0130471+0.00948376j -0.00111026-0.00815121j 0.00591411-0.00737491j 0.00726043+0.00822881j -0.00115881+0.0108748j -0.00251647+0.0116699j 0.00677355+0.00842636j 0.00478191+0.0161237j 0.00440089+0.0117607j 0.00263933+0.00919811j 0.00108167-0.0150321j -0.00271075+0.0282355j -0.0025523-0.00696206j 0.00921894-0.00214725j -0.00554772+0.00789483j 0.000341675+0.0053716j 0.00278653-0.0156587j -0.00642692-0.0070636j 0.00804783-0.0127095j -0.0116253+0.00513861j 0.0036799+0.0197786j -0.0251361+0.00739022j -0.0192922+0.0333666j -0.0125088-0.00608038j -0.00209614-0.014178j -0.00212509-0.00491837j -0.000468668-0.00533287j 0.00194674-0.00539891j -0.00188481+0.00221764j 0.000923235-0.00182684j -0.00103623-0.00242437j -0.00192412+0.00461433j -0.00389174+0.00706892j -0.00124421+0.00338316j 0.00274979-0.00480074j -0.000241191-0.000731914j -0.00120355+0.00553972j 0.00236974-0.00508601j 0.00225082+0.00853111j 0.00624326+0.00729435j 5.7356e-05+0.00849594j 0.00769849+0.00455413j -0.00780102+0.00930874j 0.00106849-0.0107922j 0.00525377+0.00988451j 0.0101154-0.0064679j 0.000982523-0.0012823j -0.00317364-0.00940185j 0.00223156+0.00361276j -0.00411036+0.000517688j -0.000855785-0.00243605j -0.000929005+0.00107341j -0.00483604-0.00400801j -0.00346016-0.000765566j 0.00959279-0.0018314j -0.0111157-0.00372228j 0.00695507+0.00106062j -5.30382e-05+0.00174396j -0.00422546+0.00167222j -0.00530201+0.00779604j 0.00129885-0.00216437j -0.00391292+0.00504472j 0.00110209-0.00274372j 0.000369587-0.000563953j 0.00229659-0.00122052j 0.00189491-0.00524021j 0.000588459+0.00308095j -0.00129206-0.00390757j 0.00394198-0.00282849j -0.00588052-0.00935744j 0.0142436-0.00220924j 0.00689102-0.000453639j 0.000457522+0.0137537j -0.00429513+0.0060655j -0.000576363-0.00243571j 0.001497+0.000160833j -0.000412906-0.000508416j -0.000154555-0.000592063j -0.000361778+0.000623332j 0.000731199+0.00148692j 0.000885065-0.00336155j 0.00109109-0.00166011j -0.00019575+0.00236744j 0.000147958-0.00302088j 0.00280613-0.00201709j 0.000460478+0.00218917j 0.00902316-0.00283209j -0.00082346-0.00930641j -0.00241121+0.00223782j -0.00273704-0.00146133j 
0.000652155+0.000246811j 0.00226965-0.000736305j -0.00152651+0.00491036j -0.00251446+0.00108746j -0.00896421-0.000240823j -0.00712561+0.00234234j -0.00597672+0.00283788j 0.00418404-0.004286j 0.00620113-0.00129039j 0.0088944+0.00296077j 0.000755653-0.000653839j -0.00123974-4.28344e-05j -0.000486287+0.0020634j 0.000199438-0.0113745j -0.00187526+0.000971619j 0.000557195-0.0025025j 0.00137185+0.0102968j -5.18365e-05+0.0278974j 0.00191456-0.0129267j -0.00242763-0.00277662j 0.00295424+0.02039j -0.00133409+0.0304708j 0.0058632-0.0312998j -0.000349209-0.0138269j -0.000856801+0.00104274j -0.000498526-0.00790127j 0.00466392-0.00679418j 0.00175488+0.00763365j -0.00171175+0.0037404j -8.8595e-05+0.00193265j -0.000180621+0.000594234j -0.000271636+0.000102098j 0.000337992+0.000984942j 0.00193907-0.000875235j 0.00262448+0.000350128j -0.000208632-0.00309796j -0.000337932-0.000648722j -3.89365e-05-0.00230564j 0.000710202+0.0018289j 0.00143982+0.000591064j 0.000199636-0.0011585j 0.00127786-0.00205458j 0.000259654-0.00164563j 0.00275317+0.000150938j -0.000552893-0.00107787j -0.00208539-0.00150049j 5.69044e-05+0.00208581j 0.00158398+0.000515017j 0.000474903+0.00227009j -0.00124878+0.000115554j 0.000168132+0.000888638j -0.000952839-0.00243759j -0.000687903+0.00169776j -0.00347395-0.0123938j 0.00271088-0.000339497j -0.00139594-0.0168867j 0.0141952+0.00120607j 0.000533361-0.0089917j -0.0130161+0.00501456j -0.00119484-0.00390407j 0.00224407-0.004676j 0.0106123-0.00187197j 0.000671481+0.00256519j 0.00377725-0.000428818j -0.00653329+0.00332022j -0.00227385+0.0015027j 0.00370916+0.0118125j -0.0115016-0.00614409j 0.00924148+0.0049685j -0.0118171+0.00782858j 0.00796941+0.00372257j 0.000974909-0.00996041j 0.000546349-0.000279565j -0.00344227+0.0143616j 0.00102694+0.00174332j 0.00159861+1.93601e-05j -0.000408107-0.00169958j 0.00069785+0.000381461j 0.000714799-0.000251561j -0.000271835-5.80317e-05j -0.000210488-0.000255075j 0.000119223-4.10161e-05j 0.000678127-0.00531782j 0.00249114-0.000335392j 0.00434596+1.00364e-05j 0.00203435+0.000387826j 0.000573605-0.000415173j -0.000275696-9.17938e-05j -0.000804111+8.57657e-05j -7.6047e-05+0.000493663j -0.000184682+0.000303961j -0.000963921-0.000419517j -0.000363287+0.00110859j 0.000414927-0.000188193j 0.000226723+0.000338679j 
0.0124022+0.00295584j 0.00483801+0.00867449j 0.0044698-0.00652582j -0.000144384-0.00151916j -0.0312366-0.000656736j 0.0159535+0.0150463j -0.0206812+0.0122566j -0.00726229-0.0155119j 0.0205581-0.0129256j 0.0598252-0.000390302j 0.00506076+0.0106099j -0.0107497-0.00583449j 0.0114377-0.00563514j -0.00104936-0.0132385j 0.00146825+0.00316112j -0.00214018-0.0216926j -0.00171007+0.00369689j -0.00427289-0.0180935j 0.00783126-0.00966034j 0.00675306-0.00621246j 0.0039797-0.0085939j 0.00672065+0.0177357j -0.00123568+0.0129546j 0.018978+0.00154896j 0.00357082+0.0130743j 0.00288433+0.00276957j 0.02233+0.025503j 0.0160905+0.0277589j -0.0210064+0.0273053j -0.0156879+4.26562e-05j -0.000988088+0.000588986j 0.0050751-0.00110239j 0.00584763-0.0104874j 0.0093261+0.00718937j -0.00607627-0.00297424j 0.00328732-0.0124332j 0.00369467-0.00205691j -0.000853135+0.00380097j 0.00502121+0.00604428j -0.00107581-0.00402746j -0.00775491-0.0067038j 0.00623008-0.00699217j -0.00100245+0.00300115j 0.012586-0.00198313j 0.00156167-0.00984093j -0.000243386-0.0039158j 0.000541156+0.00906824j -0.00387427+0.0110542j -0.00312331-0.0049625j -0.00947699+0.00195635j 6.48213e-05+0.00614894j 0.00140055+0.00241444j -0.000323561+0.0011153j -0.00326305-0.00116262j -0.00110811+0.00116947j 0.00330855+0.00301348j -0.00058872-0.0015216j -0.00334612-0.00107327j 0.00182269-0.00459433j -0.000211254+0.00120062j 0.00338699-0.000384332j -0.00170629-0.00300532j -0.000947562-0.000351522j 0.00215235-0.00196491j 0.000507439-0.00301741j -0.000178329-2.13277e-05j -0.00420701-0.00362856j 0.00127041-0.00180004j 0.000101233-0.00406391j 0.00359712-1.73589e-05j 0.00229758+0.0015488j -0.00498408-0.00293916j -0.000233473+0.00433932j 0.00263295+0.00159361j 0.00264518+0.00222937j -0.000299788-0.00105646j -0.00448093-0.00160299j 0.00652102-0.00178957j 0.00115639+0.00126496j -0.00277217-0.000850536j 0.00200021-0.0010432j -0.00119684+0.00056876j -0.000976443+0.000593033j 0.000599445+0.000339273j 4.90718e-05-0.000918495j -0.00306468+0.0028959j -0.00165663-0.000523247j 0.000835111+0.000421666j -0.0037053+0.00127322j -0.000871791+0.00126294j 0.0018093+0.00411734j -0.0054766-0.00369166j -0.00395646+0.00422963j 0.00225022-0.000950798j 0.00110833+0.00155711j 
0.000681977-0.0142158j 0.00368695-0.00860013j -0.00294599-0.00950346j 0.0044925+0.000681184j 0.014214+0.0244331j 0.029783-0.00964642j 0.0128751+0.0214024j -0.00991328+0.00274448j -0.0168938-0.00961085j -0.00655938-0.0522344j -0.00597943+0.0026407j -0.0100231+0.00980733j -0.00326386-0.0130169j 0.0032805+0.00182202j -0.00367127-0.00577651j -0.00633846+0.00150868j 0.000382896+0.00956374j 0.012306-0.00141292j 0.00754305-0.00167014j 0.0275311-0.00719685j 0.010162+0.00152245j -0.00781978-0.000424598j -0.00382105-0.00940991j 0.00649601-0.00328808j 0.00901342+0.00722672j -0.00743965-0.00520576j 0.0240639+0.00688437j 0.0155727-0.0138262j -0.00286272+0.00203679j -0.00366899-0.00879217j 0.00784724+0.00209215j -0.00116928+0.00279519j 0.00848417+0.00662314j -0.00283961+0.0122587j -0.00581901+0.00248328j 0.0173136+0.00361579j 0.00334108-0.000316658j -0.00352878-0.00492086j -0.00514226-0.00027315j -0.00033775-0.00149434j 0.00295298-0.000130016j 0.00485971+0.00345689j -0.0047422+0.00889956j -0.0012287+0.00622949j 0.00385673-0.00424561j 0.00476829-0.00449652j -0.0177593-0.00901815j 0.00299349+0.00277153j -0.00812802+0.00973516j 0.00201953-0.00345389j -0.000718849-0.0032421j 0.000725797+0.00303411j -0.000886094-0.000896632j 0.000553633-0.000975399j 0.000353711+0.00172781j -0.00238119+0.00251167j 0.00064444+0.00119343j 0.00244346-0.00443637j 0.000680677+0.00177919j 0.000852734+0.00120653j -0.00306267-0.000433644j 0.00268789+0.00146516j -0.00150809-0.00029671j 3.82933e-05+0.000218433j -0.00264519+0.0043055j 0.00212235-0.00103212j -0.00180928-0.00373368j 0.000682947+0.00252104j 0.000635089+0.00284957j 0.00236729+0.00229517j 0.00253841+0.000982349j 0.00150664-0.00605088j -0.00037164+0.00281993j 0.00148728-0.00167j -0.00143507-0.00202551j -0.00707726+0.00592716j -0.000582762+0.000720347j -0.00310177+0.00211039j -0.00173206-0.000605621j 0.00125863-0.00108758j -0.000195677+0.0014282j 5.35759e-05-0.000562393j 0.000328692-0.00040898j 0.000796567+4.70998e-05j -0.000571346-0.000492486j -0.000633635-0.0015265j -0.000495124+0.000592475j -0.00227544-0.000132481j 0.00273916-0.00151327j -0.00159587-7.25089e-05j 0.00163124+0.000406646j -0.00103704+0.00299306j 0.00295529-0.000590412j -0.000475251-0.00031061j 0.00130365-0.000972132j 
-0.00595068+0.00243537j 0.00581308-0.00985501j 0.00178074+0.0126985j -0.00504256+0.0048712j -0.0191847+0.0272353j -0.036842+0.0321822j -0.0116521+0.00420633j 0.00511731-0.00420604j 0.00943479-0.000179452j 0.0100861-0.00749955j -0.000983237-0.00690445j -0.000117497+0.00673524j -0.00490418+0.0211403j 0.00646786-0.00673386j -0.00153556+0.00473723j 0.00884397+0.00820372j 0.00492307-0.0180962j -0.00303543+0.00580424j 0.00839077-0.0148113j -0.00850916+0.00287688j -0.00422843+0.0016337j -0.0132059-0.00368786j -0.00992375+0.0106746j -0.00296006-0.00337792j -0.00040815-0.00448679j -0.00426013+0.00393044j 0.00984261-0.0133862j -0.0215925+0.00746645j -0.0144005-0.0114765j 0.0062429-0.00753727j -0.00123303-0.000552516j -0.00228317+0.00192609j -0.000376298+0.0087728j 0.0025394-0.00477255j 0.0124341+0.00500455j 0.00731213-0.00450234j -0.000262406-0.00184618j -0.00151134-0.00519629j -0.00782001+0.00687528j 0.00400695+0.00309612j 0.00878088-0.00239647j 0.00362966+0.00629626j 0.00847013-0.00974171j 0.0074838+0.0106611j 0.00460224+0.00303405j -0.0089827-0.00261981j 0.000794448+0.00777177j 0.00415169+0.00100754j 0.00438156+0.0019105j 0.00261224-0.00391323j -0.000581903-0.00124787j -0.00213119-0.00414226j -0.000664852+0.00228404j 0.000118425-0.00137782j 0.0021949-0.000708946j -0.00145406+0.00441207j 0.000888777-0.000186729j 8.74944e-05+0.00216044j 0.00235281+0.00235886j -0.000594111-0.000220949j -0.00235605+0.00281651j -0.00114902-0.00154758j 0.000356858+0.0012491j 0.000111273-9.1008e-05j 0.00407024+0.00125905j -0.000836784-0.00110108j 0.00455042-0.00062723j -0.000568207+0.00156721j -0.00229978-0.00143234j -0.000481383-0.00291728j -0.00157113-0.000825785j 0.000598795-0.00170977j 0.00126593+0.00148397j -0.000958539-0.00168541j 0.00138188+0.000303275j 0.00154938+0.00268675j 0.00193743+0.00154166j -0.000885341+0.00133086j 0.00021139-7.26119e-05j 0.000767603-7.83704e-05j -0.000986446+0.000475015j 0.000314479-0.000642992j -0.00128607+0.00111095j -0.000352487+0.000326238j -0.000417948+0.00037506j 0.00111039-0.000676722j 0.00036687+0.000205499j -0.00102692-0.000396607j 0.00120522-0.00163458j 0.00150426-0.000873948j -0.000708086-0.000660759j 0.0026222+0.000197124j -5.16881e-05-0.00228423j -0.000753535+0.000549663j -0.00124923+2.4912e-05j 
0.00562565+0.0167409j -0.0125397-0.00377595j 0.00790992+7.28287e-05j 0.00344724+0.00903507j 0.0147862+0.0183903j 0.0296937+0.0409572j 0.001565+0.00912558j -0.00381682-0.000875169j -0.00445624-0.0140704j 0.00389135-0.00306544j 0.00699627-0.00255977j -0.00400503-0.00642452j -0.00815489+7.79356e-05j 0.00671202-0.00180792j -0.000677786+0.00138429j 0.00886254-0.00656235j 0.0179989+0.00744414j -0.00356971-0.00343549j 0.00977801+0.00867132j -0.0145029-0.00592372j -0.00853511-0.00023784j 0.00174326+0.00284584j -0.00866648-0.0127439j 0.000809376-9.20497e-06j 0.00016241+0.00412571j 0.00220406-0.00229125j 0.00139577+0.0167744j -0.00599761-0.000463634j 0.00318189-0.00210308j 0.00390526+0.00910495j -0.00364717-0.00169274j 0.00306839-0.00579207j -0.0113332-0.00799264j 0.0135937+0.00227424j -0.0043991+0.0119686j 0.00462329+0.0016444j 0.00621202-0.00168481j 0.00889972+0.000849865j -0.00756681-0.0053838j -0.00506144+0.00182656j 0.00225947+0.0067428j -0.0055334+0.00139864j 0.0158113+0.00926218j -0.00222895+0.00559524j -0.000733227+0.00376992j 0.00610097-0.00756046j -0.0043363+0.00299611j -0.00541402+0.008338j -0.000569313-0.000793471j -0.00357838+0.00394338j 0.0020394+0.0028728j 0.00410774-0.00195094j -0.00225041-0.000179867j 0.000942089+0.000739152j -0.000134514+0.00182014j -0.0017908-0.00138277j 0.000738665-0.000702099j -0.00426899+0.00130202j -0.000684972+0.000801647j 0.000570737+0.000202379j 0.00132926-0.00301915j -9.29694e-05-0.00239393j -0.00126628-0.000499501j 0.00117407-0.00078571j -0.00127942+0.00140388j 0.00100537+0.00101476j -0.000900572+0.00319208j 0.000382884-0.000220491j 0.00124058-0.00533589j 0.00208276-0.000665182j 0.000638403-0.00124565j -0.0018485+0.00092153j -0.00344291+0.00179901j -0.000316642-0.00150349j -0.000428109+0.00189445j -0.00164104-0.00278505j -0.00206457+0.000786791j 0.000532309-0.00299381j 0.000359028-0.000110524j -0.000977247+0.000795818j 0.000425463-0.00128704j -0.000286931+0.00087681j -4.66231e-05+0.000155233j -0.000223968-0.000891992j -0.000163122-0.00116082j -0.000457294+0.00140286j -0.000728136+0.000293755j 0.00170022-0.00055205j -0.00182196+0.00201901j -0.000307818+0.00065054j -0.00039855-8.62914e-05j -0.00217735-0.000111674j -0.000633408+0.00193082j 0.000655999-0.000613978j 0.000529122+0.000212206j 
-0.0060492-0.0120858j -0.00344149+0.015j 0.00910134+0.00515332j 0.00743164-0.0123907j 0.0143593+0.0131699j 0.000218234+0.0238424j -0.000380757-0.0155661j 0.01339-0.0114244j 0.0237024+0.0272954j 0.00142884+0.0325022j 0.00477275+0.0211018j 0.0234755-0.00249612j 0.0207763+0.0227401j 0.0153041+0.00560554j 0.00101644+0.011859j 0.0206233+0.0109044j -0.0102653+0.00457528j 0.00227027+0.00366621j 0.0207843+0.017275j -0.0194997+0.00142032j 0.00242216-0.00458262j -0.00415554+0.00518229j -0.0125765-0.00908146j 0.00847063+0.0214367j -0.0318738-0.00955306j 0.00963819+0.017804j -0.0613064-0.00766557j -0.0505568+0.0131667j -0.0298448-0.0266803j 0.00147472+0.00720966j -0.0125685-0.00532172j 0.00336315+0.00120745j 0.010439-0.000522046j -0.00270404+0.000548347j -0.00207206-0.00244587j 0.000861089+0.0071434j 0.00233585+0.0110147j -0.00108117+0.0279625j -0.00101022+0.0128701j 0.00256804-0.00979649j 0.000824476-0.00640531j 0.0036159+0.00536924j -0.00412143-0.00353536j 0.00114307+0.0256115j 0.0149348+0.025941j -0.00674371+0.0195404j 0.00700289+0.0158802j -0.0264867+0.00245402j 0.0131082-0.0196885j 0.00140845-0.0218601j -0.00740684+0.00232278j 0.00749442-0.0119805j -0.00503432-0.00333029j 0.00687622-0.00494157j -0.000790537-0.00522263j 0.00101501+0.000334802j -0.00027615+0.000540435j 0.000492622-0.00101183j -0.000304795+0.000335223j -0.00768064+0.00242076j 0.00475324+0.00713969j -0.000171224-0.0120747j 0.00481714+0.00315222j 0.00348091+0.00172676j 0.00998948-0.0115883j -0.00752029+0.00132251j 0.00942687+0.00695006j -0.00627511-0.00369057j 0.000737196-0.00379262j -0.0017343-0.00759142j -0.00525096-0.00780097j 0.000838351+0.0031075j -0.00189957-0.00967216j -0.00122486+0.00049965j -0.000213788+0.00202352j 0.0163805-0.00629468j 0.00479779+0.00173333j 0.00578472-0.00329182j 0.00614124+0.00532107j -0.00286081-0.000915988j 0.00381817-0.000709274j -0.000486662-0.000474904j -0.000803257+0.000356085j -0.0020959+0.00199685j -0.000724803-0.000657685j 0.0037919+0.000297052j 0.00252366-0.00223559j 0.00111497+0.00025822j -0.00249629-0.00565868j 0.00836365-0.00418238j -0.00637909-0.00301328j 0.0119934-0.00664004j -0.00863685-0.0102681j -0.00187298+0.00233301j -0.00772017+0.00223827j 
0.00304154+0.000353661j 0.0110664+0.00808635j 0.0162975-0.00364459j 0.00646516-0.00825447j -0.00298422-0.0124813j 0.0291146+0.00575191j 0.00494029+0.000303116j 0.00473853-0.0167941j 0.0315228-0.0146478j 0.0444038+0.00908382j 0.0115189+0.00449102j -0.00545075-0.0102319j 0.0130677-9.59865e-05j -0.00787402-0.000650065j 0.0223171-0.000804982j 0.0153419-0.000780858j 0.0156996+0.00863771j -0.00266425+0.00620127j 0.0043602-0.00951232j 0.000996723+0.0160847j 0.0185597-0.000859629j -0.000926613-0.00711169j 0.0134466+0.00206213j 0.0206457-0.0114426j -0.0400587+0.0192496j 0.00555933-0.00124704j 0.02419+0.0364437j 0.0219289+0.0333734j -0.0144932+0.00867518j -0.00852016-0.00311756j -0.0108885+0.00580922j -0.00157183+0.000355097j -0.00517469+0.0037078j -0.00105592+0.00296073j -0.00376294-0.00339969j -0.00266135+0.0044726j 0.00768838+0.00193987j 0.00909254+0.00446207j -0.000889807+0.00138064j 0.00279418-0.00493881j -0.00544332+0.000345447j 0.00893029-0.00167402j -0.00528521-0.00357521j -0.00140287+0.00683495j 0.0057651+0.000977581j -0.000431277-0.000825611j 0.0104039+0.00265695j -0.0132123+0.00993876j -0.00926168-0.00850508j 0.00266689-0.000189854j 0.00914456+0.0039938j 0.00174013+0.00216699j 0.00325702+0.00011894j -0.00302239+0.00154153j -0.00239291+0.00381664j -0.00500269+0.00250268j 0.00123835+0.00346133j -0.00099468+0.000351446j -3.48179e-05-0.00975566j -0.00366202+0.00258871j 0.00192863+0.00230291j 0.00237835-0.00612286j -0.0087006-0.00508986j 0.00933632-0.00782137j 0.000215778-0.00350961j 0.000994095-0.00914891j 0.00145482+0.00340342j 0.00161354-0.00298903j -0.00622033-0.0085921j 0.00530027+0.00265009j 0.00523032-0.00550595j 0.00667485-0.0196462j -0.000680681+0.018963j -0.0029414-0.00433157j 0.0246167+0.00586292j 0.00454603+0.000220535j -0.00576698-0.00148701j 0.00983811-0.00102679j 0.00387193+0.00299727j -0.000997127-0.000435942j 0.0014451-0.000174672j -3.82259e-05-0.000595938j -0.000710708-0.000492122j -2.87916e-05+0.000467772j -0.00065151-0.00288797j -0.000244801+0.00531915j -0.00501234+0.00370278j -0.00384115-0.00510728j -0.0027761-0.00117798j 0.00314186+0.00147673j 0.000445259+0.00575672j -0.00720217-0.00122358j -0.00396977+0.00374692j 0.00186173-0.00258695j 0.000777747+0.00168018j 
