0.00215047-0.000331293j 0.00660777+0.00517381j 0.0190354-0.0039737j 0.00737693-0.00210101j -0.0274935+0.00558286j -0.0112381+0.00302678j 0.00917023-0.00306479j 0.00430871-0.00111724j 0.00488918-0.00166461j -0.0343806-0.00715717j -0.00847954-0.0102945j 0.00966902+0.00632382j -0.00235819-0.00205643j 0.00123688-0.00621867j -0.00667441-0.0211269j 0.00379753+0.0105315j -0.00317761+0.0072827j 0.00140737-0.00167368j 0.000473143+0.00461371j -0.000543147-0.00376099j -0.00136066+0.00766889j 0.001361-0.0126015j -0.000838128+0.0112586j -0.000689155-0.000781294j -0.003816-0.00642605j 0.000224761+0.0044904j 0.00318247+0.00355813j 0.000161328+0.0172295j 0.00105536+0.012305j 0.00227337-0.006981j 0.00125551-0.017014j 0.00597292-0.00443371j 0.00432334-0.0142296j 0.000955915+0.00944413j -0.00219093+0.00651121j -0.000737739+0.00283684j -0.000357072+0.00354085j 0.00371381-0.00287892j 0.00123919-0.00175303j 0.00101315+8.43129e-05j -0.000870458+0.000697651j 0.000773471+0.00148151j 0.000941499-0.00116125j -0.00313797+0.00348006j 0.00108212-0.000135473j 0.0012792+0.000142029j 0.00105539-0.00174552j 7.52123e-05+0.00170779j -0.000872947-0.000543816j -0.00171712+0.00213314j 0.00189981-0.000656181j 0.00124798+6.56606e-05j 0.00358386-0.000839403j -0.00231731-0.00216466j -1.92975e-05-0.00255702j -0.00356213+0.00438195j 0.00333909+0.00405617j -0.00065948+0.00589692j -0.00235219+0.000187843j -0.00131801+0.00286323j -3.32411e-05-0.000891197j 0.000298342-0.000500905j 0.000766948+0.00160863j -0.00184593+0.00117697j 0.00142023-0.00111257j 0.000691877+0.00338973j 0.00162277+0.00333482j -0.00108578+0.00233361j -0.000234456-0.000850225j 
-0.000957217+0.00393924j -0.0054376+0.00625829j 0.0214416-0.00395789j 0.00550594-0.00326385j 0.0120871-0.00536978j 0.0220902+0.00090788j -0.0147219-0.000730202j 0.0366851+0.00373353j -0.00370775-0.0038703j -0.000759151+0.00119097j -0.0113859-0.00789188j 0.00333446-0.00711722j 0.00805149+0.0129649j 0.002679+0.018862j 0.00180697+0.00210454j 0.000700214+0.0091967j -0.00494456-0.00552398j 0.00450924-0.0194294j 0.00348105+0.00178325j -0.00162465+0.00899606j -0.00208397+0.0111481j -0.00113388-0.00951901j 0.00373272+0.00572143j 0.000381315-0.000154845j 0.00177004+0.00289023j 0.00154884+0.00607669j -0.00168847-0.000738045j -0.000385749-0.0159309j -0.00198702+0.00671972j -0.000590585+0.00599473j 0.00191464+0.00198662j -0.00249879+0.0128049j -0.00109056-0.0127087j 0.00231547-0.00937798j -0.000369744+0.00400316j -0.000360124+0.00256653j -0.000289208-0.00139675j 0.00202722-0.00263276j 0.000421886+0.000221372j 9.55985e-05-0.00290273j 0.000233813+1.09318e-05j 0.000921313+0.000356301j 0.00358801-0.00285384j 0.000346072-0.00213015j -0.000382721-0.000947672j -0.00158477+0.00126745j -0.000577959-0.0010626j 0.00135546+0.000449698j 0.00147228+0.000704957j 0.0034784-0.00148721j 0.00147806-4.00211e-05j -0.000859446+5.18324e-05j 0.0015379+0.00225839j 0.00143282-0.00245452j -0.00180663+0.00103954j -0.00148521+0.00233926j 0.00272128-0.000706837j 0.0012236+0.00263095j -0.00107276+0.00261843j -1.0006e-05+0.00346518j 0.000112018-0.000913561j 5.35156e-05-0.000156661j 0.000519651+0.000546455j -0.000828068+0.000908591j 0.000511727-0.000678791j 0.000243195+0.00161096j 0.00108123+0.000738051j 2.20186e-05+0.00182497j -0.000328279-0.000282722j 
0.00125108+0.00111859j -0.00204464+0.00615502j 0.00715478-0.00102089j 0.00185936+0.000182062j -0.0065665+0.000528867j -0.000299093+0.00165631j -0.000241715-0.00109876j 0.00870458-0.00262415j 0.00025665+0.00114337j -0.00854877+0.00437322j -0.011751-0.0033997j -0.00442436-0.00784904j -0.0037116+0.000548278j -0.00536177-0.0118455j -0.00144754-0.00392659j -8.34044e-05-0.00506744j 0.00149217+0.00631756j -0.00156762+0.00105759j 0.00154925-0.00984532j -0.000636021-0.000638425j -0.000864653+0.00779262j -0.00474491-0.00411629j 0.00383605+0.00282207j 0.000163217+0.0114858j 0.0041877+0.0173971j -0.00129689-0.0226405j -0.00138782+0.00270572j 0.000375617-0.0214199j 0.00172146-0.00300596j -0.00433024-0.00980243j 0.00511017+0.0140983j -0.0128977+0.00726916j -0.0156943+0.0252936j -0.0203065+0.00583941j -0.00114587-0.00279632j 0.00218352+0.00427847j -0.00274663+0.000681999j -0.00232352+0.000445095j 0.00066711-0.000501148j -0.00160101+0.00299175j 0.00363853-0.00192166j -0.00252356+0.00128889j -0.000320811-0.00232556j -0.000844194+0.00172541j -0.000127703-0.000824509j 0.000349869-0.000223337j -0.000248631+0.00068022j 0.000547316-0.000698664j 2.3099e-05+0.00315566j -0.00288093-0.000842922j -0.00316658+0.00309888j 0.00259816+9.32492e-05j -0.00260291+0.000187233j 0.00908247+0.0026732j 0.0065266-0.00216277j 0.00255594-0.00566473j -0.00976387-0.0100157j -0.00612539-0.00932726j 0.010842-0.00728634j 0.00379165-0.0103861j -0.00178426+0.000966312j 0.000684764+0.000185861j -0.00358432+0.00282785j 0.00233508-0.0042453j -0.00130176+0.00331912j -0.00467547-0.0020378j -0.00987169-5.41137e-05j 0.00179119-0.00916623j 0.00199852+0.00138798j 
0.000685338-0.000200869j 0.000905107+0.00326142j -0.000538922-0.000900474j 0.00159695-0.000281349j -0.00145688+0.00182354j 0.00363525-0.000611085j -0.00219176+0.000388761j 0.00845085-0.00123841j -0.000898948-0.00111933j 0.0146453+0.00306632j -0.00637274+0.00502059j -0.00974777-0.000700671j -0.00475937-0.000148936j -9.25225e-05+0.00478775j 0.00286888+0.00348327j -0.00369211-0.0063855j -0.00437665-0.00630566j -0.00956477+0.0100206j 0.00463337-0.0186917j 0.00350192-0.00534479j -0.0010183+0.0104453j 0.00123733-0.00740788j -0.00419922-0.00146152j 0.00356977+0.0011012j -0.00246281-0.00656926j 0.00312305-0.0121991j 0.000847303+0.0117516j 0.00325993+0.020888j 0.000425238+0.00973065j -0.00323068+0.0388067j -0.00387059+0.0192713j 0.00443955-0.0113879j 0.0218409+0.00451267j -0.00349303+0.0162753j 0.000421386+0.0111709j 0.00700507+0.000415321j 0.00512479+0.00412238j 0.00014887+0.00312872j 0.00114886-0.00268289j 0.0043774-0.00732363j -0.000898314+2.95261e-05j -0.000984721+0.00557404j -0.00191802+0.00188275j 0.000320063-0.00102383j 0.00151304+0.00301403j 0.000546898-0.00277127j -0.00134212+0.00767081j 0.000188862-0.00437405j 0.00104506+0.000142475j 0.00108364-0.00406168j -0.00431672+0.00405776j -0.00424419+0.00153016j -0.00262473-0.00929369j -0.00473224-0.0015366j 0.00050216-0.00804792j -0.00449143-0.00563221j -0.0051182-0.00355397j -0.0115443+0.0116564j -0.00202045-0.00742113j -0.00561821-0.00910304j -0.00149051+0.00100703j 0.00171428-0.00194443j -0.00113092+0.00362865j -0.00151467-0.00358619j 0.00387137+0.000494115j 7.77901e-05+0.000469252j -0.00467379+0.00979449j -0.00484535-0.00629103j 0.00256819-0.00122084j 
0.000421561+0.000643419j 0.0023453-0.000658038j 0.00166054-0.0011867j 0.00308974-0.000206739j 0.00499707+0.000165679j 0.0014565-0.000220426j -0.000926185-0.000654152j -0.0062618+0.000305552j -0.00159664-0.000130782j -0.00594723-0.00293798j -0.00551549-0.000829982j -0.00888139+0.00436407j -0.00395738-7.67552e-05j -0.00499841+0.00184605j -0.00133575-0.0125326j -0.00311875-0.00089811j -0.00694817+0.00213808j -0.00484899+0.0014567j 0.00490972-0.0167147j -0.00196603+0.00956155j -0.00689504-0.00384305j -0.00127689+0.00930878j -0.000769891+0.0163508j -0.0131728-0.00612656j -0.00123485-0.00771641j 0.00904355+0.0031717j -0.00228081-0.0285506j 0.00438437+0.0131777j 0.00503491-0.0171825j -0.000312925-0.00785722j 0.00554016+0.00644728j 0.0056912+0.0145548j 0.010006+0.00239232j 0.00224672-0.00165601j 0.00871323+0.0117797j 0.00766151-0.00281865j 0.00718801+0.003587j 0.00189085-0.00384577j 0.00172522-0.00473641j 0.000947126-0.00444162j 0.00169462-0.00914503j -0.00118788-0.00132343j -0.000472779+0.0085894j 0.00188148-0.00631637j -0.00335392+0.00437885j -0.000545857-0.00119427j 0.00121764+0.00692338j 0.00144372-0.0031147j -0.00473376+0.00482405j 0.00158535+0.00321946j 0.00286874+0.00127944j 0.00291983+0.00805613j 0.00172041-0.00755225j 0.00222815+0.00096517j -0.00416736+0.00733209j 0.00389373-0.00101236j -0.00509672-0.00617327j -0.00176633+0.00769238j -4.97653e-05-0.00441131j -0.0019516-0.00828165j -0.00161839+0.000619546j -0.00145135+0.000841986j -0.00103866+0.00310854j -0.00166826+0.000848159j -0.00203982+0.000623951j 0.000333427-0.00189064j -0.00245865+0.00481955j -0.00134028-0.00601045j 0.00123515+0.000237305j 
-0.00117338-0.000161771j 0.00306003+0.000194875j -0.00258455+6.86889e-05j 0.00164441-0.000384902j -0.00313613+0.00163082j -0.00543783-0.00246814j 0.00582692+0.00198111j -0.00464142+0.000117325j 0.00384019-0.00105019j -0.00173469-0.0012007j -0.000725695-0.000294633j -0.00342406+0.00110683j -0.00407948-0.00452048j -0.00313341-0.00615608j -0.00114584+0.0204651j -0.00622826-0.00045825j 0.00168183-0.000682385j -0.00180713+0.0137008j 0.00380192+0.00396486j -0.00272237-0.00974911j 0.00491709+0.0154606j 0.00435239+0.00838771j 0.00617593+0.0068757j -0.00384129-0.0209632j -0.00650786-0.0107455j 0.00986452+0.0135181j -0.00130104-0.0112274j 0.00156381-0.0255182j -0.00801393+0.0271501j 0.00268451-0.00825216j 0.00351878-0.00428905j -0.00277049+0.00258447j 0.00195182+0.00428323j -0.00238106-0.000891259j 0.0028175+0.00359083j 0.00340431-0.00148349j 0.00301191-0.00118757j -0.00112157+0.00554656j 0.00176136+0.0018671j 0.00241258-0.00999025j -0.00416679-0.00207887j 0.0010177-0.00271467j 0.000275521+0.00285868j -0.000436249+0.000900185j -0.00260092+0.000166684j 0.000252269-0.00131942j 0.000999854+0.00409647j 0.00177439-0.00206037j 0.00251928+0.00167117j -0.00103968+0.00242984j -0.00314607-0.00438288j -0.00502651+0.0050532j -0.00216819-0.00110785j -0.0042736-0.00629409j -0.00249668-0.00194132j -0.00557011+0.00178076j -0.000698024-0.00124781j -0.0017027+0.00320326j 0.000357062-0.00261604j -0.000516455-0.00385335j -0.000630364+0.000124189j 0.000684261-0.0012221j -0.000597974+0.000833063j -0.000417048-0.00144762j 0.00209425-0.000494748j -3.14532e-05+0.000727782j -0.00131186+0.00241313j -0.000366998-0.00293875j 0.000478545+0.000328822j 
-0.000339392-0.000860919j 0.00178054-0.00161273j -0.00262613-0.00183555j 0.000779511+0.000866069j 0.000322019-0.000424553j 0.000950527+0.00264726j -0.00135426+0.00299007j -0.00168931-0.000163809j 0.00285662-0.0012225j -0.00157553-0.00282725j -0.000504239-0.00109282j -0.00303709+0.00273595j -0.00210823+0.000319567j -0.00225774+0.00174666j -0.0035331-0.000224135j -0.00114503+0.000477068j 0.00383897+0.00255573j -0.00343467-0.000605953j 0.0107509+0.000905744j 0.00829172-0.00466994j -0.0150699-0.00267511j 0.00924063+0.00203342j 0.00826447+0.00157883j 0.040099-0.00413177j -0.00537799+0.00190134j 0.00414241+0.00728752j 0.0182927-0.000690113j -0.000726105-0.00290925j 0.00656395-0.00272777j 0.0154595-0.00717888j 0.00498126-0.00246476j -0.00406652+0.00639216j 0.00320471-0.000118111j 0.00312217-0.0037353j 0.00516834+0.00430216j 0.00307563-0.00187937j 0.00356472+0.000785678j 0.000975987+0.0059988j 0.000688331-0.00459055j 0.000628697-0.0116734j 0.00383139+0.0199146j 0.00455914+0.0194633j -0.000267027-0.00153769j 0.000474869-0.000719539j -0.000897837-0.00174577j -0.000336573-0.00319772j 0.000212995+0.00501026j -0.000510674+0.0003275j -0.000380056-0.00945867j 0.00154811-0.0166569j -0.000484875-0.00503944j 0.00267701-0.013148j 0.00122709-0.00552102j -0.00311048+0.00666299j -0.00047827-0.0155423j 0.000955272-0.00493339j -0.00138724+0.0032942j 0.00141802-0.000739291j 0.000274152-0.00346134j 4.0975e-05-0.00411838j -0.000848963+0.000893499j 0.00439704-0.00195173j 0.00178834-0.00143728j 0.00375476-0.00325749j 0.00341545+0.000827001j -0.000577586+0.000800085j -0.000769493+0.00174817j 0.000160069-0.0026321j 0.000161707+0.000483107j 
0.000568701-0.000323366j -0.00107319-0.000428861j 0.00207339+0.00121836j 0.00103955-0.000513882j 0.0041654+0.000935441j -0.000480685-0.00255442j 0.00187327-0.00112972j -0.00294807-0.000218348j -8.56696e-05+0.000358453j -0.00171913+0.00022569j 1.54291e-05-0.000528137j 0.0013142+0.000740498j -0.00190133-0.00222048j -0.00253747-0.00480493j 0.0044361+0.00829584j 0.00585765+0.000441585j 0.00364958-0.00696076j 0.00530644+0.00245854j 0.00584465+0.000807512j 0.0194653+0.0170102j -0.00593442+0.00473415j -0.0291658-0.00168994j -0.0214134+0.00112792j 0.00278262+0.00555139j 0.00932896-0.00849238j -0.012207-0.00618749j 0.0117976-0.00858083j 0.00436986-0.000664465j -0.00571943+0.0134638j 0.00246195+0.00540288j 0.00253086+0.000651525j -0.00154094-0.00293701j 0.000567342-0.000852896j 8.73751e-06-0.00102788j -7.13821e-05-0.00153515j -0.000304611-0.00015661j 0.000700289+0.00486126j -0.00144702-0.010778j -0.00266621-0.0145115j 0.00373265+0.0162701j 0.00040205+0.0012823j 0.00282933+0.0114264j 0.00161147+0.00024647j -0.00183833-0.0099493j -0.00228693+0.00905898j -0.000454941+0.00183586j 0.00068283-0.00316823j -0.00184305+0.00357396j -0.000275497-0.00140477j 0.000747971-0.00356308j -0.00372923+0.021041j 0.00134848-0.00976755j 0.00119882-0.000987597j -0.00222374+0.00972929j -0.000605978+0.00479019j -0.00143494+0.00248194j 0.000725181+0.00104528j 0.000423619-0.00224577j 2.02947e-05-0.000207889j 0.00031037-7.66922e-05j 0.000119265-0.000635689j -0.00316091+0.00139614j -0.00132235+0.00131333j -0.00285288+0.00241066j -0.00224924-0.00058609j 0.000679678-0.000385432j 0.000690329-0.000755396j 0.000272925+0.000307394j -0.000191353+0.000147267j 
0.00032335-0.00103178j 0.00490459-0.00278378j -0.00283928-0.00175718j -0.00066955-0.00321883j -0.000901462+0.000191321j -0.00224527-0.00225551j -0.000236742-0.000399721j 0.0028348+0.00203035j -0.00287049+0.00122376j 0.00316529-0.00157386j -0.00121763-0.00407615j -0.00767129+0.00846852j -0.00715829+0.000671634j -0.00561038+0.00863556j 0.000768907+0.00184496j -0.000310169+0.00457858j -0.00501649+0.0177774j 0.0013921-0.00576466j 0.00833032+0.0184299j 0.00307761-0.0146737j -0.00921822-0.0121125j -0.017794-0.00446886j -0.0084594-0.0148294j -0.0118596+0.00195673j -0.00319471+0.0128775j 0.0104298+0.0192188j -0.00073115+0.0243999j 0.0091037-0.0149795j -0.00274398-0.00514939j 0.00706798-0.0115306j 0.0101329-0.0115018j 0.00657273+0.00345967j 0.00712621+0.00442512j 0.00409215-0.00211084j 0.0122571+0.0105904j 0.00714775-0.00559354j 0.00836248+0.00342214j 0.0032022-0.00735753j -0.000855904-0.00780246j 0.00159628-0.0034769j 0.00165369-0.00889272j -0.00307403+0.00137562j -0.00116506+0.00972686j -0.000147592-0.0105963j 0.003831+0.00553689j 0.000822254-0.000843383j -0.00274408+0.00447079j 0.00041271-0.00166081j 0.00198816+0.00254861j 0.00113416+0.00159827j 0.00301779+0.00621887j -9.67205e-05+0.00372869j 0.00031227-0.00817894j -0.00326269+0.0043878j -0.000867704+0.00653693j -5.10015e-05+0.00275968j -0.00216597-0.00269939j 0.0017468+0.00555551j -0.000421822-0.00360811j -0.00073083-0.00731517j -0.00148976+0.000335574j -0.00190674+0.000875679j -0.000871836+0.00249714j -0.00213626+0.00183201j -0.0017499-0.000279167j 0.000900018-0.000882625j -0.000265378+0.00315047j 5.79514e-06-0.00498095j 0.000314563+0.000919911j 
-0.00228599+0.000154823j -0.0018915+0.00386223j 0.00192892+0.00242849j -5.26506e-05-0.000263457j -0.00512145-0.000645931j 8.09562e-05-9.93645e-05j -0.000191175-0.00157821j 0.00403931+0.000198572j -0.00235136+0.000503448j 0.0031313+0.00271615j -0.000349203+0.00749018j 0.00084621-0.0123053j 0.000764836-0.00117948j 0.00915951+0.00833002j 0.00336646-0.00905119j 0.010405+0.00567963j 0.00318354+0.0155883j 0.00432214+0.0179916j -0.0074181-0.00792342j 0.00704956-0.0320172j -0.000784299+0.00102117j -0.00570665+0.00921191j -0.01284+0.0056066j 0.00633926-0.0200137j 0.00537386+0.00272985j -0.0118738+0.015349j 0.00405736+0.00386108j 0.00457031-0.00605408j 0.00381592-0.0136881j -0.00348138-0.00278635j -0.00900567+0.00485187j -0.00530368+0.00428942j -0.00142983-0.00234736j -0.00172492+0.00533959j -0.00724098-0.00163494j -0.00241231+0.00405897j -0.00565378-0.000357062j -0.00217855-0.00262316j -0.00146766-0.000856223j 0.000516316+0.0138703j 0.00133276-0.000402009j -0.00125173+0.00124656j -0.000700503-0.00652677j -5.4715e-06+0.00141918j 0.00287401+0.00108867j 0.000220753+0.00158675j 0.000562731-0.00436874j 0.000754565+0.00348308j 0.00104692-9.93027e-05j -0.000605441+0.000218332j -0.00386256+0.00913337j 0.000331728-0.00411785j -0.00170359+0.00533325j 0.0028291+0.00283016j 0.00368661+0.0004097j 0.000313483-0.00217938j -0.00144801-0.000318314j -0.00413812-0.00314503j 0.000631967+0.00081029j -0.000735676+0.00244104j 0.000838588-0.000311281j -0.00107151+0.000860507j -0.000854658+0.000592704j -0.00081522+0.00011567j -0.000980487+0.000585139j -0.000647742-0.000410633j -0.00132869-0.000585617j -0.00112689+0.00161941j 0.000520837-0.000861935j 
-0.00177094+0.00107755j -0.000471435-1.33229e-06j 0.00053063+0.000828095j 0.00158722+0.000283851j 0.00476631+0.000689332j 0.00403096+0.00022984j -0.00162824+0.000584826j 0.00115558-0.000100925j 0.000500714-0.00113757j 0.0016607+7.73989e-05j -0.00028251+0.0065414j -0.00363333-0.00404235j 0.000353096-0.015365j 0.00615239+0.00485103j 0.000721771+0.00660101j 0.00177722+0.032033j 0.00150465+0.0308435j 0.00129111+0.0287444j -0.00405324+0.0140388j -0.00275356+0.0159281j 0.00174423-0.0234044j 0.00831223-0.00711663j 0.000557568-0.000236109j -0.00269869+0.0146529j -0.00409638-0.00658259j 0.00239515+0.0105184j 0.000639575-0.000821427j 0.00562455-0.015381j 0.00136168+0.000166597j -0.000610215-0.00587657j -0.00403374+0.00356329j -0.00133852+0.0070118j 0.00195172-0.00167235j 0.000574889+0.00190224j -0.00074069+0.00532592j 0.00139914+0.000575861j -0.000983483-0.0037494j -0.00172289+0.0055609j 0.00216892+0.00451248j 0.00109961-0.00243766j -0.00242028+0.000684576j 0.00129942-0.00275709j 8.12431e-05-0.00143085j 0.000525213+0.0036731j -0.00401579-0.00155861j -0.000280445+8.02214e-05j 0.000244156+0.000383988j -0.00145008-0.00153341j -0.00141837+0.00123085j -0.000494321+0.00231357j -0.00205661-0.0051591j -0.00167148+0.00385026j -0.00138036+0.00167357j 0.000473964-0.00519454j -0.00182907-0.00168551j -0.00174508-0.00123221j -0.000830077-0.000506439j -0.00251167+0.00222029j -0.000591764-0.000388616j -0.00133921-0.000403408j 9.51931e-05+0.000158604j 0.000525683-0.000895627j 0.000100815+0.000128674j 0.000139612-0.00123062j 0.00122739-0.000166436j -0.000148949+0.000387415j -0.000801071+0.00165082j -0.00115664-0.000320773j 0.000468661-0.000471093j 
