-0.11175+0.215466j 0.202666-0.168068j -0.09469+0.125597j -0.007839+0.0272803j 0.0293202+0.00537406j 0.021693+0.017003j 0.0108714-0.0204553j 0.0246206+0.00715817j -0.0181515-0.00590436j 0.0368502-0.0299362j 0.00840084+0.00248383j -0.00261982-0.00619661j -0.00931162+0.00665383j 0.00568419+0.0017247j 0.0143381-0.00409729j 0.00694946+0.00402192j -0.0129286+0.00125455j 0.0317412-0.0116189j -0.00718936+0.00779096j -0.0010749+0.000141354j -0.0192855-0.00275233j 0.00591487-0.000489693j 0.00822215-0.00234693j -0.00517005-0.00446301j 0.00175075-0.000759017j -0.000520804-0.00369843j -0.00165159+0.010412j 0.00206709+0.0001479j 0.00783014+0.00740637j 0.0138865-0.00128578j -0.0030659+0.00425017j 0.00102574-0.00175387j 0.00390494-0.00288925j -0.00214357-0.00846452j -0.000952118+0.00713406j 0.00791773-0.00294666j 0.00103129-0.0101721j 0.0183381+0.00314967j -0.000402075-0.0147588j -0.0244293+0.00804522j 
0.209542+0.11221j -0.150261-0.194813j 0.114544+0.095424j 0.0334736+0.00636869j 0.00476974-0.0266244j 0.0156343-0.0196036j -0.0189933-0.014587j 1.9989e-07-0.0201941j 0.000216619+0.0145255j -0.0280648-0.0352391j 0.00235285-0.00712579j -0.00529188+0.000115461j 0.00569048+0.00554983j 0.00260123-0.0037027j 0.0027802-0.0172484j -0.00372147-0.00349058j 0.00892692+0.0138881j -0.0126825-0.0248946j 0.00406973+0.0161732j 0.00437714+0.00272907j 0.00417618+0.0204194j 0.00335205+0.00246378j -0.00835931-0.0181096j 0.00172202-0.00850913j -0.00322048+0.000948891j 0.00955698+0.00125417j -0.00468061+0.00571002j -0.0028319+0.00360884j -0.00236229+0.00612521j -0.00925008+0.0079883j 0.00127396-0.0013732j -0.0145118-0.0144593j 0.00452132+0.004948j 0.00688388+0.000793206j -0.00804706+0.0016991j 0.0115607+0.00924946j 5.79934e-06-0.0265803j -0.0259505-0.0200169j 0.00385638-0.0137275j 0.00385415+0.0284538j 
0.000126971+0.255889j -0.0352541+0.0953446j -0.00623833-0.0593725j 0.0275302+0.00577131j -0.0371109+0.0217537j 0.0135753+0.0290939j -0.0173916-0.00923045j -0.0272499-0.0205589j 0.0237525-0.0233103j -0.00552322+0.0191874j -0.0101016+0.000322198j 0.012688-0.00877702j 0.0199726-0.0115333j 0.0376724+0.00974998j -0.00494001+0.0308444j -0.0100987-0.00133073j 0.0122721-0.00598794j -0.0106909+0.00477375j 0.0108496+0.0109412j -0.0147969+0.0107794j 0.0118839-0.0036864j 0.00255076+0.00097474j -0.0018447-0.00402001j 0.00079074+0.00014032j -0.00412244-0.0116334j 0.00338794+0.0130428j 0.00205215+0.00413683j 0.00407782-0.00483917j 0.000600415-0.00691115j -0.00765645-0.00460514j 0.00268141-0.00206978j 0.0211451-0.00436409j -0.00584111+0.00334086j -0.00536107-0.00293608j 0.00666977-0.00587802j 0.00456781-0.000964986j 0.00728085+0.0224987j 0.00711228+0.000157386j -0.0134741+0.00548307j 0.0168002-0.0148311j 
-0.322598-0.131054j -0.172429-0.059309j 0.0992943-0.00200429j -0.00471808+0.0365116j -0.021106-0.0297071j -0.0179171+0.0273479j 0.0115568-0.00453584j 0.0125077-0.0326332j 0.0125681-0.000290021j -0.00733195+0.001363j 0.00532806+0.0266894j -0.00410525-0.00189822j 0.00199545-0.00952354j 0.0205155-0.00425299j 0.00567749+0.00473855j -0.00478939-0.00566836j 0.00215049+0.00488269j -0.00734171-0.00330656j -0.0124654+0.00550194j -0.00957238+5.95358e-05j -0.0062017+0.00593102j 0.00359132+0.00134653j -0.0064946-0.00397044j 0.0015942+0.00298301j -0.00977494-0.00885613j 0.0138519-0.0144302j -0.00504825+0.00891724j 0.00319703-0.0024936j 0.00192238+0.00321283j -0.017661-0.00102206j 0.000681846-0.00938089j -0.00928062-0.0164251j 0.00156079+4.07531e-05j -0.00377421+0.00263839j -0.010952+0.0063199j -0.00665681+0.000790727j 0.00440608-0.00483602j -0.000930165-0.00543623j 0.00279392-0.00582354j -0.000216345+0.00643896j 
0.0386555-0.142522j 0.0648138+0.0539575j -0.0290517-0.0407906j 0.0152091+0.0118331j -0.0219205+0.0177929j 0.0177353-0.0122202j -0.00854143-0.0349356j 0.00975571+0.00478287j 0.0137468+0.0080333j 0.0230684+0.000172627j -0.0183616+0.00765498j 0.00116411-0.0228761j -0.0101656+0.0232479j 0.00740427+0.0193475j 0.0108277-0.00926737j 0.00560312+0.00781602j -0.00594592-0.00836514j -0.00186435+0.00966696j -0.00604639+7.09541e-05j -0.0111452-0.00128222j -0.00623397-0.0134291j -0.00865481-0.00380719j 0.00517358+0.0121626j -0.00855701-0.017612j -0.0135813+0.00537581j 0.0199827+0.0227622j -0.0124374-0.00696159j -0.00305107-0.00311893j 0.0129854-0.00310522j 0.000195984-0.0120383j -0.0144967+0.0146946j -0.00375697-0.0153146j 0.000930235+0.0149052j -0.00476587-0.00295136j 0.00691976-0.00783206j 0.016181-0.000312975j 0.00559098-0.00283441j -0.0027289+0.0105801j 0.00110608-0.0105438j -0.00647826-0.00469841j 
-0.187279+0.072584j -0.0908828-0.0134342j 0.0386951-0.000235185j 0.00380825+0.00396324j 0.0135936-0.00799961j 0.0150651-0.0286426j -0.00293314+0.00486539j -0.0122158-0.00859956j -0.00876205+0.0054859j 0.00221648-0.0192876j -0.0198301+0.0117302j -0.0153875+0.047989j -0.0122105-0.0147465j -0.0146642+0.0275951j 8.04774e-05+0.025543j -0.00209474-0.00935702j 0.00538829+0.00480821j -0.00666912-0.00200569j 0.00122436-0.00871675j 0.0109311+0.00109377j 0.00224555+0.013552j -0.015391-0.0100209j -0.0135942+0.0161129j -0.00214165-0.0103963j -0.0107289+0.0140824j -0.00159572+0.00911078j -0.017132-0.00830951j -0.00272681-0.00316067j 0.00179405-0.0213573j 0.0139504-0.0130295j -0.0191173+0.0173909j -0.0106821-0.000932809j -0.00388212+0.0109813j 0.000498421+0.00350249j 0.0130998-0.0110981j 0.0151411-0.00238471j -0.00620895+0.000129578j -0.00514898-0.0169496j -0.00569286+0.0087556j 0.00256855+0.00850197j 
0.102169+0.175845j -0.129144+0.0395127j 0.0901919-0.0344244j -0.0227457-0.0177447j -0.0230547-0.0374066j 0.0203574+0.0153219j -0.000324447+0.021484j 0.0123023-0.0193342j 0.0105446+0.0227203j -0.00640997+0.00182504j -0.0240518+0.0194375j 0.0170976-0.00809145j -0.00711755+0.0129861j 0.00652337+0.0026242j 0.00509685-0.0214471j 0.0127143-0.00258424j -0.0101065+0.00157969j -0.0127066-0.0135145j -0.00327312-0.0170203j 0.00621305-0.0132392j -0.005546+0.00163635j -0.00812599-0.0111447j -0.0141632+0.013305j -0.00826391-0.00196225j -0.00109187+0.00580555j -0.00538848-0.0108201j 0.00327195+0.012799j -0.000340786-0.00268775j 0.0090956+0.00315466j 0.00732296-0.0126659j -0.0119717+0.00355128j -0.0200773-0.0046122j 0.00760645-0.00404829j -0.00496102+0.00261783j -0.00375022+0.00822343j 0.000198945-0.0168268j -0.0136529-0.0138207j -0.0110325-0.000843209j 0.00237255+0.00104664j -0.00145485+0.0141728j 
0.291028+0.0406989j 0.0499531+0.0889317j -0.024371-0.0268768j -0.0130063+0.0125804j -0.0210395+0.00947642j 0.00190834-0.000934063j 0.017611-0.00542734j -0.00512886+0.0250996j 0.00681175-0.0178781j -0.0102229+0.00507677j 0.00723274+0.0193949j 0.00618191+0.0222994j 0.00206543-0.00778503j 0.0133083+0.0077173j -0.00873211+0.0115489j -0.0092718+0.0164102j 0.00348867-0.0144686j -0.0135845+0.0298344j -0.0186312-0.000330892j 0.00830113+0.00324776j 0.00170216-0.0142497j 0.00902013+0.00602655j -0.0179493+0.00327317j 0.00373739-0.00303318j -0.0113801+0.0030246j 0.0139647-0.0078013j -0.0249693+0.0120588j 0.00289259-0.000425281j 0.0128972-0.00123717j -0.00805189+0.00682273j 0.00285201-0.00635158j -0.0221589+0.00446892j -0.00445577+0.00834439j -0.00791913-0.00822707j -0.00973704-0.00408511j 0.00332605+0.00290351j -0.0127833+0.0101059j -0.00432507+0.0162221j -0.0083078+0.00330969j 0.0178763-0.0204329j 
0.168719-0.201517j 0.0577764-0.107388j -0.022015+0.057717j 0.0120392+0.0134864j -0.00117781+0.00661432j -0.0346658+0.0446192j 0.00138982-0.0217491j 0.0016635-0.00640643j 0.0058339-0.00104879j 0.0165022+0.00133593j -0.0198172+0.00514343j -0.0275753-0.0318685j -0.0179448-0.00362418j -0.00275473+0.0045572j 0.010429+0.0191731j -0.00581734-0.00438626j 0.0087346+0.00367209j -0.0141197-0.000471333j 0.00335677+0.00609455j 0.0224379+0.00577803j 0.00660026+0.00728091j -0.0154977-0.010878j -0.026486-0.00264854j -0.00398726-0.00616533j 0.00380436-0.00100067j -0.014915-0.00208977j -0.00827284-0.000393482j 0.00950269-0.00196831j -0.0102542-0.0211986j 0.0105299-0.00205043j -0.00379425+0.00469799j 0.00868404+0.00609464j 0.00125221+0.00274308j 0.00901514+0.00251418j -0.00126711-0.0016758j 0.011119+0.00216359j -0.00283718+0.01246j 0.00771344-0.0147481j -0.00936484+0.00402498j 0.00273802+0.00109168j 
-0.0634314+0.136381j -0.0421027+0.0956204j 0.0106881-0.0408018j -0.010978+0.011543j -0.0142168-0.0243335j 0.0361329+0.00578338j 0.0190411-0.00912908j -0.0141073+0.0127032j -0.00464284+0.0127175j 0.00945701+0.023078j -0.0114182-0.0219993j -0.00928173-0.0227655j -0.00749296-0.0106292j -0.0194097-0.00286995j -0.00704909+0.00608088j -0.000358551+0.0091829j 0.00646728-0.00837179j 0.00166427-0.00543038j 0.0212843+0.00616887j 0.00343783+0.0266554j 0.0153423-0.000786355j -0.00483576-0.00554313j 0.00302305-0.023011j -0.0116293+0.0056049j 0.0113702+0.0181564j 0.0160632-0.0128585j -0.00163797-0.0226063j 0.00354563+0.0032074j -0.0216526-0.00743574j 0.012379+0.012778j 0.00875289+0.00957401j 0.00436457+0.00876607j 0.0161488-0.00453287j 0.00679612-0.00159729j 0.00134796-0.0161075j 0.00475657+0.00600312j -0.00532476-0.00328752j -0.000747694+0.00238672j -0.0064849+0.000952807j 0.00796628-0.00450774j 
-0.0105316+0.0692625j -0.0785346+0.0526842j 0.0539914-0.0440102j -0.0107404+0.0149693j -0.0464593-0.00239383j -0.0357533-0.0476714j -0.000181315-0.0012666j 0.0165633-0.00775983j 0.0248315+0.00725559j -0.018907+0.00887348j 0.00330585+0.0127663j -0.0058717-0.00695394j -0.00225172-0.0139063j -0.0187296-0.0146191j -0.0153872-0.0109219j -0.00760323+0.010642j 0.0144106-0.00763957j 0.0110229+0.0089473j 0.00533906+0.0156363j -0.00702359-0.00662384j 0.0189236+0.0027386j 0.0129592+0.00110696j -0.0117629+0.00735931j 0.00652845-0.00243847j -0.00210955+0.0110724j -0.0055698+0.013205j 0.0170941+0.000144649j 0.010827+0.00159082j -0.0169077+0.00469982j 0.00764917+0.0139578j -0.00734009-0.00565963j 0.00420556+0.000571638j 0.0089907+0.0082181j 0.00568106-0.0034095j -0.00425193-0.00709476j -8.7551e-05+0.00998341j 0.00109441-0.00956959j -0.0101831-0.00294201j 0.00466812+0.00325187j 0.0125625-0.0020454j 
