-0.0202341-0.00722505j -0.00460207-0.00125517j -0.000372848-0.00782406j 0.0153925+0.0199352j 0.0304963-0.00261264j -0.00777345-0.00582932j 0.000586106-0.0189615j -0.0261482-0.0100949j 0.0236966-0.00804443j -0.00422583+0.00530282j 0.00681812-0.0160688j -0.00448011+0.0138009j 0.00942519+0.0216516j -0.00719118-0.00554581j -0.000661074-0.0121202j 0.00609042+0.00737957j 0.00251145-0.00216363j -0.011185-0.00709628j 
-0.00252387-0.00867875j 0.00957187+0.00476269j -0.017189-0.024736j 0.00387867+0.0332288j -0.0202504+0.00022806j 0.011192+0.00901988j -0.0134663-0.0295427j 0.00783809-0.00716687j -0.0122496-0.0149121j 0.00246305+0.0226711j -0.0118693-0.0106897j -0.00884343+0.0246753j -0.0125111+0.0352717j 0.00917192-0.00739189j 0.0125349-0.0193814j -0.00337797+0.00855727j 0.00141149+0.00442403j 0.00443732+0.00950204j 
0.00647269+0.000392127j 5.86593e-05+0.00162523j -0.0164055-0.00236159j -0.022778+0.0139458j -0.0476458+0.00392343j 0.0222613-0.00739152j -0.0136639-0.00662057j 0.0345358+0.0120739j -0.00886599+0.00242165j 0.00922111-7.34802e-05j 0.00765604+0.00156084j 0.00306421+0.00169068j 0.000474443+0.00286803j 0.00419037-0.00251035j 0.00705378+0.00121054j 0.00200785+0.000609021j -0.000243911-0.00231564j -0.0055603+0.00154487j 
-0.0106443+0.00778151j -0.000146835+0.00651604j 0.00683732-0.0055699j 0.00574125+0.00312306j 0.00433459-0.000412357j -0.0130265+0.00749684j 0.00211025-0.00311245j -0.00297111-0.0022186j -0.0177439+0.00213993j 0.0135809+0.00263076j -0.0144804+0.00662494j 0.0202074-0.00323228j 0.0333652-0.0016791j -0.016777-0.000245133j 0.00642061+0.00582675j 0.0184571+0.00316462j 0.0108144+0.0107642j 0.0165193+0.00833491j 
-0.0316632+0.0110604j 0.00825274-0.00109199j -0.0357002+0.0183927j 0.0563252+0.00191362j 0.0038472+0.0128622j 0.00396352-0.0147931j -0.0259784+0.010992j -0.00946202-0.00574762j 0.0031892-0.00146866j 0.00644062-0.00418165j -0.00808957+0.00440589j 0.00473846+0.00291484j 0.0146499+0.00641338j -0.00460571-0.00646572j -0.0142849-0.0017377j 0.00349828+0.00586135j -0.000869919+0.00101545j 0.00257233-0.00165855j 
-0.00833308+0.0100354j -0.00111871+0.00795294j -0.0025142-0.0228766j 0.000469368-0.00550248j -0.000772598-0.0411504j 0.00104795+0.0241856j 0.00254232-0.0188908j -0.00914839+0.0294089j 0.00392151-0.00883329j -0.00763016-0.00256109j -0.0122899-0.00488369j -0.0133781-0.0164853j -0.0127086-0.0371091j 0.00636284+0.0252821j 0.00898942+0.00588135j -9.20273e-05-0.0203228j 0.00146853-0.0100466j -0.000311569+0.00989097j 
0.00787418-0.000985367j -0.00543521+0.00492542j 0.0222331+0.00134424j -0.0326509+0.00744587j -0.0108679+0.011189j -0.00996051-0.00144221j 0.0267662-0.0101364j 0.021166-0.0170336j 0.00712536+0.00590145j -0.00498791+0.00332579j 0.0146534+0.00148773j -0.0102274-0.000195118j -0.00992328+0.0143617j -0.0031942-0.00447778j 0.0264816+0.00565482j 0.00323365+0.0100741j 0.0054885+0.0080827j 0.0025357-0.00289746j 
-0.0152157+0.0104667j -0.0288932+0.0266315j 0.0218428+0.00749432j -0.0193349+0.017169j -0.00500036-0.00303628j -0.0246814-0.0083774j -0.020536-0.00890815j 0.0114283-2.16696e-05j 0.0166091-0.0127254j 0.0143657-0.00456967j -0.00720011+0.0118794j 0.024294+0.00014115j 0.0399425+0.00348341j -0.00765093-0.00279602j -0.00686325-0.0111795j 0.00677276+0.00811333j -0.00846233+0.00422348j 0.00897165+0.00203895j 
0.00289716+0.0326041j -0.0035041-0.0275242j 0.00331619+0.0381769j -0.00148979-0.0612768j 0.00276593-0.0128609j -0.00433545-0.0125232j 0.00899926-0.000199974j -0.00230407+0.0188388j -0.0119335-0.00699271j 0.0019164+0.0173591j -0.0181337-0.00657203j -0.00754723+0.0251603j -0.00415238+0.0196906j 0.00470662+0.0025771j 0.01567+0.00218006j 0.0025173-0.00189173j 0.00179534-0.00108594j 6.93282e-05+0.0152315j 
-0.0153515+0.0499232j 0.0202354+0.02632j -0.00356552+0.0125276j 0.0341602-0.00746477j -0.00653261+0.00486856j -0.00787467+0.0127739j -0.0107553+4.27461e-05j 0.00157156-0.0104417j 0.0182725-0.0228043j -0.0186848-0.0101737j 0.0122387+0.00622052j -0.0202597-7.41493e-07j -0.0154262-0.0178383j -0.000858168+0.00164725j 0.0179062-0.00575043j 0.00575127-0.00971683j 0.00744682+0.00251777j 0.00527982-0.0180136j 
-0.0515953-0.024585j -0.0122895+0.0139255j -0.0182374+0.00464059j 0.0146836+0.0191337j -0.00542246-0.00739462j -0.00496471-0.0112803j 0.0203597-1.36193e-06j 0.0113229+0.00594615j 0.0129928+0.0138355j -0.00222011-0.00341455j -0.00583217-0.0115601j -0.0101257-0.0123985j -0.00326055-0.00325921j -0.00450966-0.00287686j 0.0130539+0.0262638j 0.00669155+0.00167469j 0.00266068+0.0135232j 0.00532739+0.00338938j 
