-0.101445+0.0359666j 0.204046-0.100404j 0.491058+0.054713j -0.254279-0.209539j -0.338457-0.0479424j 0.344903-0.59889j 0.183484-0.111501j -0.358823-0.414241j 0.828647-0.365117j -0.272804+0.0374395j -0.415844+0.282669j 0.188228+0.822409j -0.0868201+0.618316j -0.50022-0.0633389j 0.156046-0.0978208j -0.040814-0.278017j 0.110554+0.0936389j -0.339437+0.173496j -0.229046-0.193562j -0.0242354+0.0529035j -0.397083-0.734195j 0.286736-0.0427811j -0.118985-0.0563079j -0.437+0.113124j -0.0617106-0.13349j -0.0218846+0.152027j 0.220655-0.136352j 0.239851-0.597838j -0.214808+0.164167j -0.815551-0.463186j -0.0150106+0.681823j 0.132847-0.740391j -0.267776-0.183265j -0.347019+0.43051j 0.571332+0.171478j -1.38436-0.585683j 0.0827372+0.0019978j 0.084348+1.21859j 0.90433+1.41847j 0.0270594-0.109905j -0.710532+0.339435j -1.13446+0.168612j 0.756651-1.44514j -0.160688+0.18533j -0.62319+0.168877j 0.354986+0.164347j 0.2542+0.107152j 0.0555027-0.26499j 0.296453-0.324638j -0.499047-0.0660887j 0.151631+0.0831221j -0.7857+1.05705j 0.296766-0.297574j 0.125804-0.302904j 0.0967287-0.942146j 0.297172+0.118322j -0.454812-0.191423j -0.451191-0.162169j -0.79758-0.453006j -0.47892+0.083287j -0.26789+0.507736j -0.612823-0.393452j 0.339442-0.190463j -0.0190113+0.295315j 0.205021+0.0654094j -0.316881-0.121706j 0.0738538+0.372414j 0.402494+0.825896j 1.19978-0.673129j 
-0.0261954-0.442568j 0.300027-0.0906688j 0.636184+0.614111j 0.143125+0.467653j -0.331741+0.316805j -0.164063+0.473066j 0.661866-0.0165521j -0.406758+0.0679324j -0.283066-0.368498j 0.09544-0.115351j 0.186642+0.0196901j 0.111178+0.295676j -0.306653-0.0802104j 0.289494+0.251393j -0.434578+0.187125j -0.0940824+0.324542j -0.327894+0.195576j 0.172287+0.342054j -0.0534407+0.104841j 0.118056-0.324822j 0.209141+0.347523j 0.487305-0.175143j 0.352139-0.530415j 0.689569-0.0623965j 0.379559+0.0152532j 0.0395709+0.679166j 0.3832-0.783137j -0.411132+0.0657118j -0.787259-0.014958j 0.0744289-0.552739j -0.00499532+0.746879j 1.16544-1.04889j 0.102754-0.959293j 1.20213-0.292398j -0.828808-1.20933j -0.192093-0.361782j 0.393579-0.0198689j 0.472888+0.323619j 0.419185-0.716943j 0.70717-0.0550705j -0.604671-0.277056j -0.189552-0.466061j -0.140042+0.0510437j -0.486717-0.148213j 0.186334+0.696318j -0.845476-0.496012j -0.551054-0.217389j 0.0190761+0.171057j 0.601458-0.0970168j 0.0852168-0.0818976j 0.172792-0.361653j 0.375901-0.107314j -0.694143+0.550977j 0.0156762-0.829859j 0.318029+0.000483063j -0.0213613-0.0193303j 0.0339164+0.477669j -0.48825+0.26588j 0.6496+0.0678833j 0.432385+0.513957j -0.378058+0.440449j 0.321235+0.13549j -0.187242+0.608647j 0.683259-1.01109j 1.00404+0.113212j -0.126896-0.837216j 1.15379+0.92793j -0.15641-0.554511j 0.600606+0.102765j 
0.636553-0.559884j -0.384719-0.517629j 0.166109-0.0203966j 0.0585057+0.0881425j 0.0546196-0.138056j 0.273889+0.0888007j -0.348469+0.082747j -0.303571-0.0094483j 0.0282444+0.584938j -0.0651732+0.66849j 0.0618985-0.135166j 0.323423+0.218129j 0.0634536-0.0289978j -0.0724084-0.202491j 0.26514-0.115275j 0.409884-0.36646j -0.399554-0.565209j 0.197011+0.940837j 0.414512+0.104871j -1.03406+0.0350379j 0.279802-0.129549j -0.0925633-0.645461j 0.566379+0.190899j -0.382405-0.122127j 0.297361-0.14479j 0.015739-0.525221j 0.630953-0.335314j -0.411175-0.376906j -1.52817-0.690548j 0.0563908+0.125825j 0.499789-1.10888j -0.114005-0.69048j 0.286669-0.283423j -0.111245-0.138777j 0.0931835+0.404869j 0.455991-0.0764023j -0.589702+0.4509j 0.676487+0.327006j -0.558039+0.201465j -0.609058+0.685866j -0.280638+0.269504j -0.223083+0.421817j -0.0304906+0.357282j -0.2218-0.771116j 0.236559+0.280508j 0.153925+0.0766162j 1.02083+0.855794j 0.146044-0.0521687j 0.363333+0.229068j -0.429844+0.275593j 0.0824165+0.33435j -0.149054+0.0599022j 0.438561-0.135813j -0.605886+0.071074j 0.141898+0.123866j -1.13754-1.1719j -0.816744+0.180291j -0.76687-0.174289j 0.159285+0.0135815j 0.537083-1.48947j 0.087378+1.18515j 0.00165286-0.0523631j -1.05914+0.743916j -0.762867+0.370604j -0.243175-0.368812j 0.248493+0.0303537j -0.0613885+0.78813j 0.0103488-0.366846j 0.156157+0.0174665j 
0.0137515-0.0898862j -0.0826502+0.182869j -0.482616+0.105756j 0.337261+0.326956j -0.0207959+0.372539j -0.869287+0.457615j -0.361342-0.0254882j 0.30637+0.421112j -0.871955+0.0414549j 0.37287+0.0399147j -0.399681+0.680346j 0.795367+0.345521j 0.0205237-0.631971j -0.546376+0.0689699j 0.127506-0.139232j 0.905676-0.730474j -0.222516+0.630732j -0.962884-0.726117j -0.309859-1.00766j -0.828084+0.188451j -1.06714+0.657465j -0.0104068-1.2487j -0.692985+0.558463j -0.0278888-0.281835j -0.338942+0.0014737j 0.293824+0.294145j -0.197178+0.0294523j 0.418585+0.618191j 0.0946114-0.242831j 1.04661-0.775534j -0.0395916-0.408818j 0.264827+0.423913j -0.0822578-0.266113j 0.745156+0.297379j -0.433628-0.356614j 0.485612+0.841325j -0.0765975-0.0393239j 0.60202-0.725967j -0.167963-1.0531j -0.0973042+0.105211j 0.688645+0.952925j 1.03307-0.229532j 0.374089-0.773473j 0.209057-0.145043j -1.13643+0.00603528j 0.440768+0.29334j 0.525001+0.244494j 0.815039+0.646684j 1.00574+0.0149719j 0.339697-0.600744j 0.465437+0.542113j 1.47873+0.750384j 0.396723+0.948526j -0.79749+1.27292j -1.07189+0.0715375j 0.823775+0.312245j -0.460712+0.744214j 0.17452-0.249263j -0.00932719-0.125094j 0.543972-0.346908j 0.415461+0.343945j -0.758152+0.660685j 0.187633-0.303401j -0.476145-0.294101j -0.0589547+0.0268586j -0.0664555-0.0141742j -0.0848666-0.124235j -0.874873+0.132573j 0.280004+1.48955j 
0.0873901+0.359819j -0.38554-0.284753j -0.285195-0.778733j 0.384982-0.107248j 0.16111+1.05695j -0.745994-0.30431j -0.665256-0.284081j -0.516514-0.135356j -0.472165-0.0124685j 0.739288-0.315821j 0.655929+0.167008j 0.0802887-0.778448j -0.508971+1.21871j -0.73196-0.0994493j 0.59209+0.702234j -0.0551637-0.054621j 0.376445+0.669237j 0.293216-0.345589j 0.190009+0.230075j 0.0263992+0.447217j 1.02274+0.117299j -0.448977+0.459876j 0.391207-0.430293j 0.518569-0.889623j -0.12339+0.251213j -0.833791-0.681306j 0.700279+0.759146j 0.57536-0.292804j 0.361108-0.0065597j 0.993457+0.295287j 0.807232-0.737171j -0.775607+0.189717j -0.970438+0.156649j 0.255084-0.0085597j -0.0382582+0.135117j -0.26024+1.80866j 0.0389083-0.0216563j 0.0581649+0.135985j -0.188813-0.854042j 0.753519+0.695668j 0.866398-0.156145j -1.27735+0.403124j -0.422386-0.553832j -0.358952+1.07883j -0.0639989-0.686508j -0.497738+1.19137j 0.607057+0.239049j -0.247136-0.55227j -0.257743-0.563463j 0.58389-0.33452j -0.100049-0.405508j 0.152317-0.980297j 0.61914-0.288938j 0.0309249+0.25472j 0.31058-0.585344j -0.193781+0.0789798j 0.419679-0.321599j 0.479079-0.122536j 0.858376-0.457323j -0.230857-0.393749j -0.116551-0.845681j 0.987224-0.312699j 0.218636+0.549576j -0.151589-0.327345j -0.514891+0.674425j 0.922907-0.0121891j -1.28272+0.786433j 0.406528+0.428083j -0.484348+0.886611j 
0.419912-0.134693j 0.323557-0.0211789j 0.515611+0.144407j -1.57876+0.0434032j 0.199216+0.329024j -0.70344+0.434546j -0.0109669+1.41878j 0.391164-0.828991j 0.0498181-0.732726j 0.442456+0.477045j 0.275108+0.0855287j -0.386112-0.0771817j -0.512791-0.301207j 0.114672-0.159917j 0.29458+0.137611j -0.386849+0.0327879j -0.257078+0.776157j 0.332381-0.155988j -0.190489+0.0301002j -0.148335-0.753746j 0.384265-0.154026j -0.606506-0.606713j -0.670449-1.47512j 0.295735-0.83605j -0.432941+0.342307j 1.58732-0.337612j 0.916458-0.374322j -0.406039-0.178033j -0.375907-0.357292j -0.28251-0.20976j -0.0861758+0.545826j -0.0452911-0.510859j 0.203624+1.56774j 1.4895+1.01245j 1.13917-0.743336j 0.979456-0.376793j -0.0188428+0.34868j -0.866422-0.00372821j 1.03887-0.515592j -0.298478+1.00402j -0.294582-0.427885j 0.119796-0.424338j 0.14314-0.0418498j -0.258753-0.108388j 0.0712098-0.0157187j 0.175223-0.0736414j -0.0820177+0.0189941j -0.884201-0.663225j 0.52948-0.159389j 0.60245-0.284873j -0.507795+0.469152j 0.241175-0.174356j 0.252872+0.270015j 0.131375-0.143136j 0.288158-0.295677j -0.129524+0.333587j 0.60894+0.408304j -0.140937+0.423195j -0.011433-0.721604j 1.05184+0.145283j 0.808845-0.189542j 0.331928-0.291052j 1.06226+0.723742j -0.762647-0.995206j 1.30722-0.892423j -0.207086+1.46176j 0.0798865+0.682881j -0.143203-0.465053j 0.421711-0.188057j 
-0.853391+0.164045j -0.421067-0.366867j 0.827717-0.79651j 0.51452-0.520589j 0.525887+0.308878j -0.33399-0.210637j 0.599171+0.845545j 0.581704+0.39146j 0.584201-0.00464999j 0.719527-0.419831j -0.182501-0.0783836j -0.302492-0.504755j 0.169974-0.779643j -0.185509+0.0712941j 0.504138-0.930613j 0.744838-0.175685j -0.833156-1.06625j -0.0675045-0.816448j -0.303539+0.058618j 0.977152-0.151052j 0.397214-0.0592355j 0.350826-0.46279j -1.17687+0.540828j 0.0858992+0.00652536j -0.141945+1.28718j -0.240543-0.231349j 0.0763552+0.967265j 0.523495-0.376157j 0.229066+1.02968j -0.265676+0.149448j 0.497248-0.347533j -1.22004-0.996936j -1.22363+0.602974j -0.377071-0.477844j 0.0163208-0.799108j 0.301657-0.518701j 1.05384+0.393557j -0.260977-0.98245j 0.256568+0.322647j 0.949027+0.232186j 0.108276+0.0680251j 0.451727+0.113631j 0.280333+0.152844j -0.266791-0.691787j -0.184581-0.542322j 0.808628-0.0510802j -0.252313-0.892445j 0.0464757+0.23216j 0.233291+0.629385j 0.694749+0.369249j -0.00945223+0.916876j -0.488006+0.0279776j -0.591565-0.747367j 0.0269774+0.874362j 0.302322+0.801561j 0.114875-0.437981j -1.2697+0.175785j 0.796375+0.112075j 0.533524-0.840778j 0.216677+1.05583j 0.153605-0.0574815j 0.0101681-0.148739j -0.0810965-1.56658j -0.214864-0.390383j 0.546598-0.144004j 0.861486+0.351633j -0.843923-0.263081j 0.579388+0.649772j -0.239966-0.138287j 
-0.960016-0.908294j -0.72053+0.597647j -0.19408+0.0020658j -0.160392+0.075552j 0.139366-0.0891801j -0.392898-0.430664j -0.394043-0.102759j -0.159827-1.05836j 0.0165216-0.479412j -1.58834-0.218587j 0.0227964-0.832289j 0.754898-0.936038j -0.789445-0.637102j -1.15217-0.492126j 0.0317448+0.126303j 0.281837-0.381524j 0.582709+0.791881j -0.37988+0.497098j 0.618505+0.481837j 1.13119-0.436829j -0.256235+0.119367j -0.0424505+0.767796j -1.18627-0.163947j 0.753475+0.236065j 0.0357215+0.474483j -0.393518+0.623164j -0.582647-0.055816j -0.213057+0.417039j -0.388515+1.60997j 0.163471-0.0649489j -1.12648-0.355167j -0.402223+0.166923j -0.0500083-0.156062j -0.0724976+0.26405j 0.283762-0.265397j 0.159308+0.143392j -1.03177-0.63428j -0.226743+0.479065j 0.41549+0.135491j -0.467526+0.226682j 0.236257+0.126532j -0.639431-0.740834j -1.15741+0.352893j 0.885429+0.0430033j -1.08169-1.2132j 0.408313-0.858094j -0.957754+1.07905j 0.333376-0.943358j 0.923104-0.271669j 0.232604+0.478458j 0.666965-0.784191j -0.216679+0.143229j 0.672245-0.61016j -1.09076+0.0728711j 0.140248-0.237562j -0.435293-0.665098j 1.12371+0.326551j 0.491605-0.999508j -0.265583-0.0633254j -0.181171+0.912872j -0.513163-0.71587j -0.00727106+0.0722076j 0.452602-0.619363j 0.58137-0.388093j 0.491755-0.194523j 0.145288-0.256813j 0.37554-0.324067j -0.0173123+0.232772j -0.139682-0.137996j 
0.0878976-0.0166414j -0.157427-0.105144j 0.20978-0.273326j -0.359256-0.0140747j -0.0759346-0.219857j 0.555047-0.584304j 0.329786-0.0483308j -0.522882-0.149383j 0.598524-0.285967j -0.310157-0.0539605j 0.658157+0.0215432j -0.116977-0.953234j 0.121225+0.529049j 0.339625+0.190498j -0.204809+0.180591j -0.99782+0.748532j -0.0546625-0.539681j -0.534401+1.04295j -0.858988-0.584019j 0.228357+0.521471j 1.3237-0.243294j -0.0431625-0.654849j -1.07599+0.774695j 0.161812-0.0183679j -1.12968-0.111205j 0.112776+1.24023j -0.261424-0.858468j -1.10046-0.247257j 0.201022+0.154276j 0.411212+1.24623j 0.206605+0.0798853j -0.207372+0.0448788j 0.110478+0.0460752j -0.404312+0.00144483j 0.229414-0.114932j -0.341065+0.0261335j 0.0476855+0.0447189j 0.0437364+0.356907j 0.480911+0.155383j 0.0176118-0.0536555j 0.0220441-0.785058j -0.500138+0.374484j -0.698328+0.357775j -0.02545+0.103096j 0.897546+0.360045j -0.484984-0.137597j -0.315126-0.276375j -0.74854-0.201753j -0.237019+0.0557438j -0.553045+0.8479j 0.166678-0.201966j -0.896416-0.710634j 0.173629-0.295719j 0.472442+0.40753j 0.697959-0.15938j 0.475545-0.036455j -0.461946+0.337031j -0.0808422+0.033394j -0.799844+0.272156j 0.220005+0.109474j 0.42398+0.772053j 0.709554-0.0273764j 0.0845904-0.804555j -0.192379-0.122161j 0.242576+0.0682282j -0.367383+0.228198j 0.446109-0.151216j -0.0424353-0.701502j -0.98355+0.426387j 
-0.0465167-0.066054j 0.00395861+0.14458j -0.212052+0.0739267j 0.0988235+0.206316j -0.0328561+0.0309331j -0.441211+0.0191974j -0.0928049-0.118025j 0.136625+0.463608j -0.367853-0.174858j -0.0235916+0.186805j 0.0722228-0.376914j -0.529907+0.218189j 0.33712-0.37802j 0.0371987-0.107789j 0.156218+0.0026535j 0.745434+0.387777j -0.316804+0.297239j 0.876679+0.225211j -0.247627+0.93498j 0.278225-0.244052j -0.511028-0.829046j -0.520442+0.170888j 0.927895+0.481316j -0.107086-0.10355j 0.388426+0.779293j 0.936197-0.513416j -0.59606+0.53312j 0.275145+0.98221j 0.11181-0.128555j 0.601962-0.589038j 0.0683055-0.13799j 0.0766496+0.227644j 0.114066-0.136364j -0.0849749+0.332676j -0.118888-0.283423j 0.106713+0.366389j 0.0313561-0.0492812j 0.432196-0.136535j 0.254906-0.538819j -0.130279-0.10552j -0.851834-0.475538j 0.380457+0.611687j -0.11703+0.978525j 0.0956285-0.0312j 0.822696-0.792624j -0.316543+0.419144j -0.374877+0.196771j -0.490555+0.747616j 0.0658572+0.0059404j 0.806891+1.07246j -0.058343-0.374122j -1.10487+0.711526j -0.147351-0.371474j 0.98539-0.272574j -0.063767-0.781915j 0.353692-0.753345j 0.347094+0.863602j -0.120684-0.0357266j 0.0982915+1.29605j 0.223011-0.440608j 1.50421-0.125512j 0.330376-0.885871j -0.78609-0.828444j -0.231493+0.0935823j 0.125819-0.218537j -0.186125+0.499493j 0.0594702-0.499645j -0.794717-0.108185j 0.0600591+1.23279j 
-0.131953-0.0785734j 0.289479+0.101214j 0.382041+0.460361j -0.205117-0.0607469j 0.299138-0.694326j 0.806665+0.339949j 0.443761+0.0343976j 0.150426+0.549445j 0.59678+0.0932408j -0.874737+0.0452147j 1.24131-0.0883034j 0.0884336-0.375775j 0.378835-0.577692j -0.025351+0.977591j -0.201539-0.483766j -0.0547524+0.127363j 0.0408444+0.712281j 0.428684+0.445046j 0.0329376+0.939592j -0.212816-0.0603685j -0.425757-1.30535j 0.620896-0.484716j -0.103916-0.911626j -0.414544-0.15243j 0.755721-0.935008j 0.601263+0.028133j -0.26831+0.515226j 0.357369+1.00025j -0.123429+0.0979004j -0.26411+1.20635j -0.0500436+0.581158j 0.0274565-0.447716j 0.349902-0.0473441j -0.572353-0.469705j -0.0481593+0.276516j 0.1722-0.788077j -0.0901813-0.0458187j -0.118674-0.583629j 0.155053+0.603744j -0.618538-0.495799j -0.592469-0.559624j 0.336954-0.352149j -0.957214+0.615486j -0.203925-0.445318j 0.256467+0.286499j 0.0661038-0.469254j -0.108489-0.369143j -0.224471+0.146299j -0.122211-0.577559j 0.19171-0.520236j -0.0256576-0.389881j -0.495159+0.779424j 0.240118+0.20786j -0.699167-0.405552j -0.627885+0.421127j -0.371257+0.410104j 0.295352+0.362329j 0.324846+0.309969j -0.370108-0.0266435j 0.0788846+0.225649j -0.219088+0.419352j -1.00466-0.584262j 0.279804+0.687443j 0.206994+0.0561389j -0.255809-0.488917j -0.206221+0.171126j -0.938288-0.298453j -0.480688+0.459564j -0.912952-0.0959985j 
