0.010748-0.0111952j -0.0179632+0.0400878j 0.0628299-0.0798261j -0.0765285+0.072776j 0.0101527+0.0581949j -0.0810484+0.00756317j -0.118704+0.0684922j 0.00418617-0.0383989j -0.0393247-0.109731j 0.0987991-0.193341j -0.039123+0.0735096j 0.113314-0.0586836j -0.00809457+0.0182682j -0.24031+0.173461j -0.0735539-0.00335258j 0.271958-0.0166242j 0.150349+0.00245796j 0.165127+0.0746198j -0.083986-0.158357j 0.00600563+0.130194j -0.122832+0.0174396j -0.0183514-0.0997878j 0.0243174-0.0497848j -0.319774-0.242914j -0.0800889-0.225507j 0.0841833-0.0651322j 0.372089-0.360353j -0.180987+0.0984094j -0.163864+0.0618743j 0.131116-0.175876j -0.105562-0.0271257j -0.161554+0.334066j 0.0267+0.0376262j 0.0766724-0.235428j 0.315071+0.169096j -0.310954+0.232893j 0.216231+0.0101518j 0.0812675-0.381973j -0.1195-0.099191j 0.125878+0.278606j -0.0525595+0.110488j 0.0528455-0.325836j -0.0408487-0.143943j -0.426036+0.308078j 0.255708+0.225642j 0.559864-0.102826j 0.305308-0.210178j 0.170498-0.170935j 0.0492641+0.145868j 0.253656+0.334635j -0.213799-0.410609j -0.251535+0.223736j 0.303574+0.0706841j 0.150012+0.0841209j 0.159057-0.467395j -0.216432-0.581772j 0.196639-0.185789j 0.445993-0.326474j -0.54151-0.0978652j 0.0793659-0.11253j 0.265852-0.344495j -0.123545+0.436112j 0.0260767+0.32166j 0.295335-0.0217123j -0.402037+0.115123j 0.052113+0.0477935j 0.175456+0.109262j 0.273552+0.314918j 0.288821-0.273135j 0.317191+0.0800275j 
-0.00191662-0.0397927j -0.0681026-0.107286j 0.0614012+0.181577j -0.113932-0.246953j -0.132308-0.113009j -0.0484448-0.133023j -0.038983-0.136884j -0.00401759+0.0814239j 0.111365-0.0969593j 0.29185+0.0217621j -0.158906-0.0386002j 0.284546-0.0309423j 0.00636029-0.190468j -0.162655-0.217591j 0.0437864-0.345055j 0.00752915+0.179589j 0.25447+0.0893639j -0.127258-0.270947j -0.048768+0.317659j 0.0775767+0.155924j 0.0297818+0.115128j -0.130901+0.204881j 0.142685+0.0924376j -0.533848+0.0206491j -0.32455-0.0179174j -0.183944-0.154768j 0.538627-0.22416j -0.117744+0.0314752j 0.197511+0.100614j -0.213406-0.155182j 0.00438993+0.177778j 0.174533-0.123202j 0.0370758-0.309755j -0.0694412-0.4833j -0.0854268-0.0946739j -0.252405+0.13088j 0.305862+0.0911599j -0.354028-0.204644j 0.0201656-0.0138039j 0.0900798-0.320241j -0.0100108+0.205745j 0.366896+0.0477695j 0.348439-0.081928j 0.223773-0.112919j 0.212395-0.319626j -0.13218-0.416444j -0.215307-0.359872j 0.0285045+0.0282983j 0.41853-0.430194j -0.265644+0.004324j 0.00388348+0.260322j 0.0173827-0.0949134j -0.130223+0.0344422j 0.254602+0.346161j 0.137905-0.098895j 0.127798+0.28967j 0.122746+0.300551j 0.0281866-0.158773j 0.111025-0.319024j -0.615374-0.0174683j -0.077118-0.0270022j 0.0217619+0.203032j -0.24532-0.348338j -0.351043-0.0433289j 0.105897-0.342044j -0.00365593-0.0464788j 0.106828+0.0739492j -0.207862-0.435266j -0.162165-0.103947j 0.660981-0.0604792j 
0.0995222+0.0392539j 0.250648-0.0170429j -0.132224+0.102648j -0.00859735-0.23383j 0.152915+0.035999j 0.0068707-0.105741j 0.108396+0.16763j -0.207089-0.0818625j -0.551986-0.0112606j -0.0118335-0.205296j -0.0427633+0.00369316j 0.186239+0.26744j -0.0607148-0.326259j 0.0974641+0.243162j -0.0178273-0.332673j 0.0840356+0.139136j -0.0515008-0.00638897j -0.181204-0.11776j 0.17143+0.129286j -0.541426-0.0912995j -0.0745115+0.303794j -0.298278+0.199198j 0.277035-0.0664114j -0.341925+0.170099j -0.552957+0.164925j 0.266144-0.0343298j 0.240482+0.347045j 0.11006-0.146905j 0.178359+0.102165j 0.257246-0.156792j 0.161029-0.379556j -0.162598-0.307536j -0.137998+0.0290069j -0.338168-0.0233406j -0.145109+0.292812j -0.189326-0.022414j -0.00685353-0.163554j 0.246227+0.402885j -0.0419167+0.0152943j 0.183329+0.177473j -0.104117+0.393666j -0.423976+0.0668724j 0.150586+0.00428203j -0.242608+0.112467j 0.0868125-0.177301j -0.393621+0.0132342j 0.188479+0.105873j 0.229826+0.182114j -0.265096-0.0564863j 0.0228211+0.15034j 0.125647+0.00418187j -0.341896+0.244084j 0.0873217-0.183169j 0.159403-0.0720674j -0.000695251-0.207918j -0.179683-0.170848j 0.119806+0.0616094j -0.231533+0.107855j -0.134369+0.23896j 0.509352+0.18967j 0.221327+0.149972j 0.231834-0.0998582j 0.31588-0.32172j 0.382342+0.0279499j 0.249247+0.225229j -0.281928-0.297749j -0.310316-0.300806j -0.256675-0.253603j -0.127894+0.0986407j 0.282414+0.155248j 
0.0249548+0.00785849j 0.217636+0.0277332j -0.278176+0.000873855j 0.227478-0.0939939j 0.087728-0.309746j 0.191926+0.109786j 0.316218+0.176009j -0.182719+0.0944347j 0.0431642+0.0450594j 0.448287-0.118724j -0.102594-0.057943j 0.0639244-0.173235j 0.143478-0.419833j -0.0975902-0.599873j 0.0918886-0.140025j 0.191566+0.30257j 0.0559993-0.29687j -0.127755-0.0490979j 0.180438-0.0495045j 0.421263+0.0495674j 0.0843583-0.289189j -0.143565-0.135179j 0.0833082+0.020018j 0.0427771+0.256107j -0.027923-0.000704287j 0.342869+0.0319545j -0.184918-0.154887j 0.0294868-0.205159j -0.126314-0.301343j -0.243973-0.0470128j 0.296189+0.0170267j -0.14148-0.154329j 0.0642316-0.0410746j -0.0941003+0.394118j 0.162358+0.427337j 0.501306+0.294783j 0.371905+0.19586j 0.0517483-0.314749j 0.560089-0.0834494j -0.310066+0.213129j -0.0629115-0.106636j -0.0568291-0.12879j -0.134861+0.146419j 0.0580182-0.111087j 0.0115035-0.0895634j -0.0635255-0.279207j 0.156185-0.179019j -0.207047-0.115956j -0.350612+0.121431j -0.416919+0.0383495j -0.0928856-0.0367412j -0.27414+0.662696j -0.156182-0.385813j -0.398489+0.116735j 0.163066-0.0938126j 0.147249-0.0179458j 0.0610177-0.00604661j 0.345883+0.0943125j -0.0293428-0.131002j -0.184301+0.0150301j -0.176855+0.0441026j -0.0983479+0.0147763j 0.0588081+0.101502j 0.511082-0.0496771j -0.0542333+0.135111j 0.140432+0.325718j 0.134638-0.156257j -0.160985-0.232496j -0.123773+0.526645j -0.0346224+0.197891j 
0.0398512-0.0270128j 0.025786-0.041712j -0.0217643-0.00279502j -0.116445+0.134796j 0.07308-0.384164j -0.0768544-0.0901202j -0.0510804-0.0353446j 0.126717+0.0280376j 0.244357-0.22053j 0.0618677-0.154775j -0.0223949+0.0495532j -0.221208-0.034035j -0.205033+0.225869j 0.032481+0.149467j -0.0614492+0.427219j 0.281009+0.340197j -0.450975-0.0226852j -0.113462-0.894237j -0.00542732+0.289037j -0.365717+0.427785j 0.187358-0.409317j -0.172584+0.068904j -0.196617-0.305187j 0.0402457-0.219126j 0.125503+0.186697j -0.397886-0.0360093j 0.281682-0.0460641j -0.260643-0.038231j -0.116952-0.300445j 0.261446+0.371489j 0.362402-0.0786773j 0.49684+0.0731774j 0.0292237+0.268455j -0.320969+0.123297j 0.168072+0.00768598j -0.0719745-0.0950548j 0.0463816-0.0985394j -0.23282+0.118094j 0.0397293+0.0739808j -0.136516+0.116298j -0.211145-0.0862662j -0.100471-0.00474035j -0.0467385-0.0722911j 0.0682451+0.242652j -0.0314867+0.345962j -0.125997-0.159836j 0.0505049+0.0583147j 0.0368963+0.162298j -0.150002-0.0381249j -0.0751606-0.0606766j -0.122337+0.058557j -0.16318+0.0404587j 0.058148-0.0874709j -0.0123587+0.233662j 0.177304+0.111031j -0.175303-0.119443j -0.188385+0.0327316j -0.198834+0.181012j -0.309323-0.138265j 0.196263+0.179931j 0.0402319-0.162696j -0.402413+0.0717025j 0.22206-0.865131j -0.316027-0.237768j -0.556318+0.152549j -0.0925785+0.250445j -0.023894+0.201689j -0.0510992-0.106182j 0.133539+0.0908138j -0.0304419-0.0801513j 
0.126337-0.177076j -0.137039-0.193941j -0.0439641-0.043862j -0.0797419+0.422062j 0.28617-0.299908j 0.0381199-0.349319j -0.221253+0.0973302j 0.323926+0.211339j 0.440871+0.199567j -0.137894-0.181774j 0.0292214+0.0827104j 0.360406-0.00361035j 0.0311443+0.356078j -0.391671-0.229831j 0.150786-0.119799j -0.089732-0.48743j -0.159973+0.180353j 0.0198044-0.44731j 0.157118+0.0752871j 0.279611-0.283568j -0.225391+0.132109j 0.447961-0.291676j 0.392801-0.0882861j 0.00595569-0.0535476j -0.00516128-0.0390874j 0.201827+0.268545j -0.0650853+0.042978j 0.205869-0.33875j 0.01972+0.366766j 0.00728595-0.195624j -0.0421215+0.207042j 0.212274-0.256746j -0.108597+0.379351j 0.0791967+0.0160162j -0.274953+0.0449249j 0.0255225+0.0548181j 0.010311+0.138859j 0.12183+0.270297j -0.178963+0.0124081j 0.192268+0.214449j 0.0454151-0.166824j -0.0931051-0.406538j 0.231955+0.309417j -0.150785-0.068621j 0.182968-0.0937489j -0.180683+0.00138116j 0.0110438-0.044811j 0.332438-0.0444333j -0.440307-0.0116778j -0.131655-0.12864j -0.264936-0.0958769j 0.0177446-0.0576649j 0.00269337-0.494518j 0.201336+0.125222j 0.0805918-0.399181j 0.134839+0.0806592j -0.342425+0.120971j 0.219048+0.245299j -0.21329+0.114644j 0.0906844+0.00556457j -0.116546+0.117594j 0.498098-0.156469j 0.43791-0.0722531j -0.184115-0.123404j 0.206295-0.416128j 0.228808+0.370164j 0.11413+0.432971j 0.00123129-0.00177898j 0.153509-0.144797j -0.00110465-0.0950563j 
0.0977654-0.172182j 0.0733554-0.43948j -0.186009+0.203394j -0.0397924+0.141729j -0.215497+0.456194j -0.37362-0.338519j -0.356408-0.326582j -0.163328-0.41559j 0.361858+0.0307895j 0.144322+0.130547j 0.0931108+0.113877j -0.272704+0.216847j 0.131221-0.264358j 0.124693+0.0694715j 0.0595863-0.0536647j 0.0454572-0.060567j -0.214528-0.14603j 0.0842541+0.241325j 0.466704+0.542431j -0.110405+0.0359932j 0.426717-0.0364661j -0.313108-0.0190912j 0.0680737-0.0583878j 0.028912+0.208075j 0.146495-0.412301j 0.0182714+0.00702806j 0.0412255-0.0832743j 0.150247+0.182854j 0.137601-0.109414j -0.118131+0.112027j -0.339222-0.211787j 0.525398-0.0459991j -0.0671411+0.263429j 0.159358-0.208926j -0.0499466+0.479205j 0.452218+0.117467j -0.187496-0.3243j 0.15226-0.214796j 0.0970333+0.0583241j 0.383674-0.0648482j -0.0378396-0.0993129j 0.140909-0.420541j 0.0700943-0.271824j 0.0505614+0.0167714j -0.155412+0.220658j -0.0107688+0.154601j 0.00838161-0.0542379j -0.0646221-0.164713j -0.161091+0.144591j -0.156289-0.439051j 0.0166787-0.310029j -0.209288+0.0758262j -0.066854+0.449361j -0.220499+0.301173j 0.282632-0.405518j -0.071583+0.145818j 0.102-0.32286j 0.0308985+0.264415j -0.109695+0.101124j 0.0768661-0.0113982j -0.334271-0.195488j -0.0643017-0.0533823j 0.107382+0.0786412j -0.372408+0.112867j 0.136953+0.0290562j -0.0781217-0.497759j 0.16717+0.041026j -0.319884-0.0982653j 0.163517+0.111181j -0.000861847-0.00409462j 
-0.147019+0.158153j 0.149479+0.194622j 0.0729904+0.0400076j -0.0137944-0.189564j 0.20226+0.0131727j -0.558758-0.169594j 0.686911-0.0911216j -0.0888189-0.77408j 0.35552+0.0385961j 0.0276874-0.306405j -0.155963+0.138139j -0.312613+0.206334j -0.403728-0.0850409j 0.0898551-0.0844642j 0.240445-0.123341j 0.0598832-0.277852j 0.0422728-0.303936j 0.0227037-0.125561j -0.0609072-0.234744j -0.121238+0.0713033j -0.172127-0.107622j 0.27884+0.153585j -0.0371188+0.236429j -0.174358-0.14447j -0.0547548+0.150297j 0.0575983+0.226024j 0.0343545-0.192773j 0.0476135-0.265247j 0.0686201+0.070351j 0.0334669+0.0188702j -0.128839+0.0913045j -0.168813+0.00320097j -0.228682-0.0648919j -0.0717895+0.203699j -0.149479-0.263428j -0.325797-0.010602j -0.144457+0.226238j 0.0272373-0.133844j 0.384647-0.287141j 0.0773161+0.100292j 0.258525-0.31195j 0.0113766-0.0892842j 0.240043+0.119007j 0.24943+0.0276162j 0.520922-0.22952j -0.202254+0.140147j 0.0877359+0.236351j 0.346325-0.329238j -0.136049-0.142414j -0.306213-0.332232j -0.479655-0.404337j 0.181324+0.186941j 0.0121009+0.569921j -0.366096-0.0221407j 0.0980353-0.229943j 0.0821405+0.496833j -0.0505947+0.385514j -0.223428-0.365781j -0.290064+0.0155128j -0.0352589+0.0702268j 0.113514+0.0446866j -0.236345-0.248173j -0.170781-0.0961605j 0.223841-0.176634j -0.236779+0.0399452j 0.13038-0.126591j -0.221994-0.190506j 0.151523+0.0572123j -0.0590147-0.0118724j -0.00414598-0.00628898j 
0.337722+0.0030268j -0.117296-0.112876j -0.259049-0.00588998j -0.492372+0.00112337j 0.392829-0.426359j 0.247881-0.294296j -0.325513+0.0406389j -0.21834-0.501611j -0.0949978-0.215205j -0.452629+0.262725j -0.299352+0.297782j -0.191372-0.241846j -0.232647-0.0217126j -0.179677+0.100545j 0.317862-0.0464557j 0.0365416+0.121071j 0.289738+0.082842j -0.013514+0.0274977j 0.332907-0.129821j 0.168261-0.0039222j 0.123958+0.120397j -0.162818+0.067053j -0.247808+0.193007j 0.0874475-0.081514j 0.31894-0.1j -0.0837102+0.02825j -0.0440474-0.0487012j -0.227499+0.171688j 0.44561+0.0594574j -0.210697-0.33608j 0.151417-0.197525j -0.199024-0.0639976j 0.132265-0.386908j -0.0196581+0.181544j 0.192559-0.0434933j -0.160081-0.162301j -0.306527+0.170895j -0.0520626+0.0276602j 0.101096+0.361763j 0.206451+0.260204j 0.32308-0.0631522j -0.120474+0.0676137j -0.0305766-0.161675j 0.286358-0.346663j -0.0681368-0.0693112j 0.612593+0.16062j -0.401808-0.0334702j -0.299711-0.0631681j -0.254112-0.192682j 0.0450017+0.256565j -0.604264+0.157423j -0.0464757+0.202756j -0.107902+0.270155j -0.0907791-0.131345j 0.152309-0.133728j 0.0367588-0.344052j -0.0841056+0.327774j -0.13865+0.241029j 0.234977-0.403806j 0.0942672-0.0339084j 0.0620697-0.182665j 0.536888-0.00604164j 0.18166-0.0696241j -0.073367+0.0888561j -0.0839242+0.180778j -0.154836-0.018034j -0.096016+0.179949j -0.0998033-0.13364j 0.157359+0.0985519j 0.0778223-0.00801684j 
0.528138+0.294384j -0.172737-0.213882j -0.56143+0.324127j 0.180335+0.131705j 0.0542903+0.013921j -0.00232434+0.196293j 0.101667+0.114956j 0.167171-0.232488j 0.0434371+0.15763j 0.140976-0.0979878j 0.704123-0.22955j 0.0402376+0.180986j 0.0153739+0.106886j -0.213153+0.247256j -0.182382+0.106703j 0.222037+0.0957323j 0.17728-0.399615j -0.224785-0.0269072j -0.10626-0.164838j -0.0319323-0.153172j 0.336151-0.0377559j 0.574474+0.341301j 0.020829+0.0688501j -0.0141732+0.303027j -0.0539402-0.487432j -0.24201-0.276097j 0.375941+0.245352j -0.246478-0.071018j -0.321308+0.114418j -0.115392-0.0806263j 0.0945998+0.352657j 0.0776956-0.0731797j -0.226209+0.492686j 0.277459-0.136908j 0.00449713-0.256576j -0.017546-0.295243j 0.0650283+0.372513j 0.0768219+0.264363j 0.210087+0.0789377j -0.0456173-0.205599j -0.2875+0.194545j -0.213267+0.0480629j 0.136265+0.000733824j 0.544251+0.199183j 0.285248-0.217012j 0.269874-0.0366674j -0.439121+0.0230706j -0.101988+0.142631j -0.12378-0.268908j 0.0108328+0.054467j 0.0918415-0.189931j 0.0694814+0.312877j -0.193959+0.220479j 0.303493-0.0835156j 0.00394212-0.220775j -0.0152811-0.355366j 0.240373-0.316j -0.0547915+0.231146j 0.301554+0.0816223j 0.189103-0.0770327j -0.389438+0.103874j -0.181112-0.174064j -0.0291344+0.0757162j 0.115619-0.188482j -0.0922946+0.145564j 0.18268-0.0522951j -0.207526+0.234022j 0.0963304-0.0940902j -0.0720911+0.0769094j -0.0699112+0.0617287j 
0.51055+0.295961j -0.113816+0.441019j 0.165746-0.0611739j 0.0695276-0.00339693j -0.0830922-0.0552062j -0.221682-0.171621j -0.166532+0.0341267j -0.0637784+0.311419j 0.0666478+0.375523j -0.204675-0.208105j -0.245794-0.102342j -0.549794+0.219519j 0.565409+0.284321j -0.152253-0.0277061j 0.0676282-0.604519j 0.368186+0.374879j 0.0839825-0.224012j 0.390995-0.0323196j 0.308716+0.227984j -0.0125626+0.432472j -0.100766+0.328345j 0.0659968-0.19763j -0.214698-0.174264j 0.35609+0.0226212j -0.624167-0.0164446j -0.131539+0.383861j -0.323191-0.210901j 0.0107954-0.184462j -0.0967272-0.421446j -0.0276473-0.0334254j 0.0962749-0.283659j -0.152126+0.135963j 0.250645+0.290255j 0.289921+0.00487175j -0.385796+0.231977j 0.0704353-0.380513j 0.0754592+0.228011j -0.0418061+0.0529969j -0.230739-0.414879j -0.0633363+0.0669879j 0.203154+0.215592j 0.164487+0.0309676j 0.1766+0.0980194j 0.450899+0.456618j -0.16653-0.0900205j 0.13784-0.28702j -0.363489+0.266529j -0.0188812-0.110501j -0.0740191+0.123194j 0.169691+0.0615795j -0.0120704-0.196259j 0.0561506-0.203853j 0.203446-0.0888138j 0.1646+0.0313182j 0.342093+0.0630666j 0.0992002-0.00860865j 0.231858+0.269197j 0.0122117+0.00156311j 0.113104+0.0794309j 0.0221773+0.107265j -0.0565037-0.220605j 0.0721261-0.0976995j 0.0160492-0.0420748j 0.134342+0.0865738j -0.079328+0.00649636j -0.0123256+0.0417823j -0.0779148-0.075256j 0.0847237+0.128513j 0.0184164-0.10651j 0.0523357+0.0172907j 
