0.00207525-0.000770851j -0.000270769+0.00353768j 0.0129621+0.00138631j 0.00542308-0.000337002j -0.0155673-0.00442394j 0.0160203+0.00559785j 0.0023887+0.007857j -0.00284403-0.000340215j -0.00186229+0.00167814j -0.00483313+0.00932257j 0.0169446-0.0070806j -0.00184269-0.00118846j -0.0181798-0.00378004j 0.0053912+0.00213784j -0.00811679-0.013621j -0.00719563-0.0108936j -0.00432043-0.00387398j -0.0169307-0.00233966j 0.00287275+0.00293447j -0.00493145+0.000806128j -0.000994071+0.00151683j -0.0108769-0.00263527j 0.0172484-0.00553436j 0.0142433+0.00123332j -0.0136915-0.00242j 0.0217096-0.00269049j -0.00311319+0.0104019j 0.00516693+0.00146413j -0.00213307+0.000477923j -0.000957151+0.00224621j 0.000504789-0.0022855j 0.000967944-0.00319179j 7.58016e-05-0.0012338j 1.73106e-05-0.00294427j 0.00109913-0.000225862j -0.000750662-6.28023e-05j 0.000982581+0.00311241j -0.000990679+0.00140305j 0.000175197+0.00172128j 0.000829436+0.00149749j 0.00350435+0.000771464j -0.000501397+0.00131112j 0.00478855-0.00312819j -0.00173671-0.0028054j -0.00128685-0.000375979j -8.25797e-05+0.00191388j -4.2894e-05-0.000363371j -0.00214105-0.000233763j -8.22217e-05+0.000872316j 0.000862017-0.00340033j -0.00177141+0.000111375j 0.000177331-0.000465221j 
-0.00103521-0.0029239j -0.00367281-0.00226762j 0.00684666-0.00109031j -0.00162783-0.000101439j -0.00747847+0.00121074j 0.0139586+0.000102229j -0.00146936-0.00675275j -0.0062258-0.0120243j 0.0027308-0.000705652j 0.00611676+0.011003j -0.00206285-0.00597779j 0.00195058-0.00320518j -0.00226189-0.0112081j -0.00505077-0.0121628j -0.00115288+0.00798358j 0.00206436+0.00148392j 0.00411593+0.0154401j 0.00686014+0.00395853j 0.00184493+0.0153789j 0.0020802-0.0123453j -0.0045565-0.00131863j 0.00266135+0.00712056j 0.00289517-0.00450256j -0.000608937+0.00725981j 0.00613274-0.0158943j -0.00121649-0.00328114j 0.0125605-0.012581j -0.00174414-4.16958e-05j 0.00173389-0.00110683j -0.00133654+0.000976743j -0.00294021+0.0027761j -8.4677e-05+0.00216687j 0.00074741+0.00010543j -0.000195249+0.000951202j -0.00112796+0.000746717j -0.00025305-0.000457722j 0.000315826+7.46963e-05j 0.00326042-0.0014692j 0.00210786+0.00064716j 0.00389436-0.00200275j 0.000979784-4.8387e-05j 0.00367457-0.00124512j -0.00482529-0.00368526j -0.00135768+0.0048409j 0.000413423+0.000655282j 0.000236241-0.000941248j -0.000220317-4.23005e-07j 0.000562603+0.00176792j -0.0001509+0.00106602j -0.00252466+0.00324656j 0.000856392+0.000956029j -0.000209161+2.94274e-05j 
0.00136518-0.000840307j -0.00229431-0.000150182j 0.00598549-0.00139961j -0.000631389-0.000414822j -0.00860129-0.000280026j 0.0075994+0.000309967j -0.000495992-0.00111039j -0.00399487-0.00406084j 0.000661167-0.00292935j -0.000509026+0.00586376j 0.00404048-0.00814413j -0.000712316-0.000690595j -0.00336029+0.00504025j -0.000296298-0.00137286j 0.00028429+0.0197347j -0.000527603+0.00375608j -0.000818847+0.00339271j -0.00526527+0.0030156j -0.00203635-0.0221976j 3.97508e-05-0.0124046j -0.00170061-0.00500556j -0.00197889-0.0225856j 0.00136081+0.00466125j 0.00494041-0.00362827j -0.00205687+0.00659146j 5.68445e-06+0.0188944j 0.000713869-3.09482e-05j 0.000178049+0.000395354j 0.000611383-0.000547278j -0.000218183-0.000412777j -0.00126095+0.000176143j 0.000276225+0.000487393j -0.00298377+0.00150637j 0.0014313-0.000207427j -0.00368857+0.0013556j 0.000393649+5.7602e-05j -4.2046e-05+0.000679866j 0.0017847-0.000354138j -0.00417596+0.000987222j -0.0021808+0.00108446j -0.00164302+0.00106359j -0.00139434-0.000205196j -0.000141214+0.00048761j -0.000147213-0.000127989j -4.46029e-06-0.000116722j -8.31008e-05-0.000295476j 0.00022431+0.000425005j -2.25357e-05-0.000307251j -4.03749e-05-4.86325e-06j -0.000136103+0.000237133j -7.04334e-07-7.64919e-05j -5.03108e-06+7.39474e-06j 
0.00128557+0.00195663j 0.00370363+0.000914638j -0.0131694+0.000908049j -0.00276222-0.000188483j 0.00962225-0.000718114j -0.00881448+0.000359886j 0.00176516+0.00246765j 0.0023561+0.00381363j 0.00762615+0.0186492j -0.00348914-0.005156j -0.000789886-0.01078j -0.000607924-0.000322163j -0.00470778-0.00946854j 0.00016673+0.011158j 0.000723034+0.00707745j -0.00311643-0.0145679j -0.000188063+0.00217472j -0.00372776+0.00974482j 0.000730831-0.00026739j 0.00266842-0.0168682j -0.00203157+0.00141586j -0.00146853-0.002948j 0.00421105+0.00599294j -0.00163571+0.015501j -0.00831448+0.00962266j 0.00634954-0.0104318j 0.0042201-0.00799668j 0.00124274-0.000867974j -0.000558286-0.000559305j 0.00185739-0.00191422j 0.00173347-0.00222159j -0.000349552-0.000941122j -0.00160595-7.93843e-05j 0.00142404+0.000614955j -0.00277546+0.000262043j 0.00117411+0.000733449j 0.000392508+0.000852426j 0.00293972-0.00109024j 0.0013296-0.00111537j -0.00194366+0.000219835j -0.00218764+0.00169342j -0.00329687-0.00142876j 0.000315672-0.00155438j -0.00105733+0.00167453j -0.000142355+0.000521471j -0.000211039-0.000426351j 0.000158566+7.10406e-05j 4.38002e-05-0.00140738j 0.000587601-0.000224076j 0.000487602-0.000887121j -0.000366685+0.000451113j -1.44772e-05-0.000186476j 
0.00434915-7.27025e-05j -0.00331853-0.00109472j 0.00818831-0.00170078j 0.000381308+0.000727624j -0.00795789+0.000161966j 0.0130708+0.00203072j -0.00157566-0.00370324j -0.0071963-0.00848299j 0.00110185+0.00259187j -0.00709517-0.0227079j 0.00259869-0.00715427j 0.000550806+0.000501344j -0.00195747+0.00495694j 0.000929489+0.0107083j -0.00152071+0.00850559j 0.000868953+0.00717528j 0.000393572+0.00456743j -0.000211136-0.0109268j -0.000738075+0.0120843j -0.00156872+0.00275858j -0.000496438+0.00149212j -0.00645672+0.0156361j -0.000283987+0.00207884j -0.000619991+0.00798096j -0.00445031+0.0171458j -0.00245695+0.0113443j 0.000527722+0.00543024j -0.00100405-0.00105073j 0.00153302-0.00101804j 0.00397093-0.00206684j 0.00115319-0.000970364j -0.00121865+0.00177175j 0.00116676+0.000713551j 0.000205728-0.000133606j 0.000448465+0.000821357j 0.000591437+7.62464e-05j -0.00049043-4.94363e-06j 0.00159116-0.000418069j 0.00161598+0.000353094j 0.00166079-0.00118764j -0.00243323+0.00199008j -0.0040954+0.000366012j 0.000423506+0.000956808j -0.000250758+0.00028573j 0.000296533+2.10798e-05j -0.000436504-0.00122924j -9.27273e-05-0.000434697j 0.000423033-0.00168067j 6.49458e-05-0.000791322j 0.000173669+0.00041154j 0.000306633-0.000271524j -2.28835e-05+0.000128561j 
0.000521447-0.000901875j -0.0026969-0.000850805j 0.00653282-0.00214461j -0.000412088-0.000865387j -0.00722957+0.000814436j 0.00435963-0.00145873j -0.00106148-0.00436295j 0.00041069+0.00317849j -0.00218023-0.0143739j 0.00198454-0.00970043j -0.0037936+0.00271479j 0.000239752-0.00647885j 0.0025938-0.0240631j -0.000563009+0.00475387j -0.00125333+0.00156306j 0.00126388-0.0128875j 0.00172551+0.00786798j 0.00543735+0.0157038j 0.00120279-0.0173278j -0.000964725+0.0162695j 0.00140869-0.00307844j 0.00091447+0.00538281j -0.00183823-0.00850871j -0.0039137+0.0074508j 0.00510746+0.00590079j -0.00119717-0.00215219j -0.000673052+0.00347191j -0.000552007+0.00101148j 0.000340836+0.000786398j -0.000927186+7.00929e-05j -0.00128425+0.000552636j 0.000409181+0.000341778j -0.00313379+0.00109444j 0.00116363-0.000218678j -0.00287089+0.000890462j 2.17749e-05-0.000465787j -1.73172e-05-0.000299802j -5.70227e-05+0.000471793j -0.00498033+0.00075414j -0.00233841+0.00190879j -0.00128815+0.000244074j -0.000421881+0.0002375j -0.000356441+0.000558939j 0.000425348-0.000421672j 0.000154765-0.000185124j -1.12792e-05-0.000229762j 0.000219025+0.000394958j 0.000175214+0.000141342j -0.000163651-8.65045e-05j -0.000255492+0.000460084j 0.000259251-0.000135354j -1.51279e-05+7.91822e-05j 
-0.00176996-2.05175e-05j 0.00690291+0.00491797j -0.00433439+0.00060651j 0.00143524-2.12297e-05j -0.00252911+7.59494e-05j 0.00180276-0.00108684j 0.00892662+0.00960867j 0.00074256-0.0167893j -0.002039-0.012094j 0.00171308+0.00834834j -0.00905535-0.00988774j 0.00434045+0.00735794j 0.00958795-0.00453767j -0.00236565+0.0184986j 0.00439108+0.00740299j 0.00552062-0.0146415j 0.00208412-0.00642198j 0.0134459-0.0109844j -0.00138452+0.00401312j 0.00516169+0.00243205j 0.00413947-0.00404762j 0.00674725+0.000533975j -0.00919112+0.0014633j -0.00124724-0.0132579j 0.00391382+0.000924416j -0.00590417-0.0045656j -4.62117e-05-0.00311468j 0.000822109-0.00437119j -0.000721215-0.000360211j -0.00306488+0.00254942j 0.00108707-0.00175898j 0.000413944-0.00362969j -0.000229312+0.000697068j 0.000388034+0.000478619j -0.00194303+0.000458498j -0.000149833-0.000536545j -0.000847073-0.000805079j 0.00293749-0.0014063j 0.00174972+0.000277465j -0.00226827-0.00149156j 0.00302904-0.00138757j 0.00121838-4.65746e-06j 0.00165812-0.00232252j -0.00146874+0.000675613j -0.000674209+0.000765584j 0.000391487+0.00212535j 5.63607e-05+0.000243058j -0.00135575+0.000849998j 6.09461e-05+0.000517515j 0.000146818-0.00264454j -0.00102052+0.00079151j 6.03782e-05-0.00035151j 
-0.00362616+0.000725412j 0.00181613-0.00245776j -0.0153332+0.00233534j -0.0033197+0.000816486j 0.0158485-0.00116224j -0.0165813+0.00215769j -0.00472104-0.0048716j -0.00645176-0.00466712j 0.000171404-0.0147892j -0.00749662-0.00175984j 0.022489-0.00438452j -0.000825259+0.00241992j -0.0164897-0.00422376j 0.00344164+6.46757e-05j -0.00600016+0.00875162j -0.00662019+0.000806941j -0.00643403+0.00539235j -0.0203261-0.00130992j 0.0013352+0.00188783j -0.00741418+0.00972006j -0.00311048-0.0117939j -0.0122477+0.00899911j 0.0162562+0.00690178j 0.0137253-0.00630765j -0.0135411-0.00505528j 0.0101462+0.00584007j 0.00134509-0.00509477j 0.000294231-0.000330167j -7.99454e-05-0.00242513j -0.00126703-0.000286987j -0.00147668+0.00230583j 0.000259654+0.00151028j -8.83648e-05+0.000832494j 0.000473093+0.0015459j -0.00129187-0.00017963j -0.000638577+0.000137581j 0.000509087+0.00110582j 0.00110395-0.000909006j -0.000268827-0.000702563j -0.000320173-0.00101845j -0.000126851+2.77304e-05j 0.00249676-0.00130845j -0.00214558+0.00144149j 0.000652906+0.000446271j 0.000167336-0.000230193j 0.000192868-0.000383504j 7.96784e-05+0.00027118j 0.000567532+0.000550141j 8.1783e-05+0.000338885j -7.70273e-05+0.00151679j 0.000321908-0.000269141j -2.08717e-05+0.000135415j 
-0.000291299-0.000108635j 0.00720543-0.00200707j 0.000304289+0.00274379j -0.0001627-0.00153538j -0.000786561+0.000284915j -0.0010853-0.0042954j -0.00671521+0.00157162j -0.0104188+0.00305726j 0.0091346-0.000745078j 0.00728192-0.00318941j 0.00552431+0.00228719j 0.00672998-0.00135103j -0.00731438+0.00558866j -0.00549288+0.00424452j -0.00456762-0.00117474j 0.00356175-0.00180525j 0.00902937-0.00673685j 0.00464486-0.000821965j -0.000331773-0.00229432j 0.0100755-0.000583359j -0.0173353+0.0053708j 0.00392933-0.00348267j 0.0170259-0.00102018j 0.00739209+0.00382103j 0.00607148-0.001463j -0.00657667-0.0060536j 0.0227559+0.0104672j -0.00503321-0.000989259j 0.0013893+0.00468431j 0.000233745+0.000781545j 0.00339201+0.000640861j -0.00188765-0.00130661j -0.00216411-0.00301917j -0.00314944-0.00463391j -0.000744874-0.00310923j -0.000670521-0.00123437j -0.00271674-0.00506091j 0.00192324+0.00529536j 0.000467207-0.000231235j 0.0007238+0.00274179j 4.54458e-05-0.00122067j 0.000526083-0.00182953j -0.00404168-0.0199909j -0.00679364+0.0118414j 0.000771026+0.00354338j 0.000497695-0.000306115j -0.000244992-0.000255295j -0.000101187+0.00286831j -0.000659865+0.00110636j -0.00729393+0.000284787j 0.00141023+0.00508983j -0.00059556-0.000721122j 
0.00122001+0.000170059j 0.000898504+0.00118877j -0.00299973+0.00145824j -0.0013723-0.00222264j 0.0028032-0.00176102j -0.000489014-0.000282132j 0.015171-0.00818039j 0.0132019-0.00213717j -0.00454756+0.00164595j 0.00526376-0.00306858j -0.0150886+0.0014565j 0.00533051-0.00108531j 0.00736843+0.00164576j 0.00235988-0.00421722j -0.00056837+0.0010341j -0.00154858+0.00555213j 0.00397639+0.0015827j 0.00875807+0.00291171j 0.00231359-0.00201163j 0.00771934+0.00249452j -0.00235408-0.00175699j 0.00802702+0.00391782j 0.00739683-0.00254911j 0.0101458+0.00133947j -0.00783795-0.00273601j 0.00948161+0.00759549j 0.00275422+0.00753106j 0.0177877+0.0154681j -0.0080728-0.00614967j 0.00392928-0.000298902j -0.003204-0.0021677j 0.00578608-0.0131039j -0.000334806-0.00493522j -6.34542e-05-0.00850814j 0.00052438-0.00368367j -0.000558464+0.00170572j 0.000997642+0.0141489j -0.00076504+0.00399136j -0.00130713+0.00115762j 0.00154637+0.00342528j 0.00119342+0.00507336j -0.000337597+0.000345208j 0.00226318-0.00138368j -0.00664133-0.00279251j -0.00378506+0.0012115j -0.000515042+0.000890448j 5.973e-05-0.000431806j -0.00423741-0.00172842j 0.00370951+0.0049508j -0.000495447-0.00431953j -0.00647205+0.00406718j -0.00015404-0.00283867j 
-0.000356896+0.000241253j 0.00110882+0.000469701j -0.000743815-0.000286137j -0.00137997+0.0024194j 0.00211276+0.00163305j -0.00216987+0.0009406j -0.00297115+0.000274493j -0.00176347+0.00116121j 0.00534108-0.00250293j -0.0030224+0.00227662j -0.0136269+0.00186321j 0.0110977+0.000407311j 0.00740353-0.00255657j -0.00650563+0.00332993j -0.00904472+0.00453921j 0.00980956-0.00161676j 0.00103733-0.000108135j 0.0142295+0.000100933j 0.00620616-0.00184522j -0.0164954+0.00283821j 0.0020714-0.000155635j -0.0268423+0.000638983j 0.014141-0.00131451j -0.0218008-0.00831535j -0.00444328+0.00148769j 0.0123649+0.00816751j 0.00396692+0.00461034j -0.00222165-0.000717425j -0.00119266-0.00133621j -0.0016542-0.00232537j 0.00310596+0.00483263j -0.000988387-0.000887728j 0.000631009+0.00225297j 0.000502323-0.000921267j 0.00121617+0.00303395j -0.00126259+0.00053396j -0.000218584-0.00045516j -0.00147815+0.000178512j -1.61292e-05+0.005341j 0.000637995+0.00606303j 0.000215628+0.00440039j -0.0014325-0.00280865j 7.49212e-05-0.00285329j -0.00193904+0.00284135j 0.000476164+0.000748322j -0.000505328-0.000797375j 0.000161334-0.00049122j 0.00116057-0.000512571j 0.00052774+2.3742e-05j -0.000476439+0.000627472j 0.000563631+0.00109856j -0.000150153-0.000139192j 
