0.00543542-0.00240883j -0.000208534-0.00318029j -0.00761179+0.00112927j -0.003864+0.00378211j 0.00491824-0.00172163j 0.00963097-0.00344387j 0.0019973+0.00425302j 0.0122392-0.00174477j 0.00246132-0.000128284j 0.0104186-0.00434933j 0.000291104-0.000955262j 0.0106063-0.00025669j -0.00497232+0.00254321j -0.00129145-0.000120315j -0.00482866-9.43013e-05j -0.010043+0.00201604j 0.0120793-0.00266562j 0.00375241-0.000418689j 0.00179647-0.00128442j -0.00397749-0.000606717j 0.00900723-0.000157192j -0.00414932+0.00163997j -0.00330266-0.000674993j 0.0154037+0.000729176j -0.0106114-1.72501e-05j -0.00950339-0.000818115j -0.0059682-0.00169742j 0.00642176-0.00102361j -0.00686411-7.97408e-06j 0.00603498+0.00177391j -0.0109176-0.0012238j -0.00603689-0.00105898j -0.00085742-0.00387659j 0.00751964+0.00211634j 0.0135447+0.00107482j -0.00577234-0.00371824j 0.000139103-0.00109414j -0.00420267-0.00063026j -0.0100251+0.00101208j 0.00532452+0.00738905j 0.0146178+0.00576576j -0.00819699+0.00320628j -0.00194007-0.000538394j -0.00370373+0.000294373j -0.00100781+0.000638072j -0.00206781+0.00105583j 0.00209522-0.000496853j 0.0037001-3.40256e-05j 0.00194995-0.00106215j -0.00158766+0.000445202j -0.000702314-0.000162776j -0.00189106+0.000627945j 0.0017031-0.000633667j 0.00241792-0.000209666j -0.000369338-0.000347657j -0.000807303+0.000148316j -0.000935083+0.000132321j 0.00252393-0.000385274j 0.00148459-0.000171875j 0.00221684-0.000481469j -0.000674432-0.000186158j -0.000723762+0.000541304j 0.00144235+5.84426e-05j -0.00110012+1.97574e-05j -0.0017197+0.000151965j 0.000815957+2.00708e-05j 0.000402621+0.000662864j -0.000634568-2.67929e-05j 0.000907927-0.000122755j 3.76873e-05+0.000387969j 0.000144622+0.000328723j 0.000568582-2.35303e-05j -0.00156385+0.00035079j -0.000224608-0.000590362j 0.00263842+6.27055e-05j 0.00185796+0.000161768j -0.000359525+0.00014942j 0.00155635+7.26698e-06j -0.000558151-0.000269414j 0.00154171-0.000147699j -0.00216542+0.000143499j -0.000322253-0.000597799j -0.000286653+0.000150952j -0.00282592-0.000561184j 0.000464802+0.000821147j -0.000107835-0.000457379j 0.00317461+0.00026496j -0.00105905-1.82859e-05j 0.00129966+0.000538054j -0.00219882-0.00027109j 0.00152806+1.23538e-05j 0.00341117+5.68588e-06j 
0.0026776-0.00198687j -0.00159658-0.00101998j -0.00312104+0.00316212j 0.00718754-0.00115313j 0.00462224-0.00428336j 0.00874325+0.000326984j -0.00268073+0.00143125j -0.0123231+0.00471952j -0.00791846+0.00219694j 0.00261979+0.000371803j -0.0070959-0.00153353j 0.00826714-0.00258325j 0.0035232-0.000816934j 0.00695896-0.000843392j 0.0152871-0.00284623j -0.00844007+4.33707e-06j 0.00252066-0.000813563j -0.0073742+0.000172704j -0.00769397+0.00011337j -0.00125945+0.000193294j -0.0186217+0.000413112j 0.00382854+0.000844027j -0.00648961-0.000169666j 0.00731102+4.8114e-05j -0.00552583-0.00156863j 0.00501397+9.95673e-05j 0.00780038-1.9714e-05j -0.0123189-0.00301377j -0.00466313-0.000214451j 0.00720512-2.90848e-05j 0.00609161+0.000784427j -0.00265792-0.00230581j 0.0159443+0.00224424j 0.00674807+0.00345026j -0.00383565+0.00187878j 0.0102188+0.00345134j -0.0129385-0.00239039j 0.00111536+0.00587027j -0.000197248+0.00230796j 0.00254895+0.00135588j 0.0102756+0.00133897j 0.000182386+0.00260897j 0.00363592-0.0016931j 0.000655297+9.88596e-05j -0.00319823+0.0013023j -0.00335822+0.000291693j -0.000104291+0.000745466j -0.0041239+0.00138189j 0.00240145-0.00046112j 0.00147687-0.000367944j 7.10494e-05+0.000133551j -0.00125772+0.000155715j -0.0033426+0.000140431j -5.06472e-05-6.06113e-05j 0.00224622-0.000224061j 0.00184878-0.000358357j -0.000825822+0.000187665j 0.0026841-0.000199253j -0.000352393-0.000272517j 0.000422115-1.51693e-06j 0.000748773-9.88024e-05j 0.000572423+0.000324607j -0.00057713+0.000130069j 0.000343848-8.88847e-05j 0.00184992+1.22914e-05j -0.00167148+6.99701e-05j 0.000462378+0.000363171j 0.00221227-5.47292e-05j 0.00161196-8.06116e-05j -0.000499478+0.000388402j 0.00039339+0.000290116j 0.00123184-0.00025035j -0.00208423-0.000161096j -0.000925144-0.000119339j 0.000262822-0.000129176j -0.000217785+1.94219e-05j 0.00135167+0.000267869j -0.00164459+1.61547e-05j -0.00285347-0.000170664j -0.00128168-0.000523324j -0.000398825-0.00017604j 0.000831041-0.000272529j -0.00142346-0.000298564j -0.000161497-0.000244533j -0.00382011-0.000124841j -0.000320342-0.000129115j -0.000192108+0.000278259j -0.000306893+0.000123663j -0.00244842+5.29866e-05j -0.000810374+5.38089e-05j -0.000197525-7.52754e-06j 0.00183095-3.20306e-05j 
-0.000954164+0.00739282j 0.00588299+0.0107958j 0.000863006+0.00432j 0.000331896-0.00804895j 0.00234519+0.000392153j 0.00286376+0.0088584j -0.00505601-0.0152148j -0.00135618-0.0014502j 0.00100262-0.0053967j 0.00586944+0.00734633j 0.00321827+0.0117061j 8.43606e-05-0.0036565j -0.00511619-0.0102709j 0.00406626-0.000285111j -0.00210155+0.00333947j -0.00444597-0.0084448j 0.00392632+0.00853157j 0.00223289-0.000692852j 0.00372149+0.0122592j -0.00227089-0.0038601j 0.000624891-0.00550871j -0.00051301-0.00902111j -0.00241903+0.00911691j 0.00336813-0.00240824j -0.00586407-0.00357962j -0.00204348-0.00842565j -0.00303325+0.0136643j 0.000849675+0.00585514j -0.00235933-0.00153525j 0.000643859-0.00915241j -0.000131079-0.00287521j -0.00358016+0.00445523j -0.000546879+0.00976662j 0.00276184-0.00636174j 0.00180508+0.0029314j -0.00457408+0.00755753j -0.000160811-0.0052386j -0.00363546-0.00271397j 0.00886247-6.66449e-05j 0.00716469-0.0134931j 0.00665839-0.0158511j 0.00627008-0.00756356j -0.00129266+0.00159959j -0.00280043+0.000790798j -0.000673392-0.000521765j -0.000505519-0.000950751j 0.00197702+0.000919911j -9.29537e-05+0.000701641j 0.00139741+0.00095148j -0.000362124+0.000311871j -0.00113915+5.83373e-06j -0.000384137-0.00135012j -0.000778342-0.000359055j 0.000318541+0.000161862j -0.000420365-6.72086e-05j 3.3938e-05+0.000404945j -1.95196e-05+6.63832e-05j -0.000172587+0.000932911j -0.000324104-0.000218689j -0.000377514+0.00124148j -8.58605e-05+0.000496126j -0.000155315+5.80224e-05j 0.000684776+0.000838616j 0.00108087+0.000176455j 0.000298606-0.000241083j 0.000443383+0.00059836j 0.000541857+0.000167792j -0.000126415-0.000266487j 6.26717e-05+0.000605776j 0.000287949-0.000526691j -0.000761931+0.000448412j 0.000462506+0.00101046j 0.00120559-0.00158392j -0.000292234+8.90195e-05j -0.000247214+0.000194772j -9.82102e-05+0.000140162j 0.000367026-0.000418309j -0.000783406+0.000798638j -5.16273e-05-0.000591646j 0.000151392-0.000819926j 0.00143364+0.000374487j -0.000867658-0.000228029j 0.000811095+0.000408794j 0.00167063-0.000687079j -0.000161865+0.000589406j -0.000505171+0.000516162j -0.000642887+0.000409728j 0.00239443-0.000873587j 0.000404618+0.00119332j 0.0022488-0.000741671j 0.00366211-0.000438013j -0.00356673+0.00422258j 
-0.00186494-0.00669608j -0.00306372-0.00193152j 0.00418428+0.00833052j 0.00158248-0.00321756j -0.00376716-0.0131703j 0.00342033+0.00230029j 0.00295506+0.00735443j -0.000462272-0.000993014j 0.000513097-0.00549626j -0.000874699+0.00593202j 0.000694098-0.00765037j -0.0045744-0.0105132j -0.000765691-0.00704914j -0.00435049-0.016093j -0.00437927+0.000624507j -0.00136586-0.0142745j -0.0025479+0.00041869j 0.000111693+0.00382294j -5.26587e-05-0.00172939j -0.00267426+0.00595679j 0.00256294+0.00420261j 2.90535e-06+0.0154633j 0.00320304+0.0130318j -0.0020408+0.000218183j 0.00365649-0.0145925j -0.00133642-0.0146929j 0.000504726-0.00325438j 0.00187186-0.00671602j 0.0016123+0.00291221j -0.00303969+0.00315671j 0.00188705-0.00345151j -0.00268624+0.0133014j -0.00321899+0.00149118j -0.0065345+0.00579526j -0.000331533+0.00566804j -0.00032322+0.00606017j -0.00307113-0.00493363j -0.00697554+0.018269j -0.00305619+0.00625134j 0.00365562-0.00133427j 0.00187377+0.00227895j -0.00310775+0.0082213j -0.00115495-0.00135761j 0.00152317-5.44332e-05j 0.0012419+0.000985678j 0.000382392-0.000382301j -0.000204343+0.000495891j -0.000113592+0.000599313j -9.45017e-05+0.000430498j -7.79043e-05-0.000234592j 0.000976066+0.000144845j 0.000848153+0.0011781j 1.91704e-05-0.000294376j -5.10641e-05+0.000949436j 0.000189781-0.000428692j -0.000173411+8.68397e-05j 0.000139464-9.29817e-05j -4.21968e-05+0.000180008j -2.12028e-05-3.38761e-05j -0.000328534-0.000418443j -0.000298709-0.000311886j -0.000271165+0.000689375j 0.00024149+0.000449215j 2.50801e-05-0.000259935j -0.000613656-0.000597729j -0.000175189-0.000383327j -0.000563607+0.000473527j 7.2584e-05+0.000119492j 0.000319442-0.000455143j -0.000961738-1.27803e-05j -0.00021506+0.000185131j 0.000611105-0.00045948j -0.000382376+0.000370978j 0.000415114-0.000706675j 9.0968e-05-0.000590343j -0.000273431+0.000605704j 0.000386932-0.000515918j 0.000168415-0.000152678j 0.000490011+0.000109543j 9.37214e-05+0.000306611j 0.000133513+0.000280782j 0.000950388-0.000322821j -0.00066007-0.000653282j -0.000246114-0.000375913j -0.00117732+0.000762805j 0.00185987-0.000697543j 0.000121274-0.000987397j -0.000504518+0.000424772j -0.00111749+0.00162729j 0.00152092-0.00113515j -0.002261+0.0016941j -0.000353293-0.00125972j 
0.00163878+0.00424081j 0.00162564+0.000252706j -0.00434336-0.00546849j 0.00050194+0.00761112j 0.00298439+0.00406553j -0.000808503-0.00393181j 0.00217434+0.000554456j -0.0052403-0.0122434j 0.000334824-0.00779752j 0.00499136+0.0157856j 0.000107824+0.00189172j -0.001419-0.00528981j 0.000443868-0.000294581j -0.00130784-0.00712212j 0.00266003-0.00165452j 0.000447533+0.0154123j 0.00106384+0.0128985j -0.000136202+0.0171129j -0.000750268-0.0147667j 0.000973414+0.00248187j -0.00205544+0.000336703j 0.000437285+0.00150524j -0.00105044+0.00894647j 0.00126318-0.00723407j -0.00149845-0.00191842j -5.50648e-05+0.00357514j 0.00241639-0.0109653j -0.00496401+0.0155765j -0.000226545-0.000645696j 0.00232205+2.21272e-05j 0.00172356+0.00656895j -0.00428059+0.0186835j -7.04121e-05+0.00913891j -0.00272829+0.0101413j 0.00533248-0.0059516j -0.00142016-0.00496269j 0.00275762-0.00273703j 0.0014264-0.00988871j 0.000786292-0.00138394j -0.000877872+0.00117618j -0.000735649+0.000529278j 0.00120592-0.00447446j 0.00126373+0.00171205j -0.000871905+9.95362e-05j -0.000938452-0.000393808j -0.000574076+0.000111803j -0.000766374-0.00150315j -0.000281972-0.00120807j 0.000295441+0.00110232j -0.000108441-4.85957e-05j -9.24124e-05+0.000374382j -0.000161675+0.00027601j 1.21653e-05+0.000115786j 5.06769e-05+0.000250695j 1.50704e-05-0.000362924j -0.0001675+0.000302024j -0.000246083-0.000437586j -0.000133814-9.08657e-05j -0.000341758+0.000293419j 0.000147952-4.54216e-05j 0.00015406+0.000337187j 2.42526e-05-0.000291144j 3.47658e-05-0.000162116j -0.000184304+0.000194695j -0.000133859-9.66779e-05j 0.000102522+0.00019308j 0.000304475-7.36359e-05j 8.70073e-05+0.000272175j -0.000240413+0.000247102j 0.000344955-8.18532e-05j 0.000148457-3.45918e-05j -0.000422171+6.75758e-07j 1.76068e-05+2.99065e-05j 0.000123251+0.000134422j -0.000221359+0.000201791j 0.000101111+8.87535e-05j -3.59419e-05+4.63159e-05j 0.00032718-0.00032095j 0.000306298-0.000339677j -0.000715567+0.000597869j -0.000527872+0.000412157j 0.00024594-0.000252872j 0.000248343-2.36097e-05j 0.000962347-0.000765839j 1.06532e-05+0.000112737j -0.000421968+0.00017038j -0.000249855+0.000423954j -0.000303623+0.000550489j 0.000127847-0.000450027j -0.000774907+0.000861061j 0.000959475-0.000893115j 0.000237028+0.000380162j 
0.00529877-0.00973872j -0.0111721-0.00218329j -0.00672237-0.00131908j -0.00509678+0.00458651j -0.000111637+0.00141066j 0.00313255+0.000994158j 0.00334268-0.00366191j 0.00351321-0.00155437j -0.00149679+0.00122513j -0.000530155+0.00251789j -0.00570604+0.00326567j 0.00689981-0.00412105j 0.00550393-0.00620077j -0.00916907+0.0064868j 0.0024476-0.00101885j -0.000831449-0.0041928j -0.00326319+0.00256648j -0.00374719+0.00189043j -0.00638018+0.00686665j 0.00105885-0.00451828j 0.00303415-0.00350549j 0.000309137-0.000476559j 0.00580824+0.00303363j -0.000250862-0.00413252j 0.00279993-5.79991e-05j 0.007065-0.00355534j 0.00384543+0.00427542j -0.00193714+0.0012284j 0.000985841+8.65334e-05j 0.00231001-0.00517082j -0.00529295+0.00124429j 0.00306717+0.00133844j -0.00277503+0.00359873j -0.00117875-0.00874955j 0.00194451-0.000114501j -0.000236485+0.00541031j -0.00286181+0.0042353j 0.00488047-0.000637087j -0.00828113-0.00400906j -0.00669365-0.00578304j -0.00323938+0.00267584j -0.0134757-0.013248j 0.00254862-0.0087491j 0.00580059+0.00782646j -0.00149969+0.000909527j 0.000399817-0.00148879j -0.000497937+0.00331942j 0.000809344-0.00802895j -0.00180479+0.00054239j -0.00141475-0.00116354j 0.00208135-0.00370818j 0.00182454+0.0107265j 0.00384765+0.00456863j 0.00124203+0.00265686j 0.00299347+0.00375903j 0.000523509-0.00344056j -0.000222065+0.000359059j 0.00321788-0.000382582j 0.0017094-0.000544505j 0.00448215-0.00118112j -0.000141368-0.00579885j 0.000643846-0.00721561j 0.000146139-0.00195921j -0.00503014-0.00208524j -0.00166416+0.00201637j -0.00119535-0.00692858j 0.000519828+0.000525271j 0.0015818+0.00105701j 0.00142678-0.0049189j -0.000470119+0.00288003j 0.00327812+0.00170729j -0.000512584-0.00570729j -0.00569323+0.00616999j -0.00073644+0.00135563j 0.00176418+0.000977195j 0.000428013+0.00152523j -0.00223484+0.00209568j 0.00517275-0.0046252j -0.000741031+0.00312675j -0.00101325+0.00624548j -0.00471028-0.0058108j 0.000475787+0.00119167j -0.00441528-0.00102204j -0.00596204+0.000456449j -0.000751485+0.000177006j 0.00161953-0.00174969j 4.83518e-05+0.000385857j -0.00590656+0.00174947j 0.00262074-0.00799618j -0.00867704-0.00219736j -0.0128013-0.00277838j 0.0102459-0.0129139j 
0.00533025+0.00552778j 0.0036151-0.00641365j -0.00632989-0.00157725j -0.00597963+0.00375605j 0.00122055+0.00218967j -0.00740459+0.00503068j -0.00602595+0.00385662j 0.00754834+0.00336639j 0.000376638+0.000621697j 0.00237104-0.00321077j -0.00385022-0.000455264j 0.00065549-0.000115829j 0.000549926+0.00127352j -0.00148264-0.00579037j 0.0121044-0.00247075j 0.000661038-0.00365156j 0.00578686-0.00390286j 0.00154003-0.00180239j -0.00419881-0.00374712j 0.00698657-3.06868e-05j 0.00789718-0.000486036j -0.00251766+0.00658707j -0.0107407+0.00532561j 0.00654746+0.0011331j -0.0008658-0.000196022j 0.00685025-0.00371136j -0.00449278-0.000390862j -0.00176862-0.00450155j 0.00716898+0.00116475j 0.00427328+0.00317311j -0.00454191-0.00230654j 0.0032515+0.000913054j 0.00504994-0.00119493j 0.00542418+0.00437691j -0.00263485-0.00235735j -0.00556092+0.00343027j 0.00481319+0.00178932j 0.0068229+0.00767251j 0.00603832-0.00441819j -0.00692976-0.00323951j -0.00969131-0.0115599j 0.00710335-0.0022958j 0.000724488-0.00262446j 0.00169451+0.00561756j -0.00110982+0.00666965j -0.005174-0.00492196j -0.00103458-0.00987445j 0.00163853-0.00304338j -0.00074525+0.00281664j 0.000241147+0.00378922j -0.00434541+0.00283599j 0.000446677-0.0033363j 0.00201209-0.0038099j 0.00129053-0.00275179j -0.00171008-0.00170751j -0.00318215-0.00905038j 0.000268194+0.00271373j 0.000474631-0.00317089j 0.000657606-0.00114455j 0.0011823+0.000619941j -0.00196197+0.00276279j 0.000355213-0.00552909j -0.000411894-0.00878552j -0.00239885-0.00140232j 0.00282879+0.00749285j -0.00175989+0.00676221j 0.00577875-0.00588821j -9.00088e-05-0.00132678j -0.00298154-0.00088035j 0.00492099+0.0053094j 0.00126403+0.00347011j -0.00417643+0.00253593j 0.00494727+0.001902j -0.00275676+0.00536374j -0.000459177+0.00582812j 0.00175391-0.00426755j -2.65285e-05+0.00472523j -0.0016029-0.00250632j -0.000335399-4.79931e-06j 0.00286746-0.00268728j -0.00506981+0.000507977j -0.00660001+0.00336498j 0.00175009+0.00790549j 0.000457625+0.00396368j 0.00449996-0.000568202j -0.00883107-0.00162985j 5.34726e-05+0.0057426j 0.00469021-0.00211547j 0.00132911-0.00754997j -0.00863297+0.00513064j 0.0108006-0.00680554j 0.00402533+0.00491946j 
-0.000270568-0.00396788j 0.00418291+0.00510787j 0.00478033-0.000901143j -0.002587-0.000202481j -0.00277282+0.00315808j -0.000150899-0.0045122j -0.00328085-0.0039751j 0.00411276-0.00290699j -0.00180389+0.00348951j -0.00250267+0.00305521j -0.00349699+0.00693248j -0.00896638-0.00212107j -0.00752753-0.00379759j 0.00621237+0.00497801j -0.00203263+0.00122607j 0.000960624-0.00181294j 0.0140007+0.00258614j -0.00357753+0.00551539j -0.000816102+0.00310378j 0.00606536+0.000595306j 0.00381918-0.00252539j -0.00995125+0.00179001j -0.00878087-0.0051132j -0.00368724+0.0015291j 0.00886575-0.00298478j -0.000832582-0.00397576j 0.000541673-0.00444896j 0.00636889+0.0039121j 0.00946338-0.000264643j 0.00123241+0.00164102j -0.000444337+0.00537495j -0.00244651-0.000787103j 0.00603211+0.00444149j 0.0046239+0.00469392j -0.00520138-0.00595795j 0.00503225+0.00169755j -0.00652839+0.00744866j 0.00927754+0.0033339j -0.00691712+0.00991017j 0.00289639-0.000537684j 0.0043376+0.0036723j -0.00298053+0.00686751j 0.00164546+0.00426826j -0.0021644+0.000716849j 0.000365339-0.00361981j 0.00142731-0.00226196j -0.0032549+0.0011943j 0.00108534-0.00471771j -0.000129075+0.00677759j -0.00130923-0.00346355j -0.000231711-0.00459073j -0.00514327-0.00503368j -0.00476568-0.00166502j -0.00128492-0.00209987j -0.00384715+0.00546095j -0.000451438+0.00124193j 0.00210872+0.00518294j -0.00135601-0.00585224j 0.00190306-0.00109389j -0.00124845+0.0127993j 0.00302119-0.00309406j 0.00255378-0.000832925j -0.00200083-0.00230201j 0.00239308-0.0045322j 0.00178418+0.00971026j 0.00625085+0.00347525j -0.00192895-6.48024e-05j -0.00180601-0.000752807j 0.00283791-0.00207568j 0.000254453-0.00421661j -3.78059e-05-0.000892274j 0.00763993-0.000359594j -0.00162666-0.00297645j -0.000205755+0.00474328j 0.00105983+0.00858607j 0.000105926-0.00900789j 0.000678785-0.00252007j 0.00443276+0.00045217j -0.00532023-0.00199835j 0.00117431-0.00695434j 0.00694888-0.00188941j 0.00108925+0.00350365j -0.00152258+0.00103555j -0.00121668+0.00252413j 0.00669706-0.00573329j 0.0023848+0.00096088j 0.00205673-0.000153851j -0.00190761-0.00604171j 0.00523598-0.00284912j 0.00111528-0.0048353j -0.00948659-0.00104329j 0.00459425-3.74891e-05j 
0.0034416+0.000516091j -0.00643759-0.000766212j -0.00376225-0.00663355j -0.0042015-0.00699657j -0.00111145+6.90968e-05j -0.000475144-0.00550162j 0.00154624-0.00310222j 0.00379852+0.00779728j -0.00189642-0.001229j -0.00125992+0.000635878j -0.00449973-0.0066702j 0.00188971+0.00354402j 0.00237628+0.00180486j -0.00205408-0.0032997j -3.33287e-05+0.0118906j 0.00405012+0.000230002j 0.00266449+0.00767782j -0.00368008-0.000525965j -0.00305619-0.00605599j 0.00286657+0.00774528j 0.00314921+0.00847731j -0.00679666-0.0054299j -0.00197008-0.00855315j -0.00150332+0.00379395j 0.00225102+0.00368918j 0.00360504+0.01074j 0.00169336+0.000473051j 0.00268981+0.000595911j 9.06404e-05+0.00987137j -0.000774379+0.00390974j -0.000927291-0.00773008j -0.00110184+0.00592071j -0.00261885+0.00638984j -0.00126213+0.00147557j 0.00400167-0.000611447j 0.000266557-0.00169622j -0.0105007+0.000730561j -0.00273856+0.0108351j 0.0093779-0.00569152j 0.00163286-0.0145943j 0.00346142-0.00527619j -0.000559157-0.00530273j -0.0049899+0.000949977j 0.0039955-0.00145466j 0.0034627-0.00139307j -0.00477268+0.00321709j -0.00383983+0.00212675j -0.00501369-0.00247459j 0.00540786-0.000815512j 0.000564398-0.00013501j -0.00272708-0.000211675j 0.00127489-0.00156589j -0.000470473-0.000270172j 0.00148778-0.00238792j 0.00202186+0.0025338j -0.00800057+0.0050034j 0.00260553-0.000487787j -0.00285511-0.00158126j -0.00113148-0.00106153j 0.00653656-0.000443855j -0.00148389-0.000429303j -0.0097609+0.00068891j -0.007927+0.000147559j -0.00575022+0.00144934j 0.00974503-0.000500186j 0.00318807-0.00345381j -0.00416543-0.00051852j 0.000856725+0.00105349j -0.00335597+0.000745855j 0.00513172-0.00312628j 0.0067485-0.00304739j 0.00247113-0.00122471j 0.00486765+0.000326288j 0.00520603+0.00301232j 0.0107103-0.000343511j -0.00486728-0.00234362j 0.00552075+0.00126699j -0.00242198-0.00224275j 0.00282687+0.000753201j 0.00115275-0.00167317j 0.000369283-0.000568681j 0.00147326+0.00182709j 0.00913137+0.00117347j 0.00483456+0.00272153j -0.00427958-0.00509362j 0.00123694+0.000794289j 0.00420682-0.00188497j 0.00034555+0.000686033j -0.00542068-0.00221696j 0.00740845+0.00225408j -0.00240049+0.00284944j -0.00698131-0.00549201j 
-0.00233383-0.000619529j -0.00922055-0.00180614j 0.00179298-0.00445877j 0.000254931-0.00232396j -0.00275937+0.000502803j 0.00562386+0.000326117j 0.00666669+0.0039965j 0.000734658-0.00311874j -0.000970934+6.72651e-05j -0.00162271+0.00175783j -0.00198783+0.00287267j -0.0033166+0.0106607j -0.000559442+0.00883414j -0.00199345-0.00826417j -0.00836931+0.000374345j 0.0026358-0.00154424j 0.0026903-0.0109742j -0.00558869+0.00216145j -0.00524245-0.00230578j 0.00364893-0.00609451j -0.000117008-0.00480245j -0.00579088+0.00362686j -0.00112859+0.0135126j -0.00290685-0.00117748j 0.00292893-0.000616875j -0.00290198+0.0059043j -0.000617189+0.00549323j 0.00658401-0.000832462j 0.00116889-0.0074404j 0.00370394-0.00271158j 0.00373669+8.59544e-05j -0.0090648+0.00443525j 0.0027026-0.00486658j 0.00820981-0.0062888j -0.00143582+0.00817703j 0.00838816+0.00111471j -0.00368772-0.00547156j -0.000627679-0.00487056j 0.00546671-0.00977054j -0.00578181-0.00231011j 0.00108381+0.00350473j -0.00178218-0.00666378j -0.00151705+0.00317365j 0.000216442+0.000511444j -0.0013759-0.00379916j 0.00131151+0.000514997j 0.00472816+9.49707e-05j -0.0011595-0.00309852j -0.00316602-0.00113459j -0.000218371-0.00213093j -0.00057557-0.00442611j 0.00866938-0.0044894j 0.00360293-0.00453314j 0.003992-0.00434178j 0.00176614+0.000540548j 0.000759466+0.00491284j -0.00493189+0.00498424j 0.00598756-0.00650684j 0.00197926-0.000132316j -0.00525786+0.00436984j -0.00117385-0.00210084j -0.00587889+0.00642366j 0.0030261-0.0025291j 0.000467331-0.000814623j -0.0094984+0.00587033j -0.00841141-0.00180383j 0.0012275+0.00210368j 0.00338319-0.00175872j 0.00214114-0.00265137j 0.00271803-0.00661604j 0.00188249-0.00441273j -0.00213958-0.00195664j 0.00297479+0.000769608j -0.00454286-0.000688296j -0.00369882-0.00117148j 0.0116201-0.00548736j 0.00452136-0.0012221j -0.00213588-0.00206498j 0.00199882-0.00201448j 0.0108323-0.00363189j -0.00104-0.000117284j -0.00494464-0.000875092j 0.00168309+0.000178126j -0.00297376+3.86927e-06j 0.00405716-0.00207056j -0.00359777-0.00443912j 0.00142995-0.00408362j 0.00411542-0.000120738j 0.00399742+0.000996761j 0.000174583-0.00377574j 0.00449376+0.00521755j -0.00596355-0.00227565j 
-0.00155676-0.0010027j -0.00429624+0.000300417j 0.00221383-0.00108824j 0.0012384-0.00406054j 0.000484333-0.00228462j -0.000124842+0.00692937j -0.00197841+0.00370656j -0.00256991+0.00341847j -0.00648087+0.00886181j -0.0107519+0.0106184j -0.0015989-0.00292314j 0.00385213-0.00716909j 2.19344e-05+0.000936728j -0.0039327+0.00108144j 0.0013008-0.0054832j -0.00145444+0.00379591j 0.00637557-0.00172527j 0.000455884-0.00268975j 0.00499197-0.00821284j 0.00116853+0.0017219j 0.00135507+0.00197466j 0.00512757-0.008096j -0.00390896+0.00476398j 0.00598994-0.00571711j 0.00424434-0.00111954j -0.0081737+0.00367919j 0.00678946-0.00387071j 0.0079961+0.000162625j 0.000740386-4.21384e-05j 0.0040114+0.00142053j -0.0103726+0.00336894j 0.00878479-0.00471871j -0.00804036+0.0045013j 0.00411651-0.00255079j -0.0119601+0.00235641j -0.00297014+0.00503648j -0.000408412-0.00409982j -0.00484546+0.000103561j 0.00109537-0.0027242j -0.00141564-0.00211796j 0.00168516+0.00235192j -0.00160587-0.00232079j -0.000731766+0.000489495j 0.00119318-0.00186991j -0.00164167+0.00254694j -0.00287611+0.00103783j 0.00419693-0.00523255j -0.00304757+0.00610745j -0.00125176+0.00754981j -0.00023446-0.00807208j 0.0014391-0.00125813j 0.00063017-0.000400091j -0.00744263+0.0143911j -0.00171386+0.000971267j 0.00344274-0.00319104j 0.00386927-0.000962793j -0.00055403+0.00453766j 0.00136056-0.00362964j 0.000152723+0.000482932j -0.000685219+0.00354675j -0.00369226+0.00333822j 0.000515646+0.00145284j -0.00627259+0.0078331j -0.00288278+0.00462276j 0.00218889+0.00299598j -0.00422118+0.00245526j 0.00633853-0.00791871j -0.000231595-0.000585146j -0.000639241-0.00108068j -0.00661081+0.00470931j 0.00323977-0.00645881j -0.00282111+0.00131226j 0.000110455+0.00160186j -0.0010389+0.000775426j 0.00142392-2.88253e-05j -0.00035639-0.00295826j 0.00374304-0.00519144j -0.00529484+0.00285423j -0.010429+0.00825202j -0.00612809+0.00251348j 0.0037624-0.00430434j -0.00299911-0.00246968j -0.00578396+0.00151176j -0.00626301+0.00422967j -0.00631532-0.000141011j -0.00712783+0.00328029j 0.000218413+0.00238397j 0.00495626-0.0032113j -0.00137959+0.000267331j 0.000514377-0.00131765j 0.000446916+0.0022418j -0.00211764-0.00112499j 
