0.922549-0j 0.0035687-0j 0.00142118-0j -0.00018077-0j -0.00013073-0j -0.00456712-0j -0.000437473-0j 0.00288015-0j -0.000140035-0j 0.000166415-0j -0.00328532-0j 1.02093e-06-0j 0.000252972-0j 0.000499325-0j 7.78409e-06-0j -0.000118168-0j 5.74542e-06-0j 1.12515e-05-0j 3.49087e-07-0j 8.52978e-08-0j -3.65678e-08-0j -5.06699e-07-0j 
-0.0035687-0j 0.952665-0j 0.00016906-0j 0.000504188-0j 0.000733033-0j 1.40742e-06-0j 1.61881e-07-0j 0.000170422-0j 0.00238883-0j -1.03543e-07-0j -0.000195644-0j 0.00082914-0j -0.00289035-0j -9.60777e-07-0j -6.60502e-05-0j -6.99214e-06-0j -9.80098e-05-0j -3.13817e-05-0j -3.04643e-11-0j 0.000210178-0j 3.10288e-07-0j 4.29948e-06-0j 
-0.00142118-0j 0.00016906-0j 0.944126-0j 0.00167749-0j 0.000902578-0j 2.27098e-06-0j -2.37026e-05-0j 3.33961e-05-0j -4.97568e-06-0j -0.00356857-0j -0.000359645-0j 0.00207833-0j -0.000857924-0j 0.000112104-0j 5.55061e-07-0j 0.000400753-0j -5.97082e-05-0j -7.76816e-05-0j 1.25735e-08-0j -8.86441e-07-0j -0.000149263-0j 5.26577e-06-0j 
-0.00018077-0j -0.000504188-0j -0.00167749-0j 0.967683-0j 3.71313e-05-0j -1.37899e-05-0j 8.19997e-09-0j -0.00166979-0j 0.000121004-0j -0.000198728-0j 1.03543e-07-0j 8.59578e-05-0j 5.04615e-07-0j 9.41365e-06-0j 0.000647157-0j 6.85087e-05-0j -4.96462e-06-0j 0.000307476-0j 2.98488e-10-0j -1.82839e-08-0j 0.00119411-0j -4.21262e-05-0j 
-0.00013073-0j -0.000733033-0j -0.000902578-0j 3.71313e-05-0j 0.96531-0j 1.0365e-07-0j -8.64253e-07-0j 6.25396e-06-0j 4.36047e-05-0j 1.11134e-06-0j -2.19396e-05-0j 9.29802e-05-0j -0.00016066-0j -0.00254359-0j 0.00119983-0j 7.50476e-05-0j 0.000523256-0j 0.000336823-0j 3.26977e-10-0j 7.76838e-06-0j -3.33037e-06-0j -4.61469e-05-0j 
0.00456712-0j 1.40742e-06-0j 2.27098e-06-0j 1.37899e-05-0j -1.0365e-07-0j 0.89249-0j -0.00280025-0j -0.000442811-0j -6.64322e-08-0j 0.00181529-0j 0.000185272-0j 2.40912e-10-0j 1.33819e-07-0j -0.000237835-0j -3.55293e-07-0j 1.81678e-05-0j 2.72561e-09-0j -8.58307e-07-0j -0.000731977-0j 1.0038e-11-0j 1.66909e-09-0j 2.31275e-08-0j 
-0.000437473-0j -1.61881e-07-0j 2.37026e-05-0j 8.19997e-09-0j -8.64253e-07-0j 0.00280025-0j 0.869926-0j -1.64235e-07-0j 1.57714e-09-0j -0.00039859-0j 0.00786884-0j 3.363e-09-0j 4.2191e-06-0j 3.45084e-05-0j -1.75937e-10-0j -1.97082e-06-0j 1.89256e-08-0j 7.43831e-08-0j -0.00753539-0j 2.80974e-10-0j -1.20456e-10-0j -1.66909e-09-0j 
-0.00288015-0j 0.000170422-0j 3.33961e-05-0j 0.00166979-0j -6.25396e-06-0j -0.000442811-0j 1.64235e-07-0j 0.945763-0j 0.00146454-0j 1.2145e-05-0j 1.23955e-06-0j 3.65678e-08-0j 1.96788e-06-0j 7.47361e-05-0j -0.00010823-0j 0.000267169-0j 4.13718e-07-0j -5.17877e-05-0j 8.38235e-09-0j 1.52366e-09-0j 2.53349e-07-0j 3.51051e-06-0j 
-0.000140035-0j -0.00238883-0j 4.97568e-06-0j 0.000121004-0j 4.36047e-05-0j 6.64322e-08-0j 1.57714e-09-0j -0.00146454-0j 0.976247-0j -3.04732e-09-0j 6.01592e-08-0j 4.90049e-05-0j 8.85679e-07-0j -3.77671e-08-0j 0.000749836-0j -4.13718e-07-0j 0.00027578-0j -3.7529e-06-0j -4.47128e-13-0j 4.0943e-06-0j -1.75526e-06-0j -2.43216e-05-0j 
0.000166415-0j 1.03543e-07-0j 0.00356857-0j -0.000198728-0j 1.11134e-06-0j -0.00181529-0j -0.00039859-0j -1.2145e-05-0j -3.04732e-09-0j 0.913804-0j -0.000476116-0j 6.33139e-07-0j -1.07348e-06-0j 0.001263-0j -3.27073e-08-0j -0.00014574-0j -3.65678e-08-0j 9.20274e-06-0j -5.13074e-05-0j -1.34674e-10-0j 8.79543e-06-0j -3.10288e-07-0j 
0.00328532-0j -0.000195644-0j -0.000359645-0j -1.03543e-07-0j 2.19396e-05-0j 0.000185272-0j -0.00786884-0j 1.23955e-06-0j -6.01592e-08-0j 0.000476116-0j 0.899621-0j 6.10719e-06-0j 0.00614871-0j -0.000128905-0j 3.33817e-09-0j 1.48746e-05-0j -7.2191e-07-0j -9.39251e-07-0j 5.23654e-06-0j 1.54811e-06-0j 2.28549e-09-0j 3.16687e-08-0j 
1.02093e-06-0j -0.00082914-0j -0.00207833-0j 8.59578e-05-0j 9.29802e-05-0j -2.40912e-10-0j 3.363e-09-0j -3.65678e-08-0j 4.90049e-05-0j 6.33139e-07-0j -6.10719e-06-0j 0.974505-0j -0.000181393-0j -4.00581e-08-0j -2.71923e-06-0j -4.38814e-07-0j 0.000588059-0j -3.98055e-06-0j -4.74251e-13-0j -0.00126107-0j 0.000731238-0j -2.57969e-05-0j 
0.000252972-0j 0.00289035-0j 0.000857924-0j 5.04615e-07-0j -0.00016066-0j -1.33819e-07-0j 4.2191e-06-0j -1.96788e-06-0j 8.85679e-07-0j -1.07348e-06-0j -0.00614871-0j -0.000181393-0j 0.929372-0j -6.6058e-06-0j -3.27073e-08-0j -2.36146e-05-0j 1.06282e-05-0j 4.57743e-06-0j -7.40902e-10-0j 0.00292382-0j -2.23931e-08-0j -3.10288e-07-0j 
-0.000499325-0j -9.60777e-07-0j 0.000112104-0j -9.41365e-06-0j 0.00254359-0j -0.000237835-0j -3.45084e-05-0j 7.47361e-05-0j 3.77671e-08-0j -0.001263-0j -0.000128905-0j 4.00581e-08-0j 6.6058e-06-0j 0.934743-0j -9.99857e-05-0j 0.000896833-0j 4.53205e-07-0j -8.53926e-05-0j -2.64939e-06-0j 1.66909e-09-0j 2.7753e-07-0j 3.84557e-06-0j 
-7.78409e-06-0j -6.60502e-05-0j 5.55061e-07-0j -0.000647157-0j -0.00119983-0j -3.55293e-07-0j 1.75937e-10-0j -0.00010823-0j -0.000749836-0j 3.27073e-08-0j 3.33817e-09-0j 2.71923e-06-0j 3.27073e-08-0j -9.99857e-05-0j 0.989175-0j 4.44049e-06-0j 3.07646e-05-0j 4.02803e-05-0j 4.79908e-12-0j 1.13301e-07-0j 1.88394e-05-0j 0.000261046-0j 
-0.000118168-0j 6.99214e-06-0j -0.000400753-0j 6.85087e-05-0j 7.50476e-05-0j -1.81678e-05-0j -1.97082e-06-0j -0.000267169-0j -4.13718e-07-0j -0.00014574-0j -1.48746e-05-0j -4.38814e-07-0j -2.36146e-05-0j -0.000896833-0j -4.44049e-06-0j 0.955603-0j 0.00147978-0j 0.000621453-0j -1.00588e-07-0j -1.82839e-08-0j -3.04019e-06-0j -4.21262e-05-0j 
-5.74542e-06-0j -9.80098e-05-0j -5.97082e-05-0j 4.96462e-06-0j -0.000523256-0j 2.72561e-09-0j -1.89256e-08-0j 4.13718e-07-0j -0.00027578-0j 3.65678e-08-0j -7.2191e-07-0j -0.000588059-0j -1.06282e-05-0j 4.53205e-07-0j 3.07646e-05-0j -0.00147978-0j 0.986404-0j 4.50348e-05-0j 5.36553e-12-0j -4.91316e-05-0j 2.10631e-05-0j 0.000291859-0j 
-1.12515e-05-0j -3.13817e-05-0j -7.76816e-05-0j -0.000307476-0j -0.000336823-0j -8.58307e-07-0j -7.43831e-08-0j -5.17877e-05-0j 3.7529e-06-0j -9.20274e-06-0j -9.39251e-07-0j 3.98055e-06-0j -4.57743e-06-0j -8.53926e-05-0j 4.02803e-05-0j -0.000621453-0j 4.50348e-05-0j 0.976508-0j -2.70763e-09-0j 1.65856e-07-0j 2.7578e-05-0j 0.000382133-0j 
-3.49087e-07-0j -3.04643e-11-0j 1.25735e-08-0j -2.98488e-10-0j -3.26977e-10-0j -0.000731977-0j 0.00753539-0j 8.38235e-09-0j 4.47128e-13-0j 5.13074e-05-0j 5.23654e-06-0j 4.74251e-13-0j 7.40902e-10-0j -2.64939e-06-0j 4.79908e-12-0j 1.00588e-07-0j 5.36553e-12-0j -2.70763e-09-0j 0.840295-0j 1.97604e-14-0j 3.2857e-12-0j 4.55281e-11-0j 
-8.52978e-08-0j 0.000210178-0j -8.86441e-07-0j 1.82839e-08-0j -7.76838e-06-0j 1.0038e-11-0j -2.80974e-10-0j 1.52366e-09-0j -4.0943e-06-0j 1.34674e-10-0j 1.54811e-06-0j 0.00126107-0j -0.00292382-0j 1.66909e-09-0j 1.13301e-07-0j 1.82839e-08-0j -4.91316e-05-0j 1.65856e-07-0j 1.97604e-14-0j 0.95917-0j 7.75721e-08-0j 1.07487e-06-0j 
3.65678e-08-0j 3.10288e-07-0j -0.000149263-0j -0.00119411-0j 3.33037e-06-0j 1.66909e-09-0j 1.20456e-10-0j 2.53349e-07-0j 1.75526e-06-0j -8.79543e-06-0j 2.28549e-09-0j -0.000731238-0j 2.23931e-08-0j 2.7753e-07-0j 1.88394e-05-0j 3.04019e-06-0j 2.10631e-05-0j 2.7578e-05-0j 3.2857e-12-0j 7.75721e-08-0j 0.989855-0j 0.000178726-0j 
