0.928879-0j 0.00359318-0j 0.00204354-0j -9.93584e-05-0j 0.00207213-0j -0.00018201-0j -0.00459846-0j -0.00791451-0j 0.278012-0j -0.0350789-0j 0.0017769-0j -8.6394e-05-0j 7.8375e-06-0j -0.000163452-0j 5.98624e-07-0j -1.53783e-05-0j -0.000546972-0j 7.18349e-06-0j 
-0.00359318-0j 0.959202-0j 0.000120919-0j 0.00169493-0j -0.0116189-0j 0.000507648-0j 1.41708e-06-0j 1.52287e-05-0j -0.000347752-0j 0.198664-0j 0.000105141-0j 0.00147377-0j -6.65034e-05-0j 0.000455886-0j -5.0795e-06-0j -0.0251966-0j 1.00677e-07-0j -6.09539e-05-0j 
-0.00204354-0j 0.000120919-0j 0.952275-0j 0.00147462-0j -0.020431-0j 0.00118475-0j -0.000314185-0j 0.244155-0j -0.000298226-0j -0.000579865-0j -0.00568149-0j -8.79794e-06-0j -7.67915e-05-0j 0.00106395-0j 0.00171548-0j -5.18424e-07-0j -2.79405e-05-0j -7.03836e-05-0j 
-9.93584e-05-0j -0.00169493-0j -0.00147462-0j 0.982969-0j 0.142452-0j 8.58555e-05-0j 4.71352e-08-0j -0.000123381-0j -7.1995e-06-0j -0.000173686-0j 8.79794e-06-0j -0.00586462-0j 0.000532027-0j 7.71013e-05-0j -0.0118852-0j -0.00104391-0j 2.78868e-09-0j 0.000487632-0j 
0.00207213-0j 0.0116189-0j 0.020431-0j 0.142452-0j -0.0138996-0j -0.000588546-0j -1.6429e-06-0j 3.66254e-05-0j 2.85449e-06-0j 3.42528e-05-0j -1.73505e-06-0j -1.20973e-05-0j 7.71013e-05-0j -7.52309e-06-0j -2.45164e-05-0j -2.15335e-06-0j -1.66138e-09-0j 1.00587e-06-0j 
-0.00018201-0j -0.000507648-0j -0.00118475-0j 8.58555e-05-0j -0.000588546-0j 0.974323-0j -1.38845e-05-0j -0.00014921-0j -1.76151e-05-0j -0.000105141-0j 0.201796-0j -0.0146235-0j 0.000651597-0j -0.00446675-0j 4.97687e-05-0j 4.39897e-06-0j -9.86424e-07-0j 0.000597224-0j 
0.00459846-0j 1.41708e-06-0j -0.000314185-0j -4.71352e-08-0j 1.6429e-06-0j 1.38845e-05-0j 0.898614-0j 0.00376978-0j -0.0315193-0j -2.78823e-05-0j -0.00027319-0j -4.0985e-08-0j -3.57731e-07-0j 1.24688e-05-0j -2.73233e-08-0j -2.41506e-09-0j 0.336859-0j -3.2788e-07-0j 
0.00791451-0j 1.52287e-05-0j 0.244155-0j 0.000123381-0j -3.66254e-05-0j 0.00014921-0j 0.00376978-0j -0.0134595-0j 3.3717e-05-0j -2.11617e-06-0j -2.07342e-05-0j -1.04778e-08-0j -6.42511e-06-0j 1.90728e-06-0j 2.04303e-06-0j -6.17411e-10-0j 6.38249e-06-0j -8.38225e-08-0j 
0.278012-0j 0.000347752-0j 0.000298226-0j -7.1995e-06-0j 2.85449e-06-0j -1.76151e-05-0j 0.0315193-0j -3.3717e-05-0j -0.0131257-0j -7.28668e-05-0j 3.69102e-06-0j -8.91053e-08-0j 5.67905e-07-0j -2.25165e-07-0j 6.17411e-10-0j -1.58609e-08-0j 8.07575e-05-0j 7.40893e-09-0j 
0.0350789-0j 0.198664-0j -0.000579865-0j 0.000173686-0j -3.42528e-05-0j 0.000105141-0j -2.78823e-05-0j -2.11617e-06-0j 7.28668e-05-0j -0.0135605-0j -7.17675e-06-0j 2.14964e-06-0j -6.81486e-06-0j 1.34396e-06-0j -7.40893e-09-0j -3.67516e-05-0j -3.52938e-08-0j -8.89071e-08-0j 
0.0017769-0j -0.000105141-0j 0.00568149-0j 8.79794e-06-0j -1.73505e-06-0j 0.201796-0j 0.00027319-0j 2.07342e-05-0j 3.69102e-06-0j 7.17675e-06-0j -0.0137743-0j -2.13298e-05-0j 6.67717e-05-0j -1.31681e-05-0j 7.25924e-08-0j 6.41632e-09-0j 3.45808e-07-0j 8.71108e-07-0j 
8.6394e-05-0j 0.00147377-0j -8.79794e-06-0j 0.00586462-0j 1.20973e-05-0j 0.0146235-0j -4.0985e-08-0j -1.04778e-08-0j 8.91053e-08-0j 2.14964e-06-0j 2.13298e-05-0j -0.0142182-0j -0.000462608-0j -9.54252e-07-0j -5.02935e-07-0j 1.29201e-05-0j -3.45143e-11-0j -6.03522e-06-0j 
-7.8375e-06-0j -6.65034e-05-0j -7.67915e-05-0j -0.000532027-0j -7.71013e-05-0j -0.000651597-0j -3.57731e-07-0j -6.42511e-06-0j -5.67905e-07-0j -6.81486e-06-0j -6.67717e-05-0j -0.000462608-0j 0.995962-0j 0.144335-0j -0.000308405-0j -2.72594e-05-0j -2.11646e-08-0j -0.00370086-0j 
0.000163452-0j 0.000455886-0j 0.00106395-0j -7.71013e-05-0j 7.52309e-06-0j 0.00446675-0j 1.24688e-05-0j 1.90728e-06-0j 2.25165e-07-0j 1.34396e-06-0j 1.31681e-05-0j -9.54252e-07-0j 0.144335-0j -0.0140833-0j -6.36168e-07-0j -5.62298e-08-0j 1.2609e-08-0j -7.63401e-06-0j 
-5.98624e-07-0j -5.0795e-06-0j 0.00171548-0j 0.0118852-0j 2.45164e-05-0j -4.97687e-05-0j -2.73233e-08-0j 2.04303e-06-0j -6.17411e-10-0j -7.40893e-09-0j -7.25924e-08-0j -5.02935e-07-0j -0.000308405-0j -6.36168e-07-0j -0.0142429-0j -2.96357e-08-0j -2.30095e-11-0j -4.02348e-06-0j 
-1.53783e-05-0j 0.0251966-0j 5.18424e-07-0j -0.00104391-0j -2.15335e-06-0j 4.39897e-06-0j 2.41506e-09-0j 6.17411e-10-0j -1.58609e-08-0j 3.67516e-05-0j 6.41632e-09-0j -1.29201e-05-0j 2.72594e-05-0j 5.62298e-08-0j 2.96357e-08-0j -0.0139961-0j 2.03377e-12-0j 3.55629e-07-0j 
0.000546972-0j 1.00677e-07-0j -2.79405e-05-0j -2.78868e-09-0j 1.66138e-09-0j 9.86424e-07-0j 0.336859-0j 6.38249e-06-0j -8.07575e-05-0j -3.52938e-08-0j -3.45808e-07-0j -3.45143e-11-0j -2.11646e-08-0j 1.2609e-08-0j -2.30095e-11-0j -2.03377e-12-0j -0.0126917-0j -2.76114e-10-0j 
7.18349e-06-0j 6.09539e-05-0j 7.03836e-05-0j 0.000487632-0j 1.00587e-06-0j 0.000597224-0j 3.2788e-07-0j 8.38225e-08-0j 7.40893e-09-0j 8.89071e-08-0j 8.71108e-07-0j 6.03522e-06-0j 0.00370086-0j 7.63401e-06-0j 4.02348e-06-0j 3.55629e-07-0j 2.76114e-10-0j -0.0143911-0j 
