0.00720385-0.00621992j -0.00734763-0.00362813j -0.00461524-0.00779242j 0.00921207-0.00660711j -0.00313224-0.00609967j -0.00875576-0.00043105j 0.00922686-0.010171j 0.00721828+0.00843932j 0.00030565+0.00139291j -0.00981489-0.00408738j -0.00802516+0.00497024j 0.00334225-2.76635e-05j 0.0011347+0.00207132j -0.00907445+0.00734934j -0.0138084-0.0107146j -0.000437501-0.000738437j 0.00285504-0.00562005j 0.00433227+0.00168282j 0.00397333+0.00542196j 0.00342947-0.00216222j 0.00324582+0.000120424j -0.00610083+0.00223371j 0.0067846-0.00161811j 0.00362958+0.00189519j -0.00676803-0.00560896j 0.00235338+0.00226824j -6.84082e-05+0.000350765j 0.00284292+0.0077755j 0.000733022+0.0072534j -0.00024583-0.00637344j -0.00393073-0.00723531j -0.00650534-0.00350246j -0.00589845-0.00153336j -0.000575369+0.000492112j -0.00325785-0.00177582j -0.000201712+0.002517j 0.00243929-0.00250145j 0.000523726+0.00102554j -0.00454423+0.000201047j -0.00137525+0.000142647j 0.00567743+0.00354116j -0.00756045-0.000480476j -0.00372462+0.00230651j -0.00432642+0.00401424j -0.00898562-0.00207532j -0.00153141+0.00131225j -0.00342148-0.000271437j 0.00637269-0.00722061j -0.0106607-0.00963915j 0.00749558-0.00460545j 0.00343049+0.0057441j -0.00822722-0.0109811j -0.00192673-0.0129598j 0.00152657-0.00227176j -0.00478444-0.0034213j 0.00226879+0.00328653j -0.00490833+0.0143926j 0.0132567-0.00468784j 0.000881645+0.0055302j -0.00624201+0.0177862j 0.0158392+0.0189761j 0.00675459-0.00566645j 0.011568-0.00819484j 0.000556209-0.00239585j -0.00706719-0.0103887j -0.00736254+0.0076518j -0.00311802+0.00542801j 0.0166348+0.00779259j -0.0182777+0.0163321j 0.0245484+0.00973728j -0.00737775+0.00265814j 0.00014382+0.00915197j 0.00873274-0.00349209j 0.0234353+3.76511e-05j -0.020412+0.00354918j -0.00598085+0.0124467j 0.0265169+0.0274953j -0.0165946-0.00596894j -0.0212903+0.00431633j -0.0412806+0.0300473j 0.0108381-0.000343092j -0.00687632+0.00193742j 0.0676196+0.0437896j -0.0261624+0.0453516j 0.0322493+0.0137136j -0.0059287-0.0121692j -0.00916314+0.00190649j 0.00356376-8.91253e-05j 0.00759149-0.00589407j 0.00347657-0.00189515j 0.000792479+0.00629241j 0.00675529+0.032958j -0.00948803+0.0285224j -0.014513-0.0397391j 0.00439216+0.0339215j -0.0358301-0.00766649j 0.0509885-0.076496j 0.0800721+0.0610841j 
0.00768678+0.00320888j 0.00761413-0.00622829j 0.00908757-0.00537113j 0.00731183+0.0081362j 0.00204987-0.00554568j 0.00413277-0.00986409j 0.0109865+0.00736888j -0.0025182+0.0077771j 0.00517308-0.00197717j 0.00758892-0.003734j -0.00577319-0.00644584j 0.00405812+0.00241842j -0.00638045+0.00161976j -0.00698394-0.00857038j 0.00823878-0.0113254j 0.00311193-0.00104016j 0.00193255+0.000684018j -0.00392568+0.00528531j -0.00493754+0.00178488j 9.29953e-05+0.00249512j -0.00288962+0.00330761j -0.00193539-0.0060871j 0.00771579+0.0049836j -0.00303267+0.00441719j 0.00462379-0.00478589j -0.00672228+0.000705384j -0.000548573+3.23063e-05j -0.0121355+0.00226412j -0.0044895+0.000449073j 0.00492037+0.00200597j 0.00822719-0.00448763j 0.00335756-0.00375663j 0.00123494-0.00786844j -0.00171698-0.001683j 0.0010621-0.00249407j -0.00198888-0.00117315j 0.0041255+0.000785324j 0.00170223-0.00125637j 0.00385847-0.00773264j -0.00224949-0.000108524j -0.00232919+0.00214233j -0.00248586-0.00719389j -0.00170333-0.00413747j -0.00551028-0.00756921j -0.00122296-0.00518181j -0.00516484+0.00105586j -0.00326272-0.00655437j 0.0124401+0.00445501j 0.00887975-0.00700864j 0.00899709+0.00602612j -0.00285342-8.89961e-05j 0.0108862-0.00736163j 0.00851505-0.00190076j 0.00604376-0.00429391j 0.00146008-0.00417381j -0.00900754+0.000459976j -0.0193992-0.00580812j -0.00103034+0.00940264j -0.00288485-0.000471893j -0.0128582-0.00439876j -0.00979007+0.00788939j 0.0114661+0.00130402j 0.011039+0.00532706j 0.00932531+0.00242271j 0.0136079-0.000312443j -0.00955558-0.00977215j -0.00150869-0.00550498j -0.014372+0.0152964j -0.0230669-0.0179012j -0.00911096+0.0150837j -0.00892349-0.00743135j -0.0122898+0.000104775j 0.0115773+0.00671117j 0.0104469+0.0177541j -0.00379851-0.0157429j -0.0212643-0.00597667j -0.0390947+0.0166496j 0.00327573-0.0123214j -0.0101816-0.013929j -0.0433975-0.0342361j -0.00322864+0.0095796j -0.00514501-0.0104103j -0.0418277+0.0467752j -0.0644109-0.0310592j -0.00395012+0.0213858j 0.016409+0.00081272j -0.00888638-0.000141387j -0.0105598-0.00123266j 0.0026126+0.00326344j -0.000572255+0.0120041j -0.000573409-0.00287127j 0.00537539-0.0123132j 0.0133346+0.0510454j -0.0110661+0.0276786j 0.0296725+0.000457249j -2.81521e-05+0.0425854j 0.079435+0.060294j -0.0506414+0.0755104j 
-0.00409954-0.00109412j -0.0051223+0.00534231j 0.00117519+0.00363425j -0.00600998-0.00105111j 0.00844139-2.42259e-05j -0.00563139+0.00900928j -0.00886055-0.00280333j -0.0167277-0.012103j -0.00124683-0.00866572j -0.0111211+0.00103184j -0.00131008+0.000971795j -0.00935208-0.00460032j 0.0196554+0.00272698j -0.00309102+0.00437797j 0.0121129+0.0180127j -0.00281479-0.00494337j 0.00465846+0.00228435j -0.000107956-0.00552375j 0.00130826-0.00758683j -0.00319858-0.00491442j -0.00672148-0.00627599j 0.00294653+0.00467594j -0.00689214-0.00878105j 0.00166533+0.00354026j -0.00587252+0.00646437j 0.00443311-0.00116423j 0.00107939-0.00115032j 0.0160195-0.000238176j -0.0123193-0.00590248j 0.000803352+0.005401j -0.00151365+0.00677289j 0.00433149+0.0115752j 0.00669112+0.00897506j 0.00464195+0.00190857j 0.00370804+0.0041731j 0.00728154+0.00141057j -0.00947011-0.0107594j -0.00777651-0.00397129j -0.00391949+0.00502053j 0.00780145+0.0101878j -0.00718897-0.0137948j 0.000537071+0.00730105j 0.00329597+0.0073393j 0.00199119-0.00061577j -0.00806757-0.00518121j 0.00833806+0.0079474j 0.00961474-0.00305962j -0.0157927+0.00407187j 0.00982693+0.0192832j -0.0106616+0.00252908j 0.00383939-0.000650535j -0.00439061+0.0219515j 0.0259102+0.0208429j -0.0110165+0.0131247j -0.00379523+0.00587283j 0.0181364-0.000239401j 0.00167405-0.0152443j 0.00679218-0.00575616j -0.0168026-0.0118814j -0.0151895-0.0335023j -0.0263764-0.0124677j -0.0199436-0.0269498j 0.00728946+0.0185979j -0.00862679+0.00403744j 0.00841646+0.00216392j 0.0202267+0.00229378j -0.0171639-0.0180973j -0.0151304+0.0160116j 0.0295556-0.0270766j -0.0184247-0.0290397j 0.01609+0.0318753j 0.0162459-0.0372051j -0.0157655-0.0304403j -0.0149719-0.0157998j -0.0395062-0.0169691j 0.0127966+0.025174j -0.00175438+0.00156341j -0.00242816+0.00189725j 0.00926922+0.00620018j -0.0161815-0.00708514j 0.00558334+0.00358729j 0.000329959+0.0153875j 0.00673916-0.0396615j -0.00475542+0.0200418j -0.000688717-0.0156205j -0.00183114-0.00585292j 0.00152211+0.0231903j -0.00290686+0.0262317j -0.0163016-0.0129062j -0.00760836-0.0202615j 0.00330245-0.0246678j 0.0304515+0.023948j -0.0189618+0.0233552j 0.0320337+0.0247615j -0.028084+0.0717282j 0.0821722+0.0699969j 0.00682288+0.00620062j -0.00534771-0.0190393j 
-0.00202764+0.00614768j 0.00579422+0.00148584j 0.000165769+0.00141706j 0.00795711+0.00620946j -0.00947876+0.00264909j 0.00615322+0.00194196j 0.00206333+0.0152949j 0.00222662+0.010328j -0.0129334+0.000403206j 0.00869067+0.00469165j 0.00367777-0.000632776j 0.005514+0.00960618j -0.00503042-0.00970933j 0.00993858-0.00746428j 0.00639399-0.0086043j 0.00428859+0.00512619j -0.00269719+0.00350473j -0.00275923+0.00471611j -0.00790098-0.000217627j -0.00197469+0.00636163j -0.00822355+0.0103849j 0.00648838+0.000193164j -0.00188159+0.00194153j 0.0021633-0.000469221j 0.00915065+0.00546349j -0.0032377+0.00122006j 1.80243e-05-0.00378273j -0.00959883-0.00803392j 0.00673152+0.000587902j 0.00113174+0.0066371j 0.00257061+0.000706134j 0.00811253-0.00685539j -0.000990011-0.00945629j -0.00218528-0.00987006j 0.00296321+0.000234759j -0.00402357-0.00621214j -0.00742828+0.00392785j 0.00347335+0.00323485j 0.00605285+0.000458327j 0.00779924-0.00803701j -0.0168698+0.00372608j 0.00460615+0.00194536j 0.000395038-0.00948126j -0.00687494-0.00770626j 0.000938266+0.00800225j 0.00688174-0.00552735j -0.00463799+0.000595835j 0.0106269+0.00757307j 0.00690159-0.000607074j 0.00373973+0.0080765j -0.000365756-0.00162332j 0.0162072-0.00254828j 0.00378656-0.0166754j 0.00750723+0.0150082j 0.0197676+0.0123671j -0.00877825-0.00662193j -0.00515293-0.00075495j -0.01669+0.00294421j -0.00563294+0.00731077j -0.0292487+0.0064961j -0.000919141-0.00535202j -0.00867107+0.0206971j 0.0125102+0.00021601j 0.000996113-0.00320876j 0.0206493-4.07867e-05j -0.0121985-0.0248499j -0.0222649+0.000337774j 0.0210766+0.0207396j -0.0491705-0.0425934j -0.0184207+0.0194668j 0.0200773-0.0103114j -0.0498041-0.021012j -0.0208751+0.0147725j -0.00235981+0.00627472j 0.00124157+0.0371115j 0.0117563-0.0179597j 0.00903695-0.00595263j -0.0136088+0.00296387j -0.0017425-0.00938451j 0.00236823+0.00386904j 0.00617533+0.00106132j 0.00726037-0.00133181j 0.0125704-0.0229322j -0.000875839-0.033323j -0.000858782-0.0356884j 0.000213083+0.0268522j -0.00649136+0.0201249j -0.00922172-0.0234289j 0.0114291+0.000744631j -0.0077357-0.0157829j 0.0230366-0.00645926j -0.0164818+0.0455269j -0.0111104-0.000225311j 0.00548233+0.0469036j 0.0767917+0.0487548j 0.026621-0.0453416j 0.0151256+0.023381j 0.00650399+0.00613536j 
-0.0021583+0.00316707j -0.0082201-0.00285686j -0.00810971+0.0010145j -0.00398731+0.00606157j -0.00211034-0.000625621j -0.00319665-0.00442419j -0.00470563+0.00577617j 0.0103113-0.00385695j 0.00637379-0.00766158j -0.00450869+0.00402057j 0.00188123-0.00241729j -0.00203691+0.00133508j -0.00556056+0.00503667j 0.00182838-0.00390722j -0.0110835+0.00449622j 0.00346532-0.00434433j -0.000923872-0.00110326j 0.00234441+0.00168216j 7.87643e-05-0.00333929j 0.000939947+0.00246353j 0.00251082+0.00476581j -0.00140711-0.00242418j -3.15242e-06-0.000747302j 0.00340424-0.0020965j 0.000142077-0.000300377j 0.0038017-0.00251616j -0.00274318+0.00520808j -0.00208251-0.000716034j 0.00261545-0.00407654j -0.00844408+0.0112198j -0.00521028+0.00286564j -0.00500137+0.00383402j -0.00227076-0.00255305j 0.000545816-0.00117717j 0.0052531-0.00370453j 0.000334153-0.000362217j 0.00208732+0.00324768j 0.00309849-0.000211751j 0.000231568-0.0083494j -0.00916879+0.00510073j 0.0122894-0.00365107j 0.000823997-0.00583386j 0.00239286-0.00304948j 0.00497644-0.00744599j 0.00596739-0.000900932j -8.32748e-05+0.00466993j -0.000182888-0.000338793j -0.0119183+0.00675222j -0.00614672+0.0117789j -0.00362072+0.00447124j -0.00699409-0.00301201j -0.0102759+0.00303513j -0.00272701+0.0104753j -0.00513988-0.00919774j -0.0127992+0.00308627j 0.000291222-0.000913353j 0.0101936-0.0156535j 0.000673678+0.0064134j 0.00275864-0.00490641j 0.014349-0.0147398j 0.00711003-0.0236633j 0.00224027-0.000927439j -0.0114223+0.00299429j -0.00566871+0.00778326j -0.00592265+0.0127107j 0.00987297-0.0111687j 0.00952429-0.00840783j 0.00166372-0.00164448j 0.0260631-0.0255316j 0.0118253-0.015049j -0.00320028-0.00380174j 0.0232013-0.00680804j 0.0101538+0.00272861j 0.000330861+0.0138375j 0.0127559-0.0277588j 0.00372115-0.0244775j 0.00689588-0.0356924j 0.0111356+0.00281368j 0.0175677-0.0183906j 0.0258828-0.0813841j -0.000481717+0.00478004j -0.00590753-0.0136616j 0.0135877-0.0489616j 0.0368598-0.1069j -0.00089279+0.00938072j -0.00704184+0.0106393j 0.0198812-0.0482511j 0.00824327-0.0182826j -0.0161367+0.0352195j -0.004647-0.0292852j -0.00477485-0.0143872j -0.00892466+0.0241129j 0.0122955+0.0377137j 0.0314325-0.010428j -0.0138954+0.0423047j -0.0265825+0.0237924j -0.0100908+0.0246278j 0.0469156+0.010777j 
0.00910696+0.00225909j -0.00527883+0.00317677j -0.00585302+0.00423878j 0.00566487-0.000997647j -0.00028494+0.00292296j -0.00361505+0.00463917j 0.00827482-0.00397526j 0.00774411-0.00831852j 0.000251519+0.00217864j -0.00178694-0.0028145j -0.00908892+0.00953744j 0.0064242-0.00489601j -0.00103408+0.00280525j -0.00336553+0.000440954j -0.0103345+0.0134879j 0.000553301+3.95731e-05j -0.00277557+0.00306431j 0.00395465+0.000892687j -0.00326852+0.00288248j 0.00647562-0.00351342j 0.004774-0.00327915j 0.00104122+0.00194501j -0.00135525-0.00305076j 0.00645775-0.0058077j -0.00676389+0.00511833j 0.00292871+0.000531512j -0.00427915+0.00108463j 0.00655551-0.000742661j 0.000326996-0.00555248j 0.000382727+0.00335336j -0.00591754+0.00703883j 0.00030701-0.000225322j -0.00500537+0.00549121j -0.000772658+0.00491224j 0.00175148+0.0031907j -0.00161327+0.00298061j 0.00729252-0.00782101j -0.00179634+8.32586e-05j -0.00217099+0.006523j -0.00430815-0.00122056j 0.00213845-0.00188366j 0.000556284+0.00531229j -0.00165655+0.00252264j 0.00171702+0.00201088j 0.00100062+0.00743232j -0.00624817+0.00247968j 0.000186098+0.00772495j -0.00113645-0.00813583j -0.0132027+0.0109471j -0.0037407-0.0058123j -0.00604061+0.000248952j -0.00524618+0.00583607j -0.00563144+0.00618283j -0.00812479+0.00344593j 0.0024537+0.00274744j 0.00288623-0.000168349j 0.00385736+0.0039026j 0.00531369-0.00540124j -0.005059+0.000272728j 0.0153713-0.0101325j 0.00736128-0.019642j 0.0105821-0.00285525j -0.00350413-0.00619775j 0.00247908-0.00796127j -0.00271584+0.0113516j -0.00669369+0.0106834j 0.00159439+0.00310374j 0.0157214-0.0303194j -0.0110652+0.0281803j 0.0184145-0.025917j -0.011452+0.00325108j 0.00898874+0.00693468j 0.0138198-0.00981017j 0.0106859-0.02363j 0.0070191+0.0146239j -0.00858661-0.00325386j 0.0236174-0.0487955j -0.00369296+0.0218779j -0.0111578+0.0249583j -0.00505473+0.0490912j -0.00453051-0.0168395j -0.00874092+0.0127888j 0.0399041-0.117181j -0.00529712+0.026331j 0.0171995-0.0470914j -0.0129985+0.0191117j 0.00279569-0.0149684j 0.0175712-0.0432398j 0.00652078-0.0511208j 0.0124207-0.0140817j -0.000420133+0.0026068j -0.00738961-0.0483405j -0.0145691+0.0232882j 0.00495542-0.0032242j 0.0173869-0.0327578j -0.0179421+0.0497824j 0.0453768+0.00509546j 0.00912434-0.0288802j 
-0.00365157+0.00210503j -0.00311026+0.00424164j -0.00640806+0.000772049j 0.00393569+0.00146032j -0.00928628+0.00282945j 0.0050661+0.0114916j -0.0117179+0.0117105j 0.00531+0.00661737j -0.00308758+0.000370708j -0.0014988-9.37518e-05j 0.00837227+0.00562249j 0.00211291+0.0135584j -0.00403125-0.00603456j 0.0125488-0.00105842j -0.00131829+0.00235777j 0.00125816+0.00998582j -0.00597057+0.00433938j -0.00893842+0.00145114j 0.00607431+0.00512102j -0.00516019+0.00386188j -0.014855-0.00116988j -0.00342626+0.0147512j 0.0110183+0.000533503j -0.00142579-0.00849597j 0.00269667+0.00502557j -0.00492107+0.00229316j 0.00537101-0.0065436j -0.0100869-0.00348398j 0.0169525+0.0101154j -0.00944471+0.00199419j -0.0022709+0.00283942j 0.000691128-0.00845764j 6.11261e-05+0.00404052j 0.00482923-0.00236109j -0.00806983-0.00494338j -0.00590442-0.0091755j -0.00823662+0.000355829j 0.00344549-0.00378209j 0.00302984+0.00842008j 0.0106776-0.00298402j -0.00798408-0.00227592j -0.006456+0.0134627j -0.00549671-0.00233851j -0.00531017+0.00249981j -0.0176292+0.0137751j -0.000751014-0.0187137j -0.0064963+0.00594801j 0.0131613+0.00164328j -0.0074621+0.00269328j 0.00327856+0.00412525j 0.00180817-0.00441414j 0.00896474+0.0113026j -0.00175375-0.0111648j -0.00194686+0.0264985j 0.00159934+0.0115036j 0.00790668-0.00548939j 0.00868852-0.00362528j -0.0347944-0.00191723j -0.00493175+0.00534176j 0.0223975-0.0211146j 0.0497592+0.0100767j 0.0237254+0.0399667j 0.00802531+0.0112063j 0.0184221-0.0102772j 0.0116442+0.0348762j 0.0322391-0.00235613j 0.0149814-0.00613675j -0.0507147-0.0131446j 0.0298262-0.0278379j 0.00297699+0.0150847j -0.00163341-0.00707337j 0.00688718-0.0256305j 0.0153661+0.0119347j -0.0105399-0.00703023j -0.0072325+0.0224321j 0.0157317+0.00112j 0.00864572-0.0206149j 0.00919279-0.0139357j 0.00139087-0.012503j 0.00145292-0.00571206j 0.00436085-0.0394761j 0.0146067+0.0347924j -0.000364457+0.0109907j 0.0100507-0.0393883j -0.0150264-0.0132044j 0.00343829+0.00247548j 0.000852938-0.0326679j -0.00258731-0.0042848j -0.00974606-0.0113888j 0.0103714-0.0100693j 0.00810468-0.0309888j 0.0105194-0.0259343j -0.00169567-0.0599694j -0.074396-0.0293604j -0.0149832+0.00566502j -0.00743889-0.0140342j -0.00697336+0.0165442j 0.00682784-0.0104269j 
0.00164051+0.00357812j 0.00277519-0.00296406j 0.00181909-0.00297192j 0.00750873+0.00683976j -0.00235024-0.00644295j -0.0050095-0.00402772j 0.00249089+0.00821708j 0.00459299+0.0112578j -0.00886785-0.00822053j 0.000583285+0.00598361j -0.000979614-0.00736323j 0.00811082+0.000572504j -0.00272898-0.00514355j 0.00493863-0.00680109j -0.0104118-0.0228643j 0.0118575-0.00255883j -0.00589627-0.00148193j 0.00735534+0.00562843j -0.00678477+0.000896522j -0.00235258+0.000384389j -0.00857062+0.0153976j 0.00269086-0.00567379j -0.00156952-0.000446132j 0.00693119+0.0122065j 0.0111616+0.00101628j -0.00136906-0.000226302j -0.00407637-0.00310022j -0.0117045-0.00625314j 0.00943702+0.0133104j -0.00292264+0.00542439j -0.00605706-0.0186835j 0.000168254-0.00385152j 0.00460357-0.0221991j 0.000315557-0.0161968j 0.00465159-0.00653008j -0.0102358-0.00565841j -0.0024781+0.000165824j 0.0123634+0.00827245j -0.0028638-0.0109603j -0.0110943-0.00567269j -0.000980736+0.0119287j -0.00641754-0.0166782j 0.00220784-0.00658064j -0.00415368-0.0144175j 0.0119281-0.00477869j 0.00127747+0.0137836j -0.00286463-0.0105665j -0.0164559-0.000496638j 0.00104564+0.00657883j -0.0081709+0.00214283j 0.00295094-0.000552987j -0.0201242-0.0293832j -0.0073984-0.0312326j -0.00609633-0.00782163j 0.0186194+0.0247608j -0.0057062+0.000580833j 0.00137411+0.00613114j 0.00765599-0.0229843j 0.0226279+0.00833163j -0.0196039+0.0671847j -0.0110871+0.0038291j -0.0137715+0.00947032j -0.0259385-0.0396947j -0.0121729+0.0180601j 0.016005+0.0210114j -0.00888283-0.0159132j 0.00859505+0.0260684j -0.0284681-0.0173963j 0.0261693-0.0116429j -0.0167818-0.00421132j 0.00692912-0.00455138j 0.00904064-0.011172j -0.0118585+0.00933077j -0.0168408+0.0206187j 0.00433613+0.0271177j 0.0112417-0.0249764j 0.000786278+0.00606792j 0.00293156-0.0139091j 0.000756389-0.0344187j 0.00258998+0.0146727j 0.00898272+0.0100792j 0.00319538-0.0168132j 0.00190537+0.00149055j -0.00336336+0.0138675j 0.00445939+0.010992j -0.0126325-0.0304512j 0.0317135+0.023064j -0.018866+0.0159103j 0.0153611-0.0153265j -0.0239142-0.00592064j -0.0109648-0.0574998j -0.0591363-0.0216221j 0.0174831+0.0408647j -0.01108-0.0449237j -0.0163297-0.00876082j -0.00186012-0.0270112j -0.00775927-0.00357289j -0.00495586+0.0194302j 
0.00486764-0.00496148j -0.00280722+0.000981979j -0.000700322-0.00361881j 0.00570075-0.00298177j -0.00724956-0.00758064j -0.0041364+0.00884225j -0.00306475-0.0100718j -0.00075359+0.000790596j 0.00410168+0.00537762j 0.000499172-0.00467001j -0.00900919+0.00664076j 0.000713614-0.00507322j 0.00192906+0.000871014j -0.00947871+0.0117323j -0.00749844+0.00489524j -0.000150157-0.0114252j 0.00156743-0.000778997j 0.000458086-0.0103117j -0.00319988+0.0140627j -0.00662953-0.00996654j 0.00108837+0.000503158j -0.0119369+0.00662111j 0.00726085-0.00543956j 0.00917312-0.0099592j 0.0023145-0.00438047j -0.000448638-0.00727732j 0.00582477-0.00576159j -0.00152442+0.00994311j -0.0104229+0.00962607j 0.00402464-0.00852889j -0.00141233-0.00257945j 0.0086613+0.0127773j -0.0173962+0.00481639j -0.0177624+0.0091523j -0.0087485-0.010554j 0.00332473+0.003136j -0.00469934+0.00346528j 0.010211-0.00917336j -0.00519274+0.0108382j 0.008118+0.00516403j 0.00661608-0.00864081j -0.0150793+0.00302664j -0.0039318+0.00444464j -0.000308896+0.0107634j -0.0279696-0.00566827j 0.00946548-0.00268752j -0.00331903-0.00158234j 0.00427256+0.00252824j 0.00809817-0.00331232j 0.00901598+0.00220847j 0.000815894+0.000616001j -0.00383635+0.00638841j -0.0190276+0.0377907j -0.0354614+0.00667728j 0.00709017+0.00855818j 0.00869121+0.0161165j -0.0166575+0.00519268j -0.0201636-0.0257696j 0.00555611-0.0240307j 0.0390203+0.0287145j 0.0138904+0.0128906j -0.0264216+0.0106546j -0.00735126+0.0225341j 0.0370511+0.00653469j -0.000535615-0.00437314j -0.0135763+0.0234699j 0.0012286-0.00773865j 0.00178558-0.0212899j -0.0280075+0.023619j -0.0160683-0.0168574j -0.0120695+0.00908539j -0.000680008+0.00845444j 0.00282311-0.0182972j 0.00609421-0.023681j 0.0103286+0.00309516j -0.00444778+0.0167931j -0.0190511-0.0157421j -0.000917167-0.0104245j -0.00720462-0.0233676j -0.00811572-0.00963067j -0.00890712-0.0407802j 0.00424835-0.0301549j 0.0137789-0.0261532j 0.00601551+0.0175086j 0.00785768-0.0185633j 0.00963743-0.0172837j -0.00848429+0.0551499j -0.00261659-0.0241066j 0.00304764-0.000559832j 0.0118779-0.0364147j -0.00610971-0.0152468j 0.0104935+0.0703085j 0.0586815-0.011245j -0.00698395-0.0197816j 0.0100526+0.00727515j -0.00316747+0.00391563j 0.00998067-0.0195053j 0.00136493-0.0161099j 
0.0114001+0.00566924j -0.00125703+0.00622199j -0.0115579-0.00139987j 0.00357181+0.00756864j 0.000853461-0.00456637j 0.000288896+0.0062987j 0.00478201+0.00389717j 0.0137819-0.00146162j 0.000561198-0.00401328j 0.000979988-0.00471103j -0.00326452+0.00290578j 0.0168254-0.000938799j -0.00326088-0.00155473j 0.00068053-0.00872753j -0.0171989+0.0103427j 0.00473521-0.00175362j -0.0109794+0.00310274j 0.00395416+0.00897506j 0.00320312+0.00333091j 0.0090682-0.00464721j -0.00492109-0.00726354j -0.00232606+0.00435923j 0.00914163-0.00444128j 0.00190488+0.00216786j -0.00105065-0.00215452j -0.00366339+0.00233461j -0.00175822-0.00630976j -0.000599778+0.00806272j 0.0123977+0.00191177j -0.00584044+0.011573j -0.00907875-0.00345768j -0.0079367-0.00259976j 0.000240915-2.41962e-05j -0.00419749+0.00122512j 0.0025405-0.00216709j -0.00552135-0.0025702j 0.0115088-0.0220417j 0.00929202-0.00593499j -0.0012154+0.00273982j -0.0098919+0.00892266j 0.00682885-0.0152531j -0.0123358+0.00204788j -0.00311909+0.0112416j 0.00121119-0.0134363j -0.0014503+0.00598908j -0.00848755-0.00351963j 0.00896231-0.00125937j -0.00227804-0.00295007j -0.0110147+0.0177249j -0.00527991-0.00229465j 0.00205281-0.00513733j -0.0210687+0.00151403j -0.0217952-0.00378632j -0.00251833+0.0074526j 0.00666328+0.00904449j 0.00231965-0.014325j 0.00810637-0.00351166j 0.014581-0.017121j 0.020737-0.00907781j 0.0108238-0.0295879j 0.0183547-0.0183662j 0.00807234-0.0308311j -0.0261036+0.00280585j 0.00061889-0.000824975j -0.010934+0.0255545j -0.00400857-0.011213j 0.0253237-0.0228305j -0.0141906+0.0119511j 0.0265682-0.0312094j 0.0248571-0.0415813j -0.0158981+0.0347243j 0.0315294-0.050156j 0.0324771-0.0431804j 0.00575109-0.0054391j 0.0121576-0.0461534j -0.0050875+0.0258279j 0.0191407-0.0166672j 0.000288439-0.0349453j -0.00443735+0.0134476j -0.0163548+0.00188203j 0.0116334-0.00701371j -0.0228163+0.0196467j 0.0325336-0.00756591j 0.00661977-0.0211162j -0.00310338+0.0137771j -0.0154417+0.0225629j 0.00152803+0.0344602j 0.0070297-0.00593472j -0.00468468+0.0210245j -0.00531566-0.00505145j 0.0312457+0.0454301j -0.0265329+0.018617j 0.0058326-0.00299928j -0.00938578+0.0409189j 0.0173583+0.0126595j -0.0351428-0.00668489j 0.00124852+0.017153j 0.0167127-0.00182558j 
0.0018808-0.00137205j -0.00661454-0.00521937j -0.00331664+0.0023205j -0.000536498-0.00862642j -0.00526809+0.00368269j -0.000976736-0.00893296j 0.00353863-0.0083439j 0.00755848-0.00411145j 0.00133281+0.00421353j 0.00511457-0.000643322j -0.00180114+0.00446132j -0.00440024-0.0114642j -0.00668551+0.0128946j -8.50382e-05+0.00676834j -0.00679812+0.0083523j 0.00359345-0.00700114j 0.0059681+0.00155221j 0.00694446-0.00503092j 0.00064031-0.00531735j 0.00302557+0.00333756j 0.0146565+0.0112831j 0.00733106+0.00166118j -0.0035344-0.0125381j 0.0011166-0.00774554j -0.00651371-0.000385385j 0.00410531+0.00344783j -0.00672709+0.00843525j 0.00117634+0.0112751j 0.010295-0.0214772j -0.00798191-7.69432e-05j -0.00541933+0.000810768j -0.00405648+0.0119338j -0.0115313-0.000218568j -0.0101591-0.00970308j -0.00615074+0.0105686j -0.00594096+0.0122616j 0.0112669+0.00333928j 0.00881626-0.000607292j -0.0059803-0.00699556j -0.0102411+0.00696599j 0.0229631-0.00289727j -0.000687121+0.014066j -0.000922347-0.0113996j 0.00146312+0.0127856j -0.00038394-0.00881228j 0.0180742+0.00204699j -0.00106424+0.00132802j 0.00413325-0.000204553j -0.00889141+0.00191998j 0.00560729-0.00512835j 0.00911664-0.0112341j -0.00990125+0.00427689j -0.0104089+0.015656j -0.00857315-0.00118883j 0.0180944-0.0244836j -0.00280948+0.00943065j 0.009033+0.0037264j -0.00601335+0.0174497j 0.00476788-0.0212192j 0.0453836+0.0124895j 0.00239542-0.0504347j 0.0554309-0.0114084j -0.0170063+0.0121209j 0.010985-0.00234815j 0.0241785-0.0296107j 0.0157083-0.00193666j 0.0193682-0.017542j -0.0559778+0.0528015j 0.0223446-0.0218215j -0.00640131-0.0134148j -0.00906301+0.0232997j 0.0120457+0.00297604j 0.00987515-0.0215951j -0.00288239+0.00534455j 0.0148647-0.0147678j 0.00851298-0.0283588j 0.00650637-0.00659148j 0.00605912+0.0125311j 0.0130576-0.0126074j 0.0086458+0.0144992j 0.0108974-0.00711475j -0.0196689+0.0381309j 0.00813997+0.00226208j 0.0158103+0.0113928j -0.0182562+0.00117558j 0.0195782-0.00206751j -0.00274656+0.0126745j 0.000404107-0.0191334j 0.00186859+0.0157109j -0.00656542+0.0188863j -0.0516986+0.0165174j -0.00970734+0.0104284j 0.00149441+0.00962555j -0.0221432+0.0240191j -0.0181873-0.0125385j -0.0277747+0.0173058j -0.00542468-0.0172041j -0.00378978+0.000558639j 
