-0.033415-0j -0.0413489-0j -0.0241202-0j -0.00415071-0j -0.0048425-0j -0.00296541-0j -0.00423718-0j -0.00174775-0j -0.0026087-0j -0.000376533-0j -0.00294684-0j -0.000425339-0j -0.00240608-0j -0.000347288-0j -0.00243102-0j -0.00210532-0j -0.000350887-0j -0.000303877-0j -0.0017368-0j -0.000250686-0j -0.000554917-0j -8.00953e-05-0j -0.00193223-0j -0.000341573-0j -2.84644e-05-0j -0.00213859-0j -0.000378052-0j -0.0016907-0j -3.15043e-05-0j -0.00112713-0j -0.00170822-0j -0.000298876-0j -0.000199251-0j -0.00197248-0j -2.49064e-05-0j -0.000301974-0j -0.000697378-0j -1.66042e-05-0j -0.00115062-0j -2.51645e-05-0j -0.00122041-0j -0.000348689-0j -0.00012328-0j -2.90574e-05-0j -0.000203402-0j -0.000711907-0j -1.02734e-05-0j -0.00021574-0j -1.69502e-05-0j -0.000185718-0j -0.000125849-0j -1.79784e-05-0j -3.28307e-05-0j -1.04874e-05-0j -2.73589e-06-0j 
0.00528337-0j 0.00653784-0j 0.00381374-0j -0.0310439-0j -0.0362179-0j -0.0221789-0j -0.0316907-0j -0.0130717-0j 0.000412471-0j -0.00569186-0j 0.000465936-0j -0.00642964-0j 0.000380435-0j -0.00524978-0j 0.000384377-0j 0.000332881-0j -0.00530418-0j -0.00459355-0j 0.000274613-0j -0.00378949-0j 8.774e-05-0j -0.00121076-0j 0.000305512-0j -0.00255469-0j -0.000647674-0j 0.00033814-0j -0.00282752-0j 0.000267323-0j -0.000716843-0j 0.000178215-0j 0.000270094-0j -0.00223535-0j -0.00149024-0j 0.000311877-0j -0.000566714-0j -0.00225852-0j 0.000110265-0j -0.00037781-0j 0.000181928-0j -0.000572587-0j 0.000192964-0j -0.00260791-0j -0.000922036-0j -0.000661167-0j -0.00152128-0j 0.000112562-0j -0.000233758-0j -0.00161356-0j -0.000385681-0j 2.93647e-05-0j -0.000941245-0j -0.000409076-0j -0.000245547-0j -0.000238628-0j -6.22519e-05-0j 
0.00417687-0j 0.00516862-0j 0.00301503-0j 0.000518839-0j 0.000605312-0j 0.000370676-0j 0.000529648-0j 0.000218469-0j -0.0313741-0j 4.70666e-05-0j -0.0354409-0j 5.31674e-05-0j -0.0289373-0j 4.3411e-05-0j -0.0292372-0j -0.0253202-0j 4.38609e-05-0j 3.79846e-05-0j -0.0208881-0j 3.13357e-05-0j -0.00667384-0j 1.00119e-05-0j 0.000241529-0j -0.00410801-0j 3.55805e-06-0j 0.000267323-0j -0.00454674-0j 0.000211338-0j 3.93804e-06-0j 0.000140892-0j 0.000213528-0j -0.00359451-0j -0.00239634-0j 0.000246561-0j 3.1133e-06-0j -0.00363176-0j 8.71723e-05-0j 2.07553e-06-0j 0.000143827-0j 3.14556e-06-0j 0.000152552-0j -0.0041936-0j -0.00148266-0j 3.63218e-06-0j -0.00244627-0j 8.89884e-05-0j 1.28417e-06-0j -0.00259466-0j 2.11877e-06-0j 2.32148e-05-0j -0.00151355-0j 2.2473e-06-0j -0.000394847-0j 1.31092e-06-0j 3.41986e-07-0j 
0.00278458-0j 0.00344574-0j 0.00201002-0j 0.000345893-0j 0.000403541-0j 0.000247118-0j 0.000353099-0j 0.000145646-0j 0.000217391-0j 3.13778e-05-0j 0.00024557-0j 3.54449e-05-0j 0.000200507-0j 2.89407e-05-0j 0.000202585-0j 0.000175443-0j 2.92406e-05-0j 2.53231e-05-0j 0.000144733-0j 2.08905e-05-0j 4.62431e-05-0j 6.67461e-06-0j -0.0470949-0j 2.84644e-05-0j 2.37204e-06-0j -0.0521245-0j 3.15043e-05-0j -0.041208-0j 2.62536e-06-0j -0.027472-0j -0.0416351-0j 2.49064e-05-0j 1.66042e-05-0j -0.048076-0j 2.07553e-06-0j 2.51645e-05-0j -0.0169974-0j 1.38369e-06-0j -0.0280444-0j 2.09704e-06-0j -0.0297455-0j 2.90574e-05-0j 1.02734e-05-0j 2.42145e-06-0j 1.69502e-05-0j -0.0173516-0j 8.56113e-07-0j 1.79784e-05-0j 1.41251e-06-0j -0.00452658-0j 1.04874e-05-0j 1.4982e-06-0j 2.73589e-06-0j 8.73949e-07-0j 2.27991e-07-0j 
-0.00060288-0j -0.000746025-0j -0.000435181-0j 0.00715967-0j 0.00835294-0j 0.00511511-0j 0.00730883-0j 0.00301474-0j -4.70666e-05-0j -0.0303945-0j -5.31674e-05-0j -0.0343342-0j -4.3411e-05-0j -0.0280337-0j -4.38609e-05-0j -3.79846e-05-0j -0.0283243-0j -0.0245295-0j -3.13357e-05-0j -0.0202358-0j -1.00119e-05-0j -0.00646544-0j -3.48617e-05-0j 0.000589188-0j -0.00704092-0j -3.85848e-05-0j 0.000652112-0j -3.0504e-05-0j -0.00779287-0j -2.0336e-05-0j -3.08201e-05-0j 0.00051554-0j 0.000343693-0j -3.55879e-05-0j -0.0061608-0j 0.000520882-0j -1.25822e-05-0j -0.0041072-0j -2.07596e-05-0j -0.00622465-0j -2.20189e-05-0j 0.000601463-0j 0.000212649-0j -0.0071876-0j 0.000350853-0j -1.28444e-05-0j -0.0025412-0j 0.000372136-0j -0.00419277-0j -3.35077e-06-0j 0.000217079-0j -0.0044471-0j 5.66305e-05-0j -0.00259414-0j -0.000676746-0j 
-0.000696145-0j -0.000861436-0j -0.000502504-0j 0.0040904-0j 0.00477213-0j 0.00292232-0j 0.00417562-0j 0.00172235-0j 0.00522902-0j 0.000749968-0j 0.00590681-0j 0.000847179-0j 0.00482289-0j 0.000691719-0j 0.00487287-0j 0.00422003-0j 0.000698887-0j 0.000605254-0j 0.00348135-0j 0.000499309-0j 0.00111231-0j 0.000159532-0j 0.00586673-0j -0.0323866-0j 8.53385e-05-0j 0.00649329-0j -0.0358454-0j 0.00513339-0j 9.44524e-05-0j 0.00342226-0j 0.00518659-0j -0.0283383-0j -0.0188922-0j 0.00598896-0j 7.46712e-05-0j -0.0286319-0j 0.00211742-0j 4.97808e-05-0j 0.00349356-0j 7.5445e-05-0j 0.00370548-0j -0.0330613-0j -0.0116889-0j 8.71164e-05-0j -0.0192858-0j 0.00216153-0j 3.08003e-05-0j -0.0204556-0j 5.08179e-05-0j 0.000563888-0j -0.0119325-0j 5.39005e-05-0j -0.00311287-0j 3.1442e-05-0j 8.20241e-06-0j 
-0.000246125-0j -0.000304564-0j -0.000177662-0j -3.05729e-05-0j -3.56683e-05-0j -2.18423e-05-0j -3.12098e-05-0j -1.28734e-05-0j 0.00558465-0j -2.77343e-06-0j 0.00630853-0j -3.13292e-06-0j 0.00515089-0j -2.55802e-06-0j 0.00520427-0j 0.00450703-0j -2.58453e-06-0j -2.23827e-06-0j 0.00371811-0j -1.84648e-06-0j 0.00118795-0j -5.89958e-07-0j -1.42322e-05-0j 0.000731233-0j -2.0966e-07-0j -1.57522e-05-0j 0.000809327-0j -1.24532e-05-0j -2.32051e-07-0j -8.30212e-06-0j -1.25822e-05-0j 0.000639829-0j 0.000426553-0j -1.45287e-05-0j -1.83453e-07-0j 0.000646459-0j -5.13668e-06-0j -1.22302e-07-0j -8.47509e-06-0j -1.85354e-07-0j -8.98919e-06-0j 0.000746467-0j 0.000263916-0j -2.14028e-07-0j 0.000435439-0j -5.24369e-06-0j -7.56704e-08-0j 0.000461853-0j -1.2485e-07-0j -1.36795e-06-0j 0.000269414-0j -1.32423e-07-0j 7.02833e-05-0j -7.72469e-08-0j -2.01517e-08-0j 
5.80121e-05-0j 7.17863e-05-0j 4.18754e-05-0j -0.00103701-0j -0.00120985-0j -0.000740877-0j -0.00105862-0j -0.000436657-0j 4.52899e-06-0j 0.00896227-0j 5.11604e-06-0j 0.010124-0j 4.17723e-06-0j 0.00826618-0j 4.22051e-06-0j 3.65507e-06-0j 0.00835184-0j 0.00723291-0j 3.01528e-06-0j 0.00596684-0j 9.63397e-07-0j 0.00190644-0j -0.000488895-0j -8.53385e-05-0j -0.0313611-0j -0.000541107-0j -9.44524e-05-0j -0.000427783-0j -0.0347103-0j -0.000285188-0j -0.000432216-0j -7.46712e-05-0j -4.97808e-05-0j -0.00049908-0j -0.0274409-0j -7.5445e-05-0j -0.000176451-0j -0.0182939-0j -0.00029113-0j -0.0277253-0j -0.00030879-0j -8.71164e-05-0j -3.08003e-05-0j -0.0320144-0j -5.08179e-05-0j -0.000180127-0j -0.0113188-0j -5.39005e-05-0j -0.0186751-0j -4.69907e-05-0j -3.1442e-05-0j -0.0198079-0j -8.20241e-06-0j -0.0115546-0j -0.0030143-0j 
6.15311e-05-0j 7.61409e-05-0j 4.44155e-05-0j -0.00073073-0j -0.000852519-0j -0.000522059-0j -0.000745954-0j -0.00030769-0j -0.000929173-0j 0.00310212-0j -0.00104961-0j 0.00350422-0j -0.000857005-0j 0.00286118-0j -0.000865886-0j -0.00074988-0j 0.00289083-0j 0.00250353-0j -0.000618619-0j 0.00206531-0j -0.000197652-0j 0.000659877-0j 3.55805e-06-0j 0.0116316-0j 0.000718611-0j 3.93804e-06-0j 0.0128738-0j 3.1133e-06-0j 0.000795356-0j 2.07553e-06-0j 3.14556e-06-0j 0.0101776-0j 0.00678507-0j 3.63218e-06-0j 0.000628784-0j 0.0102831-0j 1.28417e-06-0j 0.00041919-0j 2.11877e-06-0j 0.0006353-0j 2.2473e-06-0j 0.0118739-0j 0.00419805-0j 0.000733582-0j 0.00692643-0j 1.31092e-06-0j 0.00025936-0j 0.00734659-0j 0.000427923-0j 3.41986e-07-0j 0.00428551-0j 0.00045388-0j 0.00111798-0j 0.000264764-0j 6.90701e-05-0j 
-5.12759e-06-0j -6.34507e-06-0j -3.70129e-06-0j 0.000122425-0j 0.00014283-0j 8.74649e-05-0j 0.000124976-0j 5.15499e-05-0j 3.85154e-05-0j -0.00159543-0j 4.35078e-05-0j -0.00180223-0j 3.55239e-05-0j -0.00147151-0j 3.58921e-05-0j 3.10835e-05-0j -0.00148676-0j -0.00128757-0j 2.56425e-05-0j -0.00106219-0j 8.19292e-06-0j -0.000339376-0j -2.96504e-07-0j -0.000969328-0j 0.0114496-0j -3.2817e-07-0j -0.00107285-0j -2.59441e-07-0j 0.0126724-0j -1.72961e-07-0j -2.6213e-07-0j -0.000848162-0j -0.000565441-0j -3.02682e-07-0j 0.0100184-0j -0.000856951-0j -1.07014e-07-0j 0.00667895-0j -1.76564e-07-0j 0.0101222-0j -1.87275e-07-0j -0.000989522-0j -0.000349849-0j 0.0116882-0j -0.000577221-0j -1.09244e-07-0j 0.00413239-0j -0.000612236-0j 0.0068181-0j -2.84989e-08-0j -0.000357137-0j 0.00723168-0j -9.31681e-05-0j 0.00421848-0j 0.00110049-0j 
1.91094e-07-0j 2.36467e-07-0j 1.37939e-07-0j -6.85565e-06-0j -7.99826e-06-0j -4.89792e-06-0j -6.99848e-06-0j -2.88673e-06-0j 1.49187e-08-0j 0.000149474-0j 1.68524e-08-0j 0.000168849-0j 1.37599e-08-0j 0.000137864-0j 1.39025e-08-0j 1.204e-08-0j 0.000139293-0j 0.000120631-0j 9.93245e-09-0j 9.95158e-05-0j 3.17347e-09-0j 3.17958e-05-0j 1.10501e-08-0j -5.6417e-07-0j -0.00216736-0j 1.22302e-08-0j -6.24422e-07-0j 9.66881e-09-0j -0.00239883-0j 6.44587e-09-0j 9.76901e-09-0j -4.93649e-07-0j -3.29099e-07-0j 1.12803e-08-0j -0.00189644-0j -4.98765e-07-0j 3.98818e-09-0j -0.0012643-0j 6.58016e-09-0j -0.0019161-0j 6.97932e-09-0j -5.75924e-07-0j -2.0362e-07-0j -0.00221252-0j -3.35955e-07-0j 4.07127e-09-0j -0.000782243-0j -3.56335e-07-0j -0.00129064-0j 1.06209e-09-0j -2.07862e-07-0j -0.00136893-0j -5.42259e-08-0j -0.00079854-0j -0.000208319-0j 
