0.0183974+0.0678265j 0.0696904-0.0311787j 0.125688+0.0282282j 0.044502-0.0891782j -0.0306384-0.0795958j -0.0634429-0.0279014j -0.129072-0.107712j 0.0305086-0.189676j -0.0965877+0.00521743j 0.00111412-0.0160109j -0.0396709+0.0538007j 0.0288387+7.00854e-05j 0.0849852+0.0569345j 0.0102642-0.19112j 0.0467083-0.0872959j -0.0895113+0.0307278j -0.0393035+0.0331643j -0.0631042-0.120476j 0.185252+0.0321579j 0.033839+0.160486j 0.119315-0.0186322j 0.0348072+0.0592208j -0.0417982-0.104465j -0.0190713-0.024728j 0.0860964-0.0723594j 0.0671232+0.0043045j -0.039388+0.102791j -0.0363843+0.04858j -0.134208+0.0273897j -0.0152885-0.0744125j 0.101124-0.0521109j -0.00584165+0.0114744j -0.0759808-0.0107076j -0.0511313-0.121741j 0.0542189-0.0256509j 0.0515928-0.0225181j 0.0189031-0.0132688j -0.064646-0.0330418j 0.0527118-0.0395906j 0.094918+0.0580701j 0.0364951-0.0118557j -0.0050074-0.0988308j -0.0335023+0.00753706j 0.142239-0.0248847j 0.0433026+0.0716208j 0.0102648+0.0163821j -0.0661332-0.0401748j 0.000444275-0.00799352j -0.133203-0.000270936j 0.0147657+0.0108031j -0.0146633-0.0431174j 0.0310531-0.061886j 0.0439766-0.0357132j -0.101069-0.0221387j 0.0811314-0.118665j -0.0389045-0.0243848j 0.00171422-0.0127786j 0.0553465+0.0631259j -0.012469-0.0756484j 0.016278+0.00516045j -0.0693047-0.0678617j 0.0337252+0.0106598j -0.0363268-0.0243908j -0.0760654-0.0406578j -0.0598151-0.00947403j 0.0988296-0.0358267j -0.0110151+0.0569548j -0.018816+0.069372j -0.0882779+0.121111j -0.0494745-0.099473j -0.069447+0.0482665j -0.0267285-0.0960746j 0.180769-0.0973383j -0.00187174+0.0758099j 0.107858-0.0121946j 0.0982063-0.119917j 0.117046+0.0986678j 
-0.0727889+0.0134614j 0.00380546+0.076132j -0.0551674+0.0464536j 0.075708+0.044029j -0.0342007-0.0406626j -0.128785+0.00665293j 0.0350737-0.0515758j 0.0107807+0.0620888j 0.0447431+0.013237j -0.0545145-0.0343515j 0.0181368-0.00184738j -0.1298-0.0584876j -0.0363291+0.160191j -0.0375436-0.0625616j 0.0740947+0.0868628j -0.0909619+0.0641589j -0.183392+0.116684j 0.0137969+0.0723594j 0.0429072+0.0736442j 0.071703-0.146417j 0.114025-0.0822161j -0.0813783+0.049533j -0.00127623-0.00371851j -0.0748845-0.184802j -0.176805+0.0929926j 0.0964011-0.0304836j -0.0635081-0.0689514j 0.0499349+0.0620003j -0.0536111+0.0295415j 0.00485903-0.000673645j 0.0682926-0.0283905j -0.0600184+0.105678j 0.0104065+0.0327078j 0.136231+0.0645651j 0.0430465-0.0839727j 0.0593997-0.0160018j 0.0860954+0.0190973j 0.0710861+0.0879537j 0.0424764+0.0704258j -0.00217075+0.031041j 0.00443717-0.0590338j 0.0223987-0.00918055j -0.0618022-0.0342297j 0.00118871-0.00366552j -0.050681-0.012509j -0.065399+0.0183806j 0.0313136-0.0671307j -0.0122019+0.116248j -0.0542096-0.204523j -0.0197065+0.110637j 0.107424+0.0317335j 0.00403597+0.0102289j 0.0078598+0.0312401j 0.053789-0.0174595j -0.0476046-0.0388893j 0.0691216+0.00823005j -0.154761+0.0821519j 0.0246246+0.00160405j -0.0399666+0.00324284j -0.0326722+0.0211967j 0.00198012+0.0370993j 0.0308588-0.00435824j -0.0805437+0.0371615j 0.0114603+0.0898676j -0.0095198+0.0775398j -0.0882578-0.0857141j 0.0618681+0.011026j 0.101001+0.0345601j 0.108902+0.115458j -0.0984859+0.0611935j 0.0759324+0.0968009j -0.0612767-0.0161645j -0.0677375-0.176938j 0.0150536-0.0119982j -0.0233406-0.049057j 0.0986734+0.111361j -0.110224+0.0993897j 
-0.0423065-0.0483938j -0.0535737+0.0502277j -0.0910003+0.0408675j 0.0437075+0.0721872j -0.024176-0.0249773j -0.0891352+0.021457j 0.0404125+0.00844708j -0.0416482+0.0642543j 0.131432+0.139164j -0.0216833+0.105143j 0.00440996+0.104824j -0.162518+0.0923266j 0.0640429+0.0285346j -0.133811+0.0862227j -0.0245281+0.0499398j -0.0848434+0.0444843j 0.159597+0.0817815j 0.0631671+0.0640704j 0.0992714+0.0698976j -0.035922+0.161073j -0.00949529-0.0295032j 0.00695887-0.00500369j -0.00589126-0.0999263j 0.16593+0.143244j 0.216199-0.0332466j 0.0453521-0.184832j 0.128635-0.0877909j -0.0577164+0.0114568j -0.0165488-0.193645j -0.0612455+0.0153148j 0.0806889+0.0235359j -0.0739817-0.033218j -0.0797821+0.0726823j -0.0834726-0.0773404j 0.0498097+0.0301585j 0.0420568-0.0261313j -0.00197908+0.0918057j 0.0127652-0.0498242j 0.0478605-0.152401j -0.0775833+0.136499j 0.0653197+0.0542625j 0.0589775-0.160798j 0.0007344+0.0242906j 0.121308-0.0420449j -0.0765443-0.00510415j 0.0390283-0.0121941j -0.0152683+0.0102306j -0.00668383+0.0407196j -0.0454878+0.0523789j 0.01746-0.0137168j -0.0841948+0.0120027j 0.111692+0.000507749j -0.0348075-0.111423j -0.0855238-0.0857672j -0.0846826-0.105234j -0.0148588+0.0592673j -0.153452-0.0519067j 0.0484626+0.0157962j 0.0682689-0.0804776j 0.0956006+0.167882j 0.107771+0.0107114j 0.0257921-0.0238329j 0.0400734+0.00499304j -0.161091+0.0739632j 0.0682139+0.0458337j -0.0328294-0.122908j 0.027209+0.0491188j -0.0250959+0.114164j -0.108957+0.0681642j 0.0435271+0.0479152j -0.0210647+0.00557012j 0.0695463+0.05472j -0.0271326+0.0754865j 0.0830559-0.133247j -0.13705-0.0776364j 0.0211115+0.0373927j -0.0348278+0.0212543j 
-0.0239504-0.0128772j -0.0124896+0.0245165j 0.0371552+0.0841941j 0.0871247-0.0432519j 0.0960082-0.0399834j -0.0398594-0.0879769j -0.0545204+0.038646j -0.0701198-0.062605j -0.192741+0.0140998j -0.0142686-0.0177079j 0.119026-0.0936914j 0.0779143-0.0101034j -0.0877883-0.272783j -0.0931609+0.0304712j -0.0627525+0.154097j -0.10772+0.0598692j 0.155504+0.187751j 0.0237982-0.0924489j -0.00738878+0.0105375j -0.0410891+0.0528817j 0.135674-0.0618543j 0.00175775+0.0143775j -0.062874+0.0716055j 0.025669+0.0275865j -0.0316621+0.101174j 0.0813506-0.00597128j -0.153504-0.0900671j 0.0311295+0.00549255j -0.00383977-0.0709536j 0.170498-0.0276563j -0.0444255-0.135915j 0.084822-0.128683j -0.0535753-0.0241104j -0.0398017+0.0993994j 0.0291766+0.0471264j 0.00952639-0.0335134j 0.0741631-0.0321934j 0.0259431+0.0949963j 0.0121621+0.0460808j -0.0277576-0.0091872j -0.016101-0.02482j 0.0793221-0.0703174j -0.00565569+0.0812323j 0.0447266-0.0107562j -0.0456839+0.05702j 0.126698+0.0576612j -0.067799-0.0519253j 0.086593-0.085979j 0.0909182-0.0444362j -0.122256+0.0430938j -0.0951515+0.0560283j 0.0327278+0.0267511j -0.0501655+0.0245624j -0.0674711-0.0190356j -0.131848-0.10713j -0.0203751+0.0714862j -0.000793992+0.0276249j -0.0618437+0.0432539j 0.0376509-0.115638j -0.127103-0.194803j -0.0583901+0.0171041j 0.0244969-0.0393258j 0.0296676+0.0694005j 0.114242-0.0516984j 0.0596667-0.0801727j -0.216276-0.0123219j -0.063022+0.178394j -0.0283664+0.0601428j -0.0704249-0.0776631j -0.0575076+0.087306j 0.121285+0.140298j 0.155153-0.0806118j -0.00183734+0.0910276j -0.0269442+0.0991626j 0.0930167+0.0308156j -0.00960588-0.0156707j 0.0156721-0.0094947j 
-0.104598+0.0690246j 0.0588213+0.110071j -0.113357-0.0241079j -0.00735167+0.103489j -0.185373+0.071277j 0.0125372+0.0921035j 0.00572986-0.00460062j -0.0278569-0.0673546j -0.124079+0.109323j -0.065509-0.23214j 0.12483+0.047982j 0.00456129+0.0152771j 0.0375278-0.0368031j -0.0656742-0.0254719j -0.0481531+0.00749698j -0.0751586-0.0138656j 0.0219318-0.167938j 0.13172+0.00498744j -0.0324223-0.00882588j 0.0201293+0.0672577j -0.097258-0.100089j 0.0473586+0.0021086j 0.0310839+0.0627374j -0.090501+0.0344754j 0.0306102+0.0454044j -0.127514+0.0946582j -0.0291175-0.0550406j -0.0620151-0.0403617j -0.0835847+0.0164058j -0.0646854+0.101961j -0.110087-0.0477399j 0.0380245-0.0345478j -0.0404914-0.115962j -0.011818-0.0430392j 0.145163+0.0884203j -0.08082-0.00276382j -0.102962-0.102654j -0.0795207-0.0981526j -0.0302287-0.0528751j 0.0272263+0.0538429j -0.0532308+0.0472204j 0.0102015+0.0593088j -0.0313284+0.0350938j 0.0177529+0.0365691j 0.0665284+0.127875j -0.0157302+0.0837488j 0.0543183+0.0368137j 0.010261+0.0434504j 0.0958559+0.0338374j -0.0316215+0.143531j 0.026733+0.0111282j 0.0723667-0.101254j 0.112068-0.0764602j -0.0213232+0.0670224j 0.176099-0.0571121j 0.0251652-0.0726754j 0.143794-0.00129504j 0.111248-0.107944j -0.0772996+0.18249j -0.0286887-0.020534j 0.041712-0.0398697j -0.0123753+0.0384884j -0.120173-0.0676725j 0.0505326-0.0405527j -0.0966228-0.00635361j -0.0853348+0.0514317j 0.0620702+0.137933j -0.0817669+0.132818j -0.168466-0.11946j -0.146934+0.0593925j 0.0245944+0.07433j -0.0017532-0.0028427j 0.0211943-0.0546756j -0.0053049-0.172965j -0.172808-0.00255662j 0.042698+0.0113702j -0.00889201+0.0437639j 
-0.011924+0.0780011j 0.0724558+0.013579j 0.0610649-0.0485093j -0.0296465-0.0650807j 0.0891391-0.079634j -0.0712392-0.160063j 0.161829+0.0180875j -0.0734031+0.0886988j -0.0314938-0.0477288j 0.0511846-0.0556403j 0.0624361+0.20189j -0.163476-0.115829j 0.045983-0.0992987j -0.00953347+0.103017j -0.136949+0.00283291j 0.0326474-0.0588609j -0.00607911+0.0051752j -0.0157148-0.153033j -0.0879457-0.000734675j 0.0426584-0.0562791j -0.0436784-0.0796719j 0.112302+0.049842j -0.135545-0.0706438j -0.0779599-0.00849379j 0.0827039-0.0155444j 0.027645-0.0242617j 0.0204213+0.0592769j -0.0556177+0.00895838j -0.11141+0.0588085j 0.143752+0.0514184j -0.101997+0.113227j -0.00727676+0.0432588j 0.073479-0.0276928j 0.026735+0.0615718j -0.0657053+0.0825152j 0.0626206+0.0801246j -0.0569003-0.00249431j 0.0452742-0.159418j -0.0457773-0.0958319j 0.0282109-0.00872768j 0.0870383-0.0250859j 0.0156247-0.00716171j 0.00735801+0.102918j -0.0720824+0.124697j 0.0663662+0.0401891j -0.0234624+0.0281548j 0.094888-0.0022731j -0.0758669-0.0988622j -0.055097-0.00785314j -0.04539-0.0463374j 0.0924163-0.0536204j 0.0164721+0.0974129j -0.0244195+0.0566021j -0.0733339+0.156431j 0.229466-0.0224072j -0.130859+0.0470733j -0.0906668+0.129447j 0.00843007-0.139403j -0.0605134+0.00954175j 0.00163055+0.120374j -0.120395+0.0131962j 0.0559199+0.0186644j 0.133649+0.061235j -0.0129699+0.00185408j 0.0862098+0.115138j 0.116358-0.0641846j 0.0148043-0.10801j 0.0340955-0.0133616j 0.0361961+0.0892488j 0.0315786+0.0894237j 0.17202+0.113235j 0.187472-0.144437j 0.041676+0.138933j 0.0247743+0.00691508j 0.00179363-0.0218823j 0.00668462+0.000674491j 0.000414634+0.00752448j 
-0.0560028-0.0603465j -0.0521354+0.0569256j 0.0691362-0.0478608j -0.0635779-0.0876188j 0.0858625+0.10808j 0.0255155-0.04015j -0.0927066-0.103747j 0.00978306+0.0160287j 0.0496611+0.0403686j -0.276466+0.123127j 0.0863462-0.0682775j -0.0309397+0.0795162j 0.0246512-0.0113628j 0.109222-0.0682702j -0.0295815-0.00421209j -0.0398844-0.0876056j 0.0132746-0.023139j -0.021352-0.0209147j -0.0125515-0.0760933j -0.0582643-0.0477859j 0.125568-0.110693j 0.0956536+0.0568578j 0.00461921-0.0337553j -0.0967403-0.00201841j -0.0696871-0.0158478j -0.10487+0.0138762j 0.00148326+0.0648532j -0.0818565+0.107958j -0.108155-0.0574014j -0.0618859+0.0372161j -0.0266172+0.0315903j -0.230349-0.0758689j 0.0585855-0.104463j -0.0919146-0.0220312j 0.0236768+0.144423j -0.0377236-0.0780501j -0.0871581+0.0626672j -0.00338155+0.0114802j 0.118362+0.0599651j -0.00941385-0.0123j -0.0135513-0.00573203j 0.0343319-0.0217855j -0.0218126+0.0705172j -0.0284149-0.059485j -0.0715642-0.00191574j 0.00280993+0.182633j -0.00185727+0.168918j 0.008413+0.165513j 0.0144695-0.173589j 0.022777+0.0155287j -0.0217737-0.0667796j 0.0176958+0.0913711j 0.0494255+0.00731091j -0.0286255+0.16969j 0.115085-0.00870434j -0.0661489-0.0844597j 0.0313183+0.00128156j -0.119375-0.118035j -0.0635723+0.00387288j 0.0255057+0.0875265j -0.0351382-0.00423196j -0.112356-0.0533302j 0.059937+0.0557024j -0.103587+0.11519j 0.016652-0.148044j -0.230148+0.0417151j 0.0433527+0.130802j 0.0840578+0.0111661j 0.0701498+0.112849j 0.0908374-0.127446j -0.150946-0.0291004j 0.0317688+0.0997677j -0.0293099+0.0625597j 0.0535269+0.101971j 0.101882-0.0435586j -0.0197981+0.00994299j -0.0110708-0.0212082j 
0.0280945-0.0455464j -0.0392841-0.0229824j -0.0189279-0.0152337j -0.0442363+0.00143146j 0.0359713+0.0457616j 0.0751995+0.0154796j 0.0187215+0.049382j -0.00298309+0.0414188j 0.0269235-0.000947266j -0.0131568+0.0705832j -0.00945856-0.0396468j 0.0281936+0.0546752j -0.00565316-0.0781188j 0.0150497+0.095725j -0.0314135+0.0032113j 0.0633233-0.0193381j 0.107578-0.026251j 0.0153364+0.0304968j -0.0703774-0.0520734j -0.0577204-0.00350362j -0.0722552+0.0425223j 0.0124289-0.038225j 0.0247134+0.0335767j 0.0296794+0.0932941j 0.0465994-0.00863851j -0.0386311-0.0197366j 0.0375572-0.0285462j 0.0065342-0.0409547j 0.0845104-0.0468593j -0.0216693+0.0006677j -0.0391+0.0309925j -0.00779941-0.0497016j 0.028572-0.00506584j -0.0625237+0.029157j -0.0586536+0.0279777j -0.0486376+0.0118174j -0.0298213+0.0112085j 0.0137405+0.0258196j -0.0450322-0.0168197j -0.0494593-0.0212222j -0.0111969+0.0280451j -0.018812+0.0185675j 0.0385363+0.00732185j -0.0538844-0.00013578j -0.0169422-0.0620577j 0.030309+0.0129343j -0.0027327+0.0634029j 0.00282748-0.00806433j 0.0763401+0.0741329j -0.00343114-0.0580925j -0.0495021+0.00139218j -0.0179568+0.0267217j -0.0114137-0.0163104j 0.033074+0.0092518j -0.0520824+0.053955j -0.0220322+0.0264372j 0.034231-0.0390116j -0.0345339-0.00934269j 0.0273334+0.000488277j 0.0118925-0.00660412j 0.0342885+0.0241242j -0.0415545-0.014555j 0.0507777+0.00275651j 0.0170986+0.00757754j 0.0268368-0.0451155j -0.00429357+0.0494042j -0.0360781-0.0092616j -0.0347567-0.0406414j -0.0257122-0.0484602j 0.0814723+0.00160847j -0.0433346-0.0623067j 0.039905+0.0533774j -0.0140765+0.0927764j -0.00374346-0.0106471j -0.0111638+0.0214675j -0.0668256+0.00844029j -0.00771292-0.0691082j 
-0.0465252-0.0230303j -0.031186+0.0575264j -0.0925357-0.00152194j 0.00986148+0.0597608j -0.0139546+0.0233932j -0.0345382+0.0209993j 0.0660743+0.046648j -0.0289387+0.0943834j 0.0476585+0.025122j -0.0458923-0.0309375j 0.0482489-0.00331076j -0.0873566-0.0160771j -0.0241066-0.000621332j -0.0675041+0.0748935j -0.023501+0.0760439j -0.0312707+0.0197187j -0.0078923+0.0305525j 0.0479253+0.0924863j -0.0595491+0.00994409j 0.0176047-0.0878832j -0.0250757-0.060706j -0.0187609-0.0101694j -0.000177511+0.0336946j -0.00744658-0.0278071j -0.0579968+0.0565516j -0.00593585-0.0382499j 0.00205813-0.0846695j 0.00623038-0.00723749j 0.0329212-0.0334521j -0.0144348+0.0513812j -0.0288702+0.00456234j -0.0394697+0.0251553j 0.00161423-0.00053706j 0.0475921+0.071731j 0.0293427+0.0209695j 0.0208646+0.0161928j -0.00671486+0.010917j 0.0596743+0.0269047j -0.0111982+0.0216257j -0.0431488+0.0180847j -0.00714566+0.00662313j 0.0201935-0.00725357j -0.0229568-0.0236891j -0.0337836-0.00815058j -0.0537435-0.00865237j -0.0138758-0.00455609j 0.0548177+0.00490405j -0.00451949+0.0504075j 0.053494-0.0738492j -0.0371695+0.0601424j 0.036982+0.029662j 0.0101386+0.0281366j -0.0119933-0.00600358j 0.0416444-0.00479687j -0.0133551+0.00103684j 0.0387745+0.0286733j -0.065571+0.0318399j -0.0116755-0.0468803j -0.00443154+0.0347552j -0.00999413+0.0210142j 0.0425847+0.0277422j 0.0112978-0.00489708j -0.0194352+0.0201244j 0.00731684+0.0592917j 0.0364415+0.0230605j -0.100423-0.00899518j 0.0263014-0.0122729j 0.0312757+0.00239564j 0.00840465-0.0376874j -0.0216482+0.084887j 0.0593841+0.00452687j 0.0156702+0.0419388j -0.078154+0.0273803j 0.0112845-0.0642435j -0.0803365-0.00990386j 0.00563022+0.0822987j -0.0779617+0.005725j 
-0.00950206+0.00404927j 0.000452828+0.0124219j -0.00808426-0.00115875j 0.00586039+0.00279797j -0.0131543-0.00962368j -0.02398-0.000882214j -6.98234e-05+0.00706616j -0.00752518-0.0149679j 0.00790272+0.0216319j -0.00813365-0.018389j -0.000415434+0.0244922j -0.0261215-0.00823566j 0.0221058-0.00100223j -0.0249184-0.00314219j -0.0198309+0.00055496j -0.0300747+0.0120587j -0.00452752-0.00928037j -0.000378379+0.0182313j 0.00473049+0.0082537j 0.0335707+0.00866353j -0.00818344-0.0088359j 0.00313312-0.0243535j -0.0105636-0.0120155j -0.000536203+0.00563467j 0.0118634-0.00774017j -0.00383559-0.000392068j 0.025393-0.00903445j -0.0264489+0.00151966j -0.00740876-0.0489909j -0.017333-0.00169873j -0.00820447+0.0175479j 0.00588885+0.0169579j -0.0172346+0.00523562j 0.032266+0.01046j 0.0119847-0.00770463j -0.0325375-0.0185631j -0.0243524-0.0122838j -0.00172599-0.0150065j 0.0138759-0.0399594j -0.0280122+0.021005j 0.0263456+0.000864298j 0.00195568+0.0134658j -0.00438744+0.0105661j 0.00893867+0.0336574j 0.00285611+0.00385365j 0.00126698+0.0137615j -0.00305706+0.000773969j -0.012612+0.0127211j -0.00481102+0.023254j 0.0132041+0.0229345j -0.00540964-0.00487068j 0.0443656+0.0205852j 0.00439357-0.0119419j 0.000986683-0.00991928j -0.0169128+0.014774j -0.00103458-0.0322208j -0.0372098+0.0123485j 0.0138775-0.00319959j 0.008571+0.0274974j 0.0188486+0.0302522j 0.0167826-0.000726478j 0.000241904+0.0100841j -0.0105988-0.000946239j 0.0130209-0.0238045j 0.00828594+0.0168313j -0.0270594-0.0122752j 0.00875098+0.000343673j 0.0216825+0.0246278j -0.00344105+0.00154045j 0.00397307-0.00659433j 0.00821528+0.006202j 0.0104342-0.0130382j 0.0128186+0.00364975j -0.0182459-0.0161479j -0.0179241+0.0147021j 0.00788089+0.00537923j -0.00356511+0.00748412j 
-0.00426513-0.0075648j -0.00452993+0.00377601j 0.0044486+0.0130575j 0.00813254-0.00884744j 0.00155414+0.00430257j -0.000683707+0.0136783j -0.00383363-0.012634j -0.00659707+0.0209799j 0.0122436-0.0149847j -0.0154851+0.0323845j 0.0235616-0.00845338j -0.00683369+0.0277497j 0.00311701-0.00598006j 0.0124548+0.0131434j 0.00880969+0.0156536j -0.000174702+0.0151677j -0.0134834+0.0279308j -0.00819472-0.0152132j 0.0201371-0.0309284j 0.00734012-0.0137511j 0.0311358+0.00548596j 0.0388561-0.0140536j 0.000243103-0.0288308j -0.00236955-0.0182652j -0.0241686+0.00329551j 0.00345158-0.00757617j -0.00911238+0.00976266j -0.0491615+0.00752537j 0.0105693-0.00290806j 0.0232349+0.00096961j -0.00226988-0.004318j -0.00737511+0.00655135j -0.00787758+0.00607826j -0.000712051+0.0168345j -0.0154696-0.00429063j -0.00900436-0.00857426j 0.000432432+0.00134758j -0.00612455+0.00876873j 0.0316404+0.0308271j -0.00675515-0.0224846j 0.027315+0.0220223j 0.0202104-0.00483714j -0.00554152+0.0042038j 0.0284854-0.00249761j -0.00657712-0.00250594j 0.0143553+0.0069212j 0.000306776-0.00591533j -0.0157453-0.0115201j 0.00489023-0.00874611j -0.0161675+0.00948921j -0.0266375-0.00630111j -0.0102636+0.0461491j -0.0012155+0.0119627j 0.00126996+0.00240638j 0.0156439+0.039945j -0.00491755+0.00059j -0.0243354+0.00197887j -0.0290558+0.0218855j 0.00113997-0.0139381j -0.0031117-0.0130853j -0.0214883+0.0203992j -0.00397983-0.0114444j 0.00886755-0.00335454j -0.0278136-0.00451584j 0.00149391-0.0168635j -0.00661209+0.0239384j 0.00217904+0.0116525j 0.0115161-0.0231778j 0.00985341-0.00206862j -0.018074-0.00390617j -0.00187889+0.0108448j -0.00702893-0.00248059j -0.0002375-0.0118501j 0.0124082-0.00138568j -0.00255843-0.0105103j -0.00188957+0.00359788j -0.00505074-0.00224337j 
