0.100713+0.0827465j -0.0834711+0.100614j 0.151524+0.151141j 0.167036-0.154081j -0.205561-0.175378j 0.0900762-0.152601j -0.0368233-0.118363j 0.11026-0.0378444j -0.0489344+0.215779j 0.0805609-0.0992301j -0.134959+0.0366638j 0.0356817+0.125692j 0.102287-0.043242j 0.0906714+0.0166558j 0.0793254-0.0959311j -0.0113783+0.0246906j 0.0345442-0.00917425j -0.013543-0.153294j 0.182618-0.0292087j -0.00375724-0.0201683j -0.0133681-0.029941j -0.0581256+0.0924503j 0.0284539-0.0548514j -0.10987-0.026291j 0.170621-0.0794585j 0.0986654+0.104682j 0.0805387-0.0145093j -0.00562718-0.065596j 0.0565691-0.0112613j -0.0297217-0.0421619j -0.112933+0.0303234j -0.132695-0.0491186j -0.100398-0.0307951j 0.149225+0.089622j 0.0468924-0.0459335j -0.0137695+0.0702781j -0.0836068-0.162111j 0.0288899-0.00615294j -0.00463537-0.0541491j 0.00304841+0.205396j -0.0381659-0.0932424j 0.0504477+0.0838936j -0.224254+0.158135j -0.145495-0.118969j -0.0743062+0.0133867j -0.0325537-0.0880048j 0.0327326-0.119079j -0.117048-0.0154461j 0.103723+0.0814775j 0.0492354+0.0915957j -0.0490254+0.126267j -0.00662092+0.0460904j -0.0727063+0.0590373j -0.0450879+0.0743698j 0.0605529-0.0347267j -0.0938981-0.0162886j -0.0113875+0.0260293j -0.025363-0.020598j 0.0119323-5.3292e-05j 0.0202388+0.00430246j -0.011902+0.048528j 0.0374777+0.0224274j -0.0421632-0.014851j -0.0362756-0.0112634j -0.0106724+0.0247505j -0.0145952+0.00477117j -0.0232824-0.0184782j -0.0167072-0.0112628j -0.0409513-0.0136879j 0.0022614+0.0236617j 0.00420339-0.0126675j -0.0136554+0.0240676j 0.00660463-0.000484383j -0.000772311-0.00407621j 0.0069321-0.00796809j 0.0100381+0.0151211j -0.00527936+0.0348911j 0.00344747-0.0177819j 0.0270234-0.00272004j -0.0212206-0.0133746j 0.0100229+0.00888572j 0.00274907+0.0188847j 0.00464779-0.00669152j 0.00493389-0.000526602j -0.00073611-0.00142996j -0.00180958-0.00600491j 0.022162-0.012789j -0.0214815-0.0196181j 0.0151491-3.31792e-05j -0.00415977-0.0240682j -0.00200682+0.0170172j 0.00311237+0.0166995j -0.0175254+0.0210755j -0.0278911-0.00790657j -0.00400104-0.0394735j 0.036702-0.00418558j 0.0124833+0.0408733j 0.0407551-0.0124157j 
0.237661+0.148506j -0.149793+0.237404j 0.0195356-0.0374622j -0.0423197-0.0127535j 0.045585+0.04986j -0.000193687+0.00553016j 0.0864923+0.0226301j -0.000666958+0.100242j 0.0624446-0.0705081j 0.0305527-0.00910989j -0.00696961-0.0561165j -0.0445+0.00205214j -0.0600972+0.0075343j -0.038625+0.029664j -0.052986-0.0001313j -0.00533302-0.0500573j -0.0115311+0.0501171j 0.0468362+0.0251478j -0.000900401+0.043483j 0.0251784+0.00437479j -0.00620407+0.0304951j 0.0410304-0.0554042j 0.0441304-0.019354j 0.0307489+0.0576335j -0.0481568+0.0111958j -0.0532442-0.04072j -0.0158584+0.013866j 0.0270068+0.0098733j -0.0206531-0.00862626j 0.0236988-0.0219831j 0.0214343-0.021982j 0.00417009+0.0514976j 0.0360318+0.0412728j 0.0215877-0.00135323j -0.0520555+0.0151488j 0.0303947-0.0420647j -0.033484+0.0441107j 0.0301269+0.0122071j 0.0271804-0.0384053j 0.0464595+0.00776299j -0.0082221-0.0559649j -0.0329591+0.0249245j -0.0357632+0.00735994j 0.0254538-0.0514552j 0.0187943+0.146581j -0.0577591+0.0113311j -0.0269776+0.142904j 0.161554-0.0564152j -0.104379+0.0308346j 0.0575271+0.0164246j -0.114067+0.0470186j -0.104938-0.0618394j 0.0601827+0.0459753j -0.0806947-0.00975143j -0.019271-0.0262687j -0.119828+0.0366004j -0.111562-0.0830182j -0.0639959+0.0148767j 0.0308532+0.0634821j 0.0204969-0.000189211j 0.0203113-0.0422757j 0.0356612-0.0467745j -0.0081218+0.0315839j 0.0299382+0.0278851j -0.0114983-0.0858623j -0.0157673+0.0547437j -0.0837408-0.0641975j -0.00724495-0.000944319j -0.0973927-0.105618j 0.0592236+0.0520064j -0.036361-0.0394771j 0.0710411+0.0939644j -0.0326274-0.0491502j -0.0480946+0.034279j 0.0321472-0.0343603j 0.0118751-0.0446438j 0.0295315-0.0565819j -0.0428668+0.0420122j -0.0228899+0.0386139j -0.0505582-0.0464709j 0.0396214+0.0214586j -0.00126167+0.166199j 0.026828-0.0758155j 0.0286994+0.0103008j 0.0219908-0.109855j -0.121871+0.0518003j -0.0842657-0.0206838j -0.00814702-0.0481975j 0.0414821-0.0696149j 0.101327-0.101159j -0.128887-0.10348j 0.103227-0.0327028j -0.0437934+0.0762245j -0.0217047-0.0672839j -0.00204368-0.0736396j 0.0745567-0.00931405j 0.178843+0.251416j 0.251018-0.178392j 
0.0116908+0.0420523j -0.0420423+0.0114607j 0.0286023-0.0058212j -0.00831933-0.0272472j 0.00208451+0.0111663j -0.0043221-0.00433465j 0.0249875-0.00102889j -0.0032059+0.0239324j 0.00963239-0.0151146j 0.0111868-0.00150381j -0.0017985-0.00597159j -0.000354054-0.00347201j -0.00817449+0.00361695j -0.00831807-0.00260484j -0.0133387-0.00710742j 0.00463111-0.00649605j -0.00355635+0.00590562j 0.000867383+0.00653331j -0.000896607+0.00901117j -0.00176501+0.00508152j -0.00467387+0.00150732j 0.00879594-0.000623834j 0.00642581-0.00242283j -0.00233108+0.0105994j -0.00507441-0.00635966j -0.00418182-0.0107822j -0.0062972-0.00200142j 0.00120549+0.00101816j 0.00107445+0.000595294j 0.0105843+0.000808871j 0.00242061+0.00253937j -0.0118078+0.00477791j -0.00212793+0.0115608j 0.00105228+0.0056186j -0.0103821-0.00253627j 0.0125774-0.00742524j -0.017741+0.00822787j 0.00471805+0.0138947j 0.0217839-0.00555809j 0.0059219+0.00445615j -0.00203019-0.0272083j -0.0257548+0.0159154j -0.00463725-0.0123305j 0.0173563-0.00784654j -0.00448996+0.038098j -0.0101564-0.0032473j -0.011053+0.0428172j 0.0476922-0.0068636j -0.020994+0.0212294j 0.0186171+0.0266653j -0.0505671+0.0106018j -0.023378-0.0195001j 0.0227275+0.0292842j -0.0359231+0.00840557j -0.000771809-0.00742793j -0.0306625+0.0019586j -0.0381401-0.0367396j -0.0186516+0.0195284j -0.00120167+0.0183336j 0.00834702-0.000700322j -0.0128673-0.0114393j 0.013189-0.0321594j -0.00999262+0.023583j 0.0110418+0.00264415j 3.6896e-05-0.0401466j -0.0178853+0.011029j -0.0236285-0.0214074j 0.00238307-0.0140393j -0.0382654-0.0339194j 0.0173406+0.00666792j 0.00218268-0.00914793j 0.00944219+0.0228817j -0.0106846-0.00644302j -0.0268656+0.0148456j 0.0138532-0.00443603j 0.00600799-0.0156807j -0.00168219-0.0211957j -0.0384418+0.0257164j -0.0142723+0.0255582j -0.0266675-0.0235483j 0.023704+0.00847979j 0.00583551+0.0386846j 0.00200856-0.0228004j 0.0030353+0.00147962j -0.0124662-0.0354326j -0.0456169-0.00234426j -0.0159368+0.00379512j 0.00364874-0.0247813j 0.00824147-0.025421j 0.0132441-0.0291204j -0.0229661+0.0013812j 0.00846003+0.00343325j -0.0105144+0.0171405j -0.0184469-0.0108672j -0.0133298-0.0473254j 0.0445383-0.014176j 0.0485205-0.00443652j -0.00517347-0.0479369j 
-0.0176307-0.0273375j 0.0271023-0.017939j 0.00389939-0.0181997j -0.0151873-0.00346533j -0.0143317-0.00625775j 0.0194935-0.0042379j -0.0024334+0.0163414j -0.00331194+0.0093116j 0.0109668+0.0124559j 0.00550578+0.00954193j 0.0067397-0.00386584j 0.00504724+0.00391694j -0.00391875+0.00542163j 0.00416214-0.00945037j -0.00244144-0.0177495j 0.00605944-0.00122954j -0.0142407+0.00399317j -0.0071778-0.00822086j -0.00611263+0.00863137j -0.00452495+0.00163304j -0.000148595+0.00125827j 0.00109414+0.00802221j 0.011007-0.00315686j 0.00372477+0.0116103j 0.00689313-0.0130326j -0.0133771+0.00604715j -0.00668314-0.00136917j 0.00846258-0.001631j 0.0020537-0.00898651j 0.0093865-0.00459289j -0.0126027-0.000508223j -0.00314922+0.0030216j -0.00176193+0.00260456j 0.00753256+0.00979802j 0.00376217+0.00949478j -0.00653945-0.016064j 0.0143635+0.00121359j 0.0185704-0.000130727j 0.00371136-0.0182856j -0.0159726-0.00376807j -0.0126357+0.0145183j 0.0119174+0.0239829j -0.00879256-0.0293343j 0.0254191-0.0117246j 0.00202564+0.00787049j -0.000957597+0.00539291j 0.00102676+0.0143635j 0.0182471+0.00354444j 0.0189558-0.00468225j 0.00755356+0.0268888j -0.0146659+0.017109j 0.00591315-0.00271394j -0.0180788+0.00362078j 0.0118889-0.00122341j -0.0132513+0.00114612j -0.0101438+0.000485199j 0.00126028+0.0134072j -0.0116641+0.00878689j -0.0131376-0.000124654j -0.00195732-0.0117101j -0.000567448+0.0134697j 0.00410383+0.0091966j 0.0160129+0.0038901j 0.0155281+0.0103503j 0.00164697+0.0046705j -0.0158895-0.00155254j -0.00542128-0.0025463j 0.000260104+0.00552046j -0.01203+0.0153117j 0.00633822+0.00121855j 0.00725775-0.0070847j 0.00314346+0.00155482j 0.005664-0.00543193j -0.00747148-0.0143248j 0.00339593+0.0170117j -0.0108872-0.00791998j -0.00380448-0.00598352j 0.0064832+0.00396118j 0.0100036-0.0122779j -0.00825277-0.00429145j 0.00302502+0.00246499j -0.00097942-0.00525455j -0.0154375-0.00154201j -0.00339601+0.0208774j 0.00918061-0.00801316j 0.0146164-0.0136248j 0.00469175+0.00288584j 0.0045125+0.00494084j 0.0189849+0.0138967j 0.00106693+0.00687802j 0.0385453-0.0013765j -0.0155206+0.0341447j -0.0150588-0.0250981j 0.0131864+0.0104349j -0.0306047+0.0025989j -0.00190289-0.0278709j 0.0268522+0.0187624j 0.0192007-0.0264512j 
-0.00983616+5.30942e-05j -0.000281477-0.009807j 0.0198992+0.0219261j 0.0247688-0.0212453j 0.00168246+0.00665217j -0.00811996+0.0238351j -0.0302207+0.0154339j -0.0199558-0.0277172j -0.00304068+0.00536692j 0.00678117+0.0210246j 0.00828704-0.00598598j 0.00551133-0.00276982j -0.00850779+0.00115308j -0.00147754-0.00362318j -0.000574316-0.00930658j 0.0116434-0.0033271j -0.0163056-0.00101689j -0.00483568+0.00751691j -0.0192521+0.0154658j -0.00133516+0.0106239j -0.000729796-0.000452462j 0.0134168+0.00625767j 0.0132955+0.00759917j 0.0031513+0.00722071j -0.0125364-0.00429054j -0.0140026-0.00635807j -0.0168411-0.00196958j 0.00103882+0.0072949j -0.00404582-0.00760086j 0.0108697+0.00242742j -0.00105475-0.00487311j -0.00191449+0.0090987j 0.00434211+0.0178894j -0.010347-0.00524423j 0.0015878-0.00276908j -0.00119991-0.00977219j -0.00313295+0.00501374j -0.000573175-0.00687816j 0.00169416+0.0125363j 0.00670478-0.00049755j 0.0197621+0.00192164j -0.000376458-0.0199349j 0.00382686+0.000653006j -0.0156781+0.00334331j -0.0113874-0.0325707j 0.0239967-0.0190154j 0.0281021-0.0253126j -0.0278805-0.0275481j -0.00146671+0.00939747j 0.0191995-0.0107681j 0.00255681+0.0146345j -0.0158318-0.000379198j 0.0139325+0.00399834j -0.0117626+0.00979746j 0.0195363-0.0120562j -0.00519942-0.00456647j -0.00608683-0.0133406j 0.0134479-0.0110906j 0.0187772+0.00624206j 0.0040138+0.00922408j 0.0016861-0.00136871j -0.00765313-0.0120754j -0.014539-0.00483857j -0.0206386-0.0116269j -0.0056121-0.005573j 0.0150526+0.00902303j 0.00306003+0.000304782j -0.00533823-0.00600847j 0.00463452-0.013665j -0.0083138+0.00143885j -0.00278141+0.00298558j -0.00819066+0.00491753j -0.00218832+0.00483949j 0.00599882+0.0204214j -0.00345195-0.0215104j 0.00689786+0.00847221j -0.0011514+0.00893623j -0.00370699+0.00255578j -0.00241967+0.0157826j 0.00400388+0.011155j -0.0011083-0.00605571j 0.00188783+0.00229458j 0.0143251+0.000568789j 0.00632373-0.0206875j -0.0118743+0.0125889j -0.0173701+0.0147912j 0.000363498-0.000764949j -0.0083839-0.00348165j -0.01848-0.011233j -0.00588902-0.00563676j -0.033502+0.00486759j 0.0144908-0.0376432j 0.021234+0.0222747j -0.0144277-0.00900095j 0.0369622-0.0040349j 0.00299251+0.0348732j -0.0156388-0.0117934j -0.0117101+0.015595j 
0.00841187-0.00907039j 0.00930398+0.0085028j 0.011211-0.0301539j -0.0327652-0.0135926j -0.000798702-0.00101191j 0.0158169-0.000863801j 0.0084626+0.0274199j -0.0244033+0.0140494j -0.00947527+0.00703748j -0.020912-0.00468753j -0.00734518+0.0219202j -0.00936969-0.00529254j -0.0029911+0.0069419j 0.020452-0.00719471j 0.0106638+0.0266609j 0.0136513+0.0212271j -0.00953647-0.000111146j -0.0208708-0.000647644j 0.00887808-0.000218705j -0.00968358-0.00550948j 0.00342024+0.00564216j 0.00686451+0.0119553j -0.00210774+0.0228782j 0.0102693-0.00057645j 0.002894-0.000885725j 0.016143+0.000741638j 0.00126128-0.0124628j 0.00312939-0.0113763j -0.00816753-0.0129302j -0.00346534-0.00750924j 0.0152642-0.0150266j 9.82978e-06-0.0138516j -0.0148365+0.00814922j 0.0134853+0.00277194j 0.00074912+0.00106603j 0.0077714-0.00499355j 0.0117952-0.0250987j 0.0147828-0.00502292j -0.0178549-0.00877588j -0.0118512+0.0193084j 0.0367639+0.0114126j 0.0138221-0.0242914j -0.0186108-0.0119163j 0.00679822-0.022189j 0.0204516+0.0150032j -0.006335+0.0130848j 0.00407035+0.0104375j 0.00459707-0.0089372j -0.00728783+0.0114407j -0.0101913+0.00792963j -0.00816896-0.00432217j 0.00460827+0.00273422j -0.00898855+0.00233987j -0.00745568-0.0028089j -0.00298186+0.0150471j 0.00284708-0.00101266j 0.00233136+0.00451782j -0.00474179+0.00830944j -0.0100998-0.000897574j -0.00222491-0.00146463j -0.00516307+0.00119786j 0.00656565+0.00433111j 0.00563899-0.00290735j 0.0130185-0.00106339j 0.00154575+0.00127094j -0.0103459-0.00414552j -0.00291098-0.000201057j 0.00582125+0.000464353j -0.00101941+0.00690783j 0.00547113-0.00177143j 0.00307486-0.000515429j 0.00158486-0.00498189j 0.000517603-0.00038894j -0.00810104-0.00917955j 0.00467068+0.01138j -0.00583556-0.00256141j -0.00404762-0.0036493j -0.000191962-0.00181912j -0.000337714-0.00880127j -0.00397833-0.00822484j 0.00199443+0.00321395j -3.39481e-05-0.00342578j -0.0079802+0.00018864j -0.0020449+0.0116252j 0.00278688-0.00822555j 0.00840362-0.0141111j 0.0021739+0.000938016j 0.00485159+0.000506083j 0.0128951+0.00464205j 0.000872665+0.00129643j 0.0198449+0.000550183j -0.0110257+0.0232133j -0.0128923-0.0128484j 0.00543275+0.00541257j -0.0203623-0.00411055j 0.0042835-0.019124j 0.00569922+0.00258227j 0.00248329-0.00571403j 
-0.0107048-0.0074847j 0.0079212-0.0100736j -0.0127909-0.00195243j -0.00240033+0.00963671j -0.0074182+0.00226239j 0.00945159-0.0152868j 0.0106863+0.00975386j 0.00182866+0.00247853j 0.0110216-0.00236598j 0.0127841-0.000782673j -0.00202099-0.00708147j 0.00388635-0.00455144j 0.00298678+0.00507046j -0.00339431-0.00659672j -0.0119162-0.00556171j -4.03174e-05-0.00531055j -0.00177174+0.013219j -0.00564961+0.00197531j 0.0058401+0.0102106j 0.000131885+0.00271334j 0.00051603-0.000218098j 0.00373814-0.00169299j 0.00258618-0.0104801j 0.00765464+0.00132148j -0.00426905-0.00534559j -0.00390668+0.0107527j -0.00468462+0.00433511j 0.00435261-0.0062533j -0.00429322-0.00228242j 0.000988275-0.00857532j -0.00464585+0.00343027j 0.00274876+0.00216153j 0.00520026-0.000384528j 0.00889433-0.00372203j 0.00621111+0.00362432j -0.0121082-0.00397359j 0.00659795-0.00894935j 0.0054216-0.0132067j -0.0133069-0.00320055j -0.00405352+0.00780333j 0.00670229+0.0204094j 0.0228267-0.00224896j -0.0109839+2.19806e-06j 0.00124289-0.0171516j 0.00559473-0.00013194j 0.0044177+0.00493145j 0.00688451+0.00665308j 0.00947117-0.00456711j 0.00236221-0.0122244j 0.0162058+0.0132772j 0.00227713+0.0135461j 0.00280284-0.0049317j -0.00959974+0.0184874j -0.00131588-0.0100298j -0.00324482+0.00696007j -0.00263911+0.00956818j 0.0126249+0.00217614j -0.00522986+0.0134569j -0.00550662+0.00800035j -0.00453373-0.00565011j 0.0032376+0.00118591j 0.0157294-0.00170396j 0.00683657-0.00823563j 0.00907546-0.00385434j 0.011544+0.00180483j -0.0110169+0.00840468j -0.00313926+0.0033217j 0.00135166+0.00350852j 0.000226111+0.00523384j 0.00640285-0.00337464j -0.00226129-0.000680393j 0.000912023-0.00683184j 0.00318714-0.00460073j -0.0173765-0.00520935j 0.0131884-0.00223977j -0.00838893-0.00315912j 0.00120612-0.00182154j -0.000136392-0.00370103j -0.00781333-0.00650625j -0.0125633-0.00161155j 0.00360298+0.00222463j 0.0048916-0.000795579j -0.00432058+0.00141503j 0.010145+0.0140746j -0.005729-0.0114045j -0.00299352-0.0138162j -0.00637958-0.000162619j -0.00146131-0.00223916j 0.0123531-0.00755666j 0.00148853-0.00808524j 0.00649338-0.0150746j 0.0167861+0.018616j -0.0117789+0.00998187j 0.00784219+0.00346884j -0.0241823+0.0234169j -0.0219413-0.0238362j -0.00674146-0.0048176j -0.00532805+0.00684744j 
0.0495903+0.00592543j -0.00528058+0.0503392j -0.0277955-0.00603153j -0.00775573+0.0280114j 0.00810681-0.000867507j 0.00513689+0.00204301j -0.0060508+0.00257421j 0.00543039-0.000380797j 0.00545979+0.0028679j -0.00311445-0.00291528j -0.00221338-0.00482766j -0.0120527+0.00604951j -0.00548704-0.00426377j 0.00112847+0.0104168j 0.00368298+0.00747963j -0.00689044-0.00548835j 0.0015386+0.00567089j 0.0108682-0.000695153j 0.00400018-0.00171137j 0.00836599-0.00560588j 0.00435758+0.00762336j 0.0010445-0.0131051j 0.00560964-0.00165892j 0.00879169+0.00486114j -0.00420235+0.00803227j -0.0054432+6.27171e-05j 0.0055108+0.00490153j 0.00317412+0.00179822j -0.00499193-0.00409739j -0.00614613-0.00685701j 0.00254575-0.00574918j 0.00818162+0.00907891j 0.00761588-0.000825596j 0.0112057-0.00540695j -0.00298624+0.0070325j -0.00476412-0.00123534j 0.00837212-0.000625749j 0.00653884-0.0129397j -0.0169903-0.00771075j 0.00672154+0.00479536j -0.00815594+0.0142937j 0.0213509-0.00300742j -0.0106149+0.0182367j -0.00977042-0.0112976j 0.00165668-0.0061133j -0.00644566+0.00479417j 0.00634131-0.0136894j -0.0108694-0.00535115j -0.00675409-0.016086j -0.0125202-0.0254243j 0.025494+0.00268431j -0.00115956+0.00359027j -0.0181281-0.0241219j 0.0196271-0.0134674j -0.0010726-0.000573417j -0.00360417+0.00878674j 0.0148958+0.0206678j 0.00522003-0.0241014j 0.0104407-0.00344533j -0.00390947+0.00317044j 0.0212216-0.0031758j -0.00401742+0.0303193j 0.00770896-0.0170208j -0.0087337+0.00613728j -0.00632721+0.0247596j 0.0135711-0.00143812j 0.0026411+0.00545483j -0.00773111+0.0139816j 0.0180683+0.00449254j -0.00674808+0.00741665j -0.0143674-0.00341052j 0.0093143-0.00149636j 0.000313565-0.00157895j 0.0199182-0.0106188j 0.000720597+0.00264302j 0.00439985+0.00635493j 0.00899631+0.00831757j 0.0314705-0.0146679j 0.0117773-0.013219j 0.0135071+0.00880422j -0.0140026-0.00265231j -0.00476769+0.00315491j 0.00363086+0.0097677j -0.000863851+0.00132861j 0.0194381+0.0106222j 0.0162844+0.0190512j -0.00250834-0.00960844j -0.00639178+0.00540373j -0.00203025+0.0125595j 0.0154569+0.00627179j -0.00256615-0.0284789j 0.0178099+0.00190604j -0.00853936-9.78065e-05j 0.0210234-0.0106831j 0.0156931+0.0195747j -0.0151943+0.0134234j 0.00885561+0.0549692j 0.0545189-0.00913946j 
-0.00354688+0.00273773j -0.00272465-0.00395471j 0.00872198-0.00187287j -0.00299895-0.00644716j 0.00204925-0.0029406j -0.00013367-0.00131356j 0.0070042-0.00270404j 0.000197081+0.0130932j -0.00244134-0.00278364j -0.0121011-0.00468567j -0.000126768+0.00519384j -0.00740671+0.00368824j -0.00191237-0.000876623j 0.00128902+0.00282638j 0.00214914+0.00454445j -0.00110054+0.00191816j 0.00217534-0.00468378j 0.00251228-0.00304381j 0.00322981-0.0098539j -0.00205023-0.00199434j 0.00198657+0.0032698j -0.002674+4.65882e-05j -0.00132025+0.00412229j 0.00292798+0.000367359j 0.00432142+0.000419667j 0.000969127-1.35551e-05j 0.00280468-0.00137433j -0.00457468+0.000909196j 0.00208707-0.00294275j -0.00451083+0.000223902j -0.00261226-0.00126927j -0.000464487-0.00158037j -0.00564153-0.000942273j -0.00250249-0.00242727j 0.00443619+0.00288347j 0.0019013+0.000305697j -0.00351256-0.00188558j -0.00325363+0.00200801j 0.00248353+0.00426371j -0.000969491-0.00373209j 0.00446323-0.00590557j -0.0009559-0.00122537j 0.000943793-0.0127003j 0.00816408-0.000155915j 0.00268354+0.0127163j -0.0125644-0.00310127j 0.00215797+0.000876263j 0.000425161+0.000276207j 0.00766993+0.00280719j 0.010524+0.00144686j -0.00396165+0.0111241j -0.00161671+0.00235187j 0.00516868+0.00095685j -0.0023298+0.00168277j -0.0116957+0.00588616j -0.00143535+0.00249416j -0.00548343+0.00082106j -0.00256458+0.00886431j -0.00472192-0.00344837j -0.00317197-0.00522624j 0.00161527+0.00603503j -0.00371582+0.00154054j 0.0024495+0.000554901j 0.00530054+0.00290556j -0.0022804-0.00505494j 0.00105847+0.00194544j -0.00233914-0.00469305j 0.001012+0.00160342j -0.00232692+0.0102862j 0.00447695+0.00522404j 0.00453066-0.00275293j -0.000459166+0.00935425j 0.00514674-0.00295045j -0.00258543+0.00425619j -0.00464343-0.00098372j -0.00687452-0.00143824j -0.00377778-0.00103497j 0.00266401+0.00264992j 0.0115089-0.00707123j 0.00162956+0.00445279j 0.00291696-0.00337623j -0.00462771-0.00446881j -0.00288514-0.00298179j 0.00322206+0.00349475j 0.00727397+0.00109968j 0.00483774-0.00281142j 0.00247805+0.000674832j -0.00496437+0.0095085j 0.0090904+0.0133941j -0.00213349+0.00604446j 0.0160203-0.00294808j 0.00109275+0.00650055j 0.00212093-0.00493223j 0.00615278+0.00290542j 0.0198906+0.0145693j -0.0142442+0.0211034j 0.0186831+0.0121514j 0.012621-0.018418j 
0.00636342+0.0196685j -0.019653+0.00596893j -0.00834982+0.00282658j 0.000507535+0.00985311j 0.00889106+0.00914747j -0.0100056+0.00894004j 0.000208094+0.00236211j -0.00779955-0.000206966j 0.00308508-5.96367e-05j -0.00281234-0.0028374j -0.00663761+0.0116271j 0.00735451+0.00954606j -0.00254045+0.00449672j 0.00766899-0.00288783j 0.00508867-0.00254281j 0.00296389-0.00189977j -0.00792732+7.89468e-06j -4.7206e-05+0.000843911j 0.00312665-0.00212692j 7.62207e-06+0.0018848j 0.00267388+0.00385821j 0.00400616+0.000659328j 0.00447701+0.00138844j 0.00316064+0.00130046j 0.00238482-0.00215069j 0.000597385+0.00347221j -0.00421102-0.00509609j -0.00390982+0.00271722j -0.00170578-0.00610783j -0.0011932+0.000441191j -0.00370926+0.000616067j -0.00541716+0.00155352j -0.00295015+0.00520148j 0.00689955-0.00480005j 0.00146235+0.00114212j 0.00162-0.00448095j -0.0102107-0.00223209j 0.00478321-0.00484428j 0.00114982-0.00309094j 0.00975062+0.0122459j 0.00024091-0.00239599j 0.00370869+0.00504298j -0.00210862+0.00572219j -0.00261099-0.00200202j -0.0256138+0.00764443j 0.00102518-0.0218988j 0.00712086+0.00291494j 0.00671157-0.0166454j -0.0258113+0.00609509j -0.00982132-0.00325231j -0.0135135-0.0142255j -0.00675673-0.00803854j -0.000767288-0.0035053j 0.00265031-0.0094496j -0.00746586-0.0164621j -0.0136775+0.000815552j 0.000879505-0.00663527j -0.00539629-0.0204491j 0.0159591-0.00806996j 0.000251501+0.00464658j 0.00684687-8.36907e-05j -0.00322909+0.00312855j -0.00411722+5.79985e-05j -0.00120284+0.0112868j -0.00312011-0.00441528j 0.00623965+0.00208001j 0.00301328-0.00620625j 0.00563109+0.00731002j -0.00958515+0.000391879j -0.00985434+0.00836029j -0.0127708-0.00391648j -0.00107954+0.00867246j -0.0107825-0.00200373j 0.00665925-0.00299058j -0.000934986+0.00499003j 0.0109736+0.000514442j 0.00492517-0.0119469j 0.00259003-0.00377969j 0.0136787+0.00421572j 0.000436602+0.00321939j 0.00465938+0.00774313j -0.000979727+0.0125739j -0.00352365+0.010784j -0.00194771-0.00354883j 0.00854217+0.00487176j 0.00860298+0.0216568j 0.00741704+0.00083191j -0.0112488-0.0115378j -0.0141282+0.0100782j 0.00186933-0.00618653j -0.00238072+0.00997558j 0.00599426+0.0138218j -0.0190407+0.0127544j -0.00781006-0.0113569j -0.0167279+0.0174639j -0.0183446-0.0175886j 0.0223703+0.00266648j 0.00275941-0.021925j 
-0.00256086+0.00497391j -0.00499472-0.00288873j -0.00452275-0.0172775j -0.0174042+0.00726473j -0.00547806+0.00293865j -0.00657702-0.000669951j -0.0113883-0.00656266j 0.00801329+0.000735382j 0.00356073+0.00437134j -0.0135276-0.00495583j -0.00787959-0.00472555j -0.0142203+0.0146794j -0.00494107-0.00945832j 0.00243531+0.0157627j 0.00632613+0.00735548j -0.00819032+8.42146e-05j 0.00460653-0.00954932j 0.00679722-0.00715955j -0.0025597-0.0107674j 0.00365939-0.00211252j 0.00337141+0.00338653j -0.00242114+0.000165038j 0.00277885+0.00175604j 0.0058262-0.00125836j 0.000749039+0.00125815j -0.00992115+0.00258752j 0.0106308-0.0012683j -0.00609024+0.00231169j 0.00622547-0.0075238j -0.0101534-0.00152304j -0.00213506-0.00712356j 0.00273527+0.00680511j -0.00310649-0.00259724j -0.00291154-0.0113548j 0.00691196+0.00921316j -0.00237082+0.00315496j 0.00521899+0.00369935j -0.00170286-0.00587484j 0.00181836+0.00176203j 0.00754578-0.006819j 0.00411977-0.00297463j -0.00263427-0.00069363j -0.0012152-0.0187786j 0.0149218-0.00244305j -0.0144134-0.000660259j -0.000888212-0.0132603j 0.00654229-0.0149557j -0.0130018-0.00271432j -0.00202767+0.00219635j 0.0109262+0.00236649j -0.00417846+0.00428129j 0.00218123-0.0116707j 0.00435101+0.0111565j 0.000336111+0.00174856j 0.00599294-0.00344065j -0.00301956+0.00678088j 0.00643885-0.00450236j -0.0126816-0.000196005j 0.00270868-0.00304066j 0.00563696-0.00024186j 0.00399117-0.000156748j -2.68578e-05-0.00251284j -0.00517921-0.00427427j 0.00344524+0.000901931j 0.00796308+0.00576367j 0.000246677+0.000621635j -0.000744856+0.00332371j 0.000730652+0.000897992j -0.00330786-0.00695588j -0.00350992-0.0014021j -0.00320773+0.0044281j -0.0027312+0.00590566j 0.000253821-0.00207818j -0.0030814-0.00328147j 0.00228762-0.00344805j 0.000279024-0.00257498j 4.29884e-05-0.00246162j 0.000271357-0.00794901j -0.00231468+0.00489491j 6.96806e-05+0.00434429j -0.000877696+0.00514466j -0.00182814-0.00332702j 0.0055772+0.00768907j 0.00841864-0.00349974j -0.00196128+0.00393255j 0.0036574-0.00431218j 0.00613468+0.0057142j 0.00374716-0.000977207j -0.00787215-0.00178009j -0.00952711+0.00784564j 0.00492098+0.00393382j 0.0103528+0.00213274j 0.0026845+0.0148459j -0.00948869+0.00355983j -0.00332212-0.00817596j 0.00758902-0.00283421j 0.00288926+0.000721358j 0.000565463-0.00266345j 
