0.03939-0.00621301j -0.0624562-0.0470965j 0.0140808+0.00135485j -0.102886+0.109506j -0.0043445-0.00397936j -0.00130166+0.0249994j 0.190992-0.0313037j 0.0107651-0.0438665j 0.0545017-0.0133767j 0.0140989+0.0175479j -0.0974166-0.0148508j 0.062276+0.0261274j 0.139864+0.0269352j -0.0077951-0.0419235j -0.00907557-0.0476953j 0.0441027+0.0316019j -0.0562344+0.0180461j -0.0677652+0.0514167j -0.0743095-0.0137196j -0.0211988-0.0974346j 0.0183659+0.0446195j -0.0230193-0.068233j 0.0138767-0.0436263j 0.00863718+0.0305778j 0.171499+0.0269767j -0.0239304-0.087584j 0.0801328+0.0815937j -0.0233977-0.0251564j -0.0030988-0.10539j 0.101511+0.00931253j -0.0946146+0.0940539j -0.0920982-0.0844056j 0.0807151+0.0375393j -0.0559668+0.0262954j 0.0519352+0.107704j -0.0159967-0.05812j 0.0392037+0.0188852j 0.0289831-0.00413987j 0.00598277-0.110952j 0.0919781+0.01679j 0.070454+0.209396j 0.118852+0.0479922j 0.0533042+0.0938887j -0.151916+0.0232307j -0.164513-0.0603586j -0.0342579-0.058168j 0.0491735-0.0110828j -0.000446967-0.0358543j 0.0844039+0.025889j 0.00533649+0.0700664j -0.0165999-0.0112433j 0.0114104-0.0242278j 0.0288316+0.00863729j -0.00303295-0.015457j -0.0262358+0.0222092j -0.00341115+0.00685925j -0.0073596-0.019368j -0.00370485-0.0129109j 0.0294704+0.0198472j -0.0126643-0.00290687j 0.0256793-0.03666j -0.00260478-0.015994j -0.0121999-0.0264698j -0.0220633+0.00154469j 0.00639102-0.00682851j 0.0154277-0.0198458j -0.0181197+0.0396834j 0.00814609-0.0249652j -0.015621+0.0553843j 0.0883831+0.00922263j -0.0224045+0.0072046j -0.00866876-0.0356504j -0.0587349-0.065642j 0.0196513-0.00628734j -0.000924243-0.0156727j -0.0640656+0.0631002j -0.015367+0.0240488j -0.00258931+0.0437839j -0.0334426-0.0918662j 0.0232829-0.156229j 0.0919277+0.0796197j 0.00515071-0.0381196j -0.00971614+0.03845j 0.145833-0.00513194j 0.0706618-0.00237402j 0.0328615-0.0172922j 0.0264479+0.0222665j 0.0288861+0.0642724j -0.01944+0.0266551j 0.0049369+0.0455833j -0.0853667-0.00143243j -0.0638298-0.0305972j 0.033448-0.00662735j 0.0043443+0.136361j -0.183693-0.0930862j 0.0121047+0.180766j 0.217584+0.120724j 0.0929069+0.143465j 
-0.0661643-0.0488542j -0.0407553+0.00352489j -0.0890985+0.101584j -0.0166712+0.00657411j 0.0764591-0.0143994j -0.111372+0.0530177j -0.00850413+0.0326711j 0.140486-0.0127446j -0.0234518+0.0375152j 0.0152373+0.0382382j -0.0142411+0.0156793j -0.120234-0.00420347j 0.0849582+0.0419835j 0.0332831-0.0123266j -0.00406115+0.0462927j 0.0415505+0.0469189j 0.0363504+0.00519149j 0.0290547+0.0361293j 0.0474443+0.0692935j -0.0896492-0.00263232j -0.028288-0.0194529j -0.0464442-0.0114118j -0.116366-0.00666078j -0.00343583-0.0143587j 0.033458-0.123823j -0.0943031+0.0343933j -0.067628-0.0918089j 0.0312685+0.0235137j -0.190143-0.0145342j 0.00303977-0.15191j 0.122291+0.12924j -0.0635809+0.0569166j 0.00907361+0.0276696j -0.00157356+0.0838464j 0.041619-0.0412445j -0.0705185-0.0449517j 0.0401118+0.0187426j -0.0395938-0.117353j 0.00939004-0.0351881j 0.0115528+0.0274503j -0.114675-0.0637182j 0.0584414+0.212484j -0.170138+0.0114131j -0.0478122-0.0790477j -0.0419162-0.0474087j 0.174983+0.065053j 0.00773799+0.0143549j 0.0281646+0.0318957j 0.0083616+0.0748998j -0.0674867-0.0094793j 0.0132794-0.018102j 0.00411645+0.011265j 0.00690662+0.0463954j 0.0253001-0.0240994j -0.0237843+0.00560533j -0.03959-0.024063j 0.0219225+0.000113605j 0.0171414-0.0100724j -0.0308881+0.001777j 0.0111943-0.00294367j 0.0133661-0.0258501j -0.00204323+0.0133848j -0.00576131+0.0226965j 0.00898112-0.0378037j -0.0041777+0.0283555j -0.00129762+0.0185685j -0.00310272+0.0293118j 0.0249721-0.00612518j -0.00115911+0.0308038j -0.0368079+0.00464445j 0.00294062+0.0156578j 0.00873286-0.0582411j -0.0379954+0.00374837j -0.0314095+0.0305215j -0.0676479-0.0112662j 0.026293+0.0491418j 0.076717+0.0694981j -0.007513-0.0432433j -0.0938557+0.018133j -0.127826-0.0117473j 0.0340869-0.119714j -0.0391818-0.0239223j 0.00712783-0.0541049j 0.0444037-0.130115j -0.0601439-0.0827361j -0.049388-0.0352402j 0.00461941-0.00897394j 0.0246926+0.0067096j 0.0125618-0.0581694j -0.047894-0.0190942j 0.0402358-0.0518343j -0.0489405-0.0239687j 0.0528707+0.124935j -0.0985704+0.00604848j -0.00357382-0.190651j -0.166406-0.0957975j 0.0926649+0.140857j -0.216411-0.124066j 
-0.0629335-0.0149379j -0.000400843+0.0107283j -0.0189418+0.0405733j -0.0166039-0.0152358j 0.0124447+0.0467179j -0.0704008+0.126601j 0.0485319+0.00164199j -0.0470769+0.00766959j 0.0284395-0.0411714j -0.044071+0.00247183j -0.0936111-0.0400899j -0.0780277+0.0456451j 0.00613989-0.0684113j 0.116627-0.0946255j -0.114623-0.023634j 0.0201312+0.117302j 0.0112052+0.0095544j 0.108673-0.0135353j -0.0450588+0.037596j 0.0856678+0.103982j 0.0667548+0.207542j 0.0937549+0.00301079j 0.025995-0.0692761j 0.138288+0.0899714j 0.044771+0.086022j -0.0436756-0.050504j 0.108383-0.0679768j 0.0857088-0.0342911j -0.0490502+0.093712j -0.0811421+0.217754j 0.0596652+0.015125j 0.092235+0.0971659j -0.0523647-0.0450371j 0.162173+0.0848633j -0.104256+0.0621973j 0.0753059-0.0340959j 0.155687+0.0759698j -0.161159+0.153065j -0.152153-0.0144139j -0.017356+0.0134094j 0.0677098-0.188867j -0.131974-0.025606j -0.0297335+0.0472016j -0.0107132-0.0716573j 0.0539427+0.0868692j 0.017053-0.0162352j -0.0193346-0.00138525j 0.0237258-0.00452004j 0.00446777-0.0192371j -0.0241275-0.00170988j -0.00676877-0.0171587j 0.0228936+0.000737325j 0.0111361+0.0278635j 0.0124001-0.0184695j -0.0245753-0.00224201j 0.00341349-0.0251433j 0.0145398+0.0252064j -0.0273634-0.00751457j 0.0137607-0.0317025j -0.00590045-0.0104029j 0.0172348-0.0141152j -0.00406467-0.00129913j -0.0469461+0.0223235j -0.0130146-0.0088296j -0.0138415+0.0371205j -0.037986-0.0187383j 0.0117762+0.0370879j 0.0505071-0.0437759j 0.037047+0.0234019j -0.00652282-0.0412634j -0.00875104-0.00886774j 0.0317346-0.0210777j -0.00587141-0.0458399j -0.0400785-0.024752j 0.0222773+2.35733e-05j 0.00226208+0.0124121j -0.0113865-0.0342733j -0.0542476-0.00383672j -0.0382194-0.0291676j 0.0203796+0.0352849j 0.0329441-0.00630592j 0.040711+0.0359957j -0.0333514+0.0814497j -0.0342617+0.0238609j -0.0448704+0.00496979j 0.0146639+0.00200265j 0.0416455+0.00746984j 0.0204436+0.0136856j -0.0174357+0.0576327j 0.0243681-0.0547615j 0.0800767+0.0166128j -0.0533132-0.0712489j 0.0341185-0.0467691j 0.00358202-0.0118448j -0.00362373-0.0359681j 0.0412676-0.0160779j 0.00036772-0.0272014j -0.0181147+0.0032899j 
-0.0296858+0.0114299j 0.0717427+0.0119245j -0.0251425-0.0225076j 0.0149548-0.0438625j -0.0033099+0.137776j -0.0132424+0.0795596j 0.0320349+0.0417676j -0.021734+0.000212438j 0.0654637-0.0525149j -0.074464-0.0121644j 0.0741733-0.095237j 0.0354178+0.00459001j 0.0835196+0.00760902j 0.0720717+0.0217471j -0.0795157-0.0232701j 0.0387491+0.0179776j 0.130018-0.0132122j 0.0160143+0.0365266j -0.0179916+0.159976j -0.0559399+0.0405469j 0.147148-0.0090325j -0.0879545-0.162807j -0.100952+0.00499106j 0.0242528-0.130645j -0.103193+0.045701j 0.0254008+0.0892863j 0.0176624-0.00231153j -0.0595785-0.0685322j 0.215435+0.0401504j 0.106723+0.0949558j 0.0513036+0.209664j 0.122432-0.14292j 0.0383456+0.077132j 0.0190286-0.261765j -0.0564219-0.00212516j -0.117486-0.00586648j -0.156012+0.0762448j -0.308849-0.203221j 0.284744-0.225766j 0.0374106-0.143027j 0.150065-0.00194464j 0.0625907-0.186248j -0.020051-0.0561998j 0.0197529-0.111197j 0.0311794-0.013337j -0.0674842-0.0642518j -0.00562768-0.0105487j 0.0164287-0.0618958j -0.0233905-0.00436832j 0.0223692+0.0183453j 0.00485957+0.000777422j 0.0186289+0.0303707j -0.0167421+0.00660885j 0.0189116-0.0182138j 0.00562946+0.00288221j -0.0146139-0.00435199j -0.0122631+0.0178295j -0.0168598-0.0482148j 0.00989106-0.0107574j 0.034658+0.00313658j -0.0304267-0.00361242j 0.00506111+0.0338236j -0.0260371-0.0388296j 0.00627732-0.00722148j -0.0145171-0.00257993j -0.0281618+0.00557491j 0.00169376+0.0134999j 0.0222846-0.00734821j 0.0051146-0.00820728j -0.00175647-0.0360649j -0.0332006+0.00207445j 0.0137677-0.0426612j -0.0268193+0.00550319j -0.0517996+0.0324042j -0.021574-0.0130239j 0.0498446-0.0199299j 0.00495935+0.000464002j 0.0214925+0.0348872j -0.00284362+0.0108624j 0.0497358+0.00770946j -0.0136192+0.0251792j 0.00386796-0.0333511j 0.00984317+0.0103469j -0.000863316-0.0044692j 0.0100434-0.0272155j -0.054648+0.00295926j 0.0275247+0.0226295j -0.0146472-0.0129573j -0.0301758+0.00115888j 0.0350401+0.0102468j 0.026547+0.101503j 0.07705-0.0445483j 0.0708714+0.0395704j -0.0126323+0.0345156j -0.0302957+0.0120508j -0.00416224-0.0578993j -0.0211413+0.00349429j -0.00832971+0.0154574j 
0.0208146+0.00112881j 0.00772774-0.000807473j 0.0180736-0.0471436j -0.00914046-0.0108275j -0.0367818-0.0133357j 0.0282722+0.0152996j -0.00358738-0.0864219j -0.053177+0.0924195j -0.00852034+0.0357551j -0.0415289-0.0147982j -0.00654032+0.048745j -0.0159393-0.0152083j 0.0726137-0.00569447j 0.0553981-0.0609797j 0.0816697-0.000453392j -0.108315+0.0508842j 0.106908+0.225899j 0.066846-0.0212174j 0.0533853-0.044049j 0.0747457+0.0900949j 0.055951-0.115834j 0.0918102-0.102481j 0.182809-0.101737j 0.0482196+0.0447963j 0.0681625+0.0793632j -0.04882+0.077896j -0.000470589+0.00388152j 0.183244-0.237004j 0.0701375+0.0543323j -0.071403-0.183068j -0.276428+0.285952j 0.0384899+0.185657j 0.0803815+0.0952134j -0.24227+0.165737j -0.210839-0.108034j 0.120324-0.0795223j 0.0933699+0.149542j -0.0222228+0.0926284j 0.0122006-0.0559338j -0.0102995+0.0807303j 0.00947067+0.107284j 0.0650817+0.0109211j 0.0593194+0.050885j 0.0319572-0.0182103j 0.0117643-0.040912j 0.00275636+0.00671048j -0.000392713+0.0246871j 0.00375642-0.0227691j 0.0034784-0.0235981j 0.0437937-0.0137594j -0.000553228-0.00789413j 0.00265037-0.005963j 0.0135081-0.00274983j -0.00314905+0.00330477j -0.0144577-0.0109473j 0.00414458+0.00975637j 0.0184457-0.0140522j -0.00896956+0.0115634j 0.0152561-0.0147699j -0.00191814+0.00538091j -0.00487462+0.0458206j -0.00174811+0.00801473j 0.0223707-0.0254468j 0.0311392-0.00455508j 0.00308485+0.00135117j -0.0204432-0.0184408j 0.0433203+0.0160895j 0.00200687-0.0314332j 0.00329468-0.0279032j -0.0402982+0.00786648j 0.0350129-0.0239608j 0.0144383+0.021281j -0.0501079-0.0122501j 0.0149335+0.0121778j -0.0164551+0.0141417j -0.0125407-0.010475j 0.0143126+0.00771771j 0.0201171-0.0260697j -0.00587577+0.0275823j 0.0491543+0.00881284j -0.0100944+0.00706759j -0.00948574+0.00998986j 0.00230975+0.00874706j -0.00970332-0.0319884j -0.0207438-0.0295796j 0.034952+0.0069855j -0.0149283-0.0185781j -0.0214204+0.0321966j -0.0339114-0.00674803j 0.00532481+0.00636134j 0.00908099-0.00258629j 0.0126041+0.0116384j 0.017088-0.00995225j 0.00538026-0.0115769j 0.00685158-0.00197413j 0.0125965-0.00342777j -0.0214406+0.000290826j 0.00130177-0.00606159j 
-0.0469658+0.00181625j 0.00239604+0.00855208j 0.0085777+0.00830104j -0.0322679-0.0666052j -0.0298998-0.0515969j -0.0556495-0.032878j -0.0629914+0.0386103j 0.0317948+0.0703353j 0.0317167-0.00800592j -0.0228715+0.0874926j -0.116773-0.0413599j -0.016629+0.0859118j -0.0100947+0.0182693j -0.0651144-0.0136901j 0.0256155-0.0755665j 0.0070832+0.0923406j -0.153534-0.0785495j 0.123554+0.0128709j 0.043787-0.125638j -0.138539+0.116781j -0.0295637+0.0249893j -0.00962127+0.169737j 0.175308+0.0236254j 0.0723542-0.139264j -0.041628-0.0956941j -0.227243+0.235119j 0.0114386+0.0245227j -0.077427-0.128023j 0.0339088+0.0116133j 0.181051+0.0882147j -0.140109+0.0653843j -0.121455+0.0089012j 0.122335-0.015536j 0.0903435+0.0941097j -0.180622-0.0113869j 0.0656532-0.0252688j 0.169328-0.0163699j -0.0474181+0.0798582j -0.0524096-0.00242261j 0.0395629-0.00413934j 0.0605531-0.113337j -0.0448993-0.0609759j -0.0075561+0.0289596j 0.0152728-0.026001j 0.00319735+0.026586j 0.00108596-0.0335109j -0.00230877+0.0450514j 0.0142181+0.0150239j -0.0370823-0.0031949j -0.0227554-0.0246181j 0.00319261-0.0134351j 0.0140959+0.00193843j 0.00940986-0.00824984j 0.00367043-0.0306912j -0.00902008+0.0268722j -0.0026783-0.00177194j 0.00117932+0.00113126j 0.0216797+0.0220568j -0.0155674+0.0175951j -0.00467116-0.0133058j 0.0291712-0.0243832j 0.0288278-0.0268278j 0.000611771+0.0390031j 0.00803034-0.0226375j -0.0144301-0.0270262j 0.0188403-0.0391057j -0.00817579+0.0258879j -0.0222378+0.0122278j -0.0107961+0.00657966j 0.000880999-0.0216293j 0.032461-0.00706464j 0.0231419-0.0176452j -0.0341705-0.0107869j 0.0112082-0.0310384j 0.0139488-0.0319591j 0.0428249+0.00262638j 0.000305042-0.0123557j -0.0181366+0.0113269j 0.0161326+0.0121865j 0.0053926+0.0307688j 0.0263082-0.00397235j -0.0268333-0.0342441j 0.0158826-0.0260412j 0.0220822+0.0248817j -0.00496229+0.011488j 0.0147822-0.00490957j -0.0039916-0.00484348j 0.0241288+0.0407112j -0.00990176+0.0352185j 0.00573157-0.0179383j 0.0240266-0.00886631j -0.0348266-0.0265408j 0.0181192-0.00107774j 0.025629-0.0158305j -0.00174076-0.0225029j -0.00526373+0.00137595j 0.011401+0.00394859j -0.0184954+0.00740237j 
0.0136323+0.000628116j 0.0571051-0.0213954j -0.0252191+0.000685927j 0.0624967-0.0258616j 0.0187602+0.050971j -0.0944615-0.0440323j 0.0608287+0.052153j -0.0134018-0.0629588j 0.0656954+0.0661663j 0.0238849+0.0211841j -0.0204345-0.0025828j -0.0644544-0.0155764j -0.0291375-0.0701124j 0.0075133+0.109457j -0.0843818-0.173464j 0.142262+0.000213837j 0.0727194-0.075571j -0.0363418-0.124646j 0.211904+0.165924j -0.103759-0.118499j 0.00985455-0.0324888j 0.0237863-0.0189262j 0.268498+0.142531j 0.0943204+0.126998j 0.00231151-0.0612118j 0.0358935+0.0465405j -0.110698+0.0351969j -0.212977+0.0140675j -0.169823-0.117445j 0.0387396-0.0424773j -0.183686-0.186125j -0.201863-0.203827j 0.0191236-0.202172j 0.0402441+0.120872j -0.213608+0.0817943j 0.0140477-0.00155243j 0.0462859-0.097299j 0.133628-0.0979748j 0.108518+0.0301859j 0.0143864-0.0403585j 0.0762204+0.0395007j -0.00499545-0.112864j -0.058777-0.0471739j 0.0451706+0.00693542j -0.0272575-0.00957052j -0.0428627-0.0322201j -0.00823672-0.0289319j 0.0106233+0.0201595j -0.001306+0.0370321j 0.00285156+0.00913395j 0.00416319-0.0112271j -0.0229451+0.0165795j 0.00656504+0.0179191j -0.00759453-0.0175061j 0.00931081+0.00819016j -0.0111347-0.0234985j -0.0262199+0.0121613j 0.0172733-0.046206j 0.00676936-0.0176227j 0.00497811-0.00527346j 0.0125224-0.0262367j 0.00841641+0.0356908j -0.0130003+0.0114696j -0.00346068-0.0272578j 0.00327075-0.0047966j -0.0274725-0.0682306j -0.0128931-0.000676601j -0.0185349+0.0177108j -0.00243179-0.016819j 0.00613427+0.00265797j 0.0153297+0.0240237j -0.00767961+0.0163554j -0.00542991-0.00298246j -0.020709-0.00157837j -0.0109216+0.000924633j -0.024378-0.022524j 0.010716-0.00272633j 0.0320149+0.0195567j -0.0023436+0.017769j 0.0106317-0.0169734j 0.0107203-0.0143411j 0.00770027+0.0146354j 0.0114589+0.000378533j -0.0187604+0.0122065j -0.029619+0.0242407j -0.0447032-0.0480428j -0.0115715+0.0199767j 0.0281224-0.00377614j 0.000517473+0.0212603j 0.0121458+0.0137349j 0.00480076+0.0329099j 0.0286841+0.0127398j 0.0140349+0.0328435j -0.0126428+0.0157883j 0.0036751+0.0134779j -0.0108744-0.0138575j -0.000265745+0.00672557j -0.00918992+0.00124486j 
0.0217373-0.00210862j 0.00563122-0.00986861j -0.0303568-0.00745743j 0.00178145+0.0482258j 0.00695104+0.0579509j -0.0235+0.0812423j 0.0634142+0.000751867j -0.0118174-0.0954051j 0.0347018+0.0176145j -0.0672785+0.0245819j 0.0200351-0.115056j -0.0490698+0.0847471j -0.000962373-0.0586553j -0.0328516+0.0926668j 0.125444-0.126756j -0.139499-0.0117855j -0.150499+0.0533416j -0.146179-0.0748024j -0.0852426-0.0519181j 0.0376331+0.100139j -0.110993-0.319009j -0.167593+0.043719j -0.141513+0.0975718j 0.00417099+0.000118624j 0.212208-0.237115j 0.00779576-0.0682843j 0.011468-0.246945j -0.0420898+0.144035j 0.12694+0.127679j -0.115947-0.0315827j 0.0438199-0.0155211j 0.0978259+0.139393j -0.0563714-0.0830862j -0.0294978+0.167183j -0.000852896-0.0984784j 0.0849005+0.0441808j -0.0503719+0.0849878j 0.0240891-0.0469341j 0.0637207+0.0102548j 0.0051322-0.0719064j -0.0260748-0.00660502j -0.00180167+0.0242109j -0.0332026-0.0663559j -0.0200032-0.00815004j -0.0329737+0.00851284j -0.0182478+0.0520929j 0.0178073-0.0372785j 0.00659697-0.0182568j 0.0226309+0.01345j 0.00470025+0.0237341j 0.00157105-0.00231681j 0.0223303+0.000970063j 0.00520373+0.0106821j 0.019222-0.0239113j -0.0140044+0.00425245j -0.0127588-0.032832j -0.0155769+0.00272891j 0.00699147-0.0108782j 0.045451+0.0145332j 0.0229009+0.000239613j -0.0319601-0.025568j -0.00646506-0.0222915j -0.00660917-0.037573j 0.00240375-0.0334958j -0.0152272-0.0281258j 0.0107295+0.000580186j 0.0444863+0.0211615j -0.0118684-0.000521654j -0.0374376-0.00929129j 0.00117088+0.014576j 0.00281203+0.0478413j -0.0100975+0.0415901j 0.0122112-0.00442086j -0.035276+0.00883064j 0.0250416-0.0116452j -0.0155036+0.000392909j -0.00279457-0.0168945j 0.0200351-0.00127778j 0.00862696-0.00449201j 0.0292292+0.0132699j 0.0159283-0.0035139j -0.011298-0.00373521j 0.0184717+0.00483394j 0.0218613+0.0116105j 0.0070912-0.013338j -0.00472956+0.00406221j -0.00946204+0.000931217j -0.0247894-0.00307519j -0.00859798+0.00433753j -0.00844135+0.00740591j -0.00975374+0.0207016j 0.0233601-0.00158939j 0.0160765+0.00959536j -0.00968519+0.012383j -0.01061+0.00940671j -0.00271832+0.00254733j 0.009811+0.0046899j 0.0138762+0.00235346j 
-0.0173912-0.00543093j 0.0124785-0.00720514j -0.0166961+0.00221185j 0.00516259-0.0374915j -0.0199892+0.0185077j -0.0259917-0.0284763j -0.0631579+0.0572809j 0.0380627+0.0507431j 0.0688523+0.133876j -0.062706+0.039417j -0.0642499-0.14702j -0.156519+0.0116543j 0.0450069-0.0559428j 0.0295354-0.103589j 0.0661895+0.00679097j 0.0770243-0.214021j 0.135978+0.12539j 0.13011-0.186515j -0.156088+0.0379695j -0.138085+0.0606017j 0.140738+0.17718j 0.0829127+0.0130653j -0.180502+0.0405198j -0.0885302+0.0535131j 0.0798962+0.0946981j -0.0570016+0.116718j 0.181325+0.0671641j -0.101859-0.00452246j -0.128456+0.219619j 0.0774145+0.0432537j -0.0612482-0.199247j 0.0273652+0.00453364j 0.113895-0.0644377j -0.0710841+0.0271052j -0.0424412-0.139234j -0.00669538+0.0421567j -0.010973-0.00487626j -0.0274568+0.030266j 0.0158526+0.0496536j 0.0487699+0.0105578j 0.0926286-0.052864j -0.0122077-0.0583184j 0.0152337+0.0105451j 0.0520938-0.00989465j -0.0105881+0.0301066j 0.0136048-0.0408899j 0.00428196+0.00473744j 0.00406492+0.0173359j -0.0249208+0.0041941j -0.003413-0.0263993j 0.013699-0.0230279j 0.0115137+0.00917976j 0.0147251+0.030392j 0.0105656-0.0494236j -0.0087196-0.00169389j -0.000241141-0.0220658j -0.000747215-0.032069j -0.0391159+0.0229901j -0.0207816-0.00799724j 0.000380247+0.0584816j 0.0256644-0.00860427j -0.00885651+0.00513778j 0.0258708+0.0160573j 0.0193296-0.00977521j -0.0172879-0.00417978j 0.0316406-0.0092043j 0.0113307-0.0178994j 0.0218328+0.00389166j 0.00860785+0.0246921j -0.00338178-0.0170837j 0.000788778-0.0130872j 0.00815944+0.0206931j -0.00459452+0.00340839j 0.0350155+0.0226404j 0.000192758-0.0196316j -0.0300987-0.0172402j 0.0121567-0.0070506j 0.0232601+0.0219765j -0.00298059+0.0140103j -0.0306001-0.00258951j 0.0104531+0.00367076j -0.0178294-0.0022284j 0.0112597+0.0297322j 0.0216071+0.0136662j 0.00173826-0.0120596j 0.00106966-0.0168718j -0.00350074+0.000892914j 0.00542675+0.0190456j -0.00484654+0.00229536j 0.00760221+0.00290849j 0.0118032+0.00358832j 0.00410183-0.0078769j 0.0075262+0.00406484j -0.0020984-0.00516109j 0.000101401-0.0162157j -0.00861425-0.00942235j 0.00757251+0.00572848j -0.0222347-0.00343211j 
0.00332463+0.00815843j -0.039111+0.0119056j 0.0284592+0.0382913j -0.0353071+0.0380063j 0.022338+0.0192332j 0.00691365+0.086921j 0.118816-0.0364782j -0.0295866-0.0292827j -0.0280681+0.00766743j -0.0317062+0.0227584j -0.0169927-0.0125156j 0.0410841-0.0804797j -0.0780383+0.0849077j 0.00124136-0.101712j 0.0463033-0.0777305j 0.0466187-0.0594487j 0.0939413+0.0938454j 0.0834737-0.0128155j -0.0980208-0.0145046j -0.0559415+0.0558676j -0.0472587+0.00411445j 0.0608668+0.14116j -0.0579919+0.106182j -0.0591134-0.16228j -0.0451252-0.227667j -0.292652+0.253458j -0.0100679-0.15995j -0.0206459+0.00734125j 0.110148-0.0777676j 0.285424+0.00177347j -0.110424+0.0541889j -0.0261846+0.0159148j 0.00919392+0.0491568j 0.0034172-0.121848j 0.0524175-0.0364442j 0.0395003-0.0328223j -0.0425249+0.0013821j -0.00323363-0.0168649j 0.0509407-0.0478399j 0.0295369-0.0728621j -0.0457677-0.0689681j -5.1456e-05+0.14556j 0.00430023-0.0112728j -0.0186367+0.00841335j -0.00206494+0.00293291j -0.00732852+0.0541754j -0.00578924-0.0109836j 0.0022319-0.0199673j 0.0387838-0.0104492j 0.0108449+0.0117046j 0.00963792-0.00692704j 0.0145869-0.0279804j 0.000829143+0.00874193j -0.0120571+0.016264j 0.0252862-0.0222j -0.0224002+0.019475j -0.0102444-0.00265922j -0.0334241-0.000858099j 0.0197443-0.0345172j -0.0212476-0.0146573j 0.0235278+0.00192822j -0.0161018-0.0291724j -0.0222217-0.0188438j 0.0287305-0.000166011j 0.0368549-0.0261873j 0.0369366+0.00643582j -0.0277+0.034393j -0.00507365+0.00534193j -0.0251513+0.00916579j 0.00263103+0.0220579j 0.0144986-0.0322473j 0.0102922+0.00298937j -0.00402066+0.00510389j 0.0134175-0.00242081j -0.0115123-0.0272413j -0.0208347+0.00593932j -0.0283178-0.000589241j 0.00618278-0.0115013j -0.00316041-0.0112946j 0.0146578+0.0134187j -0.00705688+0.00138963j 0.00585825+0.0304208j -0.00371327+0.0212084j -0.00847847+0.00754062j 0.0170404+0.00628116j 0.0067848+0.0113565j 0.0199089+0.00170859j -0.0205548-0.00929714j 0.0102516-0.0148578j -0.00430848-0.0032245j -0.0100741-0.0147287j -0.00207446-9.32886e-05j -0.00899102-0.00675724j -0.00853306+0.0111129j -0.0163454-0.000822609j 0.0101993+0.0149564j 0.0145152-0.000936143j 0.0206213+0.00446474j 
-0.00776588+0.0062046j -0.0315798+0.00480541j 0.0256592+0.0397436j -0.0149981-0.0126563j 0.00726984-0.0346644j -0.048612-0.0276901j 0.0208892+0.0660076j 0.0820428-0.0247187j 0.114247-0.0664349j 0.130261+0.0399873j -0.203453+0.1793j 0.127848+0.103376j -0.20465-0.16182j 0.0646809+0.0685151j 0.137449+0.209975j -0.0409285+0.152977j 0.303668+0.150445j -0.0224713+0.137935j 0.072535+0.270506j -0.0388524-0.03269j 0.139196+0.134418j 0.0723439-0.00129436j -0.153296+0.00963574j -0.0433592+0.112394j -0.0633171+0.0110362j -0.0691336-0.17171j 0.158544+0.0315692j 0.130595+0.0499014j 0.0758841-0.0713421j -0.0793674-0.200548j -0.0650053+0.0205331j -0.0535122-0.0801327j -0.0436608-0.0117972j 0.088828+0.0203529j -0.0514971-0.0221799j -0.0423548-0.0241997j -0.0537993-0.033154j -0.0483974-0.0163762j -0.0675492-0.0023645j -0.00950414+0.0381002j 0.00546689-0.0438224j -0.0364215+0.0773637j -0.0085266+0.0308185j 0.0260915+0.024703j 0.00147178+0.0231514j 0.00306212-0.000729148j -0.00700527-0.00646862j 0.00166414+0.0226792j -0.00312594+0.0273664j -0.043797+0.00760743j -0.0314913-0.00673419j -0.0301724-0.00609214j 0.0274194-0.0266317j -0.0676459+0.0248698j 0.00998256+0.0117823j -0.0292891-0.0382368j -0.0492087-0.0425907j 0.0221847+0.0214939j -0.0414327-0.00160671j -0.0291159-0.0181893j 0.00426262+0.0563081j 0.0150071-0.00340408j -0.0126385+0.00591561j -0.0137327-0.00367879j -0.00955888-0.00639214j 0.0219056-0.00745496j -0.00732309-0.0200204j 0.0372717-0.0160533j 0.00515765+0.0060367j 0.0206314+0.00651739j -0.0246637-0.00534218j -0.0185289+0.0185144j 0.0129258-0.000220013j -0.0183326+0.0068254j 0.00948211-0.0220154j 0.00424175+0.00320736j -0.014309-0.00859223j -0.000352504-0.00641419j 0.015685+0.00131721j 0.0142077-0.00968954j -0.00491259+0.00834228j 0.00919548-0.00428708j 0.0104071-0.0169902j 0.00598389-0.0105252j -0.00110436+0.0109521j -0.00526627+0.00124835j 0.00622048+0.00109805j 0.00352402-0.00442349j 0.00932117+0.00788375j -0.00550874-0.00490997j -0.00182651-0.0179235j -0.0130836+0.0048419j -0.0108562+0.000941919j 0.00101005+0.0016608j -0.00468433-0.0104976j 0.00289141+0.0157988j 0.0124815+0.000848818j 0.00316115+0.00285288j 
