-0.072934+0.323507j -0.333462-0.0712614j -0.0961255+0.127478j 0.164704+0.0939536j -0.0682564-0.0554046j -0.00178686-0.0149445j 0.102272-0.104277j -0.0459436-0.0313868j -0.000895409-0.0653882j 0.14005+0.042722j 0.0489322+0.0751819j 0.0165691-0.0425941j -0.110495-0.0668587j 0.00942081+0.074075j -0.025806+0.0626606j -0.0627111+0.0751049j -0.00666727-0.0441382j -0.0430432-0.0495326j -0.0281921-0.199271j -0.0275209+0.0228347j -0.0424396-0.123179j 0.0779385-0.0724286j 0.194649-0.162326j -0.148659-0.105585j 0.367369-0.0554186j -0.0567968-0.36021j 
-0.0634951+0.130592j -0.135405-0.064789j -0.0460088+0.0704813j 0.0948499+0.0425761j -0.0144308-0.0252689j -0.0032016-0.00355338j 0.0610204-0.0260448j -0.026976-0.027164j 0.00373307-0.0399164j 0.0605095+0.0279639j 0.025083+0.0419009j -0.00730856-0.0186723j -0.0531868-0.0517953j 0.00554473+0.0420858j -0.0151258+0.0495947j -0.0293287+0.033912j -0.0182538-0.00247862j -0.00987005-0.0174202j -0.0113299-0.121498j 0.000830258+0.00187612j 0.0109207-0.0505171j 0.0380359-0.0531618j 0.137484-0.0780306j -0.0834227-0.0837376j 0.123309-0.0737834j -0.0777909-0.117655j 
-0.0205528-0.0276753j 0.0240832-0.0212883j 0.00135714+0.00631531j 0.0206155-0.00254262j -0.000775749-0.0207206j 0.0153104-0.0138446j 0.0166189+0.000773206j -0.0204418-0.00450595j 0.00412959-0.033717j 4.58954e-05-0.0160667j 0.00105806-0.00690784j 0.0146356+0.0185473j -0.0107161-0.000195306j 0.0320762+0.00891532j 0.0331333+0.0158462j 0.0201613-0.0173176j 0.0118898+0.00585173j 0.00322413-0.0149936j 0.00495612-0.0188334j 0.0102392-0.00495131j 0.00974407-0.0129765j -0.00490573-0.015737j 0.0160489-0.00476706j 0.000638256+0.00927873j 0.00909347-0.0188349j -0.0195218-0.00597959j 
-0.0251449-0.00413998j 0.000810419-0.0278774j 0.00209058+0.0115303j 0.0219452-0.00714504j 0.0262591+0.0186838j -0.0194704+0.00901122j 0.0137311+0.0221369j 0.00814946-0.0141201j 0.00353754+0.00311609j 0.00871382-0.00148676j 0.00859423+0.00327617j -0.0252323-0.0118345j -0.00205139-0.0315183j 0.0207543+0.00350077j 0.000205176+0.00552085j -0.00672208+0.0121078j -0.0311542+0.0239463j -0.0084611+0.00547555j -0.00142955-0.0389418j 0.0244193-0.00619387j 0.0217614-0.000115888j -0.0136818-0.0245464j 0.0175783-0.00364504j -0.00443646+0.0153683j 0.000684299-0.0195065j -0.0201516+0.00289974j 
0.015252+0.0439195j -0.0427221+0.0128468j -0.00318709-0.00944429j -0.0274436+0.0036076j -0.00909902+0.0133396j -0.0184388+0.0108492j -0.00246655-0.00975251j 0.0174053+0.00958231j -0.000929257+0.0163564j 0.00199516+0.00571723j -0.00224056-0.00596131j -0.00741238-0.00933376j -0.00031734+0.00683914j -0.000988626-0.0033175j -0.00946124-0.0205161j -0.00529124+0.0171763j 0.007122-0.00844034j -0.0180175+0.00116483j -0.00113678+0.0173259j -0.0152808+0.00205451j -0.0180754-0.000727688j -0.00374478+0.0200483j -0.0259315-0.00335653j 0.00566658+0.0183953j 0.0505558+0.0231056j 0.0229409-0.0519558j 
-0.00980722+0.0223499j -0.0233777-0.00902295j -0.0169376+0.00411032j 0.008288+0.0225558j -0.000151474-0.00879531j 0.00872639-0.00451134j 0.00704647+0.00747441j -0.00366693-0.00164052j -0.000662046-0.00799923j -0.00482957+0.0207342j 0.000582993+0.0160104j 0.015526+0.00273798j -0.00239302+0.0129518j -0.0250742+0.00650667j -0.0107903-0.00437025j 0.0022178+0.00609016j 0.00586373-0.000901734j -0.0146368-0.00721957j 0.000140189+0.000542186j -0.0154394-0.000635716j 0.00764667-0.00139276j -0.0041379+0.0143566j -0.00706333-0.032095j -0.0360343+0.00269855j 0.0285649-0.0121903j -0.0103907-0.0275091j 
0.00698194-0.0298052j 0.0296028+0.011019j 0.0121113-0.00561463j -0.00744121-0.00962623j 0.00216199-0.00205887j -0.00582494-0.000661469j -0.0154455-0.00796613j -0.0123461+0.00105261j -0.00590348+0.0194568j 0.00645197-0.00949664j 0.0122813-0.0105244j -0.0046575-0.0114875j 0.00318245+0.00629216j 0.00214644-0.022728j 0.000252392+0.0146005j 0.000426817-0.00641595j -0.0102999+0.00479565j 0.0166943+0.000981467j -0.00599398-0.00537566j 0.00810866-0.00242854j -0.00656531+0.00915043j -0.00112576-0.0126409j 0.0101168+0.00976929j 0.0176336-0.0158156j -0.0211882+0.0116705j 0.0120061+0.0212599j 
0.00557249-0.00183802j 0.00232733+0.00811259j 0.0101579+0.0269363j 0.0326792-0.0111736j -0.00981287-0.00839771j 0.0051911-0.0280293j 0.0101816+0.0137794j -0.00140997-0.00857255j 0.0170062-0.011115j -0.024741-0.000160415j 0.00890575+0.0106654j 0.00997445+0.00713951j -0.00836462-0.00769945j -0.016707-0.018462j -0.00770627-0.00554337j -0.0151612+0.0230498j -0.0161981+0.00216166j 0.000752624+0.00440399j -0.0118121-0.00134177j 0.0147089-0.00895504j -0.00387564-0.00458202j -0.0042013-0.0127339j 0.00211863+0.010672j 0.0115602+0.00210922j 0.00506561+0.00852395j 0.00922712-0.00639605j 
-0.0037367-0.0164943j 0.0163126-0.002133j -0.0141027+0.00715681j -0.00509123+0.0111732j -0.00748537-0.0192778j 0.00220769+0.00285281j 0.00149679+0.000110787j -0.0292345+0.00998774j -0.00753199+0.0143682j 2.22673e-05+0.0163338j 0.0167252-0.00305688j -0.017818-0.0179863j 0.00815542+0.0152346j -0.000983089-0.0249537j -0.0164831+0.0173695j -0.00660665-0.00553898j 0.00813868+0.0115212j -0.00495318+0.000640038j -0.00127884-0.00558994j 0.00170877-0.00593608j 0.0162135+0.0027828j -0.0094804+0.0104743j -0.0183993-0.00194107j -0.00196369+0.0179943j -0.00105376-0.004045j -0.00304066+0.000854893j 
-0.0108594-0.0313304j 0.0280542-0.00457241j 0.000804543+0.0178769j 0.0193792-0.000708557j 0.0230423+0.00131278j -0.0149466+0.00770584j -0.00471345+0.00125323j 0.00767596-0.00876184j -0.001948+0.0129687j 0.00862347-0.0133188j 0.00406968-0.00101984j 0.00408644-0.0114435j -0.0106092-0.00648915j -0.00272995+0.00437109j -9.37872e-05-0.015025j -0.000430075-0.0101263j 0.0141403+0.0122799j -0.0132761-0.00197218j -0.000230933+0.00250595j 0.0101634-0.0161268j 0.000717611-0.0048707j -0.0101234+0.0151296j -0.0233448-0.00651877j 0.00312538+0.0147146j -0.00295756-0.00124032j 0.0039137+0.000972536j 
0.00776227+0.0194463j -0.0186868+0.007831j 0.000817241-0.00218311j 0.00256242-0.000600115j -0.0156011+0.0014631j 0.00362763-0.00309172j -0.00219792-0.017403j -0.00212906-0.000801735j 0.00228887-0.00635016j 0.00688909-0.000794237j -0.00646221+0.00298806j 0.000640605-0.00418358j -0.00310125-0.0164915j 0.00296003-0.00228244j -0.00588665+0.00211956j -0.0143957-0.00247168j 0.00900754-0.00366882j 0.0117063-0.0070667j 0.00160978+0.0057657j 0.0202358+0.00361473j -0.00347515-0.0118835j 0.00224668-0.0127608j 0.00148509+0.00566274j -0.0079685+0.00198218j 0.0181538+0.00664792j 0.00805048-0.0190192j 
