0.00429951+0.00355638j 0.00752978-0.00116484j -0.0062445-0.000115599j -0.00557162-0.00169222j 0.000646159-0.000416055j -0.00144182+0.000185696j -0.00697558-0.000795908j -0.00235069-0.000110044j 0.00240242+4.49367e-05j 0.00203494+0.000305605j -0.00323445-0.000254755j -0.00014386-0.000164178j -0.00275503-0.000128506j -0.00166844+4.9641e-05j 0.00316217-0.000207775j 0.00195967+0.000242256j -0.00145392-1.76316e-05j 0.00186542-0.000563764j -0.000603041-0.000468396j -0.0032514-0.000166953j -0.00246091+0.000225993j -0.00174382-0.000460529j 0.00125847-8.7056e-05j -0.00513689-6.13788e-05j -0.0019666+0.000553763j 0.000303886+0.000552422j 0.00293969+0.00235529j 0.00607165-0.00101127j -0.00152877-0.0015451j 0.00547077+0.00806731j 0.0133397+0.00481547j 0.0234363+0.00170898j 0.000254863-0.00803098j 0.01204+0.00175771j 0.00094661-0.00165907j -0.000508359+0.00377393j 0.00629948-0.000542437j 0.000437722-0.00624641j -0.000631515+0.000252975j -0.00200098+0.000812318j 0.00230029+0.000168113j 0.00241503-0.00442007j -0.00113863+0.00225968j 0.000541766+0.00257316j -4.65069e-05+0.000349986j -0.000752257+0.00307431j 0.00172738-0.000131416j -9.54019e-05-0.00264894j 4.09434e-05-0.000717113j -0.00125153+0.00425541j 0.000117814+2.13329e-05j -0.00019476-0.00211045j -0.00165077+0.000544318j 0.000433839-0.000312219j -0.000394375+0.00178199j -0.000617226+0.00331574j 0.000535851+0.000824497j 0.000306642-8.37411e-05j 4.31583e-05+0.00210775j 0.000983014-0.000378506j 0.000946013+0.000582507j -0.0015735+0.00377245j -0.00016823-0.00133584j -0.000854543+0.00324613j 0.000773583+0.00172349j -0.00203257+0.00635668j -0.000162755-0.00368045j 0.00118903-0.00296778j 0.00148434-0.00638385j -0.0015568+0.0103629j 0.000616012-0.0779284j 0.044744-0.0203608j 
0.00744357-0.00117903j -0.00441007-0.00354524j 0.00449015+0.00146908j -0.00557417+2.40375e-05j -0.00200721-0.000612821j 0.00479538+0.000314655j -0.00239938-0.000107519j 0.00368843+0.00049681j 0.000802341+0.000291187j 0.0032189+0.000872976j -0.00183723+0.000110725j -0.00459434-0.000500853j 0.000402439-0.000296462j -0.00284068-0.000209623j 0.000645309+0.000267725j -0.000716343-0.000513047j 0.00306891+0.000309329j 0.00254427+0.000312819j -0.00236737+0.00016602j 0.00185048+0.00049574j -0.00212183-3.16701e-05j -0.000965432-8.52045e-05j 0.00626005-0.000207106j -0.000537662+0.000745649j 0.00527552+0.000474732j -0.000528339+0.000165156j 0.00693594-0.00108771j -0.00471037-0.00254852j -0.00541984-0.00800553j -0.00214757-0.00172844j -0.0232782-0.00163267j 0.0130536+0.00485796j 0.0119105+0.00137982j -0.000796409+0.00851537j 0.00173457+0.000978361j -0.00353442-0.000119289j -0.000249973+0.00739933j 0.00478927-0.000522473j -0.000126741-0.00107247j -0.000241977-0.00283176j -0.000950673+0.00381082j 0.0022829+0.00267436j -0.000985999-0.00137126j -0.00172887+0.00215813j -0.000233605+0.000204535j -0.0015793-1.56895e-06j -0.000583624+0.00343518j 0.00152418-0.00151113j 0.00052272-0.000318514j -0.00179617-0.000603134j -0.000102574+0.000366495j 0.00158418-0.00178505j 0.00054032-0.00365933j -3.01591e-05+0.00106053j -0.000645809-0.000151989j -0.00144607+0.000373452j -0.000651391+0.00191964j -0.000300862+0.00108824j -0.00122595+0.00154625j -0.000558092+0.00278331j -0.000783756+0.00373971j -0.000362636-0.00257687j 0.00113318-0.00146039j -0.00107538+0.0004775j -0.00167113+0.00469254j -0.000580881-0.00365388j 0.00200901-0.00527454j 0.000316334+0.000359568j -0.00185785+0.0100272j -0.00137226+0.00618491j -0.0447031+0.0201092j 0.000596548-0.07817j 
0.00715045-0.00196809j -0.00041374-0.00472697j 0.00386365+0.00169003j 0.00379372+0.00423217j 0.00786184+0.00171287j 0.00224779+0.000453061j 0.000527907+0.00330199j -0.00124862-0.000635204j -0.00409273-0.0020088j -0.00535621-0.00200308j -0.00515971+0.000991661j 0.00197393+0.00101854j 0.00200722+0.00119599j -0.00218502+0.000712921j -0.0014792-0.00140704j 0.00235505-0.000710126j 0.000260237+0.000225575j -0.00246764-0.00154404j -0.00446512-1.091e-05j -0.00219823+0.00107915j 0.00295702+0.00207397j 0.00199428+0.00151432j 0.00454541-0.0010644j -0.000503319+0.00365688j -0.00344385+0.000182526j 0.0050587+0.00184658j 0.00730397-0.00408489j -0.00546711-0.00774733j 0.0158629+0.00125466j -0.0135007-0.00538181j 0.0178788+0.00843498j 0.0156881-0.00712046j -0.00535618+7.39215e-06j 2.02108e-05-0.00163858j -0.00654365-0.000338411j -0.00196881+0.00610995j 0.000758839+0.0020151j -0.00589161+0.00417798j 0.00157041-0.000843653j 0.0031973-0.00281309j 0.000188009+0.00534056j -0.00110124-0.00185045j -0.000669698+0.00222328j 0.00285336-0.00358801j 0.00248806-0.00311656j 0.00248203-0.00457345j 0.000626066-0.000466632j -0.00236823+0.00051943j -4.28722e-05+0.00114185j 0.00210048-0.00221294j -5.68578e-05+0.000776543j -0.00427059+0.00589283j 0.000699903-0.00290989j -0.00016756-0.00128498j -0.000366607+0.00318184j 0.00172106-0.0011697j -0.000694686+0.00379673j 0.00121021-0.00520117j -0.000456308+0.00225311j 0.000816705-0.00171276j 0.000317906+0.00462508j 0.000603373+0.000370127j -0.00281294+0.00948785j 0.00323594-0.00719014j 0.000482685+0.00634962j 0.00300252-0.00805819j -0.00240523+0.000271734j -0.000895566-0.0133423j -0.00315893+0.0649788j 0.0424075-0.0241863j -0.0067627-0.0535108j -0.031611+0.0195869j 
9.33563e-05+0.0047192j 0.00744927-0.00195539j 0.000735789+0.0030932j -0.00245823-0.00134169j -0.00151354-0.0012422j -0.00537389+0.00134164j -0.00344394-0.000821035j 0.00439885+0.00311658j 0.00558887+0.000996578j 0.00391423+0.00235464j -0.0014813-0.000732968j 0.000546456-0.00212979j -0.0020785+0.000113899j -0.000261751-0.000838991j 0.000504547-0.000733857j -0.00123764-0.00118347j 0.00166172+0.00239735j 0.00887999+0.00270682j 0.00824605+0.000353171j 0.00202065+0.00206409j -0.0058388-0.00165883j 0.00106345-5.79927e-05j 0.0053149+0.00442934j -0.00672466-0.000451815j -0.00324273+0.00310445j -0.0139055-0.00207384j 0.0115263+0.00951286j -0.00188199-0.00708293j -0.0156079-0.00575758j -0.0189627-0.00244716j 0.014789-0.00726285j -0.019452-0.00903777j -0.00124247+0.00214836j -0.00439812+0.00186916j -0.00140453+0.00782398j 0.00411646+0.00349133j -0.00139683-0.000461322j 0.00159338+0.00287941j 0.000253968-0.0032137j 0.00063746-0.00537543j 0.0011191-0.0018822j -0.00246616+0.000296943j 0.00142181+0.0019081j -0.00189124-0.000110357j -0.000680623-0.00340669j -0.00154112+0.00089548j -0.00164135-0.000319276j 3.93504e-05+0.0010708j 0.00103783-0.00184798j -0.000193016+0.0010146j -0.000169429+0.000647754j 0.00210341+0.00426925j 0.000993975-0.00172505j -0.0012698+0.00253109j 0.00124842+0.00104642j -0.000424494+6.62235e-05j 5.52927e-05+0.00187035j -0.00236346+0.00276927j -0.00104303+0.00524123j -0.00168277+0.000440576j 0.000667439-0.00291235j 0.00226136-0.00173365j 0.00325652-0.00288441j -0.000195496-0.000103262j -0.00396068+0.0115712j 0.000580303+0.00660313j 0.00132106+0.00388729j -0.0013167-0.000411324j -0.0400152+0.0165605j -0.00311722+0.0726161j -0.0314164+0.0175304j 0.00671532+0.0518178j 
-0.00299151-0.000339319j -0.000675493+0.00209095j 0.00181365+0.00029207j -0.00318385+0.000482966j -0.00437388+0.00113495j -0.00664924-0.00134369j -0.00223125-0.00197599j 0.00201772-0.000458701j 0.00229025+0.000206529j 0.00463654+0.000517868j 0.000118314-0.00161016j 0.000483219+0.000752201j -0.000413005-0.000366005j 0.000738816-0.000698095j -0.00193236+0.000347136j -0.00146569+0.00059625j 0.00126267-0.000471687j -0.000472908-0.000239181j 0.00620046+0.000577287j 0.00207487-0.00137087j 0.00106775+0.000304114j -0.00609904-0.000777336j -0.00899202-0.000826444j -0.00366178-0.00295656j -0.0082228-0.00707742j -0.0152136-0.000380273j 0.00955948+0.0027584j 0.00792926+0.00783124j -0.00623687+0.00600775j 0.0357428+0.00660521j -0.0165058+0.000512111j 0.0311131+0.0123099j 0.00728609+0.00399832j 0.00698808+0.00787612j 0.00177611+0.00929348j 0.00052306+0.000712698j 0.0052519-0.000884676j -0.00040386+0.00483607j -0.000502937-0.000719495j -0.00257845-0.00028299j 0.000670731+0.000261336j 0.00310884+3.06027e-05j -0.00157802+0.00115837j 0.00209533-0.00119459j 0.00221996-0.00475779j 0.000794245+9.59134e-05j 0.00335646-0.00520053j -0.000479546+0.00161251j 0.000101647-0.00417085j 0.000156139-0.000729261j 3.00194e-06+0.00242288j -0.00191808-0.00326214j -0.00135224-0.000155642j 0.00109986+0.000496652j -0.00209312-0.00042324j 0.00101327+0.00151903j -0.00148255+0.00529429j 0.00318135-0.00177071j 0.000279299+0.00425473j 0.00360378-0.00520788j 0.000376777-0.00599846j -0.00145997-0.00798553j -0.00611845+0.00553826j 0.00170277+0.00459314j 0.000579905+0.00733576j -0.00550361+0.000599294j -0.00608513+0.0444745j 0.0400606-0.0265908j 0.00405385-0.0400798j 0.0250722-0.0189691j 0.00551588-0.00920678j 0.00237584+0.0548459j 
-0.00389567+0.002118j 0.00209747+0.00261639j 0.00216836-0.0013212j 0.00754907+0.000324033j 0.00982636+0.0023935j 0.000895107+0.0021294j -0.00312261-0.00185419j -0.00601726-0.00191816j -0.00146983-7.96425e-05j 0.00118509+0.000759975j -0.00155297-0.00119742j 0.000841359-0.00138296j -0.00163214-0.0005208j -0.00756119-0.00304658j 0.00789065+0.00282362j -0.00157719+0.00042627j 0.000201589+0.000395835j 0.000293971+0.000515002j -0.00235593-0.0029207j 0.0020785-0.000439231j 0.00413222-0.000331124j 0.00787882+0.00153026j 0.00788153+0.00597572j 0.00467994-0.00192709j -0.0139034+0.00060457j 0.0220836+0.010227j -0.00292245+0.00376739j -0.0103127+0.000416738j -0.0278637-0.00182151j 0.00365645+0.00916197j -0.0358491-0.00984726j -0.0190589+0.00170489j 0.00443396+0.00348782j -0.00982213-0.00616351j -0.00314515+0.000280314j -0.00588235+0.00725922j -0.000990533-0.000193659j 0.001949+0.00235629j -0.00123099+0.0042922j -0.000861934-0.00248185j -0.00289384+0.00104612j 0.00362243-0.00216999j -0.00216516+0.00374597j -0.00131033-0.00355431j 0.000258592+0.000571174j -0.00112396-0.00316059j 0.00159946-0.00184649j 0.0023513+0.00216505j 0.00115969+0.000214936j -0.00300461+0.00205175j -0.00148455+0.0020131j 0.0045083-0.00158911j -9.60461e-05+0.00190417j 0.000982344-0.00313876j 6.63692e-05-0.00296087j -0.00504956+0.0111303j -0.00205069-0.000516318j 0.00155618-0.00437477j -0.00236666+0.00477458j 0.000464659-0.00197434j -0.00137139-0.00659463j -0.00243703+0.00405393j 0.000712263-0.00784399j -0.000670998-0.00676365j -0.00187694+0.00683513j -0.00278589+0.036738j 0.0331562-0.0177226j 0.00665207-0.0588238j 0.003302+0.0123794j -0.00785335-0.0078728j -0.00317225-0.0676161j 0.0090418-0.00962057j 
0.000617386+0.00574992j 0.00691178-0.00210334j -0.00212062+0.00266005j -0.00457264-0.000565473j -0.000679085+0.0011998j 0.00225647+0.00282057j 0.00152925+0.00119494j -0.00334746-0.00056333j 0.00314105-0.00147335j -0.00291286-0.00220936j 0.00260379-0.000839776j -0.0012244-0.00154164j -0.00150451+0.00108276j 0.000531635-0.00105297j 0.00864084+0.000918128j 0.001986+0.000604239j -0.00520123+0.000232581j 0.00277785-0.00179515j -0.00167679-0.00469741j -0.00500945-0.000899006j -0.00718697+0.000748452j -0.000714059+0.000199562j 0.00229843+0.00443702j -0.0060768+0.00358475j 0.0126854+0.00883152j -0.000982079+0.00195367j -0.0312351-0.00335342j 0.0161217+0.000102161j -0.00993289-0.00129942j 0.00705201+0.0070615j 0.00894106-0.00245758j -0.0167369+0.00153715j -0.00297012-0.00559653j -0.00115116+0.00618146j 0.000830447+0.000412936j -6.65059e-05-0.00258938j -0.00562265+0.00443399j -0.0036585-0.00216514j -0.00194869-0.000216466j 0.00302833-0.00723977j -0.00339682-1.80255e-05j -0.00215747+0.00121048j -0.000601188+0.00201835j 0.00173663-0.000199727j 0.00212096-0.00544193j 0.00446608-0.00120011j -0.00160964+0.00681848j -0.00137888+0.00316702j -0.00128414+0.000511449j 0.00263783-0.00166606j 0.000550042-0.00456537j -0.00153359+0.00474123j 0.00218781-0.00435684j 0.000340225+0.00101638j 0.000778495+0.003287j -0.00044416-0.000400743j -0.00227881+0.00659089j 0.00428898-0.00876167j -0.000336309+0.00677121j 4.04812e-05-0.00142331j -0.00430269+0.00200161j -0.000376396+0.00381017j -0.00547498+0.00461803j 0.00357194-0.00327477j -0.0040135+0.0321994j 0.0344877-0.0194375j 0.0020745-0.0439081j 0.0113913-0.0055984j -0.0106184-0.0671049j 0.0356735-0.0458836j -0.00918027+0.00261853j -0.00502038-0.0405211j 
0.00608754-0.00181721j -0.000893498-0.00581969j 0.0107604+0.00159115j 0.00581518+0.0044321j 0.00566979+0.000872363j -0.00207943+0.00105455j 0.00306534+0.00441327j 0.00237261-0.00112647j -0.00322397-0.00367865j -0.00838123-0.00387716j -0.00448163+0.00200083j 0.00189862+0.00115821j 0.00651745+0.00257805j -0.0046689+0.00100683j -0.000868297-0.00185925j 0.00353713+0.000386807j 1.02724e-05-0.00108611j -0.00928212-0.00748354j -0.002559-0.00316208j -0.00181988-0.000354303j 0.00898674+0.00597351j 0.00431871+0.000576968j 0.00820717-0.00690809j 0.00925468+0.0093783j -0.00750285-0.000794785j -0.00199482+0.00784807j 0.000525085-0.00682j 0.0382876+0.0113447j -0.0192674-0.00579911j 0.00104653+0.0111976j 0.0010533-0.00652308j 0.000695304+0.000114316j 0.00052644+0.00700025j -0.00716599-0.000472809j -0.00277181+0.000790645j 0.00341187+0.000949378j -0.000591326-0.000949315j -0.000844228-0.000371084j 8.28143e-05-0.00475042j 0.00105332-0.00196319j 0.000648346+0.000253104j -0.00217055+0.00228176j 0.00128626-0.00314717j 0.000860393-0.0012237j 0.000627831+0.00156505j 0.000346164+0.000897847j -0.0016621+0.00269755j -0.00197684-0.000160381j 0.000234446-0.000188281j 0.00144059-0.00143041j 0.0011113+0.0010718j -0.000685698+0.00718078j -0.000563399-0.0028982j 0.000561085+0.000759223j 0.000123642+0.00316161j 0.00221581-0.00507969j -5.54952e-06+0.00357231j 0.00155464+0.000523874j 0.00308611-0.00193447j 0.000600262-0.000634883j -0.00199789+0.00833672j 0.000186818-0.00209201j -0.00247127+0.0108562j -0.00072502-0.0135177j 0.0298162+0.000783114j 0.00691123-0.0522009j -0.00473207+0.0149086j 0.0030009-0.0569376j 0.0388952-0.0283549j 0.0113022+0.0576874j 0.00613283+0.0103171j -0.00615017-0.00197081j 
-0.00150146+0.000686271j -0.0017202-0.00197505j 0.0105693+0.00391528j 0.000462743+0.00381991j 0.0035962+0.0031958j -0.00266731+0.00180615j -0.000310339+0.00181445j -0.00415818-0.00133081j 0.00090807-0.00204569j 0.00250968-0.00221455j 0.00404529+0.000309535j -0.00307819-0.000252727j 0.0046131+0.00220898j -0.00913564-0.00243686j 0.0089797+0.000604603j -0.000433098+0.000319045j 0.000386223+0.00056253j -0.00331402-0.00283747j 0.0100279-0.00104207j 0.0115669+0.00237016j 0.00575968+0.00323103j 0.00356491+0.00603401j 0.0141327+0.00758222j 0.0130897+0.00664992j -0.00888546-0.00240584j -0.00518544+0.00157709j -0.028097-0.00344122j -0.0289386-0.0144084j 0.0122538+0.0176395j 0.00709333-0.00668465j -0.0156133+0.00442939j -0.0131741-0.00367329j 0.00731723-7.6609e-05j -0.0126006+0.00520186j -0.00222575+0.00555198j -0.00190151+0.00157137j -0.00414378+0.00185645j 0.000106532-0.00062679j -0.00133727+0.00280159j 0.000275865-0.0055742j -0.00405384-0.00140532j 0.000322014+0.00316179j -0.000514249-0.000120775j -0.000446807-0.00420896j 0.00168309-0.00305889j 0.000676812-0.00082379j -9.59245e-05+0.000743372j 0.000804987+0.00382866j 0.000720006-0.00318564j 9.36085e-05-0.000657636j -8.02915e-05-4.13178e-05j 5.21965e-05+0.00146712j 0.00141232-0.00110078j 0.000282635-0.00246937j -0.00104359+0.00219914j 0.000951879+0.00342438j 0.000185992+0.00834464j -0.00107765-0.0048419j 0.000310826+0.00361896j -0.00180323-0.0067229j -0.00320014-0.00683986j -0.00210914-0.0172101j 0.000181272-0.00975281j 0.0204864-0.0134158j -0.00244074+0.0550295j 0.00076863+0.0136219j -0.00135003+0.04358j -0.0252452+0.0160315j -0.012475-0.00435512j 0.00703961+0.0264893j -0.000701941+0.00107396j -0.00638015+0.011769j 
-0.00571649-0.00067711j 0.00250231+0.00305706j 0.00421043-0.00118459j 0.00887914+0.00313501j 0.00551776+0.00289438j -0.000202796-0.000924749j 0.00654012+0.00179856j -0.000257895-0.0017464j 0.0039915-0.000229321j -0.0089979-0.00467552j 0.000529322-0.00183126j 0.00853295+0.00375575j -0.00718458-0.00218624j 0.00631223+0.00273656j 0.00285499+7.87616e-05j 0.00209035+0.00199862j -0.00867565-0.00360346j 0.00018853-0.00111693j 0.00380499-0.00217393j -0.00794216-0.00761088j -0.00837816-0.00120021j 0.0176078+0.00284805j -0.0044856-0.00541663j -0.0179739-0.00823823j -0.00587536-6.88154e-05j -0.0131125-0.00362752j 0.00521961+0.00153443j 0.00535263+0.00369208j -0.00392957+0.00723453j -0.0100553+0.0096j 0.0298083+0.00745066j -0.0257427+0.00905926j -0.0123494+0.00221055j -0.00884252-0.00039203j -0.00422461-0.000817364j 0.00460942-0.000984903j -0.00604723+0.00296179j -0.0033176+0.00132955j 0.000230422-0.00478804j 0.00475919-0.0104797j 0.00287819-0.00627207j -0.00622073+0.00225597j 0.00211534+0.00235186j 0.00110837-0.00169695j -0.000708949-0.00263479j 0.00229132-0.00508516j -0.000935045-6.45703e-06j -0.000345147-0.00204472j -0.00226999+0.00876634j 0.00175974-0.000978363j -9.15947e-05+0.00118405j -0.00406141+0.0170162j -0.000754703+0.00266923j -0.00101609+0.00569518j 0.00145037-0.00604075j 0.00272321-0.000460087j 0.00140182+0.00158511j -0.000133523-0.00938198j 0.00166735-0.00335137j -0.000818338-0.00468116j -0.00191146-0.00756637j -0.0135972+0.0276181j -0.015906+0.0276327j -0.00245336-0.0502034j 0.00942373-0.0257163j -0.000486918+0.0210902j -0.00642372-0.0115572j 0.000942462+0.020702j 0.000142269+0.0177459j 0.0117046+0.00451522j 0.00588777-0.0167602j 0.00146717+0.0078396j 
-0.00165811-0.00469147j -0.00627497-0.000469781j -2.85895e-05+0.00143008j -0.00294893+0.00261448j -0.00489448+0.000575368j 0.00470799-0.0021564j -0.000447445+0.00115047j 0.000946695-0.00120619j 0.00573335+0.00238566j 0.00960238+0.000939902j 0.0136326+0.00416726j -0.00253899+0.00163131j -0.00256923-0.000745763j 0.00254286+0.000756029j -0.000450601+0.00208794j 0.000688012+8.79811e-05j 0.000198907-0.00247808j 0.00412356-0.000390327j 0.0115706+0.00738484j 0.0193728+0.00443447j -0.00955407-0.000803403j 0.00969416+0.00799739j -0.000337744-0.00332276j -0.00381913-0.0033954j -0.00270627-0.00369186j 0.0121602+0.00222549j -0.00210079-0.00703064j 0.0312945+0.0125977j -0.0275063-0.000875826j 0.00426995-0.00358647j -0.0248938+0.0105984j -0.0290707-0.0054517j 0.00416925-0.00325869j -0.00734307+0.00414323j 0.00196835+0.00346678j -0.00185787+0.0011962j -0.00475333+0.00700754j 0.00192298+0.0051509j -0.00303316+0.00445557j -0.00168346-0.00302352j -0.00235996-0.00289317j -0.000661616+0.00258409j 0.000947061-0.00114384j 0.000923482-0.00481618j -0.00161827+0.00260888j 0.000955449-0.00397707j 0.000241403-0.00138019j -0.000490921+0.00110642j 0.000389909+0.00264836j 0.00161598-0.00619965j 0.000154767-0.00085976j 0.00245816-0.00512681j 6.70803e-05+0.0025909j 0.00152721-0.00530925j 0.00110957-0.000521417j -0.0020195-0.00272126j -0.00310152-0.00109211j 0.00550577-0.00555942j 0.000919378-0.0101425j 0.00495615-0.00162928j 0.0143735-0.0181387j 0.00270894-0.041957j -0.00890453-0.0213323j 0.0116392-0.0265569j 0.00624027-0.0400725j 0.00465202+0.0128783j -0.00391305-0.0322954j 0.0223533-0.0193055j -0.00315988-0.00233009j 0.00119082-0.0251153j 0.0023991+0.0109099j -0.00370803+0.0147038j 
