0.075741+0.0826618j -0.0216409+0.0233663j 0.231936+0.0389636j 0.11966+0.199283j -0.14093-0.250831j -0.0352731+0.182742j -0.109121+0.357853j 0.0188194+0.0160251j -0.113473+0.192871j 0.06573-0.0565529j 0.121704-0.00731528j 0.029901-0.0372402j -0.08844+0.122621j 0.0141956-0.233737j -0.209757+0.118638j 0.0305947-0.0259484j 0.0239975+0.0821762j 0.0238277+0.102166j 0.00705107-0.0817898j 0.0290554+0.020819j -0.103028+0.0363275j 0.0425205+0.00657752j -0.0289337+0.0106428j -0.0138229+0.000229428j -0.0422076+0.00518982j -0.095206-0.0249854j 0.0078833+0.060383j -0.0199937+0.0637885j -0.004297+0.0370742j -0.0237691-0.073105j 0.0313817+0.02664j 0.012185-0.00939645j -0.00258398-0.0463158j -0.00633482-0.0207117j -0.0414689-0.0336894j 0.0735849-0.0262791j -0.0508844-0.0398989j 0.00531421-0.00120925j 0.00251333+0.00245238j 0.00816427+0.0201653j -0.00498982-0.0193419j -0.0114435+0.0211424j 0.0244123+0.0137302j -0.0106193-0.0200044j -0.00254943-0.0211445j -0.0185254-0.0289865j -0.012845-0.0193598j -0.0180252+0.0267423j 0.0415996-0.0446228j -0.00820806-0.00699156j -0.00241885-0.00165581j 0.000799551+0.0164575j -0.0123178+0.0166707j -0.0109185+0.00611859j 0.00648125-0.0328138j 0.0167531+0.0199043j -0.0389219-0.0107589j 0.0220513+0.00491077j 0.0301921-0.000781429j 0.0344032-0.0127034j 0.0245776+0.016506j -0.00949892-0.0243311j -0.00601566+0.0300387j 0.0307826-0.0085002j -0.00926509+0.0200868j 0.0181343+0.00274329j -0.0190256-0.0324217j -0.0183788+0.00467303j 0.0179654+0.0111359j -0.0221557+0.00883083j -0.00294364-0.00620659j -0.0479688-0.0188432j 0.0111783-0.00956926j 0.0410792+0.00681932j -0.00893563-0.00206002j 0.00298785-0.0253328j -0.0156152-0.0225267j 0.0136094+0.0190249j -0.0068219-0.0241774j -0.00583377+0.0223924j -0.012502-0.0368081j 0.00490122-0.0293349j 0.00764347+0.0328472j -0.00759397-0.0196108j -0.0265214-0.00622059j 0.00428454-0.0188687j -0.0264415-0.00759151j -0.00158105+0.00743594j 0.0289515+0.0584453j 0.0315443+0.0343925j -0.0396888+0.0441382j -0.0351853-0.00478412j -0.0115627-0.0162944j 0.08469+0.0914334j 0.0343279-0.062667j -0.105887-0.049518j 0.00619368-0.0360626j 
0.00889484+0.0580363j -0.0902494-0.0416475j 0.0927984+0.227443j -0.2299+0.127945j -0.022979+0.00530084j -0.023836+0.131049j 0.0342825-0.0473879j -0.204921+0.0637769j 0.176257-0.0597376j 0.0986558+0.222542j 0.00556217-0.138904j -0.359455+0.094067j -0.0933638-0.187433j 0.076832-0.0475708j -0.0337537-0.253791j 0.0636628+0.0538732j -0.0185236+0.0632032j -0.0183977+0.0877263j 0.0293428+0.0106658j -0.00790972+0.0317651j -0.0190087-0.0113322j -0.0395483+0.0235494j 0.03101-0.0325497j -0.0355539-0.010223j -0.0849596+0.0255161j 0.049896+0.0850152j -0.00597845-0.0212368j 0.0500165+0.0385553j 0.0190713+0.0231853j -0.0812395+0.0412675j 0.0429188+0.0327212j -0.0197933+0.0161388j -0.0224926-0.00888103j 0.0384903+0.0525807j 0.0277557-0.0341638j 0.0297927+0.00856169j 0.0630623-0.0197753j 0.00237793-0.001771j 0.00522337+0.000467741j 0.00769147+0.0246771j 0.010683+0.00624191j -0.0173909-0.00633813j 0.00210478+0.0268797j 0.0012735-0.00218517j 0.0108235-0.00916341j -0.00368591-0.00440158j 0.000157649-0.0326732j 0.0142388+0.0106066j 0.01843+0.0162186j -0.00637121-0.00257577j -0.00301705-0.000484319j 0.0053562-0.0139893j 0.0155283+0.000665385j -0.00886726+0.00450765j 0.0171071-0.00256834j 0.0313894-0.0199519j 0.0267922+0.0122692j -0.0114346-0.0108598j -0.0186607-0.00792085j -9.37612e-05-0.0159304j 0.0240282-0.0260706j 0.00576477+0.00792867j 0.0527657+0.00449671j -0.00370232-0.0121207j -0.0123601-0.000663164j 0.0217481+0.0217393j -0.0330017+0.0105256j -0.00105894+0.00889149j 0.00603877-0.00776714j 0.0264079+0.0108401j -0.0136014+0.0178902j 0.00375095+0.0415049j 0.00572313-0.0206324j -0.0172793-0.0274021j 0.0205102+0.000936074j -0.0221061-0.0159184j 0.000731712+0.0238485j 0.0368859+0.0191747j -0.0049009-0.00603658j 0.00456052+0.00980666j -0.0245345+0.00121417j -0.0145703+0.0371325j 0.0019509-0.000378357j 0.00556592+0.0127791j -0.0481334-0.0105881j 0.0260374+0.00666892j -0.00154843-0.0208245j -0.0254519-0.00502686j 0.00694551+0.0112363j 0.0110709+0.0220107j -0.0223854-0.0487101j -0.00832985-0.0104645j 0.036436+0.000489336j -0.0432123+0.0562231j 0.0608048+0.0658821j 0.00422184-0.0199507j 0.0825587+0.0437267j 
0.0405107-0.0685145j 0.0472517+0.00477942j -0.0619591-0.251341j 0.162598+0.0219705j 0.217922-0.0798162j 0.0535933+0.0597176j 0.111279-0.107519j -0.0812441-0.0684326j 0.258692-0.162749j 0.181754+0.292765j -0.326219-0.0758967j 0.0517961+0.271261j -0.282853+0.0252951j -0.107975+0.0607129j -0.0387606-0.0688343j -0.0144873-0.03874j 0.0606683-0.0562171j 0.0135929-0.0882021j -0.0199089-0.00722714j 0.0119843-0.0362942j -0.0324361+0.0211718j 0.000842458-0.0240868j 0.0054477-0.0130044j -0.00364472-0.0349147j -0.00265527+0.0335628j 0.00700325-0.00388429j -0.0437813+0.00151846j -0.0794375-0.002192j 0.0370641+0.0450054j -0.020999-0.0142096j -0.00782897+0.0113553j -0.023038-0.0622074j 0.00642193+0.00502238j 0.000820056-0.0281095j -0.00295005-0.0236903j -0.00543525-0.00615257j -0.00107693+0.00807033j -0.00877854-0.00599982j -0.00866673+0.00261148j 0.00205477-0.0202288j -0.00359557-0.0054556j 0.00928877-0.00199222j 0.0031089-0.0126522j 0.00262685-0.0028847j 0.00145068+0.000706971j 0.00125763+0.0150131j -0.00479781+0.0182188j -0.00822594-0.0158221j -0.0120266-0.0132329j 0.0142421+0.0169902j -0.00630442+0.0020174j 0.00895806+0.00972267j -0.0250826+0.0179809j -0.00832534-0.00893831j -0.00381063-0.00390956j -0.00818707+0.00556316j 0.0117175-0.0121343j -0.00237482-0.0216065j -0.00475268+0.0149019j -0.00203697-0.00419538j 0.00401144-0.0272583j 0.0302399-0.0170461j 0.00542871-0.00202352j 0.00772607-0.00380916j -0.00502857+0.00148108j 0.0150534+0.015236j -0.0111966-0.0117252j 0.000489713-0.000226515j -0.0129202+0.026894j 0.0141256-0.000474585j 0.004461-0.00631638j -0.0294968+0.00207168j -0.00934225+0.0238934j -0.0124913-0.0127843j -0.00485643+0.017507j 0.0025767-0.00727748j 4.63312e-05+0.0108503j -0.0115424-0.0196516j 0.0128621-0.00310194j -0.00582636+0.0174662j 0.00900162+0.00767959j -0.00646419-0.000575385j -0.0185006+0.00313258j -0.00303395-0.018826j 0.00779111+0.0220042j -0.00810667-0.00971154j 0.0139839-0.00248143j 0.00776396+0.0266755j 0.00153399-0.0197697j -0.0211182-0.00138625j -0.00102533+0.00668515j -0.0091354+0.00350044j -0.0038219+0.00693894j 0.00647417-0.00713711j -0.00936747-0.0216949j -0.00502676+0.00116133j -0.0165581-0.00233652j 
-0.00744457+0.0367295j -0.0308356-0.0253176j -0.0219568+0.0784644j -0.211626-0.0398755j 0.363216-0.126814j 0.350361+0.0839091j 0.0210198+0.234236j 0.238499-0.194187j 0.0113821+0.279947j 0.115061+0.0841886j -0.488684-0.0712873j 0.187783-0.304901j -0.0403923-0.0485924j 0.0306838-0.0765773j 0.033303+0.0160684j 0.000531232+0.0490973j 0.00342169+0.0327955j 0.00167782+0.0250829j 0.0399633+0.028168j -0.0693868-0.015043j -0.0638401-0.00266188j 0.00206544-0.06465j 0.0357017-0.027056j 0.00832093+0.0265183j 0.0199787+0.012493j -0.0115516+0.00676832j -0.00397512-0.0242456j 0.036951+0.00980189j -0.00544581+0.000294212j 0.0394278-0.000435816j 0.0157512+0.0379241j -0.0132327-0.0156753j -0.0345378+0.0402724j -0.00701139-0.00967012j 0.00805252-0.0010113j 0.00529145-0.000589598j 0.00500145-0.00275649j 0.0078989-0.000650837j 2.97481e-05-0.0067518j 0.00364022+0.00850664j 0.00392984+0.00765264j -0.000907447+0.00383218j -0.00282131+0.00979869j 0.00086638-0.00407713j 0.00935573-0.00453989j 0.00976732+0.00769555j -0.00257366-0.00331905j 0.0165305+0.00604816j 0.00563737+0.00431303j 0.0162782-0.0213691j 0.000891745+0.018203j 0.0311861+0.0204803j -0.015492+0.0168842j -0.00847237-0.0283142j 0.00990051+0.016018j -0.0210738+0.00294662j -0.0084413+0.00437763j 0.00922001+0.00698759j -0.0282882-0.000367408j 0.00409264-0.0125035j -0.0161309+0.00840546j -0.00103298+0.00854434j -0.000293204+0.00235377j -0.00451732+0.0192047j 0.00424419-0.000753186j -0.00494521+0.000515291j -0.0232743-0.00100501j -0.0190827-0.00425355j 0.0102893-0.00990407j -2.81456e-05+0.00422032j 0.00628282-0.00170288j 0.0116272-0.00262126j 0.00325939-0.0190116j 0.00137875+0.00282812j 0.0100367+0.00709466j 0.00947878+0.00638562j 0.0015873+0.00444482j 0.0169523-0.000789069j -0.00304638-0.00240297j -0.00664798+0.0334851j -0.0154995-0.0112868j 0.0102688+0.0153908j 0.0241707-0.00974152j -0.00103332-0.0129762j 0.00943003+0.000159029j 0.00361197-0.000627154j 0.00942259-0.00130761j -0.00563257+0.00404722j 0.00438144+0.00151291j 0.00461998+0.00471679j 0.00232232-0.00311023j 0.00311532-0.00319301j 0.00143101-0.00375233j -0.00617598+0.00446251j 0.00531532+0.00760124j 0.00127701-0.00130508j 0.00871199+0.00132238j 
0.0565197-0.0232594j 0.0198504+0.077764j 0.1883-0.194341j 0.0168589+0.267888j 0.310067+0.136444j -0.126393-0.42439j -0.14237-0.121195j 0.266948-0.135642j -0.0611939+0.0720837j -0.325383-0.10983j 0.0187249+0.170943j 0.0424309+0.056231j -0.0781634-0.202264j 0.0156837-0.0128268j 0.0178029+0.034979j 0.00322827-0.0888828j 0.0258192+0.00165506j 0.0776415-0.0601276j 0.00778233-0.0421207j 0.0202803+0.0490993j -0.0447919-0.0290939j 0.0177672+0.0397499j 0.0316928-0.0511374j -0.0179115-0.0197761j 0.0462038-0.0178934j -0.0168586+0.0228261j 0.0522281-0.00710479j 0.00516254+0.0258911j 0.0108854+0.0245962j -0.0180495+0.0184041j 0.00791886-0.00397202j 0.0192643-0.00563811j 0.0195904+0.00956196j 0.00563997-0.0179435j 0.00586886-0.00756933j 0.00295969-0.00291173j -0.00556679+0.00525118j -0.00983979+0.0123754j 0.00923961+0.00688351j 0.00413397+0.00108858j -0.0104508-0.017824j 0.0142549+0.00267467j 0.00554821-0.00382559j 0.00207264-0.00279072j 0.00484398-0.000530253j -0.00375944+0.00961631j -0.0189882+0.0144042j 0.00670258-0.0206354j 0.020727-0.0163739j -0.00892961+0.00664619j 0.0102491-0.00560544j -0.00290086-0.014018j -0.0125875-0.019334j -0.00771774+0.00406553j 0.0121997+0.0068399j -0.0181609-0.0141943j 0.0105764-0.00550053j 0.0123867+0.00345818j -0.00770248+0.00657316j 0.024926+0.000872007j -0.00569866-0.00282807j 0.00388983+0.00567193j 0.0105317+0.0315977j -0.0166247-0.0214288j -0.016811-0.00987376j -0.00810069-0.0239098j 0.00716251+0.0121392j -0.0174401-0.00256194j 0.00826939-0.00559527j 0.0301129-0.0110053j -0.00284439-0.00868979j -0.0147745+0.0153697j -0.0275234-0.0071615j 0.00483197+0.00707524j -0.00172223+0.00647709j -0.011857+0.0115215j -0.00798816-0.0162957j -0.02326+0.000141209j -0.00606206-0.00268964j -0.00460235+0.00124856j -0.00056205-0.00534915j -0.00599957+0.0059234j -0.00535201-0.00660507j -0.00276548-0.00256755j -0.00227991+0.00152631j -0.00625031-0.00809944j 0.000825557-0.00529821j 0.00307846+0.00923978j 0.00904577-0.00352433j -0.0102324-0.00131535j -0.00246258+0.00151463j -0.00264649+0.00372442j 0.00124169-0.00127426j 0.00896489+0.00653331j 4.95424e-05-0.0106549j -0.0080552-3.53042e-05j -0.00351045-0.002337j 
0.0128061-0.0220572j 0.0398165-0.0183157j -0.0906175-0.00818054j -0.0817919-0.121959j 0.0295052+0.138681j 0.0478377-0.059539j 0.0896239-0.202144j -0.04538+0.0103655j 0.1077-0.0959605j -0.0179928+0.0661783j -0.0792934-0.0251919j -0.0528589+0.0411592j 0.0446562-0.0860098j 0.0382538+0.126729j 0.102042-0.123279j -0.0284442+0.0240462j -0.0618616-0.0854921j -0.0852578+0.0609646j 0.136828+0.0138967j -0.0376244-0.0290825j -0.0899761-0.0237866j 0.0626058+0.115038j -0.0308845-0.0277631j -0.0178182+0.0124688j -0.0270654+0.0222395j -0.0911378+0.0153945j -0.0243497+0.13027j -0.0521066+0.00386093j -0.00910278+0.0987673j -0.00691189-0.0839722j 0.0194801-0.017457j 0.0464752-0.0485959j 0.0118335-0.0146249j -0.0331494-0.0578531j -0.069638+0.0364678j 0.0618534-0.0524323j -0.0772804-0.00787558j -0.00036598-0.0170209j -0.0103457+0.00685716j -0.0102755-0.00106826j -0.010578+0.00923291j -0.0180456+0.0462606j 0.0375412+0.0381865j -0.00150632-0.0385307j 0.024415-0.0146659j 0.0216018+0.0155992j 0.0058881+0.00264951j -0.0445492+0.0405069j 0.0585112-0.042376j 0.0237719-0.024755j 0.00875554-0.0108889j -0.0128737+0.0146512j 0.00655361-0.0148229j -0.026822+0.0158322j -0.0191911+0.0115552j 0.0153914-0.0200721j -0.058406-0.0397758j 0.0346756-0.000659333j 0.0654361+0.012127j 0.0250926-0.0259256j -0.0192135+0.0266324j 0.00289914-0.0309981j 0.00755366+0.033735j 0.0646628-0.00737349j -0.0563955-0.0308522j 0.0512657+0.0175055j 0.00429441-0.0396913j -0.0519476-0.00951536j -0.00163046+0.0129019j -0.059127+0.0316433j 0.0139688+0.0264609j -0.0776023-0.0191276j 0.0161804+0.0343922j 0.0840774+0.0147042j -0.0111856-0.0218389j 0.019189+0.00819762j -0.0321367-0.0368472j -0.00727906+0.0226432j -0.0194578-0.0133309j -0.00811945+0.0300806j -0.000176986-0.0669679j -0.0134986-0.0527405j -0.00131977-0.0103998j -0.0108998-0.0252023j -0.00153758-0.0526198j -0.0174004-0.0208407j 0.0232849+0.0123329j -0.0124065-0.00114299j 0.0357842+0.0632335j 0.0249006+0.0123046j -0.00820458+0.0879474j 0.0126347+0.0198464j -0.00676085-0.00451771j 0.154607+0.0806826j 0.00610069-0.129848j -0.144998-0.0522033j -0.0547996-0.0745099j 
0.0381753-0.0373161j -0.0168288+0.00196652j -0.0642404-0.137375j 0.0623082-0.0671332j 0.0432428+0.0555233j 0.00827814-0.102351j -0.00583277-0.0702372j 0.081314-0.0133135j -0.0242946-0.0524181j -0.0203416-0.0536943j -0.033777+0.0732276j 0.142724+0.0138507j 0.000438277+0.041248j -0.0280443+0.0988557j 0.0879482+0.0656952j -0.10268-0.067993j 0.0223094-0.0668355j -0.117028-0.050835j -0.0818698+0.129237j 0.0460588-0.00311172j -0.0814917-0.0182348j -0.0745751+0.0781976j 0.0485491-0.0836312j -0.0331394-0.0076398j -0.0440425-0.0126406j -0.0168782+0.0873288j 0.0196601+0.0258508j 0.070214+0.0939594j -0.0428742+0.00591094j -0.0998759-0.00386856j 0.0391071+0.0540941j -0.0432424+0.0336521j -0.0417468-0.00242335j 0.0974233+0.0354958j -0.0279256-0.0707577j 0.0640032+0.0117977j 0.0563645-0.0552565j -0.00178406-0.00230339j 0.00842027+0.0231512j 0.00773065-0.0153077j 0.00135451+0.000891862j -0.0348996-0.0420042j -0.0174378+0.0741811j -0.00421924-0.0279162j 0.0366724-0.0343858j -0.0176192+0.0433509j 0.0315562-0.000425156j 0.000831003-9.41433e-05j 0.0282578-0.00713877j 0.0107771+0.0229781j -0.0226818-0.0056384j 0.0171424+0.011791j 0.0335393-0.0165442j 0.000364579+0.00384268j 0.0039777-0.0147118j 0.0516016-0.0238573j -0.011741+0.00899692j 0.029986-0.0234172j -0.0175587-0.0148639j -0.0288388-0.0101513j 0.0415345+0.000656313j -0.055469+0.0194917j 0.0717282-0.00147886j 0.0154325-0.0562279j -0.00114353+0.0445968j -0.0385318-0.00155664j -0.0643243-0.00991036j 0.00590565+0.0619118j 0.0373998-0.0189806j 0.071597+0.0182087j 0.0108641+0.0274775j -0.0114452+0.035671j 0.0310783-0.0597216j -0.0124682-0.0645201j -0.0277857+0.0146262j -0.0365684-0.0290361j -0.0190912+0.0129904j 0.0926366+0.0555335j -0.0237392-0.0251226j 0.0419906+0.0401744j -0.010738+0.0288447j -0.0407322+0.0251518j 0.0336618+0.017741j -0.0469566+0.0212965j -0.0517008-0.0157265j 0.0312223+0.00951228j -0.00295686+0.0035167j -0.0201032+0.00468819j 0.00240211+0.0269373j 0.0522461+0.0827454j -0.0591772-0.027737j -0.00264984-0.0203798j -0.0022524-0.024239j -0.0377455+0.142469j 0.146737+0.105498j -0.0438497-0.0639144j 0.158592+0.0731179j 
-0.0254249+0.013933j -0.0693614+0.017894j 0.0123622+0.020174j 0.00395944+0.0358343j 0.0326293+0.00239325j -0.00432593+0.0217026j 0.0205792-0.0112289j 0.00101094-0.0154481j 0.0210594-0.0269261j 0.0284339+0.0198054j 0.0152907-0.0295374j -0.00732143+0.00842189j -0.0238686+0.0131597j -0.0348238-0.01304j -0.000534349+0.00927127j -0.0430277-0.0283147j 0.0622138-0.0120079j -0.0411194-0.148643j -0.083747+0.0652314j -0.114932+0.130607j -0.0694433-0.00932383j 0.116216+0.202268j -0.0399254-0.0381749j 0.0532575+0.0873326j 0.0328002-0.0623101j -0.0369439+0.035654j -0.010195+0.116168j 0.265597-0.0480947j 0.0248988-0.0282883j 0.280698+0.195456j 0.22095-0.347135j -0.0460975+0.0461922j -0.292517-0.079455j -0.148462+0.234868j 0.143925+0.224839j 0.00919038-0.0431457j 0.00828982+0.0512087j 0.0797498+0.0313202j 0.0147873+0.050673j -0.0122691-0.00477907j 0.0286746+0.0143613j -0.0206054-0.0651172j -0.0494089+0.0885584j -0.0101586-0.0379698j 0.00700558+0.00851832j -0.00192813-0.0145656j 0.00635785+0.0145716j 0.0138707+0.0392646j -0.00282934-0.0459802j -0.0145026-0.00201516j 0.0258126-0.00487539j 0.00372113+0.0173677j 0.0209146-0.00564886j 0.0194582-0.00626145j 0.0503363-0.0182852j 0.0313159-0.036552j 0.038696+0.023886j 0.0200537-0.0174786j 0.00991561+0.000680105j 0.0221635+0.020603j -0.0223961+0.0251956j -0.0492039+0.0126882j -0.0158929-0.0150867j 0.0212645+0.0309644j -0.0133689-0.00600962j -0.00630864-0.0202391j -0.0363564+0.0282209j 0.0195794-0.0497394j -0.0270191-0.00192598j -0.0285241+0.00401872j 0.00397468-0.00510522j 0.0145299-0.0185954j 0.0128188+0.0401912j 0.00696524+0.0586711j 0.00204579-0.0180721j 0.04173+0.0450562j -0.00498191-0.00216101j -0.0216272-0.00325673j -0.0158687-0.0369141j 0.0273584+0.00881534j -0.042879-0.00970542j -0.00640093-0.0456115j 0.0308053+0.022187j 0.0631863-0.0191685j 0.0311973-0.0102257j 0.069639+0.0664787j -0.0036437+0.0247261j -0.0312596-0.0416179j -0.0277351+0.0894119j 0.0921111-0.0211542j 0.052069-0.0190411j 0.0182715-0.00752322j 0.0065431+0.0154146j -0.0146566-0.0411389j -0.0319451+0.0474028j 0.0353011+0.0389243j -0.00115849-0.0232653j 
-0.0271131+0.00850707j 0.0223257-0.0103103j -0.00124566-0.0070182j -0.0137442-0.0250993j 0.0199379+0.0441397j 0.0271035+0.00476076j 0.0518993-0.0147099j -0.019234+0.00431261j -0.0523937+0.00921204j -0.0119145+0.00783629j -0.0514897+0.0348227j 0.00692663+0.0249597j -0.0148423-0.00515808j -0.0027803+0.0178292j -0.0036804-0.0235295j 0.0156546+0.00364949j 0.00906673-0.00651173j 0.0203781-0.0165936j -0.00619976-0.0742565j -0.118684+0.0481364j -0.156506+0.211632j 0.109779+0.165649j 0.0564535+0.117439j 0.161028-0.216549j 0.120767-0.218701j 0.239868-0.202783j -0.0900905-0.217034j -0.245284-0.195613j -0.188089+0.0586741j -0.0110662+0.0254784j 0.10075+0.0681087j -0.0917111+0.288934j -0.162337-0.186524j 0.0868505-0.163859j -0.0747485+0.047353j -0.0264626+0.0563036j -0.0495804-0.0542238j 0.0120356-0.00387661j -0.0175384-0.0225353j -0.0127112-0.000930013j -0.00180785-0.00825463j 0.0223019-0.0202435j -0.0243411-0.0152394j -0.0403678-0.01136j -0.0833037+0.038169j 0.0491169-0.0236368j -0.0309563+0.0282875j 0.00439117+0.0173311j 0.00926531+0.0198629j -0.00899162+0.00516526j 0.000317145-0.0207182j 0.0550084+0.00356726j 0.00893788-0.00907353j 0.073662-0.0372724j 0.0230312-0.0443967j 0.0168037-0.0423819j 0.0337034-0.00743388j 0.0229782+0.00225759j 0.0373754+0.0130533j -0.0205808-0.00097799j 0.0120143+0.01006j -0.0442952-0.0217389j -0.000252908+0.00437746j 0.0129781-0.0209486j -0.0180577+0.0321796j 0.00324005+0.00802706j -0.0250073-0.026094j 0.00429574+0.030269j 0.000931406-0.0280626j -0.00215183+0.0177063j -0.000905264+0.0193815j 0.000767792+0.0238255j -0.00999802+0.01446j -0.00058496+0.00445576j -0.0116099+0.0176986j -0.011506-0.0264862j -0.0127544-0.0261582j -0.020406-0.0137545j 0.0537143+0.0480714j 0.0180849-0.00377753j 0.0173987+0.0138956j 0.00155794+0.02424j 0.0495002+0.0191864j 0.00714865+0.0118322j -0.0435674-0.00174202j -0.023975+0.0354877j -0.0145353-0.00592746j 0.0169229-0.0104444j -0.0537166+0.0234568j 0.00990394+0.0112768j -0.00972712+0.0363033j -0.00102335-0.00329991j -0.00828161+0.0020556j 0.0129183-0.0119633j 0.0013893+0.00741403j 0.00589897-0.0105707j -0.0116503-0.00123101j 
-0.0567153+0.0663326j -0.0118279-0.00064652j -0.00388523+0.048636j -0.0414426-0.00215004j -0.00951078+0.00559978j -0.0139857-0.00245708j -0.0182481-0.0191098j -0.0226274-0.0657218j -0.0288502-0.0188505j -0.0408156-0.048587j -0.0228668-0.00290853j -0.00176633+0.0174044j -0.0177584+0.00816592j -0.000186531-0.00616904j -0.0196917-0.0157412j 0.0168384-0.0263473j 0.0415602-0.0283354j -0.00448405-0.158463j -0.129909-0.0723412j -0.0384221-0.00438449j -0.120514-0.000979602j 0.00130089+0.0464108j -0.104888-0.0254781j -0.176136+0.138072j 0.133354+0.286091j 0.030629-0.0459224j -0.0972384+0.100265j -0.059082-0.345529j -0.161868-0.048735j 0.32576-0.144083j -0.122903+0.138182j 0.217071-0.140463j 0.26799-0.0312509j -0.205093+0.00486607j -0.12052+0.162894j -0.0391069-0.0200368j -0.0388113-0.0239843j 0.0296917+0.00740255j -0.0687245+0.0246614j -0.0240106-0.00624121j -0.00327079-0.000246799j 0.00842145-0.116905j -0.036361+0.0389057j 0.0180524-0.0136441j -0.0322468+0.00320753j 0.00690437+0.00100867j -0.017494-0.00141746j 0.0196744+0.0127889j -0.0350218-0.00443949j -0.0123583+0.00923611j 0.0348729+0.0596574j -0.0300791-0.00716302j -0.0173243-0.0117459j -0.0159843+0.00324743j -0.0205425+0.0408j -0.00662071+0.0419421j -0.0126257+0.0124525j 0.00908941+0.00450115j 0.0241222-0.00142657j 0.0208142+0.0127834j -0.00671186+0.0306576j -0.00608168-0.0260158j 0.0130309+0.00540759j 0.0182442+0.0222917j 0.0376665+0.0181715j -0.00214141-0.0155336j -0.0231557-0.0109224j -0.00317816+0.0101801j -0.0185224+0.0038831j 0.0542848+0.0021107j 0.0334831+0.0293913j -0.00762595+0.010657j 0.0361061-0.00118915j 0.0199559-0.0195232j 0.00228917+0.0169248j -0.00998514-0.00259249j -0.00427812-0.0137091j 0.0630384-0.0212316j -0.0390964-0.00772896j 0.00598678+0.027913j -0.0175896-0.0195387j 0.00906865-0.0223301j -0.0198326+0.0296062j 0.00622707+0.037636j 0.0104373+0.00918157j 0.00558681+0.0495901j -0.0248865-0.00274551j 0.0143919-0.0168138j -0.0537532-0.0126968j 0.0268788+0.0250594j 0.0234332+0.0260293j 0.00249875+0.00333134j -0.0040579+0.00240989j -0.00727377-0.0289678j 0.00782609+0.00570187j 0.00708325-0.00292502j -0.00438825-0.0140936j 
0.0467618-0.0333327j 0.023338+0.0260126j 0.0303944-0.0180217j 0.0370002+0.0279055j -0.0208361+0.00334767j -0.029685-0.00972492j -0.0438109+0.0559008j -0.0165899+0.0123721j -0.0104315-0.0532963j -0.0136345+0.00738675j -0.0241047+0.0193518j 0.00409941-0.0210062j 0.00994517-0.00563998j -0.000947895-0.0063482j 0.00627087+0.021108j -0.00159178+0.0355499j -0.0261755+0.00171513j -0.0662035+0.0879122j 0.14765+0.0898916j -0.12993-0.066532j -0.0838035+0.0697743j -0.195106+0.0018135j 0.240023+0.259385j -0.371401-0.247746j 0.229513-0.00482401j -0.198241+0.27723j 0.0110461-0.18597j -0.0479524-0.0675107j 0.230937+0.0658939j 0.274046+0.124724j -0.0592628-0.0191162j -0.0361502+0.118674j 0.00665891-0.191803j -0.0265445+0.164624j 0.0399895-0.140484j 0.0249603-0.0170176j 0.0616298+0.0593695j -0.0120448-0.0407013j -0.00218879-0.0277372j 0.00290455-0.00133695j -0.00247255-0.00858854j 0.0234977+0.0759954j 0.0553094+0.0112185j -0.0845193-0.0425244j -0.00807127-0.00820597j 0.042032+0.035813j -0.0325835+0.00107151j -0.0167927-0.0108146j 0.0114685+0.0625689j 0.0360109+0.0617122j 0.0479067+0.0575219j -0.0302621-0.0405589j -0.00778923-0.0228965j -0.0102547-0.0129822j -0.00487338+0.0117812j -0.0208218+0.0148421j 0.0412341-0.000247822j 0.00778699+0.0212876j 0.00640038+0.0216679j 0.0244834+0.00664883j -0.00337695-0.0226412j 0.0230407-0.0166914j -0.0058496-0.0139123j 0.0110671-0.00222022j 0.035132+0.00863571j -0.0206493+0.00402701j 0.0348949+0.00751444j -0.022308+0.00228504j -0.0170558-0.0199925j 0.0121598+0.010203j -0.0179291-0.00851768j -0.000771072-0.00271871j 0.0350551+0.0207509j 0.00751091-0.00491737j -0.015974-0.00962534j 0.0239308+0.0105058j -0.0117489+0.0120167j -0.0309505-0.00531909j 0.0183014+0.0137601j 0.0250061+0.00662366j -0.025208-0.0089171j -0.0418232+0.00946137j 0.0319652-0.00454779j -0.0168521+0.0243682j -0.0301665+0.0138089j 0.00926533-0.0185992j 0.0053723-0.000464178j -0.00399874-0.0023451j 0.00345259-0.00274354j -0.014747+0.00684702j -0.0201117-0.00445257j -0.00216169+0.00555839j 0.00288608+0.00226724j 0.0063112+0.0119435j 0.00190559-0.00901805j -0.0113308+0.00261393j 0.00337624+0.0105007j 
