0.700671-6.93889e-18j 0.465619-0.0164655j 0.103294+0.00551711j 0.101436-0.00103785j -0.0358397-0.00350657j 0.0766884-0.0140766j -0.0532688-0.0466522j 0.0337893-0.00220449j 0.0369882+0.0815709j 0.0285759+0.0607525j -0.0238901+0.00124765j 0.0615095-0.0279897j 0.0506814+0.020473j 0.0636398+0.028818j -0.0476279-0.00909995j -0.0262537-0.0289436j -0.0372649+0.0107372j -0.0070442+0.0106221j -0.056141+0.00893193j 0.0552757-0.0593646j 0.123954-0.0869567j -0.0530281+0.0506438j 0.000701577+0.0352715j 0.0420426+0.239659j 
0.465619+0.0164655j 0.215228-0j -0.0242241+0.0180099j 0.0582657+0.0123526j -0.087101+0.0325078j 0.0965878+0.0221428j -0.0176912+0.120184j -0.0853399+0.0816974j -0.0956561-0.105242j -0.0394912-0.00529232j 0.076709-0.0263988j -0.0926605+0.0762689j -0.0921704+0.00615565j -0.0384181-0.0593045j -0.0472678-0.0174217j 0.101119+0.0272767j 0.0134437-0.00631943j 0.000257482-0.0474209j 0.0585331-0.0374225j -0.0693998+0.0566803j -0.219002+0.153798j 0.0925733-0.0223717j 0.0891357-0.111273j -0.228852-0.402086j 
0.103294-0.00551711j -0.0242241-0.0180099j -0.00729125-1.38778e-16j 0.0217195+0.0128031j -0.029992+0.0254066j 0.0324706+0.0794704j 0.0295149+0.0647867j 0.0924545-0.16771j 0.0947074+0.0208264j 0.0989872+0.00538403j 0.0415197-0.0464184j -0.0358557-0.0411885j -0.0188567-0.0302752j -0.0333541-0.0526591j 0.0266102-0.0282666j 0.0345041-0.0215145j 0.0220344-0.0482905j 0.0181486-0.0205245j -0.0880799+0.000609385j -0.0527285+0.125676j -0.178177-0.0742515j -0.131605+0.264477j -0.231667-0.222472j 0.12369+0.0128621j 
0.101436+0.00103785j 0.0582657-0.0123526j 0.0217195-0.0128031j 0.0242228-3.29597e-17j 0.00506762-0.0136942j -0.00144694+0.0275376j -0.022757-0.0148559j 0.0286122-0.106406j 0.093075+0.0194604j 0.0396545-0.000164662j -0.0102675+0.013249j -0.0116706-0.0244486j 0.00854365-0.0765863j -0.0114195+0.0180248j -0.00688864+0.0067008j -0.0134397-0.0259128j 0.0224802+0.0132706j 0.0176197-0.0299308j -0.0255181-0.154304j 0.0130886+0.00669424j 0.0413859-0.0531153j -0.181903+0.183289j -0.25687+0.0570732j 0.28567+0.192057j 
-0.0358397+0.00350657j -0.087101-0.0325078j -0.029992-0.0254066j 0.00506762+0.0136942j -0.0172764+1.52656e-16j 0.0509313+0.0902859j 0.0270763+0.0818863j 0.0425364-0.0889581j 0.0507148-0.0017123j 0.0478006-0.02221j 0.0588273+0.0100601j -0.0868733-0.0461323j 0.0501026-0.0517591j -0.0119093-0.0277916j 0.0176119+0.00881716j 0.0499284+0.0491051j 0.108295-0.00169733j 0.0216235-0.016291j -0.0539803-0.0366031j -0.0452392-0.0407252j -0.258068+0.0747583j -0.0597252+0.23825j -0.103835-0.26815j -0.00368153-0.161248j 
0.0766884+0.0140766j 0.0965878-0.0221428j 0.0324706-0.0794704j -0.00144694-0.0275376j 0.0509313-0.0902859j -0.0375361+5.23019e-16j -0.139775-0.112826j -0.210455-0.120664j 0.187569-0.208359j 0.0446198-0.0992161j -0.0338988+0.123223j -0.149368-0.188545j 0.155761-0.147409j 0.0243192+0.0806994j 0.0592507-0.00793284j 0.150183-0.0794939j 0.0389962-0.015871j -0.0252923+0.0297181j 0.12299-0.0356251j -0.0197745-0.0143843j 0.108869+0.047685j -0.00703621-0.111618j 0.11181+0.104152j 0.205604-0.173042j 
-0.0532688+0.0466522j -0.0176912-0.120184j 0.0295149-0.0647867j -0.022757+0.0148559j 0.0270763-0.0818863j -0.139775+0.112826j -0.12717+7.49401e-16j 0.20407+0.198294j -0.128414+0.1094j -0.0133196+0.145541j 0.14519+0.110651j -0.165219-0.0402989j 0.136861-0.154583j 0.088328-0.0133881j 0.0594628-0.0478064j 0.0055822-0.11594j 0.0908837-0.0416667j 0.0107736+0.00560704j -0.0520384+0.117119j 0.0395075-0.128711j 0.0859872-0.0904961j -0.0434024+0.0155442j 0.235147-0.217002j 0.00417352-0.0150257j 
0.0337893+0.00220449j -0.0853399-0.0816974j 0.0924545+0.16771j 0.0286122+0.106406j 0.0425364+0.0889581j -0.210455+0.120664j 0.20407-0.198294j -0.21295+3.02536e-15j -0.0739204-0.256918j 0.127625+0.215199j 0.19289-0.0659111j 0.12788+0.00101549j 0.075934+0.0936574j 0.0832724+0.0319257j 0.0575062+0.0571162j 0.0252085-0.00744698j 0.00929409+0.00911935j -0.045037+0.167061j -0.0335585+0.0372195j 0.0217143-0.0199415j -0.0143232+0.0239629j -0.0307882+0.0931316j -0.0141155-0.0630672j -0.0128459+0.0287112j 
0.0369882-0.0815709j -0.0956561+0.105242j 0.0947074-0.0208264j 0.093075-0.0194604j 0.0507148+0.0017123j 0.187569+0.208359j -0.128414-0.1094j -0.0739204+0.256918j -0.326825-1.91513e-15j 0.174881-0.214663j -0.10191-0.214733j 0.00482065-0.0881834j 0.0473803-0.0272207j 0.00507729+0.0318111j 0.0629699+0.00318354j 0.030215-0.0743085j -0.0355686-0.0310813j 0.0361855+0.0424948j 0.00688525-0.0286437j -0.0365683+0.0569535j 0.0258196-0.0364737j -0.0377103+0.0667286j -0.0979463-0.00375671j 0.0748799+0.00819297j 
0.0285759-0.0607525j -0.0394912+0.00529232j 0.0989872-0.00538403j 0.0396545+0.000164662j 0.0478006+0.02221j 0.0446198+0.0992161j -0.0133196-0.145541j 0.127625-0.215199j 0.174881+0.214663j 0.245007+5.82867e-16j -0.0908539-0.126992j 0.141788-0.186881j 0.129026+0.0354134j -0.012299-0.00551128j 0.0452326+0.043266j -0.0256785+0.0903017j -0.00522734+0.00106606j -0.00767415+0.0173971j -0.00865592+0.171468j -0.0115446-0.046618j -0.0745223+0.00937672j 0.219793-0.133697j 0.203587-0.0417465j -0.178006-0.145264j 
-0.0238901-0.00124765j 0.076709+0.0263988j 0.0415197+0.0464184j -0.0102675-0.013249j 0.0588273-0.0100601j -0.0338988-0.123223j 0.14519-0.110651j 0.19289+0.0659111j -0.10191+0.214733j -0.0908539+0.126992j -0.0613554+6.10623e-15j 0.153989+0.0212429j 0.119509+0.13099j 0.0335508+0.0856719j 0.0131417+0.0177037j 0.0295119-0.103688j 0.0715101+0.0451921j -0.0329222+0.0629766j 0.141981-0.19021j -0.0686585-0.0288029j -0.0297876+0.0457771j 0.00403705+0.0561251j -0.00191863+0.0725606j 0.186151-0.332547j 
0.0615095+0.0279897j -0.0926605-0.0762689j -0.0358557+0.0411885j -0.0116706+0.0244486j -0.0868733+0.0461323j -0.149368+0.188545j -0.165219+0.0402989j 0.12788-0.00101549j 0.00482065+0.0881834j 0.141788+0.186881j 0.153989-0.0212429j -0.0341653+5.80092e-15j -0.0682266-0.167893j 0.0386276-0.113466j -0.0215913-0.0352489j -0.0786375+0.0181597j -0.150886-0.0682432j -0.0554203+0.0305574j 0.130515-0.0806156j -0.0384657+0.227183j 0.0357383-0.00572042j 0.0618604-0.194617j -0.100571+0.314865j 0.0362018-0.0582316j 
0.0506814-0.020473j -0.0921704-0.00615565j -0.0188567+0.0302752j 0.00854365+0.0765863j 0.0501026+0.0517591j 0.155761+0.147409j 0.136861+0.154583j 0.075934-0.0936574j 0.0473803+0.0272207j 0.129026-0.0354134j 0.119509-0.13099j -0.0682266+0.167893j -0.150957-4.16334e-17j -0.0809531-0.0394297j -0.0395849-0.0109588j 0.0204736-0.0889249j 0.241914+0.0211399j -0.080898+0.00913279j 0.164596-0.0440187j 0.0830281-0.404218j 0.226925+0.148435j 0.0163946-0.104434j 0.181898+0.107508j 0.140136+0.00209471j 
0.0636398-0.028818j -0.0384181+0.0593045j -0.0333541+0.0526591j -0.0114195-0.0180248j -0.0119093+0.0277916j 0.0243192-0.0806994j 0.088328+0.0133881j 0.0832724-0.0319257j 0.00507729-0.0318111j -0.012299+0.00551128j 0.0335508-0.0856719j 0.0386276+0.113466j -0.0809531+0.0394297j -0.0163651+1.04083e-15j 0.0139794-0.0130651j 0.245248-0.090714j -0.210091-0.0898495j -0.071444+0.0021311j 0.150942+0.353231j -0.168148+0.241951j 0.0846536-0.202035j 0.0752556-0.200176j 0.129146-0.144804j 0.175093-0.0465792j 
-0.0476279+0.00909995j -0.0472678+0.0174217j 0.0266102+0.0282666j -0.00688864-0.0067008j 0.0176119-0.00881716j 0.0592507+0.00793284j 0.0594628+0.0478064j 0.0575062-0.0571162j 0.0629699-0.00318354j 0.0452326-0.043266j 0.0131417-0.0177037j -0.0215913+0.0352489j -0.0395849+0.0109588j 0.0139794+0.0130651j 0.0354305+2.77556e-16j 0.152567-0.0308765j -0.0952711-0.0576698j 0.0848698+0.140666j -0.441391-0.210844j 0.0375268+0.310791j 0.205929-0.0235277j -0.203041+0.222231j 0.148604+0.121534j -0.0540866-0.0324818j 
-0.0262537+0.0289436j 0.101119-0.0272767j 0.0345041+0.0215145j -0.0134397+0.0259128j 0.0499284-0.0491051j 0.150183+0.0794939j 0.0055822+0.11594j 0.0252085+0.00744698j 0.030215+0.0743085j -0.0256785-0.0903017j 0.0295119+0.103688j -0.0786375-0.0181597j 0.0204736+0.0889249j 0.245248+0.090714j 0.152567+0.0308765j -0.0910647+2.55351e-15j -0.0737794-0.121829j -0.355578+0.520471j 0.0599827+0.149261j -0.00166456+0.00751375j -0.0745254+0.0574662j -0.000944691+0.00138487j -0.0320553+0.0351375j -0.0124536+0.0229614j 
