0.0429416-1.11022e-16j 0.136949+0.0990607j -0.0456665+0.0845021j -0.01103+0.326581j -0.279837-0.143372j 0.143006+0.129654j 0.0449189-0.0646199j -0.0942343+0.0251731j 0.0125092-0.107777j 0.0352865-0.0356606j -0.0936794+0.116682j 0.0803005+0.017973j -0.0620698-0.0616155j -0.0750681-0.084735j 0.00536066-0.137505j -0.0701278-0.0982218j 0.00630592+0.196197j -0.0292815+0.101352j -0.0265262+0.218137j 0.115493+0.0227407j 0.134663+0.211748j 0.0355911+0.337487j 
0.136949-0.0990607j -0.29887-8.32667e-17j -0.198912+0.132595j -0.0902819-0.0236515j 0.178995-0.0989593j -0.0954346-0.0272863j 0.0951646-0.0424685j 0.0759677-0.00437677j 0.154955-0.124988j -0.0121688-0.0590287j 0.0843712+0.0640004j -0.0313224+0.00575179j 0.0820221-0.0904035j 0.0148527-0.0846623j 0.0303942-0.0308671j 0.0421506-0.0644302j 0.0456161-0.0624484j -0.183516+0.0706461j -0.23925+0.119137j -0.179885+0.0437906j -0.00953214-0.214476j -0.0967247+0.263648j 
-0.0456665-0.0845021j -0.198912-0.132595j 0.454041+1.38778e-16j 0.267941-0.439204j 0.0186167+0.108045j -0.0704113+0.141416j -0.0647345+0.0590938j -0.0892625-0.047181j 0.0343362-0.0548132j -0.0270822-0.0267251j -0.0465069-0.0076661j -0.0587542+0.00308704j -0.0716377-0.0799252j 0.00956981-0.0385303j -0.0469284-0.00959199j 0.0197042-0.110082j -0.0225101+0.0920708j -0.00158241+0.0549906j -0.0457938+0.00374641j -0.118805+0.158717j 0.0786243-0.0527746j 0.00311706+0.219831j 
-0.01103-0.326581j -0.0902819+0.0236515j 0.267941+0.439204j 0.153263+8.32667e-17j 0.0501324-0.297176j -0.0545107-0.0541714j -0.0275028-0.0423403j -0.0725668-0.0830465j -0.0385349+0.0574214j -0.0217205-0.0809223j 0.0441194-0.0410896j -0.03073-0.0119481j -0.0248343+0.0104588j 0.06409+0.00444416j -0.00306871+0.0595708j -0.00950592+0.0744929j -0.0533959-0.0706004j 0.0198304-0.0510388j 0.0473157-0.0027173j 0.045373-0.0708635j -0.131178+0.037071j 0.0352062-0.173055j 
-0.279837+0.143372j 0.178995+0.0989593j 0.0186167-0.108045j 0.0501324+0.297176j -0.409528+6.245e-16j -0.19828-0.128692j -0.0215342-0.0278095j 0.015382+0.061161j 0.18515-0.0226316j -0.158313+0.0619026j 0.119336+0.0827865j 0.0290868+0.0145351j 0.102268-0.0269897j -0.024358-0.0229538j -0.0276986+0.00139144j 0.0439804+0.0567846j 0.00384834-0.0794627j -0.103767-0.0573986j -0.118395+0.0445636j -0.192107-0.0124721j 0.00781993-0.200523j -0.0871197+0.0238091j 
0.143006-0.129654j -0.0954346+0.0272863j -0.0704113-0.141416j -0.0545107+0.0541714j -0.19828+0.128692j -0.194167-1.249e-16j 0.0409845-0.125593j -0.149617+0.260162j -0.221592-0.0160642j -0.0551204-0.0244891j 0.245239-0.262737j -0.117597+0.119984j 0.0325842-0.0378594j -0.0684677+0.014386j 0.0249928+0.0610599j 0.00702001+0.0287168j -0.142282-0.119637j -0.0705726+0.0190121j 0.0322555-0.0606132j -0.0700494-0.0196427j -0.28461-0.0162747j 0.148237-0.174302j 
0.0449189+0.0646199j 0.0951646+0.0424685j -0.0647345-0.0590938j -0.0275028+0.0423403j -0.0215342+0.0278095j 0.0409845+0.125593j -0.0599035-6.93889e-17j -0.190419-0.0130106j -0.184689-0.03656j 0.0671102+0.0263985j 0.0248507-0.0317505j 0.0684209+0.0513402j -0.0981979-0.102975j -0.0295447-0.0696868j -0.00892565-0.0534264j -0.02548-0.0484219j -0.0157652+0.0335929j -0.0109515+0.0272802j 0.0341221+0.0167627j 0.0327099+0.00308938j -0.00165077+0.0541037j 0.00980477+0.109565j 
-0.0942343-0.0251731j 0.0759677+0.00437677j -0.0892625+0.047181j -0.0725668+0.0830465j 0.015382-0.061161j -0.149617-0.260162j -0.190419+0.0130106j -0.00779451+2.05391e-15j -0.315031+0.386224j -0.0206429+0.057861j 0.0406346-0.258388j -0.0491421-0.00598045j -0.0947027+0.191955j -0.00612022+0.0226472j -0.0517652+0.0687407j 0.0798631-0.119517j 0.0602705-0.00144396j 0.0908811+0.0319271j 0.00225947-0.113015j -0.147561+0.277068j 0.184034-0.0839364j -0.0621152+0.232598j 
0.0125092+0.107777j 0.154955+0.124988j 0.0343362+0.0548132j -0.0385349-0.0574214j 0.18515+0.0226316j -0.221592+0.0160642j -0.184689+0.03656j -0.315031-0.386224j -0.268833-2.06779e-15j 0.126553+0.144452j 0.123783+0.106255j 0.0392278+0.0703928j -0.00847408-0.0862965j 0.0115338-0.0719987j -0.00452459-0.0510193j -0.0185415+0.00975031j 0.0710409+0.0551831j -0.0212069-0.0634158j -0.00850555+0.0251403j -0.0152853-0.0334647j 0.0793818-0.0531448j -0.0868763+0.0668125j 
0.0352865+0.0356606j -0.0121688+0.0590287j -0.0270822+0.0267251j -0.0217205+0.0809223j -0.158313-0.0619026j -0.0551204+0.0244891j 0.0671102-0.0263985j -0.0206429-0.057861j 0.126553-0.144452j 0.150175+7.77156e-16j -0.035614+0.135687j -0.0466152+0.0203608j -0.0017288-0.10184j 0.096385+0.0838702j 0.0154079-0.200306j 0.217517-0.230411j 0.035932-0.0811886j 0.243965-0.0143457j 0.188691-0.405649j -0.0597457+0.261311j -0.0315429-0.0105279j 0.105932-0.116397j 
-0.0936794-0.116682j 0.0843712-0.0640004j -0.0465069+0.0076661j 0.0441194+0.0410896j 0.119336-0.0827865j 0.245239+0.262737j 0.0248507+0.0317505j 0.0406346+0.258388j 0.123783-0.106255j -0.035614-0.135687j -0.0665119-7.65013e-16j 0.018294+0.0279755j -0.248609-0.273597j -0.0157555-0.0470907j -0.165929-0.0299308j 0.172841+0.00212552j 0.123388-0.00464751j 0.055655-0.105044j 0.0458294-0.0286932j -0.190537+0.141179j 0.103338-0.0935323j -0.043688+0.0326095j 
0.0803005-0.017973j -0.0313224-0.00575179j -0.0587542-0.00308704j -0.03073+0.0119481j 0.0290868-0.0145351j -0.117597-0.119984j 0.0684209-0.0513402j -0.0491421+0.00598045j 0.0392278-0.0703928j -0.0466152-0.0203608j 0.018294-0.0279755j -0.412779-2.02616e-15j 0.0903948-0.0700326j 0.0739349+0.0605996j -0.0378095+0.222762j 0.231621+0.157007j 0.0799542+0.229306j 0.0562525-0.181071j 0.164303+0.175455j -0.00458806+0.13903j -0.0145558+0.113221j 0.0416771-0.0237906j 
-0.0620698+0.0616155j 0.0820221+0.0904035j -0.0716377+0.0799252j -0.0248343-0.0104588j 0.102268+0.0269897j 0.0325842+0.0378594j -0.0981979+0.102975j -0.0947027-0.191955j -0.00847408+0.0862965j -0.0017288+0.10184j -0.248609+0.273597j 0.0903948+0.0700326j -0.209222-4.17201e-16j -0.343879+0.0575649j -0.0294032-0.108492j 0.0235966+0.00944046j -0.19545-0.0292381j -0.108069-0.0706041j 0.0223781-0.135626j -0.308341-0.0994436j -0.175958-0.158317j 0.144135-0.214186j 
-0.0750681+0.084735j 0.0148527+0.0846623j 0.00956981+0.0385303j 0.06409-0.00444416j -0.024358+0.0229538j -0.0684677-0.014386j -0.0295447+0.0696868j -0.00612022-0.0226472j 0.0115338+0.0719987j 0.096385-0.0838702j -0.0157555+0.0470907j 0.0739349-0.0605996j -0.343879-0.0575649j 0.0368785-5.13478e-16j 0.0604845+0.141531j 0.198161+0.216701j 0.190152+0.151098j -0.18286-0.189251j -0.0744163+0.253089j 0.231183-0.106738j -0.11236+0.042527j 0.0136683-0.100271j 
