0.181798-0j 0.0597939+0.0131491j 0.0251698+0.0338183j 0.0586514+0.123702j 0.0311041-0.0291535j -0.00128455+0.0278616j 0.0136912+0.102887j -0.00689676+0.053689j -0.00194807-0.00865964j -0.00803156-0.0320697j -0.0156531-0.0241066j 0.0304187-0.0139817j -0.00411601+0.00295396j 0.00300481+0.0692904j -0.0364235-0.00914536j -0.01628-0.00634132j -0.00607746-0.00917576j 0.0175739-0.0197362j 0.010671-0.0148856j 0.0216582+0.0179773j -0.00739045-0.0281322j -0.00362866+0.0119684j 0.0196919-0.00698021j 0.0325816-0.0213924j -0.0324559-0.0193525j -0.00344574+0.000944136j -0.0121466+0.0135907j -0.0021889+0.0120698j -0.0235017+0.017024j 0.00435941-0.0167236j 0.0188505-0.0031123j 0.0120332-0.0278519j -0.00296269+0.0263836j 0.00833823+0.0169861j -0.0322781+0.0383322j 0.0010004-0.0376287j -0.0170677+0.030784j 0.0315582+0.0166126j -0.00887641-0.0154996j 0.0107896-0.0306017j -0.00606501+0.00946275j -0.0309281+0.0269677j 0.010056+0.00162306j 0.00461823-0.00543001j -0.00387887+0.0198468j 0.0245157-0.0227588j -0.0190533+0.0218702j -0.0073538+0.0178831j -0.0320017+0.0109684j -0.00364555-0.0350094j 0.0195959+0.0174173j 0.00504056+0.0187562j 0.0132243-0.00683105j 0.0536841-0.00087884j -0.038009+0.0016312j 0.0120955-0.0246202j 0.000182789+0.0222141j -0.0357791+0.00381071j -0.0353804+0.00685591j 0.0609517-0.0493805j -0.00385709+0.0430875j -0.0395557+0.1424j -0.116176-0.244428j 0.359889+0.0478186j -0.0539429+0.205126j 0.0496585-0.215148j 0.0454005+0.0270813j -0.0213498+0.0190806j 0.21976+0.089494j 
0.0597939-0.0131491j -0.171363+1.11022e-16j -0.0939442-0.126582j 0.012273+0.0360683j 0.00434114-0.0519262j -0.0395165-0.0512475j 0.0061936+0.05612j 0.0201978-0.051757j 0.00979709-0.0181477j 0.0123844-0.00353991j 0.0574259-0.0233223j 0.0308954-0.0471294j 0.0041926+0.0340274j 0.0114803+0.0199662j -0.0139332-0.00592448j 0.0150838-0.032619j -0.00497424-0.0338178j -0.00467336-0.0212288j -0.00564657+0.0297797j -0.0398016-0.00631062j 0.00142291-0.0401721j -0.013756+0.0163465j -0.00880246-0.00816184j -0.0165197+0.0103309j 0.00836243-0.0267014j -0.000427255+0.0335168j 0.00456322+0.0348013j 0.0176039+0.0156018j -0.0129003+0.0111182j 0.00231895+0.0053404j -0.0107182+0.00310075j 0.00211393-0.000182537j 0.0215295+0.0145018j -0.00423775-0.000623539j 0.00322284+0.0206513j -0.000658045+0.0217438j -0.00296151-0.0390197j -0.00430194-0.000718593j 0.00126734-0.0411571j 0.0121841+0.00446565j 0.0197383-0.0022151j 0.0219784+0.0153661j -0.00669242+0.0304813j -0.0234717-0.0107163j -0.00176364-0.0208932j -0.01124+0.0344887j 0.0203012-0.0324894j 0.0290198+0.00144789j -0.0142751-0.0234372j 0.0219897-0.0176822j 0.000256963+0.047736j 0.00874418-0.0348451j 0.0038392-0.00337792j 0.00175023-0.0222931j 0.046816+0.0210331j -0.00282069-0.0289002j 0.0417245-0.0136957j 0.0579597-0.0454862j -0.00122783+0.0390286j -0.0667759+0.0188277j -0.0716029+0.0700966j -0.0126848+0.0161188j 0.31074-0.099939j 0.0923765+0.338944j -0.159474-0.17802j 0.0189294-0.00352427j 0.0614641-0.105417j -0.228281-0.0480969j 0.00918865-0.000952186j 
0.0251698-0.0338183j -0.0939442+0.126582j -0.0390561-1.249e-16j -0.0856497-0.0320214j 0.0573483+0.0926043j -0.0629511-0.0665585j -0.036134-0.0400506j -0.0283144+0.0942689j 0.00354844+0.03481j 0.039107+0.054847j 0.0655949+0.0542988j 0.0059461+0.0754849j 0.00750161+0.018591j 0.0427511+0.0389062j -0.000378537+0.0119831j 0.0343238+0.0445232j -0.0131964+0.036003j -0.0256941+0.0161744j 0.0109242-0.0269937j -0.0331424+0.0190338j 0.0219802+0.0441693j -0.00982643-0.00119521j 0.0245042+0.0290742j 0.00867867+0.0100717j 0.00712793+0.0106315j 0.0038114-0.0285027j -0.00252512+0.00337475j 0.0226905+0.00202236j -0.0134384+0.0263147j 0.0317945+0.0122155j 0.00150973-0.00549642j -0.00989778-0.00178534j -0.000895473-0.0433414j 0.0220686-0.0265579j -0.0323059+0.0055752j 0.020337+0.0359917j 0.00757366-0.0357568j -0.0217952-7.18398e-05j 0.00997782+0.10304j -0.0155775-0.0139802j -0.0342707-0.00248345j -0.0258555+0.0143355j -0.0158028-0.0261752j 0.00981891-0.0242041j 0.00466497-0.0295119j 0.0238284-0.0790814j -0.00205068-0.0475343j -0.0170509-0.00855907j -0.024037-0.0247303j 0.0585776-0.0436713j -0.016763+0.00284244j -0.0310832-0.113923j 0.0555933+0.0270888j -0.0312615-0.0167071j 0.0250577-0.0437725j -0.0128829+0.0516979j 0.00231211-0.0736552j 0.187457+0.0125358j 0.0532439-0.04474j -0.0845297-0.024884j -0.181802-0.0582897j -0.181225+0.364372j 0.0431861-0.0785512j -0.080192-0.120579j -0.0674578-0.0132817j 0.0175576+0.042751j -0.0351617+0.131382j -0.0744561+0.143773j -0.00996556+0.0130397j 
0.0586514-0.123702j 0.012273-0.0360683j -0.0856497+0.0320214j -0.0427465-1.11022e-16j 0.0760705+0.0302241j 0.0251241+0.0308967j 0.0147158+0.0185456j -0.0485183-0.0674581j -0.000104932-0.00759664j -0.0109621-0.0141748j -0.00800341-0.0384134j 0.0321195-0.0843355j -0.0121615-0.0231227j 0.0271037+0.0552277j 0.036217-0.0242171j 0.00166532+0.00282631j -0.0147435+0.0362488j 0.0159668-0.029196j -0.0123601+0.01931j -0.0105383+0.0309281j -0.0016868-0.0110587j -0.030001-0.00567585j -0.0147518+0.0478309j -0.0480145+0.00934361j -0.0294027+0.0326298j -0.01014-0.0190285j 0.0216858-0.0217225j -0.00614284+0.0601002j 0.0227577+0.0205276j 0.0138959-0.0213751j -0.0126357-0.00104099j -0.0376394-0.0203109j 0.0112141+0.0261395j -0.0209245+0.0669317j 0.0205081+0.00538082j 0.00563719-0.025142j -0.0172096+0.05841j 0.000571016-0.000127391j 0.00733504-0.0836008j 0.00849023+0.0122688j 0.0192967+0.0259679j 0.0283345+0.0121509j -0.0296218+0.00319949j 0.0192694-0.0140084j -0.0466354+0.0304754j -0.0329784+0.0236742j -0.0219932-0.00169297j 0.0127789-0.042115j -0.00788076+0.0054904j 0.0859532+0.0103168j -0.0341704+0.0323597j -0.131166+0.143576j 0.0123531+0.0271719j -0.04691+0.0471529j -0.0303941-0.0019229j 0.0538586+0.00702925j -0.00677599-0.0841625j 0.0950351-0.16813j -0.119077-0.0859165j -0.0348855+0.227073j -0.0876529+0.156811j 0.195059+0.0516321j -0.0554596+0.178558j 0.0655657-0.0415093j -0.0996664+0.0100092j 0.0890733+0.132833j 0.053943+0.0191656j -0.0678033+0.0137272j 0.0391996-0.224358j 
0.0311041+0.0291535j 0.00434114+0.0519262j 0.0573483-0.0926043j 0.0760705-0.0302241j -0.0964761+2.77556e-17j -0.0845776-0.00921142j 0.00519699-0.0626194j 0.0304342-0.0271496j -0.0314742-0.0174932j -0.0256923+0.0393594j 0.0243154+0.0218849j -0.0189299+0.0285158j 0.0160378-0.0271888j -0.0352547-0.0602218j -0.0513969-0.00291216j -0.0547442-0.0558959j -0.0482817-0.00837462j 0.0030003-0.0309893j 0.0119663-0.0121043j -0.0441174+0.0148566j -0.0489688+0.0254061j 0.0572829-0.0083928j -0.032301+0.0202211j 0.0307757+0.058811j -0.0128994-0.0368162j 0.0501895+0.000560712j 0.0138902-0.0371054j -0.0166224-0.0352554j -0.0276516-0.048136j 0.00180126-0.0331485j 0.00956515-0.00166267j 0.00363337+0.0124919j 0.0405496+0.00335635j -0.0279039+0.0142426j 0.0211081-0.0123953j 0.00713068+0.00334802j 0.0160812-0.0228385j -0.0117137+0.0850447j 0.00233131+0.0161039j 0.0489688-0.0368721j -0.056443-0.0335621j 0.0050468-0.0630118j -0.0203137+0.0741348j 0.0123974+0.0615343j -0.0017907+0.0509641j 0.0403087+0.110663j 0.0211934+0.0426406j 0.0723755-0.0163222j 0.0114188-0.151543j -0.0311351+0.0206329j -0.024938+0.0152826j 0.02919-0.062585j -0.168879-0.102234j -0.0325438+0.0759678j 0.0205368+0.0657754j 0.0114893+0.0707503j 0.0455984-0.00138972j 0.0567217-0.132582j -0.0725297+0.0950136j -0.0932177-0.0665594j 0.040837+0.174328j -0.22753+0.0298143j -0.126316+0.105922j 0.0428748+0.145003j 0.0527079+0.123375j -0.0856176+0.026065j -0.0858464-0.0575304j 0.150534+0.0880431j 0.0137401+0.195099j 
-0.00128455-0.0278616j -0.0395165+0.0512475j -0.0629511+0.0665585j 0.0251241-0.0308967j -0.0845776+0.00921142j 0.107333-1.11022e-16j -0.0838864+0.011765j -0.0509498-0.00638824j -0.0687359+0.029952j 0.06003+0.0220526j -0.0127403+0.037128j 0.0360925+0.0331338j -0.0529415-0.00223628j -0.00488058-0.0618612j -0.0168418+0.00303474j -0.00147283+0.0111788j -0.0185103-0.013099j 0.0474563+0.00280329j 0.0845606+0.0123888j -0.0192733-0.0396851j -0.00058045+0.00445358j -0.0156634-0.0241783j -0.00656243-0.0172458j 0.0131351+0.024744j 0.00289233+0.00152j -0.0104786-0.0416296j 0.00987443-0.0392229j -0.00088633-0.0440802j 0.0373403+0.0193286j 0.0354075-0.00933175j 0.0154967-0.0776951j 0.014607+0.0529826j -0.0196629+0.065602j 0.0358939-0.0262905j -0.0407725-0.0570323j 0.0328219+0.00376594j -0.0192714+0.0151138j -0.0700297-0.0432162j 0.00483671+0.0386202j 0.0783375-0.00305927j 0.0477301-0.0589258j 0.0213894+0.0609383j -0.0537976-0.0399303j 0.0560741+0.0492335j -0.039786+0.00162129j -0.0276054+0.0107179j -0.0846282-0.00192572j -0.004175-0.00436209j -0.129715-0.0516924j 0.0752361-0.0584811j -0.0214365-0.0528854j 0.0883246+0.110448j 0.0592674-0.14345j -0.0928519-0.0632068j 0.0709145+0.0165835j -0.0542939-0.0554154j -0.0107778+0.104632j 0.103712-0.0546368j 0.0103747+0.0512275j 0.152778-0.00861718j 0.0297055+0.0271016j 0.077271-0.0662202j 0.0120049+0.0340996j 0.0317064+0.175766j -0.0502687+0.022826j 0.103194-0.0331018j -0.0469253-0.0329747j -0.109725-0.337308j 0.359096+0.0186262j 
0.0136912-0.102887j 0.0061936-0.05612j -0.036134+0.0400506j 0.0147158-0.0185456j 0.00519699+0.0626194j -0.0838864-0.011765j -0.0518556+8.32667e-17j -0.0105058+0.0561027j -0.0260808-0.0304581j -0.0355097+0.0240165j 0.0183525-0.0206659j 0.0415802+0.00239459j -0.00395712+0.0124371j -0.00243825-0.0422918j -0.000674568-0.0188189j -0.0412619-0.0248104j -0.0113111-0.00994055j 0.0344486+0.0241903j 0.00719018+0.0054758j 0.00632344+0.0174382j 0.00810408-0.061755j -0.020343+0.0835316j 0.0436509-0.0257377j 0.056149-0.000264012j -0.00158223-0.0108014j 0.016491+0.0143486j 0.00788763+0.0320432j 0.0158934+0.0137452j 0.0119235-0.00192149j 0.0146251+0.000274459j 0.00184707-0.0143427j -0.0296043-0.0490226j 0.0120294+0.02237j 0.0323899+0.000479165j 0.0357508+0.0459975j 0.00211016-0.0264862j -0.00549601+0.0179668j -0.00420481-0.0220465j 0.112434-0.00170897j 0.0273321-0.0268377j -0.0175816+0.0159848j -0.0471663+0.009608j -0.000407246+0.0502508j 0.0378057-0.0520502j 0.0538028-0.013118j 0.00302057+0.0534341j 0.0282379-0.0170506j 0.0259842+0.0564445j -0.043408+0.0161747j 0.0850101-0.223568j 0.0735271-0.0868753j -0.0644264-0.00273927j -0.0866091-0.0139871j 0.0817244+0.0026001j 0.101741+0.0636719j 0.055828+0.18657j 0.0596006-0.0655708j -0.0498473+0.151843j -0.058608-0.057026j -0.0629226+0.112536j 0.199173-0.0367302j 0.15585-0.08622j 0.084789-0.232145j 0.0296165-0.0355674j 0.1423-0.107524j 0.0680271-0.195691j 0.00900375+0.0774521j 0.266309-0.0371703j 0.102087+0.184531j 
-0.00689676-0.053689j 0.0201978+0.051757j -0.0283144-0.0942689j -0.0485183+0.0674581j 0.0304342+0.0271496j -0.0509498+0.00638824j -0.0105058-0.0561027j -0.0347175+8.67362e-19j -0.0384999+0.0156058j -0.00630556+0.0933124j 0.0252963-0.0335669j -0.0222966+0.0283872j -0.0048499-0.0204833j -0.0552949-0.0243074j 0.00164761+0.0567827j -0.02268-0.031246j 0.00214349+0.00918266j -0.0961324-0.0255009j -0.00310414-0.119645j -0.0274202-0.0675826j -0.00465514+0.0189073j -0.034872-0.0455298j 0.0267154+0.0130303j 0.0572538-0.0761053j -0.0562907+0.00259652j 0.00571714-0.04181j 0.00949279-0.0454293j -0.0270992+0.0387976j -0.0447555+0.0978266j -0.00983843-0.0116936j -0.0139751-0.0547534j 0.00751092-0.0298007j -0.016942+0.0977063j -0.0240671+0.0154692j 0.0337873-0.0317558j 0.0436029-0.0363309j 0.0409052+0.0184312j 0.0213478+0.109531j 0.0206562+0.0920973j -0.0278079-0.055156j -0.0879902+0.0405869j 0.0131962-0.06773j 0.00742634+0.015455j -0.0326659+0.0303553j -0.0133372+0.0450082j 0.0820903-0.027742j -0.0137449+0.0203885j 0.0185675-0.0923989j -0.130623-0.0490002j 0.0658713+0.0510536j 0.0206785-0.0373322j -0.0306476+0.149173j 0.0233478+0.0285319j 0.0463226-0.0595548j -0.0410315-0.0123093j -0.0850542+0.0536262j -0.0470716+0.0841552j -0.021226-0.0398243j 0.212089-0.0153962j -0.165622+0.0634847j 0.0149505+0.055411j 0.081406-0.0484289j 0.112239-0.0803697j -0.0430696+0.100712j 0.216311-0.0291709j -0.234233+0.0200638j 0.0990294-0.386595j -0.0583017-0.0466644j 0.0702294-0.134407j 
-0.00194807+0.00865964j 0.00979709+0.0181477j 0.00354844-0.03481j -0.000104932+0.00759664j -0.0314742+0.0174932j -0.0687359-0.029952j -0.0260808+0.0304581j -0.0384999-0.0156058j 0.0791596-2.69229e-15j 0.0213098-0.00715337j -0.0680818-0.00739822j 0.101982-0.014257j 0.0230606+0.0715101j 0.00935785-0.0433134j -0.0161266-0.00942724j 0.0375666-0.0164948j 0.00174033-0.0668586j -0.010006+0.00950891j 0.0254394-0.110832j 0.00723941+0.0119513j 0.0801397-0.0325051j -0.00444099+0.079556j -0.0592512+0.030967j 0.0264259+0.0114712j 0.0646606-0.0710913j 0.0259812+0.00717521j -0.011626+0.0509468j 0.027337+0.077742j -0.0524376-0.0734451j -0.0474573+0.024708j -0.000398672+0.0325639j -0.0102881+0.0675293j 0.0244908-0.116623j -0.0552954-0.0262062j -0.0210694-0.0942005j -0.0528177-0.108177j 0.0461131+0.111335j 0.0429294-0.116024j 0.0193291+0.0146782j 0.0797955-0.148306j 0.0293348+0.0576609j -0.00874987-0.0871664j 0.100897+0.0807858j -0.0503981-0.0987385j -0.028362+0.027323j -0.0174804-0.118207j 0.0168174+0.0742912j 0.095048-0.112972j 0.0649601+0.0113271j -0.129578+0.0744689j -0.0788113+0.05733j -0.0511124-0.02662j -0.0444756+0.0172747j 0.146245+0.0569796j -0.000906236-0.090468j 0.0425573-0.0597489j 0.0328685-0.016496j -0.0356201-0.180733j 0.044024+0.0882701j 0.041728+0.0585046j 0.0199085-0.0416404j 0.0106381-0.0130294j -0.0329993-0.00764565j -0.0100294+0.0102218j -0.113549+0.0156649j -0.0489745+0.11864j -0.109235-0.0233626j 0.0617701+0.004137j 0.0567346-0.0115647j 
-0.00803156+0.0320697j 0.0123844+0.00353991j 0.039107-0.054847j -0.0109621+0.0141748j -0.0256923-0.0393594j 0.06003-0.0220526j -0.0355097-0.0240165j -0.00630556-0.0933124j 0.0213098+0.00715337j -0.0744005+1.88738e-15j 0.0357345+0.0597157j 0.0637828-0.00543118j -0.0169097-0.0812342j 0.0818494+0.0169143j -0.0381715-0.126359j -0.00456105-0.000472284j 0.0106662+0.000757974j 0.0119767+0.0645035j 0.0101472-0.0247183j -0.000788772+0.0328012j -0.0267838-0.0644739j -0.0014937-0.00919284j 0.0590396+0.0135629j -0.0363048-0.0340076j -0.0367243+0.00885491j -0.0358118+0.00160974j -0.0142956+0.00270418j -0.0278281-0.00399354j 0.0121681-0.112181j 0.00951105+0.0203644j -0.0169687-0.0505298j -0.0728428+0.0810065j 0.050032+0.00691045j -0.0346455-0.00874029j 0.00851694+0.0901548j -0.0886189+0.0295598j 0.0598153-0.0596626j -0.0147879+0.0661956j -0.00532053+0.0187311j 0.0895595+0.0687441j -0.0445394+0.0570391j 0.0490425+0.0686934j -0.099422+0.207903j 0.187203-0.0494103j -0.113531+0.00997776j 0.00178175-0.132841j -0.0676168+0.112517j 0.067441-0.0132887j 0.0152741-0.102447j 0.0427344-0.2141j -0.0831684+0.0420303j -0.120263-0.0882433j -0.0568358+0.0187399j -0.0277678+0.162432j 0.0831385-0.0102123j -0.0188355+0.0774962j 0.0324537-0.0150643j -0.0144124-0.0202172j -0.00486768-0.131888j -0.0390904-0.0465934j -0.000184585-0.095613j 0.0281977+0.00930344j 0.0144532+0.0283911j -0.0350883-0.0400272j 0.001383-0.0510922j 0.069451-0.0241133j 0.038814+0.0381016j -0.0884946+0.0326957j 0.0033238-0.0131515j 
-0.0156531+0.0241066j 0.0574259+0.0233223j 0.0655949-0.0542988j -0.00800341+0.0384134j 0.0243154-0.0218849j -0.0127403-0.037128j 0.0183525+0.0206659j 0.0252963+0.0335669j -0.0680818+0.00739822j 0.0357345-0.0597157j -0.0420812-3.46945e-16j 0.00777958-0.000141388j -0.040949-0.0613901j 0.019253+0.00885585j 0.00963079-0.0251799j 0.0536928-0.0417834j -0.0421656-0.0215299j -0.0260981-0.031772j -0.0173348+0.0505156j -0.00165298-0.0669836j 0.0791414+0.0407476j 0.0977635-0.0364714j -0.0453211-0.0778074j 0.043683-0.016899j -0.0766572-0.00690038j 0.0375589+0.0112522j 0.0342792-0.0134388j 0.0195025+0.00165866j -0.045289+0.0169324j -0.0307758-0.101231j 0.0582743+0.0209357j -0.0284157+0.0169678j -0.0571636+0.0182273j 0.0158258+0.0125313j -0.0204082+0.123828j -0.0252379+0.0163039j -0.0287+0.0073157j -0.00387649+0.0735215j -0.0562014-0.0138236j -0.101871-0.00410935j -0.0347844+0.047291j 0.00656719+0.131255j -0.144051+0.0661904j -0.129+0.121633j 0.0546239-0.102959j 0.0809548+0.145323j 0.00568558-0.00299117j 0.000852431-0.196545j 0.0614594-0.0963615j -0.0438181+0.0895582j 0.00505299-0.0322225j -0.0666867-0.0429365j -0.0961053+0.0650697j -0.0904691+0.0811477j 0.0145694+0.0217597j -0.036872-0.101727j -0.00532968-0.0466675j 0.00135917+0.0488724j 0.0296824+0.0374819j 0.0176631+0.0311193j 0.0369282-0.139715j 0.179584-0.00981397j 0.13183-0.106387j 0.0923231-0.119094j -0.0611639-0.0983384j -0.0286957+0.0581373j 0.0671325+0.0128045j 0.02387+0.0160199j -0.0500336-0.0346453j 
