-0.0936865-1.04083e-17j 0.0323783-0.0169569j -0.0973933-0.0991662j 0.0789704-0.0311759j 0.0200822+0.0324648j -0.0420061+0.0132565j -0.140754-0.0818542j -0.0148842-0.0532451j -0.0144566-0.0357733j 0.0117087+0.0111046j -0.0703264-0.0187693j -0.0800059-0.0714735j 0.0359779+0.0214143j -0.0824931-0.011795j 0.0105803+0.00927495j -0.015851-0.0175819j -0.0114376-0.0221504j 0.0161532+0.0245179j 0.0159816+0.0041566j 0.00927358-0.0144055j 0.0525702+0.0266747j 0.110132+0.0324369j -0.0554216-0.00922997j -0.0756571+0.0253367j -0.056033-0.014834j -0.000847253-0.0282423j 0.00163842+0.00091182j -0.000386276+0.00895807j 0.021079-0.0112168j 0.0124084-0.000367086j 0.00721744+0.0310266j -0.0187615+0.000588726j -0.0206063-0.00557945j -0.0119894+0.0247855j 0.0162685+0.0245506j -0.0375128-0.0241906j 0.0101102+0.0330941j -0.0153788+0.000594206j -0.000447225-0.0219961j 0.0497529-0.020543j -0.00701246-0.0148871j -0.0162568-0.00953084j -0.0355951+0.0136041j -0.0212172-0.0377947j -0.00648593-0.0186148j 0.0464861-0.00743974j -0.109409-0.00464203j 0.0446371-0.00650363j 0.107619+0.00914452j 0.0665917-0.0241714j -0.00833935+0.0244839j -0.0803259-0.010807j 0.0414745+0.0207806j 0.0411293+0.0398769j 0.00408111-0.0050681j 0.00305216-0.0377962j -0.0806635-0.0204627j -0.00131692-0.0709214j -0.0505423+0.0565718j -0.080869-0.0558783j 0.0619033+0.0361244j 0.0594921+0.0439608j -0.0918276+0.230614j 0.247038+0.181017j 0.467597+0.0083311j -0.0687791-0.169546j 0.20403-0.0455378j 0.000921817-0.124368j 0.0382968+0.0322583j -0.107111+0.0249781j 
0.0323783+0.0169569j 0.185541+1.38778e-17j 0.0380726+0.0297732j -0.217517-0.114327j -0.00369213+0.0425743j 0.133782+0.0426581j 0.140935+0.0608259j 0.0286737-0.0932273j 0.0587171+0.0246944j -0.035112-0.0119723j 0.149341+0.0390805j 0.0490245+0.0130835j -0.0730323+0.068827j 0.106341-0.0652407j 0.00113832+0.0385836j 0.0181889-0.0340513j 0.0511656-0.00572391j -0.0283817+1.30109e-05j 0.010136+0.0145116j -0.0173324+0.0234432j -0.07192-0.0359627j -0.15009+0.0302318j 0.0538897-0.0305557j 0.101511-0.00599667j 0.0647553-0.012795j 0.0256483+0.00277734j 0.0274686-0.0203667j 0.00285789-0.0207723j -0.028302+0.0259093j 0.0066433-0.0048794j -0.0122875-0.0252202j 0.0322594-0.0458693j 0.0422019-0.0229324j -0.0157621+0.00800912j 0.0117073-0.013303j 0.0675608-0.0217455j -0.00568149+0.00165615j 0.0516473-0.0184083j 0.0210624-0.00442643j -0.0512417+0.0267135j -0.00804813-0.000607189j 0.00169793+0.0173164j 0.00549372+0.0063884j -0.00842208+0.0112251j 0.0323521-0.0111817j -0.092101-0.0200701j 0.0835343+0.0402684j -0.0760358-0.0183918j -0.163502+0.00366837j -0.136602-0.00450962j 0.0217356-0.0236176j -0.0379759+0.00759811j -0.0479244+0.0274471j -0.0360118+0.0274949j 0.0507769+0.00701795j -0.0013723+0.0475332j 0.104186+0.00541074j 0.0594108-0.0318706j 0.129336-0.0479753j 0.112993+0.0678588j -0.0728916+0.126084j -0.0325505+0.0610633j -0.244113-0.0945846j -0.428207+0.154747j 0.00188966+0.327568j 0.164834+0.0439573j -0.172322-0.0371686j -0.0382228-0.00670983j 0.0450561-0.068783j -0.0382968-0.0322583j 
-0.0973933+0.0991662j 0.0380726-0.0297732j 0.0667812-2.08167e-17j -0.156893-0.0202125j -0.117084-0.0417798j 0.0960103+0.0129349j 0.064677+0.0110917j 0.00319007-0.0257079j 0.043051+0.0485191j -0.083336-0.0207899j 0.0759354-0.0578918j 0.0195533-0.0114206j -0.0478003+0.049354j 0.078617-0.0323731j 0.0366996-0.00905583j -1.95827e-05+0.0344614j 0.0154281+0.0042113j 0.0348117+0.0120609j -0.0216924+0.0521829j -0.0262675-0.00257522j -0.0719223+0.0592012j -0.11828+0.0316352j 0.0283987+0.00597515j 0.066721-0.0809932j 0.0529537-0.0181638j 0.0208053+0.0139911j 0.0159272-0.00138472j -0.0154906-0.0272597j -0.0126235-0.00635758j 0.0208337-0.0138052j -0.0224718+0.0191115j 0.0153485-0.00546424j -0.0201044-0.0104449j -0.0336189-0.0270274j -0.00650742+0.041852j 0.0363288-0.0100319j -0.043372-0.000499708j -0.0320257+0.000960071j 0.0173125-0.0245286j -0.0439901-0.0202265j 0.00169245-0.026224j 0.032108-0.0453472j 0.00864768+0.0390629j 0.00626479-0.0249094j -0.00735581+0.0194785j -0.0678155-0.00625373j 0.0921026-0.0958845j -0.0809843+0.0248589j -0.156783+0.0480858j -0.0595812+0.0247837j -0.0133114+0.0356957j 0.0116188-0.0708633j -0.0258364-0.00942964j 0.03019+0.0375458j 0.00963474-0.0838522j 0.0308259+0.0206396j 0.163272-0.115154j 0.222491-0.131758j -0.0783421-0.132355j 0.0718198-0.135726j -0.116153+0.179543j -0.0506233-0.325642j 0.0701527-0.0451627j -0.0893829-0.106057j 0.054387-0.050066j 0.0120282+0.0373094j -0.0706307+0.0356405j 0.0320979+0.055306j -0.0382228-0.00670983j -0.000921817+0.124368j 
0.0789704+0.0311759j -0.217517+0.114327j -0.156893+0.0202125j 0.401694+1.17961e-16j 0.143406+0.0395761j -0.36954-0.0719683j -0.400589-0.0177838j -0.0959888-0.105796j -0.219839+0.0336042j 0.183977-0.00474889j -0.330081-0.0732606j -0.176847+0.0453963j 0.128863+0.0137945j -0.282911-0.110884j -0.0224632-0.0183611j -0.0535651-0.0174243j -0.133953-0.0110535j 0.105909-0.0276216j -0.051974-0.0153034j 0.0119112-0.0402727j 0.142749+0.0283335j 0.381033+0.0199329j -0.144184-0.0397094j -0.200193-0.062338j -0.152724+0.00321952j -0.0461059+0.0350597j -0.0317424-0.0307004j 0.0173202+0.0295758j 0.0513852+0.0469552j -0.00643146-0.0099117j 0.0785338+0.0500124j -0.0828569-0.00695237j -0.0768124+0.0173557j 0.0631334+0.0139788j -0.0167435-0.0142685j -0.161683-0.0036087j 0.0619505-0.0266928j -0.0662641+0.0140783j -0.0840008-0.00125532j 0.109668-0.0252561j 0.0152785-0.0215167j -0.0818504-0.000499898j -0.0429792-0.0107501j -0.0123573-0.0483135j -0.038427-0.00957996j 0.185001-0.0455017j -0.217082-0.0709218j 0.197538-0.0481426j 0.445452-0.0465222j 0.139221+0.0984257j 0.035622-0.0102156j -0.0608993+0.0683039j 0.0939175-0.109307j 0.122926-0.0271943j -0.0619546+0.0750427j -0.0257921+0.00141573j -0.355665+0.017471j -0.318329-0.155829j -0.378678+0.124367j -0.395926+0.019269j 0.320859+0.121664j -0.0334964+0.147477j 0.0537643-0.239694j 0.438857-0.0308068j 0.322389-0.0175921j 0.138966+0.0154273j 0.376678-0.0463075j 0.0706307-0.0356405j 0.172322+0.0371686j 0.20403-0.0455378j 
0.0200822-0.0324648j -0.00369213-0.0425743j -0.117084+0.0417798j 0.143406-0.0395761j 0.15986+1.45717e-16j -0.136812-0.0318032j -0.0989016+0.0180715j -0.0569878-0.0178295j -0.0291532+0.0453034j 0.0258193-0.0556387j -0.0981081+0.0132986j -0.0289359+0.0226581j 0.063607-0.0294211j -0.177188+0.00357549j -0.000259175+0.000527871j -0.0823197-0.0155182j -0.0663628-0.0136146j -0.0125905-0.0811758j -0.0119135+0.0534579j -0.011386-0.02699j 0.0956929+0.00864535j 0.133712-0.0650208j -0.0669515+0.00670454j -0.106055+0.0136766j -0.047323-0.0166705j -0.00855181-0.000640973j -0.0225253-0.0436009j 0.00318988+0.0117617j 0.0403738+0.0202417j -0.00383516-0.029407j 0.0100388+0.00541745j -0.0430369-0.0271075j -0.0516976+0.0241522j -0.00456787+0.0613941j 0.0552177+0.0198164j -0.0619486-0.00939453j -0.0301437+0.0553643j -0.0135208+0.0150613j -0.00632434-0.0260685j 0.0388772+0.00461537j 0.0274769+0.00604376j -0.0185468-0.00107256j 0.0492169-0.0270546j 0.0153878-0.0107689j 0.0416558-0.0172165j 0.0403173-0.0635136j -0.0803508+0.0140347j -0.00462704-0.0273915j 0.0432732-0.0360512j 0.00590985+0.0385629j -0.0142798-0.0213574j 0.0406292-0.14137j -0.0575272+0.157819j 0.0117296-0.0598417j 0.17332-0.0521519j -0.171359-0.145835j -0.0949645-0.249838j -0.0484527+0.152953j -0.128178-0.062715j -0.147064+0.00924999j 0.124114+0.0807286j 0.224097+0.0134665j 0.078469-0.136209j 0.190713-0.0228428j 0.128637+0.0234905j -0.0340315-0.0651542j 0.138966+0.0154273j -0.0120282-0.0373094j -0.164834-0.0439573j -0.0687791-0.169546j 
-0.0420061-0.0132565j 0.133782-0.0426581j 0.0960103-0.0129349j -0.36954+0.0719683j -0.136812+0.0318032j 0.0488048-2.94903e-16j 0.260572-0.0213112j 0.0214029-0.0500575j 0.144635+0.0276604j -0.10702+0.0404827j 0.230446-0.00775457j 0.124321+0.0139612j -0.116623-0.00851178j 0.12632-0.0386081j 0.0458553+0.0166236j 0.0924977+0.0381532j 0.089368+0.037061j -0.0886569-0.00304324j 0.0497152+0.0151653j -0.000274964-0.0085811j -0.128845-0.0241524j -0.244238-0.0530932j 0.0844629+0.0216656j 0.10872+0.0223176j 0.0863949-0.0207083j 0.0356357+0.0555112j -0.00832875+0.0120544j -0.0126881-0.0282428j -0.0348265+0.0357572j 0.0231092+0.0404651j -0.0300276+0.0452836j 0.0573788+0.0573469j 0.052074+0.0748071j -0.0368527+0.0131942j 0.0111655+0.0239126j 0.0729389+0.00168256j -0.00794017-0.00479275j 0.0818457+0.0274794j 0.0611753+0.0412386j 0.0296739-0.00634518j -0.0125511+0.0136061j -0.00839948+0.00917743j -0.0595189+0.0151139j -0.0453649+0.0460353j 0.0184239+0.0183934j -0.114572+0.0569394j 0.161651-0.00696585j -0.026896+0.0239473j -0.274913+0.0397375j -0.180126-0.00276999j -0.0370461-0.00849916j -0.0525016-0.012954j -0.36456-0.136359j 0.0541626-0.0532352j 0.0365162+0.140677j 0.00778638-0.210656j 0.28221-0.0454264j 0.114565-0.0615849j 0.185203-0.0555447j 0.243168-0.00880208j -0.108669+0.0146125j -0.270629+0.0422841j 0.000909665-0.0539048j -0.300646-0.0307893j -0.110287+0.0623379j -0.128637-0.0234905j -0.322389+0.0175921j 0.054387-0.050066j 0.00188966+0.327568j -0.467597-0.0083311j 
-0.140754+0.0818542j 0.140935-0.0608259j 0.064677-0.0110917j -0.400589+0.0177838j -0.0989016-0.0180715j 0.260572+0.0213112j 0.393156-1.249e-15j 0.0687583+0.0407715j 0.113162-0.0434063j -0.242531-0.00493885j 0.316611+0.0744807j 0.189696+0.029398j -0.13819-0.0317219j 0.285127-4.78134e-05j 0.0703535+0.0567747j 0.0919533-0.0162473j 0.123532-0.0539794j -0.123949+0.0029907j 0.0320501-0.0690092j 0.0293376-0.0195636j -0.146348-0.0170174j -0.349739-0.00351138j 0.157294+0.00297809j 0.201748+0.0121086j 0.146111+0.0302703j 0.0188827-0.00326622j 0.0357305+0.0250915j -0.00314328-0.0221951j -0.0624952+0.007406j 0.0251601+0.0235324j -0.0937801+0.0193135j 0.124+0.0116947j 0.102374-0.0886966j -0.0451338-0.0760048j -0.0750644-0.0429793j 0.160545-0.0297461j 0.00198209-0.0664396j 0.165073-0.0872316j 0.153196-0.0768675j -0.0551958-0.0365414j 0.0111488-0.00311931j 0.0269678+0.0102421j 0.036252-0.0527104j -0.00367773-0.0132633j 0.0771125-0.0178138j -0.130873+0.0552364j 0.222424+0.019516j -0.180431+0.048827j -0.491635+0.0998793j -0.0986367+0.000390526j -0.152293-0.0513014j 0.0116396+0.174635j -0.0755969+0.133405j -0.0899678-0.150892j 0.0742061+0.149583j -0.126679+0.0220727j 0.166947-0.082028j 0.197393-0.122489j 0.139449+0.110202j 0.241478+0.0408718j -0.075854-0.0659709j -0.136306-0.0646388j -0.0510758+0.000444836j -0.346846+0.158545j -0.300646-0.0307893j -0.190713+0.0228428j -0.438857+0.0308068j -0.0893829-0.106057j -0.428207+0.154747j -0.247038-0.181017j 
-0.0148842+0.0532451j 0.0286737+0.0932273j 0.00319007+0.0257079j -0.0959888+0.105796j -0.0569878+0.0178295j 0.0214029+0.0500575j 0.0687583-0.0407715j 0.00246781-1.38778e-17j -0.0450131-0.0230438j -0.0148265+0.0392483j 0.036265+0.0272094j -0.0105721+0.0067808j 0.0255632+0.0297794j 0.0512347-0.0508965j 0.0185126+0.00838283j 0.0495313+0.0065075j -0.00109913-0.0041295j -0.0207082-0.0395245j -0.0356289-0.0708214j -0.00531257+0.0276614j -0.0809493+0.0385155j -0.0406151+0.1081j -0.00245374-0.0425007j 0.0319328-0.048073j 0.0495544-0.0202191j 0.00328074+0.00982322j -0.0264207+0.0417867j 0.0205583+0.0515056j 0.0144231+0.0243575j -0.0182812+0.0120963j 0.00138402+0.048226j -0.0203557+0.0222405j -0.0258124+0.028205j -0.027013+0.0285733j -0.021463+0.0337076j 0.0121874+0.00240273j -0.0570214+0.010758j -0.0319734+0.000938695j 0.00381817+0.0167021j -0.0359534-0.0338649j -0.0048999-0.014693j 0.0234351+0.00420919j 0.0541409+0.0299455j -0.0283852-0.0313997j -0.0301457-0.00258432j -0.029107+0.0118351j 0.162915-0.11413j -0.0767476+0.00928851j -0.0806151+0.100862j -0.108079+0.0222776j -0.0196484+0.107663j 0.103094-0.0797779j 0.0759619+0.02444j -0.0196125-0.161878j 0.13905+0.107533j -0.0344394+0.0218503j 0.0979917+0.108251j -0.120861+0.108968j 0.0661742-0.0237312j -0.134426+0.0788272j -0.064847+0.0475684j -0.161755+0.0493406j -0.0105669+0.186467j -0.0510758+0.000444836j 0.000909665-0.0539048j -0.078469+0.136209j -0.0537643+0.239694j 0.0701527-0.0451627j -0.244113-0.0945846j 0.0918276-0.230614j 
-0.0144566+0.0357733j 0.0587171-0.0246944j 0.043051-0.0485191j -0.219839-0.0336042j -0.0291532-0.0453034j 0.144635-0.0276604j 0.113162+0.0434063j -0.0450131+0.0230438j -0.0172586-9.8554e-17j -0.0795442-0.00364623j 0.08729-0.012865j 0.157576-0.0322354j -0.0817356-0.0221396j 0.0972739-0.00461461j 0.0315154-0.0151909j -0.0207762-0.0179726j 0.0573813+0.0197266j 0.043392+0.0750612j 0.00956138+0.0218033j -0.00791556-0.00460039j -0.0214364-0.0206883j -0.146557+0.0233234j 0.0648002-0.024364j 0.0191997-0.0237085j 0.065823+0.0580639j 0.0478188-0.0373229j 0.00440148-0.0413104j -0.00815503-0.0170881j 0.00732477+0.00145182j 0.023197+0.0075863j -0.0755053-0.0384023j -0.0202934-0.0197892j 0.012147-0.0863527j 0.0352289-0.0623966j -0.0145559-0.0219105j 0.0177824+0.0111214j 0.00686128-0.00904951j -0.0511341+0.0391468j -0.0209753-0.0716353j -0.100462+0.0172508j 0.00927635-0.0541323j 0.0122027-0.070348j -0.0825618-0.144116j 0.0198673-0.107558j -0.00778778-0.0107765j -0.164283+0.0316716j 0.0473249-0.048048j -0.0662462+0.0513458j -0.189217-0.0671996j -0.0642065-0.0125171j -0.0685586-0.00368356j 0.0481168+0.0665917j -0.0331673-0.011505j 0.117771-0.130862j -0.044701+0.147837j 0.0062889-0.0671255j -0.126255-0.0096948j 0.0838671+0.037509j 0.186302-0.0878976j 0.0143774-0.0467923j -0.13181+0.0886894j -0.0214231-0.00156739j -0.161755+0.0493406j -0.136306-0.0646388j -0.270629+0.0422841j -0.224097-0.0134665j 0.0334964-0.147477j -0.0506233-0.325642j -0.0325505+0.0610633j -0.0594921-0.0439608j 
0.0117087-0.0111046j -0.035112+0.0119723j -0.083336+0.0207899j 0.183977+0.00474889j 0.0258193+0.0556387j -0.10702-0.0404827j -0.242531+0.00493885j -0.0148265-0.0392483j -0.0795442+0.00364623j 0.232454-1.94289e-16j -0.100299-0.0475802j -0.0907606-0.00590981j 0.108923+0.0320679j -0.116374-0.0410363j 0.0172938+0.034835j -0.0400901-0.0245306j -0.0310873+0.04976j 0.122353+0.0130757j -0.0510424+0.0204701j 0.0307838+0.0647803j 0.036902+0.00555435j 0.202501+0.0120962j -0.0743731+0.00117654j -0.0429589-0.030592j -0.0773912-0.00715644j -0.0505083+0.0243893j -0.0269891-0.0184308j 0.0364535-0.0533742j -0.0151167+0.0577491j -0.0439764+0.0512464j 0.00156518-0.0248984j -0.0914444+0.0288192j -0.0166066+0.000859596j 0.00305771-0.0281356j -0.0566775+0.0255437j -0.0528926+0.0135775j -0.0344512-0.043273j -0.10432-0.0264491j -0.0281231+0.0918528j 0.0348208+0.0735119j -0.059509+0.0114469j 0.0110676-0.0491486j -0.0651036+0.0258603j -0.0844862-0.0257672j -0.107953-0.0386599j 0.0585934-0.0282795j -0.0671093+0.103484j 0.0737153+0.0520447j 0.114398+0.0850796j 0.0880042-0.0594643j -0.0783145-0.0309561j 0.0203124-0.0619522j 0.000879359+0.156802j 0.0896191-0.162326j 0.132266+0.121098j -0.065954+0.0245773j -0.0613181+0.123644j 0.0642717+0.033865j -0.21682+0.0620091j -0.102226-0.0540869j 0.0345722-0.15262j 0.13181-0.0886894j 0.064847-0.0475684j 0.075854+0.0659709j 0.108669-0.0146125j 0.124114+0.0807286j 0.320859+0.121664j 0.116153-0.179543j 0.0728916-0.126084j 0.0619033+0.0361244j 
-0.0703264+0.0187693j 0.149341-0.0390805j 0.0759354+0.0578918j -0.330081+0.0732606j -0.0981081-0.0132986j 0.230446+0.00775457j 0.316611-0.0744807j 0.036265-0.0272094j 0.08729+0.012865j -0.100299+0.0475802j 0.138779-2.91434e-16j 0.159363-0.00752913j -0.0841044+0.0468173j 0.235994-0.0179425j -0.0192747-0.0250524j 0.0282123-0.0160702j 0.105924+0.043951j -0.125379-0.0189225j 0.0366565-0.0328999j 0.0131853+0.0152146j -0.11523+0.00259367j -0.31371+0.0228163j 0.109249-0.050552j 0.131966-0.0539737j 0.0898395+0.0465519j 0.0414518-0.0198881j -0.00294805-0.00112233j 0.059449+0.0530066j -0.0258698-0.0185634j 0.0334805+0.0324625j -0.0185481-0.0252042j 0.0797357-0.0307709j 0.116988-0.0664686j 0.0126516+0.0241956j -0.0622357+0.0287214j 0.0855681-0.00339417j -0.0204234+0.0313764j 0.0500202+0.0463938j 0.0868312+0.0184707j 0.0153478+0.0672737j -0.00156423+0.0531241j 0.0268554+0.0379613j -0.0209716-0.0468822j -0.0432183+0.0892665j 0.0649016+0.0669356j -0.126096+0.0401806j 0.0757184+0.0809793j -0.0901536+0.0140283j -0.357838-0.0477495j -0.0738305-0.0864886j -0.0635739-0.00258199j 0.00285413-0.0346836j -0.247252+0.0441801j -0.128368-0.0666308j 0.0815312+0.00252494j 0.059969-0.0777833j 0.335923-0.0242059j 0.104093+0.00801465j 0.127119+0.0457634j 0.243104-0.150703j -0.102226-0.0540869j -0.0143774+0.0467923j 0.134426-0.0788272j -0.241478-0.0408718j -0.243168+0.00880208j -0.147064+0.00924999j -0.395926+0.019269j -0.0718198+0.135726j -0.112993-0.0678588j -0.080869-0.0558783j 
