-0.133027-1.13798e-15j -0.117969-0.0139045j 0.116814+0.0792957j -0.01226-0.126173j 0.0447872+0.0439924j 0.0547487-0.148652j -0.0791269-0.0530739j 0.147549+0.00968861j 0.00245061+0.162511j -0.0576942-0.00837027j -0.024531+0.123322j 0.0968738-0.0719093j -0.0728903-0.150638j 0.142307+0.125872j 0.174102-0.332384j 0.00512272-0.193525j -0.0796677-0.226736j 0.0682785+0.235678j 
-0.117969+0.0139045j 0.184165+5.55112e-17j 0.08498+0.0669979j 0.0448185+0.113396j 0.0146061-0.0420856j 0.123255+0.0494254j 0.103799+0.0244746j 0.0553716-0.0661718j -0.217547+0.0501794j 0.108218+0.167079j -0.00767038+0.105244j -0.0639574-0.0705208j 0.117971-0.0354242j -0.0629474+0.141505j 0.0359613+0.154678j 0.390124-0.114107j 0.0125018+0.256326j 0.0201284+0.285974j 
0.116814-0.0792957j 0.08498-0.0669979j -0.115664+2.77556e-16j -0.216772-0.0384627j -0.11489+0.0995652j -0.164244-0.101081j 0.146533-0.124373j 0.000726262+0.0877851j -0.203366+0.190697j -0.397093+0.176488j -0.0242459-0.00973134j 0.0530092-0.0925066j 0.0714752-0.186811j -0.109192-0.00777023j -0.198525-0.139875j 0.0486775-0.228227j -0.18618-0.0776934j -0.258678+0.169485j 
-0.01226+0.126173j 0.0448185-0.113396j -0.216772+0.0384627j -0.0165284-2.40086e-15j 0.0736545+0.0482533j -0.0257691-0.303256j -0.178098-0.203267j -0.0288482+0.255495j 0.142759+0.159002j -0.0777636+0.0493458j -0.013919+0.0478713j 0.0189778-0.0952212j -0.0870003-0.153971j -0.0927078+0.0896776j 0.0389549+0.00457669j -0.13853+0.0349218j 0.0751619-0.141701j -0.0328893+0.0157136j 
0.0447872-0.0439924j 0.0146061+0.0420856j -0.11489-0.0995652j 0.0736545-0.0482533j -0.0192811-2.52576e-15j -0.0934319+0.132165j -0.212019+0.0916918j -0.138911+0.0162928j 0.26055-0.302322j 0.002707-0.29786j 0.1016-0.0244225j -0.0453542+0.0517674j -0.0359231-0.0686519j 0.0538108+0.0422219j -0.0148456-0.0604662j 0.177916-0.220177j -0.153009+0.00372138j -0.0600097+0.234583j 
0.0547487+0.148652j 0.123255-0.0494254j -0.164244+0.101081j -0.0257691+0.303256j -0.0934319-0.132165j -0.0515113-1.66533e-16j -0.0525963-0.174686j -0.311897+0.155517j 0.276363-0.24828j -0.00929168-0.0714356j -0.00216549-0.17456j -0.0560266+0.1443j 0.0520943-0.111506j -0.0593092+0.0220392j -0.101011+0.0377731j -0.000107642-0.126988j -0.0565341-0.0305291j -0.12979+0.0961933j 
-0.0791269+0.0530739j 0.103799-0.0244746j 0.146533+0.124373j -0.178098+0.203267j -0.212019-0.0916918j -0.0525963+0.174686j 0.195737-3.46945e-16j -0.0244374-0.137872j -0.0501806-0.104797j -0.153925+0.0131196j -0.0518073-0.153676j 0.0315703+0.117904j -0.000733047+0.0911842j 0.0444633-0.00862175j 0.116307-0.0713123j -0.186238+0.0219337j 0.0570821-0.123652j 0.0654414-0.0853014j 
0.147549-0.00968861j 0.0553716+0.0661718j 0.000726262-0.0877851j -0.0288482-0.255495j -0.138911-0.0162928j -0.311897-0.155517j -0.0244374+0.137872j 0.198659-1.45023e-15j -0.143877+0.0593974j -0.141961-0.121707j 0.0843764+0.122158j -0.0743469-0.086992j -0.0823237+0.00883287j 0.0202175+0.0561427j -0.0334714+0.0252501j 0.15931-0.019581j -0.111342+0.0645093j -0.00532547+0.0282259j 
0.00245061-0.162511j -0.217547-0.0501794j -0.203366-0.190697j 0.142759-0.159002j 0.26055+0.302322j 0.276363+0.24828j -0.0501806+0.104797j -0.143877-0.0593974j 0.0331623+9.71445e-16j 0.0726448+0.00176528j -0.0270663+0.021076j -0.0427073-0.0217863j 0.0649619+0.0528238j 0.0470601-0.0112574j -0.101598-0.116224j 0.108852-0.0944979j -0.162994+0.0585262j -0.0564211+0.0729496j 
-0.0576942+0.00837027j 0.108218-0.167079j -0.397093-0.176488j -0.0777636-0.0493458j 0.002707+0.29786j -0.00929168+0.0714356j -0.153925-0.0131196j -0.141961+0.121707j 0.0726448-0.00176528j -0.337224+1.98452e-15j 0.176257+0.153329j 0.0380624-0.0473912j -0.090229+0.0638982j 0.0628098+0.00131653j 0.152697+0.0762433j -0.0421223+0.221457j 0.125428+0.0752825j 0.129319-0.131976j 
-0.024531-0.123322j -0.00767038-0.105244j -0.0242459+0.00973134j -0.013919-0.0478713j 0.1016+0.0244225j -0.00216549+0.17456j -0.0518073+0.153676j 0.0843764-0.122158j -0.0270663-0.021076j 0.176257-0.153329j -0.133257+2.13718e-15j 0.197059-0.223858j -0.00638546-0.0357743j -0.285854-0.161437j -0.270499+0.0144126j -0.234853-0.214407j 0.157489-0.262059j -0.140439-0.0376466j 
0.0968738+0.0719093j -0.0639574+0.0705208j 0.0530092+0.0925066j 0.0189778+0.0952212j -0.0453542-0.0517674j -0.0560266-0.1443j 0.0315703-0.117904j -0.0743469+0.086992j -0.0427073+0.0217863j 0.0380624+0.0473912j 0.197059+0.223858j 0.175523+9.17322e-15j 0.0816476-0.0488216j 0.118728-0.282493j -0.240552+0.0264868j 0.150693+0.0455074j 0.0134779+0.184916j 0.00828484-0.161295j 
-0.0728903+0.150638j 0.117971+0.0354242j 0.0714752+0.186811j -0.0870003+0.153971j -0.0359231+0.0686519j 0.0520943+0.111506j -0.000733047-0.0911842j -0.0823237-0.00883287j 0.0649619-0.0528238j -0.090229-0.0638982j -0.00638546+0.0357743j 0.0816476+0.0488216j 0.0525915+1.31839e-16j 0.0968546-0.00205784j 0.0255535-0.154353j 0.0485063-0.170071j -0.069659-0.0435105j -0.010018+0.136569j 
0.142307-0.125872j -0.0629474-0.141505j -0.109192+0.00777023j -0.0927078-0.0896776j 0.0538108-0.0422219j -0.0593092-0.0220392j 0.0444633+0.00862175j 0.0202175-0.0561427j 0.0470601+0.0112574j 0.0628098-0.00131653j -0.285854+0.161437j 0.118728+0.282493j 0.0968546+0.00205784j 0.241292+1.4988e-15j -0.0838298-0.198291j -0.050475-0.0522955j 0.0545583-0.00843704j -0.0147219-0.0588553j 
0.174102+0.332384j 0.0359613-0.154678j -0.198525+0.139875j 0.0389549-0.00457669j -0.0148456+0.0604662j -0.101011-0.0377731j 0.116307+0.0713123j -0.0334714-0.0252501j -0.101598+0.116224j 0.152697-0.0762433j -0.270499-0.0144126j -0.240552-0.0264868j 0.0255535+0.154353j -0.0838298+0.198291j -0.254557-2.38091e-16j -0.00803905-0.0585764j -0.132275-0.0384874j -0.026803-0.151001j 
0.00512272+0.193525j 0.390124+0.114107j 0.0486775+0.228227j -0.13853-0.0349218j 0.177916+0.220177j -0.000107642+0.126988j -0.186238-0.0219337j 0.15931+0.019581j 0.108852+0.0944979j -0.0421223-0.221457j -0.234853+0.214407j 0.150693-0.0455074j 0.0485063+0.170071j -0.050475+0.0522955j -0.00803905+0.0585764j 0.00195053-8.32667e-17j 0.210342+0.127382j -0.0352878-0.0431432j 
-0.0796677+0.226736j 0.0125018-0.256326j -0.18618+0.0776934j 0.0751619+0.141701j -0.153009-0.00372138j -0.0565341+0.0305291j 0.0570821+0.123652j -0.111342-0.0645093j -0.162994-0.0585262j 0.125428-0.0752825j 0.157489+0.262059j 0.0134779-0.184916j -0.069659+0.0435105j 0.0545583+0.00843704j -0.132275+0.0384874j 0.210342-0.127382j 0.0351682-4.71845e-16j 0.21301-0.0112647j 
