-0.169956-5.37764e-17j -0.024312+0.017438j -0.0375059-0.0468977j -0.0544861-0.109048j 0.0261292-0.0215348j 0.0201694-0.00327261j -0.0179346-0.101021j -0.000397247-0.0350357j -0.000214476-0.0310321j 0.028966-0.0335354j 0.000243606+0.0195294j 0.0281262-0.0317327j 0.0176342+0.033481j 0.00794153+0.047914j 0.0313962-0.004079j 0.0143043-0.0151728j 0.00202357+0.0351352j 0.0146955+0.0237275j -0.0123808-0.000343306j 0.0102325-0.0153151j 0.0055151+0.00336052j -0.0112925+0.00500249j -0.00688797-0.02611j -0.00366472-0.0250754j 0.0119905-0.0251264j -0.0171159+0.00752608j -0.0130585+0.00363827j 0.0168715-0.00102762j -0.0133441-0.0133639j 0.0200575-0.0149379j -0.00414423-0.0129957j 0.00625306-0.0109301j 0.00670852+0.00538945j 0.0223062-0.00762434j 0.00519574-0.0102216j -0.00729762-0.00858793j 0.00462469-0.00885104j 0.0127823+0.0227615j 0.00806936+0.00346587j 0.0210281-0.00607484j 0.0160733+0.00907601j 0.00666794-0.0113548j 0.0173821-0.0102055j 0.0119444-0.030963j 0.00392817-0.000148807j 0.00704571+0.00437363j -0.00872825+0.0214602j 0.0141048-0.00850516j -0.00747554+0.000771862j -0.0113474+0.0243269j -0.00124364-0.00265647j 0.00417729-0.00311051j -0.0298924-0.00409418j -0.00127313-0.0148322j -0.00871515+0.0115021j 0.0153341+0.0160491j -0.027563-0.00146095j -0.0115747+0.0261269j 0.0104399-0.0243171j -0.0185305+0.0128677j -0.0179189+0.0324696j -0.0131121-0.0139126j -0.0300209+0.00776678j 0.00233963+0.00105306j -0.0120723+0.0245504j -0.0116724+0.027874j -0.00880815+0.00461539j 0.0180125-0.0313687j -0.0148106-0.0260831j 0.00232989-0.000859618j 0.00980572+0.0353657j -0.0557807-0.021574j 0.00628384+0.0166171j -0.00929436-0.0236875j 0.0137589-0.00439229j 0.0203585-0.00412751j -0.0124474+0.0353828j 0.0220387-0.00738826j -0.0480248+0.0471979j 0.0238651+0.0421198j -0.00694451-0.0124468j 0.00526081+0.00258534j -0.00265234+0.0234175j -0.0649632+0.0631618j 0.0879082-0.142077j -0.0575753-0.266756j -0.390081-0.0631024j -0.0254356-0.165236j 0.0292259-0.182098j -0.0952979-0.0107111j -0.0100542-0.00849507j -0.185785-0.0282622j 
-0.024312-0.017438j 0.17094-2.51535e-17j 0.083637+0.114808j -0.0307413-0.0528678j 0.0158507+0.0511698j -0.0445409-0.0488507j 0.00283107-0.022572j -0.0244313+0.0952702j -0.0235441+0.0109467j -0.024989+0.00220308j 0.0243727-0.0285472j -0.012747+0.0277698j 0.0101763+0.0432187j -0.0258955-0.0534916j 0.0182856-0.0250863j 0.031337-0.0111352j 0.0137187-0.0122869j -0.00739693+0.00232605j -0.0179737+0.000912165j -0.0212225+0.0251758j -0.0206546-0.011273j 0.00581809+0.0146489j 0.012134+0.0163155j -0.00539318+0.0347035j -0.00318367-0.00757955j -0.0211033+0.0102687j -0.0135769+0.0325126j 0.00553475-0.00117586j -0.0149613-0.0129439j 0.0215382-0.00975985j -0.000354466-0.0177319j -0.0147971+0.0112627j -0.00362354+0.0141055j 0.00709447-0.00861568j -0.00865846+0.0267401j -0.00220348+0.0053935j 0.0155514+0.0213773j 0.00622901+0.000504327j 0.00409516+0.0248803j 0.00363995+0.0053032j -0.0120148-0.0169719j -0.000134331-0.034924j 0.0207077-0.0163625j -0.00354961-0.0149561j -0.00999807-0.0221151j -0.0075644+0.0191665j 0.0077986+0.0142151j 0.0103173+0.00681329j -0.0193572+0.0306718j -0.00164175-0.0237169j -0.00431395+0.0138748j -0.0221743+0.0123031j 0.00117894-0.0111511j -0.00492183-0.0079308j 0.00413947-0.00204004j 0.00208507-0.0217562j 0.002686+0.0161961j -0.00145166-0.0260485j 0.00126512-0.00596546j -0.00882229-0.00457537j -0.0146046-0.00277167j 0.0012557-0.0103282j -0.00720163+0.0188355j -0.0320421-0.0230181j 0.00146419+0.000350135j -0.0274774-0.0142507j -0.0102236-0.00734521j -0.0100135-0.0191336j -0.0139511-0.000957582j -0.0623897+0.0189096j -0.0132601-0.0240467j 0.0259062-0.0172591j 0.0108955+0.0363997j -0.00321758-0.0108866j 0.000898012-0.0190501j 0.0248167+0.0188278j -0.0062354-0.0111481j -0.0388992-0.0242656j -0.0343091-0.0189267j -0.0239567+0.065665j 4.2622e-05+0.0968495j -0.0467409+0.0416768j 0.0771598-0.0490651j -0.0217876-0.0203342j -0.0605815-0.0736366j -0.343417+0.0844749j 0.0660963+0.34652j -0.196204-0.12168j 0.0038982-0.00485175j 0.000646186-0.0441895j 0.16262-0.0114819j 0.00505118+0.0163505j 
-0.0375059+0.0468977j 0.083637-0.114808j -0.0204854-0j -0.0417624-0.0114145j 0.00283219-0.0475463j -0.0718594-0.0725899j -0.025462-0.0133543j -0.0290083-0.139731j -0.0447202-0.00683943j -0.0567918-0.0535118j 0.0452241+0.00368738j 0.0215632-0.0454775j -0.00443843+0.0393705j -0.0299062-0.0142932j -0.0124869+0.0985928j -0.0167582-0.00643602j 0.0191533-0.0211878j 0.0186934-0.0139687j 0.00548803-0.028221j 0.0294224-0.0614689j -0.00324859-0.0143987j -0.000689813-0.014122j 0.0117658-0.00399824j 0.00465661-0.0341546j -0.021849+0.0213384j -0.0283829-0.0568607j -0.00344597-0.0172899j 0.0289535+0.00817085j -0.0238467+0.00708185j 0.0167378+0.00424152j -0.00397115+0.0235636j -0.0233428-0.0209609j 0.0148901-0.0252548j -0.0132343-0.00204231j -0.00224339-0.0112009j 0.00249127+0.0151816j -0.00484373-0.0276397j 0.00274874-0.0223075j 0.00429776+0.0420145j -0.0158061-0.0246454j -0.0185436+0.047165j -0.00761792-0.0285647j -0.00415472-0.0177087j -0.00529172-0.0190285j -0.00985327-0.0313682j 0.00767256-0.0117851j -0.0105325+0.0296123j 0.0202708-0.00415948j -0.0289682+0.0069554j 0.0114571+0.0481285j -0.00349046+0.0385593j -0.0209892-0.0102075j 0.00604586-0.0357633j -0.00106874+0.00361671j -0.0190184-0.00488075j -0.00262879+0.0284777j -0.0209898-0.0698712j 0.0127456+0.012431j -0.0103014-0.00848802j -0.000393362-0.00215295j 0.0224241+0.0118946j 0.0146198-0.0241683j 0.00204179-0.0407063j 0.0381937-0.0129415j -0.0188206-0.0092568j 0.0153249-0.0507512j 0.0077849-0.040197j 0.00639096+0.0223535j 0.00182447-0.0643124j -0.0274546+0.0543644j 0.00391643-0.0253466j -0.0211562-0.0250074j -0.0208339-0.00153551j -0.0177207+0.0139074j -0.00190213-0.0280339j 0.00110952+0.008016j 0.0404974+0.0925506j -0.00383524-0.00574091j -0.0207978+0.161892j -0.0515572+0.104728j 0.0722378-0.0256325j -0.224076-0.0764475j 0.113119+0.146428j -0.0173228+0.0136903j -0.132986+0.291061j -0.0848672+0.13626j -0.122955-0.0206943j 0.035316-0.00270846j -0.00699574+0.0191695j -0.0203754+0.0642451j 0.00508424-0.0734125j 0.04951+0.0538858j 
-0.0544861+0.109048j -0.0307413+0.0528678j -0.0417624+0.0114145j 0.116289+2.08167e-17j 0.0935921+0.067267j 0.0317364+0.022906j -0.00133357-0.000354657j -0.0321937+0.00535521j 0.0189327+0.0140145j 0.0435106+0.0222218j -0.0125082-0.0242714j 0.0146357-0.0400041j 0.0272152+0.0514418j 0.0329979-0.00391765j -0.0354491+0.0317576j -0.0250859+0.0528416j 0.0134862+0.00797363j 0.0228209+0.0028161j -0.00351214+0.00832429j 0.013562-0.0470309j 0.0255412-0.00939075j 0.00813252+0.0251636j 0.0150114-0.0028206j -0.00694162-0.0207798j 0.0327077+0.00971235j 0.0350762-0.00510496j -0.0226226+0.0105547j 0.00551096-0.0101833j 0.0112436-0.0258973j 0.00469725-0.000666508j -0.0042918-0.00731719j -0.00600999+0.0271616j -0.00453751-0.0159311j -0.0120618+0.00861186j -0.0132719+0.0132887j 0.00684262-0.00411793j -0.0252162+0.0108607j -0.0149029-0.00319952j -0.0249863+0.00964017j -0.0263038-0.0126002j 0.0139265-0.00968725j 0.00390349-0.0150763j -0.0194205-0.0157892j -0.00720142-0.0204156j 0.0206621+0.00985273j -0.0108041+0.0195895j 0.0125396-0.0162282j -0.0202579-0.002279j -0.0163168+0.0499237j -0.0216175+0.00852185j -0.00262105+0.00776955j -0.00279244+0.0332389j 0.0223838-0.0047684j 0.0276535-0.0255053j 0.000178425-0.00485989j -0.0334635+0.0167599j 0.0296189-0.0434913j 0.0481228+0.0181791j 0.00838553-0.0141227j 0.00723117+0.0054218j 0.0178881-0.0159176j 0.0183505+0.0204035j 0.00421737+0.0071928j 0.022543-0.0107494j 0.0260581+0.0419637j 0.044686-0.0015697j 0.0226424+0.0379846j -0.0281696+0.034244j 0.0355147-0.0509956j 0.00267612+0.024565j -0.0765157+0.0593667j 0.0266766-0.0474127j -0.023088+0.000702538j 0.0152049+0.0219959j -0.0371629-0.0264584j 0.00136377+0.0984099j -0.0514875-0.0601168j 0.0730625-0.0781834j -0.144991+0.0709781j -0.127623+0.0199831j 0.0561308+0.192267j 0.12293-0.203779j -0.135534+0.21287j 0.00735425-0.180948j -0.147294-0.133041j 0.0219795+0.0554025j -0.0582561+0.0639056j 0.0494372+0.0483801j 0.0752526+0.118571j -0.0424711-0.015331j -0.0235664+0.0204182j -0.0464285+0.184664j 
0.0261292+0.0215348j 0.0158507-0.0511698j 0.00283219+0.0475463j 0.0935921-0.067267j 0.126196-1.249e-16j -0.0144019+0.0206221j -0.0238685-0.0431547j 0.0243282+0.00949823j 0.0437523+0.00550574j 0.0142332-0.0611566j 0.00817286+0.0352688j -0.0138624-0.044522j 0.0491366+0.0088889j -0.0228618+0.0396843j -0.0573288-0.0126135j 0.0238001-0.00173651j -0.0168564+0.0237628j 0.00798723+0.0102562j 0.0188528+0.0447531j 0.0153073+0.0327709j 0.00925646-0.00263502j 0.0226406+0.0415011j 0.0212853-0.0170217j 0.000204145-0.036139j -0.0124872+0.0249476j 0.0343595+0.0429894j 0.0102836+0.0141254j -0.014471-0.00556775j -0.0200021-0.00953308j -0.0128035-0.0121936j -0.0250918+0.0149229j 0.0291021+0.0525504j 0.0413126-0.00865771j -0.0260298+0.00975334j 0.0242725+0.0175003j -0.00876739+0.0143304j 0.0239188+0.00354236j 0.00419939-0.0247907j -0.00146262-0.0096686j 0.00817251-0.0463618j 0.00830699-0.00225286j -0.0139766+0.00404387j -0.00132168-0.0281206j -0.00240792-0.000333202j 0.0215002-0.00467033j 0.0101877-0.0058768j 0.016772+0.0348263j 0.00318796-0.041455j 0.00830279-0.0168831j -0.0377907-0.00189733j 0.0053302+0.0167365j 0.015722-0.0201617j -0.0264697-0.0132851j -0.000701545+0.0167124j 0.0223102-0.026583j 0.0266489-0.0944335j 0.0090625+0.0318386j 0.012751+0.0179707j 0.0277098-0.0225826j 0.0108241+0.0374961j -0.0243569+0.031387j 0.0230382+0.00287269j 0.0552788+0.0598534j 0.0283934-0.0069331j 0.0574688-0.0519684j 0.0235691-0.030679j -0.00116123+0.070503j 0.0671068-0.0503975j -0.0744847+0.0465028j -0.0368573+0.0374405j 0.0272316-0.00399485j 0.0863821+0.124236j -0.0142757-0.109837j 0.0609107-0.0429059j -0.0186927-0.0591143j 0.192388+0.155054j -0.0759753+0.202511j -0.00131834-0.0750462j -0.000806168+0.0589727j 0.00322809-0.0407955j -0.0260765-0.00988138j 0.00724946+0.137341j 0.0251627-0.116397j -0.152301-0.0708945j -0.0877948-0.0448471j 0.0859025-0.0781204j 0.0432804+0.0983521j 0.122749+0.0950665j 0.0365351+0.0285347j -0.00543689-0.0203035j -0.185804-0.0620471j 0.0731068+0.165578j 
0.0201694+0.00327261j -0.0445409+0.0488507j -0.0718594+0.0725899j 0.0317364-0.022906j -0.0144019-0.0206221j -0.152002-1.80411e-16j 0.0368621-0.0192156j -0.0160372-0.0249722j -0.00150069+0.0471435j 0.0448189-0.00421822j -0.0167701-0.00624853j -0.0122585+0.0159242j 0.0264701-0.0167321j 0.00181935-0.0183877j 0.0273537+0.00536772j 0.00249052-0.0211423j -0.046498-0.0741577j -0.036964-0.000148744j 0.0134706-0.00958914j 0.00922795+0.0267568j 0.0332275+0.0567461j -0.0229464-0.0166002j 0.000353921+0.0379614j -0.0380565+0.0173768j 0.00790681-0.0124652j -0.0142789-0.0300471j -0.0130459+0.0138609j -0.0269809-0.0451493j 0.0101729+0.0161913j 0.0380306+0.00946654j 0.00534662+0.0108299j 0.0250846+0.0189407j 0.00571801+0.0245345j -0.0170671+0.0167311j -0.0233597+0.0443178j 0.0315005+0.0150738j 0.00881901+0.0403553j -0.00639576-0.000614436j 0.0144414+0.00575476j -0.0242686+0.00308675j 0.0306645+0.00167138j 0.0172159+0.000439179j 0.00390962-0.00137137j 0.0328477+0.00204221j 0.038297-0.0269518j -0.0179818+0.0136445j 0.0570872-0.0136785j -0.00535723-0.0334873j -0.0318217+0.0484085j -0.0204712-0.000447479j -0.0234085-0.0208132j 0.0113011+0.0164542j -0.0388975-0.0230139j -0.0374309-0.0328853j -0.0333806-0.00381877j 0.0570161-0.046464j 0.0311823+0.0457216j -0.0051819-0.0146131j -0.0408029-0.00443283j -0.0189181-0.0108704j -0.0353301-0.00540622j 0.0936851+0.00265054j -0.0171602-0.0263363j 0.0398757-0.00253047j -0.0200466-0.0606707j -0.0518824-0.0760435j 0.0510467-0.0167318j 0.0108555-0.0318256j 0.171649+0.0934761j 0.00531173-0.0475163j -0.0492613-0.0112588j -0.0705617-0.0837253j -0.0983942-0.00665965j 0.0273326-0.0319299j -0.163484-0.0275503j 0.0610886-0.153805j 0.0191488+0.085931j -0.0141431-0.0644757j 0.113552+0.0620256j -0.0436289+0.05361j 0.0489603-0.0359008j 0.105951-0.103412j 0.094896-0.00861145j -0.144404+0.0356176j -0.0732188+0.06206j 0.0133985+0.0838711j -0.0678317-0.089094j 0.0327621-0.0344557j 0.10701-0.0433682j 0.0754989+0.0020447j -0.112748-0.333531j -0.37444-0.0213784j 
-0.0179346+0.101021j 0.00283107+0.022572j -0.025462+0.0133543j -0.00133357+0.000354657j -0.0238685+0.0431547j 0.0368621+0.0192156j 0.0789411+4.16334e-17j 0.00115264+0.0435188j -0.0404663-0.0378285j 0.0383039+0.0162046j -0.0312926+0.0250694j 0.0490365+0.0211501j 0.0132087-0.076891j 0.0110351-0.0096094j 0.00451764-0.0202367j 0.0263336-0.0445356j 0.0439174+0.0101366j -0.0156883+0.0322335j -0.0129597-0.0175676j -0.00352164+0.0189134j 0.0354887-0.00776048j -0.00122848+0.0428133j -0.0119627+0.019614j 0.0154909+0.00796754j 0.0138572-0.00554654j 0.0274311-0.0416213j -0.00137629+0.004454j -0.0107266+0.00810903j -0.01374+0.0100995j 0.0232178+0.0431735j -0.0118736-0.00220461j 0.0375475-0.015818j -0.0186038+0.0132982j 0.0370951-0.00718067j 0.0313644-0.0164019j 0.0028106+0.0222447j 0.0166945+0.00182584j 0.00250496-0.0160944j 0.0173643-0.0306858j 0.018267-0.0471841j 0.0187503+0.0250436j 0.0151639+0.0111455j 0.00903308-0.0403347j 0.0122873+0.00117712j 0.00797669+0.000380969j 0.00532652-0.0289457j 0.00676644+0.00624025j 0.0129599-0.00430893j 0.0366426-0.0512947j -0.0265378-0.00199647j 0.0133069+0.0183778j 0.012219-0.0300991j 0.0132703+0.0169213j -0.00751255+0.0345445j 0.00226001+0.0379313j -0.00655873+0.00620317j 0.00228793+0.00714296j -0.0618171+0.0137679j 0.00148937-0.0341356j -0.0342584+0.0379286j -0.0385216-0.0259497j 0.0391214+0.0192669j 0.0224193-0.0173313j -0.0169892-0.0274965j 0.0094651-0.00384823j 0.0181574+0.0530018j -0.0864661+0.0654657j -0.0159816-0.000532976j 0.024766+0.0318334j -0.0885588+0.014698j -0.0745384+0.0734918j -0.117938+0.155313j -0.0253483+0.0691955j 0.0301346-0.0796544j 0.0121053+0.17656j -0.103597-0.137198j -0.0610515-0.018693j 0.15126-0.112855j -0.0194825+0.0548804j -0.054654+0.112415j 0.0151901+0.0481085j -0.0865872+0.106184j 0.0911422+0.00729546j 0.122126-0.131109j -0.124475+0.117974j 0.00448127-0.198373j -0.00409461+0.0174473j -0.0961304+0.0509183j -0.0209869-0.125191j 0.0297125+0.00554235j 0.255619-0.115991j -0.141194-0.154022j 
-0.000397247+0.0350357j -0.0244313-0.0952702j -0.0290083+0.139731j -0.0321937-0.00535521j 0.0243282-0.00949823j -0.0160372+0.0249722j 0.00115264-0.0435188j 0.0161438+4.85723e-17j -0.00220476-0.00958431j -0.0316494-0.067919j 0.0360675+0.0159468j -0.00525752-0.0093422j 0.0272421-0.0393565j 0.0168354+0.0493084j -0.0232329+0.052363j 0.025461+0.0181801j 0.0490457+0.013763j -0.0517511-0.0547174j 0.0351212+0.0129217j 0.0468479+0.0117832j 0.000916427+0.0194674j -0.000621248+0.011416j 0.0200611-0.0588095j -0.0380072-0.0450068j 0.00153146-0.0187179j 0.0365417-0.0275348j 0.0133493+0.0156595j 0.0116893-0.0258721j 0.00577084-0.00479017j -0.0275871+0.00695458j 0.0189277-0.0121275j 0.00121559+0.0146564j 0.0138698+0.0106672j -0.0278113+0.0612323j -0.0237362+0.0329475j 0.0169788+0.00282037j 0.0144075+0.0243623j 0.00539036+0.00655536j -0.00777096+0.00983261j -0.0400592-0.0087433j 0.00823476+0.0677806j 0.00386712-0.0010239j -0.0543898-0.0285421j -0.0175305+0.0455129j 0.032171-0.0659839j 0.0119971-0.0305736j 4.35066e-05+0.104356j -0.02067+0.0202128j 0.00209033-0.0380831j 0.00640917+0.0576715j 0.0266187+0.0493148j -0.0112319-0.00293301j -0.0315869-0.024022j 0.0155569+0.0298689j -0.0061428-0.0467167j -0.00542654-0.00829268j -0.000983918-0.0107169j -0.00838066+0.0626996j -0.0366805-0.0318757j 0.0425856-0.049302j 0.000515028+0.0235488j 0.0550139-0.0681258j 0.00640321+0.0404444j 0.0199746-0.0232589j 0.0433197-0.0701617j 0.0636298-0.10585j 0.0299751+0.00489651j -0.0153746+0.0179696j 0.000835477+0.020163j 0.0259653+0.0164267j -0.0778962+0.0309662j 0.0772079-0.00997161j 0.00409738+0.0213036j -0.088636-0.00482555j 0.0603111+0.202227j -0.0780447+0.0290344j 0.151895+0.00921249j -0.0403432+0.0212035j 0.0474789-0.0468607j 0.0536414-0.186786j 0.216333-0.0106045j -0.0197376+0.0492261j 0.000714334-0.00461331j -0.12174+0.0689395j 0.0461248-0.0911697j -0.085546-0.017626j -0.079206+0.114621j 0.0454606+0.0437178j 0.185702-0.0237527j 0.0806122-0.344672j 0.198703+0.0488284j 0.075581-0.215527j 
-0.000214476+0.0310321j -0.0235441-0.0109467j -0.0447202+0.00683943j 0.0189327-0.0140145j 0.0437523-0.00550574j -0.00150069-0.0471435j -0.0404663+0.0378285j -0.00220476+0.00958431j 0.0160589+3.50414e-16j -0.108329-2.56832e-05j -0.0704192-0.00567734j -0.0191338-0.0391427j -0.0890305+0.0337991j 0.00555485-0.0424692j 0.00154038-0.0126224j -0.020506+0.00656598j 0.0214682-0.00248283j 0.0547001+0.0105956j 0.0289088+0.0601543j -0.0226624+0.0113876j 0.0307386+0.0262217j -0.00741015-0.0527114j -0.000225525-0.0289783j -0.0249918-0.0110701j 0.0176553+0.0529021j 0.0208587+0.0253529j -0.00946204+0.0191073j 0.0475262+0.0395105j -0.00520903-0.0384346j 0.0101293-0.0324273j -0.0446307+0.00767182j -0.012185+0.0695568j -0.000158149-0.0274446j 0.0225058+0.00623072j -0.0436112-0.0220449j -0.0588779-0.0348878j -0.0158153+0.0389843j 0.0310679+0.032593j -0.00457154+0.0362023j -0.00933802-0.0391142j -0.00730568+0.0366006j -0.030725+0.0265475j 0.0183209-0.0144246j -0.0149611+0.024558j -0.00096422-0.0260472j -0.0290044-0.00567223j 0.0342629-0.0331973j -0.0482755+0.000663619j -0.0207988-0.0681508j -0.048217-0.00850149j 0.00737862+0.0185364j 0.00884086-0.0770239j 0.0210987-0.023434j 0.0456273+0.0497617j 0.0322013-0.0538266j 0.0386292+0.0238121j 0.0425307-0.00894728j 0.0276399+0.00287285j 0.0228885+0.0331714j 0.0698078-0.00100531j 0.00319426-0.0367135j 0.00199467+0.0853285j -0.100705-0.0605777j 0.0141193+0.121685j 0.0980099-0.0158962j 0.00765413-0.025229j -0.0438134-0.0345232j -0.0042207+0.0206172j 0.00769888+0.149369j -0.0360383+0.021694j -0.073368+0.0133703j -0.0420345+0.0508677j -0.101604+0.0511405j 0.00862881-0.0241498j -0.14062+0.203582j -0.0474442-0.0835355j -0.093237+0.112319j -0.0112515-0.0300343j 0.0310542+0.0167953j 0.0444847-0.000262089j 0.0862567+0.151331j 0.0647689+0.0147328j -0.0494438-0.0168255j 0.0467358+0.0494875j 0.0854228-0.0503745j 0.0556936+0.0527358j 0.102363-0.0212642j -0.168219+0.0460343j 0.053553-0.257038j -0.121291+0.00252265j -0.0722349+0.0230431j 0.0176945-0.0231796j 
0.028966+0.0335354j -0.024989-0.00220308j -0.0567918+0.0535118j 0.0435106-0.0222218j 0.0142332+0.0611566j 0.0448189+0.00421822j 0.0383039-0.0162046j -0.0316494+0.067919j -0.108329+2.56832e-05j 0.0104776+1.66533e-16j -0.0110541+0.0354552j -0.0162443-0.0163279j -0.0319574+0.00756213j -0.0729633+0.00622097j -0.0117717-0.0719822j 0.00473723-0.0282709j -0.0272058-0.0206768j -0.0187067+0.0161781j -0.0164287-0.0066734j -0.0879526-0.0424325j 0.0244508-0.077824j -0.000717958+0.025399j 0.0163701+0.00539028j 0.0489443-0.000247381j 0.0193635+0.0459009j -0.0246805-0.0128487j 0.0169619+0.0498414j 0.0275357-0.0223312j -0.0247269+0.0127853j 0.0114645-0.0114282j 0.038543-0.0137711j 0.00619692+0.0234261j -0.0271746-0.0257196j 0.0359897-0.0550403j 0.00738081-0.0133997j -0.00407522+0.0381651j 0.0122025-0.00818977j -0.0517366-0.027713j 0.00173982+0.0366298j -4.60322e-05-0.0154749j 0.0390508+0.0303993j 0.0102277-0.0626708j 0.013792+0.0301164j -0.0229704-0.0715271j -0.0124888-0.00571386j 0.0083956+0.0252671j -0.0490186+0.0306337j -0.00600704+0.0129187j 0.00951389+0.0653217j -0.0157359-0.0485464j 0.0612506+0.0358491j 0.033833+0.0320445j 0.0209941-0.0313008j -0.00603171+0.00328577j 0.0300859+0.0807106j 0.0135121+0.0694888j 0.0025959+0.0649273j 0.0141719+0.0665507j 0.0545932+0.0154454j 0.0170619-0.0108216j -0.0495442-0.0986775j -0.0438705+0.0311367j 0.0359328-0.045999j -0.024187+0.00841485j 0.0069912-0.0161344j -0.0235268-0.0889526j -0.00820644+0.0183776j 0.0478696-0.106106j -0.0903663+0.0562147j 0.111701+0.0316086j 0.0827276-0.0943621j 0.0235113+0.0078599j 0.0110836-0.04155j 0.109308+0.0768181j -0.0846607-0.144091j 0.0701739-0.077166j -0.00925207+0.0649681j -0.0827818+0.0283852j 0.021295+0.112984j 0.119708+0.00563968j -0.0121118-0.0674239j 0.0822779-0.0131104j 0.0307328+0.14826j -0.0301733+0.115137j 0.100868-0.0489668j -0.0643417+0.00677686j -0.00947605-0.0352974j -0.0957548-0.068398j -0.0901383-0.00359104j 0.0361883+0.12801j 0.0438952-0.0746029j 0.0224537-0.0682436j 
0.000243606-0.0195294j 0.0243727+0.0285472j 0.0452241-0.00368738j -0.0125082+0.0242714j 0.00817286-0.0352688j -0.0167701+0.00624853j -0.0312926-0.0250694j 0.0360675-0.0159468j -0.0704192+0.00567734j -0.0110541-0.0354552j -0.056956-1.38778e-16j -0.0795443+0.0246895j -0.00506534+0.05233j 0.0181234-0.00270578j -0.00085625+0.00249325j -0.0149411-0.0116126j -0.00147451+0.00257281j -0.0615324-0.06406j -0.0127569+0.0160495j -0.00134872-0.081325j -0.0128938+0.0814826j 0.00693246-0.0450206j -0.0393318-0.0222982j -0.016836+0.0532797j 0.00654581-0.030539j 0.00377403-0.0660096j 0.019056+0.012758j 0.00544637+0.00910179j 0.0341112-0.0102435j -0.0338291-0.0245708j 0.0640311+0.0236356j -0.0540563-0.00480586j 0.040595-0.0249495j 0.00540646-0.00849071j -0.0408151+0.00292286j -0.0238703+0.0207853j 0.0337614-0.0426645j -0.0248483-0.0248682j -0.0336156+0.0364603j 0.00580223-0.0499353j -0.0118216-0.0284655j 0.0268159+0.00297571j 0.0358104+0.017387j -0.0329787+0.014922j 0.0311054-0.00999536j -0.0103749-0.00959155j 0.0694584+0.00218099j -0.0383183-0.00869908j -0.00521473+0.0441778j -0.0241432+0.0892693j -0.0295844-0.0482394j -0.00949704-0.0512472j -0.0465401+0.0314033j 0.0137981-0.00513775j -0.0129673-0.0473062j 0.0185211-0.0701027j 0.0357401+0.0770965j 0.127003+0.108312j 0.0598656+0.0236824j 0.0157886-0.0446857j -0.0250261-0.0233072j -0.002927+0.096067j 0.00442184-0.0657488j -0.0813245+0.207888j 0.0377365+0.105011j -0.182764-0.0188165j 0.0580844-0.0410677j -0.10067+0.163201j -0.039006+0.0579725j 0.0215123-0.0354893j 0.00252301+0.00763148j -0.00125123-0.0542068j -0.0194361+0.00747819j 0.127176-0.109052j -0.0640516-0.0416571j -0.0145024+0.0100426j 0.0800314-0.0582681j -0.0274569+0.0985713j 0.0510405+0.0191939j -0.180478+0.0327808j -0.0139072+0.0443309j 0.0156576+0.23269j -0.0188697-0.0838664j 0.0396831-0.00515109j -0.162393+0.00570958j 0.0445783-0.0761034j -0.12072+0.0928553j 0.0520652+0.0906352j 0.0257753+0.0334384j -0.0970378-0.0349646j -0.035772+0.0265164j 0.0420209+0.00439707j 
