2.181e-15-0.00407199j 4.844e-16+0.00509833j -2.0341e-18+0.00463709j 5.14143e-18+0.00389951j 2.58202e-18+0.00572501j -5.84711e-18+0.00166907j 1.89512e-20-0.00420071j 2.14339e-18-0.000415479j 7.91644e-18+0.00210969j -1.5967e-17+0.0059969j -1.24642e-18+0.000725173j -1.31968e-17+0.00120626j -4.5865e-18+0.00444023j 1.33468e-17+0.00427379j -1.86128e-17+0.00452671j 2.45697e-16-0.00445968j 9.27131e-19-0.00133405j 1.91501e-16+0.00170018j 5.04391e-17+0.00259423j -6.60122e-18+0.0018574j 1.51166e-17-0.00526j -2.78414e-19-0.0033847j -9.39634e-18+6.34427e-05j -2.12882e-16-0.0049005j 1.2634e-16-0.00349519j 6.89205e-18+0.00168999j -2.96087e-17-0.00840869j 5.55626e-17-0.00368386j -2.17401e-17-5.51849e-05j 6.09404e-18-0.0022038j -5.11958e-17-0.00182242j -8.3669e-16+0.00279408j 6.49315e-17-0.00391532j -1.21912e-16-0.00135094j -1.68445e-17+0.000569531j -7.19473e-17+0.00397571j -7.27422e-18+0.00265524j -7.80305e-16+0.00185546j 7.52489e-16-0.000146409j -1.0615e-15+0.000402225j 5.08331e-17-0.00448732j 1.79345e-16-0.00518476j 3.49598e-17-0.00146911j -1.42289e-17-0.00131741j -1.117e-17-0.00418945j 4.9822e-17-0.00302539j 1.37452e-17+0.0019107j -2.51764e-17-0.000466234j -1.29712e-18+2.28454e-05j 5.20663e-17+0.00354815j 2.46194e-17-0.00713861j 2.76611e-16-0.00490056j 5.72552e-18+0.00208144j 4.31579e-16+0.00529355j 3.73821e-17-5.26997e-05j 9.87244e-18-0.00158028j 2.2107e-17-0.00439271j -1.18647e-17-0.00222265j -4.9148e-17+0.00427965j -7.69064e-19-2.39434e-06j 5.25406e-18+0.000572175j -2.00687e-16+0.00591648j 2.5375e-17-0.00330885j -1.7132e-17-0.00211086j -1.59354e-17-0.00538137j 1.00353e-19-0.000568222j 1.27742e-20-0.00188285j -3.44906e-18-0.00561915j -1.24282e-18-0.00106239j 3.74413e-18+0.00262604j -4.76193e-18+0.00475608j 2.57812e-17-0.00156154j 2.18504e-17-0.00485457j -3.52507e-18-0.00490329j -1.33061e-18+0.0037123j 1.2765e-15+0.00533666j -5.73699e-15+0.00366625j 
5.11019e-16-0.00118929j 1.13734e-16+0.00225616j 6.7797e-18+0.000880968j -5.42877e-18+0.00257052j 2.15017e-19+0.00137753j -1.83005e-18+0.000540904j -6.46325e-19-0.00223999j -2.12438e-18-0.00242258j -2.25996e-18-0.000246497j -5.6966e-18+0.00198741j 8.32822e-19+0.00152655j -6.13255e-18-0.000186937j -2.41135e-18+0.00267995j -3.93442e-18-0.000414887j -1.3401e-17+0.000598112j 1.682e-16-0.00330993j 8.31402e-18+0.000328068j -9.7288e-17-0.00102185j 3.6182e-17+0.00267647j -9.74299e-18+0.00104066j -7.59925e-18-0.00132358j -3.35473e-18+0.00060983j -3.57511e-18+7.31803e-06j -1.03618e-16-0.00242157j 1.31512e-17+0.000116746j 6.95414e-18+0.0039257j -6.68296e-18-0.00214334j 1.37349e-17-0.00103668j -2.61729e-17-0.00043229j -5.4725e-18+0.000899229j -2.12962e-17-0.000786804j -4.27401e-16+0.00145714j 3.46206e-17-0.00181937j -4.74367e-17-0.000510186j -4.88024e-18+0.00106741j -3.91248e-17+0.0028255j -4.76893e-17+0.00289188j 1.29114e-15-0.00302586j -1.24487e-15+0.000187098j 1.60591e-15-0.000595361j 6.53887e-18+7.6393e-05j 1.75589e-17-0.000798251j 1.57238e-18+0.000293731j -9.97986e-18-0.000543831j -7.52624e-19-0.00134165j 1.76825e-17-0.000853641j -4.56057e-18+0.000673101j -1.98883e-17-0.0019441j 1.68185e-17-0.000464472j 8.06587e-18+0.00181637j -4.99546e-18-0.00392763j -6.64464e-17+0.00130933j 1.54676e-17+0.00229011j 1.28157e-16+0.00160824j 1.09171e-17-2.34053e-05j 7.16764e-18-0.0025382j 4.53152e-18-0.00244531j 3.53641e-18-0.000495205j -1.17921e-17+6.61143e-05j -1.69219e-17+0.00169026j -5.5683e-20+0.00105134j -3.11717e-17+0.000795992j 4.49171e-19-0.00249035j -2.66895e-17-0.00291552j -5.76082e-18-0.00120608j 6.61244e-19-0.000874025j 1.06896e-18+0.000497865j 6.94213e-19-0.00256555j -5.79848e-18-0.00148323j -2.63171e-18-0.00121559j -3.69864e-18+0.00128049j 1.25548e-17-0.000727555j 1.06808e-17-0.00276816j 1.10065e-18-0.000886149j 1.80641e-18+0.00238987j 7.38754e-16+0.00183729j -3.32184e-15+0.00184469j 
-1.42609e-15+0.00240473j -3.17135e-16-0.00217979j 1.28987e-17-0.00325128j -1.46619e-17-0.000751946j 1.32384e-18-0.00370004j 3.77036e-18-0.000927801j 1.62566e-18+0.0013832j 4.69163e-18-0.00224768j -5.38066e-18-0.00218046j 9.75245e-18-0.00328592j -2.88005e-18+0.000996083j 7.93587e-18-0.00129655j -2.16411e-18-0.0011238j -8.09674e-18-0.00432565j 7.01964e-18-0.0034576j -3.44455e-17+0.000458958j 4.79913e-18+0.00156535j -2.72403e-16-0.00264903j -1.31101e-17+0.000546686j -5.80261e-18-0.000557204j -2.48676e-17+0.00333674j -1.10443e-17+0.00373047j 4.71852e-18-4.96123e-05j 8.27978e-17+0.00182117j -1.06222e-16+0.00329649j -1.1622e-17+0.00272015j 1.50471e-17+0.00530439j -3.7128e-17+0.00221805j -7.01276e-18-0.000418271j -1.84309e-17+0.00297295j 2.36464e-17+0.000800489j 2.94394e-16-0.00095554j -2.02622e-17+0.00158004j 5.91013e-17+0.00067254j 6.65216e-18+0.00063983j 1.78599e-17-0.000544818j -5.23856e-17+0.000724714j 2.12131e-15-0.00496091j -2.03208e-15+0.000335481j 2.70548e-15-0.00100979j -4.62831e-17+0.00415261j -1.48523e-16+0.0038376j -3.34446e-17+0.00165064j 2.20072e-18+0.000605682j 8.12294e-18+0.0023462j -2.73475e-17+0.00181913j -1.71053e-17-0.00100374j 8.25397e-18-0.00168328j 2.12693e-17-0.000523906j -4.0164e-17-0.00125028j -2.32804e-17+0.00221947j -3.35642e-16+0.00586311j 5.73516e-18+0.000593198j -2.50737e-16-0.00305878j -2.20663e-17+2.24406e-05j 6.39859e-18-0.00131651j -1.22838e-17+0.0013349j 1.31027e-17+0.00147938j 3.81779e-17-0.00380987j -2.43238e-17+0.00183332j -8.09614e-18+0.000620025j 1.54276e-16-0.00450371j -1.78109e-17+0.000303087j -5.11922e-18-0.00124406j 4.63418e-18+0.0035741j 3.20076e-18-0.00043152j -3.74343e-18+0.00224704j 5.31055e-18+0.00231698j -9.36294e-19-0.000643311j 2.63462e-18-0.00369864j 2.62538e-18-0.00292637j -9.32613e-18+0.000628064j -4.82881e-18+0.00140404j 2.88044e-19+0.00348711j -5.2965e-19-0.000777864j -3.56398e-16-0.00284973j 1.60292e-15-0.00132671j 
-4.14254e-15+0.00806215j -9.19982e-16-0.0111577j -8.47101e-18-0.00852474j 1.95472e-18-0.00970542j -6.47066e-18-0.0109266j 1.14703e-17-0.00337868j -5.71221e-19+0.00972158j -5.91338e-18+0.004013j -1.1941e-17-0.002981j 3.21608e-17-0.0122004j 3.82239e-18-0.00325853j 2.76853e-17-0.00164068j 1.28438e-17-0.0107088j -2.06404e-17-0.00615598j 4.50371e-17-0.00795874j -6.23948e-16+0.0116128j -1.09211e-17+0.00164629j -1.70831e-16-0.0012611j -1.25578e-16-0.00779651j 2.46618e-17-0.00436815j -1.14788e-17+0.0101194j 9.79031e-18+0.00448541j 1.9713e-17-0.000110067j 4.7773e-16+0.0110755j -2.13607e-16+0.00534303j -1.2579e-17-0.00810424j 5.87003e-17+0.0162151j -1.05562e-16+0.00723929j 6.95298e-17+0.000686236j 2.26815e-18+0.00222428j 1.09983e-16+0.00396111j 1.9112e-15-0.0064208j -1.50952e-16+0.00868895j 2.57823e-16+0.00283502j 3.53438e-17-0.00237684j 1.70631e-16-0.0101789j 8.20626e-17-0.00819123j -5.7015e-16+0.00127268j 5.413e-16-2.87963e-05j -5.5639e-16+0.000191899j -8.46712e-17+0.00696158j -3.03812e-16+0.00927262j -5.51305e-17+0.00190661j 3.61806e-17+0.00282886j 1.93677e-17+0.00845838j -1.02176e-16+0.00594844j -1.5511e-17-0.00394252j 6.2952e-17+0.00342958j -2.24227e-17+0.000607956j -9.21557e-17-0.00810649j -3.45861e-17+0.0166885j -3.35699e-16+0.0059031j -2.68858e-17-0.00645323j -8.58544e-16-0.0105669j -7.40183e-17+0.00011545j -3.01409e-17+0.00600785j -4.28537e-17+0.0103086j 1.46976e-17+0.0041872j 8.98437e-17-0.00683207j 2.87752e-17-0.00233958j -6.19145e-18-0.00235873j 3.55597e-16-0.010422j -4.34818e-17+0.008664j 5.89192e-17+0.00736663j 3.52797e-17+0.0101477j -2.65478e-18+0.00210668j 1.49778e-18+0.00227524j 3.59231e-18+0.012407j 7.40848e-18+0.00372958j -7.69708e-18-0.00245071j 1.12085e-17-0.00926604j -5.82903e-17+0.00346808j -5.13185e-17+0.0114836j 6.54221e-18+0.00895119j 1.8572e-18-0.00916012j -3.03529e-15-0.0109524j 1.3642e-14-0.00833175j 
-3.48818e-15+0.00636243j -7.75011e-16-0.00748306j 1.02834e-17-0.00754346j -1.51306e-17-0.00519153j -2.09498e-18-0.00913073j 9.35765e-18-0.00257427j 1.1154e-18+0.00592566j 8.5217e-19-0.000799792j -1.24283e-17-0.00383954j 2.52553e-17-0.00922155j -5.60276e-19-0.00030524j 2.09184e-17-0.0022243j 4.02753e-18-0.00606692j -2.02954e-17-0.00772493j 2.71584e-17-0.00752879j -3.19077e-16+0.00570423j 1.38058e-18+0.00253634j -3.91259e-16-0.00361259j -6.966e-17-0.00284529j 4.574e-18-0.0025885j -3.3126e-17+0.0083526j -6.71294e-18+0.00629498j 1.42047e-17-0.000106188j 3.07843e-16+0.00703343j -2.16264e-16+0.00617746j -1.62246e-17-0.000479554j 4.44685e-17+0.0133353j -8.94574e-17+0.00578071j 2.25651e-17-0.000175818j -1.87189e-17+0.00441489j 7.61877e-17+0.00268724j 1.19112e-15-0.00396206j -9.08517e-17+0.0056921j 1.82985e-16+0.00203802j 2.41281e-17-0.000322529j 9.76883e-17-0.00516405j -2.21827e-17-0.0028162j 2.18554e-15-0.00514559j -2.09861e-15+0.000373494j 2.86692e-15-0.00107731j -8.94788e-17+0.00788471j -3.05393e-16+0.00855197j -6.23475e-17+0.00275058j 1.86366e-17+0.00195828j 1.82417e-17+0.00647163j -7.67491e-17+0.00474602j -2.66757e-17-0.00291301j 3.60695e-17-0.000409878j 1.40981e-17-0.000332352j -8.69644e-17-0.00505276j -4.31794e-17+0.00999375j -5.33393e-16+0.0093827j -4.12933e-18-0.00219304j -6.71781e-16-0.00823196j -5.84024e-17+7.72969e-05j -7.69096e-18+0.0011616j -3.38574e-17+0.00613168j 2.19583e-17+0.0035698j 8.26403e-17-0.0074323j -1.37523e-17+0.00106846j -1.13819e-17-0.000337263j 3.34853e-16-0.00983128j -4.09005e-17+0.00421049j 1.85954e-17+0.00185061j 2.1827e-17+0.00863854j 1.95082e-18+0.000442004j -2.59546e-18+0.00360167j 7.41002e-18+0.00819782j 1.3198e-18+0.000921424j -2.29968e-18-0.00535148j 7.5231e-18-0.00749969j -3.68166e-17+0.00226895j -2.91652e-17+0.00673498j 4.12635e-18+0.00800509j 1.00924e-18-0.00497834j -1.76343e-15-0.00816302j 7.92633e-15-0.00524118j 
9.87572e-17+0.000713122j 2.1483e-17-0.00381335j -3.02598e-17+0.000990076j 2.83077e-17-0.00613319j -7.53523e-19+0.000118776j 1.18119e-18-0.000495699j 8.71789e-19+0.00459269j 3.96764e-18+0.00883379j 1.31075e-17+0.00291479j 5.74072e-18-0.00194839j -9.69676e-19-0.0051324j 9.19455e-18+0.00184171j 7.42862e-18-0.00604327j 2.18109e-17+0.0055832j 3.03897e-17+0.00196353j -4.14422e-16+0.00842345j -2.84752e-17-0.00249873j 5.45204e-16+0.00548301j -8.59987e-17-0.00775936j 3.17552e-17-0.00222188j 4.50979e-17+0.000111447j 1.77651e-17-0.00549247j 4.76074e-18+3.15724e-05j 1.93702e-16+0.00462841j 7.23213e-17-0.00371875j -1.11699e-17-0.0133624j 8.36889e-19+0.000282699j 8.6748e-19+0.000495713j 7.81633e-17+0.00159408j 3.13261e-17-0.00548798j 3.29217e-17+0.00128821j 8.44333e-16-0.00292999j -7.17461e-17+0.00325868j 6.64434e-17+0.000676781j 5.08867e-18-0.00353019j 8.49864e-17-0.00703256j 1.79763e-16-0.00852228j -5.65667e-15+0.013258j 5.44495e-15-0.000849458j -7.11032e-15+0.00264341j 2.77064e-17-0.00449455j 1.04511e-16-0.00181804j 2.91233e-17-0.00249452j 2.45912e-17+0.00083628j -6.78104e-18+0.00118314j -1.97429e-17+0.000415723j 3.00321e-17-0.000772625j 4.73554e-17+0.00696463j -6.65289e-17+0.0017897j 1.92198e-17-0.00359123j 3.90233e-17+0.00826547j 5.20861e-16-0.00957561j -4.95263e-17-0.00676881j -8.48762e-17-0.00116376j -6.55057e-18+3.97377e-05j -2.32422e-17+0.00818282j 1.49865e-18+0.00519447j -2.35571e-17-0.000196875j -5.52066e-18+0.00375746j 6.82897e-17-0.00643725j 7.37657e-18-0.00346654j -7.34633e-17+0.00251212j 1.8827e-17+0.00638132j 7.9899e-17+0.00912228j 9.45697e-18-0.000449569j -4.18935e-18+0.0027952j -7.04748e-19-0.00365928j -6.85475e-18+0.00450334j 1.80187e-17+0.00465158j 7.43679e-18+0.00708797j 8.03389e-18-0.0004195j -2.3958e-17+0.00130703j -2.25369e-17+0.00599093j -4.68026e-18-0.00121973j -5.59118e-18-0.00562081j -1.61739e-15-0.0019954j 7.27332e-15-0.0035884j 
-2.61761e-15+0.00512026j -5.81165e-16-0.00716457j -7.16539e-18-0.00536572j 3.09538e-18-0.00631005j -5.01021e-18-0.00690941j 7.17203e-18-0.00215125j -9.48588e-19+0.00627759j -5.96306e-18+0.00278358j -8.29956e-18-0.00180516j 2.01291e-17-0.00777253j 3.67322e-18-0.00220371j 1.70886e-17-0.00098694j 9.29985e-18-0.00694232j -1.46118e-17-0.00373987j 2.81197e-17-0.00498067j -4.07833e-16+0.00758021j -6.81964e-18+0.000972284j -9.47119e-17-0.000645907j -8.01174e-17-0.00514745j 1.68043e-17-0.00282506j -5.24928e-18+0.00640512j 8.6854e-18+0.0026855j 1.25852e-17-6.8759e-05j 3.07086e-16+0.00713512j -1.31599e-16+0.00327721j -4.90032e-18-0.00549738j 3.83514e-17+0.0102663j -6.63383e-17+0.00459365j 4.57299e-17+0.000478315j 4.12296e-18+0.00125512j 7.04184e-17+0.00254168j 1.23288e-15-0.00414329j -9.77804e-17+0.00558733j 1.64973e-16+0.00181232j 2.33722e-17-0.00160152j 1.11611e-16-0.00663455j 5.88073e-17-0.0054183j -5.21315e-16+0.00117252j 4.93575e-16-4.17551e-05j -5.49792e-16+0.000194649j -5.09042e-17+0.00427969j -1.88035e-16+0.00581593j -3.31734e-17+0.00113709j 2.35429e-17+0.00181284j 1.23762e-17+0.00538396j -6.48448e-17+0.00377479j -9.05961e-18-0.00251563j 3.9321e-17+0.0023627j -1.65176e-17+0.000434211j -5.73312e-17-0.00522806j -2.19634e-17+0.0107869j -1.94612e-16+0.00346926j -1.68606e-17-0.00427017j -5.45991e-16-0.00671739j -4.70118e-17+7.41404e-05j -2.16924e-17+0.00402759j -2.78153e-17+0.00666565j 9.03427e-18+0.00264356j 5.50224e-17-0.00421818j 2.1842e-17-0.0016585j -2.85924e-18-0.0015883j 2.21359e-16-0.00652382j -2.82177e-17+0.00565807j 3.73346e-17+0.00491324j 2.35152e-17+0.00640746j -2.46761e-18+0.00141024j 2.20395e-18+0.00133803j 1.70953e-18+0.00797401j 4.08556e-18+0.0024884j -6.98089e-18-0.00135404j 6.70999e-18-0.00587376j -3.76598e-17+0.00223029j -3.39827e-17+0.00743109j 5.07941e-18+0.00562915j 1.98375e-18-0.00595087j -1.96535e-15-0.00698428j 8.83255e-15-0.00537049j 
-6.08879e-15+0.0106773j -1.35242e-15-0.0111279j 3.13653e-17-0.0135417j -3.8713e-17-0.00604352j -4.18604e-18-0.0158721j 1.55197e-17-0.00422048j 8.851e-19+0.00805567j -2.82579e-18-0.00563214j -2.89661e-17-0.00805162j 4.05974e-17-0.0150356j 8.11933e-19+0.00193871j 3.11122e-17-0.00473803j 4.399e-18-0.00760299j -4.78543e-17-0.0160642j 3.11827e-17-0.0139843j -3.55082e-16+0.00583051j 1.69828e-17+0.00559436j -9.41581e-16-0.00889319j -7.75538e-17-0.0011979j -7.01309e-18-0.00341527j -7.82735e-17+0.0144137j -1.81149e-17+0.0135438j 2.22961e-17-0.000199102j 4.39552e-16+0.00995723j -4.07775e-16+0.0124875j -1.92747e-17+0.00559335j 7.78434e-17+0.0229616j -1.5493e-16+0.00977423j 1.07202e-18-0.00107088j -4.56136e-17+0.0102852j 1.16058e-16+0.00403517j 1.65757e-15-0.00545393j -1.2317e-16+0.00829247j 2.8502e-16+0.00320461j 4.02394e-17+0.0011385j 1.29687e-16-0.00556355j -1.22882e-16-0.000780741j 6.50095e-15-0.0152863j -6.25233e-15+0.00105529j 8.38318e-15-0.00313679j -1.66357e-16+0.0158176j -5.77894e-16+0.0156866j -1.21069e-16+0.00596342j 2.04288e-17+0.00298982j 3.51752e-17+0.0106405j -1.2309e-16+0.00802054j -6.07227e-17-0.00467407j 3.78422e-17-0.00405818j 5.59009e-17-0.00143605j -1.59418e-16-0.00702522j -9.47448e-17+0.0133362j -1.17085e-15+0.0208549j 1.82191e-17-0.000544369j -1.12326e-15-0.0136988j -9.80103e-17+0.000114779j -4.18033e-18-0.00192194j -6.0129e-17+0.0081232j 4.97573e-17+0.00627777j 1.44084e-16-0.0146796j -5.48582e-17+0.00494534j -2.23842e-17+0.00108238j 6.13688e-16-0.0182361j -8.1157e-17+0.00422501j -8.41519e-18-0.00118016j 3.42179e-17+0.0151786j 4.70298e-18-0.000578216j -2.84662e-18+0.00799752j 1.57468e-17+0.0120341j -7.50669e-18-0.000640284j -9.9379e-18-0.0126766j 8.54839e-18-0.0127883j -5.23728e-17+0.0033016j -4.05969e-17+0.00878527j 1.0496e-17+0.0144517j 5.42555e-18-0.00592059j -2.27709e-15-0.0131796j 1.02327e-14-0.00735292j 
-3.2287e-15+0.0064208j -7.19326e-16-0.00934743j 9.64389e-19-0.00650457j -7.75837e-18-0.00859036j 6.41089e-18-0.00852499j 1.06816e-17-0.00272295j 7.60912e-18+0.00835159j 2.62079e-17+0.00457977j 7.14768e-18-0.00185537j 3.09573e-17-0.0098584j -1.37618e-17-0.00338571j 3.1967e-17-0.000982402j -1.27975e-18-0.00936028j 1.53531e-17-0.00390265j 5.59048e-17-0.0059031j -5.34699e-16+0.0104557j -2.45591e-17+0.000879563j -2.20499e-17-9.1314e-05j -1.34395e-16-0.00736304j 2.02977e-17-0.00377841j -1.14942e-17+0.00793136j -1.53247e-17+0.00261111j 1.64267e-17-8.09174e-05j 4.11859e-16+0.00941614j -1.75105e-16+0.00357122j -5.52454e-17-0.0085181j 3.06144e-17+0.012726j -8.78583e-17+0.00574186j 7.26126e-17+0.000796777j -1.66724e-17+0.00084369j 9.23392e-17+0.00330774j 1.62748e-15-0.0054991j -1.2596e-16+0.00732638j 2.12193e-16+0.00232738j 1.71939e-17-0.00243477j 1.30385e-16-0.00910743j 6.879e-17-0.00779621j -1.31888e-15+0.00315894j 1.30864e-15-0.000161151j -1.58544e-15+0.00058147j -8.62201e-17+0.00471028j -2.37019e-16+0.00695427j -4.99786e-17+0.00108381j 3.2668e-17+0.00234859j 1.00107e-17+0.00680735j -8.75692e-17+0.00471939j -6.20863e-18-0.00320905j 8.04825e-17+0.0038185j -2.20675e-17+0.00076749j -7.46006e-17-0.00692519j -5.61214e-18+0.0143989j -2.20669e-16+0.00305333j -4.87933e-17-0.00615096j -6.78963e-16-0.00845302j -5.89132e-17+9.67648e-05j -1.73636e-18+0.00603346j -2.36158e-17+0.00890884j 2.61853e-18+0.00324216j 9.0894e-17-0.00472929j 1.10551e-17-0.00288007j -1.46839e-17-0.00241022j 2.86444e-16-0.00773975j -1.49986e-17+0.00781649j 8.7e-17+0.00724931j 1.70478e-17+0.0078619j 5.93866e-18+0.00210356j -1.54592e-17+0.00118199j 6.52116e-18+0.0104369j 2.29811e-17+0.00367559j 2.51916e-17-0.000759626j 1.78894e-17-0.0073143j -4.79542e-17+0.00292527j -3.22649e-17+0.00995767j -9.50046e-18+0.00680056j -1.19347e-17-0.00808033j -2.63407e-15-0.00889016j 1.18494e-14-0.00710087j 
-5.64703e-16+0.00203053j -1.19913e-16-0.0056296j -6.51686e-17-0.000407244j 6.58558e-17-0.00770604j -3.29052e-17-0.0016694j -1.01959e-18-0.00104731j -2.04481e-17+0.00617201j -7.79653e-17+0.00946853j -2.73553e-17+0.0024198j -2.07641e-18-0.00393986j 4.41599e-17-0.00565286j -9.94587e-18+0.00156869j 4.31327e-17-0.00778052j -5.65397e-17+0.00456208j -4.49682e-18+0.000656413j -5.71407e-16+0.0103027j 3.08159e-19-0.00222316j 4.554e-16+0.00526308j -4.68972e-17-0.00901584j 4.68953e-17-0.00293112j 6.96012e-17+0.00176697j 8.87331e-17-0.00474493j 7.34519e-18+1.34843e-05j 2.53495e-16+0.00642918j 9.04872e-17-0.00283528j 1.03698e-16-0.0146553j 5.18085e-17+0.00293521j -1.78304e-18+0.00167902j 7.46343e-17+0.00170241j 9.4804e-17-0.00511043j 4.82559e-17+0.00193316j 1.1679e-15-0.00397334j -1.06433e-16+0.00467234j 1.0917e-16+0.00113899j 4.10982e-17-0.00391036j 1.58058e-16-0.00868068j 2.59041e-16-0.00984145j -5.87042e-15+0.0134334j 5.52879e-15-0.000852065j -7.21073e-15+0.00266826j 7.95759e-17-0.00334432j 9.87976e-17-0.000296291j 5.11977e-17-0.00217637j 2.94786e-17+0.00129708j 7.20734e-18+0.00256422j -2.44834e-17+0.00138801j 2.46858e-17-0.00141581j -5.56119e-18+0.00750854j -8.69946e-17+0.00188474j 1.93099e-17-0.00490876j -7.13659e-18+0.0109757j 5.80413e-16-0.00858598j -1.00322e-18-0.00780795j -2.41912e-16-0.0028899j -1.87437e-17+5.85299e-05j -9.68468e-17+0.00914558j -3.13991e-17+0.00686836j -7.60301e-18+0.000488747j -4.85749e-17+0.00263025j 1.3342e-16-0.00680412j 3.59713e-17-0.0038439j -6.97166e-17+0.000800597j -3.10606e-17+0.00778316j 1.45487e-17+0.010305j 4.76145e-17+0.00121197j -2.79425e-17+0.00313298j 4.38369e-17-0.00327792j -1.92062e-17+0.00652228j -1.90248e-17+0.00525031j -7.42932e-17+0.0066694j -1.11078e-17-0.00193462j -3.75599e-17+0.00187126j -6.18369e-17+0.0078551j 3.35545e-17+0.000247939j 2.81834e-17-0.00710571j -2.1192e-15-0.00378254j 9.50206e-15-0.0049428j 
-4.45815e-15+0.00911677j -9.92978e-16-0.0140321j -9.21393e-18-0.00876679j -5.10773e-19-0.0136154j 6.60219e-18-0.0118127j 1.48901e-17-0.00391918j 9.3785e-18+0.0128618j 3.20362e-17+0.00878231j 1.0923e-17-0.00177986j 4.37041e-17-0.0142314j -1.63828e-17-0.0061097j 4.53383e-17-0.000860721j 2.52568e-18-0.0146606j 2.22471e-17-0.00389382j 8.31517e-17-0.00766452j -8.60199e-16+0.0168343j -3.98622e-17+0.000537924j 1.14566e-16+0.00137448j -2.06274e-16-0.0123554j 3.76532e-17-0.00585838j -1.83356e-18+0.0110509j -1.17428e-17+0.00212411j 2.40855e-17-0.000103787j 6.24097e-16+0.0143508j -2.19902e-16+0.00394383j -7.19285e-17-0.0154945j 4.55597e-17+0.0177598j -1.20852e-16+0.00811387j 1.21302e-16+0.00154359j -1.03224e-17-0.000330436j 1.37143e-16+0.00494874j 2.49341e-15-0.00844312j -1.9535e-16+0.0110721j 3.13077e-16+0.00341913j 2.73252e-17-0.00434968j 2.075e-16-0.0145802j 1.4928e-16-0.0131662j -3.39054e-15+0.00801954j 3.30985e-15-0.000456513j -4.15169e-15+0.00153175j -1.07772e-16+0.00531409j -2.97726e-16+0.00916493j -5.93651e-17+0.000822872j 5.20592e-17+0.00349228j 1.27821e-17+0.00978257j -1.26275e-16+0.00667129j -5.87869e-19-0.00467044j 1.20535e-16+0.00721274j -5.00241e-17+0.00155646j -9.73652e-17-0.0106057j 1.59778e-19+0.0222701j -1.56175e-16+0.00162052j -7.77936e-17-0.0104j -9.6777e-16-0.0120639j -8.36583e-17+0.000145333j -1.34168e-17+0.0106239j -3.41504e-17+0.0138009j -1.90127e-18+0.00445098j 1.20883e-16-0.00554234j 3.81503e-17-0.00576442j -1.63829e-17-0.00429813j 3.74203e-16-0.0100663j -1.85693e-17+0.0126081j 1.37712e-16+0.0125706j 2.84648e-17+0.0108008j 5.5295e-18+0.00368821j -1.86827e-17+0.000640348j 6.30931e-18+0.0157349j 3.42858e-17+0.00638082j 3.16079e-17+0.00088535j 2.56418e-17-0.0102779j -7.34695e-17+0.00442247j -5.30921e-17+0.0154763j -1.1974e-17+0.00911518j -1.58552e-17-0.0127665j -4.10346e-15-0.012899j 1.84569e-14-0.010849j 
