-0.0201162-1.64799e-17j -0.0208535+0.000416125j -0.029733+0.001353j -0.0154746+0.00070894j -0.0173689-0.000500162j 0.0112327-0.00155761j -0.00776563+0.000785261j -0.00732133-0.00288447j -0.031942+0.00311667j -0.00903922-0.00281696j 0.0127071-0.00118415j 0.0198192+0.00157328j 0.0170987-0.00136632j 0.0280472-0.00344314j 0.0319511-0.00364225j -0.0167668+0.00176961j -0.0347835-0.000101545j 0.0108211+0.00159326j -0.0176556+0.000733762j -0.0699158+0.00267058j 0.0195401-0.00277958j 0.0673152-0.000724329j 0.0657587-0.00194499j -0.0442469-0.00143671j -0.00364071-0.00734607j -0.0167957-7.32928e-05j -0.0270443-0.000644139j 0.00455546+0.000715698j -0.0307929-0.000426609j -0.0286528-7.78933e-05j 0.0295371-0.00447728j -0.0192033+0.00239812j -0.0203565-0.000667612j 0.0162746+0.00203154j -0.0267842+0.00241793j 0.00153184+0.00241446j 0.0108872-0.00223038j 0.00870448-0.00122131j -0.0209007+0.00141508j 0.014168+0.00125509j 0.00311743+0.00349454j -0.00593489+5.88878e-05j 0.00783857+0.00130711j 0.00577859+0.000377865j -0.00452115+0.000870718j -0.018595+0.00142857j 0.019551-0.000319462j 0.0245137+0.00357507j 0.00722103+0.000105391j 0.0161817+0.000915402j 0.0168+0.00130321j -0.0233839+0.000356928j -0.0069054-0.000783268j -0.0280597+0.00415928j 0.0066448+0.00432961j 0.0107199+0.000646868j -0.0256491+0.00408158j -0.0310971-4.67665e-05j -0.0107441-0.00634723j -0.00458446-0.00474605j -0.0396429-0.00321536j -0.0554058+0.000118654j 0.138616-0.0207384j 0.0640908+0.000698116j 0.0826106+0.00820106j 0.0440494+0.00330842j -0.0768108+0.000208465j 0.0231858-0.00128366j 0.0252176+0.00287475j -0.0727191-0.0128245j 0.0179811+0.00362247j -0.0217181+0.00466588j -0.0170237+1.61543e-05j 0.00193203+0.00156542j -0.00154891+0.000319481j 0.027546-0.00501652j 0.00469387+0.000635326j 0.0305371-0.00736538j 0.042413-0.00432331j -0.00244669+0.00502972j 0.00128603+0.000530327j -0.0193406+0.00832528j -0.00883256-0.00254655j 0.0114546+0.000749846j -0.00900214+0.000837485j -0.0118297-0.00810858j 0.0479489-0.00495794j -0.030603+0.000699516j -0.0101768+0.0117593j -0.0396641-0.00165412j 0.000425807+0.00251606j 0.064859+0.00867434j 
-0.0208535-0.000416125j 0.0217083-0j 0.0208981-0.00159026j -0.0200209+0.00174505j -0.00810921+0.000544173j 0.0179241+0.000356549j 0.00346239-0.000467136j 0.0441328-0.0019444j -0.00976007-0.00260508j 0.0205291-0.00108477j 0.0223486+0.00137119j -0.00970755+0.00310809j 0.00595491+0.00273769j 0.0336266+0.00109797j 0.0208326+0.00249008j -0.0106628-0.00128037j 0.00443753-0.00373052j -0.015624+0.000978677j 0.00189291-0.00198382j 0.00739095-0.00565703j 0.0403407+0.0021788j -0.0218868+0.00763139j 0.0181933+0.00455665j 0.0270949-0.00299684j 0.0914257-0.00249213j -0.0123353-0.000205476j 0.017337-0.00382351j -0.00812995+6.88364e-05j 0.0187729-0.00248656j 0.0208649-0.00411154j 0.0360859+0.00197858j -0.0209809-0.000913196j 0.0258342-0.00175636j -0.0160252+0.00335926j -0.035157-0.00210882j -0.0253883+0.00200417j 0.0223385-9.65018e-05j 0.00357602+0.000432672j -0.0100955-0.00118668j -0.0135903+0.00213373j -0.0204718+0.00115283j 0.000329216-0.000522156j -0.0126064+0.00127714j -0.0157337+0.00123015j -0.0111144-0.000651595j -0.00572457-0.0020759j -0.000884381+0.00230593j -0.0333104+0.00337809j 0.000905327+0.000441879j -0.0176723+0.00198714j -0.00540583+0.00318696j 0.0105911-0.00401838j 0.00425637-0.000135847j -0.00633652-0.00576897j -0.0144504-0.000706713j -0.0116219+0.00129414j -0.02646-0.000323061j 0.010437-0.000374344j 0.06177-0.00422649j 0.0552059-0.00103725j 0.0331477-0.0057136j 0.0124264-0.00840353j 0.139754+0.0119726j -0.0182327+0.00915906j -0.081973+0.0134741j -0.034401+0.00696389j 0.0246471-0.00961608j 0.00316334+0.0032261j -0.0285782+0.00425379j 0.117359-0.0132493j -0.0337638+0.00208773j -0.0348374-0.00102634j 0.00260161-0.00112792j -0.0155246+2.56243e-05j -0.00335384+0.00105817j 0.0403517+0.00265883j -0.00160476-0.000144221j 0.0503887+0.00314467j 0.0279875+0.00446233j -0.0283865-0.000925208j 0.00529987-0.00216596j -0.0376242-0.00286398j 0.00926293-0.00149363j -0.00236301-0.00140943j -0.00369818+0.000179243j 0.0370786+0.000660709j 0.0268638+0.00256849j 0.0180496-0.0139176j 0.044871+0.00151021j -0.00063993+0.0105032j -0.0695763-0.00880674j 0.00209173+0.00193866j 
-0.029733-0.001353j 0.0208981+0.00159026j 0.108707-2.67147e-16j -0.0152788+0.00124169j 0.245632-0.00156025j -0.112947+0.00175995j 0.0323879+0.000679431j 0.0986171-0.000666782j -0.0664814-0.00272306j -0.0354218-0.00154552j 0.0197713+0.00390077j -0.000623315+0.00218565j -0.0101843+0.00329511j 0.0631502+0.00197699j 0.0107083+0.00111736j -0.0123627-8.89635e-06j 0.0697906-0.000662052j -0.0229314+0.00079788j -0.00700175-0.000316743j 0.0287469-0.00192766j 0.107927-0.000483574j -0.0488613-0.000778546j -0.115223+0.00355817j 0.18998-0.00124573j -0.0593435+0.0139126j 0.0322867+0.00250548j 0.0893362-0.000537982j -0.050342-0.00268328j 0.0477991-0.00321608j 0.0100986+0.00115634j -0.0148974+0.00178787j -0.00337335-0.00435152j 0.0570975+0.00527832j -0.0298595+0.00153625j 0.0204428-0.00632025j -0.00980365-0.00272443j -6.0307e-06+0.00167757j 0.00775453-0.000114811j 0.0840326-0.00259934j 0.00451306-0.00196313j 0.021865-0.00253751j 0.0119486+0.00254324j -0.00902807-0.0018972j -0.0139756-0.00138437j 0.0184259-0.00251095j -0.0247151+0.00228099j 0.00296868-0.00164577j -0.0422849-0.00301912j 0.0112106-0.00399119j -0.0495147+0.00198121j -0.0382515+0.0070646j -0.0439741+0.00340164j -0.000997799+0.00208704j -0.0744322-0.00398004j -0.0612406+0.00977761j -0.166685+0.00275737j 0.0846295+0.00163949j -0.0180405+0.00185995j 0.0428365+0.00385984j 0.00842874+0.00328807j -0.0105012+0.00372019j -0.0151821-0.0015812j -0.0517321+0.00411043j -0.0276579+0.00598802j -0.0192215-7.21445e-06j -0.000434989+0.00194394j -0.0248339+0.000580492j 0.0392983-0.00107115j 0.0174496-0.000458873j -0.0118977+0.00254131j -0.0263432+0.00195237j 0.0123782-0.000264589j 0.0543978-0.00156247j -0.0126768+0.000161094j 0.0306966-0.000563091j 0.0357751-0.00313643j 0.0129226-0.00343712j 0.01845-0.00816972j 0.00888482-0.00391869j 0.0204134+0.000474175j 0.00488038-0.000215261j 0.000555902+0.00737946j -0.000151111-0.0036124j -0.0174674+0.00178397j -0.0520016+0.0118762j 0.0163977+0.00371834j -0.0249255-0.0060398j -0.0339615+0.00244531j -0.00838148-0.00650003j -0.0413331-0.00972993j 0.0146718+0.00699949j 0.0409448+0.00129563j 
-0.0154746-0.00070894j -0.0200209-0.00174505j -0.0152788-0.00124169j -0.00994398-3.64292e-17j -0.0979063-0.0014223j 0.0418104+2.77743e-05j 0.0394495-0.00299774j -0.0397529-0.00218555j 0.0105752+0.00164242j 0.00949414-0.00377797j 0.0711272-0.00222054j 0.0702837+0.0020022j -0.00725489+0.000949224j -0.00146999+0.000483194j 0.00152737+0.000654773j 0.000683215-0.000386255j 0.0144078-0.00484855j 0.0317784+0.00157971j -0.042969+0.000831785j 0.00365336-0.00393193j 0.0632583-0.00361478j -0.0170442+0.00471321j 0.0647355+0.000243536j -0.00348755-0.00814699j 0.316346-0.00383451j 0.0590932-0.00338848j 0.0145734-0.00532523j -0.0347343+0.00484963j -0.0114877-0.00204925j 0.00783695-0.00110654j 0.0233935+0.00218765j -0.0643595+0.00127259j 0.0715477-0.00176404j -0.0203322+0.00161351j -0.0613705-1.44002e-05j -0.0206893+0.000662757j 0.0191281-0.00102636j -0.00604314-0.000869644j -0.0190301-0.00430909j -0.0434508+0.000900893j -0.0383431+0.00188924j 0.00813359-1.54413e-05j -0.0310315+0.00150024j -0.0442922+0.00178026j -0.049962-0.00180202j 0.0166573+0.00286259j -0.016963+0.000400394j -0.100467+0.0075909j -0.0287532-0.00135759j -0.0093567+0.00414744j 0.130579-0.00217959j -0.00853394+0.00380371j 0.0118422-0.00022437j -0.0566743+0.00363645j 0.123899-0.000991929j -0.0338752+0.0149896j -0.0181619-0.00710261j 0.0143485+0.00739885j 0.0613937-0.0120249j -0.0203902-0.00419854j -0.00837394+0.00170606j -0.0240715+0.00241753j 0.0313844+0.0129443j 0.0468655+0.00178349j 0.0324286+0.00025572j 0.00214354-0.000512703j -0.000149758+0.00492317j 0.00166518-0.00277318j 0.0173719-0.00204849j 0.0113296+0.000933002j 0.000307783-0.000966055j -0.00244709+0.00318112j 0.00961164-0.000440762j -0.0102388-0.00261846j 0.0101302+0.0022793j 0.0172276-0.00242721j 0.0289008-0.000547666j -0.0614704+0.00225922j -0.0237262-0.00204762j 0.0282468-0.002161j -0.0478805+0.000634889j 0.0238133+0.00205386j 0.0156505-0.0018151j -0.0361027-0.0143383j -0.0306459-0.00180834j -0.0606379+0.00521764j 0.00408623-0.00990784j 0.010409-0.00191418j -0.0277402-0.00636227j 0.0131972-0.00160235j 0.044271+0.00173572j -0.0135923-0.00701751j 
-0.0173689+0.000500162j -0.00810921-0.000544173j 0.245632+0.00156025j -0.0979063+0.0014223j 0.614193-5.18682e-16j -0.306995-0.000484981j 0.0296926-0.00109826j 0.153896-0.00473754j -0.0516113+0.00116174j -0.180566-0.000980187j 0.0109047-0.00152979j 0.0674772-0.000603759j 0.00197664+1.92448e-05j 0.112688-0.000601205j -0.0124015-0.000219263j -0.0317643+0.00128491j 0.0327354+0.00210719j 0.00941919-0.000863876j 0.0762452+0.00072169j 0.0833835-0.00125023j 0.112674-0.00720389j 0.0362428+0.00282067j -0.102274-0.00225749j -0.0440863+0.00178837j -0.0758207-0.000429965j -0.0330726-0.00202139j 0.00577886+0.000386269j -0.0330428-0.00388721j -0.0224023-0.00422774j -0.0320887+0.00552287j 0.00466873+0.00120163j -0.03958+0.00135487j -0.00689512-0.00342224j 0.0324353+0.00206941j -0.0394097+0.00504788j -0.00914108+0.000225584j -0.0187246+0.00217183j 0.0136996+0.00106822j -0.0254079+0.00234749j 0.0286566+0.00171238j 0.0152647+0.000315925j 0.00507346+0.00216917j -0.00922657+0.000533269j 0.00358068+0.00228576j 0.00813473-0.00154795j 0.0147191+0.00104845j 0.00317969+0.000424817j 0.0128199+0.00660382j -0.0261524-0.00469689j 0.0159907+0.00331744j 0.0176487-0.00176843j 0.0429672+0.00426872j 0.0215808+0.00269774j -0.0476043-0.000411233j -0.0169155+0.00241994j 0.0413058+0.00321787j -0.0674812+0.0096715j 0.0888712-0.00357689j -0.0109289+0.000988857j -0.0212191-0.00126771j 0.00308064-0.00227525j 0.0118973-0.00278179j 0.0135082-0.00432435j 0.0188972-0.00482434j 0.00865615-0.00386455j 0.0412463-0.00203817j 0.0328626-0.00425876j -0.0167873+0.00046561j -0.0349664+0.00381913j 0.0194139-0.00486409j 0.00802342+0.0045627j -0.00789889+0.00446404j -0.0202016-0.0011665j -0.000325183-0.000580942j -0.0291878+0.000889381j -0.00072908-0.00477984j 0.00519529+0.00349463j -0.030686+0.00441829j -0.00864463+0.00143008j 0.0207027+0.00265236j -0.0294084+0.00553275j -0.00158101-0.00634833j -0.0267275-0.00246154j -0.0179327+0.00646476j 0.0149584-0.00132467j -0.0168799-0.00462242j 0.0161624+0.0035653j 0.00599108-0.00472103j 0.00780294+0.00335916j 0.0433067+0.00660452j 0.00248369-0.00577255j -0.016455-0.00191361j 
0.0112327+0.00155761j 0.0179241-0.000356549j -0.112947-0.00175995j 0.0418104-2.77743e-05j -0.306995+0.000484981j 0.0568257+3.46945e-16j -0.0445139+0.00437886j -0.0845956+0.000856257j 0.0514742-0.00362485j 0.153402-0.000542437j 0.0198667+0.00170174j -0.0247041+0.00182204j 0.0261563-0.00158958j -0.0547163+0.00256424j -0.0397972-0.00281223j 0.0222926+0.00159621j -0.00311361+0.00547443j -0.0281038+0.00213833j 0.0249388+0.000350721j 0.212918-0.000768842j 0.196813-0.00437243j 0.129282-0.0022142j -0.109679-0.000496756j -0.181811+0.00146541j -0.045782+0.00439885j 0.10728-0.0020251j -0.0774587+0.00340156j -0.0130238+0.000920802j -0.0212568+0.00266321j 0.0179008-0.00478617j 0.00966894-0.00116509j -0.0416417+0.00236495j -0.0801136+0.000240584j -0.0342639+0.000156698j 0.0115871-0.00628342j 0.0106952+0.000118742j -0.0594248-0.00155068j 0.0296604-0.00309793j -0.0240886-0.00298898j 0.00488084+0.000242523j 0.0375103-0.00422326j -0.0354609+0.00226956j -0.0145175-0.00114446j 0.00178855+0.00347733j 0.00578205-0.00253977j 0.0176415-0.00120528j -0.00221536-0.000585776j -0.0722322+0.00165298j 0.0118596-0.000577331j -0.017795+0.000748567j -0.0317861+0.00715931j 0.00765567-0.0043941j 0.02035+0.00279327j -0.106925-0.000588207j -0.109212+0.00176097j 0.0477072-0.00399137j -0.0513664+0.00902502j 0.0767336+0.00192889j 0.00502395-0.00235696j -0.0362955-0.00117035j 0.0780926-0.00848998j -0.0675453+0.00642643j -0.0729502-0.000524368j -0.0113141-0.00190449j 0.00114783+0.00296097j 0.0354828-0.000509536j 0.00854422-0.00351476j -0.00013994-0.000925998j -0.0154714+0.00249144j 0.0319921-0.00731028j 0.0108781+0.00191568j 0.0039872+0.000911137j -0.0113735-0.00382983j 0.0033992-0.000665124j -0.0130227-0.0016137j 0.000590198-0.00233208j 0.0043186+0.00228941j -0.0309139-0.00230082j -0.00676662-0.00183319j 0.0158253+0.00187224j -0.0053154+0.00462304j -0.028702-0.00027199j -0.00423033-0.000109722j 0.013462-0.00100068j -0.0106533+0.000948689j 0.00369868-0.00651057j 0.0367032+0.00543415j -0.0200838-0.0089916j -0.00325181+0.00490902j 0.0136653+0.00246239j -0.00120214-0.00292546j 0.010964-0.000900814j 
-0.00776563-0.000785261j 0.00346239+0.000467136j 0.0323879-0.000679431j 0.0394495+0.00299774j 0.0296926+0.00109826j -0.0445139-0.00437886j -0.060942+1.60473e-15j 0.0461145+0.00237693j -0.0134163-0.00253603j 0.0496977+0.00171888j -0.0318386+0.000457318j -0.0129315+0.00300719j 0.0416307+0.000679399j -0.0508481+0.000317336j 0.0414187-0.00229385j 0.0104437+0.000785418j -0.0648538+0.00136117j -0.0770997+0.00235045j -0.0071842+0.0007481j -0.265231+0.00390902j 0.236691+0.00538726j -0.128287-0.00133982j -0.00359804-0.005575j 0.0807864-0.00253346j -0.169018-0.000667887j -0.00407177+0.00242731j 0.0906075-0.000172496j 0.0361395-0.00293927j 0.000961519+0.000585712j 0.0348991+5.60887e-05j 0.0134552+0.000131076j 0.0515658-0.00149695j 0.127864-0.000611151j -0.0386245+0.0025248j 0.0377424-0.00267841j -0.0312415+0.000818478j 0.0556514-0.00201507j 0.0377674-0.00060727j 0.0213273-0.00180652j -0.0236869+0.000668784j 0.0153877-0.000818723j 0.00316303-0.000993933j -0.00470486-0.000393029j -0.0695372+0.00109057j 0.0389316+0.00122532j -0.0182579+0.0028642j -0.0169318-0.00277402j 0.00925842-0.00437216j 0.125146+0.00087459j -0.0445614-0.00397719j -0.0807232+0.00136763j 0.0900639+0.00392451j -0.0254606-0.0016131j 0.00323819-0.00585467j -0.00863857-0.00221357j 0.00271211-0.00194811j -0.0989411+0.00488465j -0.0464646+0.00402814j -0.0160148+0.000425646j -0.0645404-0.00135632j 0.113068-0.00310579j -0.108145-0.00777932j -0.0424798+0.00290212j -0.00614856+0.00152778j 0.0211466+0.00141508j 0.0391139+0.00292949j 0.00281006-0.00146824j -0.00539347+2.4737e-06j -0.00158052+0.00194944j -0.00256274-0.00225066j 0.0146816-9.99167e-05j 0.0456354-0.00358396j 0.034459-0.00253119j 0.00614824-0.000650209j 0.0465329-0.00418311j -0.0361056+0.00804876j 0.0280485+0.000450558j -0.0156539-5.03695e-06j -0.0211101+0.00319483j 0.0370165+0.00197414j 0.0143256-0.00198943j 0.00753498+0.00227778j -0.0321862+0.00216417j -0.0418305+0.00637649j -0.00477081+0.00715976j 0.000664372+0.00615966j 0.0315039+0.00816449j 0.0290139-0.00382702j -0.0199435+0.00153573j 0.0367924+0.00469309j 0.00501129-0.00138832j -0.00917533-0.00445086j 
-0.00732133+0.00288447j 0.0441328+0.0019444j 0.0986171+0.000666782j -0.0397529+0.00218555j 0.153896+0.00473754j -0.0845956-0.000856257j 0.0461145-0.00237693j 0.0626123+1.0391e-15j 0.0504241-0.00245552j 0.0413353+0.00422426j 0.0310723-0.00563193j -0.0730587+0.000557642j 0.0422856+0.00187405j -0.0360083+0.000470144j -0.0871432-0.000319818j 0.102349-0.00184005j 0.0434177-0.000412941j -0.180722+0.000268645j -0.00676428+0.00228204j 0.249327+0.000311426j -0.0381199+0.0069508j -0.0724957+0.00703937j -0.126354-0.00607314j -0.022057+0.000185079j 0.122264-0.0123363j 0.119571+0.00117509j -0.0202247+0.00253247j -0.0375584-0.00345918j 0.099451-0.00122322j 0.0322675-0.00156191j -0.0343484+0.000223416j 0.0261579-0.000847886j -0.00611911-0.00178952j -0.0241292+0.00103111j 0.0718523+0.000785744j 0.0190692-0.00186332j -0.0915131+0.000990635j 0.0204576+0.000998479j 0.0697503-0.00179518j -0.0448105+0.000991676j -0.0451253-0.00117387j -0.0246421+0.00180164j -0.01061+0.000298657j -0.00323874+0.00378325j -0.00775578+0.000958491j -0.00304249-0.00116326j 0.0164592-0.000712276j -0.144778+0.00426611j -0.00895059+0.00196704j -0.0574013+0.00257405j -0.0115955+0.0017901j -0.028619-0.0013916j -0.0133484+0.0017921j -0.0120006-0.00610183j -0.0774958-0.00566812j -0.0336741+0.00230526j 0.124323-0.00564126j 0.00426697+0.00452761j 0.0402477-0.000136074j 0.0196327+0.00230374j 0.0329041+0.000818699j 0.0101232+0.00315473j -0.160725+0.00508009j -0.0686235+0.00388735j -0.0718419+0.000419079j -0.0478243+0.00109796j 0.0293453-0.00150096j 0.0237236-0.000989942j 0.00709153-0.00197963j 0.0438273+0.00276957j -0.04477+0.00160598j 0.0214658+0.00173485j 0.0379533+0.000731j -0.00741325+0.00150575j 0.0388322+0.000238177j 0.0212454-0.00574252j -0.0027258-0.00555524j -0.0121989-0.00260092j -0.0149615-0.00366298j 0.000205044-0.00374409j -0.00969648-0.000694618j 3.08642e-05+0.000321197j 0.0338026+0.00203165j 0.0078206-0.0123648j -0.0540115+0.00200315j 0.0495053+0.00429363j -0.0642676-0.0104888j -0.0215374-0.00195481j 0.0121873-0.0185721j 0.00676347-0.00392375j 0.00466111-0.00445797j 0.0457114-0.000687362j 
-0.031942-0.00311667j -0.00976007+0.00260508j -0.0664814+0.00272306j 0.0105752-0.00164242j -0.0516113-0.00116174j 0.0514742+0.00362485j -0.0134163+0.00253603j 0.0504241+0.00245552j -0.0869771-1.81018e-15j -0.0595425-0.000107509j -0.11627+0.00366558j -0.144291+0.000868226j 0.0975507-0.000861371j 0.0816798-9.54264e-05j 0.0309863-0.0034577j -0.0286989+0.000488318j -0.166552-0.0014349j -0.134883+0.005033j 0.346165-0.000763449j 0.0923088+0.00212024j 0.0561621+0.000497833j -0.181468-0.00191984j 0.253792+0.000301976j -0.0220909+0.00402013j 0.191901+0.000197677j -0.0614677+0.00286507j 0.107676+0.00616004j -0.0726039-0.00308458j 0.121637+0.00253336j 0.0440908-0.00373237j 0.0275234+0.00424755j 0.0194068+0.000756039j 0.107986-4.21811e-05j 0.0350273+0.00285248j -0.136045+0.00238695j -0.0470388+0.00667787j -0.0171747+0.00264878j 0.00705604-0.00208345j 0.0269763-0.00295724j -0.00858038-0.000652334j 0.0310869-0.0085061j -0.0100119+0.00348956j 0.0073256-0.00149013j -0.0352823+0.00535192j 0.0655309-0.0014161j -0.0541973+0.00517631j -0.0179646-0.0035808j -0.0863121+0.00193956j 0.0268067+0.00147899j -0.0288949-0.00103874j 0.205495+0.0005924j 0.0416919+0.00380979j -0.0107891+8.23582e-05j 0.0492618-0.000945389j 0.0282046-0.000267714j 0.025736+0.00104915j 0.0446821-0.00139081j 0.0170707-0.00363898j 0.0225738+0.00895915j 0.14012+0.000961987j 0.0283579-0.00296565j 0.00701719-0.00131347j 0.181018+0.00231763j 0.0061338-0.00489289j -0.0641662-0.00397677j -0.013606-0.00504251j -0.00956355+0.00163344j 0.0212368-0.00216175j -0.00701072+0.00413779j 0.109948-0.00220744j 0.00184353-0.00475569j -0.0376449+0.00272559j -0.0115037+0.00760388j -0.00895319-0.000696122j -0.00844444+0.0043053j 0.0364789-0.00128922j 0.0631949-0.00237909j -0.0056-0.0031502j 0.0305648-0.00837678j 0.0205397-0.000560201j -0.0127924-0.00753857j 0.0166117-0.00119613j 0.00113376+0.00464395j 0.00464983+0.000316855j 0.00540407-0.000744398j -0.0190819+2.45689e-05j 0.0309285-0.00638593j 0.0111046-0.00590444j 0.0354304+0.00407704j -0.00709339+0.00870649j 0.0336868+0.000979727j -0.00175328+0.00744946j 
-0.00903922+0.00281696j 0.0205291+0.00108477j -0.0354218+0.00154552j 0.00949414+0.00377797j -0.180566+0.000980187j 0.153402+0.000542437j 0.0496977-0.00171888j 0.0413353-0.00422426j -0.0595425+0.000107509j 0.0388311-9.59519e-16j -0.00544328-0.00125593j 0.0165211+0.00298927j 0.0987529-0.000170801j 0.0109931-0.00114365j 0.0045259+0.00156205j 0.00766176-0.00176284j 0.191677+0.00319903j 0.177374+0.000750958j 0.204338-0.00197255j 0.0617844-0.000279998j 0.0997335-0.000671402j -0.0633719-0.00277673j -0.178703-0.0012317j 0.498672-0.000421538j -0.23629-3.85676e-05j 0.0469304+0.00374498j 0.15637-0.00235115j -0.119325+0.00761988j 0.10261+0.00271919j 0.0716115-0.00592857j -0.0248691-0.00095534j 0.0484345-1.83318e-07j 0.0729632-0.0008473j -0.0176479-0.00211836j 0.0287247-0.000302085j 0.0288948+0.00272325j -0.0456728-0.00330495j -0.0390291-0.00216069j 0.111262-0.0018824j 0.0342411-0.000841227j 0.0675727+0.0012136j 0.0247102+0.00093347j -0.014862+0.000381837j -0.00900624-2.3025e-05j 0.0872656-0.00069455j -0.0217467-0.000368485j -0.0672655-0.0008938j 0.00471637+0.00055048j -0.0249184+0.000100092j 0.0121476+0.0010018j -0.025258+0.000984854j -0.0490947+0.00168883j 0.0551827+0.00036855j -0.0537671+0.00117782j -0.0857934+1.08508e-05j -0.12926-0.00231572j 0.0699217-0.00129763j 0.107538-0.00353636j 0.024963+0.000957585j 0.0786201-0.00468297j 0.0229339+0.000198125j 0.0886369+0.00216584j -0.155008-0.00610864j -0.0730851-0.00284663j -0.10596+0.00169598j -0.0304556-0.000965238j 0.0734827-5.73488e-05j -0.00212439-0.00113006j -0.027658+0.000338852j 0.109549-0.00434878j -0.0216587-0.000636849j 0.00839549+0.00436163j 0.0506833+0.00322121j 0.00074355-0.00141423j -0.00138349+0.00426138j -0.000496386-0.00399781j 0.0193802+0.0037461j -0.0208805+0.00286642j -0.0421571-0.00210762j 0.0199255-0.000706423j -0.0109763-0.0039646j 0.0423944-0.000929772j -0.0100419-0.00146748j -0.0395228+0.0124407j 0.00341628+0.00431615j 0.020047+0.00190071j -0.0695921-0.00124751j 0.00146392-0.000265051j 0.0319327-0.013096j 0.0736952+0.00459925j 0.00998782-0.0126433j 0.0268147-0.00137386j 
0.0127071+0.00118415j 0.0223486-0.00137119j 0.0197713-0.00390077j 0.0711272+0.00222054j 0.0109047+0.00152979j 0.0198667-0.00170174j -0.0318386-0.000457318j 0.0310723+0.00563193j -0.11627-0.00366558j -0.00544328+0.00125593j -0.30477-8.69639e-15j 0.0119764-0.00146967j -0.0509708+0.000619617j -0.151545+0.00280179j 0.0605947+0.00301872j 0.010742+0.000268955j 0.00496592+0.0017265j -0.0344604-0.000702948j -0.454732+0.00109309j 0.215988-0.00522354j -0.0350765-0.00319578j -0.159885-0.00142701j 0.159009+0.000353506j 0.0252425+0.00121978j -0.128603-0.00554122j -0.158597-0.000671609j 0.0629524-0.00317471j 0.0528283-0.00262196j -0.107787-0.00100898j 0.0524835-0.00418367j -0.019069+0.000150081j 0.0546454-0.000492791j 0.00998277+0.00646426j -0.0278752+0.00370359j 0.00983958-0.00263001j -0.0881604+0.00218762j -0.0414963+0.00769182j 0.0133222+0.000232403j 0.00681322-0.000204729j 0.0229803-0.00162207j -0.0388369+0.000378371j 0.000571581+0.000919849j 0.0565643+0.000225264j 0.0621317-0.00313704j 0.0571208+0.00343936j -0.026279+0.00316569j -0.0163928-0.0019707j 0.0216229-0.00754383j -0.00854542-0.00392202j 0.0111686+0.000218931j 0.0394301-0.00475216j -0.0975781+0.00490859j -0.0248774-0.0104788j -0.0399006-0.00262815j -0.10991-0.00231051j 0.0677964-0.00336816j 0.0224244+0.00121623j -0.0274049-0.000297625j -0.154465-0.00661651j 0.079872-0.000276422j 0.00925818-0.00385443j -0.0172693-0.00023641j -0.0984103+0.00160617j -0.0200829+0.00320013j 0.0156158-0.000725473j 0.0258588-0.000234371j -0.00794559+0.00014891j 0.0110091+0.00303316j -0.0124511+0.000757803j 0.0263744-0.00367393j 0.0323424+0.00316397j 0.0352522+5.76068e-05j -0.0207216+0.0013975j 0.0117768+0.00500709j 0.0110013-0.00184924j -0.0384607-0.00849802j 0.040212-0.00503226j -0.00473462-0.000356078j -0.013429-0.00208914j 0.0240625-0.00535871j -0.0105298-0.00649961j 0.0129986-0.00127732j -0.0165755+8.20969e-05j 0.0251866+0.00430048j 0.0129892-0.00272278j -0.00860182-0.00436948j -0.0183198-0.0013499j -0.022726-0.00190242j -0.0400236-0.0016222j 0.0232874-0.000806089j -0.00270498-0.00137315j 0.00776418-0.00489176j 
