-0.106046-7.80626e-18j -0.0943699+0.00125706j -0.0550601-0.0981524j -0.00227289+0.0538728j 0.0125371+0.0168777j -0.0163919+0.0624276j -0.0256339-0.0369691j -0.0183573+0.0536643j 0.00633346-0.0235883j -0.0102557-0.0543232j 0.00162471-0.0310063j 0.0523692-0.0205289j 0.0273241+0.0399977j -0.0501302+0.00373818j 0.00450253+0.0205688j -0.053726-0.0616092j 0.0062684+0.0174021j -0.0108608-0.0192824j -0.00331782-0.0294907j -0.00148749-0.0035605j -0.0234381+0.0177473j 0.0390705+0.0395852j 0.00981739+0.00757256j -0.0317399-0.00809944j -0.0377919-0.0165397j -0.0248989+0.00591701j -0.0160222-0.00481787j -0.012811+0.00379955j 0.0463386+0.00928187j 0.00955472-0.0112743j -0.0139215+0.00456403j -0.0442956-0.0140139j 0.0497844+0.0233699j 0.0301125+0.0160578j 0.0571327+0.0158854j 0.000562254-0.0104142j 0.00955476-0.0206968j 0.00759736+0.118335j -0.056883+0.0413209j 0.00921016-0.0198109j 0.0523529-0.0477257j 0.0174426-0.0241332j -0.101125-0.0447564j 0.0614962-0.0221705j 0.00416227+0.0224167j -0.00755481+0.0109833j -0.00425806-0.0540883j 0.037724+0.0286811j -0.0391188-0.0175323j -0.0144959-0.00559184j 0.0187967+0.00667527j -0.00535018+0.029137j 0.0562182-0.0360992j -0.00228345-0.0108845j 0.114263-0.143717j 0.0251993+0.0714479j 0.0170027+0.0506028j 0.0165854-0.0573951j -0.102576-0.104476j -0.0694355-0.165007j -0.100529+0.254117j -0.283704-0.16669j 0.0361825-0.0287894j -0.00753355-0.0108352j 0.00534579-0.000513509j -0.0491676+0.025762j -0.0363422-0.0768066j -0.270615-0.032808j 0.0587235+0.0264715j 0.0961612-0.0304013j 
-0.0943699-0.00125706j 0.118339+1.76942e-16j -0.024922-0.0721284j -0.076562-0.0947093j -0.0155406-0.0343329j 0.0207223-0.0119202j -0.0190114+0.0304912j 0.00126993-0.0274385j 0.0238388+0.00943161j -0.012041-0.0303541j -0.0636068-0.054744j -0.0114806+0.0232486j -0.00950819-0.0125141j -0.0223566+0.0444782j 0.0182268-0.015622j 0.0692432-0.0126489j 0.00263945+0.0412699j -0.0140537+0.00422151j 0.00162059-0.0475336j 0.0222651+0.029572j 0.002745-0.00429434j -0.0555177+0.0241047j 0.00326285+0.0260553j 0.00821827+0.007406j -0.0139008+0.0292341j -0.00754586-0.00953912j 0.0142174+0.0164029j -0.0202811-0.010334j 0.0273314+0.0108844j 0.0635929-0.0984462j -0.0152676+0.010543j -0.0317891+0.027699j -0.0162117+0.00548116j -0.039645+0.0145997j -0.0102056+0.0141544j 0.0116109+0.0581841j -0.00699983-0.0313059j 0.0838875-0.015905j 0.113369+0.0950514j 0.00668417+0.000390172j -0.0323459+0.14837j -0.0356781-0.0102928j 0.00533533+0.101138j -0.0665491-0.0622646j 0.00717728+0.0485117j -0.0333191-0.00998804j -0.0404243+0.023769j 0.00492601-0.0609397j 0.00169343+0.0761437j 0.0820957-0.0211849j -0.0186109+0.000233128j -0.0292261-0.0329204j 0.0975215+0.080357j 0.0939209+0.0143017j -0.0331742-0.0853744j 0.0236931+0.0321496j 0.0311219+0.0717719j -0.0333723-0.0783143j -0.0509317+0.135892j -0.174639-0.0395369j 0.303577+0.118586j -0.141943+0.284502j 0.0359634+0.000455864j 0.00647346-0.00143342j 0.0412202-0.0164321j 0.0531514+0.0663264j 0.0932143+0.008517j -0.240034+0.0788115j -0.0285157+0.0540385j -0.0284187-0.0499901j 
-0.0550601+0.0981524j -0.024922+0.0721284j 0.00855171+2.22045e-16j 0.0559044+0.068476j -0.0256674+0.000866614j -0.0286616-0.0629527j 0.00811604+0.028279j -0.00723803+0.00715424j 0.00268772+0.118175j -0.0802026+0.0833718j -0.00361926+0.0414815j 0.0445285-0.050864j -0.0130102-0.0313166j -0.0144338-0.0391319j 0.0282553+0.0375119j -0.0423672+0.0449j -0.0596179-0.10841j 0.00204334+0.0121924j -0.0238203-0.0148617j -0.0197377-0.0188314j 0.0565162-0.00549168j 0.00711137+0.0353437j -0.0119182+0.0725717j -0.00501819+0.0250922j -0.0215105+0.0524377j 0.00592124+0.0226402j -0.0252715+0.0166742j 0.0899932+0.0383495j -0.00760018-0.0525957j -0.00634272-0.0325821j -0.0717718+0.0722003j -0.0265727+0.0241222j 0.019756-0.0474572j -0.0717368+0.0437559j -0.0365098+0.140721j 0.0822087-0.0624205j -0.0604699-0.116896j -0.0205746-0.113109j -0.0286217+0.0909341j 0.00416515-0.0844043j -0.103118+0.040326j -0.0236906+0.0804469j -0.00382473-0.0539079j -0.0147662+0.0316697j 0.00763893-0.102869j 0.0285614-0.0658912j 0.0370065-0.0395344j 0.0111619+0.0833886j 0.0230217+0.122088j 0.0298363+0.0112558j -0.0415579-0.100042j -0.0574493+0.032313j 0.0348713-0.0112099j 0.0878913-0.0348322j -0.0787791+0.131477j -0.0773811+0.0234884j -0.00337937+0.0231625j 0.0321498-0.126683j -0.137888+0.169897j 0.14423+0.0595817j -0.169224+0.0505176j -0.0160547-0.051996j 0.0555065+0.0329907j 0.0172125+0.0211043j 0.0310574-0.0548008j 0.03786+0.00463249j -0.0331313+0.064579j 0.0666895+0.0238143j 0.00877449+0.00434432j 0.00502368-0.108958j 
-0.00227289-0.0538728j -0.076562+0.0947093j 0.0559044-0.068476j 0.0308118-1.11022e-16j -0.0500256-0.0968388j -0.0676502-0.0646786j 0.0500664-0.00437019j -0.0413879+0.0721228j -0.0214214-0.062199j 0.0264454-0.061989j 0.108072-0.0207127j 0.0160337-0.0616639j -0.0429828-0.0395512j -0.0492886+0.0718091j -0.0596589+0.0155895j -0.0613435+0.00297171j -0.0114003+0.0595628j 0.0307725+0.0580263j 0.0525832+0.00039209j 0.0149024-0.0514954j 0.0501163-0.0142237j 0.057455+0.0646905j -0.0481385+0.0613787j 0.00878845-0.00291365j -0.0003998+0.0402862j 5.96034e-05-0.051659j -0.0180724-0.0493801j 0.0609239+0.0132687j -0.0836741-0.0510828j 0.0347634-0.0475676j -0.0577339-0.055182j 0.0681272+0.0664459j 0.0682464-0.10483j 0.0520067-0.0374659j -0.00224716+0.0760846j -0.0381055+0.151196j 0.0930503-0.149283j 0.0150753+0.0372155j -0.0673319+0.0373111j 0.122245+0.0874423j -0.0502201-0.0115143j -0.0656194+0.0028429j 0.0222995-0.0222974j 0.0329971-0.0529113j 0.071692-0.121603j 0.00204782+0.00175387j 0.0689404-0.0329635j -0.0250149+0.154967j 0.00694838+0.0722376j 0.0334032-0.0184278j 0.0360299-0.0416616j -0.0528701-0.110243j -0.0350977+0.09068j 0.0339921-0.0517376j -0.0876877-0.0651051j -0.052671-0.0468159j -0.016252+0.0684383j 0.192272-0.0642793j -0.254451-0.0964684j 0.022848+0.0465511j -0.118098-0.0392389j 0.264873-0.0199808j 0.0404107-0.0332324j -0.0013368+0.0260807j 0.0197797-0.0421153j 0.0176014+0.0589392j -0.0896049+0.0650884j 0.317488+0.00181862j -0.0827192-0.0922311j 0.127199-0.0443825j 
0.0125371-0.0168777j -0.0155406+0.0343329j -0.0256674-0.000866614j -0.0500256+0.0968388j 0.00188332-1.77636e-15j 0.0552322-0.00288903j 0.0920158-0.00538439j -0.0311858-0.0398064j -0.0598304+0.0535741j -0.0165587-0.0104516j 0.0356877+0.0124616j -0.016588+0.0313913j 0.0407122-0.0255022j 0.0469845+0.153364j -0.0680322-0.0802199j -0.00757538+0.0881246j 0.0395347+0.0214873j -0.00984837+0.0878178j -0.00523903+0.0213151j -0.00333344+0.130082j -0.017477+0.0516666j -0.0111851-0.0181973j -0.0452547-0.0313194j -0.0651139+0.052606j 0.0123249+0.010516j -0.0565315-0.085726j -0.0486775+0.0167922j 0.0371132-0.16891j -0.0444771+0.00387845j -0.0921327+0.0865344j -0.000304126+0.0127578j -0.0140612+0.0466942j 0.00907864-0.00454305j 0.00510859+0.0720259j -0.0138891+0.0608718j -0.0114244-0.120331j 0.111315+0.00867507j -0.103515+0.122708j 0.0741562-0.0199669j 0.0255+0.165851j -0.0261894-0.0804876j -0.128956-0.090127j 0.110392+0.0975402j -0.0895455-0.0770997j 0.043103-0.0543332j -0.0318102-0.0413592j 0.0949871-0.00434949j 0.0431105-0.129253j 0.0314155+0.00104107j 0.0516764+0.0567999j -0.0466676+0.00661717j -0.0124748-0.0516446j -0.0349731+0.11952j 0.0476629-0.148226j -0.0809589+0.00949952j -0.10251+0.0893561j 0.0375122-0.0787655j 0.0880635-0.0116378j 0.0148944-0.119873j 0.023421+0.0497968j 0.0253111+0.109605j 0.0876989+0.0166254j -0.0275357-0.0467083j 0.0241252+0.043882j 0.0301327+0.0139819j 0.00945288-0.00450277j -0.0517737-0.0339145j 3.08617e-05+0.0180196j 0.0495092-0.136755j -0.159863-0.0324041j 
-0.0163919-0.0624276j 0.0207223+0.0119202j -0.0286616+0.0629527j -0.0676502+0.0646786j 0.0552322+0.00288903j 0.0293236-5.75928e-16j -0.0591942+0.0253317j 0.0133188+0.0160922j -0.0587812-0.0486412j 0.0440902+0.0137801j -0.137406-0.153854j -0.0234978-0.00889085j 0.00622152-0.00154923j -0.0504681-0.0586139j 0.00743829+0.0177997j -0.0240172+0.0639183j 0.0404207+0.00438644j 0.029886+0.0355847j 0.0676375+0.0221404j 0.0515744+0.0198008j 0.00551393+0.0170917j 0.041787+0.0665258j 0.00748004+0.0258741j 0.00574113-0.0559704j 0.0241951+0.0197102j -0.0649566-0.0403664j -0.0189266-0.158048j 0.0652642-0.0368827j 0.0676738-0.042402j -0.0143081+0.121109j -0.0405878+0.0434312j -0.13937+0.0734021j -0.0779911-0.0546717j -0.0179889+0.0190037j -0.141327+0.113818j -0.0381031+0.0233169j 0.0450576+0.151444j -0.115828-0.0634585j 0.0572516-0.0647894j -0.110869+0.0149043j 0.0224739+0.0744431j 0.059023-0.00308458j -0.117676-0.0752045j 0.0014672+0.0541306j 0.0433604+0.0029699j -0.0187774+0.0260869j 0.0575827-0.0902073j -0.0150383+0.0967305j -0.0281786+0.181996j -0.0761551-0.116235j 0.0508873+0.0507714j -0.0153112-0.0340313j -0.0204711-0.0753881j 0.0333754-0.0866318j -0.139774+0.0976502j -0.0264862-0.0576836j 0.146651-0.127511j 0.0657572+0.177793j 0.116922-0.0608965j 0.0278812-0.0390988j 0.191012+0.00107977j -0.229582-0.105772j 0.0982151+0.0264641j -0.0434173-0.0103338j 0.0589265-0.0553285j -0.00696126-0.101484j 0.0148868-0.000341731j -0.203821+0.0636103j 0.00230878+0.10248j 0.0942234+0.0836152j 
-0.0256339+0.0369691j -0.0190114-0.0304912j 0.00811604-0.028279j 0.0500664+0.00437019j 0.0920158+0.00538439j -0.0591942-0.0253317j 0.0656221-5.27372e-15j -0.0767372+0.069162j -0.00857446+0.0110975j -0.0679916-0.0468593j 0.000878206+0.00168346j -0.00837174-0.0495401j 0.00655912-0.00110833j -0.0352455+0.0371786j 0.0179622-0.0416073j 0.0258931-0.0124054j 0.0446875+0.0440009j 0.0284726+0.00475898j 0.0423801-0.000545082j 0.104964+0.101275j -0.00489802-0.0112805j -0.0208352-0.0142853j -0.0571921-0.0761534j -0.0315282+0.00758617j -0.00375724-0.014275j -0.104032-0.148399j 0.0336804-0.040934j 0.0106487-0.0554185j -0.0465844-0.00136055j -0.0871721+0.00728081j -0.0165971-0.031164j 0.0834117+0.0882856j 0.0755425-0.0435432j 0.0101011+0.0387449j 0.00347752-0.107959j -0.0608393-0.0243361j -0.0555147-0.0571421j -0.0237663-0.0631899j 0.0714014-0.0271858j 0.0183305-0.0501225j 0.0590867+0.091615j 0.018965+0.129323j -0.0550749-0.139586j 0.0442508+0.0976886j -0.0710628-0.0153288j 0.00105625+0.038551j 0.081123-0.036207j 0.0791148-0.108451j 0.0194149-0.0836873j 0.0400271-0.0159933j 0.104404+0.0596565j 0.0834554+0.127709j 0.0835221-0.0490986j 0.0154658+0.00215013j 0.033013-0.0561549j -0.110059-0.0496995j 0.116363-0.0745488j 0.0102184-0.0628016j 0.0653057+0.134577j 0.04803+0.019604j -0.0178825-0.0141944j 0.0200304-0.040391j -0.060189+0.0211572j 0.0356166-0.0160044j -0.0563912+0.0658431j 0.0373222-0.0419974j -0.0390657-0.0500452j -0.0680828+0.0397954j 0.194874+0.0741564j 0.0778121-0.118904j 
-0.0183573-0.0536643j 0.00126993+0.0274385j -0.00723803-0.00715424j -0.0413879-0.0721228j -0.0311858+0.0398064j 0.0133188-0.0160922j -0.0767372-0.069162j 0.0540779+1.20182e-14j -0.0365032-0.0123447j -0.0669733-0.0435854j 0.0683501+0.0759534j -0.0270257-0.0639032j 0.0222927-0.0186525j -0.0472308-0.0365616j 0.00369868-0.0811572j 0.0163075-0.0497622j 0.037855+0.00987725j 0.0226332+0.0774583j 0.0133742+0.0660665j -0.0953904-0.0664458j 0.0117072-0.0835877j -0.00447853-0.0545399j -0.0650261+0.181556j 0.00548846+0.00933908j -0.0193029+0.00745287j 0.0347728-0.0862081j -0.0837771+0.135362j -0.0243313-0.016745j 0.0411372-0.0777646j 0.129806-0.0744744j 0.050793-0.117128j 0.0600786-0.121738j 0.120447-0.103925j -0.0274959+0.00779659j -0.0673941+0.0563743j -0.0117608+0.00639806j 0.143477+0.118492j 0.0833146+0.1209j 0.112231+0.0610272j -0.0497523+0.0991826j -0.000138445+0.165572j 0.050637-0.0845636j -0.107713+0.0344177j 0.021815-0.0181239j 0.0940104+0.0331913j -0.0142159-0.0275717j -0.0242233-0.00638862j 0.0566286-0.0664038j -0.05142-0.0951306j 0.114963-0.02456j 0.0196217-0.0890016j 0.189552+0.0136567j -0.00152089-0.0308998j 0.10703-0.0944093j 0.02876-0.0587257j -0.106479-0.011573j 0.00701994-0.0262686j -0.0614768-0.0122936j 0.0763088-0.0408242j -0.0448813+0.0226005j -0.007277-0.047317j 0.0473126-0.0475384j -0.0664183-0.0437402j 0.0597983+0.0225923j -0.0136+0.0228606j 0.00689686-0.0263681j 0.0231534-0.0529865j -0.0643605-0.0456117j -0.109565+0.02711j 0.125231+0.094415j 
0.00633346+0.0235883j 0.0238388-0.00943161j 0.00268772-0.118175j -0.0214214+0.062199j -0.0598304-0.0535741j -0.0587812+0.0486412j -0.00857446-0.0110975j -0.0365032+0.0123447j 0.0338147+3.81639e-16j -0.0325184-0.00460366j 0.0083986+0.00294876j 0.125267-0.051542j 0.0126085-0.0241075j -0.0239003-0.0642028j 0.00825832-0.00967251j 0.00588905-0.0444842j 0.00961393-0.178108j 0.027056+0.113651j -0.0464382+0.0613652j 0.0671962+0.0308771j 0.0450136+0.00761827j 0.0407207-0.110099j 0.0401889+0.0043076j -0.0581451-0.0224322j -0.0132897-0.0881335j 0.0477768+0.0182456j -0.0145133-0.00884478j 0.120023+0.0462205j 0.00725769-0.0776794j 0.062259-0.080192j -0.0696984+0.0380892j 0.1078-0.00263697j 0.0613237-0.00601466j 0.0493285-0.0624887j 0.0417045+0.114344j 0.118471-0.158148j 0.0539634-0.0843054j -0.0886488+0.144689j 0.0285994+0.0069844j -0.0282734-0.0248527j 0.0281512+0.0185581j -0.0257105-0.00596703j 0.0313295+0.0935708j 0.0274021-0.0565374j -0.0640018-0.0215733j 0.0745183-0.0255972j 0.00190277+0.0496771j 0.00108799-0.071661j 0.0947459-0.0152997j -0.01062+0.0585046j -0.018878-0.048595j 0.0297497+0.106639j 0.0391687-0.0696279j 0.0247063+0.012401j 0.0528599+0.0325139j 0.0518546+0.0371947j 0.146031-0.0557526j -0.0106373-0.0219615j 0.0355189-0.0314123j 0.0279058+0.0938718j 0.0462135+0.0681481j 0.0690672-0.106439j 0.00254869+0.0281364j -0.0355493+0.035351j -0.0948486-0.0148615j 0.0585386-0.0411187j -0.124455-0.0629552j 0.0860815+0.146184j 0.043479+0.0635716j 0.000691162-0.011982j 
-0.0102557+0.0543232j -0.012041+0.0303541j -0.0802026-0.0833718j 0.0264454+0.061989j -0.0165587+0.0104516j 0.0440902-0.0137801j -0.0679916+0.0468593j -0.0669733+0.0435854j -0.0325184+0.00460366j 0.0114536-1.31839e-15j -0.107843-0.00841205j -0.0397117+0.0626523j -0.032295+0.0137935j -0.0676974-0.0345897j 0.103397-0.00874958j -0.0463065-0.0335636j -0.0217032-0.133452j 0.0272847+0.0410104j -0.0077711+0.107742j 0.0459254+0.0163676j -0.0308578+0.0757666j -0.0231765-0.0109474j -0.0207305-0.14475j -0.0880887+0.0494318j 0.0872125-0.0209647j -0.00232078-0.02356j 0.0269729-0.0232101j 0.0234028+0.002242j 0.0373712+0.00189468j -0.00720928+0.00338847j 0.0415515+0.0882848j 0.0918403+0.0499075j -0.108748+0.0366422j -0.0358395+0.132743j -0.0274367+0.0590452j 0.0467252+0.0894072j 0.0875732-0.113718j -0.0102684+0.0579014j 0.0379792+0.0264542j 0.0214562-0.023019j 0.066361+0.0620481j -0.0919267+0.0570085j -0.084741-0.0184037j 0.0485673+0.00560083j -0.0252239+0.0225193j -0.0429391+0.0690766j 0.0537604+0.00433429j 0.0225035-0.071136j 0.0152679-0.153099j 0.00352663+0.0975865j -0.0354536-0.147441j -0.0320087-0.0292711j -0.0126851-0.0246541j 0.00558739-0.0483789j -0.124568+0.0066183j 0.0690809-0.0107861j -0.12234-0.0321994j 0.0381275+0.014046j -0.0183553+0.0201788j -0.138724-0.0242293j -0.00638067+0.0370747j -0.0802032-0.0583673j -0.0624436+0.0249421j -0.0420847-0.0804916j -0.03864+0.0633319j 0.00407069-0.0251025j 0.0215778-0.137793j -0.0338383-0.0331098j -0.236524-0.0700533j -0.0263178+0.123933j 
0.00162471+0.0310063j -0.0636068+0.054744j -0.00361926-0.0414815j 0.108072+0.0207127j 0.0356877-0.0124616j -0.137406+0.153854j 0.000878206-0.00168346j 0.0683501-0.0759534j 0.0083986-0.00294876j -0.107843+0.00841205j 0.000569502-1.38778e-16j -0.0369668+0.0395998j -0.0808769+0.00978098j 0.0554167-0.0109204j -0.0163183-0.0452594j -0.0229979+0.0274823j -0.066357-0.0599291j 0.0198396+0.0425688j -0.0060921+0.0266535j -0.119264+0.0112939j 0.0150983+0.0672171j -0.0842012+0.106108j -0.0860555-0.0914648j -0.0460458+0.0468099j 0.0226596-0.0643944j 0.00586549-0.0238682j 0.00598792+0.088457j 0.00911564-0.140954j -0.00805629-0.0689959j -0.128013+0.0151926j -0.0149203-0.00220266j 0.00445298-0.0324495j -0.04128+0.0524087j -0.0547389-0.031354j -0.109124-0.102667j -0.0891388-0.0807723j -0.122453-0.0436793j 0.121278+0.0871926j -0.0158132-0.0217118j 0.080903+0.0563572j -0.071265+0.0396802j -0.00850844+0.00586211j -0.019518-0.0824074j 0.0057118-0.0510757j -0.00288501+0.138293j -0.0392464+0.00468848j -0.062509-0.051517j 0.109069-0.0764511j -0.0100421-0.0371226j -0.00194193-0.00286911j -0.0463231-0.0294158j -0.0142702-0.0702238j 0.104921+0.0466897j 0.00505099-0.0127338j 0.0280451+0.0237562j 0.0783032+0.000153044j -0.0956289-0.0773265j -0.0139894-0.0866528j -0.315171-0.0132117j 0.0716068+0.10599j -0.3527+0.00191805j 0.294309+0.0771033j -0.0298114-0.0599566j 0.0336272-0.0328883j -0.0389802+0.00168548j -0.000244542-0.0577947j 0.0620186-0.143712j 0.425466-0.0703836j -0.0989636+0.16187j 0.405392-0.0501264j 
