-0.11136+0.118765j 0.406423-0.0882997j 0.019396-0.0259719j 0.512255-0.205833j 0.265076+0.44021j 0.122626+0.26422j 0.0628347+0.109207j 0.0781233+0.0997605j -0.00618833-0.0335868j 
0.00697625+0.0273323j -0.0765436+0.0446516j -0.206682+0.0500499j 0.0646263-0.0399293j 0.34179-0.0703686j -0.312529+0.507707j -0.297531-0.308643j -0.370066-0.262987j 0.129925+0.102385j 
-0.00303851+0.047712j -0.017072+0.04479j -0.0621738+0.0848209j -0.0244308-0.0280194j -0.0234244-0.0050774j -0.000676233-0.0161651j -0.109267+0.511423j 0.337263-0.351241j 0.587952+0.309165j 
0.022997+0.0805928j 0.097373-0.0737695j 0.0111823-0.0238512j 0.0249156-0.143919j -0.0109402+0.288326j 0.0257403+0.123697j 0.01661+0.0926064j 0.0269523+0.0728132j 0.00296489-0.0204034j 
0.0258405+0.00686495j 0.00894016+0.0376522j -0.0303429+0.0368972j 0.0947797+0.0155244j 0.0227491-0.112968j 0.00911545+0.130487j -0.0008647-0.0522074j 0.0299401-0.158962j 0.0394043+0.0767374j 
0.0617674-0.00228757j 0.000165657+0.0124264j 0.0121442+0.0039794j 0.00163067+0.00820361j -0.0418028-0.0190737j 0.0469635+0.062059j 0.0457822-0.0622995j 0.0453039-0.0235294j 0.000764059+0.0127635j 
0.0225457-0.00132312j 0.0453582+0.00175618j 0.0235131+0.0141943j 0.0740253-0.0143666j -0.0691628-0.00590898j 0.100724+0.0416109j 0.0834778+0.0326549j 0.0830314-0.0726199j -0.0617406+0.0389292j 
-0.0468983+0.00743116j -0.00466784-0.000161714j 0.00661393+0.00272697j 0.00955568-0.0058207j -0.0454368+0.00423836j 0.0559033-0.00318238j 0.086004+0.0376276j -0.101746-0.0358488j -0.231653+0.0461387j 
