-0.035433-0j 0.496638-0j -0.525021-0j -0.383421-0j 0.654928-0j -0.113598-0j -0.00787343-0j -0.00574994-0j 0.104045-0j 0.156816-0j -0.120489-0j 0.104015-0j -0.0012046-0j -0.0046654-0j -0.0178489-0j -0.00127767-0j 0.0163479-0j 0.0119388-0j 0.0232303-0j 0.0222653-0j -0.0691287-0j -0.0049484-0j 0.0633151-0j 0.0462388-0j 0.0899706-0j 0.0862333-0j -0.0291472-0j -0.0199557-0j -0.0118993-0j 0.00997647-0j -0.0772882-0j -0.0460858-0j -0.00752577-0j 0.0386387-0j 
0.113598-0j -0.0913137-0j 0.0952549-0j -0.194601-0j 0.0428405-0j 0.261067-0j -0.355778-0j 0.726835-0j -0.300018-0j 0.196909-0j -0.308112-0j -0.0715585-0j 0.101309-0j -0.0134423-0j 0.08495-0j -0.119565-0j -0.0976243-0j 0.199441-0j -0.0672173-0j 0.0382059-0j -0.0112717-0j 0.0158646-0j 0.0129534-0j -0.0264631-0j 0.00891879-0j -0.00506939-0j -0.0248341-0j -0.105681-0j -0.0630162-0j -0.0113365-0j 0.0140224-0j 0.00836137-0j 0.187164-0j 0.0015042-0j 
0.104045-0j 0.104265-0j -0.0983789-0j -0.0718458-0j -0.182866-0j 0.300018-0j -0.325857-0j -0.237972-0j -0.307873-0j 0.153801-0j 0.318217-0j 0.69222-0j -0.103247-0j 0.0136994-0j 0.0976243-0j -0.10951-0j -0.10018-0j -0.0731612-0j 0.0471838-0j 0.181463-0j -0.0129534-0j 0.0145304-0j 0.0132925-0j 0.00970747-0j -0.00626063-0j -0.0240776-0j -0.00546162-0j 0.109147-0j 0.0650829-0j 0.191779-0j -0.0144823-0j -0.00863559-0j 0.041162-0j -0.0254463-0j 
0.0012046-0j 0.0151738-0j 0.0178489-0j -0.0364645-0j -0.0222653-0j 0.101309-0j -0.00781304-0j 0.0159616-0j 0.103247-0j -0.139851-0j -0.119565-0j 0.103217-0j -0.014586-0j -0.000142543-0j -0.216125-0j 0.0172144-0j -0.220259-0j 0.449979-0j -0.312988-0j 0.269602-0j -0.0021121-0j 0.000168229-0j -0.0021525-0j 0.00439744-0j -0.00305869-0j 0.0026347-0j -0.00465342-0j 0.268869-0j 0.160322-0j -0.134416-0j 0.00262754-0j 0.00156676-0j -0.476173-0j -0.00131358-0j 
-0.0046654-0j -0.058768-0j -0.0691287-0j 0.141226-0j 0.0862333-0j 0.0134423-0j -0.00103668-0j 0.00211789-0j 0.0136994-0j -0.0185563-0j -0.0158646-0j 0.0136955-0j 0.000142543-0j -0.0162193-0j 0.0021121-0j -0.000168229-0j 0.0021525-0j -0.00439744-0j 0.00305869-0j -0.0026347-0j -0.240326-0j 0.0191421-0j -0.244924-0j 0.500366-0j -0.348036-0j 0.299791-0j -0.529494-0j -0.00262754-0j -0.00156676-0j 0.00131358-0j 0.298976-0j 0.178275-0j 0.00465342-0j -0.149467-0j 
0.0232303-0j -0.00771601-0j -0.0106431-0j -0.00777259-0j -0.00750622-0j 0.0672173-0j -0.150672-0j -0.110035-0j 0.0471838-0j 0.177027-0j 0.0712947-0j -0.167718-0j 0.312988-0j 0.00305869-0j -0.143397-0j 0.331974-0j -0.100659-0j -0.0735108-0j -0.356059-0j -0.101133-0j -0.00140135-0j 0.00324424-0j -0.000983693-0j -0.000718388-0j -0.00347961-0j -0.000988331-0j -0.000590862-0j -0.160322-0j -0.0955979-0j 0.630096-0j -0.00156676-0j -0.000934235-0j -0.0604614-0j 0.00615764-0j 
-0.121618-0j 0.0582944-0j 0.054651-0j 0.0399114-0j 0.0245791-0j -0.0220652-0j 0.0144823-0j 0.0105764-0j -0.0227889-0j 0.00891879-0j 0.0125421-0j 0.00291287-0j -0.0041346-0j 0.470458-0j 0.00185795-0j 0.00235014-0j 0.00191888-0j 0.00140135-0j -0.0024654-0j 0.000835605-0j -0.211408-0j -0.267413-0j -0.218341-0j -0.159454-0j 0.280527-0j -0.09508-0j -0.0891375-0j 0.00207725-0j -0.00586125-0j 0.000222828-0j -0.236362-0j 0.666927-0j 0.00078338-0j -0.0253547-0j 
0.0314016-0j -0.0150515-0j -0.0141108-0j -0.0103051-0j -0.00634629-0j -0.166296-0j 0.109147-0j 0.0797099-0j -0.17175-0j 0.0672173-0j 0.0945243-0j 0.0219531-0j 0.423082-0j 0.0041346-0j -0.190119-0j -0.240484-0j -0.196354-0j -0.143397-0j 0.252278-0j -0.0855053-0j -0.00185795-0j -0.00235014-0j -0.00191888-0j -0.00140135-0j 0.0024654-0j -0.000835605-0j -0.00078338-0j -0.21256-0j 0.599767-0j -0.0228014-0j -0.00207725-0j 0.00586125-0j -0.0801612-0j -0.000222828-0j 
-0.0899706-0j 0.029884-0j 0.0412204-0j 0.0301031-0j 0.0290715-0j 0.00891879-0j -0.019992-0j -0.0146001-0j 0.00626063-0j 0.023489-0j 0.00945981-0j -0.0222539-0j -0.00305869-0j 0.348036-0j 0.00140135-0j -0.00324424-0j 0.000983693-0j 0.000718388-0j 0.00347961-0j 0.000988331-0j -0.159454-0j 0.369148-0j -0.11193-0j -0.0817423-0j -0.39593-0j -0.112458-0j -0.0672317-0j 0.00156676-0j 0.000934235-0j -0.00615764-0j -0.178275-0j -0.106303-0j 0.000590862-0j 0.700652-0j 
-0.00182383-0j -0.0136994-0j 0.0144823-0j 0.0105764-0j -0.0180657-0j 0.0824136-0j -0.00306109-0j -0.0022355-0j -0.0754828-0j 0.060968-0j -0.0468446-0j 0.0404398-0j 0.00180984-0j 0.00705518-0j -0.0143712-0j -0.00102873-0j 0.0131626-0j 0.00961264-0j -0.0349022-0j 0.0179271-0j -0.0560224-0j -0.00401023-0j 0.051311-0j 0.0374723-0j -0.136057-0j 0.0698842-0j -0.0236211-0j -0.0160675-0j 0.0453368-0j 0.00803265-0j -0.062635-0j 0.176733-0j -0.00605945-0j 0.0313131-0j 
0.0136994-0j -0.0123379-0j -0.0129534-0j 0.0264631-0j -0.0240776-0j -0.0355016-0j -0.0429051-0j 0.0876528-0j -0.0405371-0j -0.0181995-0j 0.0418991-0j 0.0911435-0j 0.0122174-0j 0.0476261-0j -0.0115521-0j -0.014419-0j -0.0131906-0j 0.0269476-0j 0.00621261-0j -0.0214728-0j -0.0450326-0j -0.0562084-0j -0.0514198-0j 0.105048-0j 0.0242182-0j -0.0837061-0j -0.0992169-0j 0.0143712-0j 0.00856935-0j 0.0252512-0j 0.0560224-0j 0.0334053-0j -0.0254518-0j 0.0984349-0j 
0.000271881-0j 0.00204218-0j -0.0021589-0j -0.00157664-0j 0.00269308-0j -0.0385998-0j 0.00143371-0j 0.00104704-0j 0.0353536-0j -0.0285554-0j 0.0219405-0j -0.0189407-0j 0.011808-0j 3.57981e-05-0j -0.0937626-0j -0.00671177-0j 0.0858774-0j 0.062716-0j -0.227713-0j 0.116963-0j -0.000284258-0j -2.03479e-05-0j 0.000260353-0j 0.000190135-0j -0.000690353-0j 0.000354593-0j -0.000119854-0j -0.10483-0j 0.295792-0j 0.0524076-0j -0.00031781-0j 0.000896746-0j -0.0395338-0j 0.000158883-0j 
-0.0144823-0j -0.0129534-0j 0.0345545-0j -0.00886857-0j -0.00546162-0j 0.0370339-0j -0.129061-0j 0.0331241-0j 0.0382485-0j 0.0279327-0j 0.0392804-0j 0.00912279-0j 0.0143712-0j 0.0560224-0j -0.0342894-0j 0.015243-0j -0.035414-0j 0.00908917-0j 0.00856935-0j 0.00541973-0j -0.133668-0j 0.0594207-0j -0.138052-0j 0.0354317-0j 0.0334053-0j 0.0211274-0j 0.0198069-0j 0.013473-0j 0.00803377-0j 0.00144526-0j 0.052521-0j 0.0313175-0j 0.005081-0j 0.00563397-0j 
0.0105764-0j -0.0264631-0j 0.00886857-0j 0.00398551-0j 0.00398861-0j 0.0756584-0j -0.0331241-0j -0.0148859-0j -0.0279327-0j 0.0570651-0j -0.0286864-0j -0.00666235-0j 0.0293597-0j 0.114451-0j 0.0246188-0j -0.0111319-0j -0.00908917-0j -0.00408464-0j -0.00625817-0j 0.0110722-0j 0.09597-0j -0.0433948-0j -0.0354317-0j -0.0159229-0j -0.0243958-0j 0.0431621-0j -0.162562-0j -0.00983931-0j -0.00586703-0j -0.00105547-0j -0.0383559-0j -0.0228711-0j -0.0417014-0j -0.00411447-0j 
-0.00204218-0j 0.00183922-0j 0.00193098-0j -0.00394488-0j 0.00358928-0j 0.0166278-0j 0.0200953-0j -0.0410537-0j 0.0189862-0j 0.00852404-0j -0.0196241-0j -0.0426886-0j 0.07971-0j 0.000241655-0j -0.0753693-0j -0.0940739-0j -0.0860594-0j 0.175815-0j 0.0405331-0j -0.140096-0j -0.000228496-0j -0.000285202-0j -0.000260905-0j 0.000533014-0j 0.000122883-0j -0.000424725-0j -0.000503428-0j 0.0937626-0j 0.0559092-0j 0.164747-0j 0.000284258-0j 0.000169499-0j -0.166056-0j 0.00049946-0j 
-0.0180657-0j 0.0240776-0j 0.00546162-0j 0.00398861-0j -0.0285145-0j -0.0166559-0j 0.0565799-0j 0.0413201-0j -0.0710959-0j -0.0197001-0j -0.0176662-0j 0.0719087-0j 0.0179271-0j 0.0698842-0j -0.00541973-0j 0.0190146-0j -0.0231342-0j -0.0168949-0j -0.0060437-0j 0.0282958-0j -0.0211274-0j 0.0741233-0j -0.0901826-0j -0.06586-0j -0.0235597-0j 0.110304-0j -0.00890808-0j -0.00605945-0j -0.00361316-0j -0.0134534-0j -0.0236211-0j -0.0140849-0j -0.00228516-0j -0.0524443-0j 
0.00576746-0j 0.0433213-0j -0.0457971-0j -0.0334455-0j 0.0571288-0j 0.0184905-0j -0.000686792-0j -0.000501562-0j -0.0169355-0j 0.0136789-0j -0.0105101-0j 0.00907316-0j 0.000196074-0j 0.000759392-0j -0.00155695-0j -0.00011145-0j 0.00142601-0j 0.00104141-0j -0.00378122-0j 0.00194219-0j -0.00603003-0j -0.000431645-0j 0.00552291-0j 0.00403337-0j -0.0146446-0j 0.00752205-0j -0.00254248-0j -0.00174072-0j 0.00491168-0j 0.000870238-0j -0.00674178-0j 0.0190229-0j -0.000656466-0j 0.00337042-0j 
-0.0433213-0j 0.0390158-0j 0.0409622-0j -0.0836836-0j 0.0761401-0j -0.00796521-0j -0.00962626-0j 0.0196659-0j -0.00909497-0j -0.00408328-0j 0.00940056-0j 0.0204491-0j 0.0013236-0j 0.00512628-0j -0.00125152-0j -0.00156212-0j -0.00142903-0j 0.00291944-0j 0.00067306-0j -0.00232632-0j -0.00484712-0j -0.00605005-0j -0.00553462-0j 0.0113069-0j 0.00260675-0j -0.00900978-0j -0.0106793-0j 0.00155695-0j 0.000928383-0j 0.00273565-0j 0.00603003-0j 0.00359561-0j -0.00275739-0j 0.0105951-0j 
0.0021589-0j 0.00193098-0j -0.00515107-0j 0.00132205-0j 0.000814171-0j -0.0173455-0j 0.0604479-0j -0.0155142-0j -0.0179143-0j -0.0130828-0j -0.0183976-0j -0.00427281-0j 0.0937626-0j 0.000284258-0j -0.223715-0j 0.0994503-0j -0.231052-0j 0.0593007-0j 0.0559092-0j 0.0353601-0j -0.000678233-0j 0.000301501-0j -0.000700476-0j 0.000179781-0j 0.000169499-0j 0.0001072-0j 0.0001005-0j 0.0879025-0j 0.0524149-0j 0.00942936-0j 0.000266492-0j 0.000158905-0j 0.0331501-0j 2.85868e-05-0j 
0.0457971-0j 0.0409622-0j -0.109271-0j 0.0280449-0j 0.0172712-0j 0.008309-0j -0.0289564-0j 0.00743179-0j 0.0085815-0j 0.00626704-0j 0.00881302-0j 0.00204681-0j 0.00155695-0j 0.00603003-0j -0.00371484-0j 0.00165139-0j -0.00383667-0j 0.000984699-0j 0.000928383-0j 0.000587161-0j -0.0143875-0j 0.00639581-0j -0.0148593-0j 0.00381372-0j 0.00359561-0j 0.00227407-0j 0.00213194-0j 0.00145964-0j 0.00087036-0j 0.000156576-0j 0.00565315-0j 0.00337089-0j 0.000550464-0j 0.000606418-0j 
-0.0334455-0j 0.0836836-0j -0.0280449-0j -0.0126033-0j -0.0126131-0j 0.0169748-0j -0.00743179-0j -0.00333982-0j -0.00626704-0j 0.0128032-0j -0.00643612-0j -0.00149478-0j 0.00318076-0j 0.012319-0j 0.00266715-0j -0.00120601-0j -0.000984699-0j -0.00044252-0j -0.000677995-0j 0.00119954-0j 0.0103298-0j -0.00467084-0j -0.00381372-0j -0.00171387-0j -0.00262587-0j 0.0046458-0j -0.0174975-0j -0.00106597-0j -0.000635621-0j -0.000114347-0j -0.00412848-0j -0.00246175-0j -0.00451784-0j -0.000442865-0j 
-0.00157664-0j 0.00394488-0j -0.00132205-0j -0.000594124-0j -0.000594586-0j -0.0354359-0j 0.0155142-0j 0.00697205-0j 0.0130828-0j -0.0267274-0j 0.0134357-0j 0.00312042-0j 0.191552-0j 0.000580725-0j 0.160621-0j -0.0726282-0j -0.0593007-0j -0.0266495-0j -0.0408303-0j 0.0722388-0j 0.000486952-0j -0.000220185-0j -0.000179781-0j -8.07928e-05-0j -0.000123784-0j 0.000219005-0j -0.00082484-0j -0.0641949-0j -0.0382784-0j -0.00688623-0j -0.000194618-0j -0.000116048-0j -0.272074-0j -2.08768e-05-0j 
