0.27959-0j -0.38102-0j 0.778403-0j -0.321304-0j 0.21088-0j 0.0740904-0j -0.0766355-0j 0.0621267-0j -0.0874416-0j -0.329973-0j -0.0713958-0j 0.145858-0j -0.0491582-0j 0.0279412-0j -0.0460858-0j -0.0772882-0j 0.136879-0j -0.00829076-0j 
0.321304-0j -0.348977-0j -0.254856-0j -0.329716-0j 0.164713-0j -0.0755076-0j 0.741333-0j 0.0713958-0j -0.0800879-0j 0.340794-0j -0.0732649-0j -0.0535051-0j 0.034507-0j 0.13271-0j 0.0475972-0j 0.0798229-0j 0.0301031-0j 0.140254-0j 
0.0740904-0j -0.00571393-0j 0.0116733-0j 0.0755076-0j -0.102278-0j -0.0156603-0j 0.0754862-0j -0.232043-0j 0.0184823-0j -0.0874416-0j -0.236482-0j 0.48312-0j -0.33604-0j 0.289458-0j 0.172131-0j 0.288672-0j -0.511244-0j -0.144316-0j 
-0.121618-0j 0.0798229-0j 0.0582944-0j -0.125606-0j 0.0491582-0j 0.454243-0j 0.016055-0j -0.204122-0j -0.258196-0j 0.0691287-0j -0.210816-0j -0.153958-0j 0.270858-0j -0.0918029-0j 0.643941-0j -0.228215-0j -0.0860653-0j -0.0244808-0j 
0.0491582-0j -0.110191-0j -0.0804721-0j 0.034507-0j 0.129466-0j 0.33604-0j -0.122658-0j -0.153958-0j 0.356425-0j 0.0521401-0j -0.108072-0j -0.0789249-0j -0.382284-0j -0.108582-0j -0.102639-0j -0.172131-0j -0.0649145-0j 0.676503-0j 
-0.0227889-0j 0.000846447-0j 0.000618157-0j 0.0208723-0j -0.0168588-0j 0.00997539-0j -0.0111823-0j -0.0792107-0j -0.0056701-0j 0.0129534-0j 0.0725492-0j 0.0529824-0j -0.192372-0j 0.0988099-0j 0.249885-0j -0.0885602-0j -0.0333981-0j 0.0442739-0j 
0.00981684-0j 0.011864-0j -0.0242376-0j 0.0112092-0j 0.00503249-0j 0.067339-0j -0.0252028-0j -0.063672-0j -0.0794736-0j -0.0115859-0j -0.072703-0j 0.148528-0j 0.0342424-0j -0.118353-0j 0.0472321-0j 0.0792107-0j -0.140284-0j 0.139178-0j 
0.0882608-0j -0.00327827-0j -0.00239411-0j -0.0808383-0j 0.0652937-0j 0.0013236-0j 0.043309-0j -0.0105101-0j -0.000752343-0j -0.0501682-0j 0.00962626-0j 0.00703003-0j -0.0255251-0j 0.0131107-0j 0.0331562-0j -0.0117507-0j -0.00443147-0j 0.00587453-0j 
-0.0380205-0j -0.0459492-0j 0.0938717-0j -0.0434131-0j -0.0194908-0j 0.00893494-0j 0.0976101-0j -0.00844838-0j -0.010545-0j 0.0448718-0j -0.00964667-0j 0.0197076-0j 0.00454348-0j -0.0157038-0j 0.00626704-0j 0.0105101-0j -0.0186137-0j 0.018467-0j 
0.00460565-0j -0.0156454-0j -0.0114258-0j 0.0196593-0j 0.00544743-0j 0.0988099-0j -0.0198841-0j -0.0298722-0j 0.104804-0j 0.00488502-0j -0.12751-0j -0.0931202-0j -0.0333114-0j 0.155959-0j -0.0199148-0j -0.0333981-0j -0.0125952-0j -0.0741515-0j 
0.0396615-0j -0.138218-0j 0.0354743-0j 0.0409622-0j 0.0299145-0j 0.0105101-0j 0.00977005-0j -0.0250769-0j 0.0111477-0j 0.0420673-0j -0.0258994-0j 0.0066472-0j 0.00626704-0j 0.00396362-0j 0.00587535-0j 0.00985326-0j 0.0037159-0j 0.00105697-0j 
