0.170326-0.0304118j -0.0445023-0.138962j -0.00123041+0.03977j -0.0355343+0.113737j -0.164408-0.0866528j -0.0805393+0.235092j -0.058205-0.0533294j 0.314132-0.0225361j 0.0269284-0.0846893j 0.0261036+0.138738j -0.112755+0.2782j 0.258154-0.144391j 0.0185339+0.207251j 0.0898822-0.0680438j 0.167867+0.118371j -0.139623-0.170874j -0.0764671+0.0359639j -0.135838-0.146663j -0.1924-0.261977j -0.0946356+0.0370352j -0.161736+0.0896607j -0.0153193-0.113083j 
-0.104386+0.0235024j 0.0138719+0.0938193j -0.00962161+0.0547765j 0.0460746-0.0680079j 0.0133622+0.028761j 0.0252072-0.0608898j 0.0199492-0.0735549j -0.118276-0.0399237j 0.0611521+0.0533971j 0.000767264-0.0846282j 0.0740569-0.104145j -0.143115+0.126276j 0.0485964-0.0747647j -0.111691+0.0107684j -0.0533361-0.0211231j 0.124813+0.0851966j 0.0334536-0.0978693j 0.10746+0.013537j 0.108315+0.093219j 0.0147414+0.0185917j 0.0548367-0.00010784j -0.0476993+0.0734554j 
-0.0809574-0.0143645j -0.0793388+0.0422711j 0.0674497+0.292706j -0.0253076-0.144307j -0.198968+0.0346703j -0.19394+0.099553j -0.0655646-0.0728357j 0.108658-0.0858305j 0.0405856+0.0746984j 0.0126526-0.018737j 0.0965592-0.013688j -0.0314682+0.00304968j -0.134738+0.00912512j -0.181675-0.0751236j -0.00842552+0.100423j 0.0839237+0.0567412j -0.0711352-0.133771j 0.118243-0.0882161j 0.0350494-0.0947002j -0.134838+0.00486178j 0.0324749+0.178279j -0.219651+0.0981927j 
-0.0532535+0.136852j 0.127472+0.072668j -0.141996-0.0302634j 0.0949388+0.213512j -0.0185251-0.193414j 0.197355+0.105943j 0.185827-0.280436j 0.101554-0.177552j 0.254705-0.0522739j -0.135462+0.210949j 0.00830208-0.126165j 0.150711+0.245617j 0.321157-0.0305604j -0.129373-0.212039j 0.0353805-0.195432j 0.303919+0.0534774j -0.0746606+0.058231j -0.0432511+0.0118751j -0.0664804+0.00879911j 0.00232183+0.19531j -0.0959065-0.0521293j 0.0271876-0.0774862j 
0.0910539-0.0427493j 0.0349788-0.0590578j -0.0395165-0.27766j -0.0127963+0.1198j 0.146891+0.0180925j 0.119837-0.0452897j -0.0175703+0.159384j -0.12189+0.0765364j -0.0644343-0.101422j -0.0303622+0.0205908j -0.080408+0.0890878j 0.0265117-0.0150884j 0.0049631+0.00608022j 0.201139+0.0860598j -0.0407963-0.0662221j -0.127742-0.0520679j 0.116052+0.135304j -0.0831039+0.0617286j -8.19053e-05+0.0694819j 0.0914455-0.0209707j -0.0243057-0.129093j 0.16518-0.0954101j 
-0.0311362-0.023959j -0.0426531-0.00461565j 0.0158269+0.123729j -0.0167946-0.0459751j -0.0706026+0.0244461j -0.106633+0.023848j -0.0230342-0.00367113j 0.0359607-0.048734j 0.033689+0.072431j 0.00795569+0.00208492j 0.0590225+0.017391j -0.0124961+0.027176j -0.0663369-0.0107528j -0.0680472-0.00511618j -0.0356476+0.0852942j 0.00109305-9.18076e-07j -0.0449468-0.0506832j 0.027704-0.0185736j -0.0262619-0.0319042j -0.0189605-0.00910565j 0.0190137+0.0662575j -0.0625133+0.0426812j 
0.000401624+0.00658789j 0.00932431-0.00507442j -0.0311943-0.0210872j 0.0587326-0.00140161j 0.00893997-0.0133218j -0.0107954+0.0289449j -0.00852567-0.039288j 0.0126049-0.00578251j 0.0238655+0.00372499j -0.004636+0.0244948j 0.0104384+0.0320217j -0.00161306+0.0121203j 0.0155195+0.0432636j -0.012161-0.00817948j 0.00845739-0.0189297j 0.0254545+0.00234859j -0.0260087+0.0397405j -0.0496945-0.0302848j 0.0207155-0.00185784j 0.0337484+0.00607798j -0.0165716-0.0119047j 0.0146693-0.00959941j 
0.0124542-0.0090986j -0.00302029-0.00700232j -0.00106065-0.00878305j -0.0187284+0.0204998j -0.00057022+0.00447562j 0.0196624-0.00759366j 0.00214023+0.0124138j -0.011235+0.00159442j 0.0102295+0.000952619j 0.00701369-0.0226794j -0.0128415+0.0226416j -0.00500778+0.0106898j 0.0202356-0.010162j 0.0170158+0.0265587j -0.00633761+0.0284235j -0.028469-0.0238916j 0.0136767-0.0302864j 0.0228725+0.0081926j -0.0254453+0.00721249j -0.00182102-0.00136722j -0.00503369-0.00749507j 0.00968997-0.00630809j 
-0.00540385-0.0270429j -0.0194088+0.00954293j 0.0240046-0.000156665j -0.0500109-0.0327718j 0.00576043+0.0268712j -0.0613512-0.0414697j -0.0275466-0.00376711j 0.0272021-0.0123129j -0.00827915-0.0113329j 0.0524467+0.0183782j 0.0120858+0.0275196j 0.0194917-0.0045859j -0.0349567+0.0261298j 0.00446588+0.00190312j 0.0182972+0.0143024j -0.00896258-0.0171337j 0.00334846-0.0574177j -0.0297428+0.0325885j 0.0235463+0.0188329j -0.0219887+0.00703758j 0.00822123+0.00949981j 0.000639035+0.00433718j 
0.00978416-0.000392381j -0.00852731-0.00618246j -0.00435017+0.0397433j -0.000100274-0.00815916j -0.046067-0.00743894j -0.00757102+0.0301998j -0.0160135-0.0270458j 0.0630678-0.0143174j 0.0261351-0.0104121j -0.0125105+0.0045648j 0.00595325+0.038401j 0.0048567-0.00464919j 0.0134776+0.0262388j -0.0117484+1.57486e-05j 0.0101305+0.0228492j 0.00351881-0.0148671j -0.0471778+0.0104584j 0.0223351-0.0343102j 0.0109872+0.00326905j -0.0472542+0.0099177j -0.0274573+0.0160535j -0.0447454+0.000266253j 
0.00499296+0.00627215j 0.0048345-0.00696361j -0.00374893+0.00431016j 0.00388544+0.0181174j 0.0129982-0.0133641j -0.00117758-0.0104032j 0.0154914+0.00312387j 0.000626108+0.00263851j 0.0116051+0.0168365j -0.00620003-0.00344964j 0.00337587-0.00592612j -0.0008642+0.00105633j 0.0325986-0.011034j -0.0054108+0.0110908j -0.017828+0.0183858j -0.0132849-0.00956155j -0.0124242+0.0104449j 0.00248779+0.00172284j -0.0284568+0.0150325j 0.0136502+0.00500027j -0.00627108-0.0125897j 0.0159499+0.00149325j 
