-0.137692-0.183256j -0.184481+0.138231j -0.0822983-0.110606j 0.11687-0.0853033j -0.0311824-0.0612277j 0.0327246-0.0202545j 0.0109198+3.04981e-05j 0.0372952-0.0235092j -0.0358755-0.00105564j 0.0100347-0.0193734j -0.0106316-0.0295206j -0.0145006+0.00787056j -0.00155719-0.00274162j 0.0128553-0.00126064j -0.0368002-0.0184069j 0.00564166+0.022705j -0.0111072-0.000233986j 0.0151657-0.0117718j 0.031415+0.023745j 0.00433369-0.0272868j -0.00926727+0.00840375j -0.0117081+0.0122069j 0.00438105+0.0484406j 0.023266-0.0319038j -0.0487048+0.0109596j 0.035225+0.00966165j -0.0334025-0.0849875j 0.0811813-0.0321519j 0.0783225-0.107021j 0.106205+0.0799309j -0.0740633-0.0917348j 0.0897883-0.0757992j 0.0830377-0.179429j -0.199093-0.0778429j 0.0170049+0.159004j -0.1339+0.0864147j -0.101822+0.0104225j -0.143414-0.0190433j 0.135693+0.0609644j 0.0401355+0.0732983j -0.0626679-0.0989069j 0.0163951-0.0926424j -0.00730032-0.0623311j 0.0320551+0.000750913j -0.0389182-0.0671672j 0.0235753+0.0621668j -0.0258311-0.116507j 0.0252126+0.0887803j 0.00936344-0.0321448j -0.00353996+0.00486524j -0.000311593+0.000345815j 0.101808+0.00677845j -0.00211199+0.00463665j -0.00941128-0.0385442j -0.036127+0.10113j 0.0425552-0.0874884j -0.0451888+0.0814662j 0.0436547-0.0465709j -0.0171212-0.0307327j 0.0257424-0.0501391j -0.00667562+0.095627j 0.0794985-0.086334j -0.0144433+0.0609986j 0.153592-0.0507033j -0.16393-0.0467997j 0.0794989+0.059176j -0.0805322-0.120391j -0.117+0.15417j -0.249089-0.151462j -0.138195+0.229756j -0.248032-0.151399j 0.151016-0.246798j 
0.0407684+0.00284208j 0.00282016-0.0410372j -0.00646728-0.00784756j 0.00813668-0.00872775j -0.0105225-0.00450589j -0.000866984-0.0025922j -0.00531638-0.00273698j 0.00139632-0.0104032j -0.000685723+0.00272101j 0.00268423+0.000799149j -0.000346154+0.00551414j 0.00271732-0.000410019j 0.00400791+0.000220494j 0.00188369+0.000613185j -0.000494132+0.00103167j 0.00117173-0.00317383j 0.00285429+9.92054e-05j -0.00146057+0.0052963j -0.00253939-0.00142896j -0.00392036+0.00362148j 0.00128844-0.00422268j 0.00278395-0.00224492j -0.00164148-0.00834205j -0.00397531+0.00602698j 0.00990808-0.00267204j -0.00750424+0.00440765j 0.0213016+0.0119364j -0.010664+0.0175959j -0.0104426+0.0294399j -0.0284043-0.0114911j 0.00531176-0.0241833j 0.0248407+0.0048051j 0.0146989+0.00170531j -0.0033976-0.0141152j -0.0068576+0.0220655j -0.0197438-0.010576j 0.0141977+0.0117162j -0.0395034+0.0219816j 0.0335432+0.0316333j 0.00690525+0.00178007j -0.0018974-0.0115902j -0.0197705+0.00931381j -0.0114198-0.0164689j -0.0160186+0.00542008j -0.015672-0.0270619j 0.00199019+0.0271166j -0.00941738-0.03202j -0.00627287+0.0067976j -0.0030151-0.00363776j -0.00465877-0.00718249j -0.0130252+7.15722e-05j -0.0205672-0.0016544j 0.00379417-0.00189251j 0.0057297-0.00287204j 7.83704e-05+0.010007j 0.0100802-0.0266361j -0.0106955+0.0334416j 0.0190742-0.0204227j 0.0192125+0.000613386j 0.0143579-0.0192911j -0.0229493-0.0072048j 0.00654044-0.00949454j 0.00291192-0.0112574j 0.0368303-0.0235055j -0.041802-0.0339018j -0.0190558+0.0145961j -0.014945+0.00729703j -0.00830849+0.02205j -0.0170911+0.00120235j 0.00355615+0.0128135j 0.0206598+0.0631755j -0.0630354+0.0211012j 
-0.0213558-0.0273882j -0.0272882+0.0213927j -0.00605453-0.00198097j -0.00157901-0.00611824j -0.0094002+0.00787475j 0.00411187-0.0110652j 0.00418525+0.0175572j -0.0305863-0.0050294j 0.00774274+0.0168627j 0.00913632-0.0106029j -0.00385635+0.00120812j -0.0101783-0.000511293j 0.0036836-0.00305482j -0.00872411-0.0133199j -0.00185685+0.0285187j 0.00336641-0.000294399j -0.00528629+0.00609631j 0.00731349+0.00782368j 0.0119912-0.00412019j -0.00613124-0.00195334j -0.000209906+0.000499124j 0.00535432-0.0191303j 0.0288222-0.00808881j -0.00405959-0.0178837j 0.00634042+0.00069486j -0.0197787-0.00240756j -3.34521e-05+0.0172474j -0.00925483-0.00309772j -0.0114875-0.0231652j 0.0239098-0.0114348j 0.0159072-0.0218629j 0.0220544+0.0158898j -0.0102733+0.00897805j 0.00940721+0.00951038j -0.000775169-0.00790284j 0.00906425-0.00131331j -0.00180126+0.00272334j 0.00474219-0.00702361j -0.0113755-0.00433915j -0.00116108+0.00074797j 0.00297187+0.0043628j 0.00206527-0.00369646j 0.00305211+0.00361551j 0.00342474-0.004754j 0.00579968+0.00538813j -0.00328454-0.00609394j 0.00396301+0.00679842j 0.000927175-0.00390327j 0.00161839+0.000316778j 0.00279032+0.000235144j 0.00342698-0.00114283j 0.00629526-0.00244962j -0.00205424+0.000247915j -0.00220174+0.00120533j -0.000420581-0.00368896j -0.000145359+0.00704413j 0.000881823-0.00895843j -0.00304766+0.0064653j -0.00565173+0.000268685j -0.00145679+0.00626149j 0.00619024-0.000315674j -0.00227165+0.00392012j 0.000506598+0.00363095j -0.00794151+0.0077836j 0.0113412+0.00620363j 0.00371349-0.00279142j 0.00456892-0.00207363j 0.00176059-0.00624338j 0.00443451-0.00126062j -0.00148555-0.0033753j -0.00219862-0.0161925j 0.015987-0.00228654j 
-0.00635983-0.0126346j -0.0123224+0.00661057j 6.6048e-05+0.00135543j -0.0027677+6.86128e-05j 0.00164258+0.00113428j -0.000312074-0.000651504j 0.00135144-0.00100673j 6.94565e-05+0.00168203j -0.000595737-0.000350715j -0.00183369-0.000196356j 0.000345056-0.00181181j -0.00141456-0.000323809j -0.00156141-0.000967816j -0.000632677-0.000463682j -0.000458118+0.000354885j -0.000471811+0.000937268j -0.0010181-0.00033328j 0.00157379-0.00224987j 0.00196734+0.00142538j 0.00132666+0.00032913j -0.00172981+0.000953091j -0.000768505-0.00039872j -0.000405813+0.00220093j 0.00132175-0.00126111j -0.00216681-0.00119403j 0.00241759+0.000687178j -0.00104206-0.00785608j 0.00710796-0.00175842j 0.00727023-0.00319475j 0.00347321+0.0077429j -0.00488635+0.00116605j -0.00144595-0.00513152j -0.00284185+0.00211349j 0.00251187+0.00224891j 0.00318543-0.00367787j 0.00410154+0.00480924j -0.00567907-0.00454829j 0.00846366-0.00886293j -0.00730883-0.00632419j 0.00170242+0.00389576j 0.00304996-0.00191485j 0.00319018-0.00674837j 0.00198155+0.00445958j 0.000545702-0.00884064j 0.00473163+0.00371153j 0.00205554-0.00339451j 0.00222011+0.00272193j -0.00370241-4.71186e-05j 0.00325264-0.00256811j 0.00159171-0.00322777j 0.00636666-0.000861508j 0.00726438-0.00736518j -0.00550349+0.00383316j -0.00264151+0.00230363j -0.00613698-0.00313182j 0.00400166+0.00207719j -0.000905482-0.00297246j -0.00108421+0.000755183j -0.011323+7.20735e-05j 0.00395311+0.00274523j 0.00402117-9.22065e-05j 0.0015602+0.00648761j 0.00214934+0.0057691j -0.00019285+0.00490361j 1.84685e-05+0.00334141j 0.00657114+0.00582859j 0.00298707-0.0054789j -0.000591119-0.00025577j -0.00904221-0.00686163j -0.00612434+0.00883096j -0.0030636+0.00553245j -0.00612164-0.00278288j 
0.0134438+0.0047758j 0.00466285-0.0137908j -0.00578941-0.00313505j 0.00282018-0.00501019j -0.00604413+0.00208797j 0.00119653-0.00414416j 0.0026261+0.00754858j -0.00923476+0.00233897j 0.00317535+0.00239055j -0.00244142-0.00798726j 0.00305279-0.000952629j -0.00100713+0.00135681j 0.000822658-0.00495867j -0.00347571-0.000645357j 0.00223183+0.00387321j -0.00363778-0.00216463j -0.0020734-0.000322529j 0.00584947-0.00588505j 0.00158545-0.0055891j -0.000189123+0.00486924j -0.00280276+0.00013271j -0.00596227-0.00156931j 0.00337908-0.00474563j -0.00717814-0.000826985j 0.000814474-0.00296742j -0.000599887+0.000884707j -0.00490891+0.00353753j -0.00648537-0.00592955j -0.00875816+0.011511j -0.0124758-0.0103173j 0.0131805+0.00111571j -0.0015533+0.0133395j 0.00716155-0.00972527j -0.0101928-0.00599056j -0.000600358+0.00686717j -0.00345278+0.00130997j 0.000906082+0.0031125j -0.0038411+0.00555915j 0.0109027-0.00286756j -0.00803388+0.00173028j -0.00400812+0.00737693j 0.00477426+0.00518255j -0.00662796-0.00378115j 0.0126902+0.0109557j -0.00486765+0.00041264j -0.000257666+0.00162673j -0.0054583-0.00041466j 0.00771947-0.000363925j 0.00074568+0.00630623j 0.0026623+0.00879203j -0.000726469+0.00666093j -0.00210734+0.0156447j 0.00185452-0.0113961j 0.00133983-0.00731684j 0.00914334+0.00329093j -0.00465715-0.000689797j 0.00260472+0.000491543j -0.00420589-0.00294224j 0.0134064-0.0119188j -0.00854364+0.00488063j -0.00470089+0.00381396j -0.00556901-0.00955859j -0.0138212-0.00198908j -0.00739947-0.00483825j 0.000402997+0.0083887j 0.000700506-0.00272802j 0.00437389+0.00549527j 0.00333485-0.00914149j 0.0181197+6.22228e-06j -0.00150773-0.0165407j -0.0284689-0.00957784j 0.010178-0.0284357j 
-0.00241372-0.00322973j -0.00323005+0.0024161j 0.00631384-0.00672699j 0.00716056+0.00633698j 0.00314737-0.00237231j -0.00620317+0.00209038j -0.00169335-0.010199j 0.00613128-0.00161568j -0.00104071+0.000222348j 0.000480853+0.0046636j -0.000574691+0.00231279j -0.00177455-0.000621621j -0.000965966+0.00350638j 0.00366689-0.000137365j -0.000311109-0.000289683j 0.00294936-0.000402482j 0.00261154+0.000437844j -0.00538589+0.00395812j -0.000186228+0.00455815j -0.000842419-0.00119639j 0.00407832+0.000102961j 0.00535483+0.00112577j -0.00304818-0.00117424j 0.00191664+0.00498357j 0.00276008+0.00351652j 0.00136991+0.000632526j 0.00885218-0.00337609j 0.00401684+0.00834486j 0.00397151-0.0017406j 0.00233083+0.00413095j 0.0013956-0.00864711j 0.00905926+0.00121933j 0.00587816+0.0165882j 0.016849-0.00652112j -0.000126683-0.0100327j 0.00527072+0.00872227j -0.0163653-0.00325865j 0.00628232-0.0147913j -0.000450955-0.00516107j 0.000452884+0.00587086j -0.00261626-3.03468e-05j -0.00051203-0.000727911j -0.00515855+0.00333147j 0.00455396-0.00397438j 0.00826281-0.00479084j 0.00407311-0.00110946j -0.00291934-0.00852726j -0.00143122+0.00502352j 0.00305778+0.000773659j 0.00407513-0.000569672j 0.0112858+0.00347969j -0.00402542-0.00431805j -0.0034838+5.5622e-05j -0.00355146+5.94251e-05j -0.00503122+0.00333906j 0.0095441-0.00241192j -0.00335876-0.00236724j -0.00132015-0.00899039j -0.00421239-0.00428245j 0.00452199+0.00479482j -0.000234186-0.00211401j 0.00160719+0.00511166j -0.00322638+0.00664471j 0.000307172+0.0046558j -0.00742232+0.0116315j 0.0120177+0.0153138j 0.0136597-0.00492127j 0.00457904-0.00142992j -0.015189+0.0151963j 0.0143149+0.0142606j -0.00238707+0.00395325j -0.00395148-0.0022876j 
0.00283102-0.012371j -0.0124806-0.0030387j -0.00749745-0.0100929j 0.0100549-0.00731334j -0.00145903-0.00119455j -0.00759517+0.00764619j -0.00668151-0.00874962j 0.000854816+0.00144815j 0.0027509+0.00237155j -0.0136431-0.000525131j 0.00558975-0.00322846j -0.00609156+0.00342916j -0.00649508-0.00259328j 0.002518-0.00248385j 0.0052523+0.00639794j -0.00207483-0.00373672j 0.00212-0.000955031j -0.00189458-0.0115717j 0.00693893+0.000103023j 0.00131335+0.00800793j 0.00116817+0.00400739j -0.00209555+0.00254909j -0.000793525-0.00922841j -0.0113135+0.00713994j 0.00219539+0.00548887j 0.00941413+0.00546323j 0.00471542-0.0159217j 0.0116171+0.00145852j -0.00253641+0.00625644j -0.0066646-0.00353365j 0.0157755+0.00175842j -0.00193637+0.0155777j 0.0129797+0.0063163j 0.00628304-0.0134593j -0.0041572-0.00526804j 0.00810634+0.00715592j -0.0154763+0.00670388j -0.00278023-0.0137236j 0.00055526-0.00435835j -0.00118169+0.00505064j -0.00330814+0.00408766j 0.00173948+0.000212561j -0.00462162+0.00337263j 0.00644221-0.00151221j 0.00283331-0.0061183j 0.00190489-0.00302191j -0.00643844-0.00576491j 0.00394948+0.00423853j 0.00332275+0.00124373j 0.0040683+0.00182232j 0.0100618-7.69363e-05j -0.00395147+0.00346256j -0.00193754-0.00223539j -0.0021418-0.00129967j -0.000280075+0.00555342j 0.0054305-0.00592789j -0.00320262-0.000962388j -0.00600553-0.00647957j -0.000520908-0.00565468j 0.00325955+0.00446944j -0.00250623-0.000949025j 0.0020705+0.00043379j -0.0051435+0.0055688j 0.000293665+0.00303194j 0.000194238+0.0141447j 0.0174628+0.00604211j 0.00982534-0.0101553j 0.00294604-0.00638126j 0.00212763+0.0172387j 0.0158903-0.00198918j -0.00862388+0.00763954j -0.00746287-0.00846838j 
-0.008399+0.0139155j 0.0139711+0.00874507j -0.0101354-0.0153001j 0.0176172-0.0114617j 0.00275626-0.0122671j -0.00163873+0.0149552j -0.0176609-0.0119881j 0.0128034-0.008584j 0.000321846-5.42389e-05j 0.00454704+0.0113133j 0.000810259+0.00551337j -0.00517524+0.00500329j 0.000596878+0.0120054j 0.00770179-0.00382911j 0.00332278+0.00170766j 0.00678982-0.00408566j 0.00793105+9.04979e-05j -0.0141564+0.0111381j 0.00511128+0.00938033j -0.00452542-0.00168271j 0.013472-0.00328271j 0.0116267+0.00313923j -0.00635106-0.00620974j -0.00157606+0.012949j 0.00676931+0.0144289j 0.00727801+0.00560142j 0.0206904-0.00325342j 0.002794+0.0173566j -0.00523377-0.00948614j 0.0102689-0.0053656j 0.00706374-0.015615j 0.0161094+0.00672122j -0.00954841+0.00065719j 0.000188091+0.0104516j 0.00566817+0.00370154j -0.00628295-0.000517129j 0.0105741-0.00522905j 0.00422674+0.0139419j 0.00593572-0.00203136j -0.0033181-0.00285716j -8.60066e-05+0.00273221j 0.00180186+0.00326474j -0.00205039-0.00296639j 0.00369259+0.00542614j -0.00472122+0.00501265j -0.00012912+0.00300486j -8.98668e-06+0.00363162j 0.00197977-0.00402378j -0.00160996+0.00280558j -0.000649399+0.00335625j -0.00604849+0.00367614j 0.00349875+0.00590328j 0.00081373-0.00395375j 0.00150925-0.00281928j 0.00528623-0.00270756j -0.00694742+0.00302408j 0.00320073-0.000229734j 0.00172551+0.00308564j 0.00659342-0.00402258j -0.00569237+0.0006295j -7.68062e-05+0.00337836j -0.00465306-0.00385736j -0.00250459-0.0043434j -0.00478682-0.00372292j 0.00190576-0.00472028j -0.00883805-0.00593561j -0.00379031+0.00539627j -0.00183212-0.0012987j 0.0112686-0.00941763j -0.00897769-0.0101108j -0.00397494-0.0071138j 0.00714712-0.00425091j 
0.00705502+0.0143585j 0.0143045-0.00684689j 0.0168207-0.00677951j 0.00734524+0.0171969j 0.00391268+0.000300393j -0.00320101-0.0106143j 0.0104562-0.00255697j 0.00204839-0.000790268j -0.00261066-0.000737578j 0.0164172-0.000570515j -0.0055132+0.00909206j 0.00440631-0.00640405j 0.00818786+0.00320947j -0.000242955+0.00479046j -0.00726145-0.00598172j 0.00462402+0.00293461j -0.000713843+0.00262674j 0.000683922+0.0160228j -0.0101853+0.00385058j -0.00354237-0.00915058j 0.00104877-0.00442061j 0.00436919-0.00328441j -0.000496681+0.0068785j 0.0119629-0.00438948j 0.000501326-0.0074714j -0.0145394-0.004289j 0.00394387+0.0213148j -0.0157255+0.00591777j 0.00783432+0.000210841j 0.000393314+0.00827579j -0.0124453-0.0181917j 0.0187176-0.012671j 0.0126485-0.000753097j -0.00138878-0.0125111j -0.00332233-9.03977e-05j 0.0039551+0.00165505j -0.00544163+0.00621499j -0.00327664-0.00445655j 0.00306025-0.00717962j 0.000554636+0.00527981j -0.000447715+0.00514054j 0.0040232+0.00314348j -0.00566686+0.00430284j 0.00981973-0.00133443j -0.000349777-0.00478052j 0.00216389-0.000380294j -0.00902398-0.00125712j 0.00496724+0.000385077j 0.00408772+0.00185964j 0.00467488+0.00160639j 0.00871759+0.000767217j -0.00165596+0.00859588j -0.00376622-0.00450258j -0.00348014-0.00290705j 0.0042931+0.00278372j 0.000255108-0.00468629j -0.000725187-0.00086548j -0.00731456-0.00538414j 0.000626735-0.0106866j 0.00108156+0.00513539j -0.00275008+0.00227527j -0.00249301-0.0014262j -0.00687695+0.00668639j -0.00344524+0.000676015j 0.00173104+0.0148851j 0.0144076+0.00420145j 0.0105289-0.00785542j 0.00237961-0.00838947j 0.0074496+0.0127985j 0.0113948-0.00619884j -0.011008+0.00238513j -0.00217125-0.0111937j 
0.00542666-0.00390504j -0.00374608-0.0059377j -0.00100931+0.00470582j -0.00459625-0.000276419j -0.00102946+0.00127972j -0.00208045+0.000772607j -0.00143438-0.00169194j 0.000651753-0.000493688j -8.90301e-05+8.7657e-06j -0.00232692+0.000349471j 0.000896247-0.000839046j 0.000694962-2.77084e-05j -0.00189206-0.00124077j 0.00168366-0.000542175j -0.000112127-0.000585596j -0.00159603+0.000153073j 0.00011176-0.00101512j -0.000444908-0.00051271j -0.00120773-0.000938124j 0.00115615+0.00189865j -0.00081787+0.000289128j 0.000996749+0.00217363j -0.00193318+0.000294956j 0.00166451+0.00352475j 0.00101177-0.00134768j 0.00112956-0.0010778j 0.00404394+0.000946643j -0.0025738+0.00566203j -9.32958e-05+0.0018739j -0.0021486-0.000603387j -0.00346941-0.0015741j 0.00134773-0.00310583j -0.00383244+0.00375049j 0.00343564+0.00499163j 0.00299904-0.00226185j 0.00204335-0.000263604j -0.00228183+0.000236192j -0.00269583-0.00101909j -0.00318602+0.000892727j 0.00515465+0.00247846j 0.00285177-0.00320914j -0.0051406-0.00173332j -0.000917176+0.00400372j -0.00232053-0.00668162j 0.00113586-0.00183546j -0.000153846-0.00104312j 0.00125066-0.00359131j -0.00407627+0.00168914j 0.000640255-0.00229455j 0.00316522-0.00317968j -0.000673703-0.00255702j -0.001562-0.00400125j -0.00169299+0.001813j -0.00243177+0.00238886j -0.000889874+7.54601e-05j 0.00397215-0.00026005j 0.000746776+0.00227663j -0.000358752-0.000111164j -0.00572381+1.32256e-05j 0.00414002-0.000256408j -0.00140104-0.00283265j -0.00194755+0.000921548j 0.000850157+0.00415738j 0.00309719+0.00109552j -0.000138751-0.00423162j -0.00435572-0.00218298j -0.00162824+0.00354141j -0.00180165+0.00258597j -0.00230035+0.00359933j 0.00435929+0.00100781j 0.00495579+0.0026399j -0.00200655+0.00502904j 
0.00610371+0.00894926j 0.00833478-0.00582958j -0.00293498-0.00198216j 0.0041057-0.00432331j -0.00222653+0.000134411j 0.000262685-0.000522366j 0.00417023+0.00104467j -0.000509303+0.00159019j 0.000792302-0.000688395j -0.00361717-0.00275582j 0.000723146-0.00152606j 0.0022994-7.81633e-05j 0.000938917-0.00309403j 0.000401787+0.00224951j 0.00142882-0.00058849j -0.00085695+0.000531171j 0.00139847+0.00139589j -0.000197333-0.00201939j -0.00122114-0.00240943j -0.00054879-6.98904e-05j -0.00151712-0.000252129j -0.00135666+0.000964837j 0.00145687-0.0032815j -0.00273756-0.000166835j 0.000667205+0.0027498j -0.000564934-0.000723824j -0.0025451+0.0034509j -0.00231421-0.0011831j -0.00607373+0.000354337j -0.00126424-0.0051177j 0.0053008+2.13102e-05j 0.000641596+0.00514787j 0.00724501-0.00493244j -0.0036764-0.00836256j -0.00244334+0.00204283j -0.00266153+0.0029767j 0.00159697+0.000570536j 0.00208083+0.0032966j 0.0055857-0.00269012j -0.00648316+0.0005387j -0.000790181+0.00616031j 0.00680561+0.00202848j -0.00368751-0.00339752j 0.00877938+0.00392156j -0.000775019-0.00240233j 0.00173134+0.00329701j 0.000543182+0.00240215j 0.00412062-0.00622044j 0.00130784+0.00427595j 0.0010059+0.00493938j 0.00298679+0.0032509j 0.00458084+0.0066674j 0.000596284-0.00289085j -0.0023694-0.00303667j 0.00549455-0.00361702j -0.0041963+0.00405851j -0.00468772-0.00224347j 0.00160239-0.00178598j 0.00455712-0.00714976j -0.000159654+0.00327287j 0.00387044+0.00355513j -0.00245729-0.000329381j -0.00165451+0.0012286j -0.00154533+0.00597317j 0.00510338-0.0023773j -0.00196341-0.00117094j 0.00161133-0.00588848j -0.0046556+0.00190313j -0.00537007+0.00383845j 0.00422712+0.0067679j 0.00782171+0.00275539j -0.0028875+0.00708458j 
