-6.88773e-15-0.0144506j -1.51731e-15-0.0410662j 1.11238e-16+0.0280313j -9.61754e-17+0.00172809j -2.61456e-17-0.004719j -9.14198e-17-0.0139738j -2.46386e-17-0.00352988j -4.36433e-18-0.000119992j 5.05588e-18-0.00650691j 5.09645e-17+0.0257139j -2.15238e-17+0.0151003j 3.67303e-17+0.0211546j -1.29335e-17+0.00813478j 3.81071e-17-0.00157929j 2.24009e-16+0.00229497j -2.64364e-16-0.0224048j -2.89258e-16+0.00502555j -2.16649e-16+0.0157198j 9.20459e-17+0.00138915j 8.55437e-17-0.0366749j 7.26782e-17-0.0181577j 3.57245e-17+0.00478105j 4.70389e-17-0.0164183j 9.64368e-19-0.00354619j -7.7366e-17-0.000746648j -3.93619e-17-0.00310861j 1.59506e-16-0.0222723j -6.85427e-16-0.0163244j -1.08947e-15-0.0250997j -6.86291e-17-0.014457j 3.70117e-16-0.02911j 1.4022e-16-0.0113339j -1.29562e-17+0.00453918j -4.61409e-17+0.00950299j 3.05453e-17-0.000485272j -3.23258e-17+0.0209459j 4.55818e-17-0.00703874j 2.11107e-16+0.0101446j 4.45291e-16-0.0212457j 1.05431e-17+0.00145745j 1.93697e-16+0.0142905j 1.25604e-16+0.00618164j -6.63664e-17+0.00384134j 2.51974e-17+0.018812j 4.7938e-17-0.0072912j 7.49899e-17-0.00673243j -4.69153e-17+0.00646817j -8.4684e-18-0.00571245j -1.12806e-17+0.00915902j 1.12207e-18-0.00507336j -1.8497e-17-0.00796048j -1.8547e-17-0.0166828j 1.19828e-16+0.0357157j 8.86577e-17-0.00413466j 2.69497e-15-0.0122763j -1.24494e-14-0.0339159j 
-1.15162e-14-0.0382866j -2.48495e-15-0.00335421j -1.34792e-17-0.0138993j -1.03755e-17-0.0125985j -6.4319e-18+0.0148233j -6.45369e-17-0.0149786j 6.47583e-18-0.00640884j 1.86425e-17-0.0213176j 2.40666e-17-0.00610494j -1.51077e-18+0.00107191j -8.59685e-18+0.00010028j -1.98095e-17-0.00793921j -1.52032e-17-0.0144876j 2.38542e-18+0.0172336j 2.33539e-16+0.00301956j -1.84395e-16-0.0164246j 1.14492e-16-0.0034681j 2.19418e-16-0.0186838j -1.39947e-16+0.000209026j 1.6863e-17-0.0264257j -1.2776e-16+0.0296396j -2.60058e-16+0.00932556j 2.09238e-17-0.0110715j 5.01288e-17+0.0230142j 2.44755e-17+0.022468j -1.01309e-16-0.00115835j -1.87605e-17-0.00495383j 1.95685e-16+0.00682545j 2.31767e-16+0.00335002j 2.18242e-17+0.0073822j -7.9159e-17+0.0113456j -5.91319e-17-0.00813007j -2.88513e-17-0.00336699j 2.10185e-17-0.0119226j 6.87303e-17+0.0193278j -6.94428e-17+0.000178947j -5.26452e-16-0.0333052j -1.30175e-16-0.000745337j 3.59862e-16-0.00622859j 5.29547e-17-0.00189173j 3.4072e-16+0.0202771j 2.24024e-16+0.0126388j 7.95238e-17-0.0111303j 7.09332e-17+0.00562843j 2.537e-17+0.0116821j 6.48272e-18-0.0113663j -2.43309e-17-0.00127009j -2.4783e-17+0.021981j -6.93162e-18+0.00290121j -1.38588e-17+0.00513815j -9.30591e-18+0.0219932j 3.34937e-17+0.00530036j -1.71124e-18+0.00195468j 2.20166e-17+0.00127268j 2.91456e-15+0.0265435j -1.32766e-14-0.0275622j 
1.30892e-14+0.0440851j 2.89698e-15+0.00165267j -2.3695e-16-0.00538309j 1.99468e-16+0.0452694j 4.20202e-17-0.015615j 4.41281e-17+0.00899753j 9.51684e-18-0.00198468j -4.44788e-18-0.00602945j -2.0433e-17+0.00674583j 2.38078e-17+0.0101432j -3.37158e-17-0.0128242j 9.08311e-18+0.00862708j 1.48557e-17+0.0110046j 1.0268e-16+0.0092302j -2.35989e-16-0.00459551j 2.65702e-16+0.016673j -2.29876e-16+0.00616603j 1.75439e-19+0.0125035j 2.86548e-17+0.0313059j 1.26377e-17+0.0122759j 1.08671e-16-0.0157509j 1.56751e-16-0.0221714j 1.01235e-16-0.00808475j 1.03716e-16+0.00631102j 5.71976e-17-0.0294722j 3.51005e-17+0.0302512j 1.51776e-16-0.0166716j -6.41019e-16-0.011953j -7.5112e-16-0.0262882j 8.39555e-17-0.0256704j -4.24485e-16+0.0141935j -1.7882e-16+0.0133494j -1.50063e-16-0.0105274j -7.01774e-17+0.0184417j -1.43295e-16-0.0285276j -2.25296e-17-0.000204935j 6.63001e-16+0.0367974j 5.687e-16-0.00462468j 4.20103e-16-0.0209121j 9.78853e-18-0.00124479j -2.20481e-16-0.0262699j -2.24674e-16+0.00499642j 2.51158e-17-0.00639204j -8.40561e-17+0.000805856j -3.87427e-18-0.0141598j -2.84698e-17+0.0143343j 1.76706e-17+0.0153442j 5.09008e-17-0.00140314j -2.97891e-17-0.00361301j 2.00477e-17-0.00540494j 5.62632e-17-0.0264303j -1.04924e-18+0.00997287j -1.55845e-16-0.0114159j -9.64815e-17-0.0285256j -3.461e-15-0.0404575j 1.60949e-14+0.0315482j 
1.31187e-14+0.0362162j 2.87388e-15+0.0375862j 1.54686e-16+0.00893615j -1.74095e-16-0.0189355j 4.25365e-17+0.00275383j 1.7917e-16+0.0267038j 2.61416e-17+0.0151034j 1.45093e-17+0.0339352j 3.06053e-17+0.0234471j -9.43439e-17-0.0269668j 2.01897e-17-0.010169j -1.38955e-17-0.00795117j -1.08894e-17+0.00357273j -1.68048e-16-0.0345625j -4.26054e-16-0.00685091j 3.58612e-16+0.0295528j 9.93649e-17-0.00135802j -9.9582e-17+0.00683785j 7.8848e-17-0.0111654j -3.11566e-17+0.056932j 1.20754e-16-0.0239675j 3.53045e-16-0.00904321j -7.44136e-17+0.0348883j -9.22259e-17-0.0248156j -2.06511e-17-0.0137457j 5.06945e-17-0.0329664j -2.15225e-16+0.0309019j 6.57884e-16+0.013152j 1.01239e-15+0.0285821j 1.50185e-17+0.0143315j 3.06208e-16-0.0146047j 2.06265e-16+0.00863203j 1.41356e-16-0.00145527j 6.1643e-17+0.00173529j -1.45885e-17-0.0161501j 1.7508e-16-0.0375372j 2.4915e-16+0.0264788j -3.65472e-16-0.00158675j -1.08874e-15+0.0385699j -6.55207e-17+0.000862795j -5.27472e-16-0.0242851j -3.19117e-16-0.0241125j -6.97897e-17+0.0229589j -1.29466e-16-0.028767j -6.61606e-17+0.00230928j -8.99673e-17+0.0140962j 3.8077e-17-0.0169455j -2.42764e-17-0.0278749j 1.03494e-17-0.0219878j 1.16925e-17-0.0016092j 4.59412e-18-0.0067642j -2.63153e-17-0.00105218j 5.34784e-17-0.0165659j 1.0331e-16+0.0313581j -4.08777e-15+0.00252621j 1.8852e-14+0.04779j 
1.82055e-15-0.00929956j 4.31033e-16+0.0722134j -4.00158e-16-0.0785885j 3.50805e-16+0.000206674j 3.33819e-17+0.0167293j 4.26615e-17+0.0123619j 2.95128e-17-0.00315851j -4.50777e-18-0.0346316j -4.93906e-17-0.00129984j -7.79705e-17-0.0426346j 1.57113e-17-0.0265427j -8.98513e-17-0.0475183j 9.29197e-18-0.0310249j 6.13417e-17+0.0331916j -9.62871e-17+0.00124465j 2.65178e-16+0.0235509j 5.56128e-16-0.0106809j 6.70014e-16-0.0510927j -3.18567e-16+0.00439994j -2.09797e-16+0.0373443j -2.93418e-16+0.0755594j -3.99733e-16-0.00214009j -8.37096e-17+0.0119605j 1.08201e-16+0.0354689j 2.35927e-16+0.017741j 5.10765e-17+0.0261227j -2.82965e-16+0.0308548j 1.31788e-15+0.0347403j 2.08849e-15+0.0435779j 1.68133e-16+0.0291305j -1.06843e-15+0.0840986j -5.26364e-16+0.0182768j -4.68899e-17-0.0138204j 6.49637e-17-0.0299575j -1.51645e-17+0.0181852j -3.06098e-17-0.0263667j -5.80756e-16-0.0188227j -3.84725e-16-0.0207734j -2.66783e-16+0.0230888j 2.02668e-17-0.00372517j 6.82399e-17-0.00640107j 4.87959e-17+0.00789268j 1.93347e-16-0.0290973j 8.00291e-17-0.0250388j -6.3263e-17+0.0223359j -9.60376e-17-0.00169219j 9.60354e-17-0.00951607j 4.79257e-17+0.0431727j 3.08815e-17-0.005478j 5.6362e-18+0.0153916j 8.4575e-17+0.0316416j 7.18625e-17+0.0445004j -3.26684e-16-0.0729377j -3.07352e-16-0.0076374j -2.25377e-15+0.0429175j 1.04869e-14+0.0357795j 
2.01613e-14+0.0614801j 4.24792e-15+0.0305168j 2.13363e-17-0.00323644j 1.59572e-16+0.0178588j -3.73114e-17-0.02373j 1.46491e-16+0.0312087j 9.19263e-18+0.0104798j 2.89002e-17+0.0298097j -5.62121e-17+0.00360422j 3.77803e-17-0.0185077j 7.7148e-17-0.00408958j 6.26593e-17-0.00496397j 1.0423e-16+0.0167656j -5.65695e-17-0.0204246j -4.12757e-16-0.00284637j 3.72765e-16+0.0366158j 9.85278e-17+0.000839877j -1.17659e-16+0.0147622j 1.39965e-16-0.0103477j -1.14826e-16+0.0613229j -3.64388e-17-0.0243869j 2.56553e-16-0.0123035j -9.2805e-17+0.026256j -1.84301e-16-0.0368288j -3.02949e-17-0.0294597j 1.98997e-16+0.0130727j -9.0496e-17+0.0254595j 1.83154e-16+0.00036571j 3.97934e-16+0.0154867j -5.69736e-17+0.00256324j -3.62488e-16+0.0100869j -7.72598e-17+0.0219252j 8.17169e-17+0.00769358j 4.57569e-17+0.00702399j -1.70346e-16-0.0213061j 1.14522e-16-0.000285304j 7.63029e-16+0.0509246j 3.99126e-17-0.00675286j -8.61129e-16+0.0244505j -9.38399e-17+0.00361091j -5.82828e-16-0.0347866j -3.73068e-16-0.0229052j -2.32075e-17+0.0100382j -5.63176e-17-0.0165618j -9.99343e-17-0.0126927j -1.40955e-17+0.0170644j 8.27405e-17-0.0017713j -2.56666e-17-0.0258992j 3.21756e-17-0.000818941j -8.66771e-18-0.00289457j -5.1219e-17-0.0265588j -9.30325e-17+0.00370816j -2.34965e-17-0.0299706j -1.55373e-16-0.00436217j -5.7111e-15-0.0295809j 2.55718e-14+0.0578227j 
6.68592e-15+0.0251998j 1.45276e-15-0.0117942j -1.27948e-16+0.00603153j 1.31161e-16+0.038094j -4.7051e-17+0.0141822j -1.60423e-16-0.0299621j -7.51634e-18-0.0117609j 3.87402e-17-0.00402962j -7.27777e-17+0.0234024j 3.13908e-17+0.0139981j -2.70334e-17-0.0409605j 8.20796e-17+0.0066838j 4.29242e-17+0.0105009j 7.46634e-17+0.0156469j -4.01708e-16-0.0172816j 3.99335e-16+0.0164931j 2.3569e-16-0.00460019j 1.47337e-16+0.0113567j -2.21808e-17+0.0543042j 4.76805e-17-0.014524j 1.34266e-16-0.0289662j 1.954e-16-0.015707j 1.77803e-16-0.0239511j 1.79673e-16+0.0436942j -2.61442e-17+0.00498596j 8.65125e-18+0.00558541j 1.6694e-16-0.0394413j -1.08265e-15-0.0147938j -1.42667e-15-0.0460982j 1.04651e-16-0.037542j 8.00166e-17-0.0106269j -1.94015e-18-0.0126429j -8.51827e-17-0.0190442j -6.08641e-17+0.0264208j 2.17105e-17-0.0122617j 2.28567e-16-0.0328602j 5.50306e-16+0.0256244j 7.46541e-16-0.00894736j 9.31257e-16-0.0360143j 1.68415e-16-0.0155066j -1.85233e-16-0.0280412j -3.01559e-16+0.0126074j -1.33546e-17-0.00144486j -7.44686e-17+0.00600086j -1.41125e-16-0.00921268j -7.6009e-17+0.029918j 4.66947e-17+0.0388941j 2.43439e-17+0.00350215j 1.04066e-16-0.0347574j -1.11081e-17-0.00526779j -1.92882e-17+0.00446102j -2.26296e-17-0.00140231j -3.03557e-17+0.0134775j -2.04844e-17-0.0200398j -1.88441e-15-0.0351159j 8.62543e-15+0.0140056j 
1.34986e-14+0.0405562j 2.8779e-15+0.0236494j 5.24603e-17+0.0115668j -6.37857e-18+0.00649487j 2.54477e-17-0.0193658j 3.63715e-16+0.0735392j 3.18931e-17+0.0238786j 8.39127e-17-0.014727j -3.63794e-17+0.0282952j 1.21549e-17+0.00619558j 1.54984e-17+0.0267404j 4.38675e-17+0.022375j -2.70245e-17-0.0109626j -1.96044e-17-0.02984j 8.08998e-17+0.00450176j -7.84237e-17-0.00330583j -1.5402e-15+0.0314356j -2.60317e-17+0.0161349j 1.81822e-17+0.01271j -5.19588e-17+0.0405836j 5.83064e-17+0.00116613j 5.14045e-16-0.0388157j -6.46429e-17+0.0244146j -9.4492e-17-0.023848j 3.46687e-17-0.0825175j 7.14312e-17-0.0120905j -2.15605e-16+0.00980244j 3.35845e-17+0.00752391j 4.18622e-16+0.00409834j 3.49293e-17-0.0074177j -1.97976e-16+0.00138701j -3.83994e-17+0.0344408j 4.90826e-17-0.0334968j 2.94478e-17+0.0118791j -2.49245e-16-0.0666265j 2.53348e-16-0.0181975j 4.76042e-16+0.0229806j -2.11099e-16+0.0282133j -1.02096e-15+0.0134087j -1.46508e-16+0.0189734j -2.1481e-16-0.00780498j -8.7088e-17-0.00102127j -9.53052e-17+0.0136195j -9.1102e-18-0.0304079j 5.22559e-17-0.0016795j 4.61424e-18-0.022617j 5.66388e-17-0.0514388j -9.51756e-17-0.0111201j -2.1659e-17+0.00258226j 9.92373e-17-0.0101071j 1.05165e-16-0.0639025j -1.02e-16+0.0253025j 4.40482e-17-0.0136746j -2.61146e-17+0.0182111j -4.09447e-15-0.00745011j 1.85071e-14+0.0449146j 
-3.40842e-15-0.00686601j -6.68136e-16-0.0205176j 3.01511e-16+0.0553259j -4.57016e-16-0.0476519j 3.01437e-17+0.0019124j 1.30757e-17+0.00847931j -4.53238e-17+0.0109288j -1.20633e-16+0.043677j -5.74948e-18+0.00678712j -1.03206e-16+0.0141016j -1.06008e-18+0.023143j -8.51375e-17+0.00876496j -1.25065e-16+0.0201342j -5.71822e-17-0.0444626j 1.15916e-17-0.00181546j -1.54066e-16-0.00801372j -7.43283e-17+0.000173534j -6.75503e-16+0.0222374j 2.92059e-16-0.0476047j 4.97848e-17+0.00118551j 4.60001e-16-0.0448566j 5.05872e-16+0.00129177j -1.29409e-16+0.0193636j -5.14703e-17-0.0446373j -1.11475e-16+0.0119989j 1.75359e-16-0.0565024j -7.34387e-18+0.0158589j 2.47778e-16-0.00400596j 9.11238e-17+0.0138117j -1.22664e-16+0.0127555j 1.2302e-15-0.0693802j 4.46062e-16+0.00366502j 2.79715e-16+0.0130268j -6.88205e-17+0.00675648j 2.14344e-16+0.0063473j 1.11279e-16-0.00292564j -1.75747e-16+0.00134834j -4.56026e-16+0.00633741j -8.56765e-16+0.0310526j -1.46388e-16+0.0105703j -4.4973e-17+0.0156387j 1.14162e-16-0.0202289j -3.56943e-16+0.0414839j -8.3243e-17+0.00508554j 4.16003e-17+0.00926856j 1.65159e-17-0.009432j -7.14896e-17-0.0114162j 1.07366e-16-0.0438149j 2.41626e-17-0.0022063j 6.50082e-17-0.0103253j 7.40958e-17-0.00995581j 2.22287e-17-0.0307213j 2.16325e-16+0.0401507j 2.37806e-16+0.0476242j 1.55401e-15+0.0084859j -6.80104e-15-0.0151773j 
-1.85726e-14-0.0615452j -4.07136e-15-0.00705841j 4.27749e-16+0.0154536j -3.92167e-16-0.0774434j -3.74843e-17+0.0172053j -1.33221e-16-0.0346881j -2.60036e-17+0.00324417j -8.54916e-17+0.045019j 1.0689e-16-0.0254202j -7.82229e-17-0.0423151j 4.1565e-17+0.0179485j -3.2937e-17-0.0133945j -2.66905e-17-0.00883137j -2.32201e-16-0.0279533j 1.92347e-16+0.00734829j -3.17503e-16-0.0136702j 9.8415e-16-0.0216747j -2.43337e-16-0.00888868j 7.75715e-17-0.0657431j 5.61423e-18-0.0035018j -1.97062e-16+0.00426177j -5.08612e-16+0.0689154j -1.81545e-16+0.0223559j -2.41505e-16-0.0343458j -1.35192e-16+0.0593005j -1.48712e-16-0.045706j -2.22972e-16+0.0399955j 1.17728e-15+0.0147285j 1.24561e-15+0.0525254j -1.76485e-16+0.0500651j 9.77718e-16-0.0310486j 4.95373e-16-0.0491249j 1.83792e-16+0.0475061j 1.28808e-16-0.0358392j 2.76663e-16+0.0647214j -1.51587e-16+0.0188942j -9.22496e-16-0.0468685j -9.99483e-16+0.00842957j -9.46838e-16+0.0437482j 3.00455e-17-0.00851254j 4.16125e-17+0.0279757j 1.57254e-16-0.0302354j 4.12035e-19+0.0109407j 7.09087e-17-0.0033553j 3.34936e-17+0.00301184j 5.05562e-17-0.00229293j -5.41831e-17-0.0145514j -4.03151e-17-0.0129876j 1.55936e-17+0.00738651j -9.511e-17+0.0157417j -1.67249e-16+0.0614902j 5.92844e-17-0.03881j 2.32694e-16+0.0206015j 2.12189e-16+0.0409121j 5.50286e-15+0.0537121j -2.53481e-14-0.0519825j 
-1.27794e-14-0.0558456j -2.97416e-15+0.057807j 3.19668e-16-0.00141745j -1.95821e-16-0.093131j -2.13923e-16+0.0838799j -1.99967e-17-0.0179375j -5.21275e-17+0.00886048j -1.7789e-16+0.0114725j -1.76152e-16+0.0601781j 5.29529e-17-0.0484347j 1.71876e-16-0.0496705j 7.74435e-17-0.0333859j -2.66993e-17-0.0418678j -8.59645e-17-0.0234623j -2.40778e-16-0.0155443j 9.89155e-17+0.00912117j 7.78211e-16-0.0185394j 7.02204e-16-0.0446515j -2.89497e-16+0.0104144j -2.96299e-16+0.0138744j 2.44152e-16+0.0126533j 2.1473e-16+0.00274114j -3.03301e-16+0.030762j 1.37363e-16+0.0522597j -1.29897e-16+0.0601011j 3.08597e-16-0.116784j -8.04767e-16+0.028549j 1.45502e-15+0.0484046j 2.00647e-15+0.053251j -5.89083e-17+0.042814j 1.49679e-15-0.0360169j 6.6759e-16-0.0315325j 3.10388e-16-0.0251004j 2.46682e-16-0.0229904j 3.55187e-16+0.0202068j 1.07991e-15-0.130108j -1.29606e-15-0.061825j -9.82518e-16-0.0108034j -9.80715e-16+0.0476042j 1.75369e-16-0.0157279j 5.55871e-17+0.00908143j 1.10964e-16-0.00496791j -1.84068e-16+0.023952j 1.90915e-16-0.0451705j -3.18796e-16+0.0489798j -4.23492e-16+0.0125507j 2.09827e-16-0.0313241j 5.92382e-17+0.00399479j 4.34743e-16-0.0733091j -4.35285e-17+0.0104306j -2.38874e-16+0.0767025j 1.1125e-16+0.000424319j 2.9315e-16-7.95572e-05j -1.00882e-18+0.0916956j 1.29165e-15+0.0951146j -6.79669e-15+0.0040419j 
