-0.0367194-0j -0.00649114-0j -0.000540929-0j -0.0319283-0j -0.00532138-0j -0.00325867-0j -0.000665172-0j -3.91957e-05-0j -0.0200667-0j -0.0202747-0j -0.00323826-0j -0.00327181-0j -0.00264402-0j -0.00267142-0j -0.000381632-0j -0.000330503-0j -0.000385587-0j -0.000333928-0j -3.89502e-05-0j -3.93538e-05-0j -1.77782e-06-0j -1.79625e-06-0j -0.0148632-0j -0.0183922-0j -0.0107288-0j -0.00235007-0j -0.00290807-0j -0.0018579-0j -0.00169637-0j -0.0012386-0j -0.000268164-0j -0.00229903-0j -0.00153269-0j -0.00030965-0j -0.0013411-0j -0.000331836-0j -0.000109478-0j -0.000894067-0j -2.58041e-05-0j -0.000193571-0j -2.73694e-05-0j -0.000383172-0j -0.000135472-0j -0.000223517-0j -3.1931e-05-0j -2.28078e-06-0j -7.90251e-05-0j -3.38679e-05-0j -1.86264e-05-0j -8.49998e-08-0j -2.82233e-06-0j -1.97563e-05-0j -1.05182e-07-0j -1.64636e-06-0j -6.13561e-08-0j 
0.041479-0j 0.00733253-0j 0.000611044-0j 0.000513369-0j 8.55615e-05-0j 5.23955e-05-0j 1.06952e-05-0j 6.3022e-07-0j 0.0226678-0j -0.0222507-0j 0.003658-0j -0.00359069-0j 0.00298674-0j -0.00293179-0j 0.000431099-0j 0.000373343-0j -0.000423167-0j -0.000366474-0j 4.39989e-05-0j -4.31893e-05-0j 2.00827e-06-0j -1.97131e-06-0j 0.0167897-0j 0.000295726-0j -0.0237214-0j 0.00265469-0j 4.67583e-05-0j 0.00209872-0j -0.00375069-0j 0.00139915-0j 0.000302924-0j 3.69657e-05-0j 2.46438e-05-0j 0.000349786-0j -0.00296518-0j 5.33554e-06-0j 0.000123668-0j -0.00197679-0j 2.91489e-05-0j -0.000427987-0j 3.0917e-05-0j 6.16095e-06-0j 2.17822e-06-0j -0.000494197-0j 5.13413e-07-0j 2.57642e-06-0j -0.000174725-0j 5.44556e-07-0j -4.11831e-05-0j 9.60175e-08-0j 4.53797e-08-0j -4.36812e-05-0j 1.6912e-09-0j -3.6401e-06-0j -1.35659e-07-0j 
0.0338675-0j 0.00598698-0j 0.000498915-0j 0.0294484-0j 0.00490807-0j 0.00300557-0j 0.000613509-0j 3.61514e-05-0j -0.0182113-0j 0.0187-0j -0.00293883-0j 0.00301769-0j -0.00239955-0j 0.00246394-0j -0.000346345-0j -0.000299943-0j 0.000355639-0j 0.000307992-0j -3.53487e-05-0j 3.62972e-05-0j -1.61344e-06-0j 1.65673e-06-0j -0.0273448-0j -0.0166916-0j 0.00989551-0j -0.0043236-0j -0.00263918-0j -0.0034181-0j 0.00156462-0j -0.00227874-0j -0.000493361-0j -0.00208645-0j -0.00139097-0j -0.000569684-0j 0.00123694-0j -0.000301153-0j -0.000201414-0j 0.000824626-0j -4.74736e-05-0j 0.000178537-0j -5.03534e-05-0j -0.000347742-0j -0.000122945-0j 0.000206157-0j -2.89785e-05-0j -4.19612e-06-0j 7.28873e-05-0j -3.07363e-05-0j 1.71797e-05-0j -1.5638e-07-0j -2.56136e-06-0j 1.82218e-05-0j -9.54563e-08-0j 1.51849e-06-0j 5.65906e-08-0j 
-0.0342185-0j -0.00604903-0j -0.000504085-0j 0.0289066-0j 0.00481777-0j 0.00295027-0j 0.000602221-0j 3.54862e-05-0j -0.0187-0j 0.0188861-0j -0.00301769-0j 0.00304773-0j -0.00246394-0j 0.00248846-0j -0.000355639-0j -0.000307992-0j 0.000359179-0j 0.000311058-0j -3.62972e-05-0j 3.66585e-05-0j -1.65673e-06-0j 1.67322e-06-0j 0.0276282-0j 0.0166516-0j -0.00915635-0j 0.0043684-0j 0.00263285-0j 0.00345352-0j -0.00144775-0j 0.00230235-0j 0.000498473-0j 0.00208145-0j 0.00138763-0j 0.000575587-0j -0.00114454-0j 0.000300432-0j 0.000203501-0j -0.000763029-0j 4.79656e-05-0j -0.000165201-0j 5.08752e-05-0j 0.000346909-0j 0.000122651-0j -0.000190757-0j 2.8909e-05-0j 4.2396e-06-0j -6.74429e-05-0j 3.06627e-05-0j -1.58964e-05-0j 1.58001e-07-0j 2.55522e-06-0j -1.68607e-05-0j 9.52275e-08-0j -1.40506e-06-0j -5.23635e-08-0j 
-0.0296341-0j -0.00523861-0j -0.000436551-0j -0.000366769-0j -6.11281e-05-0j -3.74332e-05-0j -7.64101e-06-0j -4.50251e-07-0j 0.0480644-0j 0.0158967-0j 0.00775636-0j 0.00256531-0j 0.00633304-0j 0.00209457-0j 0.000914095-0j 0.00079163-0j 0.000302325-0j 0.000261821-0j 9.32945e-05-0j 3.08559e-05-0j 4.25829e-06-0j 1.40837e-06-0j -0.0119952-0j 0.000627051-0j 0.0169474-0j -0.0018966-0j 9.91455e-05-0j -0.0014994-0j 0.00267962-0j -0.000999598-0j -0.000216419-0j 7.83814e-05-0j 5.22543e-05-0j -0.000249899-0j 0.00211843-0j 1.13134e-05-0j -8.83528e-05-0j 0.00141228-0j -2.0825e-05-0j 0.000305769-0j -2.20882e-05-0j 1.30636e-05-0j 4.61867e-06-0j 0.000353071-0j 1.08863e-06-0j -1.84068e-06-0j 0.00012483-0j 1.15467e-06-0j 2.94226e-05-0j -6.85982e-08-0j 9.62223e-08-0j 3.12074e-05-0j 3.58599e-09-0j 2.60061e-06-0j 9.69192e-08-0j 
0.0244468-0j 0.00432163-0j 0.000360136-0j -0.0416063-0j -0.00693438-0j -0.00424643-0j -0.000866798-0j -5.10766e-05-0j -0.0131456-0j 0.012362-0j -0.00212136-0j 0.0019949-0j -0.00173208-0j 0.00162883-0j -0.000250005-0j -0.000216511-0j 0.000235102-0j 0.000203604-0j -2.5516e-05-0j 2.3995e-05-0j -1.16464e-06-0j 1.09521e-06-0j 0.00989551-0j 0.0235828-0j 0.0276569-0j 0.00156462-0j 0.00372877-0j 0.00123694-0j 0.00437294-0j 0.000824626-0j 0.000178537-0j 0.00294785-0j 0.00196523-0j 0.000206157-0j 0.00345711-0j 0.000425486-0j 7.28873e-05-0j 0.00230474-0j 1.71797e-05-0j 0.000498992-0j 1.82218e-05-0j 0.000491308-0j 0.000173704-0j 0.000576186-0j 4.09424e-05-0j 1.51849e-06-0j 0.000203712-0j 4.34259e-05-0j 4.80155e-05-0j 5.65906e-08-0j 3.61883e-06-0j 5.09281e-05-0j 1.34866e-07-0j 4.24401e-06-0j 1.58165e-07-0j 
-0.00781088-0j -0.00138078-0j -0.000115065-0j 0.0266835-0j 0.00444725-0j 0.00272337-0j 0.000555906-0j 3.27571e-05-0j -0.00426855-0j -0.0456165-0j -0.000688835-0j -0.00736134-0j -0.000562431-0j -0.00601051-0j -8.118e-05-0j -7.03039e-05-0j -0.000867542-0j -0.000751313-0j -8.2854e-06-0j -8.85431e-05-0j -3.78175e-07-0j -4.04142e-06-0j -0.00316166-0j 0.015371-0j 0.0295697-0j -0.000499903-0j 0.00243037-0j -0.000395208-0j 0.00467538-0j -0.000263472-0j -5.70434e-05-0j 0.00192138-0j 0.00128092-0j -6.5868e-05-0j 0.00369621-0j 0.000277327-0j -2.32879e-05-0j 0.00246414-0j -5.489e-06-0j 0.000533502-0j -5.82196e-06-0j 0.000320229-0j 0.000113218-0j 0.000616035-0j 2.66858e-05-0j -4.85164e-07-0j 0.000217801-0j 2.83045e-05-0j 5.13363e-05-0j -1.8081e-08-0j 2.35871e-06-0j 5.44503e-05-0j 8.7904e-08-0j 4.53753e-06-0j 1.69104e-07-0j 
0.00480791-0j -0.0402037-0j -0.0101926-0j 0.00418057-0j -0.0329586-0j 0.000426678-0j -0.00832674-0j -0.000986448-0j 0.00262746-0j 0.00265469-0j -0.0200565-0j -0.0202644-0j 0.000346199-0j 0.000349786-0j -0.00477734-0j -0.00204701-0j -0.00482684-0j -0.00206822-0j -0.000733927-0j -0.000741533-0j -5.59869e-05-0j -5.65671e-05-0j 0.00194613-0j 0.00240821-0j 0.00140479-0j -0.0145555-0j -0.0180115-0j 0.000243266-0j -0.0105067-0j 0.000162177-0j -0.00335693-0j 0.000301027-0j 0.000200684-0j -0.00191785-0j 0.000175599-0j -0.00415399-0j 1.43346e-05-0j 0.000117066-0j -0.00048622-0j -0.00242316-0j -0.000342615-0j -0.00237322-0j 1.77382e-05-0j -0.00138438-0j -0.000601667-0j -5.74012e-05-0j 1.03473e-05-0j -0.000423965-0j -0.000350972-0j -3.21439e-06-0j -7.10303e-05-0j -0.000247313-0j -3.9776e-06-0j -4.14343e-05-0j -2.32027e-06-0j 
-0.00532138-0j 0.0444973-0j 0.0112811-0j -6.58605e-05-0j 0.000519228-0j -6.72186e-06-0j 0.000131179-0j 1.55405e-05-0j -0.00290807-0j 0.00285456-0j 0.0221985-0j -0.0217901-0j -0.000383172-0j 0.000376122-0j 0.00528754-0j 0.00226562-0j -0.00519025-0j -0.00222394-0j 0.000812309-0j -0.000797362-0j 6.19662e-05-0j -6.0826e-05-0j -0.00215397-0j -3.79389e-05-0j 0.00304324-0j 0.01611-0j 0.000283752-0j -0.000269246-0j -0.022761-0j -0.000179498-0j 0.00371544-0j -4.74236e-06-0j -3.16157e-06-0j 0.00212267-0j 0.000380405-0j 6.54418e-05-0j -1.58655e-05-0j 0.000253604-0j 0.000538147-0j -0.00524937-0j 0.000379205-0j 3.73876e-05-0j -2.79446e-07-0j -0.00299902-0j 9.47864e-06-0j 6.35314e-05-0j 2.24156e-05-0j 6.67912e-06-0j -0.000760323-0j 3.55767e-06-0j 1.11901e-06-0j -0.000535761-0j 6.2663e-08-0j -8.97606e-05-0j -5.02647e-06-0j 
-0.00420692-0j 0.0351782-0j 0.0089185-0j -0.003658-0j 0.0288388-0j -0.000373343-0j 0.0072859-0j 0.000863142-0j 0.00226215-0j -0.00232286-0j -0.0172679-0j 0.0177313-0j 0.000298065-0j -0.000306063-0j -0.00411311-0j -0.0017624-0j 0.00422349-0j 0.0018097-0j -0.000631885-0j 0.000648841-0j -4.82027e-05-0j 4.94962e-05-0j -0.00170286-0j 0.00207338-0j -0.00122919-0j 0.012736-0j -0.0155072-0j -0.000212858-0j 0.00919336-0j -0.000141905-0j 0.00293731-0j 0.000259173-0j 0.000172782-0j 0.00167812-0j -0.000153649-0j -0.00357643-0j -1.25428e-05-0j -0.000102433-0j 0.000425443-0j 0.00212026-0j 0.000299788-0j -0.00204326-0j 1.52719e-05-0j 0.00121133-0j -0.000518013-0j 5.0226e-05-0j -9.05385e-06-0j -0.000365018-0j 0.000307101-0j 2.81259e-06-0j -6.11545e-05-0j 0.000216399-0j -3.42457e-06-0j 3.6255e-05-0j 2.03023e-06-0j 
-0.00280461-0j 0.0234521-0j 0.00594567-0j -0.00243867-0j 0.0192258-0j -0.000248895-0j 0.00485727-0j 0.000575428-0j -0.00153269-0j -0.00154857-0j 0.0116996-0j 0.0118209-0j -0.000201949-0j -0.000204042-0j 0.00278678-0j 0.00119409-0j 0.00281566-0j 0.00120646-0j 0.000428124-0j 0.000432561-0j 3.2659e-05-0j 3.29975e-05-0j 0.00566417-0j -0.00140479-0j -0.000819461-0j -0.0423634-0j 0.0105067-0j 0.000708021-0j 0.0061289-0j 0.000472014-0j -0.00977027-0j -0.000175599-0j -0.000117066-0j -0.00558186-0j -0.000102433-0j 0.00242316-0j 4.17205e-05-0j -6.82884e-05-0j -0.00141513-0j 0.00141351-0j -0.000997174-0j 0.00138438-0j -1.03473e-05-0j 0.000807554-0j 0.000350972-0j -0.000167065-0j -6.0359e-06-0j 0.000247313-0j 0.000204734-0j -9.3554e-06-0j 4.14343e-05-0j 0.000144266-0j 2.32027e-06-0j 2.417e-05-0j 1.35349e-06-0j 
