-0.000150234-0.0121769j -0.0134752+0.00885382j -0.0139383+0.0197148j 0.00631101-0.0258135j -0.00596894+0.0438425j -0.00418762+0.00396172j -0.00656173-0.0168017j 0.00231869+0.0156014j -0.00419076-0.00949282j 0.00171671+0.0153987j -0.000851971+0.00693503j 0.000323687-0.00277736j -0.0113212-0.00799375j 0.0159776+0.0214097j 0.00739491-0.00456287j 0.00632781-0.00692646j -0.00969245+0.00224561j -0.000230828-0.00199937j 0.0175767+0.0167749j 0.00523388+0.00820835j -0.0260702-0.00962309j -0.016624-0.00155105j -0.00434622-0.00553452j 0.0164335+0.0033614j 0.0291807+0.00296613j -0.00598427+0.0033158j -0.0108073+0.00127719j 0.00379169-0.000393932j -0.00173062+0.00291423j -0.0085804-0.000916062j -0.0170149+0.00822602j -0.00718207+0.0026773j 0.0137693-0.00287966j -0.00213051+0.00412407j -0.0106665-0.000435941j -0.0101502+0.0180312j -0.0126834+0.0052644j 0.0125569+0.000795615j -0.0035881-0.00886781j -0.0069669-0.0125333j -0.00502361+0.00187559j 0.00915176+0.000648008j -0.00461665-0.00154005j 0.0051051+0.00381295j -0.00736971+0.00124671j 0.00811609+0.00553351j 0.000207484-0.0122009j 0.00658897-0.00784999j -0.000888416+0.00201755j 0.00525793+0.00532811j -0.00674407+0.00917718j -0.0197799-0.00355582j -0.00786088+0.00512302j -0.00499074-0.00161333j -0.00214921-0.00822112j -0.00911453+0.00338059j -0.00339098-0.00792426j 0.00819903+0.00699028j 0.00436843-0.00579873j 0.00309548+0.00289907j -0.00958055+0.00585033j 0.00494956-0.00375803j 0.0037653-0.00458132j 0.0110664-0.00628542j -0.00094144+0.000835667j -0.000442543+0.00205142j -0.000944817+0.00257877j -0.000738995-0.00578068j -0.00148858-0.00273323j -0.00811547-0.0037838j -0.00450323-0.0022788j 0.00225107-0.00205631j 0.00343894+0.00042294j -0.00106092-0.00654947j -0.00754933-0.00102781j 0.00390931-0.00573937j -0.00228344-0.00371828j 0.00273748-0.00208052j -0.000791099-0.000425326j 0.00500272-0.0098888j -0.000834662+0.00145892j 0.00797858-0.00372781j 0.0010295+0.00418476j -0.00263503-0.00879389j 0.00531242-0.00225005j 0.00346617+0.00346882j -0.00756144+0.00277804j 0.00382562+0.00504083j -0.00463035+0.00299672j -0.00106062-0.00555528j 0.00270191+0.00810155j 0.0109795-0.00346439j -0.00186266-0.00656286j -0.00385387+0.00264712j 0.00195709+0.00755105j 0.0027207-0.00189823j -0.000792706-0.00777836j 
0.00978292+0.0123634j -0.00963107-0.00339427j 0.00999562+0.0021329j 0.0178216+0.00745944j -0.0216236-0.0130746j -0.0247315-0.00634819j -0.0322417-0.00699252j 0.0121596+0.00240325j -0.0198566-0.00226944j -0.0161867-0.00100834j 0.00388938-0.00157855j 0.0122291-0.0137933j -0.0256945+0.0164028j 0.0293124-0.0176073j -0.00557726-0.01761j -0.00575468-0.00797589j -0.014369+0.0184771j -0.00458941-0.00472751j -0.0023041+0.0051732j 0.00241164-0.000289843j 0.00378131-0.00162653j -0.000509266-0.00237983j -0.000505381+0.00220008j -0.00152674+0.000875429j -0.00328263+0.00173662j 0.00306775-0.00125234j -0.00101233-0.00381723j 0.00120921-0.00033423j 0.00108942+0.000900881j 0.00567963+0.00151717j 0.000761188+0.000542853j 0.00114836+0.00181297j -0.00142747+0.00331714j 0.00530026-0.0031014j 0.00761769+4.68599e-07j -0.00921631-0.000875319j 0.00589152+0.00140433j -0.00791885+0.00155173j 0.00514607-0.010493j -0.000976314-0.0105593j -0.00570127+0.0124805j 0.0016362+0.00354525j -0.00466795-0.00135539j -8.03268e-07-0.00484634j 0.0076527+0.00501262j -9.99224e-05+0.000913154j -0.00896873-0.00973746j -0.00809206-0.00391971j -0.00084031+0.00822961j -0.00503361-0.00258785j 0.00601828+0.000274078j 0.0113052-0.0112018j 0.00711143+0.00169906j 0.000594927+0.00341294j 0.00212277-0.0132449j -0.00121135+0.00432456j -0.00697303-0.00225734j -0.00711512-0.00234988j 0.00480156+0.00441223j 0.00507275+0.00528748j 0.00386665-0.00385552j 0.00689574-0.0142213j -0.0032168+0.00353844j -0.00905401-0.00319353j -0.00459472+0.00327671j 0.0041843+0.00882671j 0.00758381+0.00248272j 0.00536393+0.000353071j 0.00815495+2.03789e-05j -0.0023567-0.00597233j -0.00340134+0.00159538j -0.00178263-0.00573463j 0.000858584-0.00517725j -0.00208673+0.00170637j 7.08649e-05-0.00799137j -0.00369338-0.0062072j 0.0110047-0.000593112j 0.00171145-0.000491672j -0.00266696-0.00450508j -0.00256584-0.00322388j -0.0052287+0.00755469j 0.00614761-0.00609456j -0.0015312-0.00852243j -0.00242089-0.00317936j -0.00782161-0.00137095j -0.00395548+0.00514259j 0.00596869+0.0024157j -0.00167675+0.00562656j -0.0088184+0.000297423j -0.00385145+0.00691383j -0.00178425+0.00298154j 9.80263e-05-0.00773312j -0.00619159-0.0115759j -0.00323458+0.00276579j -0.00319448-0.000932506j 0.0155317-0.0106719j 0.010093+0.0130951j 
-0.000474149-0.0034934j 0.00753728+0.00534661j 0.022954+0.00909736j -0.00763709-0.00669172j -0.0117088-0.00171277j -0.0346401-0.0065996j 0.0387487+0.0022554j -0.0101673+0.00375285j -0.024269+0.00478994j 0.000785149+0.000519915j 0.0329271-0.00447478j 0.0147065-0.000633538j 0.0202415-0.0164966j 0.00443223-0.0119917j -0.00184305-0.00129476j -0.00233308+0.00734977j 0.00621359-0.0050303j 0.00667743+0.00733627j 0.00738929-0.00153983j -0.00178562-0.00145644j 0.00449717-6.44108e-05j -0.00260761-0.00167719j -0.00036633+0.000766987j 8.2097e-06-0.000146661j 0.00148083+0.000489653j 0.00073501+0.00139665j 0.000167635+0.000360902j 0.00305791+0.000114601j -0.00119899+0.000154058j 9.8987e-05+0.000435148j -0.00202573-0.000641266j -0.00101718-0.000582564j -0.00101108+0.000804246j 0.00282236+0.00137561j -0.0075112+0.00173875j -0.00209925+0.00166985j -0.00549646-0.00254457j 0.00305984-0.0029004j 0.00175302+0.001444j 0.000690739+0.0113168j 0.00474826+0.000476315j 0.0105061+0.00518011j -0.0109517-0.0014449j 0.00698549-0.0119254j -0.00427598+0.00739104j 0.00856049+0.00240496j -0.000583035+0.000827339j -0.0123785-0.00411672j -0.00437089+0.00316491j 0.0105061+0.00395687j 0.0111041-0.011857j 0.0011836-0.0144938j -0.00217536+0.0114881j -0.00680349-0.0134874j -0.00521347+0.00582128j 0.00189885-0.00809228j 0.00819484+0.00271638j -0.00123339-0.00135996j 0.00453292+0.0132082j 0.0114417+0.00111004j -0.0039101+0.00843316j 0.00320402-0.00414002j -0.00904416+0.000686984j 0.00196838+0.00322508j -0.00188075+0.0123538j 0.00100998-0.00429188j -0.0072538-0.000412971j -0.00322299-0.00149633j -0.00191936+0.00501647j -0.0059835-0.00441299j -0.00252555-0.00428295j -0.00288229+0.00472029j -0.00662343-0.00605217j -0.00758055+0.00309449j -0.000229718-0.00436629j 0.0025787+0.00399558j 0.000322098+0.00829844j 0.00921188-0.0012005j -0.00387475+0.00958577j 0.000927105+0.0026214j 0.00266303-0.000467805j 0.0017066-0.00498089j 0.00963736-0.000776277j -0.00329711-0.00148851j -0.00493976-0.00710242j -0.00739983-0.00264021j 0.00158421+0.00623805j -0.000783634-0.00873125j 0.00642913-0.00592925j -0.00416692+0.000325269j -0.0110859+0.004068j 0.000845374-0.00195803j 2.90421e-05+0.0033991j 0.00630853+0.00617573j -0.00733224+0.00562253j -0.00653728-0.00095048j 0.00170013-0.00584465j 
0.00223395+0.014583j -0.009883+0.00567799j 0.00570728+0.00911965j 0.0073477-0.00456195j 0.0111167+0.00490321j 0.00547917-0.00933332j 0.016581-0.0206226j -0.00961295+0.00477425j 0.0102415-0.00512634j 0.00887434-0.00441042j 0.00210719+0.00735094j -0.007519-0.0244271j 0.014978+0.0254994j -0.00351274-0.0315096j -0.0368554+0.00340019j -0.0385543-0.0155645j -0.00916656+0.0218066j -0.0135445-0.00998244j -0.0113153+0.0151767j 0.0118409-0.00387301j -0.0013744-0.00589554j 0.01655+0.00104102j -0.00405329+0.00170048j -0.00426818+0.00102232j 0.00350115+0.00237931j 0.00483069-0.00387772j -0.018156-0.00906035j 0.00195148+0.00291423j 0.00429285+0.00420469j 0.00972947+0.00455261j -0.00274767+0.00823791j -0.0023842+0.00737786j 0.00797963+0.00217599j 0.0154746-0.0155458j 0.0145132-0.00782628j -0.0123254+0.0111103j -0.00645796-0.0058412j 0.0133515-0.0144828j -0.0109245-0.0200595j -0.00179195-0.00601255j -0.0112776-0.00923658j -0.00964742+0.00833084j -0.00433589-0.0106723j -0.00276105-0.00195808j -0.00794673+0.0026075j 0.00730671+0.003401j -0.000252939-0.00642751j -0.00315502+0.00227414j -0.00666149+0.000285454j 0.0138671-0.00574642j -0.00531734-0.000192328j 0.00323439+0.0032814j 0.00512279+0.00177068j -0.000198289-0.000313628j -0.00157318+0.008609j -0.00379792-0.00369638j 0.000410146-0.00497332j 0.00361396-0.00416385j -0.0083527+0.00689001j -0.00767601+0.00454044j 0.0042472-0.00251337j 0.00162748+0.0102585j -0.010541+3.87116e-05j 0.000179316+0.00107655j -0.000769675-0.00950951j -0.00148358-0.00609008j 0.00232399+0.00610819j -0.00194522+0.00336124j 0.00246039+0.00145682j -0.00784752-0.00141081j 0.00170608-0.00929527j 0.00111884+0.00718393j 0.00500365+0.00443699j 0.00398007+0.000292309j -0.002017-0.00604746j 0.00281928+0.00239428j -0.00310556+0.000274j -0.00244082+9.67121e-05j 0.000141225-0.00629758j 0.00232113+0.00174463j -0.00216005+0.00426506j 0.00078822-0.00672602j 0.00113478+0.000774733j -0.0112926+0.00847593j -0.000540437+3.43647e-05j -0.00196153+0.00296961j -0.00448669-0.00544747j 0.00122456+0.000250712j -0.00394693-0.00512044j 0.00490065+0.0113422j 0.00612802-0.00555611j 0.00637417-0.00162935j -0.00414874+0.00395065j 0.00220341+0.00190943j -0.00257125+0.00189769j 0.0104432-0.00796165j 0.00743463+0.0271468j 
-0.00690366+0.00518752j -0.0100543-0.0114937j -0.00362723+0.0074453j -0.00424726+0.0189667j -0.00195994-0.00135601j -0.00355281+0.0141241j 0.016427-0.000651876j 0.00742041-0.0226153j 0.000470032-0.00289291j -0.00242602+0.0260345j 0.00432033+0.00646914j 0.0014699-0.0128998j -0.00387699+0.0155413j 0.0289439+0.0227465j 0.00727208-0.0135757j 0.00556858-0.0307744j -0.0348994-0.00335887j 0.0103738-0.00900976j -0.00461882+0.00505735j -0.0104151+0.000656251j 0.000253275+0.0083764j 0.0121393-0.000877704j -0.0113039-0.00625378j 0.0102466+0.0015701j 0.00114024-0.00349605j -0.0187768-0.00132771j -0.00243364+0.0112585j 0.00446565-0.00588731j 0.00884299-0.00180888j 0.000643769-0.00734431j 0.0121161-0.00170452j 0.0154749-0.00217254j -0.00824862+0.00189822j -0.0132185-0.00556945j 0.00575964-0.0244131j 0.00106645-0.00968797j -0.00785337+0.012011j 0.00609091+0.00233753j 0.0015669-0.00947692j 0.00667517+0.00147275j -0.00711237-0.00632183j -0.00220578-0.00744625j 0.0105826-0.00486795j 0.000480744-0.00139347j 0.00833737-0.00921142j -0.00702447-0.0111357j 0.00297204-0.0140391j -0.00863958-0.000804831j 0.00588204+0.000373908j 0.00544487-2.48935e-05j -0.000370703+0.00445401j 0.001496-0.00616399j 0.00496316+0.0010766j -0.000482329-0.00435574j 0.00465699+0.00678364j 0.0104578+0.000900573j -0.0023626-0.00106689j -0.0079105+0.00718712j -0.000678043-0.00357601j 0.00640114+0.000162519j -0.00500525+0.00304213j -0.00811908-0.00410929j -0.00551723+0.00848943j 0.0033526-0.0019481j -0.00156338+0.00546962j -0.00476443-0.00600783j 0.00471209-0.000921495j -0.00413968-0.00410377j -0.00155223-0.00654502j -0.00067415+0.000918658j -0.000834089-0.00653234j 0.00839752+0.00208733j 0.000536873-0.00309017j -0.00922192-0.00250761j -0.00609861+0.00254291j -0.0013764-0.00421315j -0.000531511-0.00348741j -0.00121429+0.00750243j -0.000766498+0.00904903j -0.000557298+0.00389277j 0.00751398-0.0021161j -0.00615179+0.00146062j 0.00244732-0.00407773j 0.00162401+0.00587386j 0.00321899+0.000773973j -0.00032573+0.00265769j -0.011719+0.00620844j 0.00228519+0.00137728j -0.000903131+0.00320694j 0.0054236-0.0013742j -0.000208355-0.00829393j -0.000667995+0.0025609j 0.00907199+0.00514641j -0.00512732-0.0144457j 0.00445085-0.00711443j 0.000899151+0.0172221j -0.00437379+0.00596975j 
0.00219416-0.00549282j -0.00409955-0.00667037j 0.00511026-0.00131558j 0.00977404+0.00445218j -0.00134055+0.00596084j 0.0127025+0.0019991j 0.00362839+0.00975201j -0.0357111-0.000802663j 0.0113808-0.0016959j 0.0203037-0.00291208j -7.8613e-05-0.0124202j 0.0181573+0.0113444j -0.0108172-0.00768364j 0.0191482-0.00711193j 0.0118523-0.0257972j 0.00891024-0.00759072j -0.00979894+0.00332864j -0.00724308+0.00524443j -0.00454301+0.00315033j 0.0127727-0.01152j 0.000428859+0.00307482j -0.00240138-0.00539529j -0.00197727+0.00280691j -0.0133784+0.0172535j -0.00428295+0.00599886j 0.0085619-0.0214772j -0.00476929+0.0165705j -0.00165154-0.00218671j -0.00521828+0.0036627j 0.00194687-0.00786317j -0.00327559-0.0046128j 0.00102839+0.0132198j -5.43313e-05-0.00815539j -0.0016975-0.014347j -0.00200105+0.000188706j 0.00438668+0.0216992j -0.00814679-0.00173095j -0.00524359-0.00828528j -0.0162777-0.00913896j -0.00178634+0.0075438j 0.00325242+0.00191279j 0.0049994-0.00256188j 0.00310986+0.00692963j -0.00184547+0.00939814j 0.00833624+0.00626707j 0.00280543-0.00872509j 0.00336108+0.00412253j 0.000415523-0.00732762j 0.000727838+0.00717315j -0.00549402-0.00344328j -0.00128037-0.00299902j 0.00595721-0.000747779j -0.00320087-0.00697044j 0.00028557-0.00265763j -0.00694732+0.00134808j -0.00638198+0.012676j -0.00428457-0.00382627j -0.00608257-0.00777204j 0.00437408+0.0109498j 0.00786453+0.00392818j 0.00128004-0.00681935j 0.010058-0.00902672j 0.00100397+0.000419359j 0.0016338+0.00577124j -0.00549371+0.00227274j -8.82347e-05-0.000380485j 0.000889644-0.00146128j -0.00115796+0.00149792j -0.00178843+0.00182193j 0.0023172+0.0057047j -0.0027343+0.00514454j 0.000775701+0.00526702j 0.000371535-0.00147084j 0.00206551-0.0107791j -0.00396631-0.00185502j 0.00936156+0.00128766j 0.0016905+9.9541e-05j -0.00118937-0.0029288j -0.011654-0.00392782j 0.000230365+5.91698e-06j 0.00160657-0.00390989j -0.00266236+0.00200205j 0.00359896-0.0035843j 0.00458517+0.00197612j 0.000551031+0.00240935j 0.00585548-0.00436097j -0.00438914-0.000821493j -0.000411014+0.00343617j -0.0069791-0.00186604j 0.00266094+9.68704e-05j 0.00663265-0.00401261j -0.003016+0.00517873j 0.00894078+0.00361613j 0.00484278-0.00237004j 0.00501007-0.00165871j -0.0110723+0.00601503j 0.000679528-0.00562089j 
0.0045921+0.00918819j 0.00947009+0.00656125j 0.00612647+0.00734571j 0.00620787+0.00257779j -0.00991101-0.00794422j 0.00679498+0.00683376j -0.0165246-0.0163285j -0.0152485-0.02219j 0.00332928+0.00670124j 0.010945+0.00861188j 0.0176879+0.00657002j -0.0273049+0.00635236j 0.0194922-0.00134438j 0.0159774-0.00416321j 0.00592367+0.00571932j -0.0157139+0.0148459j 0.0148158+0.0021849j -0.00167824+0.00610621j 0.00373648-0.000492428j -0.00425133-0.00865399j -0.00139681-0.00900914j -0.00773465+0.0151934j 0.00795977-0.00359226j 0.0152414+0.0177449j 0.00291302+0.0062181j -0.0104574-0.0106096j 0.00510517-0.00779849j 0.00279194+0.000582772j 0.0101587+0.0166027j 0.00117689+0.00637786j -0.0108789+0.00681751j 0.00889824+0.0119173j -0.000836199-0.000517877j 0.00204215+0.00144284j 0.0109529+0.0211803j 0.011446-0.00187297j 0.00198014-0.00525683j -0.000848424+0.00242589j 0.00759196+0.0142574j 0.00295269-0.00496642j 0.000318712-0.0105924j -0.00535246-0.000199372j 0.00293968-0.000979225j 0.0096014+0.00233313j 0.0041018-0.000616922j 0.00173993-8.09171e-05j 0.00958888-0.000759055j -0.0068319-0.00166212j 0.00338715+0.000808685j 0.00176232+0.0107732j -0.00637367-0.00674568j 0.00147261-0.000291004j -0.00435365+0.0102392j -0.00354935+0.00193788j -0.00344049+0.0104374j 0.00435588+0.0132184j -0.000638044-0.000731204j -0.00956707+0.00153887j 0.00793833-0.0028939j -0.0045286-0.00391278j -0.00430655-0.00307741j -0.00250809-0.0106086j -0.00460318-0.00888057j 0.00637555-0.000507292j 0.00466109-8.63633e-05j 0.00645775-0.00535919j 6.33534e-05+0.004899j 0.00176523-0.000322507j 0.010829+0.00209596j 0.00193055-0.00330144j 0.00898245+0.00046151j -0.00409311+0.00195662j -0.00203624+0.00146008j -0.00608537-0.000400106j -0.00238384-0.00519195j 0.0031636-0.0079538j -0.00112252-0.00680549j -0.00699097+0.00222921j -0.0073255+0.00785796j -0.000256604-0.00285035j -0.00108168+0.00262173j 0.00490148+0.000762132j -0.00292681+0.00104344j -0.00635433+0.000104705j 0.0012412+0.00285012j 0.00192613-0.00763328j -0.00441144-0.00241844j -9.58903e-05+0.00217984j -0.00479804+0.00685005j -0.00515178+0.00413638j -0.000205887+0.000414075j 0.00618682-0.000290829j -0.00674942-0.00553051j 0.0010604-0.00176371j 0.00663747-0.00434227j 0.00668387-0.00235952j -0.00879227+0.00486565j 
-0.00709978+0.00195591j 0.000657789-0.00132906j 0.0140006-0.00499892j -0.0150999+0.00102598j -0.01245+0.00284518j -0.0032318-0.00211493j -0.0185963+0.00617391j -0.0111912+0.0121218j 0.0216675-0.0333424j -0.0136796+0.00787959j 0.00875225-0.0187597j -0.00875354-0.00238102j 0.0049018+0.0112019j -0.0010937-0.000286338j -0.013062+0.00801119j 0.00605102-0.00724147j -0.00555107-0.00765856j 0.00624682-0.0031664j 0.0188888-0.00818161j 0.00187979-0.00149468j 0.00613266-0.0072635j -0.00063435+0.00733948j -0.00428771+0.00541874j -0.0192745+0.0128747j 0.00240304-0.0017146j -0.00262828+0.0103888j -0.00844668+0.00416733j -0.00871848+0.0030318j -0.0090555+0.0168738j -0.00807425+0.017603j 0.0129325-0.0267415j -0.00107491+0.00173865j -0.0024689-0.0137806j 0.00242191+0.00472107j 0.00241484-0.00194976j -0.00209663-0.00437378j -0.00234823+0.00876873j 0.00556843+0.00708092j 0.00498367-0.00258514j 0.00859335-0.0105182j -0.005456-0.00696586j -0.00198175-0.0134658j 0.00667763+0.00294162j -0.0107005+0.00285425j 0.00149705-0.00192016j -0.00423628+0.00426501j 0.00492574+0.00154001j -0.00334133-0.00379713j -0.00105899-6.00084e-05j 4.40846e-05-2.66513e-05j 0.00735387-0.00359868j -0.00532061+0.00608472j -0.00595631+0.00091898j -0.00593656-0.0154441j -0.00325855-0.000202874j -0.00878751+0.00413957j 0.00605976-0.000378398j -0.0103633-0.0021997j -0.0115379+0.00520599j 0.00203985-0.0103817j -0.00361651+0.0042304j 0.000236447+0.00306822j 0.00171871-0.00409256j 0.000956929-0.00256065j 0.00426336+0.00240357j 0.00186803-0.00246106j -0.00346352-0.000570041j -0.000537519-0.000730108j -0.00259154+0.00511359j -0.00286986-0.000644874j 0.00420433-0.00271621j -0.0031616-0.00142057j -0.00219437-0.00720706j -0.00327768+0.00043542j 0.00618328+0.00142085j 0.0035459+0.00461364j 0.00627294-0.00655085j 0.00743598-0.00128056j -0.00122079-0.00530426j 0.00557601+0.00592001j 0.0043869-0.000592666j -0.00512021+0.000344566j -0.00182951-0.00104939j -0.00224789-0.0056259j -0.00218505+0.00168274j 0.00918136+0.0105625j -0.00226029+0.00223418j 0.000822426-0.000191841j 0.000934518-0.00244395j -0.00675662-0.00303382j 0.00168351+0.00104263j 0.000391931-0.00283786j -0.00148719-5.7587e-05j -0.0062927-0.00370382j -0.000140341+0.00121559j 0.00606046+0.00100888j 0.000204586+0.003902j 
-0.00348723-0.010254j -0.0034336+0.00332661j 0.00656421+0.0153013j -0.00797334-0.0130306j -0.000831662-0.00934447j -0.00471401-0.00495194j -0.00398843-0.00741391j -0.00336496-0.016248j 0.0334245+0.0272946j -0.0133633-0.0125438j 0.0186372+0.00743474j 0.0108974-0.00384132j -0.0146344-0.000172978j -0.0100838+0.00487731j -0.00263108-0.00381033j 0.0134166-0.00311568j 0.000863001-0.00425411j 0.00195913+0.00394228j -0.00308897-0.0120446j -0.00241445-0.00205849j -0.00620032-0.00125976j 0.0106977-0.00356119j 0.0031254+0.0107245j 0.0144761+0.0158004j -0.000768392-0.00880229j 0.00850668+0.0075321j 0.00778797+0.00979174j -0.00451145+0.00653569j 0.011679+0.00505267j 0.012167+0.00346803j -0.0178477-0.0171146j 0.00136486-0.00609298j -0.0133071+0.000296766j -0.000615595-0.00244138j -0.00715516-0.0120429j -0.00293568-0.00063055j 0.00636337+0.00524224j 0.00126268-0.00109361j -0.00648419-0.00478229j -0.0117236-0.00601899j -0.00591107+0.0136398j -0.00929231+0.00242948j 0.00224832-0.00656337j 0.00200957+0.010206j -0.0036147-0.0060789j 0.000661738+0.00660858j -0.00117583-0.00519064j -0.00269673+0.00566957j 0.000959747+0.000475498j -0.00185682-0.001588j -0.0027001-0.00297199j 0.00469886+0.0044326j -0.00115062+0.00202364j -0.0171998+0.00487276j 8.54882e-05+0.00171032j 0.00651488+0.00446658j -0.0012917-0.00334559j -0.00171351+0.0117075j 0.00593839+0.0117868j -0.00900388-0.00431659j 0.00350716+0.00829068j -0.00209337-0.000704104j -0.00307324+0.0016875j -0.00275896-0.000369048j -0.000693315-0.00293503j -0.00735661+0.000585647j -0.00350813+0.000122215j -0.000557647+0.0018851j 0.00421944+0.00115945j 0.000990404+0.00394123j -0.00461889-0.00560089j 0.00200246+0.000392319j -0.00994643+0.0031753j -0.000990812+0.00388281j 0.00296999-0.000997467j 0.00435518-0.0017123j -0.00865904-0.00283729j -0.000824676-0.0096284j -0.00398346+0.00284791j 0.00714203-0.00453944j -0.00228947-0.00522658j -0.000733448+0.00512123j -0.000399827+0.000505152j -0.00351761-6.57754e-05j 0.00381824-0.00154257j 0.00711432-0.00804459j 0.00523091+0.00534396j 0.00182729-0.00215623j 0.000592932-0.00234598j -0.000470405+0.00513004j -0.00304968-0.00507961j -0.00509912-0.000493959j 0.00270415+0.00169211j -0.00591112+0.0079433j -0.00662004+0.000421252j -0.00312589-0.00236727j 0.00761018-0.00497463j 
-0.00985822-0.000820955j 0.0079677-0.00811716j -0.0120611+0.00180414j -0.0056377+0.00295062j -0.0147492-0.00887898j 0.0131457+0.00208964j 0.00873883-0.00448814j 0.00345064+0.0197062j -0.00350138+0.0015684j -0.00531702-0.0113435j -7.62122e-05+0.0156649j -0.0152046-0.0144182j -0.0103416+0.0007785j 0.0279691+0.0046964j 0.000486592-0.0569973j 0.0136056-0.0329845j -0.0147669-0.0202102j 0.00669008+0.00373411j -0.00858758-0.0172914j -0.00317678+0.006923j -0.00859734+0.00830658j 0.00561747+0.00695685j 0.00155823-0.018235j -0.00683206+0.00101841j -0.012926-0.00723491j 0.0161027+0.00456809j -0.00321423+0.00675098j 0.00739103-0.00998891j 0.00458156-0.00294127j 0.011881-0.00977186j -0.0063838-0.0112108j -0.00396522+0.00128151j -0.00141996+0.00563242j -0.000239136+0.00773537j -0.00227903+0.00304157j -0.0278245-0.0131141j 0.00460697-0.00457854j 0.0153904+0.0123075j 0.0308123-0.0100173j -0.00170922+0.00182871j 0.00861173-0.00698538j -0.00043558-0.00700097j 0.00611711+0.00307843j -0.00322349+0.00524454j 0.00279059+0.00345031j 0.00201144-0.00186773j 0.0104797+0.000469818j 0.000586834-0.00382459j 0.00509951-0.00571142j -0.00259279+0.0101465j 0.00508012-0.00159811j 0.00416549+0.000470321j 0.0061593-0.00197915j -0.0017749-0.0001145j 0.000293583+0.0035462j -0.00260486-0.00182958j 0.00514588-0.0115994j 0.00172745+0.00232738j -0.00373971-0.00409905j -0.00664209+0.000406057j -0.000246321+0.00604484j 0.00712593-0.000269766j -0.00306293-0.002367j 0.00308267+0.00219134j 0.000292113+0.00245799j -0.00015728-0.000391771j -0.000273203+0.00283728j -0.00496865-0.0121013j 0.000225022-0.00716684j -0.00154011+0.00197999j -0.00830779+0.00321357j -0.00652432-0.000190215j -0.00112657-0.00445746j -0.00116476+0.000953315j 0.000523755-0.00480697j -0.000194004-0.00192119j -0.00170486-0.00464775j -0.00452994+0.00351358j 0.00136647-0.00241303j -0.00385719-0.00508915j 0.0138908+0.00257157j -0.00809658+0.00872825j 0.00428856+0.00262285j -0.00430934+0.00443597j -0.00611523-0.00310402j 0.0140379+8.21496e-05j -0.00195337+0.00541155j 0.00738326-0.00252682j -0.00404204-0.00471816j -0.00329812+0.000338734j -0.00765147+0.00309373j -0.00397511+0.00768449j -0.0013886+0.00365854j -0.000809334-0.0115684j 0.0183639-0.000351875j -0.00524347+0.0194771j -0.0202534-0.0101624j 
0.00519731-0.00406626j 0.00561488+0.00735536j 0.00225136-0.0115608j -0.0047821-0.010579j 0.0108761-0.0173141j -0.00857446+0.0165952j -0.000661666+0.000506405j -0.0102162+0.00201642j -0.000683878-0.0144355j 0.00351509+0.00187434j -0.00895029-0.00100579j 0.0131567-0.0183527j 0.00292307+0.00136129j -0.0254125+0.0330959j 0.0349395-0.0111604j 0.0137295+0.0254693j 0.0173169-0.00686565j 0.00138775+0.0204117j 0.0165821-0.0106777j -0.00864529+0.00439698j -0.0116033-0.00532015j 0.00602667-0.00113475j -0.00480468+0.00494918j 0.00253093+0.00140125j 0.00908076-0.000510742j -0.00169505+0.00389969j -0.0175201+0.0111539j -0.00720769+0.00468563j 0.00395565-0.00518554j 0.0072322-0.0032084j 0.00362747+0.000305988j 0.00438685-0.0087627j -0.00366442-0.0109078j 0.00572325+0.00855565j 0.0270308+0.0031607j 0.012428-0.00583153j 0.00933586-0.00476552j -0.0116612-0.00640345j 0.0224215+0.00613609j -0.00530394+0.00122089j -0.00449231+0.00208639j 0.0146502+0.00671928j -0.0091626+0.0177117j 0.00043596+0.00296362j 0.00976997+0.00616995j 0.000731253-0.00312737j 0.00566307+0.00552782j 0.00607542+0.00554806j -0.000933959-0.000973196j -0.00153935-0.00151686j -0.00357607+0.000584707j 0.000183731-0.000422775j 4.49996e-05+0.00123959j 0.00305207-0.00679649j 0.00830093-0.0057793j -0.0005142+0.00287547j 0.000260704+0.00199509j -0.00636508+0.00215379j 0.00177157-0.000948155j -0.00317211+0.00928633j -0.00264782+0.00441915j 0.00172768-0.00741781j -0.00308162+0.00144618j -0.00571796-0.00179827j 0.00171971-0.0050479j -0.000230122-0.000541502j 0.0010122-0.00309564j 0.00161694+0.00268271j 0.000204923-0.00478053j -0.00309502+0.00045374j 0.00549597+0.00319368j -0.00100481+0.00635066j -0.00438231-0.00126848j 0.00630449+0.0035792j -0.00319937+0.00153115j -0.00748923+0.00179153j -0.00502747-0.00193888j 0.0112968+0.00163383j -0.00113224-0.00237814j -0.00140234+0.00233218j 0.0078268-0.00259502j 0.00824439-0.0006205j 0.00115344+0.00151908j 0.0047575-0.00123528j -0.00137181+0.00597756j -0.00311856-0.00493123j 0.00273987+0.00154511j -0.00429177-0.00401016j 0.0082121+0.00498088j -0.00229341-0.00248299j 0.00840122+0.0136175j 0.00657222-0.00616671j -0.00966111+0.00569965j -0.0023287-0.00333264j 0.0034666-0.00979866j -0.0264389-0.0175673j 0.00800588-0.0211417j 
