0.000817037-0.00120522j 0.000413066-0.000516965j 0.00091194+0.0002261j -0.000952531-0.000850504j -0.00193318+0.00128238j 0.000694254-8.61402e-05j -0.0030278+0.00584408j -0.00225866-0.00228259j 9.85758e-06-0.0012738j -0.0025603+0.00156897j 0.00108737-0.00311154j 4.60298e-07-0.00126501j -0.00092212+0.00201087j -0.00264446+0.00129066j -0.00154709-0.000878128j 0.00355104-0.00884998j 0.00211567-0.0019376j -0.00182393+0.0025118j -0.000338773+0.00256842j 0.00390492-0.00462434j -0.00126493+0.00116776j -0.000831727-0.000661415j -0.00224975-0.000884599j 0.00153881+0.000292435j -0.00430443-8.32979e-05j 0.000347845+0.000250992j 0.0213136+0.000447114j 0.0409762+0.000461913j -0.0215357-0.00108277j -0.00262057-0.000789902j 0.00672083+6.34584e-05j 0.00569496+0.00062217j 0.00371801+0.000303452j -0.000272796+0.000652968j -0.00481835-0.0018755j -0.00038553-0.00193082j 0.00566059+0.00084315j -0.00258187-0.00183794j -0.00138924-0.000803579j 0.000785891-0.000466761j -0.00183069-0.000976788j -0.00140715+0.00016544j -0.00047807+0.000213077j 0.000123749-0.000720392j 0.0009609-0.000197034j 0.00247431-0.000160913j 0.000250766-0.000637817j 0.000910907-0.000833918j -0.000542667+0.00050096j -0.000107476-0.000539226j -0.000270772-0.000559702j -0.000885765-0.000247636j 0.00270327-0.000167646j 0.00144588-0.00022735j 0.00123699-0.000202481j 0.00014318-0.00207576j -0.000826268+0.000502887j 0.00106165-0.000658768j 0.000251251+0.000509431j 0.000105424+0.000736859j -0.000480253+0.000342552j 6.48032e-05-0.000488963j -0.00252397-0.000910614j -0.00073198+0.00155925j 6.02e-05-0.00026026j 0.000310656-9.17932e-05j 0.0016893-0.000339971j -0.0014656+0.00127631j 0.00080556-0.000246157j -0.000392511-0.000230463j 0.000163184+3.94759e-05j 0.000248801-0.000374166j 0.00167495+0.00111048j 0.00242925-0.00165941j -0.000865827+0.00108087j -0.00224004+0.00186671j -0.00177225-2.41912e-06j -0.00088725-0.000693458j 0.000295676-0.000532542j -0.00116868-0.000888689j 0.000700063-0.00123319j -0.00294559-0.00185073j 0.000935794-0.000792631j -0.00148834+0.000832774j 0.000802091-0.00283167j -0.00161742+0.000971095j 0.000168079-0.00239973j -0.000142073-8.25984e-05j 0.000750367-0.000646112j -0.00057848-0.000523488j 0.00164628+0.00102571j 0.000143512-0.00232107j 0.000580392-0.00298837j -0.000574581-0.00140071j 0.000519402-0.00219723j 
0.00446395-0.00360791j -0.000861869-0.00397742j 0.00349689+0.000320085j -0.00779065-0.0030215j -0.00237632+0.00448727j 0.00271267+0.00239063j 0.00247269+0.0131994j -0.0128957-0.00670401j 0.000317745-0.00255828j -0.00620977-0.0045305j -0.00194907+0.00312301j -0.00235028-3.48706e-05j 0.00441857-0.00569209j -0.00466293-0.00290587j -0.00477251-0.0182836j -0.00106118-0.0186746j 0.00126437-0.000751371j 0.00147114+0.00714266j 0.000719349+0.0122271j 0.00990564-0.013482j -0.00104903+0.00280518j 0.00491675-0.00365678j -0.00707268-0.000208122j -0.00215965+0.00215065j 0.00239711+0.000112217j -0.00279734-0.000684895j -0.024459-0.00209384j -0.00344582-0.000562699j -0.0105973-0.00571406j 0.00189305-0.00119167j -0.0110284+0.00119573j -0.000974056-0.00372026j 0.00302899+0.00234986j 0.00192304+0.00262843j -0.00135934-0.00945034j -0.00393624-0.00912572j 0.0163194+0.00485403j -0.00304635-0.0107449j -0.00495783-0.00330172j 0.00379824+0.00418106j -0.00379367-0.00153687j 0.000740159-0.00223879j 0.000120818+0.000952649j -0.00108834+0.000711099j 0.000763959-0.00031762j 0.00189172+0.000465881j -0.00110887-0.000977595j 0.000306463-0.00161677j -0.00236174-0.00127248j -0.0012658-0.000173562j -0.001235-0.00179529j -0.000694466-0.00178176j 0.00295053+0.0018259j -0.000379619+0.000533452j 0.00193962+0.000773663j 0.000237393-0.00464818j -0.00109565+0.000570046j 0.00362714-0.000924856j 0.000913412+0.00165897j -0.000589016+0.00142432j 0.000352644+0.000995676j 0.000117883-0.00431095j -0.00522497-0.00464862j -0.00127056+0.00265474j -0.00263695+0.00302853j -0.00288586-0.00369116j 0.00326573+0.000861898j -0.00615724+0.00365806j 0.00895175-0.00274772j 0.00308366-0.00302022j -0.00238361+0.00254277j -0.00284897-0.00128292j -0.00334439-0.00487235j -0.00144173-0.000897841j 0.000883532-0.00360176j 0.00084987-0.00151956j -0.00703755-0.00465406j -0.00323688-0.000927752j 0.00127929+0.00200791j -0.00651189-0.0026525j 0.00172404-0.00221382j -0.0037524-0.00409546j 0.00512215-0.00683837j -0.00280772+0.00196786j 0.00388965-0.00784427j -0.00351997-0.00283044j 0.00135651-0.00576846j 0.000424726+0.000235373j 0.00162585-6.81304e-05j -0.00235111+0.000207809j 0.00530317+0.00210439j -2.71754e-05-0.00374152j 0.00267809-0.00849029j -0.00352484-0.00226025j 0.00205447-0.00846865j 
0.00343165+0.00107244j -0.00363522+0.00454916j 0.000623448-0.00393413j -0.00307803+0.00548526j 0.00228187-0.00188414j 0.0041284-9.79917e-05j 0.0125404-0.00983292j -0.0145407+0.00382039j -0.00170407+0.0038089j -0.00403215+0.00636364j 0.00205441-0.00156142j -0.0028482-0.00163371j -0.00462065-0.0013922j -0.00533994+0.00076049j -0.0181827+0.00551309j -0.0201367+0.000616956j -0.00343855+0.00333883j 0.00364287-0.0103905j 0.0143302+0.000363152j -0.00801025-0.00123932j 0.00181551-0.00206849j -0.00258739+0.00318826j -0.00134323-0.0067674j -0.00213636-0.00380409j -0.000626469+0.0030417j 0.00249025-0.00226303j 0.000326718-0.0191947j 0.00485789+0.00615556j 0.00189192-0.0150896j -0.000364514+7.41364e-05j 0.00163405-0.00952118j 0.00312278-0.000195529j 0.00120758+0.00496744j -0.00200216+0.000103594j 0.00487475-0.00683494j 0.00882605-0.00514936j -0.000860961+0.0160005j 0.00454218-0.00558625j 0.00223276-0.00560933j -7.83722e-05+0.00685602j 0.00196308-0.00379713j 0.000859339-0.00250373j -0.00112635-0.00147627j -0.00212038+0.00191049j 0.00152936+0.00175008j -0.0019739+0.0022167j 0.00193425-0.00206716j 0.000398222+0.000154701j 0.000813038-0.00141149j -0.00195813-0.00198844j 0.0016557+0.00169627j 0.0006418-0.00101932j -0.00117566+0.00564186j -0.00160863-0.000669153j 0.000628219-0.000228775j 0.00444788+0.00111633j -0.000810749-0.00164227j 0.00117876+0.00204465j -0.00259652+0.00152465j -0.000768618-0.00172535j -0.00280954-0.00224495j 0.00474986-0.000593503j 0.00846275-0.00666831j -0.00348183-0.00328265j -0.0034467-0.00278369j 0.00402704-0.00269148j -0.00092788+0.00484717j -0.00224694-0.00856607j 0.0016208+0.00958689j 0.0033914+0.00397236j -0.00302356-0.00225567j 0.00126943-0.000551076j 0.00487862-0.00353488j 0.000149439-0.00100285j 0.00415141-0.00141172j 0.00219862+0.00246339j 0.0066553-0.00588094j 0.00137901-0.00320032j -0.00306234+0.001725j 0.00370687-0.00469353j 0.0011138+0.0015752j 0.00597221-0.00352873j 0.00549025+0.00511869j -0.00168916-0.00262558j 0.00662939+0.00401103j 0.0045809-0.00334286j 0.00511165+0.000961778j -0.000620874-0.000179582j -0.000337728+0.00068362j 0.0023494+0.000920619j -0.00541075+0.00385444j 0.00384127+0.000839006j 0.00628481+0.003411j 0.00556536+0.00203369j 0.00328982+0.00313119j 
0.00413257+0.00222859j 0.00240313-0.00389773j 0.000106785+0.00332108j 0.0104904-4.90696e-05j -0.00232632-0.00082565j -0.00589344+0.000624021j 0.00286527+0.00669995j -0.00905899-0.0212992j -0.00392674-0.00783246j -0.00331617-0.0142427j 0.00166126+0.00294533j -0.00157442+0.0026593j -0.00330976+0.00784925j -0.00235494+0.00122734j -0.00178791-0.00566678j -0.00410615+0.00859139j -0.00546832-0.0116506j -0.0143598+0.00745663j -0.00144338-0.00836693j -0.0115244+0.0136158j 0.000105705-0.000315611j 0.00431995+0.00683156j -0.00173297-0.0047492j -0.00648524-0.00177633j 0.000612202-0.00279094j -0.000528694-0.00115776j 0.000951551-7.77609e-05j 0.000282926-0.000730953j -0.00104585-0.00506902j 0.000636909+0.00118196j -0.00617798-0.00537957j -0.00211471+0.00271192j 0.00492367-0.00204348j 0.00101133+0.00358534j -0.0043914+0.00426056j -0.00624719+0.000358461j -0.00680122+0.00377857j 8.62321e-05+0.00459834j -0.00263465-0.00418337j 0.000863165-0.000722744j -0.00136564-0.00200627j -0.0061214+0.00644944j 0.00273377-0.000135297j 0.00421559+0.00180086j -0.000368697-0.000952888j 0.00112669+0.00100296j -0.00225621+0.00112722j 0.00299776+0.00220405j 0.000826303+0.00131673j 5.92595e-06+0.00112667j 0.00596619-0.00120477j 0.000727473-0.000787997j 0.00211627-0.000822287j 8.8048e-05+0.00255982j -0.00480332+0.00017831j -0.000622127-0.00137203j 0.000916942-0.00187725j -0.00861337+0.00277154j 0.00255586-0.00117201j -0.00288764-0.00304469j -0.00485742-0.00195607j -0.00280229-0.00593437j -0.00257352-0.0107229j -0.0046571+0.00518079j 0.000919688+0.00308148j 0.000809128-0.0035126j 0.00150789-0.00223509j 0.00497631-0.00128792j -0.00304185-0.00247198j -0.00651879+0.00217401j 0.000540574+0.00137753j 0.00391281+0.0023431j 0.000169191-0.00150119j -0.00177415-0.000783696j -0.00585048-0.000107781j 0.00444718-0.00234686j -0.00180432+0.000546258j -0.00451741+0.000551543j 0.00194487+0.00418633j -0.00270937-0.0075962j 0.00579152+0.00394342j -0.000662602-0.0027868j -0.00118015+0.002956j -0.001647+0.00602122j 0.00165153+0.00177895j -0.00633277+0.000415472j -0.00816477+0.000885704j 0.000230363+0.00168831j -0.00109598+0.000484881j -0.00295002-0.0109437j 0.00521023+0.00191516j 0.00458749-0.00121411j -4.7252e-05+0.00252891j 0.00705871-0.0108153j 0.00466032+0.00881657j 
-0.00299789+0.00208245j 0.00245602+0.00464787j -0.00685741+0.000956694j 0.00552269+0.00467653j 0.00163532-0.00448374j 0.00147969+0.00183429j -0.00176191-0.00417082j 0.00457144+0.0019929j -0.00181412+0.00332708j 0.00232485-0.00942681j 0.00468437+0.0197542j -0.00140643-0.0174189j -0.000746047-0.0116112j 0.0010554+0.00501527j 0.00838824-0.0191962j -0.00443103+0.0123309j -0.000538103-0.00327907j 0.00544086-0.0137881j 0.00205628+0.00620358j -0.00595515-0.00350539j 0.00144769-0.00420496j -0.00152659+0.00540371j -0.000753729+0.000395119j -0.00228009-0.00404385j 0.00106811+0.00227052j 0.00181263-0.000244117j -0.0028415+0.00117946j 0.00330049-0.000677493j -0.00289261+0.00156893j -0.00186402+0.000295058j 0.00252648-0.00278766j 0.00169459-0.00316315j 0.00323696+0.000190663j -0.00260765-0.00132388j -0.00358105+0.00117889j 0.0011141-0.00152659j 0.00334999-0.0047275j -0.00350001+0.00321752j -0.00257873+0.00249247j 0.00541474-0.000327775j 0.000931639+0.00521998j -0.00175069+0.00115291j -0.00164459-0.00211598j 0.00347331+0.0045986j 0.00414003-0.00199311j 0.00119886-0.00127133j 0.00234727-0.00159339j 0.00135848+0.00058074j 0.00146233-0.0029647j 0.000427318+0.00323273j 0.00148011-0.00102875j -0.00235334+0.00393084j 0.00349233+0.000732718j -0.00149286+0.00251466j 0.00283552-7.4838e-05j -0.000373955+0.00182341j -0.00212788+0.000309903j 0.00244451+0.00289891j -0.0019788-0.00037395j -0.000318203-0.000654328j -0.00475574+0.00690003j -0.0030013-0.00407892j -0.00437926+0.00121947j 0.000256247-0.00326246j 0.00412907+0.00363935j 0.00695783-0.00207415j 0.00571303-0.00417331j -0.00725793-0.00755175j -0.0065741+0.000648805j 0.000626192-0.00557353j -0.00862362+0.00456042j 0.000947232-0.00290807j 0.00487725-0.00153848j -0.00155471-0.00332076j -0.00566574-0.000631466j -0.00493069-0.00907926j 0.00969768-1.24202e-05j -0.00239203+0.00698852j 0.000183455+0.00328044j 0.00304832+0.001001j 0.0012807+0.000691808j -0.00983202-0.0025869j 0.00366422-0.00547848j 9.93119e-05+0.00109737j 4.74574e-05+0.000891197j 0.000690048-0.0088213j 5.9324e-05+0.00659658j -0.000920592-0.00124129j -0.000546783-0.000179901j 0.00281362+0.00410784j -0.000980198-0.000789411j -0.00155909+0.00391942j -0.000771351+0.00405044j 0.00255418+0.00209896j -0.000897212+0.00278776j 
-0.00641581+0.00230526j 0.00390033+0.00964678j -0.00339997+0.00314644j 0.00465613+0.00729803j 0.000209923-0.00257231j -0.00184694-0.00756728j -0.00150782+0.00919439j 0.0107706-0.00869887j -0.00420005+0.00248051j 0.0100863+0.00971598j 0.00180544-0.004534j 0.000885034+0.00654848j -0.00395364-0.00450468j 0.00166346-0.00490633j 0.00507615+0.00712917j 0.0016179-0.0132663j 0.00440011-0.00660609j 0.000961458-0.0137305j 0.0108597-0.00148286j -0.0136348-0.0183795j 0.00237305-0.00218038j -0.00204532+0.01348j -0.00399286-0.00601497j -0.00609507-0.00861433j 0.00013282+0.00390667j 0.00383265-0.00119151j -0.00667012+0.00329756j 0.000141076+0.00297404j -0.000658078-0.000621821j -0.00171255-0.000441334j -0.00409526-0.00770422j -0.00099093+0.00487607j 0.00209519-0.00283984j 0.000184505-0.00311258j -0.0100183+0.0019377j -0.0029495-0.000690683j 0.00091239-0.00527613j -0.00791678+0.0104889j -0.00345517+0.00397734j 0.00815954-0.00911793j 0.00121468-0.00043996j 3.68099e-06+0.00270248j -0.00311673-0.00198408j 0.00565079+0.00277783j 0.000114166-0.00263496j -0.00233194+0.00230456j 0.00136017-0.00278636j -0.00174234-0.00183948j 0.0027625+0.00382874j -0.0042856+0.00600338j 0.00452718-0.000491397j -0.00295862+0.00241986j 0.00251874-0.000961892j 0.00121472+0.00154332j -0.00363434-0.00430222j -3.43782e-05-0.000306788j -0.000363807+0.00228399j 0.00124009-0.000147061j -0.00252929+0.00181668j -0.00171833+0.00117214j -0.00732356+0.00471603j -0.00466246+0.00392765j -0.00429028-0.00435181j -0.000816252+0.00297045j -0.00178713-0.00155394j -0.00540257+0.00284233j -0.000755905+0.000969083j -0.00616978-0.00219776j 0.00496848+0.00303874j 0.0097816+0.00476334j 0.00314847-0.00260914j 0.00400825+0.000619959j -0.00374735-0.00205093j 0.00149279+0.00531495j 0.00249094+0.000250468j 0.00314263+0.00186446j -0.00196731-0.00250315j 0.00210664-0.0010315j 0.00172915-0.00229149j -0.00329643+0.00604635j -0.000456359-0.00357676j 0.00139295-4.29009e-05j 0.000465617+0.00298864j 0.00488049-0.00173632j 0.00106468-0.00124527j 0.0029508+0.00264819j -0.00109447+0.00133356j -0.00136601-0.000108473j -0.00200891-0.000158908j 0.00376792+0.00403078j -0.00489727+0.00123475j 0.000110355-0.00268225j 1.87672e-05+0.00289821j 0.0104876-0.00405186j 0.00195419+0.00875455j 
0.00709178+0.00353944j 0.00351567-0.00158479j 0.00150714+0.0148134j 0.00976429-0.0187442j -0.00667317-0.00253112j 0.000962161+0.00731283j -0.000678243-0.00468699j -0.011828+0.00393096j 0.00220585+0.018132j -0.00177889+0.00347986j 0.0074385-0.00520439j -0.00566876-0.00476022j -0.00602367-0.00192863j -0.000404138-0.00719594j -0.000461868-0.00897307j 0.00923853-0.00345802j -0.0119603+0.00905914j -0.0134897-0.0126716j -0.00523973-0.000523417j 0.000442037+0.00734231j -0.0040023+0.00435863j 0.0069636-0.00329669j -0.00110608-0.00648007j -0.00334446+0.00342041j -0.000459108-0.00551889j -0.00546455-0.0063734j 0.00281742+0.000441421j -0.00255788-0.00356918j -0.00169184+0.00140321j 0.00219073+0.00913882j -0.00303264-0.000503985j -0.00324843+0.0103204j -0.00606428+0.00423127j -0.00256939+0.00155046j -0.00469498+0.0045375j 7.27641e-05+0.00281259j -0.00500677+0.00351355j 0.00395568+0.00589255j 0.000756364+0.00115984j -0.00767291-0.00790585j -0.00205007+0.000240684j -0.00165885+0.00281289j 0.00305191-0.000911239j 0.00127909-0.00338644j 0.00333985+0.000563447j 0.000897056+0.00361978j -0.00109105+0.000705955j 0.00209948+0.00236268j -0.000371881-0.00208906j 0.000274611+0.000461936j 0.00446517-0.00403714j -0.00242594+0.00355492j -0.00248916-0.00297971j -0.00350694+0.00294482j 0.000147335+0.00306662j -0.00182484-0.00338886j 0.002633-0.00140001j -0.00665347-0.00143801j 0.00213009+0.00307405j -0.000233291+0.0013083j -0.00263156+0.00363938j 0.00268114+0.00185245j -0.00203005+0.00225385j 0.00264978+0.00356832j -0.00215197+0.00106643j 0.000406388+0.00600735j 0.0042875-0.000926402j 6.37848e-05-0.000351914j 0.0031639-0.00123361j 0.00259322-0.00304735j -0.0025107-0.00346498j 0.00122278-0.00089033j -6.22222e-05+0.00376026j 0.00187526-0.000765211j 0.000524644-0.00225098j -0.000585067-0.0023586j -0.00184378+0.000948067j -0.0026757-0.00331442j -0.00404118-0.00145247j 0.00748419+0.00187503j -0.00662952+0.00116952j 0.000909261-0.00405298j 0.00182901-0.00141568j -0.00562024-0.00249269j 0.0027814-0.00107196j 0.00324299-0.00244525j -0.00152085-0.00380296j -0.000430807+0.000548917j -0.000324192+0.000159761j 0.00595985-0.00364462j 0.00232253+0.00166578j 0.000556965+0.000138196j 0.00410798-0.00423807j 0.00614733-0.0082264j 0.00874442-0.00302331j 
0.00279846-0.000776642j 0.00300909-0.00238127j -0.0142077+0.0101679j 0.0155531-0.00357804j 0.00527968-0.0100326j -0.000315588+0.0048314j 0.00253739+0.00183655j -0.0104974+0.00365006j -0.00632151+0.000144911j 0.00222215+0.0031274j -0.00195569-0.00629826j 0.00192515+0.00322049j 0.00154939-0.00240835j -2.61608e-05-0.0039251j 0.00377918+0.00666331j -0.000391376-0.00615617j -0.00861734-0.00964853j 0.010211+0.00126286j -0.0109813+0.00491248j -0.00173496+0.00694661j 0.00368572-0.0176716j -0.00222898+0.000736791j 0.00201033+0.00986496j -0.00305516+0.00129538j 0.00294753+0.00152768j 0.00171001+0.00270874j 0.000513532+0.00276088j -0.00173979+3.6473e-05j -0.00162493-0.00473372j -0.00197749-0.00669369j 0.0049223-0.0017474j 0.00300236-0.014842j 0.00520216-0.0016228j -0.0024054+0.00343062j 0.00365788+0.00040513j 0.00230764-0.0114382j 0.00152029-0.00235253j 0.00269003-0.00535639j -0.00040358+0.00203492j -0.00068251+0.00390352j 0.00171895+0.00104913j -0.0015884+0.00201261j 0.00145603-0.00683153j -0.00142334-0.00052669j 0.0022978-0.00339396j 0.000127576-0.00165906j 0.00224577-0.00335316j 0.00281406-0.00452164j -0.00166335+0.0026279j -0.00346245+0.00607469j 0.000970681-0.00345426j 0.000152016+0.00344391j -0.00100048+0.000321485j -0.000238654+0.00113534j 0.00730212-0.0054148j -0.00265797+0.00218201j 0.00223171+0.000153779j -0.00513971+0.000894821j 0.00248675+0.000451645j 0.00102421+5.46445e-05j -0.00418004+0.00276874j -0.00325855+0.00312372j 0.000136805+0.00391876j -0.00374301-0.0013632j -0.00277117+0.000703849j 0.00193756-0.00132851j -0.00394022+0.00282609j 0.000760057+0.00386921j 0.00134285-0.000348654j 0.000461656-0.00196518j 0.00105809+0.00342857j 0.00135366-4.41414e-05j -0.000902452-0.00174325j -0.000583931+0.00283358j -0.00072603+0.000772185j 0.0013839+0.00409206j 0.000545625-0.000786281j 0.00199807-0.00172918j 0.000917154+0.000931596j 0.00202312-0.00351673j -0.00377746+0.00138182j 0.00195148+7.69722e-05j -0.00164802-0.000615492j 0.00299015-0.00149465j -0.000546155-0.00468859j -0.00285558-0.00391263j -0.00291823-0.00220002j -0.0014515+0.000510174j -0.00152541-0.00022803j 0.00778225-0.00386736j -0.0022464+0.00221354j 0.000183964+0.0026636j -0.00571757+0.000716182j -0.000508481+0.00296026j -0.0071149-0.00233979j 
-0.0036345+0.00686195j 0.00139662-0.00425166j -0.00754368+0.00223325j 0.00642884+0.0055249j -0.00127842-0.00451587j 0.00542929+0.00205064j -0.00478863+0.00199345j 0.0108999-0.0102277j 0.00463333-0.00614702j 0.00403603-0.00452033j 0.00151825-0.00372322j -0.00879325+0.00120539j -0.0114268-0.00204103j 0.00024322-0.00138778j -0.0049331+0.000631198j -0.00410013-0.0025232j 0.00320743-0.0042716j -0.00819205-0.0118998j 0.00790231-0.000785612j -0.00682048+0.00719082j -0.00153115+0.000351768j -0.00737105-0.0134097j 0.00556583+0.00579481j 0.00308953+0.00738603j -0.000831683-0.0062239j -0.00427745-0.00894261j 0.00400691+0.00923351j -0.00267986-0.00998933j -0.000661985+0.00495844j 0.000231284+0.0101713j 0.00167351+0.00814754j -0.0011493+0.000374206j -0.00349444+0.00350107j -0.00166634+0.00583275j 0.00797298-0.0164423j -6.77595e-05-0.0123613j 0.00264904+0.0017653j 0.0010552-0.0129949j -0.0026827-0.00107339j 0.00184535+0.00290577j -0.00233963+0.00343699j 0.000492053-0.000221511j -0.00139776-0.00244365j -0.000392535+0.000744501j 0.00106432-0.000863665j -0.00180326-0.000469448j 0.00175223+0.00279945j 0.00261267+0.00181779j 0.00185229+0.000258275j -0.00268462+0.000204916j 0.000451784-0.000613881j -0.000212469+0.00233957j -0.00036839+0.00121648j -0.00410958+0.000337702j -0.000181694+0.00108601j -0.00104922-0.00137829j -0.00103872+0.00104083j -0.000792359+0.00510415j -0.000465125-0.00274474j -0.00177776+0.0027576j -0.0061453-0.00256708j -0.00138495+5.65275e-05j -0.00632416-0.00131366j 0.00243735+0.00184591j -0.000174334+8.45121e-05j -0.00129503+0.00235116j 0.00108249+0.00303467j 0.0011544-0.00444501j -0.000333333-0.000152081j 0.0026646+0.0033295j 0.00118662-0.00270761j 0.00291197-0.000722866j -0.000366317+0.002041j 0.000210082+2.71018e-05j 0.000377109+0.0031875j 0.00177803-0.00369175j 0.00203068+0.00296292j -0.00131569+0.00133217j 0.00204189-0.00248022j -0.00322907+0.00524691j 0.00194368-0.004222j 0.00103611-0.00448038j 0.00397926+0.00387107j 0.00306759-0.00259279j 0.00176295+0.000847097j 0.00500779+0.00387101j 0.00314811+0.00197917j 0.00131232-0.000691067j 0.00113317-8.07844e-05j -0.00508323+0.0056789j 0.000132604+0.000623829j -0.00283164-0.00303685j 0.00218013+0.00139964j -0.00549544+0.00371963j 0.00254089+0.000625079j 
-0.00215231-0.00111577j 0.000554648-0.00133999j 0.000321907-1.52143e-06j -0.000767089-0.00206686j -0.00350531+0.000994128j 0.00142356-0.00445918j -0.00434814+0.00430907j 0.00532237+0.000216476j 0.00231088-0.000896264j -0.012725+0.00164013j 0.0173396-0.00483604j -0.0143509+0.00426443j -0.0056239+0.00185354j 0.00723845+0.000964189j -0.0176078-0.0038775j 0.0153498+0.00338521j 0.00155524+0.00269109j -0.00156527+0.000992301j 0.00276276+0.000943281j 0.000447765-0.000756023j -0.00309012-0.00545178j 0.00421514+0.0076867j 0.00427408+0.00671666j 0.000528559-0.000771336j 0.00225648+0.00949327j 0.00155474+0.00731914j -0.00125234-0.00691052j -0.00233705+0.00268401j -0.000266549-0.00540726j 0.000447008-0.012324j 0.00287577+0.000882929j 0.00147684-0.0180573j -0.000260067-0.0081993j 0.000108125-0.00425334j 0.000283761+0.00511564j 9.5957e-05+0.000785794j 0.000728186-0.00579699j -0.00130168+0.00172765j -0.00118132-0.00266813j -0.000482797+0.00231884j -0.00380293+0.00197601j -0.000523404-0.0011445j -0.00034254+0.000574176j -0.00264939+0.00214553j -0.000184178+0.00209987j 0.00222832-0.000766841j -0.000257576+0.000397953j -0.00171547+0.00103275j 0.00303287+0.000274542j 0.000157533+0.000442806j -0.000425069+0.00150934j -0.00219812-0.000248768j 0.000931388+0.000826175j 0.000298839-0.00295642j -0.000837587-2.16869e-05j -0.000297504-0.00030382j 4.93129e-05-0.000747632j -0.000903808+0.00141759j 0.000535072-0.00149638j 0.0013706-0.000206905j -0.00357391-0.00110968j 0.00540027-0.00173117j -0.00149246-0.00188957j 0.0025046+0.00012982j -0.00307082+0.00378297j 0.00307722+0.00616395j 0.00488163+0.00507781j 0.00504926-0.00262508j 0.000524883-0.0072204j 0.0044317-0.00342817j -0.00392461-0.00783628j 0.00346609-0.00110653j 0.000932293+0.00477961j 0.00480735-0.00133813j 0.00136466-0.00486776j 0.00680912-0.00574775j -0.000528406+0.00817115j -0.00611916-0.00235879j -0.00323213-0.000656528j 0.000266573+0.00268722j -0.000961027+0.00227382j 0.000383525-0.00898184j 0.00532127+0.00221801j -0.00210764-0.00325187j -0.0024429+0.000526755j 0.00674403-0.000743634j -0.00448997+0.00079423j 0.000901901+5.73625e-07j 9.2879e-05+0.000803417j -0.00228321+0.000113013j 0.00168265+0.00221051j -0.00420293-0.000809989j -0.00267478+0.000824845j -0.00253099+0.000678326j -0.00166622+0.000635013j 
0.000654722+0.000532061j -0.00811728-0.00899593j 0.0166108+0.0189474j -0.00664435-0.0193877j 0.00179099-0.00157958j -0.00413143-0.00836013j -0.00264721+0.00282363j 0.00472759+0.00258444j 0.00983205+0.00113633j 0.00657016-0.00843943j -0.00563486+0.00151449j 0.00197549+0.00261937j -0.0047206+0.00571314j -0.00295638+0.00239833j 0.00281089-0.00368394j -0.0107223+0.00203158j 0.00519863+0.00759267j -0.00579016+0.00334083j 0.00197014-0.00390395j -0.00624688-0.00236611j -0.00464552-0.0042863j -0.000503512+0.00348219j 0.00166871+0.00522088j 0.00096291+0.00570786j -0.00022589+0.00506981j 0.000894159+0.00276872j 0.0024351-0.00367085j -0.000688395+0.00372369j -4.08863e-05-0.00361775j -0.00037131-0.00698093j -0.000195446-0.000156662j 0.00236913-0.00831812j -0.00420891-0.00593939j -2.3297e-05-0.00080555j -0.000545154-0.00268292j 0.00348586-0.00315092j 0.00483536+0.00162477j -0.00012162-0.00326942j 0.00111273+0.00340652j 0.00337848+0.00265954j -0.00249593-0.000789911j -0.00102056+0.00106902j 0.00587962+0.000705228j -0.000858528-0.000368789j 0.0025526+0.00105094j 0.00299777+0.00036254j -0.00426669-0.00231942j -0.00269089-0.00459095j -0.00362056-0.00231691j -0.00175084+0.00145582j 0.00324278+0.00089997j -0.00714776-0.00446262j -0.000369022-0.00261337j -0.00094298-0.000138179j 0.00142593-0.000846775j 0.00169576+0.00381531j -0.00105111-0.000373872j -0.00402629-0.00266422j 0.00327143+0.0037723j -0.00233829-0.00197641j 0.000412047+0.00637177j -0.00323282+0.0024304j -0.00183428+0.0044468j 0.00091566+0.00219159j 0.000978657+0.000328911j -0.00396598-0.00299044j -0.00172324-0.00161176j 0.000573712-0.00154864j -0.0014751+0.00508377j 0.000271185+0.00178577j -0.0015276+0.000957651j 0.000444466-0.0030395j -0.000580609-0.00231938j -8.84366e-05+0.00166482j 0.00131296+0.0044464j -0.00135713-0.000682364j 0.00174306-0.000994785j 0.000213658+0.000755087j 0.000839262-0.00230182j -0.00550879+0.0017573j 0.000498162-0.00552588j -0.000677997+0.00366853j 0.00186022+0.000674047j 0.00456941+2.89324e-05j 0.00026942-0.000333226j 0.000683404+0.00387528j 0.00231266+0.00682873j 0.000208879+0.000214672j -0.000240032+0.000447594j -0.00245955+0.0033457j -0.00057308-0.00215244j -0.000296813-0.000335283j 0.00209528+0.00489505j -0.00210107+0.00140912j 0.00268718+0.00280743j 
