-0.00684133+0.00904564j -0.0256529-0.0178347j 0.0248615-0.000871757j 0.0624479+0.00210155j 0.0279663-0.00357063j 0.0190169-0.014279j 0.00586584+0.00255826j 
0.00931786-0.0222836j 0.00503183+0.0359847j 0.0181624+0.025034j 0.013676-0.0101588j -0.00838518-0.0046913j 0.0256082+0.0212947j -0.00549044+0.0051836j 
0.0211157+0.00502677j -0.0366941+0.010465j -0.0251266+0.016968j 0.0054488+0.00489477j 0.010892-0.0103739j -0.0264706+0.0234503j 0.000506483-0.00727758j 
0.0126088-0.0148517j -0.00810965-0.000289944j -0.00464946-0.00328791j -0.000829508-0.00933226j 0.0113356+0.0387879j -0.00541268-0.0125686j 0.013751+0.0177129j 
-0.0129694-0.0177928j 0.0132499-0.00167612j -0.00392729+0.0359604j -0.00801068-0.0046528j 0.0228451-0.0186054j -0.00969699-0.0135633j 0.0241984+0.00585604j 
0.0186307+0.0189108j -0.0148752-0.0190087j 0.0123138+0.0236529j 0.0103092-0.00561948j -0.0538616-0.00703395j -0.0124399-0.00792009j -0.00448195+0.0116406j 
-0.00145769+0.0136386j 0.0170316-0.00947137j -0.0425311+0.0106881j 0.0130846+0.00596014j 0.00580184-0.0331422j 0.0189695-0.0185807j -0.0193529+0.0152905j 
0.0251432-0.00512058j -0.00140542+0.0167522j -0.0314218-0.0104351j 0.00860234-0.00481713j -0.00149748+0.0243841j 0.0207482+0.000686841j -0.0198515+0.0221794j 
0.00805546-0.0154796j 0.0036165-0.00627195j -0.000235044+0.0297122j 0.0032016-0.0133074j -0.00241426+0.0122161j -0.00332457-0.023211j 0.0180227+0.0255857j 
