0.0145932-0j -0.100038-0j -0.0145004-0j -0.0146507-0j -0.101102-0j -0.102149-0j 0.69306-0j -0.00182621-0j 0.560077-0j 0.404285-0j 0.000861436-0j -0.0014758-0j -0.00106529-0j 0.116-0j 0.1015-0j 0.000696145-0j 0.000502504-0j -0.00477213-0j -0.00417562-0j 0.0418665-0j -0.0119499-0j -0.0104561-0j -0.000124976-0j -0.00014283-0j -0.0040904-0j -0.00292232-0j 0.0994284-0j 0.0710351-0j -0.00172235-0j 0.000605312-0j 0.000529648-0j -0.000122425-0j -0.00431293-0j -5.15499e-05-0j -0.0102427-0j 0.000518839-0j 0.000370676-0j -0.00731777-0j -8.74649e-05-0j 0.000218469-0j 
-0.0012161-0j 0.0253619-0j -0.173283-0j -0.175079-0j -8.75666e-05-0j -8.84741e-05-0j 0.00182621-0j 0.671114-0j 0.0014758-0j 0.00106529-0j -7.17863e-05-0j 0.542342-0j 0.391483-0j -0.0144077-0j -0.0126067-0j -5.80121e-05-0j -4.18754e-05-0j 0.00120985-0j 0.00105862-0j -0.00520001-0j -5.14828e-06-0j -4.50475e-06-0j 0.142032-0j 0.162322-0j 0.00103701-0j 0.000740877-0j -0.0123494-0j -0.00882287-0j 0.000436657-0j -5.04427e-05-0j -4.41373e-05-0j 0.139133-0j -1.85811e-06-0j 0.0585851-0j -4.41281e-06-0j -4.32366e-05-0j -3.08897e-05-0j -3.15267e-06-0j 0.0994014-0j -1.82057e-05-0j 
0.00149542-0j -0.000294913-0j 0.0695367-0j -0.0682573-0j -0.0103603-0j 0.0101696-0j 0.00204316-0j 0.000253769-0j 0.116-0j -0.163891-0j 1.25649e-06-0j 0.0144077-0j -0.0203559-0j -0.00791795-0j 0.472886-0j 7.13367e-05-0j -0.000100788-0j -1.40684e-05-0j 0.000840209-0j 0.590882-0j -1.743e-05-0j 0.00104098-0j -0.0017874-0j 2.9928e-05-0j -0.000847179-0j -0.000605254-0j -0.476809-0j -0.340649-0j 0.00104986-0j 8.82905e-07-0j -5.273e-05-0j 0.00180223-0j 0.00130073-0j -0.0022334-0j -0.00104961-0j 5.31674e-05-0j 3.79846e-05-0j -0.00074988-0j 0.00128757-0j -6.58873e-05-0j 
-0.0825516-0j -0.0119634-0j -0.000857974-0j -0.000866866-0j -0.00594422-0j -0.00600582-0j -0.000861436-0j -7.17863e-05-0j -0.000696145-0j -0.000502504-0j 0.710194-0j -5.80121e-05-0j -4.18754e-05-0j -7.13367e-05-0j -6.24196e-05-0j 0.573923-0j 0.41428-0j 0.0831729-0j 0.0727763-0j -2.57468e-05-0j -0.000349477-0j -0.000305792-0j -3.67811e-06-0j -4.20355e-06-0j 0.0712911-0j 0.0509328-0j -6.11457e-05-0j -4.36846e-05-0j 0.0300187-0j -0.00342416-0j -0.00299614-0j -3.60305e-06-0j -0.000126133-0j -1.51714e-06-0j -0.000299552-0j -0.002935-0j -0.00209686-0j -0.00021401-0j -2.57414e-06-0j -0.00123585-0j 
-0.0119634-0j 0.00116731-0j 0.0118873-0j -0.0116686-0j -0.000861436-0j 0.000845586-0j 8.40538e-05-0j 2.13096e-05-0j 0.00477213-0j -0.00674232-0j 0.00146496-0j 0.00120985-0j -0.00170934-0j 1.40684e-05-0j -0.000840209-0j 0.0831729-0j -0.117511-0j -0.00811552-0j 0.484685-0j -0.00104986-0j -7.20889e-07-0j 4.30538e-05-0j -9.95374e-05-0j 1.66664e-06-0j -0.488706-0j -0.349148-0j 0.000847179-0j 0.000605254-0j 0.605626-0j -7.06324e-06-0j 0.00042184-0j 0.000100363-0j 5.37968e-05-0j -0.000124374-0j -4.3411e-05-0j -0.000425339-0j -0.000303877-0j -3.10143e-05-0j 7.17029e-05-0j 0.000527099-0j 
-0.00732604-0j -1.51119e-05-0j -7.61409e-05-0j 7.47399e-05-0j 0.102037-0j -0.10016-0j 0.000210478-0j -9.06791e-08-0j 0.0119499-0j -0.0168834-0j -6.1555e-06-0j -5.14828e-06-0j 7.27377e-06-0j 1.743e-05-0j -0.00104098-0j -0.000349477-0j 0.00049376-0j -7.20889e-07-0j 4.30538e-05-0j -0.00130073-0j -0.00817273-0j 0.488102-0j 3.17122e-07-0j -5.30985e-09-0j -4.3411e-05-0j -3.10143e-05-0j 0.00104961-0j 0.00074988-0j 5.37968e-05-0j -4.32533e-06-0j 0.000258323-0j -3.19752e-07-0j 0.609895-0j 3.96251e-07-0j -0.492151-0j -0.000260466-0j -0.000186086-0j -0.35161-0j -2.28442e-07-0j 0.000322781-0j 
-8.81186e-05-0j 3.49376e-05-0j -0.0252882-0j 0.0248229-0j -6.34507e-06-0j 6.22833e-06-0j 2.51572e-06-0j 0.00285905-0j 0.00014283-0j -0.000201797-0j -7.40392e-08-0j 0.162322-0j -0.229337-0j -2.9928e-05-0j 0.0017874-0j -4.20355e-06-0j 5.939e-06-0j 1.66664e-06-0j -9.95374e-05-0j 0.0022334-0j -5.30985e-09-0j 3.17122e-07-0j 0.457698-0j -0.00766365-0j 0.000100363-0j 7.17029e-05-0j -0.00180223-0j -0.00128757-0j -0.000124374-0j -5.20257e-08-0j 3.10714e-06-0j -0.461495-0j 3.96251e-07-0j 0.571905-0j -3.19752e-07-0j -3.13292e-06-0j -2.23827e-06-0j -2.28442e-07-0j -0.329708-0j 3.88245e-06-0j 
0.0717802-0j 0.000148066-0j 0.000746025-0j -0.000732299-0j 0.00516862-0j -0.00507351-0j 1.06616e-05-0j 8.8847e-07-0j 0.000605312-0j -0.000855217-0j 6.03113e-05-0j 5.04427e-05-0j -7.12681e-05-0j 8.82905e-07-0j -5.273e-05-0j 0.00342416-0j -0.00483784-0j 7.06324e-06-0j -0.00042184-0j -6.58873e-05-0j 4.32533e-06-0j -0.000258323-0j -3.10714e-06-0j 5.20257e-08-0j 0.000425339-0j 0.000303877-0j 5.31674e-05-0j 3.79846e-05-0j -0.000527099-0j -0.00830157-0j 0.495797-0j 3.13292e-06-0j -0.000322781-0j -3.88245e-06-0j 0.000260466-0j -0.49991-0j -0.357153-0j 0.000186086-0j 2.23827e-06-0j 0.61951-0j 
0.000743028-0j -0.00509351-0j 0.00072646-0j -0.000745954-0j 0.0101829-0j -0.0104561-0j -0.0698044-0j 9.14917e-05-0j 0.0573301-0j 0.0413831-0j -4.31573e-05-0j -7.51418e-05-0j -5.42402e-05-0j 0.0118739-0j -0.010223-0j 3.54449e-05-0j 2.55855e-05-0j -0.000242978-0j 0.000209195-0j 0.00428551-0j 0.0582346-0j -0.0501379-0j 6.2612e-06-0j -7.27231e-06-0j -0.000208267-0j 0.000441605-0j 0.0101776-0j -0.0215804-0j -8.76954e-05-0j 3.08201e-05-0j -2.6535e-05-0j -6.23341e-06-0j 0.021018-0j -2.62472e-06-0j 0.0499153-0j 2.64172e-05-0j -5.60146e-05-0j -0.10584-0j 1.32172e-05-0j 1.11235e-05-0j 
-0.000750728-0j -0.00499979-0j 0.000745954-0j -0.000753379-0j 0.0104561-0j -0.0105602-0j 0.0696371-0j -9.12724e-05-0j -0.0579242-0j -0.0382919-0j 4.30538e-05-0j 7.59205e-05-0j 5.01887e-05-0j 0.0116554-0j 0.0104931-0j -3.58123e-05-0j -2.36744e-05-0j -0.000238507-0j -0.000214722-0j -0.020674-0j 0.0571631-0j 0.0514624-0j -6.42661e-06-0j -7.1385e-06-0j 0.000210425-0j 0.000150335-0j -0.0102831-0j -0.00734659-0j 0.000423057-0j 3.0253e-05-0j 2.7236e-05-0j 6.29801e-06-0j -0.101394-0j 1.26621e-05-0j -0.0504326-0j -2.6691e-05-0j -1.90689e-05-0j -0.0360308-0j 4.49951e-06-0j -5.36619e-05-0j 
-8.75666e-05-0j 0.00182621-0j 0.0122773-0j -0.0126067-0j -0.00059693-0j 0.000612948-0j 0.012449-0j -0.0475491-0j -0.0102243-0j -0.00738031-0j 5.08614e-06-0j 0.0390519-0j 0.0281892-0j 0.0998163-0j -0.0859383-0j -4.17723e-06-0j -3.01528e-06-0j 8.71164e-05-0j -7.50041e-05-0j 0.0360256-0j 7.17052e-05-0j -6.17356e-05-0j -0.0100631-0j 0.0116882-0j 7.46712e-05-0j -0.000158332-0j 0.0855569-0j -0.181413-0j 3.1442e-05-0j -3.63218e-06-0j 3.12718e-06-0j 0.0100184-0j 2.58798e-05-0j 0.00421848-0j 6.14616e-05-0j -3.1133e-06-0j 6.60138e-06-0j -0.000130322-0j -0.0212429-0j -1.31092e-06-0j 
