0.0143971-0.0121355j 0.032972+0.00207576j 0.0428513-0.00268993j 0.0101441-0.00943769j 0.0283655-0.000748767j 0.0252533+0.00787897j 0.0285748-0.00711423j -0.0459702+0.00145523j 0.00895752+0.00200907j 0.0333706+0.00131506j -0.0203838+0.00613848j 0.0109355-0.000439019j -0.00801224-0.00136665j -0.00257137+0.00620429j 0.0829084+0.00121813j 0.0152592+0.000484964j 0.00472428-0.000220496j -0.0193978-0.000859841j -0.0356996+0.00330753j 0.00269803+0.000536437j -0.0216772-0.000346967j 0.0263093+0.00151474j -0.00254941-0.00210077j -0.0397353-0.00334173j 0.00467621+0.00161185j -0.0243115-0.000483935j -0.00406518+0.000748699j -0.0260606-0.000636215j -0.0236959+0.0039902j 0.0344643-0.0011779j 0.0425776-0.002534j 0.0382128+0.000476999j 0.0345392+0.00178189j 0.0100073-0.000779711j -0.0016061+0.000479908j -0.0153579-0.000109235j 0.0277347+0.000866047j -0.0101448+0.000153502j 0.0197964-0.000437307j 0.00762838+0.000748931j -0.0570414-0.000700512j 0.0254249+0.00291677j 0.00300539+0.000168712j -0.0015342+0.000768117j 0.0331439+0.00209856j -0.0447803+0.00182345j 0.0334143+0.00122691j 0.0352747-0.00183116j 0.0365929+0.000918248j -0.00738645-0.00195727j 0.00297517+0.00109703j 0.0446709-0.000360365j 0.016738-0.00161412j 0.00530299-0.000497819j 0.0346577-0.00333017j -0.038984+0.000206059j -0.0368053+0.00401869j -0.01315-0.00172331j -0.00460913+0.00234756j 0.0334462+0.00293309j -0.129659-0.00398657j -0.00809957-0.00317632j -0.0135063-0.00482685j 0.0435516-0.0024802j -0.0192617-0.00253708j -0.0487545-0.000164562j 0.0222842+0.00110447j -0.0791782+0.00158615j -0.00756644+0.00597532j -0.103033-0.00518564j -0.0590149+0.00103453j 0.00674675+0.00370156j 0.0397123-0.00395545j -0.070189-0.00384305j 0.151295-0.000161387j -0.115059+0.00047174j -0.281511-0.00397064j 0.100464+0.000952342j 0.0132639+0.00227983j 0.0221695+0.000850764j -0.0738029-0.00199841j 0.0183041-0.00225288j -0.587581-0.0047613j -0.163515-0.00324358j -0.197209+0.00340282j 0.105982-0.00262148j -0.0771839-0.00799339j -0.152222-0.0044485j -0.0533209+0.00572775j -0.0866247-0.00971009j -0.038661+0.0018929j -0.0186384+0.0277996j 0.111665+0.00243906j 0.0506584-0.0288652j -0.0306129+0.0262591j -0.0787221-0.013694j 0.0222692-0.0491077j -0.359213+0.00936677j 
0.0330161+0.00208259j -0.0146244+0.0122395j -0.00778319+0.00894447j 0.0457658-0.00247133j -0.00800089+0.0082963j -0.0325033+0.0039572j 0.0536055+0.00388533j 0.0168093-0.00622777j -0.00928946+0.00201277j -0.0221133+0.00346214j -0.0517957-0.000244984j 0.0145631+0.00079715j -0.0155369-0.00105089j -0.0571229-0.00154372j -0.0310506+0.00770366j 0.00742908+0.00193046j 0.0158607+0.000643277j 0.00956059+0.000180351j -0.0327186-0.00229656j 0.0150089+0.000255809j -0.000329054-0.00123215j -0.0251714+0.000728178j 0.0341925-7.66559e-05j 0.0450274-0.00340808j -0.0113406-0.000132053j 0.0102673-0.00125082j -0.0127388-0.00114985j -0.0157697-0.00282108j -0.0429131-0.00112875j 0.0112595+0.00209955j 0.0150469+0.00280002j 0.00741485+0.00152088j -0.0273316+0.00066417j 0.00425106+0.000928418j 0.0196843+0.000139786j -0.0020085-0.00117045j 0.0102756+0.00166622j 0.00189514+0.000757378j 0.0118713+0.00194597j -0.010064-0.000466875j -0.00764063-0.00213787j -0.023203+0.00098752j -0.00856346-1.22365e-05j -0.0214811-0.000621478j -0.0291452+0.00209721j -0.0311363-0.00265358j -0.0146746+0.00140554j 0.0411954+0.0029007j -0.0337435+0.00163498j 0.0294545+0.000793301j -0.0469921-0.00125699j 0.0154922+0.00134812j 0.0359208+0.00207471j -0.0100242-0.000263447j 0.0275266+0.000969078j -0.021549-0.00235125j -0.0760661-0.00347717j 0.0443918-0.00100726j -0.0654198+0.000447478j -0.0549906+0.000953617j 0.00609823-0.00312436j 0.0136945-0.00288134j 0.0866075+0.000464886j 0.0536212+0.00464487j 0.0543467+0.00022166j -0.0272741+2.3073e-05j -0.0472258-0.000210564j -0.0680637-0.005065j -0.0735172-0.00155313j 0.0486357-0.00603404j -0.106519-0.000366376j 0.0428867-0.00287304j 0.107238+0.000229513j 0.119051-0.000811066j -0.148648-0.00141185j -0.10681-0.000115597j -0.0612926-0.00553064j -0.023797-0.000795804j -0.124962-0.00130672j -0.443881-0.00558464j 0.0167123-0.00268917j -0.0867114+0.00376161j 0.0930608+0.00148021j -0.492474-0.00138357j 0.132419+0.00440908j 0.00958139-0.00330357j -0.132068+0.00170313j -0.00226883+0.00974537j 0.161057+0.00976846j -0.0196107-0.000971571j -0.0168733+0.00138193j 0.100215-0.000680039j 0.0388585-0.0405626j -0.0663902-0.00201994j -0.0858697-0.0103837j 0.0263732-0.0275049j 0.359216-0.00896386j 0.0224774-0.0489122j 
0.0219316-0.000405738j -0.00824279+0.0118491j -0.0189968+0.000821198j 0.00637268+0.00227396j 0.00724095+0.000489069j -0.0107627+0.00606689j 0.0211279+0.00784828j 0.0485074-0.000269637j 0.0358152-0.00743989j -0.000422666+0.00308252j -0.0225983-0.00261433j 0.0277988+0.00186927j -0.0511605-0.00292437j -0.020302-0.00046133j -0.0542937-0.00124569j 0.0362715-0.00365549j -0.0142446+0.000422921j 0.0153899+0.00182987j 0.00462949-0.00439503j 0.0200833+0.00407158j -0.00506677+0.00665455j -0.0122866+0.000406684j 0.0611528-0.0053107j -0.0190263+0.00473874j -0.0410507-0.000136524j -0.00902071+4.01314e-05j -0.0178403-0.00185607j -0.0502616+5.23639e-05j 0.0611051-0.00151507j -0.0382661+0.00526263j -0.0428926+0.000316176j -0.0458199+0.001526j -0.0135129+0.000790796j -0.0089783-0.00265239j -0.00715206-0.00108529j -0.0466749-0.00300692j 0.072324+0.00209692j 0.0340681+0.00228532j 0.000173005-0.00190836j -0.053015-0.00181951j 0.0432303+0.00445357j -0.0328069-0.000510805j -0.00807721+0.000758581j -0.0130609+0.000704196j -0.0113586-0.00208406j -0.088598+0.000268331j 0.0130726+0.00137564j 0.0683656+0.00150923j -0.112232+0.00217033j 0.0359599-0.00172667j -0.0107447-0.000625489j -0.0485861+0.00144985j -0.0734529+0.00363605j 0.014284-0.0022442j -0.0828947+0.00334442j -0.055191-0.00579615j 0.028832-0.00247726j 0.0311933+0.000319824j 0.0455289+0.00281678j 0.176781-0.0058872j 0.139938+0.00351102j 0.125132+0.00113295j -0.000800704-0.000672534j 0.052781+0.000508883j -0.236628-0.00687563j -0.100183-0.00739531j 0.135321+0.00457105j 0.138313+0.00353859j -0.0595527+0.0012757j 0.242733+0.004091j -0.184684-0.00527434j 0.12297+0.00451519j 0.253746+0.00246344j 0.100147-0.00255116j 0.344272+0.00305935j -0.17129+0.0101585j 0.0815757+0.0127982j 0.0847246+0.00800119j -0.0977274+0.00135033j 0.0498437-0.0118687j 0.0108887+0.00705018j -0.0781466-0.0114157j 0.0274028-0.00645978j 0.0425753+0.005643j -0.000875131-0.0109384j -0.000751638-0.00925931j -0.0730858+0.0143128j 0.0073604+0.019372j -0.0787791-0.00529466j 0.123796-0.0185057j 0.0508365-0.0286806j 0.0739999+0.0295042j -0.00865174+0.0105128j 0.0230926+0.0108074j -0.00298348+0.052924j -0.320727+0.0196595j 0.013329-0.00481964j 0.0277438-0.00415556j 
0.0107901-0.0128432j 0.0222786+0.000926065j 0.00298193+0.00360312j 0.0227303+0.00214565j -0.0135209-0.00555152j 0.0315778+0.00405377j 0.0422921-0.00326781j 0.0291998-0.00753523j -0.0154498-0.00816859j 0.0424245-0.0018421j -0.00750913-0.000131354j 0.0562258-0.000619564j -0.042+0.00236855j 0.0198898+0.00361411j -0.00584652+0.00295516j 0.00360053-0.00204702j -0.0203805+0.00167364j 0.00439607-0.00253787j -0.0103332-0.00117013j 0.0335964-0.000273571j 0.0133164-0.000820172j 0.0100806+0.00247189j -0.00181542-0.0027652j -0.0106366+0.00174362j 0.0199721+0.00485111j -0.0416501-0.000805658j -0.00602172+0.00128322j -0.035699+0.000611421j 0.0503625+9.59631e-05j 0.0404963+0.00151126j -0.00907946+0.00221092j 0.011204+0.00248786j 0.0190601+0.00268497j -0.0626714-0.000247848j -0.0167474+0.000494726j -0.0420342+0.000785426j 0.0452215-0.000553018j 0.0167789-0.000812251j -0.0305785+2.32086e-05j 0.00695279+0.00229403j 0.000460406-0.00225438j -0.00573948+0.00315236j 0.00234366+0.000654089j -0.0209346+0.000415361j -0.0289163-0.00132511j 0.00861335+0.00313728j -0.0126581-0.00162959j 0.0563595+0.000241492j 0.0939174+0.0030183j 0.0217758+0.000251093j 0.0268716+0.00430904j 0.0781139+0.00504865j 0.00829061+0.00199878j -0.00201224+0.00472713j 0.021368+0.00086155j -0.0368077-0.00099067j -0.0988636-0.000617379j -0.0981901-0.000415992j 0.0372697-0.001891j -0.0279747-0.0075609j -0.0304888-0.00385807j 0.181138+0.00620873j 0.0144902+0.00499376j 0.0498812-0.00137328j 0.101597-0.00461522j -0.128834+0.00221837j 0.00970158+0.00133519j 0.19624+0.00515485j -0.466819-0.00223923j -0.0757818+0.000342784j 0.141945+0.00328279j -0.385626+0.000600158j -0.0724399+0.00215962j 0.0743663+0.0048242j 0.107938+0.00431172j -0.0475492-0.00932705j 0.0035199+0.00171748j -0.0988953+0.0038304j -0.0981504-0.00593582j 0.0643636-0.00504678j -0.00789412+0.00388674j 0.109174+0.00645672j 0.0443369-0.00669594j -0.034359+0.00856889j 0.0380037+0.0182418j 0.108608-0.0139441j -0.00187677-0.0239983j -0.000372773+0.0130394j 0.0540084-0.0122434j 0.0719792+0.00336331j -0.125233-0.00679178j 0.0166547-0.037443j -0.00173984+0.0202887j 0.00061978-0.0318507j 0.315942-0.0103567j -0.00933173+0.0469066j 0.0323021-0.00255691j -0.0135318+0.00544228j 
0.00836226+0.000350071j -0.00599327+0.0058103j 0.0100184-0.00926008j -0.00610911-0.00909389j 0.0253181+0.00947363j -0.0402132+0.0095001j 0.00165636+0.00586409j -0.0332402+0.00577824j -0.000334331+0.0096804j -0.0190034+0.00136335j -0.047759+0.0024307j -0.0319947+0.0025599j 0.0370986-0.000659694j -0.0322469-0.00450621j 0.0303531+0.00276537j -0.000682232+0.00674498j 0.00833126+0.00569573j 0.0207948+0.00394394j -0.0629956+0.0043357j -0.00922834+0.00660387j 0.0178345-0.00122259j 0.0150817+0.00253108j -0.0355172+0.000411545j 0.0048704-0.00451088j -0.0716649-0.00476731j 0.0424555+0.00103433j -0.013804-0.00162464j 0.0421005+0.000626668j -0.0655189-0.00119174j 0.0161173+0.0014289j 0.00715283-0.00469151j -0.00187204+9.64568e-05j -0.0351877-0.00259604j 0.0470767-0.00381709j -0.0119112+0.0050217j -0.0218718+0.00213012j 0.021131+0.00138823j 0.000291081+2.25755e-06j -0.0534215+0.00171703j -0.0256212+0.000814936j 0.0246509-0.00440218j -0.0180582+0.00692103j 0.00444862-0.00189756j 0.0288595-0.00348589j 0.0509495+0.00535206j -0.00872825-0.00301031j 0.0959525+0.00438123j -0.0513+0.0024481j 0.0215576-0.00451535j -0.0570076+3.76789e-05j -0.0276454+0.00149568j -0.161156-0.00806777j 0.148106+0.00123568j -0.149411-0.00251037j -0.0929978-0.00667668j 0.00738091-0.00226843j -0.0012392+0.00372665j 0.191667+0.00104746j 0.00606595+0.00386364j -0.0720724-0.00799069j -0.336857-0.00166835j -0.225839-0.0079033j -0.0306053+0.000723847j -0.0987136-0.00492136j -0.183572+0.00675563j -0.181024-0.00480844j -0.150053-0.0142286j 0.358254+0.000491401j -0.0770031-0.000338726j -0.0166688-0.00325831j -0.0189882-0.0132056j 0.11048+0.00337543j -0.108135+0.00216276j -0.00565673-0.00731608j -0.057947+0.00870692j -0.109357+0.00518296j -0.0328237-0.0104981j -0.0337584-0.0124843j -0.0242617-0.00789496j 0.00951082-0.000924082j 0.0415929-0.0290924j 0.0279884+0.0190246j 0.00538863+0.0138113j 0.0362762-0.00879766j 0.132495-0.0146333j -0.090367-0.0147026j 0.0248905-0.0124629j -0.0792995-0.000427591j 0.0486633-0.018578j 0.0186382-0.010437j -0.00664034-0.0430802j -0.00813853+0.00080951j 0.00808605-0.0330826j 0.282606-0.0242887j -0.020452+0.0137204j 0.0175267-0.00634253j 0.0177377-0.00669267j 0.0213625+0.00689613j 
-0.00535737-0.00417743j 0.0130944-0.00930414j 0.0127281-0.0103364j -0.0209109+0.00374383j 0.0383293-0.0107025j 0.0159707+0.0133802j 0.0110135-0.00128556j -0.0166486+0.00371735j 0.0197794+0.00057161j 0.0100436-0.000292388j 0.03012-8.38863e-05j 0.0254891-0.00103665j 0.0181856-0.00275111j 0.00285668+0.00247125j 0.0439428-0.00316861j 0.025819-0.00756923j 0.00274265+0.00132126j 0.0364691-0.00863754j 0.032669+0.00763896j 0.0321491-0.000401374j -0.00157637+0.00408012j 0.0203664+0.00496524j -0.0229876-0.0011399j -0.075622-1.24082e-06j -0.0261731+0.00190486j 0.0190135-0.00376604j -0.00104342-0.000522718j -9.63456e-05+0.00328555j 0.0521333+0.00258628j 0.0138659-0.00207305j -0.0237901-0.000920385j -0.0570211+0.000425003j 0.0178715+0.00928431j -0.00243343+0.00129118j 0.0207802-0.00513803j 0.0220611-0.00132356j 0.0107326+0.000230847j 0.0166265-0.00402519j 0.00451553+0.000247307j 0.0114375-0.00228581j -0.00789232+0.00486047j 0.127869+0.00440706j -0.00923821-0.00325674j -0.0176663-0.000775324j 0.0918938-0.00286832j -0.0196981-0.00232779j 0.140689-0.00387464j 0.0303031+0.00169302j 0.00587799-0.00343463j 0.00674168-0.00149057j -0.00409255+0.00247557j 0.0175595+0.00861218j 0.0877624+0.00702873j 0.248581+0.00656709j -0.149028-0.00273509j -0.137515-0.00103605j 0.162059+0.00917938j 0.0239823-0.0067863j -0.0540161-0.00607237j -0.289259-0.00484395j -0.103215+0.00614893j 0.342262+0.0110257j 0.159206+1.90239e-05j -0.32519-0.005614j -0.045053-0.00568794j 0.0208632-0.0181992j 0.0143266+0.00926037j 0.0300136+0.00148568j 0.109196+0.00835359j 0.158655-0.0133003j 0.0515821-0.00492067j 0.0150128+0.00528171j -0.00201447-0.0124349j 0.00386813-0.00935932j 0.010946+0.0101877j -0.0234172+0.00564297j 0.00847522-0.00442806j 0.0386327-0.0225862j 0.0936599-0.0281814j 0.0152802-0.0114056j 0.116029-0.00941609j -0.0192057-0.0360302j -0.00740308-0.0124342j -0.122242+0.0106404j -0.034859+0.00999916j 0.0459475-0.0179302j 0.023667+0.0480726j -0.0513971+0.000416962j 0.0127292-0.00969924j 0.000455097-0.0277713j 0.0238355-0.0185785j 0.0138583+0.0280188j -0.271244+0.0200049j 0.0242977-0.0112645j -0.0141139-0.00742703j -0.00909348+0.0109118j 0.0151284+0.0148548j -0.0365313+0.00577672j 
0.0168437-0.0153673j 0.0112403+0.00389623j 0.00850637+0.00260854j 0.0260537-0.00496857j 0.00317947+0.00530383j -0.019166+0.00821685j 0.0330083+0.00600531j 0.0034642-0.00132208j -0.0235334-0.000311062j 0.0354372-0.00731655j -0.0379118+0.00353833j 0.0414232+0.00977484j -0.0126452+0.000882022j -0.00258952-0.000343742j -0.0152128+0.00232533j 0.0176415+0.00524575j -0.0301477+0.00306629j 0.0182985+0.00383224j -0.0506134-0.00023924j 0.0187113+0.0105066j 0.0145293-0.00238871j 6.45612e-05+0.00340553j 0.0020772-0.00120057j 0.0249606+0.00020105j 0.0245131+0.00182267j -0.02621+0.00453121j -0.0166041+0.00149666j -0.0327716-0.000434811j 0.02216+0.00317194j 0.0141605+0.00443362j 0.0260932-0.000993641j -0.0253328-0.00152139j -0.0947367+0.0023367j -0.0622939+0.00156j -0.00409639+0.00360903j -0.034706+0.000534819j 0.0590049+0.00184016j 0.0763474+0.000334214j -0.0117146-0.00282879j -0.0357992+0.000417589j 0.0180118-0.000230745j -0.0362856+0.00431518j -0.0152149-0.000716626j 0.0104274+0.00022422j 0.109819+0.0103088j 0.0240918-0.00119969j 0.0184533+0.0010244j 0.0545443-0.00277147j 0.0274871+0.00242384j 0.0412396+0.000973542j 0.00886095-0.00566876j -0.151333-0.00295437j -0.220666+0.00485844j -0.0555027+0.00144034j 0.0551986-0.00185539j -0.123388+0.00182879j -0.0367888-0.00601625j 0.165004+0.0043598j 0.310746+0.00434292j -0.200593+0.000923759j -0.0527404+0.00358738j 0.0401621+0.00544387j -0.304328-0.00170876j -0.0777863+0.00553234j 0.134789+0.00125106j -0.184174+0.00293154j 0.158246+0.00560132j -0.143583+0.000418833j 0.101096-0.0105418j -0.0550151+0.00124042j -0.0971056-0.00534856j 0.0287897+0.00745133j -0.0925756-0.00412576j 0.0177095-0.0146066j -0.0337608-0.00258969j 0.0247179+0.00952937j -0.0214238+0.000926873j -0.0116604+0.00978763j -0.0349013-0.00280081j 0.016551-0.0143794j 0.0356973-0.0422303j -0.143669+0.0050834j 0.0629509+0.010308j -0.0158612+0.0118033j 0.0409914-0.00758785j 0.0665873+0.0380216j -0.041058+0.0123937j 0.0170646-0.0363568j -0.000797917+0.0184142j -0.00930167-0.00229569j 0.00961019+0.0452064j -0.258673+0.0177901j 0.000119216-0.0140206j -0.000187713+7.33032e-05j -0.00345548+0.00316128j -0.0268529+0.0157879j 0.0368763-0.00360601j 0.00839014+0.0151638j 
-0.00669871-0.00219226j 0.0107695-0.00994561j 0.0168493+0.00932272j 0.0160812-0.00327609j -0.0158017-0.00636758j 0.0174183-0.0091986j 0.00469546-0.00182749j -0.00593623+0.00483404j -0.0224873+0.000616619j 0.00803461-0.0021576j 0.0355125+0.00489685j 0.0246067-0.000588057j -0.00339712-0.00282275j 0.00952668+0.0081445j 0.0166817+0.00140251j 0.0129919-0.00766262j -0.00863511-0.00999005j -0.0325041-0.00376529j 0.0158543-0.00279804j -0.0275477-0.00246633j -0.0727101-0.00229597j 0.00900309-0.00460065j 0.0452827+0.00298811j -0.00853054-0.00322076j 0.0731964+0.000944393j -0.0200406-0.00100868j 0.0211237+0.00343405j -0.0271372-0.00348351j 0.0307398+0.00104381j -0.00276941-0.00115286j 0.0465504+0.00505188j -0.011145-0.000584922j -0.00372315+0.00625061j 0.0188547+0.00905525j 0.015386-0.00212881j 0.0390573-0.00163487j -0.0990742-0.00463614j 0.0236917-0.00152447j 0.114588+0.00029003j 0.0656127+0.00150668j -0.120915-0.00184277j -0.0373929-0.00382639j 0.013817+0.00347963j -0.0206339+0.00532321j 0.0537154+0.000120522j -0.0423233+0.00144274j 0.0229543+0.00211381j 0.0483446+0.00695593j 0.0312737+0.00101466j 0.0477855+0.00458589j -0.0844158-0.00795777j 0.0815353+0.00661991j -0.170062-0.00807279j 0.145131+0.00620475j 0.136909+0.00214907j -0.13671-0.00238928j 0.0535672-0.00406546j -0.064845+0.00925634j -0.0183551-0.000127896j -0.233601-0.00416266j 0.176901+0.0027395j -0.403578-0.00925535j 0.0878451-0.00557398j 0.0132282+0.00207662j -0.12456-0.00194629j -0.10708-0.000883253j -0.101027+0.00964995j 0.105385-0.00237208j -0.0238508-0.000234238j 0.0344318-0.00344311j -0.0851849+0.000850176j -0.0825937+0.00285967j 0.0116595-0.0143153j 0.0194539+0.00850489j 0.128132-0.00845091j 0.106315-0.0109476j 0.0552554-0.00412117j -0.030633+0.0151366j -0.0198549-0.0105764j -0.0600701-0.00380549j 0.0280277-0.0115699j 0.0749635+0.00718648j -0.0610398+0.0194657j -0.00272147-0.00291j 0.0562534-0.0444444j 0.0460758-0.0205677j 0.00479686+0.0353796j -0.00605035-0.0398121j -0.0009536+0.0317037j 0.0135736+0.0317309j 0.218173-0.00905481j -0.00962491+0.0269889j 0.018197+0.00674905j -0.0130901+0.0263139j 0.0511866-0.00139749j 0.0268796+0.00350958j 0.0142928+0.0103717j -0.0136466+0.00715603j 
-0.00433499-0.00466544j -0.00141438-0.000315065j -0.0168462+0.0106931j 0.00826083+0.001166j -0.0146855-0.00152495j 0.00273687+0.00342745j 0.020062-0.00631131j 0.0349656-0.0119393j -0.0332692+0.000544112j -0.0113694-0.00576505j 0.00881388-0.00555141j 0.0456987-0.00322399j -0.00918765+0.00728396j 0.0282668-0.000765015j -0.0737264-0.00245351j 0.0018637-0.00422111j -0.00544105+0.000609481j 0.0268206-0.00563063j 0.00199228+0.00241018j 0.0639632-0.00689666j 0.0418349+6.27793e-05j -0.0049635+0.000485821j -0.0322662-0.00222682j 0.0526214+0.00695176j 0.0221345+0.00499001j 0.0408584-0.00118694j 0.0009854-0.00148189j 0.0110574+0.000617143j 0.03579+0.00128206j 0.00921104-0.00232363j 0.0146753-0.00276833j 0.00252628+0.00605805j 0.00114094-0.00034412j -0.000653183+0.00105428j 0.0091181-0.00141287j 0.0412504+0.000757351j 0.0488269+2.4764e-05j 0.0452354-0.0011368j 0.00912316+0.00410816j 0.0276973-0.00146995j 0.015692+0.00018174j 0.11302-0.00206259j -0.0133779-0.00204984j 0.0651017+0.000433702j 0.015699-0.00384238j 0.00962617+0.00614623j 0.0767722-0.00327487j 0.0160178-0.00564373j -0.0615+0.00281594j -0.059319-0.00481578j 0.0918714+0.00364838j -0.0112314+0.00402901j 0.0140407-0.00066598j 0.116447-0.00320171j 0.337863+0.00699739j -0.0546318+0.0050404j 0.118851+0.00384471j 0.00107839-0.0029319j -0.0891214-0.00511356j -0.0302595+0.00291524j -0.146329+0.00386071j 0.0647486-0.00280161j 0.0239295-0.00721328j -0.0919717-0.00179172j 0.0403765-0.00254568j -0.0198415-0.0150572j -0.0948401+0.00508132j 0.0384108+0.0090191j -0.0949071+0.00377006j 0.0310106-0.0128629j 0.0137643+0.0244368j -0.0834055-0.00244184j -0.0413906+0.00457825j 0.0040802+0.0125635j 0.0292075+0.00695332j 0.00637349+0.00474414j 0.0511956-3.34898e-05j 0.00585273-0.00231325j -0.0151453-0.000596657j 0.0670783+0.00831389j 0.0351482-0.000924811j 0.0238878-0.00975596j 0.0720174+0.00475724j 0.0151131-0.0149455j 0.0172285+0.0206385j 0.0131878-0.00455658j 0.0131972+0.0172995j -0.0437521-0.0148698j 0.048132-0.0182659j -0.112235-0.0050568j -0.00279026+0.0264925j -0.0136332+0.0475876j -0.0484744-0.0189345j -0.00228204-0.0217335j 0.0657925+0.0150646j -0.0166287-0.0465588j -0.0426248-0.0513277j 0.0502737-0.0123745j 
-0.00632018+0.000790336j 0.00945439+9.2719e-05j 0.000461105+0.00293449j -0.0152594+0.00510127j 0.00390427+0.000176409j 0.00657303+0.00544507j -0.0188193+0.00785944j 0.0119095-0.00344584j -0.00520811-0.00256528j 0.0217446-0.0046059j 0.0190154+0.00204688j 0.00268338+0.00262945j -0.0383576+0.00226338j 0.031261+0.00391046j -0.0230653+0.0070671j 0.00527856-0.000506156j -0.0236567+0.00322823j 0.0123974-0.000719338j -0.0135356-0.000148606j -0.00252944+0.00180351j 0.014168+0.000321881j -0.0199961+0.00185379j -0.0162545-0.00372395j 0.0270333-0.00265097j 0.0226756+0.00237385j 0.0019468+0.00196285j -0.0265552-0.000707553j -0.0410194-0.000851642j 0.0593148+0.000176315j -0.0302828-0.00210173j -0.0200524+0.0018716j -0.0563561+0.003531j -0.0386644-0.000354252j -0.0332054-0.000147765j 0.0206913-8.89925e-05j -0.0767703-0.000463626j 0.0341929+0.000769847j 0.0568759+0.00314025j -0.0288738+0.00083233j -0.0304089+0.00199286j 0.0734172-0.000969589j -0.00201992+0.00296001j 0.056383+0.000613108j 0.0862918-0.000138816j 0.0666687+0.000433808j 0.0275174+0.000981329j 0.0243976-0.00401798j -0.00543597+0.00448101j -0.0318191+0.0043638j -0.0452716+0.00420747j -0.194138-0.00368527j 0.0290506+0.00458028j 0.00796044+0.0103057j -0.168285-0.00230896j -0.0405345+0.00221845j -0.132875+0.00232894j 0.00735906-0.00722799j -0.0304878-0.0137629j 0.00571756-0.000780511j -0.0297531+0.00673442j -0.0245699+0.00266391j -0.0410698-0.0010975j -0.0764779+0.00656807j -0.0139644+0.00375727j 0.0142387+0.000390283j -0.137529-0.0075415j 0.0118038+0.0113934j 0.108846+0.000165584j -0.0595551+0.000143165j -0.009962-0.000597696j -0.0546012-0.00907059j -0.00387879+0.00708486j 0.0407634-0.0125079j 0.0550907-0.012322j 0.106971+0.015436j -0.0555431+0.00249401j -0.0265051-0.0136733j 0.0001363+0.00382841j -0.0215343-0.00141523j 0.078775-0.0145793j -0.0151375+0.00417654j -0.00832604+0.00124909j -0.0472482+0.0178138j 0.0690767+0.0177187j 0.0271293-0.0156029j 0.00784316+0.00523014j -0.0198034-0.00718569j 0.000750869-0.014977j 0.0608013+0.00820838j 0.0582822-0.00227281j 0.00798119+0.0133257j -0.0303721-0.0222941j 0.0135019-0.0620191j 0.0395602+0.0100923j 0.0162448-0.0520983j -0.057026-0.0293362j -0.0573254+0.0186584j -0.0546475-0.0612389j 
-0.00967949+0.00437608j -0.00946871+0.00429746j -0.00460333-0.00460617j -0.011071-0.00324857j -0.00662142-0.00248113j -0.0105361-0.00295787j -0.0261415-0.00339279j -0.00444637+0.00748362j 0.0138186-0.00248293j -0.00846803+0.00789652j -0.0109739+0.0101866j -0.0184638-0.00811676j 0.0142944-0.00480713j 0.00193414+0.0118833j 0.0337145+0.00348879j 0.0136296-0.00566985j -0.000142658-0.00411136j -0.0167567-0.00156318j -0.00491047-0.0034069j -0.0270836+0.00309385j -0.0640809+0.00314901j 0.0192545-0.00533026j 0.024695-0.00323739j -0.0287127-0.00374083j -0.0504595-0.00511807j -0.0225076-0.00147439j 0.00971899+0.00580565j 0.0344721-0.00427618j -0.0116937-0.00106892j 0.00346297+0.00233927j -0.029454+0.000126426j 0.0209641-0.0037088j 0.00473338+0.00753307j -0.0259915+0.000350067j 0.020517+0.000351292j 0.00249365+0.000118649j -0.00741399+0.00129065j -0.0423933+0.00519504j 0.016522-0.0067276j 0.127335+0.00190861j -0.126133+0.00119312j -0.0468846-0.000850142j 0.050775+0.00474872j 0.0343113+0.00361388j -0.0625202-0.00142891j -0.0379246+0.000315511j 0.0944209+0.00386654j 0.0896197+0.00295621j 0.0274127+0.00062359j 0.0113958-0.00263443j -0.0354602+0.000306393j 0.120415+0.00408803j -0.084837-0.00142243j -0.141342+0.00139373j -0.309225-0.00790805j -0.0706332-0.0124104j -0.0750763-0.000686392j 0.00847041+0.00247478j 0.0885715+0.000266383j -0.21195+0.00714788j 0.114658-0.00502535j 0.109308-0.00755344j -0.0294877-0.00989882j 0.000426516-0.00891606j 0.0296992+0.00190213j -0.0312706+0.00535434j 0.116023+0.0153408j -0.000283942+0.00588582j 0.0259313+0.00534018j -0.110531+0.0117815j 0.0991578-0.00130175j -0.0691087-0.00175276j -0.0680918-0.0188196j -0.041926-0.0185694j -0.0687496+0.00901842j 0.0880399-0.0153329j 0.00727459-0.00724566j -0.0779514+0.01534j 0.0733013-0.0137384j 0.00359876-0.0415108j 0.0211881-0.00857488j 0.0167639-0.00863035j 0.0210789+0.0098071j -0.00866599+0.0311956j 0.0024394-0.027114j 0.0781111+0.00825928j -0.0408075+0.0166406j 0.0264386-0.00529372j -0.00635299+0.0428148j 0.127586-0.0217059j -0.00589376-0.0255729j -0.0256106+0.0337433j -0.0209396-0.00727419j -0.0112262-0.0186354j 0.00559048+0.037857j 0.0565528-0.0237676j -0.0378536-0.0424054j 0.0328833-0.0158209j 
