0.104273+0.0869115j -0.0667891-0.051206j 0.0276+0.105612j -0.00647162-0.0934366j -0.0243645-0.0350453j -0.0156328-0.0312964j 0.0023029+0.0607061j -0.0262693+0.0646772j -0.0204336-0.0104279j -0.00736362-0.0169429j -0.0101897+0.00615365j -0.00685501-0.0174172j 0.0179388+0.0209006j 0.0196271+0.0453695j 0.013432+0.00655906j 0.0145116+0.00520054j -0.0175817-0.00355587j -0.00555114-0.0323238j -0.00345477-0.0287288j -0.0155017-0.00614881j 0.0215795-0.0155088j -0.034437-0.00389235j -0.0163298+0.00924537j 0.00243935+0.0155485j -5.7243e-05-0.00435264j 0.0100368+0.00775905j -0.000810308+0.0220528j 0.0224861+0.00271443j 0.0172217-0.00855546j 0.00675805-0.0152018j -0.0140173-0.0275044j 0.000647951+0.0155051j 0.0191811+0.00280929j 0.000199802+0.022288j -0.0134178+0.0461423j -0.0142163+0.00381336j 0.0107291+0.00653824j -0.00643775+0.00676626j 0.0208853-0.0389571j -0.0255422+0.0246614j -0.0126642-0.0108743j -0.00381833+0.0423926j -0.00108264+0.00463225j 0.0204609+0.0178953j 0.0130488+0.00581166j 0.000835815-0.000783552j -0.00297779+0.0265697j 0.0289302+0.000707466j 0.0187568+0.0335166j -0.0166312-0.00226502j 0.00184209-0.0128558j 0.0030705+0.0104632j -0.0168405-0.00132013j 0.00867741-0.0148349j -0.0397929-0.0078008j 0.0455539-0.0271503j 0.0114459-0.0104155j 0.0116623+0.0128414j 0.0278854+0.00972565j 0.0291494+0.00607687j 0.0306947+0.0354272j 0.00864348+0.0664784j -0.0295808-0.0166307j 0.0136122-0.0392596j 0.0589057-0.00236097j -0.013708+0.114797j -0.0463412+0.0405921j 0.0952749+0.0547535j -0.405057-0.17057j -0.0614655+0.317604j 0.0131064-0.0784113j -0.168833+0.128696j 
0.0682554+0.0499441j 0.106394+0.0885697j -0.0149444-0.0791228j -0.0257004-0.102398j -0.0254098+0.0415671j 0.0246093+0.0439542j -0.00723074+0.0765737j 0.0227289-0.0336426j -0.0173518+0.0356233j -0.0169573-0.0109236j 0.0406906-0.00455787j -0.00826687+0.0316672j 0.00649783+0.0293037j 0.00351954-0.00631244j 0.0187244+0.0357869j 0.0191057-0.0386098j -0.0119223+0.0218369j 0.00591722+0.0208786j -0.00234185+0.0322012j 0.00383848+0.00957732j -0.0135514-0.00694489j -0.00543049+0.0327267j -0.0175209-0.0130003j 0.00462572+0.0152882j -0.000252105+0.00364737j -0.0189178-0.0195771j -0.0079999+0.0344591j -0.0115472-0.025062j 0.00479865-0.0200277j 0.00936943-0.00290378j -0.00629996-0.0166454j -0.00289208-0.00928054j 0.00118218-0.00466213j 0.00281154+0.0258644j 0.0143075-0.0123569j 0.00404886-0.00591586j -0.00219776-0.00827516j -0.0159094-0.0283631j 0.0078684-0.00187316j 0.0194826+0.0220835j 0.00652894+0.0212747j -0.0106928+0.0157387j 0.00110339+0.0325371j -0.00551123-0.000435543j 0.00510351+0.0191832j 0.0311787-0.0353639j 0.00272412-0.029129j 0.0018453+0.0143914j 0.00900864+0.0163306j 0.0138618-0.0112696j -0.0155811+0.00131709j -0.025967-0.0314253j -0.0316588-0.0291155j 0.0256277-0.0216486j 0.0290453+0.0131593j 0.0109031-0.00559575j -0.0314106+0.00661053j 0.0598246+0.0103628j -0.0182309-0.000869314j 0.0137671+0.00941035j -0.0252188-0.0415323j 0.0152753+0.041056j 0.021535+0.0455297j -0.0418736+0.0252819j 0.049449+0.0515934j -0.0129856-0.0171771j -0.0925838+0.0741613j -0.134217+0.00787576j 0.0359628-0.330806j -0.38466-0.187337j -0.164778+0.126495j -0.0157509+0.0731358j 
-0.138793+0.0222726j -0.0674674+0.0178344j 0.0423107+0.00705483j 0.0147099-0.0157974j 0.0274428+0.0643506j -0.00470077+0.00769555j -0.0367269-0.00328928j 0.0384127+0.013263j -0.0190762+0.0225751j 0.0171379+0.00201772j -0.0213795-0.0400882j 0.008233-0.0376817j -0.0157299-0.0238628j -0.0116451-0.0514431j -0.037499+0.00513892j 0.032658-0.0305876j -0.021258+0.0393874j -0.0132294-0.00847518j 0.00112015-0.00579652j -0.00359823-1.11374e-05j 0.0372447-0.0163565j 0.0144293+0.0125634j 0.0129939+0.0239348j -0.0332161-0.0186223j 0.00955588+0.0133436j 0.0240471-0.0128988j -0.0183174+0.0122965j 0.00634359-0.0191572j -0.014388-0.0338182j -0.0154294+0.0103177j 0.036127-0.000556483j 0.00375109-0.00215689j -0.0183481-0.0222451j 0.0101476+0.0144595j -0.0132211+0.040365j -0.00594254-0.00056202j -0.0171613-0.000393443j 0.0110047+0.0240952j 0.00736194+0.0054641j 0.0135584+0.00213713j 0.0268618+0.0478935j 0.0235329-0.0131022j 0.0490853-0.0483442j -0.0184967-0.00154232j 0.0308621-0.00603701j 0.031086+0.000277343j -0.00766777-0.0318856j -0.0663306-0.0351337j -0.00148324-0.0039893j -0.0408046+0.0137097j -0.0399779-0.0106809j 0.0539736-0.00536311j 0.0254417+0.0076368j -0.0314344+0.022447j -0.0364268-0.0187586j -0.036946-0.00259546j 0.020818-0.0222049j 0.0536212-0.0321168j -0.0649345-0.0262915j 0.0706833-0.0338682j -0.0359941+0.000160219j 0.0273826+0.0740097j -0.00331752-0.0252648j -0.0260477-0.0753548j -0.288-0.107462j -0.159149-0.09161j 0.0270359+0.163241j 0.196871-0.2885j 0.0378459+0.0980275j -0.212662+0.0206093j -0.033377-0.121701j -0.0872793+0.169433j 
-0.0723187+0.0283733j 0.137392-0.0239675j -0.0103119-0.00565468j 0.0279211+0.00429957j -0.00846687-0.0444846j 0.0573838+0.0681415j -0.0214926-0.0188329j -0.0103189+0.0824669j -0.00526984-0.0187854j 0.0177072+0.014472j 0.0402627+0.011583j 0.0542751-0.0273686j 0.00463521+0.0167906j -0.00613593-0.0521143j -0.00306916+0.00189721j 0.00414838-0.021632j -0.0483747+0.0417137j 0.0206848+0.0111436j 0.00583705-7.18508e-05j 0.0130061+0.0225483j -0.00574183-0.00348248j -0.0032886+0.00297779j -0.0271169+0.0130298j -0.0120167-0.00895025j 0.0115389+0.00522113j 0.00100296-0.0203708j -0.0132121+0.0147512j 0.00473101-0.0319842j 0.0374623-0.017165j 0.0339817+0.0371078j 0.00226499+0.00510966j 0.00728139-0.0379111j -0.010523-0.025509j -0.0220626-0.0245063j -0.028601-0.00614081j -0.0159337+0.0205022j -0.014236+0.0069573j -0.00621342+0.025646j 0.04053-0.0244527j -0.0490918+0.0378725j 0.00909042+0.0211762j -0.00881+0.0021276j -0.0151896-0.0115946j -0.0376851-0.00597958j -0.0420783+0.00372347j -0.0233978-0.0256657j -0.00488256-0.0331663j -0.00558915-0.0109842j -0.0113326+0.00314957j 0.00272493-0.0267069j 0.00278401-0.0330602j -0.00449065-0.0334219j 0.00792438-0.0228447j -0.00587032-0.00707339j 0.0244092+0.00313854j -0.0291248-0.0257481j 0.0386633-0.0124554j -0.0136568+0.032966j -0.0460586-0.0160119j 0.00326676+0.001322j -0.0943936+0.00633179j 0.0434779-0.0273732j -0.0450108-0.0114444j -0.158952-0.112639j 0.0927324+0.253908j -0.166034+0.0339j 0.201406-0.147354j -0.236337-0.277004j -0.107477-0.0577655j 0.0396469+0.0300349j 0.0646196-0.166175j -0.0157619-0.10328j 
0.0579442-0.0172873j 0.0312083-0.03736j 0.0412951+0.00109413j 0.0418636+0.0165925j -0.0762762-0.0828783j 0.0698825+0.0601521j 0.00654488-0.0415438j 0.0184328+0.0811526j -0.00419964+0.00457227j -0.0267103+0.00163355j 0.044103-0.00696893j 0.00392004-0.0352431j 0.0337839-0.00147233j -0.00483325-0.031878j 0.0289678+0.0508389j -0.0189289-0.0014589j 0.0256531+0.0389875j 0.0048033-0.0202675j -0.0401927-0.0114369j 0.0211519+0.0196718j -0.0176527+0.00777885j 0.00526131-0.00674317j -0.0428221+0.0182274j -0.0181338+0.0137235j 0.0212574-0.0276273j -0.0180223-0.0170079j 0.00721284+0.0134816j -0.0150406-0.0360491j -0.0165075+0.0262176j 0.0107569+0.0397877j -0.0190329-0.0210654j -0.0236712-0.0251788j -0.019068+0.00131235j -0.0280297-0.0608268j -0.0128506+0.00346426j 0.0229316+0.0230454j -0.0358452+0.0338218j -0.017939+0.0108905j 0.0015716-0.0254971j 0.0327102+0.0322294j -0.0100219-0.0565894j 0.0340314-0.00595957j 0.00684723-0.0148484j -0.0145478-0.00903087j -0.0236153+0.00281944j 0.00290632+0.0578605j 0.0366566+0.0168826j 0.0161409-0.0013873j 0.0201776-0.0727712j -0.0100969+0.0038564j -0.0534804+0.0214072j 0.0296158-0.0278815j -0.0163148+0.00139492j 0.156949+0.0533526j 0.00631114-0.0604453j 0.0979521+0.0744127j 0.041377-0.0129044j -0.0186711-0.116245j 0.0683183+0.0970157j -0.0614848-0.0847286j -0.0568407+0.0985235j 0.0382826-0.0385021j 0.14221+0.00646672j -0.152602+0.0995702j 0.053648+0.0904173j 0.0675866-0.0196652j -0.108583-0.157005j 0.165457+0.0020736j 0.120539+0.144079j -0.229793+0.140247j -0.136863+0.0860827j -0.00254506-0.00519749j 
0.018053-0.00309862j 0.0449095-0.0226071j 0.0202318+0.00670355j -0.102124-0.0323702j 0.114842+0.0611144j -0.00772664-0.0309155j -0.040036-0.0294302j -0.0323384+0.0112104j 0.0614509-0.014837j 0.0249151+0.048089j 0.0195795+0.0296731j 0.02509-0.0568108j -0.0237267-0.00875786j 0.0368098+0.0092205j 0.0131536-0.013424j 0.0158272-0.029232j -0.0455426-0.0379759j 0.0211512+0.0247419j 0.0372657+0.0173185j -0.0234379-0.0188347j 0.0293418-0.00905655j 0.00174614-0.0055923j 0.00926784+0.0161538j -0.00533831+0.00405541j 0.0233256+0.00784785j 0.0412061-0.016082j 0.0237963+0.0366728j 0.00886068-0.0116608j -0.00185465-0.0120698j 0.0170367+0.00257579j 0.0339125-0.0399993j 0.019891+0.0178441j 0.00281061-0.0107363j -0.0122152-0.00434244j -0.0659396+0.0312805j -0.0318541+0.0116049j -0.0264859-0.0155178j -0.0381623+0.00123713j 0.0389408-0.0011413j 0.00793897-0.0152382j -0.0529172-0.0506447j -0.0011165-0.0464289j -0.026813+0.00430747j -0.0158835+0.0269933j 0.00440241-0.0581216j 8.54612e-05+0.0275127j 0.00685972+0.0016111j 0.0190745+0.00541793j -0.0114598+0.0367655j -0.0098729+0.077714j -0.0149682+0.00277693j 5.4801e-05+0.00477167j 0.0303178-0.00793265j 0.0151358+0.0276362j -0.0135337-0.0061295j -0.0539816+0.0748988j 0.00210386-0.0646055j -0.00590239-0.0390028j -0.0416457+0.00950469j 0.0866299-0.0116683j -0.162042-0.0416381j 0.0860514+0.0369015j 0.00685703-0.0634563j -0.0614262-0.11569j -0.0029428+0.0799888j 0.0551425+0.19553j -0.103853-0.118503j 0.0933602+0.0615405j 0.163923+0.039024j 0.0187242+0.0261134j 0.0925231-0.0402814j 0.0701285-0.211557j 
0.0322678-0.0313566j -0.0630318+0.0728426j 0.0187011+0.0150528j -0.0682706+0.0348097j 0.0640685-0.0194233j 0.0326721+0.0421534j -0.0178176-0.0485427j -0.0279525+0.0547632j 0.0319623+0.0358012j -0.0558259+0.02417j -0.0303968-0.0131243j 0.00240674-0.0403774j -0.0104759-0.00844405j 0.0197464-0.0240162j 0.00854037+0.0409294j 0.0241976-0.0125534j 0.0128621+0.00919877j -0.0151054-0.0107671j 0.00266531-0.00649289j -0.0235401-0.0305474j 0.0153014+0.0288609j 0.00399945+0.0124227j 0.0207118+0.0027117j 0.00581785-0.00911922j -0.0324883+0.0166076j -0.00716774+0.0174561j 0.00543404+0.0127073j -0.00658232-0.0341122j -0.00233921-0.000340887j -0.0215913+0.0177967j 0.0259947+0.0215313j -6.66862e-05+0.0137367j -0.00584289-0.00409569j -0.00404289-0.00835934j -0.00859738-0.00542121j -0.0233137-0.0453559j 0.00526137+0.0327214j 0.0150728+0.0113763j 0.0413868+0.0150771j 0.0170025+0.0277034j -0.00237389+0.0189248j 0.00706363+0.0208623j 0.00128358-0.0553237j 0.000798799-0.011012j 0.0490273-0.001105j 0.0119932-0.0340385j -0.0198321-0.0134686j 0.0361771+0.0126403j -0.0185333-0.0208716j -0.033759-0.019654j 0.0668711-0.015069j -0.0617412-0.0201745j 0.0164925-0.00630098j -0.00289334-0.00136546j 0.00985542-0.0165543j -0.0252115+0.000146741j 0.0632914-0.0341255j -0.0336803-0.00257524j 0.0367077+0.0585343j -0.075577+0.0310548j 0.129234+0.0176272j 0.00853677-0.026184j -0.0675081-0.108676j 0.0808265+0.126196j 0.0654209-0.168788j -0.117634-0.128459j 0.0351386-0.00498783j -0.0762641-0.0361082j 0.0390954-0.0525288j -0.028079-0.111414j 0.040412+0.216897j 0.126399-0.0405581j 
-0.0629266+0.0910001j 0.00435092+0.0189071j 0.101325-0.0129777j -0.0768128+0.0235876j 0.0597316+0.0136414j 0.0555737+0.00642856j -0.0051023+0.00122677j 0.0310595-0.00606897j -0.00983577-0.00224609j 0.0164459-0.00838999j -0.0240744+0.0224007j 0.0227001+0.0102952j -0.0293137+0.0371683j -0.0183875+0.0353352j -0.0247017-0.0306856j 0.00503354-0.00271526j -0.0404381-0.0101952j -0.0548268+0.00217983j -0.00820854+0.0193506j 0.0111955-0.0305007j -0.0670488+0.0347173j -0.00368948-0.025795j 0.0492888+0.00260516j -0.0152115-0.00544532j 0.0108826+0.0153842j 0.0253075+0.00808028j 0.0158835+0.042563j 0.00361811+0.00324173j 0.000785297-0.0424124j 0.0130287+0.0263137j -0.0194418+0.0151637j 0.0268534-0.00651286j -0.0192005-0.0162832j 0.0323834-0.0318984j 0.0453648-0.0277904j 0.00373126+0.0127109j -0.00848353-0.0382561j 0.00102311+0.0179873j -0.0221171+0.041859j -0.029146+0.0428171j -0.00351016+0.0041597j -0.0210279-0.00105213j -0.0528911+0.0125177j 0.0136583-0.0286752j -0.0122982+0.0163946j -0.0520492-0.00422238j -0.024437-0.011474j 0.00769908+0.0726652j -0.0485004+0.0213369j -0.0400723-0.0473436j 0.030574+0.0199094j -0.00840922-0.00230003j 0.0466173+0.0178221j -0.110684+0.023423j -0.0582117-0.00482662j -0.0773613-0.0303812j 0.0133094+0.0308675j -0.0154333-0.00405462j -0.162921-0.0657969j -0.000881162-0.00158226j -0.0795755-0.128558j 0.0414445+0.148192j 0.131588+0.00491217j 0.0349688-0.141922j -0.0221515+0.0770333j 0.0923113+0.0652899j 0.0165873-0.025474j 0.0478644+0.124571j 0.0391866-0.0879511j -0.105693+0.00626626j -0.069117+0.0455246j 0.140831+0.0555633j 
-0.0200031-0.011456j -0.0260331+0.063572j -0.0693886+0.0465094j -0.00450343+0.012069j -0.0485412+0.015369j -0.0437217-0.0133405j 0.0523142+0.0364431j 0.0368165+0.0210078j -0.00633125+0.0406268j -0.0522392-0.00938692j -0.046206+0.0305355j 0.0336605+0.0158511j -0.00639005-0.0578105j -0.073325-0.0232107j 0.0356145-0.0425812j 0.0300288+0.0297116j 0.0557709+0.0378007j 0.0293348+0.0806938j 0.0450922+0.0771955j -0.011555+0.0242737j 0.0504356-0.0419798j 0.0316044+0.0287671j 0.00740809+0.00949314j 0.0135487+0.0180865j -0.0205005-0.0187659j -0.0136658+0.0105174j 0.0232312+0.0439151j 0.0224669+0.0255247j 0.0124961+0.0375592j 0.00431814+0.00196045j 0.0473624+0.0295822j -0.0472408+0.00469123j -0.0109853-0.0485495j -0.0292269-0.0074307j 0.0147578-0.013428j 0.00371675+0.0136239j -0.00869746-0.0289201j 0.00408397-0.00725319j 0.0492127-0.0362496j -0.0541458-0.0182938j 0.0255318+0.0146168j 0.0112984+0.0130201j 0.0159094-0.0562795j 0.0373769+0.0285596j 0.0732251-0.0182954j -0.0536981-0.0358421j -0.0979018+0.0768219j -0.147088-0.023229j -0.123627-0.0725889j 0.03542+0.0547496j 0.0423254-0.0361102j -0.00702104+0.0252677j 0.00917437-0.0359654j 0.00254973-0.126336j 0.041985+0.104505j -0.0371987-0.126873j 0.0136698+0.0831344j 0.0419204+0.0693784j 0.146968+0.0622127j 0.00638498+0.10602j 0.0371062-0.0623549j -0.0333966+0.166342j 0.0853963+0.0550063j -0.0603029-0.084383j 0.0278871+0.114192j 0.00750791+0.0483268j -0.0391132-0.0213232j 0.125732+0.0781093j 0.147209-0.0259849j 0.0879875+0.0482401j -0.0708721-0.0290208j 0.0496021+0.184888j 
0.0277714-0.014125j -0.0157996+0.00271985j -0.0128004+0.00417845j -0.00343824+0.00957064j -0.0296508-0.0579623j 0.0536167+0.0323889j 0.00167091+0.0664208j -0.00125869+0.0479308j 0.00894032+0.0363925j 0.060489+0.0393158j -0.0103749-0.0938177j -0.0125318+0.0334583j -0.0276717+0.0343127j 0.00693555-0.0187343j -0.0781034-0.0466792j 0.0259262-0.0654249j -0.024245+0.0138172j -0.00483446-0.0365951j 0.0169507+0.00102332j -0.0185881+0.0272623j 0.0350157-0.0381755j -0.0326743-0.0234938j -0.0100025+0.0353588j -0.019906+0.00796926j -0.00269535+0.0401733j 0.0188332+0.0155207j -0.0030943-0.00487646j 0.00192435+0.00174062j -0.0346478-0.0377832j -0.0126692+0.0362862j -0.0587892+0.0139996j -0.0201535-0.00780783j 0.0618401+0.0888863j 0.0527943+0.0572205j -0.0269814-0.0532305j 0.00360408-0.0690908j 0.0448539+0.0373365j -0.0588749-0.0492738j -0.0349935-0.0359029j -0.00693559-0.102271j 0.0251717-0.0377931j -0.034852+0.0355504j -0.108197-0.0954876j -0.019228-0.0285475j 0.0439817+0.10231j 0.0646866-0.0830587j -0.0908001-0.0943211j -0.161378-0.156157j 0.06387-0.00513258j -0.049397-0.0937177j -0.0950771-0.101286j -0.0483031-0.120654j 0.0672914+0.000978628j 0.0363763-0.0410222j -0.107661-0.0167555j -0.0416658-0.0366657j -0.045673+0.00339615j -0.127334+0.0495739j -0.00342268+0.0444135j -0.0182756+0.118766j -0.0245576-0.14178j 0.0445952-0.0442515j 0.12275+0.0525693j 0.086718+0.00294347j 0.000164597+0.076644j 0.0457899-0.0475559j -0.0907861-0.0501448j -0.0117179-0.023215j -0.107383+0.00963949j -0.0178261-0.0214376j 0.073438+0.200751j 0.13805-0.0077475j 
0.0101657+0.00378839j 0.0222325+0.0334622j -0.0811031-0.00652361j -0.00337484-0.00547061j 0.00323026+0.0193655j 0.00129994+0.0583463j 0.00183085-0.0274927j 0.00257661-0.0286378j -0.0978207+0.0111951j -0.0388626-0.00362696j -0.0577082-0.0799669j -0.0255002-0.0329156j 0.050573+0.0180849j -0.0219982-0.0790772j -0.0111078+0.0839762j 0.015353-0.0249021j 0.0326987-0.0226834j 0.0257579-0.053861j -0.0418317-0.0414394j -0.0309569-0.0157639j -0.0396186+0.007358j 0.0261239+0.00377958j -0.0221369-0.0106849j -0.0254333-0.0606817j 0.00123114+0.0123582j -0.0524177+0.0341258j -0.0716634-0.096636j -0.0158345-0.00384914j -0.00883794+0.0261345j -0.0271436-0.00776115j 0.0297375-0.0368096j 0.00630016-0.000509294j 0.00107346+0.0322857j -0.00566292+0.040404j 0.0161117+0.0385421j -0.0724409-0.0243762j 0.0482612+0.071012j 0.0833802-0.0329322j 0.0352032+0.0412442j 0.0690817+0.0202297j 0.189275+0.132627j 0.052288-0.0320043j 0.0245489+0.0147635j -0.0215247-0.017438j 0.0353758-0.00378001j 0.108471+0.132997j 0.0698157-0.131283j -0.00175684-0.137525j 0.0154653+0.0281727j 0.105037-0.0208403j 0.175445+0.0595302j 0.0253281-0.0221023j -0.00805586+0.0206411j -0.0848149-0.0777378j -0.02387-0.084667j 0.101892-0.0305888j 0.0819156-0.108895j -0.0466667-0.0781463j 0.0272602-0.172299j -0.0493307-0.0681253j -0.0661253-0.0550282j -0.0521941-0.0136017j -0.0459142+0.0693821j 0.0420484-0.0177269j 0.0276453-0.0140158j 0.0757524+0.0738091j 0.0262362-0.0559182j 0.0197519-0.00787241j 0.0907334-0.0286301j 0.0187597+0.0326674j 0.11466-0.101041j -0.110086-0.100386j 
