0.0069299+0.00181908j 0.00235424-0.00703531j 0.00531004-0.00482987j 0.00470555+0.00412777j 0.00399058-0.00201563j 0.000100158-0.0052777j -0.00502092-0.00248853j -0.00492379+0.00386363j 0.000192845-0.00147178j 0.00150524-0.00230523j -0.00320579-0.00336734j 0.00538855+0.000127031j -0.00391234+0.00613318j 0.00182159-0.000482017j -0.00216821-0.00114211j -0.00158539-0.00102963j -0.00139365-0.000847461j -0.000917165-0.00158225j 0.00137684+0.000650016j 0.00137984-0.0018802j -0.00414337+0.00303918j 0.00260853+0.00335502j 0.00453331-0.00112522j 7.99058e-05+0.00235173j -0.00200683-0.00060352j 0.00101525+4.43276e-05j -0.00254661+0.00226504j -0.00418816+0.00178803j -0.00013073-0.00251254j 0.000258551-0.000512405j -0.00161107+0.000866269j 0.00166062-0.00327003j -0.00253384+0.000833626j -0.00151707+0.00166276j -0.00119799+0.00181452j -0.00102053+0.00117699j -0.000213947+0.00276231j 0.00569553-0.000219273j 0.00342006-0.000437848j -0.000531043-0.00201365j 0.000917589+0.000575754j 0.00123761+0.00125275j -0.00114916-0.00270248j -0.00150187+0.00218055j 0.00167738+0.00192468j -0.00224805+0.000845071j 0.00148372-0.00190396j 0.000786294+0.00102678j -0.00190509+0.00433312j -0.00195304-0.000750332j 0.000746361+0.00124887j -0.000611841+0.00193187j -0.00254295-0.000670261j 0.00259386-0.00220623j 0.00276098-1.35057e-05j 0.00308298-0.00356701j 0.00153588-0.00072426j 0.00168968+0.00348317j 0.00446431-0.000517362j -0.00492099+0.00122134j -0.00251838+2.69749e-05j 0.00133347-0.00228376j 0.00265881-0.00426185j 0.00202506-0.00275301j 0.000594346+0.00154107j 0.00368083+0.00601772j 0.00831857+0.00250517j -0.00420448+0.00862858j 0.00272408+0.00443777j 0.000390988-0.00127076j -0.00175883-0.0163155j -0.0122015+0.0027996j -0.0151402+0.0171552j 0.0380847-0.0244539j 0.0865635+0.0124861j 0.031035+0.0483759j -0.365662-0.00762875j 
0.00235759-0.00703797j -0.00694159-0.00181944j -0.00457684-0.00413325j 0.00541137-0.00498285j -0.00189076-0.00350098j -0.00545439+0.00074952j -0.00416645+0.00559567j 0.00331448+0.00334217j -0.00215834+0.000551535j -0.00264868-0.00125699j -0.00403621+0.003173j 0.00141522-0.00524268j 0.00624044+0.00140868j 0.000237094-0.00167097j -0.00224693+0.00254282j -0.00196943+0.0016593j -0.00104238+0.00135943j -0.00170215+0.0010761j 0.00103578-0.00142356j -0.00241781-0.00163476j 0.00199605+0.00301546j 0.0046718-0.00311376j 0.000281751-0.00331809j 0.00262483-0.000260851j -0.00123684+0.00164231j 0.000514589-0.0011999j 0.00124631+0.00138016j 0.00116364+0.00263728j -0.00292268+0.000968236j -7.03333e-05+0.000297027j 0.000348778+0.000895681j -0.00394872-0.000385262j -0.000133677+0.00264055j 0.00153177+0.00119314j 0.00149134+0.000182468j 0.000817789+0.00063513j 0.00325647-0.00155421j 0.00143195-0.00476977j 0.000362679-0.00280446j -0.00243075+0.0014458j 0.00070499-0.00127929j 0.00201487-0.00230733j -0.00429534+0.00227899j 0.00194779+0.000822046j 0.00273667-0.00156491j -0.000492074+0.00221252j -0.00172081-0.000891415j 0.000674486-0.000867553j 0.00519873-0.000274581j -0.00182723+0.00121603j 0.00122842-0.00122078j 0.00128018+0.000413006j -0.00190232+0.00239624j -0.000401451-0.00218403j -0.000280213-0.00218276j -0.00475265-0.00157897j -0.00105996+0.000221194j 0.00568343-0.00199374j -0.000111885-0.00354743j -0.00212937+0.00407099j -0.00232407+0.00288237j -0.0023286+6.97946e-05j -0.00374604+0.00130158j -0.000243602-0.00255386j 0.00279519+0.00202134j 0.00345743-0.00183599j 0.001027-0.00973378j 0.00883449+0.00511581j 0.00377356-0.00315114j -0.0047811-0.0040242j -0.006256+0.00260425j -0.00963784+0.0235291j 0.0117246-0.00218094j 0.0867255+0.0117342j -0.0378292+0.0248648j 0.365431+0.00753002j 0.0311611+0.0482655j 
0.00160126-0.00549011j -0.00525379-0.00175435j -0.00187357+0.00180709j -0.00208542-0.00142924j 0.00331052-0.00175389j -0.00325085-0.00270034j 0.00187066+0.00475416j 0.00419071-0.00425714j 0.0064184-0.000571851j -0.00122815-0.00438134j -0.00205828-0.000739559j 0.000737175-0.00354973j 0.00125244-0.00371992j -0.005191-0.000283879j 0.00747244-0.00092366j 0.00391259-0.00177222j -0.00297681+0.000554127j -0.00173118+0.00112222j -0.000376152-0.0017231j 0.00293582-0.00627014j 0.00574436+0.000254213j 0.00144622-0.000261851j -0.00253049+0.00309782j 0.000585457+0.00107327j 0.000324199-0.000746493j -0.00134755-0.000148323j 0.002289-0.00344795j -0.0019642-0.00159228j -0.0022025+0.000773667j 0.00123958+0.00356636j -0.00296488-0.00134427j -0.00216691+0.000210034j 0.0046803+0.00249006j 0.00370912+0.00195606j -0.00265724-0.00227935j 0.00204884+0.000334638j -0.00428003-0.00313885j 0.00602727-0.000492757j 0.000505112-0.00211049j 0.00182723+0.00292015j -0.000920069-0.00101008j -0.00100352-0.00283661j 0.00691583+7.86637e-05j -0.000461252-0.000511543j 0.00314785-8.63954e-05j 0.00383859-0.00109693j 0.00202805-0.00120085j 0.00327822-0.00347738j -0.00498044-0.00104785j 0.00485738-0.00352646j -0.00220757-2.40212e-05j 0.00556148-0.00298762j 0.00782662-0.00260319j -0.0103898+0.00318909j 3.7101e-05-0.00216196j -0.00537479-0.00289779j 0.00221145+0.00188597j 0.00143577+0.00614158j -1.63906e-05-0.00229347j 0.00165865-0.00789068j 0.00636238-0.00481295j -0.00107374+0.00535024j -0.00121908+0.00841638j -0.00803136+0.00469222j 0.00547719+0.0118655j 0.00266325-0.00625442j 0.00451827-0.00911714j -0.0132127+0.00383289j -0.0532708+0.00598122j -0.0552215+0.0272468j -0.0833895-0.0107286j 0.0120238+0.00298586j -0.0741383-0.0208502j -0.0229631-0.0330485j -0.339959-0.0144037j 0.0121866-0.0126634j 0.0230678+0.00908971j 
0.00545868+0.00162134j 0.00143972-0.00571405j -0.00247669-0.00139859j 0.00176321-0.00235176j 0.000784716+0.00371378j 0.00331412-0.00398638j -0.00533028+0.00214275j 0.0065219+0.00244241j 0.00186362+0.00559784j 0.00502757-0.00135281j 0.00152574-0.00402172j 0.00410501+0.000167055j 0.004279-0.000311346j 0.000365887-0.0038704j 0.0027562+0.00376107j 0.00201628+0.00197402j -0.00176465-0.00227892j -0.00233938-0.000352428j 0.00220315+0.000536335j 0.00783178-0.000558517j -0.000742076+0.00426509j -9.18892e-05+0.00220024j -0.00406084-0.000429716j -0.00118574+0.00189074j 0.000515855-0.0011578j -0.000655667-0.00178465j 0.00490473+0.000881225j 0.00260147-0.00361907j -0.000979066-0.00151155j -0.00428179+0.00105563j 0.00294268-0.00233947j -0.000168702+0.00059499j -0.00421131+0.00439546j -0.00288239+0.00195193j 0.00465802-0.00117369j -0.00256071+0.00138738j 0.00526324-0.00348881j 0.000185295+0.00102947j 0.0038759-0.000839825j -0.00456168+0.00128006j -0.000128818+0.000162581j 0.00288417-0.00149101j -0.000373172+0.00370284j 0.00280628+0.000197516j -0.00471423+0.00209708j 0.00209019+0.00335258j -0.0021771+7.96917e-05j 0.00170768+0.00174171j 0.0107746-0.00164626j -0.00149598-0.000173582j -4.00172e-05-5.07205e-05j 0.00449549+0.00307442j -0.00212873-0.000332336j -0.000483618-0.00491657j 0.00430463+0.00321116j 0.000208683+0.0016557j 0.00252225+0.00469868j -0.00155652+0.000587051j 0.00614645+0.00026445j 0.00231381-7.72393e-06j 0.00281285+0.00559124j -0.00429904+0.00390893j -0.00914705+0.00663189j 0.00961984-0.00816405j -0.00564762+0.00609934j -0.000815976+0.0168749j -0.00218427-0.00358753j 0.0200182-0.0047242j -0.0283411+0.00873052j 0.112418+0.0123094j -0.0504295+0.0241377j 0.0168502+0.00951209j -0.0173186+0.0234159j 0.329333+0.0103189j -0.0285617-0.0285904j 0.0230657+0.00889873j -0.0118995+0.0126055j 
0.000483577-0.00159043j -0.00112092-0.000893294j 0.00476694-0.000908604j 0.000246279+0.00465749j 0.00138349-0.00667368j -0.00712784+0.000679924j 0.00265447+0.000342227j -0.00479559-1.23425e-05j -0.00269434-0.00352284j -0.0030383+0.000469769j -0.00273226+0.00207305j -0.00190319-0.00232062j 0.00073165+0.00225826j -0.000147458+0.00277426j -0.00390848+0.00116078j -0.0023972-0.000587929j -0.00209479+0.00118829j -0.00134308-0.00524436j -0.00376837-0.00105082j 0.000761646+0.000835224j 0.00256-0.00232414j 0.000151738-0.00326609j 0.000138327-0.000945599j -0.00306594-0.000273525j 0.00666291+0.000516106j 0.00508873+0.000460878j 0.00916282+0.000548554j 0.00116121+0.00579442j 0.0015784+0.000875868j 0.00248599-0.00236669j 0.0052717+0.00173336j 0.00403418-0.0061212j 0.0035945-0.00234561j 0.0024209+0.00148803j 0.00573579-0.00324714j 0.00407676+0.000543134j 0.00502509+0.00232063j -0.00166754+0.00297907j -0.00658055+0.00363711j -0.000349681+0.00114438j -0.000678467+0.00188301j 0.00340891-0.00149592j -0.0100547-7.80581e-05j 0.00314906-0.0026366j 0.00296256+0.000716272j -0.00712994-0.000850567j -0.00509455+0.00123243j -0.00711596+0.00136688j 0.00408376-0.00848504j -0.00867666+0.00269361j 0.0056047-0.00134698j -0.0029032-0.00281128j -0.00575335+0.0102445j -0.000144344-0.00366684j 0.00577161-0.00768729j 0.00946627-0.00650923j -0.000652561-0.0041868j -0.00706656-0.00202887j -0.0122831+0.00891529j 0.00176732+0.0162768j 0.010426-0.00876685j -0.00240221-0.00886194j -0.00723725-0.00576812j -0.0470809+0.0137801j 0.0155907+0.00191286j -0.013208+3.57073e-05j 0.0456835+0.00868489j 0.0277684-0.00383528j -0.0801381-0.0126357j -0.0104926+0.0153607j 0.0233138+0.0102415j 0.00608273+0.0329245j 0.339801+0.01869j -0.023567+0.01005j 0.0242649+0.0133478j 0.00777859+0.000547851j 0.00132239+0.00457749j 
0.000352921+0.00346872j 0.00290323-0.000698175j 0.00259455+0.00352382j -0.00384128+0.00345058j 0.00661379-0.000970588j -0.00173452-0.00612753j -0.00218421+0.00100667j 0.000654991-0.00173419j 0.00209591-0.00223393j -0.00170448+0.00107108j 0.00174693-0.00183265j 0.00455836+7.28053e-05j -0.000991061+0.000522923j -0.00215975-0.000855132j -0.000639285-0.00295907j -0.000253855-0.00105886j -0.0043392-0.00147652j 0.00551952-0.00482985j 8.00656e-05-0.00472738j 0.00426368+0.001565j 0.00143966+0.000861792j 0.00217547+0.00192847j 0.000537437+0.00153683j -0.00312927+0.00106321j 0.00225091+0.00112936j 0.00131826+0.00461617j -0.00131744+0.00123793j -0.003282+0.000288372j -0.00215747-0.000683184j 0.00666064+0.000334022j -0.0010147+0.00088151j 0.00517232-8.12362e-05j -0.000879205+0.00297524j -0.00144376+0.0019063j 0.00812142-0.00155122j -0.000342786+0.00298502j -0.000735302+0.00395429j 0.0104073-0.000723652j 0.00106705-0.000632019j -0.00459995+0.0036504j -0.00576068+0.00480569j 0.00522789-0.000949599j -0.000743086-0.0021304j 0.00160522+0.000171611j -0.00215405-0.00451163j -0.003504-0.00135664j 0.00274828-0.00639615j -0.0034351-0.00771927j 0.00439823+0.00286004j -0.00149572-0.00169929j -0.00201438+0.00627072j 0.00351791-0.000111714j -0.00531278+0.00116962j 0.00350926-0.00639387j 0.00320424-0.000392564j 0.00163889-0.000282378j 0.00281308-0.00777221j 0.00706636+0.00418007j -0.0155694+0.01033j -0.0128627+0.00419292j -0.000179565-0.00722412j -0.0169644+0.01845j -0.0322457+0.000771312j 0.0550025-0.00495886j -0.0195617+0.00694542j -0.0370291-0.015188j 0.0379534-0.00788921j 0.0271407+0.00580714j 0.000794883+0.0206563j 0.00151433+0.00191072j -0.00633364-0.0266534j -0.308179-0.00888653j 0.0190007+0.018301j -0.00899227-0.00645354j -0.0119422+0.00399652j -0.00126825+0.00792051j -0.0132528-0.00253091j 
0.00501904+0.000202342j 1.39217e-06-0.00556798j -0.000884742-0.0030265j 0.0029876-0.00108469j -0.000433559-0.00152634j -0.00357611+0.000208069j -0.000197995+0.00215827j 0.00219818+0.000660566j -0.000643955+0.00210237j 0.00367997+0.000772049j -0.0023852-0.00482332j 0.00288227-0.00453861j 0.00399404-8.10332e-05j -0.00551033+0.00141676j -0.000140284+0.00169655j 0.00500825+0.00171727j 0.000651114+0.00061176j -0.00415935-0.00257701j -0.00543782+0.00400658j 0.00381736-0.00364518j 0.00393258-0.000720686j 0.00676593-0.00215636j -0.000222696-3.88023e-05j 0.00369221+0.00229842j -0.00109034-0.00278478j 0.00236011-0.00523793j -0.000557825+0.00217097j -0.00471871-0.000820455j -0.00152002+0.00236624j -0.00327553-0.00305757j -0.00366626+0.00110989j -0.00173233-0.000457337j 0.00468929+0.00111486j 0.00164674-5.37893e-05j -0.00669801-0.000877762j 0.00453309-0.000919246j -0.00154049-0.00256154j 0.00317848-0.00419237j 0.00368738+0.000834408j 0.00331715-0.000810805j 0.00598563-0.00035676j 0.00160229-0.00480988j 0.00382454+0.00259661j 0.00126999+4.30234e-05j -0.00351353-0.00322647j 0.0082546+0.00424642j -0.00330123-0.0034379j 0.0041305+0.00113508j 0.0058114+0.002014j 0.00467394-0.00823602j 0.00341496+0.000321077j -0.000462084-0.00695207j 0.00515765-0.0060768j -0.0102281+0.00171811j -0.00110602-0.000464955j -0.0118483-0.000557152j -0.00348099+0.0111725j 0.00460407+0.0057247j -0.00964657+0.0046588j 0.00220771+0.0052615j 0.00745789-0.0103542j 0.0298705-0.00779374j -0.0354885+0.0150668j 0.00529196-0.00348598j -0.0800123-0.0150989j 0.0802046-0.0182289j -0.0263461-0.00413856j -0.0114242+0.0143562j 0.0162966+0.00494083j -0.011349-0.0214897j -0.304126-0.0161519j 0.0218948+0.0147296j 0.0016805-0.00702429j 0.00626007-0.0102621j -0.0255868-0.00635441j 0.0134681+0.00222203j -0.00178721+0.00846601j 
0.000457427+0.00441603j 0.004068+6.99656e-05j 0.000138891-0.00377493j 0.00372289-0.000348794j -0.00133843+0.00220469j 0.00323113+0.000919772j -0.00224147-0.000820693j 0.00140963+0.00110966j -0.000278517-1.89589e-05j 0.00245548+0.0031303j 0.00477785-0.00322206j 0.00643858+0.00193167j -0.000828742+0.00186506j -0.00302443-0.00337355j -8.84405e-05-0.00275489j 0.00114488+0.00347913j 0.00404809+0.00359939j 0.000632245+0.00115408j -0.0040342+0.00049917j -0.000461444-0.000866925j -0.0016231+0.0019827j 0.0038879+0.00341506j 2.07078e-05-0.000566495j 0.00592752+0.00334878j -0.0034932-0.0022411j 0.00644247+1.5837e-05j -0.0139115+0.000123682j 0.00322634-0.00341697j -0.00586279+0.000193013j 0.00442176-0.00359591j -0.00339433-0.0016778j -0.00325964+0.00214422j -0.0080814+0.00246622j -0.00647339-0.00169565j 0.00212893-0.000936845j 0.00185754+0.00257168j -0.00221517-0.000722645j 0.00785329-0.00724538j 0.00454443-0.00189245j -0.00465389-0.000582388j -0.00280962+0.00344754j 0.00318335+0.000598702j -0.00502828+0.000276199j -0.00198987+0.000272964j 0.00293124+4.60996e-05j 0.00282536+0.00363148j 0.00386839-0.00222942j 0.00325815+0.00142541j -0.00666687+0.00183566j 0.012282+0.000687955j -0.000275436+0.00371442j 0.00679282+0.00025274j 0.0120893-0.00428075j -0.000193318-0.00523047j -0.0062246+0.00496547j -0.00525882+0.0124184j -0.012098-0.000746065j 0.0133321+0.000302915j 0.0303653-0.00359326j -0.0238608+0.00772749j 0.0190885-0.00363747j -0.0323688-0.000976485j 0.0486135+0.00710561j -0.0800208-0.00716912j -0.0922599+0.0210254j -0.0425478-0.00248842j 0.0058295+0.0152608j 0.0207128+0.00395063j -0.0105963-0.0223287j 0.271071+0.0111644j -0.0264238-0.00310961j -0.0160815-0.00141685j -0.005821+0.00916077j 0.0355958+0.0101756j 0.0127167-0.0124775j -4.52699e-06+0.00542703j -0.00778485-0.000243191j 
-0.00152405+0.000372255j 0.000868919+0.00159753j 0.00219414-0.00221792j 0.00121536+0.00247548j -0.00254549+0.000762772j 0.00309414+0.00332846j 0.00439717-0.0020609j -0.000834633-0.00262646j 0.00470765-0.00150692j 0.00146477-0.00344251j 0.00103077-0.00147214j 0.00319715+0.00304367j -0.00488676+0.00226278j -0.00205007-0.00149953j 0.00781638-0.00336979j -0.00238068+0.00104289j 0.00411427+0.0066328j -0.00655054+0.00428523j -0.00409133+0.00156761j -0.00259478-0.00422248j -0.000840485-0.000327151j -0.00225203+0.00169108j -0.0038181+0.000483449j 0.00448342+0.00140045j 0.00144441-0.00183428j 0.00828371+9.093e-06j 0.00038614+0.00107076j 0.00971658-0.000902572j -0.00335724+0.00192334j 0.00102406-0.00354964j 0.0051927+0.000396487j -0.000701506+0.00179498j -0.00947489-0.00301976j -0.00618985-0.00134385j 0.00412552+0.000654745j 0.00185682+0.00158022j 0.0014126-0.000488715j -0.00133101-0.00704516j -0.00740096-0.0034505j -0.00147459-0.00417476j -0.00932341-0.000188836j 0.00146802+0.00277607j -0.000740261-0.00217299j -0.00363005+0.00150423j -0.00909896+0.00512956j 0.00633209+0.000375608j -0.0116475+5.21893e-05j -0.00925774+0.00701551j 0.0266916+0.00180523j -0.0122512+0.00290174j -0.00313478+0.00471954j 0.0273287-0.0111631j -0.0117047-0.00637948j 0.0321229-0.00479344j 0.00659029+0.00345828j 0.022524+0.0032999j -0.0242788-0.000718322j 0.00347905-0.0045245j -0.0424554-0.00794076j -0.0169679+0.00413858j -0.0493428+0.00111242j -0.07379+0.0103383j 0.0120268-0.00436391j -0.0195835+0.0137522j 0.03307-0.000892785j -0.00821807-0.00469157j 0.0219809+0.00294799j 0.0252788+0.0233876j 0.252443-0.00227506j 0.054088-0.00638908j -0.000314559-0.00282119j 0.0200224-0.00867857j -0.0339206-0.00931591j -0.0121232+0.00498066j 0.0156656+0.0058702j -0.00198082+0.00214395j -0.00366228-0.00233585j 
0.000606858-0.000617547j 3.22283e-05-0.000635564j 0.00148913-0.00303348j 0.00215963+0.000569398j 0.000675506-0.000414058j 0.00171976-0.00171764j -0.00166983-0.00215545j -0.00299221+0.00267495j 0.00165048-0.00430777j -0.006341-0.00141814j -0.00171365+0.00542617j -0.00213355-0.000890879j -0.00107231+0.00234812j -0.0012491+3.26603e-05j -0.000388028-0.00307555j 0.00149789+0.000574984j 0.00384345-0.00236785j 0.00378701+0.00467898j 0.00472945-9.75608e-06j -0.00537082+0.00100386j 0.00100517+0.00256793j 0.000863324+0.00169692j 0.00161859-0.000489258j 0.00463448-0.0018944j -0.00969973+0.00383857j 0.00174618+0.000803086j -0.00342811+0.000765771j 0.0028555+7.85751e-05j -0.00368824+0.0024754j 0.00446873-0.00249742j 0.00158183+5.01001e-05j -0.000899169+0.00212609j -0.0064282+0.00233512j 0.00920234-0.000197191j -0.000524776+0.00317906j -0.0035023-0.00252875j -0.000996984+0.00513713j -0.0004218-0.00905143j -0.0033035+0.00230448j -0.00474576+0.00161708j -0.00125265-0.00016995j 0.000307369-0.004528j 0.00530706-0.00313959j 0.000791474+0.00902264j -0.0148535+0.000569022j 0.00688334-0.00135697j -0.0101021+0.00234762j -0.00972749+0.00297253j 0.0185214-0.00181507j 0.0112145-0.000657096j 0.000856044+0.000686046j 0.00305471+0.00291368j -0.0148489+0.00268223j -0.0153872+0.00553107j -0.0097326+0.000958744j -0.0447292+0.0114355j -0.017026+0.00840392j 0.0113138-0.00903399j 0.028008+0.010984j -0.00464227+0.00535741j 0.0706697-0.00651907j -0.0135398-0.0064396j -0.00702465-0.00743659j -0.0415233-0.0193945j -0.00312559-0.00328244j -0.00903218-0.011851j -0.0226107-0.0189533j 0.268155+0.00524152j -0.0401431-0.0134841j 0.01184+0.00146986j 0.0102816-0.000273333j -0.0142237-0.00351714j -0.00862407+0.00579306j 0.000300661+0.0070119j 0.0137034+0.0025529j 0.00670762+0.00164404j -0.000481127+0.00379207j 
0.000493879+0.00146863j 0.000878953-0.00141512j 0.00319256+0.00331944j -0.00332945+0.00443923j 0.00327265-0.0016302j -0.00242035-0.00275452j 0.000695499-0.0031693j -0.00417955-0.000654573j 0.00158681-0.000909055j -1.06129e-05-0.00572115j -0.0103829-0.000473511j 0.000542586-0.00276366j -0.000453977+0.00212679j 0.00160301+0.003389j -0.0017517-0.000782213j -0.00497479-0.00185449j -0.000862154-0.00194458j -0.00100739-0.00137053j 0.00204526+0.00218562j 0.000332457+0.000867498j -0.00154877-0.000663569j 0.00366568-0.00289276j 0.00198126+0.00143478j -0.00172743-0.000352926j -0.00564258-0.00200547j -0.00292749+0.00158372j 0.00943108+0.00323082j -0.00604182+0.00509107j -0.00528486-8.99758e-05j 0.00214108-6.88438e-06j 0.00252286+0.00426313j 0.00159473-0.00186855j -0.00575005-0.00234908j 0.00486652+0.0062655j -0.00510046+0.00239034j -0.00541294+0.0020039j 0.00477931+0.0028386j 0.00418068+0.00702546j -0.0023993-0.00111295j -0.000238904-0.00328728j 0.0126453-0.00251718j 0.0101873-0.00489336j -0.00936652+0.000816363j -0.0150031+0.00213739j 0.0213256-0.00125971j -0.00698578-0.000450563j -0.00189856-0.00202209j 0.00898015-0.00156102j -0.00499922-0.00448659j -0.0181891+0.00722821j -0.000742374+0.00703812j 0.00459878-0.00724503j -0.0355965+0.00875993j 0.0108532-0.00254911j 0.0314506-0.0106392j -0.00472932-0.00534092j 0.0028412-0.00193847j -0.0528482-0.00431252j 0.0591086-0.00270852j 0.014489-0.00246133j -0.00890998-0.0154803j 0.0120603+0.00336476j -0.0571758-0.00197147j -0.0173582-0.00666586j 0.0087135+0.00109277j 0.023443+0.0119459j 0.254395+0.00555015j 0.0382715+0.0176797j 0.0354244+0.0031581j -0.0235411+0.00790248j 0.0134749+0.00402205j 0.0044852+0.00737872j 0.0301372+0.00511149j -0.00911251-0.00206493j -0.00249958+0.0055987j -7.46195e-05+0.0045548j -0.00777735-0.0010016j 
