-0.0672991+0.0303417j 0.0506094+0.369214j -0.130345+0.398283j 0.0229184+0.0380595j -0.189611+0.14646j 0.288766+0.0115616j -0.0303368+0.170237j 0.166794+0.217985j 0.0273711+0.00163026j -0.0629162-0.0868747j 0.0194692+0.0126252j 0.0796311+0.0308938j -0.0674365+0.181113j -0.122948-0.015352j -0.108568-0.0781418j -0.0664657+0.0421198j 0.0143075-0.030593j -0.0100883-0.0210698j 0.0290272-0.0555827j -0.0990346-0.119043j -0.0193968+0.00706884j 0.13206-0.0842754j 
0.131855+0.391149j 0.0467253-0.379554j 0.0698281+0.0220601j 0.164432-0.217482j -0.0242974-0.173611j 0.286776-0.0125485j -0.190592-0.147609j 0.0195447-0.04215j -0.132623-0.0832133j 0.0208799+0.0101919j -0.0991047+0.117693j 0.0255248+0.057925j 0.0128989-0.0226906j 0.0130833+0.0309331j -0.0649058-0.0422863j -0.110288+0.0752383j -0.123704+0.0155178j 0.0686878+0.181917j 0.0766986-0.0352939j 0.0214118-0.00952517j 0.0617904-0.0865004j -0.0296062+0.00363878j 
-0.000137652+0.0274977j -0.03011+0.207033j -0.0969462-0.783623j 0.00264775+0.00314643j -0.0189288+0.00130933j 0.0185114+0.00587534j -0.0101048-0.0778052j 0.0306841-0.0850516j -0.00402835+0.0110733j 0.0122904+0.019024j -0.021695-0.0187219j 0.0138955-0.00966362j -0.0252053+0.0271432j 0.00185882-0.0314136j 0.00482221+0.184266j -0.209677-0.0215401j -0.0554381+0.140398j -0.106621-0.123004j -0.101658+0.0119565j -0.132647+0.0429086j 0.12256-0.112855j 0.0396254+0.142592j 
0.0305746+0.206571j -0.000307171+0.656318j 0.0312005-0.191096j 0.0176259-0.0189577j 0.0236285+0.0746276j 0.000181783+0.0821355j -0.022979+0.0745956j -0.0178825-0.0163109j 0.0243877+0.00275223j 0.0119721-0.108855j 0.00276377+0.0978185j -0.184043-0.0786692j -0.0404609+0.00486805j -0.0397884+0.0926671j -0.0859738-0.004214j 0.0879537-0.00105305j 0.0410652+0.0911707j -0.0353153-0.00606949j 0.188525-0.0781293j -0.000395651+0.0955102j 0.00978198+0.111562j 0.0237513-0.00548842j 
0.0966584-0.786555j -0.031668-0.190589j -0.00014362+0.0203498j 0.0306997+0.0873001j -0.00938366+0.0791241j 0.0178905-0.00487076j -0.0184969+0.000414706j 0.00246077-0.00313559j -0.039951+0.140481j -0.121019-0.115701j -0.129256-0.0427877j -0.106457-0.0124089j 0.102189-0.123676j -0.0574006-0.140055j -0.212121+0.0242058j 0.00420244-0.183539j 0.00333+0.0332345j 0.0247226+0.0247782j 0.0158966+0.00773734j -0.0217835+0.020302j -0.0121495+0.0210496j 0.00459141+0.0113185j 
-0.0022082+0.013276j -0.0820915-0.0320746j -0.0053455+0.360913j -0.00226378+0.00654345j -0.00760887+0.0187743j 0.025898+0.000233133j 0.0640008-0.0734929j -0.131889+0.422941j 0.00813307-0.00432173j -0.0042676-0.011916j 0.00712219+0.00998222j 0.0080875+0.0177681j 0.0343637+0.00312171j -0.0266128-0.0280221j 0.0699207-0.0161179j 0.0382497+0.0676997j 0.0305678-0.0546826j -0.080953+0.0118414j -0.187619-0.134733j -0.101655-0.237197j 0.181649-0.123271j -0.220974+0.184567j 
0.0397782-0.0130265j 0.0107313+0.2567j 0.346453+0.138087j -0.0100812+0.00809942j 0.00667842-0.0770845j 0.0295189+0.00601127j -0.000613676+0.248793j -0.410004-0.097256j 0.00698555+0.0144425j 0.0429725-0.0142519j -0.0231027+0.0121783j -0.0369483+0.00664693j 0.0112518+0.0790255j 0.0137157-0.0432602j 0.055509+0.109513j -0.112545+0.0474746j -0.0429745-0.112646j 0.111979-0.166393j 0.0278948-0.11891j 0.293333-0.0314974j 0.192991+0.0188243j -0.130618-0.221914j 
-0.0269914+0.043229j -0.121216-0.193621j 0.0363358-0.165482j 0.00552795-0.0105919j -0.0900393+0.0675438j -0.0382791+0.0403176j 0.290593-0.188852j -0.445139+0.0305973j 0.00191612-0.00791744j -0.0411551-0.00871444j 0.0216148+0.000377723j 0.0164322+0.0150918j -0.0187089-0.0620831j 0.0123603+0.0235944j -0.0626744-0.0551493j 0.0590858+0.00880984j 0.039218+0.203865j -0.159428+0.117483j 0.208225+0.000488043j -0.0163756-0.0162621j -0.105961+0.12007j -0.139322-0.034303j 
-0.0545002-0.0492736j 0.294161+0.0364208j 0.193997-0.181086j -0.0462021-0.0317258j 0.151391+0.0615134j -0.037852+0.188279j -0.346885-0.176103j 0.0526461+0.0831559j -0.0134911+0.0231555j 0.0218107+0.0771919j -0.0282617-0.0367856j 0.0106564+0.000411357j -0.0527628+0.0890674j 0.140791-0.0417265j -0.126131-0.00527537j 0.0467981-0.101501j 0.18919-0.0168476j 0.219878+0.116705j 0.102527-0.0448646j 0.00299241+0.13987j 0.0974321+0.189834j 0.0680291-0.0073816j 
-0.0490882+0.0670844j 0.125329+0.204643j -0.153112+0.0768527j 0.0172095-0.0282152j -0.0442491-0.0747418j -0.427217+0.234269j 0.264955-0.00621868j -0.00549582-0.00885076j -0.0199702+0.00663316j -0.00610734+0.00238303j -0.014494-0.0159501j -0.0209387+0.0610439j -0.0141797+0.164359j 0.15928+0.0356718j 0.11827-0.142567j 0.121367-0.0649075j -0.153114-0.10162j 0.129903-0.0833476j -0.0991258+0.0617977j 0.00354017-0.0267376j -0.0422833-0.0314494j -0.00786636-0.00747567j 
0.16058+0.0811148j 0.10868-0.206129j 0.0496984+0.0665427j -0.0127736+0.0137009j 0.278389-0.00303992j -0.42563-0.227957j -0.0454445+0.0784999j 0.0133039+0.0265798j 0.0117125-0.00929539j 0.0478814-0.0374607j 0.00485061+0.0322128j -0.0984371-0.0606288j -0.123564-0.0904275j -0.158098+0.100644j 0.120246+0.0592589j 0.124547+0.141605j 0.155211-0.0378786j 0.0103914+0.159762j -0.0196497-0.0650288j -0.0128526+0.0142674j 0.00584673+0.000715197j 0.0175155+0.00470968j 
