-0.00289061+0.0397362j 0.00735555+0.00259852j 0.00205102-0.00040876j -0.00131912+0.0566576j -0.00145501-0.0414634j -0.0057511-0.0446165j -0.00342359+0.0261899j -0.00201149-0.0201619j 0.00955592+0.038678j -0.00125384-0.0116345j -0.00467431-0.00456662j 0.00218396+0.0602457j -0.00361506-0.00295535j -0.00285393-0.0387391j -0.00121805+0.0313105j 0.00646996-0.00487429j 0.00478748+0.0161318j -0.000174012-0.034936j 0.000878269-0.0157807j -0.00723446-0.0209955j 0.00180124-0.0531757j 0.00429464-0.0157008j 0.000679437+0.0143511j -0.00388791-0.0667113j 0.00656001-0.0148051j 0.00842005-0.0167458j -0.00559062+0.010145j 0.00310193+0.0390496j -0.00239751+0.00552471j 9.48869e-05+0.0019926j 0.00201701+0.0327251j 0.000663801-0.0164616j -0.00453912+0.0309686j 0.00220839-0.0174999j 0.00643606-0.0217796j 0.00100343-0.0213895j -0.00106657+0.00636584j 0.00191453-0.026826j -0.0132846+0.0156904j 0.00545379+0.0104168j -0.00186341+0.0400753j -0.00174104+0.0125222j -0.00344494+0.0030484j -0.00159235+0.057925j 0.0125009-0.0592701j 0.00156566+0.00192075j 0.00453131+0.00250822j -0.00601547+0.0140487j 0.00547467-0.0270058j -0.00155825-0.0299235j -0.0119933+0.0479314j -0.00460255+0.00243719j 0.0148957-0.036839j -0.00112519+0.0416564j 0.00635667-0.0224382j -0.000401375-0.00548466j 0.0300565+0.0314068j 0.00877177-0.0159634j 0.00457528+0.00267856j -0.00138948+0.0138167j -0.00770254+0.0346959j 0.00879546+0.00454173j -0.0042553+0.0048877j 0.000470111+0.00511106j -0.00937456+0.0288089j -0.0111975-0.00948529j 0.00588058+0.0181782j -0.00187616-0.0214265j 0.00652588-0.00794997j -0.0100803+0.0114882j -0.00655832+0.00158125j -0.00735651-0.00889871j -0.0032632-0.00609797j -0.0136438-0.00430576j -0.00748049+0.0274533j 0.00482679-0.0139053j -0.00544283+0.00409628j 0.00788941-0.0203194j -0.000739573+0.00910235j 0.00755341+0.0198032j -0.0121077+0.00331859j 0.0128294-0.0143298j -0.003974+0.012644j 0.0161641+0.0011495j 0.00611441+0.0149837j -0.0182243+0.017507j 0.00113707+0.00519476j -0.0110762-0.0260643j 0.0416798-0.0185256j -0.100872-0.157058j 0.188007-0.0422199j 0.091607+0.0434893j -0.0186188+0.0844686j -0.246891+0.0261703j 0.0259985+0.255093j 
-0.0045632-0.00113554j -0.001318+0.0326962j 0.00065069-0.0515126j 0.00155377-0.00993559j 0.00857533+0.0140351j -0.00024796-0.0200211j -0.00661376-0.043803j 0.00364973+0.0286709j -0.00609656+0.0313502j 0.00677626-0.00457854j 0.00511772+0.00372681j -0.000865802+0.00530448j 0.00251021-0.0115947j 0.00107072-0.0124881j -0.00139561-0.00167828j -0.00153192+0.0158947j 0.00346454+0.034455j -0.00230204-0.0783901j 0.00472791+0.00700377j -0.00334446-0.0119641j 0.00294544+0.0574573j 0.00469691+0.00856707j 0.00100435+0.0201972j 0.00484214-0.0429763j -0.00582752+0.017729j -0.00184609+0.0330286j 0.00771161-0.0346967j -0.00300009+0.0177076j -0.00738806-0.0341186j 0.000482215+0.0131579j 0.00123602+0.00306919j 0.00161145+0.017479j -0.00515767-0.0285609j 0.00180338+0.00381587j 0.00266676-0.00446719j 0.00492542+0.00269012j 0.0013894-0.000380138j 0.00370225-0.016281j 0.00445567+0.0345761j 0.00203255-0.00518053j 0.00287881-0.00533509j -0.000294646+0.0173336j -0.00130584+0.0337828j -0.00399394+0.0351437j -0.0100802+0.0815676j 0.00021857-0.027222j -0.00368029+0.0508981j 0.00225414-0.0231762j -0.00755074+0.0162873j -0.00422615+0.0197627j 0.000359759+0.0134527j -0.0113476+0.00940626j 0.00656813-0.0561013j -0.00557491-0.00908026j 0.00869012+0.00577085j -0.00312224+0.00110875j -0.000379505+0.0172558j 0.00128894-0.00834761j 0.0052149-0.0110974j -0.00666575+0.0308628j 0.0153221-0.0173246j 0.00651254-0.00583141j 0.00389719+0.029016j -0.00368583+0.0328651j -0.00772452-0.0405188j -0.00564099-0.00932943j -0.000828488+0.00380649j -0.0110255-0.0026921j 0.00449546-0.0132531j -0.00712837+0.0012709j 0.000615198-0.0145822j -0.00556627-0.0156863j -0.0121398-0.0103577j 0.0018771-0.015131j -0.00859789+0.00879588j -0.00125103+0.00511067j -0.00401923-0.000107006j 0.0104523+0.00558286j 0.00259784-0.00157208j 0.00577495+0.0177161j -6.81311e-05+0.0166168j -0.0110738-0.000995026j 0.0210417+0.00635212j 0.000725473-0.0120376j 0.0115579+0.0126932j -0.0107867+0.0122112j -0.0249381-0.0424673j 0.0244285+0.00344164j -0.0150775-0.01831j -0.183178+0.028677j -0.117893-0.156318j 0.0673401-0.112146j 0.0669493+0.0150759j 0.0298368+0.257482j 0.251592-0.0273295j 
0.00271588+0.0244902j -0.00182435+0.0449398j 0.0053538+0.0198342j 0.00706738+0.043754j 0.000604126-0.0759616j -0.00574484-0.17025j -0.0114616+0.0224027j -0.00593437+0.0100772j 0.0036473-0.088282j -0.0135695-0.0706299j 0.00149744-0.0138516j 0.00284032-0.0240634j 0.00857695-0.0224793j -0.00275402+0.00122815j -0.00257102+0.0342122j 0.0118348-0.0503161j 0.000865699-0.042749j -0.00055248-0.0706332j -0.00370733+0.00755915j -0.0114462-0.0297423j -0.0019302-0.120283j 0.00690239+0.0137219j -0.0184505+0.0470616j 0.00737812+0.0414559j 0.0094111-0.0652081j 0.00268573-0.00345282j 0.00180221+0.00926954j -0.00227335+0.0303115j 0.0163547-0.106559j 0.00136555-0.00800432j -0.00741622+0.102854j 0.00126101-0.014202j -0.0141268-0.0797368j 0.000725952-0.0182179j -0.00890716-0.00861272j 0.00128752-0.0531532j 0.0328137+0.00447903j 0.00173081-0.0558733j -0.00488543+0.0176335j -0.00930831+0.0421843j 0.0180801+0.0173371j 0.00742131-0.0312084j -0.0174058-0.0214905j 0.0166795-0.0185589j 0.00083712+0.00736432j 0.00839289-0.0122847j -0.00785372+0.0471096j -0.00248753+0.0323684j 0.00708947-0.0167745j -0.00379462-0.0477689j -0.00286509-0.0182214j -0.00519933+0.0220226j 0.000720591+0.0426278j 0.020879-0.00921437j -0.0172051-0.0209861j 0.0151089-0.0400702j 0.0131541+0.0576276j 0.0203187-0.0320373j -0.00418145+0.0410635j -0.00129993+0.0149797j -0.0273117+0.0238599j -0.00312283+0.0174074j -0.0134064-0.00314313j -0.0103873-0.0127671j 0.0385076-0.0195092j 0.00193287-0.0207478j 0.00927258+0.0309692j 0.0120687-0.0441696j 0.00867491+0.0163781j 0.0105424-0.0162334j 0.000929503+0.000901059j -0.00438097-0.0347391j 0.00525125-0.031808j -0.0185011-0.0222736j 0.00495834-0.0264097j -0.0479082+0.0248671j 0.024223-0.00561315j -0.0254977+0.00908205j 0.010786+0.00991654j 0.00230434-0.0178932j 0.0451406-0.0451822j 0.0274849-0.0398629j 0.0119286+0.156384j 0.0316226+0.0225767j 0.063347+0.0710272j -0.109828-0.065132j 0.0308044-0.0106418j -0.0213288+0.0121163j 0.0418693-0.102531j 0.112547+0.0770679j -0.0380873-0.007113j 0.213898+0.0352365j -0.0360038+0.215848j 0.00340066+0.0348243j 0.0545689+0.016003j 
-0.000199503-0.0511714j 0.00380716+0.0220383j -0.0152152-0.0466027j 0.0127187+0.0319691j 0.0026569+0.138353j -0.00198304-0.0617883j 0.0017174+0.00290457j 0.0141241+0.0575433j -0.00473758+0.0145048j -0.00301537+0.00692281j 0.00849494+0.0171551j 0.00595893-0.0288705j 0.0103917-0.00202321j 0.000725885+0.0654384j 4.29777e-05-0.102875j -0.00743971+0.0342784j 0.00205105+0.0182419j -0.0151853-0.0870082j 0.00631102+0.072365j -0.00124919+0.0605922j -0.00113313-0.0371176j -0.00459711+0.0250528j 0.00877886+0.017827j 0.00513256-0.104398j -0.0340867-0.0609155j 0.00980819+0.0729549j -1.15764e-05-0.06262j -0.00966432-0.0427386j -0.00704489-0.0577313j -0.000557515+0.0274676j 0.028882+0.0058152j -0.000569809+0.055181j 0.0198985+0.028375j -0.0160446+0.00797864j -0.00526176+0.0630234j -0.00646963+0.0417711j 0.0187705-0.102499j -0.0255582+0.00821377j 0.00389811-0.0375559j 0.00482643+0.0940645j 0.00477962-0.0096325j -0.00123925+0.067467j -0.0021466+0.10341j 0.0154922+0.000774079j 0.00726781+0.0500252j -0.014235-0.0217248j 0.00999932+0.00724114j -0.00509698-0.000774979j -0.0167572-0.0202786j -0.0243372-0.00113238j 0.0196104+0.0420825j -0.0158096+0.0160299j -0.0240439-0.0248007j 0.0105007-0.0376414j -0.0143834-0.0246509j 0.010149+0.00281122j 0.0153198-0.0284695j -0.00358656+0.0140173j 0.0127725-0.0323706j -0.0016734+0.00902028j 0.0442446+0.0165049j 0.0226339-0.00493527j 0.012313+0.0541255j -0.0126272-0.00386433j 5.3083e-05-0.0271563j -0.000525407+0.024089j 0.00986017-0.0203596j -0.0398954-0.0326856j 0.0162851-0.00379285j -0.00857307-0.00727892j 0.0190063+0.0138499j -0.0247302+0.0159323j -0.0155997-0.00467742j 0.00240542+0.0687055j -0.0027897+0.00637023j -0.00414788+0.0403054j -0.00989741-0.0286519j 0.0084288-0.0391958j 0.0146422-0.00123465j 0.0117473+0.0351499j -0.0293301-0.114603j -0.107699-0.00532516j 0.10694-0.00994599j 0.0106736-0.00567961j 0.0769905-0.0698857j -0.0123403+0.0756988j 0.0180622-0.00265932j 0.0071843-0.00133174j -0.101487-0.0538817j 0.0393549+0.00348705j 0.119489-0.0160566j -0.000222254-0.26157j 0.204957+0.0246272j 0.0614302+0.0300405j 0.0680813-0.0112993j 
-0.0147829-0.00706035j 0.000393509-0.00673957j -0.0165986+0.00722506j -0.0040272-0.0577815j -0.00506098+0.0262869j 0.00779382+0.0991866j 0.00593187-0.0538304j 0.0247453-0.0107381j 0.00291612-0.0595261j 0.00253919+0.0347756j -0.00848952+0.0242554j -0.000938999-0.0516112j -0.00990471+0.0326272j 0.00893633+0.0227281j -0.00372444+0.00672266j -0.0136889-0.0571571j -0.00359301-0.0402341j -0.00900992+0.0202304j -0.00461922+0.0416023j 0.0514422-0.00223094j 0.00885478+0.0908913j -0.0224711+0.0273811j 0.0291521-0.0639394j -0.00268713+0.145212j -0.0143384-0.048567j -0.0152386+0.0212088j -0.00585056+0.0315674j -0.0170787-0.0697732j -0.00484635-0.0166269j 0.0123224+0.0206695j -0.00868741-0.00456505j -0.00506735+0.0233035j 0.0153838-0.0539104j -0.00800879+0.0133736j -0.00405864+0.0295138j 0.0251052+0.0470576j 0.0105744+0.0726425j -0.0142451+0.0352498j -0.00710052-0.00505293j -0.0206781+0.00423962j -0.010248-0.00990446j 0.0474389-0.0260164j 0.0465957-0.052428j 0.0474638-0.00326689j 0.0943081+0.0266377j -0.00881098-0.00911011j 0.0361781-0.000409818j -0.0440341+0.00550627j 0.0146802-0.00405836j 0.0106327-0.0143867j 0.0136486-0.0412669j 0.00440957+0.00677441j -0.0531594+0.0187314j 0.0170973+0.00275279j 0.00751908+0.0182362j 0.000694391+0.0219795j 0.0315006+0.0329342j 0.00114919+0.0032831j -0.0248583-0.00743902j 0.0389764+0.0100419j -0.0124576-0.0273396j -0.00568778+0.00654821j 0.0416943-0.0219344j 0.0304899-0.0187134j -0.0384374-0.00608458j -0.0283592+0.0229671j 0.00960943-0.000861141j -0.0094734+0.0254382j -0.0105281+0.0212181j 0.00326746-0.00452783j -0.0142701+0.00240981j -0.0112663-0.000402383j 0.0011474+0.00882382j -0.00680572-0.00484421j 0.0112118-0.0103203j -0.0174025-0.0168213j -0.000487663-0.0197596j -0.0183525+0.000592284j -0.00171448+0.00726005j 0.0352065-0.00844682j 0.00421396+0.0343424j 0.0300969+0.0340857j -0.0111402-0.0360818j 0.0207601+0.00281222j 0.0243458-0.00543739j -0.0362144-0.0191662j 0.0134961+0.00258728j -0.0307843+0.019034j 0.03428+0.0500799j -0.134233+0.245257j 0.0269264+0.125433j -0.0493447-0.0400517j -0.0734299-0.0131345j 0.248899+0.0399859j 0.00931615-0.0762956j 
-0.0129916-0.0157503j -0.0155986+0.00724827j 0.00861253+0.0255975j -0.0195867+0.0613466j -0.00182787-0.00811806j -0.00662975-0.0827392j -0.00418499+0.0721663j -0.00580341+0.0282584j 0.00333422-0.0558383j -0.0191091-0.0409965j -0.0122986-0.0227613j -0.0266052-0.020986j -0.0082533+0.00668993j 0.0126916+0.0588597j -0.0165567-0.041759j 0.0318598-0.0281585j -0.0081821-0.0735141j 0.026647+0.0729263j -0.021849+0.0201509j -0.00290314+0.0903803j 0.00148277-0.131684j 0.00196004-0.0381432j 0.0066012+0.00399244j -0.000712402+0.0163795j 0.0777119-0.110797j -0.0140285-0.0438746j 0.00493807+0.011761j 0.00959175-0.0564175j 0.0284722-0.00673798j -0.00439178+0.00767089j -0.0440649+0.00687655j -0.00800007-0.0217109j 0.00334027+0.0310189j 0.00981938-0.0272396j 0.00498228-0.0157757j -0.00824565+0.00479265j -0.0187686-0.00321791j 0.0199871-0.0169739j 0.00315542-0.0474407j -0.0569929-0.014606j -0.0418615-0.0393167j -0.0140225+0.0283095j 0.0192014+0.030135j -0.0405954-0.00596455j 0.050447+0.00254934j 0.00815454+0.0192805j -0.0121876-0.0199705j -0.0325858-0.0169732j 0.038944-0.0158931j 0.0468575-0.0297448j -0.027182+0.0167469j -0.0293338-0.00831066j 0.0114378-0.00011002j -0.039163+0.00299119j 0.0370618-0.0131269j 0.00294485+0.00260894j -0.0390881+0.00964789j 0.0183395+0.00109125j 0.00282492-0.00055671j -0.0241133+0.0117597j -0.00462557+0.02986j 0.00280093+0.00908862j 0.000128398+0.0273568j -0.00745435-0.00464445j -0.0296642-0.00909683j -0.0103065-0.024269j -0.0166361+0.00123928j -0.0027079-0.0267301j 0.00326477+0.0160556j -0.0197663-0.00968822j 0.00398397+0.00896638j -0.0079251-0.00493959j -0.0113936+0.00761502j -0.00787963+0.00871533j -0.0259654-0.0311936j 0.0138194+0.00488989j 0.00739962-0.0170038j 0.0443012+0.00841691j 0.000634572+0.00234236j 0.01136-0.00866434j 0.0122693-0.0482825j -0.0642903+0.0022016j 0.0352315+0.00390839j -0.002409+0.0350835j 0.0490925+0.00240187j -0.0176044-0.0485601j -0.0507106+0.0765321j 0.028222+0.0025264j -0.0521387-0.00424406j -0.0309089-0.121355j -0.0854364+0.2559j 0.0518437-0.0130247j -0.0340826-0.0214535j 0.0320254-0.0638415j -0.253173-0.0436291j 
0.0023134-0.00860787j 0.00749569+0.00221951j 0.00860237+0.0191868j -0.010534+0.0214296j 0.00327836-0.0267263j -0.0135101-0.0466204j -0.0132369-0.0041638j 0.000831278+0.0269672j 0.0127034-0.0697499j -0.0417657-0.011501j 0.0369199-0.0142855j 0.0098484+0.00189737j 0.0743297-0.0171626j -0.00228968+0.0304897j 0.00542761-0.0405877j 0.0160218+0.00995114j 0.00400259-0.00063184j -0.00342892-0.0244218j -0.0115487-0.00930736j -0.020381-0.00192971j 0.00156006+0.0229102j 0.0314903+0.00940889j -0.00780096-0.0256373j 0.0131962-0.00798891j 0.0314228+0.0418761j 0.00382432+0.0304065j 0.000297818-0.0137762j -0.00214909-0.0274616j 0.037307-0.0176062j -0.000621561+0.00513071j 0.0147083-0.0124385j -0.00434519-0.0209391j -0.0119145-0.0320278j 0.00996261+0.0246042j -0.00264792+0.0118045j -0.0323743+0.00120874j 0.0370614+0.0231096j -0.0109185-0.00198303j 0.0297833-0.00195396j -0.00122787-0.0256115j 0.000846939-0.0322739j -0.011627+0.0088631j -0.0131797-0.0130745j 0.0402987+0.00885312j 0.00683466-0.00328409j 0.0062022+0.0153537j -0.00266564+0.00939293j 0.000412353+0.00124636j -0.00957+0.0172154j -0.025055+0.0097979j 0.0187574-0.00765947j -0.0398842+0.00642662j -0.027709-0.00250337j -0.0295699-0.00430978j 0.0015498-0.00190252j -0.00898167-0.0293916j 0.0185737-0.0369084j 0.00991297+0.0131304j -0.0101366-0.0314901j 0.00905615-0.0175094j -0.0371055-0.00680395j -0.0138933-0.00721444j -0.0073035+0.000190263j 0.0158615-0.00990371j 0.0247012+0.00810498j -0.008084+0.0273925j 0.00697882+0.000925385j 0.0147257-0.012593j -0.0109721-0.00326028j 0.0127751+0.0254554j -0.0245476+0.009491j -0.00621385-0.0347154j 0.0264719+0.0365371j -0.0286855-0.0156867j -0.00781129-0.0122178j -0.0178628-0.00181757j -0.00113413+0.023174j 0.010887-0.0149155j -0.0306086+0.0173827j -0.0157269-0.00714718j 0.0539545+0.0336206j -0.00834696+0.00535313j -0.0309224-0.030564j -0.027619-0.0182656j 0.00229026-0.00813112j 0.0333213+0.0205424j 0.00981088-0.0155245j -0.013918-0.0315084j 0.0290432-0.0322709j -0.0339808+0.110987j 0.052767-0.0154527j -0.0257399-0.0176128j -0.00501468-0.0145025j 0.0807843+0.017219j 0.0651095-0.00767297j 
-0.00828692+0.0377167j 0.00763184+0.0234181j -0.0205514+0.0017536j -0.000297735+0.0869527j -0.0101803-0.0462622j -0.00298512-0.0309845j -0.00590714+0.00905314j -0.000673979+0.083477j 0.00713311+0.0928482j -0.00924419-0.0122919j -0.00550072-0.0140622j -0.00766716+0.0390609j -0.0139081+0.0619653j -0.00738371+0.0583421j 0.00790072-0.0679903j 0.00526756+0.120601j -0.000362662+0.15955j -0.00568528+0.306237j -0.00902457+0.0221325j 0.00128047+0.0958431j 0.00536691-0.114757j -0.0124422-0.0267896j 0.00849567+0.0121752j -0.023563-0.0256505j -0.0165455-0.0798087j -0.00109886+0.00489496j -0.00469316-0.0305045j -0.0180613+0.0820299j -0.0272803-0.0427205j -0.000623642+0.00452066j -0.00913527+0.0291508j 0.0074209-0.0631828j 0.0293198-0.055146j -0.0118927+0.0176901j -0.00908357-0.115512j 0.039773-0.0551131j 0.0201814+0.0151822j -0.0117629-0.0665028j 0.0191902+0.0435031j -0.0104661-0.0398745j -0.025672+0.0494739j -0.0385255+0.0475341j 0.0112543-0.0663471j 0.0251526-0.0184133j -0.000989957-0.112325j -0.0327302+0.0357954j 0.0264588+0.0246111j -0.015404-0.00896186j -0.0223361-0.0107502j -0.00770113+0.0245479j 0.0327192+0.01299j 0.00080439+0.00183727j -0.0432983-0.0687101j 0.00539661-0.0512556j -0.0223778-0.0879675j 0.0395527-0.00789037j 0.0297451-0.0895678j 0.01525-0.00369327j 0.0129503-0.0283856j 0.000140297-0.011999j 0.0160584-0.0149744j 0.0115173-0.041933j 0.0207515+0.0284593j -0.0140383+0.057777j 0.0223208+0.028379j 0.00386092-0.0200071j -0.00817923-0.0271918j -0.00240023+0.0254462j -0.00612869-0.0132171j -0.0267564+0.0118376j 0.0130459-0.0131204j -0.000416487+0.0149821j -0.0151224+0.0488471j -0.00804921+0.0123622j 0.00206968-0.0236977j 0.0424833-0.0206999j -0.0243968+0.0522674j 0.110818+0.0214248j -0.00776014-0.0538631j -0.026132-0.0940548j 0.0738343+0.00116932j -0.0405955-0.0169135j -0.0642694-0.000601506j -0.0119914-0.024199j -0.0258047-0.0189422j -0.00318609+0.0187906j 0.0197191+0.180541j 0.140007-0.0369817j 0.0250597-0.0801885j -0.00280073+0.0785887j 0.0327311-0.00938173j -0.000891552+0.0188095j -0.0195282+0.0210987j 0.077666+0.00708262j 0.060779+0.0116913j 
0.00750599+0.011396j 0.00109328-0.0235604j 0.00350597-0.0248315j -0.00631113+0.0396081j -0.00224755+0.0990176j -0.0111177+0.0199887j 0.0104138+0.091534j -0.00293563-0.0522266j 0.00107533+0.133793j -0.0044525-0.097688j 0.0129175-0.0322454j 0.00270208-0.0892296j 0.0355747+0.039812j -0.00535957-0.00335823j 0.0173722+0.0290313j -0.0133556-0.0783317j -0.0109737-0.0896313j 0.0168078+0.0293953j -0.00225808+0.332335j 0.0111755+0.082025j -0.0091458+0.20519j 0.0212531-0.0910277j 0.0158032-0.0580951j -0.0235729+0.0387267j -0.00541708-0.00202289j -0.00106705-0.0897617j 0.0138461+0.0247282j -0.0105618+0.00286389j -0.00592275-0.0617185j -0.00720171+0.000401488j -0.0176928-0.0700518j -0.00202335+0.0144422j 0.00864989+0.0227868j -0.00315637-0.0257483j 0.0299387-0.00959009j -0.000783871+0.0363149j -0.00525129-0.00133315j 0.00799647+0.000641926j 0.00296044+0.0389027j 0.0447324-0.0698189j 0.00693086-0.0563453j -0.0160181-0.0539595j 0.00379742-0.0345845j 0.0128145-0.0386997j -0.00143929-0.0653852j -0.00636772+0.00679656j -0.021578+0.0177192j 0.0213324-0.0268587j -0.00823877-0.033061j -0.0176579-0.0068134j 0.000919822+0.0135194j -0.0136061+0.00430987j 0.00155763-0.0581551j 0.0270252-0.0735185j 0.00622015-0.012386j -0.00772753+0.0508636j 0.0166557-0.0210658j -0.0205812+0.0372388j -0.00200289+0.0516397j -0.0032231-0.0419592j -0.00825821+0.0541242j 0.00526792+0.0284705j -0.00792936+0.0269285j -0.0160878-0.0221083j 0.00123792+0.00756074j 0.0161701-0.00804555j 0.020039+0.00238861j -0.0175146-0.00985452j 0.0110991+0.0245577j -0.0359063-0.058962j 0.0154201+0.0171653j 0.00379713+0.00421427j -0.0287331-0.0249448j 0.0312598-0.00323975j 0.00603591-0.05046j 0.0198201+0.00472619j -0.05498-0.0226375j 0.0096307+0.0663226j 0.00369501+0.0665321j 0.0796783-0.0343408j 0.0331224+0.0327857j -0.0167637-0.0493247j -0.0248274-0.0651712j 0.0130215-0.0118655j 0.0623184-0.00136883j 0.00481745-0.019467j -0.119241+0.00990145j 0.0221901+0.13522j 0.0339994-0.0373243j 0.0548981-0.0258008j -0.00781799-0.0437627j 0.00408727+0.013004j 0.0215875-0.00301873j -0.0592754-0.0111916j 0.0397943-0.00188221j 
0.000749062+0.0136297j -0.00575037-0.00507352j 0.00330895+0.0407182j -0.0108993-0.101394j -0.00986311-0.168342j -0.0126936+0.394932j 0.0013429-0.19444j -0.0160008+0.0929341j -0.00175671+0.0211984j -0.0145595+0.126738j 0.0121855-0.0574981j 0.000867242+0.161041j 0.01482+0.0589016j -0.00742753-0.0509251j 0.00863418+0.0306907j -0.00209018-0.00863544j -0.00550937+0.10748j 0.0151941+0.140666j -0.00677289-0.044643j -0.00360487-0.0236189j -0.00717883+0.201589j 0.0055328+0.0226335j -0.0105217+0.0151071j -0.0136157+0.0215791j -0.00625629-0.0109191j -0.0181517-0.0074643j -0.0139544+0.0126196j -0.0125711+0.0437918j -0.0360493+0.010208j -0.000961792-0.00963647j -0.00911505+0.00575034j 0.00224184-0.0226037j 0.0234204-0.00978165j 0.0290364+0.0200276j -0.0221327-0.0120964j 0.0248375-0.0212749j -0.0164405-0.0205869j 0.0332543-0.0147921j -0.00209006-0.00683867j 0.0239824+0.0671233j -0.00313892+0.0259682j 0.00184537-0.0110107j 0.00196933-0.0205465j 0.0105596+0.0301886j 0.0130492+0.029989j 0.0173593-0.0149399j -0.0265476-0.00933625j -0.000433833+0.0112705j -0.00186628-0.0158602j -0.0155731+0.0226058j 0.0123734-0.0053688j 0.0195666-0.00979278j 0.0540344-0.0186753j -0.00296773+0.021176j 0.0192594+0.0445294j 0.0446716+0.0213808j 0.0325774-0.000382634j 0.0359952+0.0332793j 0.00755613-0.00284156j -0.00494011-0.00420343j 0.0317872-0.0455359j 0.0125888+0.00596947j 0.00878177+0.0036188j -0.0220295+0.0349887j -0.0130966-0.0186632j -0.00467816+0.000815876j -0.00806224-0.0114832j -0.0144509+0.0365092j -0.00869539-0.0275273j -0.00285321+0.0035217j -0.0163641-0.0297899j 0.0122803+0.0161436j -0.0291745-0.00734949j 0.0170589+0.00119285j -0.00682576+0.00775856j -0.0119692-0.0163258j -0.00657107-0.0119442j -0.0186823+0.0187644j 0.0195606-0.0381051j 0.0310919-0.0334906j -0.100776+0.00963529j -0.019906-0.0168015j 0.067301+0.0470662j 0.026317-0.00413548j -0.0441691-0.0133587j -0.0562548-0.0266928j 0.0612191+0.0353626j 0.0522643+0.0135915j 0.0349791+0.11374j 0.000576758-0.0135594j 0.00819537+0.0157469j 0.00275237-0.0183474j -0.0186049+0.00492594j -0.0146777+0.00103008j -0.0387082+0.0117345j 
0.0185863-0.0308174j -0.00140892-0.0132294j 0.00805652-0.151577j -0.00574603-0.102719j -0.0121234+0.248172j -0.000605481+0.18956j 0.00848715-0.0797213j -0.00333244-0.14425j -0.000112448+0.255391j 0.0276516+0.0451207j -0.0151166+0.0338227j 0.00746143-0.124656j -0.0332672+0.0110681j -0.0111559-0.106523j 0.00640781+0.122178j -0.00247421-0.0193609j 0.0148319-0.0184902j -0.00203606+0.0373551j 0.00791243+0.0793687j -0.00936554+0.0434007j -0.0151099+0.00155185j 0.0316102-0.0540945j -0.0453859+0.0359603j 0.0132942+0.0245194j 0.0141436+0.00681509j 0.00650781-0.0388959j 0.000973939-0.0265559j 0.0242808-0.00323377j 0.0509327-0.00692182j -0.0099475-0.0305949j -0.0315216-0.0390066j -0.00812746+0.000587785j -0.0423278+0.05057j 0.0100792-0.0294614j -0.0070423+0.00799046j -0.00801928+0.0339221j 0.0190955-0.0267255j 0.0444955-0.00143222j -7.18657e-05+0.031253j -0.00524011-0.00496287j 0.0173033+0.0165615j -0.00313751-0.0506217j 0.00349632-0.030504j 0.0109185+0.0058089j -0.0164757+0.0421037j 0.00398978-0.0145358j -0.00948568+0.00308871j 0.00852745-0.0185144j 0.034637-0.02853j 0.019843+0.00838243j -0.022373-0.0062445j -0.00156536+0.0184086j 0.0102581-0.0386721j 0.0317374-0.0288928j 0.00999805-0.00121261j 0.00612004+0.0287663j 0.00619657-0.013201j -0.00485232+0.0164621j -0.00612254+0.0349856j -0.00550563-0.00405674j 0.00127926-0.00649723j 0.00553651+0.000103281j 0.000946407+0.00524627j 0.018972-0.00550437j -0.00147915+0.0175711j 0.00135372-0.0216051j 0.00761345+0.00537137j 0.0210191+0.0208176j 0.00137534-0.000262825j 0.000791923-0.0265322j 0.0137377-0.0102927j 0.00336973+0.0367529j -0.0171065-0.0401436j 0.0500972+0.00014593j 0.0314381+0.0169854j 0.00749209+0.00971884j -0.0349455+0.012501j -0.00371114+0.0276399j -0.00338901+0.0185149j 0.0139214+0.0120288j 0.00309089+0.025281j -0.00188339-0.0175327j -0.0121243-0.0290683j 0.0163837-0.00521144j 0.00681426+0.0060459j -0.0100452+0.00933722j -0.0296154+0.0126936j -0.00431713+0.044886j 0.0658713+0.0157778j 0.03347+0.080607j 0.0562372-0.0393897j -0.00334861-0.0138461j -0.0214931+0.00255317j 0.0279004-0.0124419j 0.0430885+0.00788603j 
