0.00646317-0.00284365j 0.000822851-0.0159303j -0.00396577-0.000290107j 0.00368781-0.0138585j 0.000743923+0.00313398j -0.00200554+0.00124677j -0.000728778+0.000761627j -0.00114398+0.00326049j -0.00183485+0.00424544j 0.00247465-0.0112893j 0.00203658+0.00737482j 0.00252642-0.000600368j 0.000873888+0.00623484j 0.00135591+0.00164453j -0.00228184+0.0012422j 0.00287282+0.00166259j -0.00266961-0.00639236j -0.00017201+0.00617357j -0.000693445+0.00426j -0.000710137-0.00578026j -0.000605451-0.00215588j 0.000256554+0.00153579j -0.00233299-0.00696598j 0.000854126-0.00411449j -0.00297631-0.00655932j -0.000621182+0.0027428j 0.000406003-0.00565141j -0.000339101+0.00487995j -0.000784619+0.00846315j -0.00139205+0.00639516j 0.000806747-0.00135334j 0.000393381-0.00482477j -0.00299482+0.0187054j -0.00214184+0.00862289j -0.00341867-0.00268211j -0.000673264+0.018852j -0.000476751-0.0128717j 0.000343715+0.00501065j 0.000588605+0.01879j 0.00264801-0.00251517j 0.000550039+0.00573477j -0.00234915-0.0107582j 0.000610521+0.00708589j -0.000484995+0.00971345j 0.00175771-0.00368976j 0.000133998+0.00503175j -0.00112206+0.0110846j 0.00259401+0.0157269j -9.08255e-05-0.00424999j 7.98807e-05-0.00346556j 0.000203273-0.00268089j -0.000609325-0.0124623j 7.41447e-05+0.00229012j -0.00136812-0.00146666j 0.00229323-0.0242212j -0.00392599-0.0161181j 0.00161497-0.000351001j 0.00351923+0.00159955j -0.00217353-0.00191661j 7.75503e-05+0.00303721j -0.00044388+0.00131329j -0.00119721-0.000939014j 0.00149052+0.00430187j 0.00604581+0.00152245j 0.00225356+0.0160006j 0.00115509-0.0144999j 0.0307721-0.00861998j 0.00482318+0.0217482j 0.0272218+0.012906j -0.00886576+0.305264j 
0.000195761-0.0160268j -0.00657534+0.00539676j -0.00300564+0.00463652j -0.00313231+0.0011061j 0.00229057+0.000558824j 0.00112066+0.00293779j 0.0026854-0.000162174j 0.000521366+0.00513388j 0.000693831+0.00181678j 0.00021864-0.00105319j 0.00267759+9.10719e-05j -0.00131613-0.00527408j -3.40017e-05-0.00394296j -0.000693425-0.0014827j 0.00196688+0.00297103j 0.00128734-0.000444263j -0.00122454-0.000827388j 0.000764486-0.00626596j -0.000463896+0.00217704j -0.000750678-0.00344064j -0.00286217-0.00540996j 0.000641548-0.00752701j -0.000917206+0.00309775j -0.000800841-0.00732941j -0.000723289+0.0102465j -0.000184689-0.00656949j -0.00261809-0.00335728j 0.00111513+0.000576428j 0.00131627+0.00289744j 0.00410567+0.00596616j 0.000695321-0.00200376j -0.00253439-0.00234j 0.00247247+0.0063517j 0.00152939+0.0081982j 0.00211912-0.00106342j 7.53274e-05-0.00261492j -0.00110004+0.00101652j 0.000729712+0.00756577j 0.00151981-0.00174313j -0.000590633+0.00164074j -0.000794061-0.00825866j 0.00106231+0.011853j -0.000951736+0.00222868j 2.25022e-06+0.0125125j -0.000322877-0.00969264j -3.17578e-05-0.000167868j 0.00275761+0.00495393j 0.00296553-0.0139729j 0.0022406-0.00100516j 6.78887e-05-0.00791016j -0.00161366+0.00114195j -3.73511e-05+0.000288086j 0.000255809+0.00442663j 0.00269487-0.00531597j -0.00347874-0.0124181j -0.00612353+0.011076j 0.00320783-0.0178669j 0.000322296+0.0093076j 0.00238918-0.010752j -0.000253867+0.00712238j 0.000340073+0.00365956j 0.000426537-0.00262419j -0.000460191+0.0195972j 0.00331519+0.00954591j 0.00616677+0.0113233j 0.0191279+0.0216541j -0.00468854-0.028792j 0.0257736-0.0236282j 0.00893997-0.307028j 0.0270262+0.0127019j 
0.00319521+0.00792453j 0.00257227-0.0101605j 0.00109638+0.000800328j -0.00174739+0.00716397j -0.00103634-0.0159531j 0.00272895+0.000984087j 0.0025376-0.0032681j -0.00177518-0.0048557j -0.00183039+0.00611521j -0.00296916+0.0114379j -0.000358258-0.0380051j 0.00417952+0.0200619j -0.00394905-0.0164264j 0.00159502+0.00186027j -0.00070633-0.00402352j -0.00480029+0.0337236j 0.00542769-0.00485699j 0.00365025+0.0113945j -0.00223683-0.00115998j -0.00109546-2.50321e-05j -0.00105476+0.0261241j -0.000638869+0.00409449j -0.000848992-0.00715245j 0.00245178-0.00251622j 0.000503924-0.0185359j 0.00154573+0.00537528j -0.00443734+0.00803666j -0.00149496-0.00445321j -0.000886803+0.0223588j -0.00128104+0.0239994j -0.00290348+0.0107289j 0.00224223+0.00535917j 0.00186978+0.00492757j 0.000771464+0.0137035j 0.00177394+0.00585487j 0.00312833+0.013669j -0.0016373-0.00322141j 0.0022633+0.0110494j -0.00333945-0.017248j -0.00728485-0.00418799j 0.000414985-0.0171388j -0.00533626+0.00437459j 0.00101436+0.00831902j -0.00251199+0.00289607j 0.00142937+0.00622518j 0.0020368-0.00685635j -0.00189115-0.0305168j 0.0025481-0.0412743j -0.00300657-0.0204573j 0.00149204-0.00660534j -0.00247485+0.0023262j 0.00177518-0.00257952j -0.004896-0.00302553j 0.00220674+0.0123356j 0.0023116+0.010974j -0.000594199-0.024388j 0.0172238-0.0363627j 0.0046573-0.0169608j 0.00909342-0.0452171j -0.0030511+0.0154124j -0.002462-0.00646995j 0.000543632-0.00148471j -0.0110699-0.0017519j -0.00548354-0.0462365j 0.0104932+0.0439233j -0.010536-0.0364644j -0.00803344+0.146092j 0.00402275-0.149316j 0.0140528-0.0404432j 0.00141172+0.090281j 
-0.00123634+0.0158828j 0.00347191+0.000906678j -0.00160864+0.0133221j 0.00027122-0.00454029j 0.0018403-0.0164375j 0.00327221+0.0147361j -0.000661957-0.00754602j -0.00269829+0.00251835j -0.00056606-0.00653093j 0.00579208+0.00196589j 0.00146367-0.000681821j 0.00167662-0.0112683j -0.00188559-0.0126489j 0.000785999-0.0173675j 5.0168e-05+0.00214967j -0.00512587+0.00620088j 0.00184143-0.00476008j -0.000478483+0.0196704j 0.00126231-0.00124435j 0.000487481-0.00808257j -0.000873223+0.0151909j 0.000428073+0.0100868j 7.43197e-05+0.00397617j -0.00339007+0.00216491j -0.000111484-0.0145254j -0.000574651+0.0173252j 0.000462913-0.00200023j 0.00247341-0.00242651j -0.0034018+0.0059105j 0.00151249+0.0147349j -0.00390226+0.0079753j 0.000730751+0.00600437j -0.00359518+0.000366346j 0.000386409-0.00495706j -8.40422e-05+0.00452411j -0.00157689-0.0055999j 0.0033036-0.00423284j 0.00127442-0.00526002j -0.00983718-0.0105221j -0.00267293-0.00352054j -0.00183671+0.0141596j 0.00409891+0.0106779j -0.000780198-0.00210227j -0.00143013+0.0196125j 0.00263121-0.0219393j 0.000100311-0.000615415j -6.99984e-05+0.0179623j 0.000292583-0.0275063j 0.00573214-0.000412489j 0.00216031-0.00121457j -0.00133214+0.0080806j 0.00140777+0.01697j 9.02898e-05+0.0091221j 0.00977888-0.00908111j 0.00158318-0.0153925j -0.00117574+0.00603747j 0.0120428-0.00906811j -0.014737-0.0576929j 0.00824205-0.0511214j -0.00381347+0.0165285j 0.000629465-0.00567584j -0.00169872-0.00918471j -0.0138204+0.00932208j 0.0119337-0.00348357j -0.0131709+0.0384003j 0.0134932-0.0729814j 0.000612235-0.183732j 0.00389114-0.13686j 0.00119405+0.105138j -0.0135955+0.0318839j 
0.00010224+0.00202973j 0.000607318+0.00064715j -0.00185519+0.00687811j -0.00248897-0.0189909j -0.00244968+0.0240266j 0.000325759-0.0167443j -0.00363639+0.00926755j -0.00241528+0.00317449j -0.00152991-0.00434084j 0.00102408-0.0165257j 0.000706491+0.0498321j -0.0059146-0.0150562j 0.000598961+0.0151048j -0.00292837+0.00324164j -0.00422416+0.00181894j 0.00608781-0.0301431j -0.0039367+0.0103121j -0.00230458-0.017467j 0.00123415+0.00013333j 0.00209636-0.00431166j 0.00110619-0.0500529j -0.00207091+0.000352602j -0.00162082-0.00369168j 0.00230019-0.000300976j -0.000839423+0.0223849j -0.000973634-0.0168588j 0.00557315-0.0243974j 0.00104349-0.00427604j 0.00318663-0.0288367j 0.00145317+0.00667285j -0.00108716-0.00935318j -0.00200741+0.00584248j -0.00248842-0.00669807j 0.00212155+0.0137184j 0.000605191+0.0110622j 0.0013915+0.0258159j 0.000492452-0.00556079j -0.00649145-0.0021553j -0.00162818+0.0176453j 0.00196603+0.0149414j -0.000511776+0.0342642j -0.00588972+0.00140017j -0.0026437+0.014092j -0.00352109+0.0153028j -0.000208518-0.00526258j -0.00712973+0.00835565j -0.00308678+0.00163318j -0.00859041+0.0330305j 0.0020599-0.0136819j 0.00487924+0.0133516j -0.00161788+0.0113859j 0.000675291-0.0283044j -0.00122633-0.0153963j 0.00239483-0.0230348j 0.0166039-0.0255187j -0.00784311-0.0309588j -0.00616486+0.0290218j -0.00326709-0.0456157j -0.00133999+0.0471131j 0.00121949-0.0211454j -0.00123093+0.00448992j 0.00253974+0.00308482j -0.00673112-0.0410397j -0.0157473+0.0333247j 0.007681-0.149949j -0.00247806-0.0592139j -0.0156132+0.0709528j 0.00172724-0.123754j 0.00236239-0.013137j 0.00104202+0.0173483j 
0.000287031+0.00926596j 0.00232149+0.00124776j 0.00211835+0.0183586j -0.00336691+0.011736j 0.000908313+0.00456953j -0.000235499+0.0386469j 0.00389784-0.0251623j -0.000640661+0.0283301j -0.000495636-0.00334278j 0.000673237-0.0165836j 0.00180137+0.0290388j -0.00104232-0.0178444j 0.00268609-0.0141529j 0.00126359-0.0428334j -0.00161256+0.00146539j -0.00418541-0.01683j -0.000630147-0.0186284j 0.005139+0.0283683j 0.00195465+0.0155816j -0.00133649-0.0345258j -0.00261223+0.0020225j 0.00412432+0.00981307j 0.00177899+0.00190883j -0.00172065-0.00622526j 0.00140441+0.0013687j -0.000905272+0.0101603j 0.00414927-0.00966349j 0.00466553-0.00325858j -0.00123034-0.0125819j -0.00146895-0.00687822j -0.000465856+0.0013562j 0.00379852+0.0287837j 0.00294731-0.0191757j -0.00350605+0.00151231j -0.0047677-0.0128777j 0.00978299+0.00361002j 0.00158034+0.0207164j -0.000590188+0.0103284j 0.0017695-0.025164j -0.000967647-0.00309637j -0.00193587-0.00426746j -0.00264658-0.000917006j 0.00140522-0.00776254j 0.00321186-0.0186719j -0.00217904-0.00376326j 0.00389252+0.0122953j 0.00277995+0.00382627j 0.001325-0.00293659j 0.00736804+0.0366077j -0.00321517+0.0115262j 0.000905697-0.0256446j -0.00256219+0.00983276j 0.00607555+0.0153631j -0.00973409-0.0266716j 0.00299347-0.0014048j -0.00756732+0.0336219j -0.00139747+0.060734j 0.00204432-0.0152173j 0.00607249+0.0355296j 7.46118e-05-0.01009j -0.000600622-0.0131634j 0.00493928+0.00617137j -0.00382463-0.0510973j 0.000147201+0.0778188j -0.0055057+0.145893j -0.0144824-0.0370222j -0.00115352+0.0975662j -0.00511063-0.00265248j 0.00447247-0.0157543j -0.000594912+0.0197365j 
0.00174167+0.0051619j 0.00104653+0.00108255j 0.000174328+0.0170363j 0.000688185+0.0159842j -0.0014106-0.0314499j 0.00433341+0.0114055j 0.00232299-0.000796799j 0.00103224+0.042847j 0.000384482-0.0245101j 0.000768766+0.0230043j -0.00334104+0.0258226j 0.000928344-0.0173422j -0.00429825-0.0317432j 0.0013028-0.0174378j -0.00104095+0.00542837j -0.000810368+0.00471429j 0.00109355-0.00179503j 0.00419858+0.0199138j -1.45471e-05-0.000246031j 0.00359111-0.0249992j -0.00128978+0.00101752j 0.00462164+0.032859j 0.000885978-0.00805668j 0.00399809+0.0072139j 0.00189451-0.00162409j 0.00406717+0.00936456j 0.00203841-0.018825j 0.0039988-0.0152919j 0.00386604+0.00740517j 0.00263362+0.0126417j 0.000631729+0.027047j 0.00392401+0.0196998j 0.000120583-0.0292307j -0.00401426-0.0150625j 0.00280148-0.00360165j -0.00577135-0.041024j -0.000987302+0.00738973j -0.00680048+0.0104389j -0.00174718-0.034349j -0.000360164-0.0308083j 0.00180176+0.0126008j -0.00019601+0.0175208j -0.0021126-0.0223036j 0.00376525-0.0197452j -0.00305922+0.00789414j 0.000854775+0.00798439j 0.000664253+0.0163487j -0.00308552+0.00645j 0.000460662+0.024092j 0.00116749+0.0149483j 0.00762045-0.0144017j 0.0028398+0.021875j 0.000357001+0.00658502j -0.00982654+0.00917989j 0.00308779-0.0129238j 0.00178661+0.0123984j -0.00443703+0.0572322j -0.0036402-0.00398962j -0.00697857+7.52577e-05j 0.00277095-0.0102569j -0.00163625-0.00668509j 0.00173076+0.00653473j 0.00636244+0.000817225j 0.00135585-0.115062j 0.0191104-0.0781372j -0.00490153+0.147488j -0.00601951+0.0482082j 0.004089-0.0849548j 0.00660076-0.0136009j 0.00230016+0.0351086j 
0.00142308-0.00109665j -0.00258799-0.000830338j 0.00206966+0.0162509j -0.00122022+0.0201662j -0.00146363-0.0254816j 0.00298203+0.0204437j 0.00218724-0.00864649j -0.00205591+0.0160925j 0.0014784-0.00214257j 0.0023818+0.0165892j -0.00265982-0.0159038j 0.0092617-0.0120875j -0.00259074-0.0344259j 0.00245987-0.0358956j 0.00603104+0.016433j 0.000536478+0.0318926j 0.00362172-0.0209641j 0.000356051+0.0233849j 0.00256006+0.0012275j 0.00241127-0.0134099j 0.00155521+0.023789j 0.00485942+0.0238355j 0.00110577+0.00719773j -0.00423436-0.015375j -0.00460299+0.0027561j -0.00054007+0.0212969j 0.00112798-0.00201524j 0.00335196-0.0078815j -0.00451696-0.00295465j 0.00337012+0.00636053j -0.00291227+0.024159j 0.00061523+0.00461576j 0.00575666-0.00864593j 0.00656319-0.0205746j -5.891e-05+0.0328298j 0.00602303+0.00168039j -0.000839911-0.0173937j -0.000749954-0.0402774j -0.00238665-0.0277566j -0.00338228-0.0348338j -0.00630461+0.0961218j 0.00121785-0.0264194j 0.00626964-0.00767087j 0.00317201-0.00122716j 0.00297675-0.0272238j 0.000555858+0.0162903j -0.00842109-0.00081849j -0.003431-0.0239599j -0.000742139-0.0228706j -0.00280156+0.0403368j 0.00587454-0.00292585j -0.00492002-0.0172522j 0.000229512-0.0148252j 0.00915078-0.00888937j -0.00920754+0.0286965j -0.00129018+0.0296301j -0.00127364-0.0733947j -0.000220192-0.0157311j -0.00308254+0.0397027j 0.00236077-0.0108061j 0.00220711+0.00975986j -0.00383136+0.0247964j -0.00266101-0.019534j -0.00384028-0.0608149j 0.000203961-0.0515285j 0.00600275-0.10707j 0.00584331+0.0207314j -0.00386546+0.139209j -0.00467257-0.0431123j 0.00687127-0.0239525j 
3.25973e-06-0.00392608j -0.000803998+0.00258739j -0.000201754-0.00303883j 0.00384937-0.00343119j -0.000643297+0.0042739j -0.000626373+0.00517468j 0.000887376+0.00347395j 0.00099065+0.0269402j 0.00201441-0.00887009j -0.000489195-0.00339728j -0.00144857+0.0395781j 0.00037023-0.0192022j -0.00210771+0.0220237j -0.0015009-0.00686133j -0.000168429-0.00956345j -0.000283095-0.024217j -0.00597891-0.00764606j 0.00221572-0.000175452j -0.00128362-0.0050624j 0.0027777-0.0148909j -0.00281421-0.0331935j 0.00186408-0.0146391j -0.00255191+0.011887j -0.000706453+0.00419136j 0.00265991+0.00814636j -0.00214911-0.0214334j -0.000932955-0.0134035j 0.00352748-0.0020695j 0.000887728-0.00632837j 0.000696883-0.00560977j 0.00459581-0.00953635j -0.000511439-0.028029j -0.00335236+0.0431261j 0.00255161+0.0277449j 0.000728401-0.0197684j -0.0122428-0.000444063j 0.000666647-0.00270971j -0.00140878+0.00258202j -0.00202538-0.00610089j 0.00263963-0.01646j 0.00238703+0.0233326j 0.00459938-0.00283368j -0.00274927-0.0194795j -0.00151767-0.013485j 0.000996228-0.0524098j 0.0021156+0.0247394j -0.00452123+0.00593487j 0.00468443-0.0431464j 0.00687286+0.0220689j 0.00307766-0.0108725j 0.000539373-0.0569623j 0.0028856+0.0280464j 0.00359852+0.0354893j 0.00766392-0.011104j -0.00582342-0.0603219j -0.000859682+0.0174466j 0.00403722-0.0626128j 0.0146748+0.0697598j 0.00628818-0.0758794j -0.00172659+0.0292122j 0.00323753+0.0217728j -0.00122003-0.032112j -0.00171679+0.0922432j -0.002859+0.0387834j -0.00136675-0.036572j 0.00333188+0.0189376j 0.0012356-0.0418275j 0.0038691-0.0204617j -0.00227355+0.0310376j -0.00202877-0.00992246j 
0.000948823-0.00637126j -0.00105014-0.00218934j -0.00231051-0.00538235j -0.000932615-0.0110063j -0.00151931+0.00428205j 0.00031037-0.0204694j -0.000163854+0.0195064j 0.000595246-0.00203514j -0.00225332-0.0100557j 0.00496925-0.00394267j -0.00482016-0.00250148j -0.00570092+0.00377361j -0.00111722+0.00310692j -0.00215561+0.0312743j 1.17403e-05-0.0216971j -0.00108815-0.0168236j 0.000693781+0.0226054j 0.00267945-0.0291218j 0.00175649-0.0074539j 0.000674362+0.0229983j 0.00349079-0.0218727j -0.00198328-0.00331665j 0.00259758-0.0206377j -0.00348074+0.0291734j -0.00565709-0.0102119j 0.00402333+0.00207386j -0.00232303+0.0134719j -0.00126524-0.00385526j -0.00392987-0.017981j -0.00483719-0.0335703j 0.0075408-0.00526481j -0.00142562+0.0191008j 0.00499375+0.0045744j 0.00323986-0.0330916j 0.0039251-0.0126087j 0.0064936+0.0404318j 0.00383659-0.00571447j 0.00478881-0.0614376j -0.011641+0.0431154j -0.00152511-0.00279966j 0.00819527-0.00445915j 0.00773479-0.0634689j 0.00127176-0.0242745j 0.00376254-0.0450795j -0.00794285-0.0192012j 0.0103214-0.01564j 0.000857396-0.00992023j -0.0145187-0.0182167j -0.00129589+0.0321348j -0.000688892+0.00870222j -0.00642665-0.0126234j 0.00281365+0.0707008j -0.000834175-0.00244318j 0.00262853-0.0694742j -0.00598461+0.0627181j -0.00164844+0.115091j -0.00341187+0.0506262j -0.00212783+0.0314104j -0.00100412+0.0204432j 0.00324918-0.0170822j 0.00126079-0.0152086j -0.000854219+0.0127409j -0.0045039-0.00572685j 0.00248605-0.07829j 0.00987174-0.0200253j -0.00391457+0.0214259j -0.00490444+0.034366j 0.0014559-0.0308276j 0.00275933-0.0228614j 0.00382101+0.0174609j 
-0.000241101-0.00671376j 0.000480433+0.00121739j 0.000355272+0.0103694j -0.00127506-0.00631175j 0.000996464+0.0138372j -0.00124014-0.00129553j -0.00461051-0.00123574j 0.00173816-0.00121241j -0.00067942-0.00332828j 0.000454252-0.0376198j 0.00655413+0.0491947j -0.00389964-0.020844j -0.00579072+0.016854j 0.000994389-0.0220372j -0.00449342+0.0153496j -0.00242372-0.0427812j -0.00245972+0.00155351j -0.000182806+0.00326158j 0.00337545+0.00758274j 0.00358446-0.011778j -0.00708679-0.0266144j -0.00366809-0.00528949j -0.00227228+0.0127427j -0.000764291-0.000939801j -0.0057107-0.00381654j -0.00266091+0.00276362j 0.0019673-0.00650158j 0.00057187-0.00456845j 0.00225676-0.0101384j -0.0050383-0.0637874j 0.00251262+0.0370798j 0.00603214+0.042902j 0.00356611+0.0128944j 0.00424368-0.0452636j -0.00195873-0.0612907j 0.00571599+0.0443536j -0.00326656-0.0214195j 0.000504611+0.0615608j 0.00161203+0.0203031j -0.00212111-0.0288849j 0.000618285-0.0520017j -0.00500871-0.0247241j 0.00356284+0.0269241j 0.00617868+0.0293167j -0.000509792+0.0150995j 0.000897147+0.0174844j -0.00300638+0.013881j -0.00283042-0.00128657j -0.00148024-0.0341225j -0.00195186-0.0235747j -0.00647607+0.0127863j -0.00227341-0.0788882j 0.00212017+0.00137027j 0.00325115-0.0191413j -0.00203171+0.0137466j 0.0051672-0.0528041j 0.00984354-0.0165054j -0.000214251+0.0153847j -0.0017135-0.0102902j -0.000649971+0.0171001j -0.000419052-0.0146112j -0.00654319+0.0151566j -0.00597508+0.00369489j 0.00379043-0.0870778j -0.0031027+0.0735202j -7.70559e-05-0.0186684j 0.00492978+0.00747886j -0.00430258+0.0487249j -0.000453629-0.00469065j 0.000111577-0.0182901j 
