0.004806-0.0247454j 0.00269939-0.00528133j 0.000315801+0.00257309j -0.00263471+0.0374955j -0.00134599+0.00709986j -0.00122405+0.0139064j 0.000697328+0.00249898j 0.00156826+0.00136964j 0.00140199-0.00680376j 0.000465263-0.0141782j -0.0010723-0.0239861j -0.00044514-0.0104594j -0.00151442+0.0127705j 6.18257e-06+0.0183431j 0.00130221-0.00256637j 0.000603133-0.00751004j 0.000544394-0.00660082j -0.00127159+0.00751819j 0.000182505+0.00226421j -0.00107194+0.00798288j -6.63802e-05-0.0207394j 0.000466864+0.0307333j 0.00119693+0.0436903j -0.000635658+0.00515028j -0.000574899+0.0314249j -0.000747439+0.0561326j 0.000341366+0.00770454j -5.76683e-05-0.0218896j -0.000996198+0.00256727j 0.000954506-0.00165499j 0.00189068+0.0508673j -0.000194866-0.0155828j -0.000717661-0.00245867j 0.000134146+0.0222961j -0.00111806-0.0346339j 0.000784371+0.0404744j 0.000661194-0.0107127j -0.00065324+0.0319435j -0.000731975+0.00840488j 0.00108204+0.00879038j 0.00252595+0.0190926j 0.0032846-0.0281687j -0.00179765-0.00553891j -0.00232459-0.00611563j 0.00133787-0.000907975j 0.00335592+0.0224681j 0.00520694-0.0207646j -0.000462036+0.015011j -0.00849877+0.0412497j 0.00157162+0.17878j -0.0155387+0.0959504j -0.000922233-0.892126j 
-0.00270744+0.00502369j 0.00480295-0.035839j -0.00272903+0.022182j 8.28406e-05+0.0199073j 0.000531816+0.00504773j -0.00205771+0.00703222j -0.00146982-0.00441752j 0.000894116-0.0121689j 0.00049601-0.013864j 0.000635362+0.0027043j -0.000796207+0.00262926j 0.000820212+0.000904247j 0.000379783+0.00299874j 0.00102117+0.00388353j -0.000660011+0.0116325j -0.000858613-0.0171491j -0.000153565+0.0263802j 0.00108282-0.00623549j 0.000362691+0.0179758j 0.00107226-0.00183928j 0.00144769-0.00596374j -0.0010593-0.00432258j 0.00232471-0.00804542j -0.000326593-0.0147723j -0.00239112-0.0174348j -0.00294986+0.0271703j 0.00222654-0.00414402j 0.000379956+0.027122j -0.000441607-0.0147294j 0.000101846-0.00529585j -0.000302692-0.0271611j -6.86661e-05+0.00621182j -0.00054741+0.0102924j -0.000386114-0.0022618j -0.000343106-0.0381232j -0.00059835+0.00687824j 0.000167775+0.0598559j -0.00153835+0.000620221j -0.00052991-0.0157354j -0.000249225+0.0167707j -0.00190237+0.00129196j 0.000633968+0.0241618j 0.00194157-0.0117122j 0.000152302-0.00731103j 0.0013879+0.0329891j -0.00010576-0.0321567j -0.00426601-0.0111038j -0.00921815+0.00196064j -0.00159789-0.21527j -0.00595601+0.0839642j -0.000956537-0.883069j 0.0152661-0.0903265j 
0.000179377-0.00626265j -0.00442918+0.0202531j -0.00107871-0.00136594j -0.0019987+0.0455824j -0.00259691-0.00496212j -0.000385285+0.0511253j -0.000194645+0.0649147j -0.00128617+0.0602557j 0.00197487-0.0100797j -0.00308357-0.0276359j -0.00118911+0.00324075j -0.000538885+0.0287643j -0.000498531+0.0248756j -0.00033149-0.00797545j 3.37373e-05-0.013212j 0.000316352+0.0284739j -0.00103757-0.0063987j -0.000806489+0.0139313j -0.000883469-0.00671408j -0.000782505+0.0255951j 0.000381147+0.0261478j -0.00128026-0.0120122j -0.000141389+0.00964619j 0.00168789-0.019861j 0.00136767+0.00372033j -0.000771144+0.0364432j -0.00193407+0.0962486j -0.00191177-0.0147947j 0.000124431-0.00687622j -0.00114129-0.0293397j -0.00134435+0.00475468j 0.000114259-0.0886262j 0.00053462-0.00451279j 0.00213296+0.120696j -0.00122142-0.0974913j 0.00184802+0.096597j 0.000498858-0.115632j 0.00495596-0.0141661j 0.000887908-0.0295908j 0.00224265-0.0328485j -0.000567085+0.0560342j -0.0044959-0.0450327j -0.000533424+0.0259784j -0.00285501-0.0827995j -0.00449773+0.103657j 0.00635402+0.17219j -0.00682462-0.106689j 0.00313908+0.175475j -0.0113906+0.570684j 0.00445269+0.507176j 0.00128819-0.117538j -0.000756896+0.155521j 
-0.00409049+0.0312351j 3.24785e-05-0.0118543j 0.00106945-0.0368068j -0.00229681+0.00653213j -0.000245373+0.0250381j 0.00149113-0.00779585j -0.000396464+0.0108158j 0.00106744-0.0144705j 0.000658941+0.0264123j -0.000851507-0.00145608j 0.00146429+0.02933j 0.00351545-0.0327772j -0.000692482+0.00928554j -0.000473878-0.00137194j -0.000205459+0.000840339j 0.000994764-0.0103368j -9.71309e-05+0.0331475j 0.000454767-0.0274835j 0.000448801-0.0279253j 0.000962089-0.0462861j -0.00198569+0.0134277j -0.000662206+0.0177365j -0.00413074-0.0175172j 0.00224035-0.0412358j 0.000366578-0.000693162j -0.00434024-0.00447216j 0.00264842+0.0110247j 0.000726072-0.0345284j 0.000582914+0.0305319j -0.00174177-0.0236155j -0.00156276+0.0221407j -0.000708464+0.00488784j 0.000164062-0.0295264j 0.00249314-0.0167401j -0.00342736+0.0930663j 0.000634361-0.0361332j 0.00194335-0.152947j -0.00224515-0.0743857j -0.00238141+0.0224218j -0.000260313-0.0946958j -0.000750249-0.0223686j -0.00152752-0.0777959j -0.00458233-0.0146755j -0.00507439+0.0209468j 0.00226944-0.066354j 0.00510224-0.249887j -0.00262388+0.106845j 0.00384071-0.237294j 0.00957043+0.574622j 0.00702252-0.457629j 0.000247376-0.195346j -0.000145929-0.112083j 
-0.00144886+0.00602821j 0.00161543-0.0165221j 0.000148401-0.0239214j 0.00382537-0.0392457j 0.000124955+0.0823661j 0.00018927+0.0109195j 0.00209165-0.129959j 0.00162416-0.0656613j -0.00135789-0.00815264j -0.000954689-0.00853882j -0.000708931+0.0552558j 0.000889879-0.135245j -0.000286374+0.0266615j -0.000207087+0.0921744j 0.000757335-0.0153017j 7.93331e-05-0.104828j 0.000778999+0.0845067j 0.000432039+0.0325476j -0.00268055+0.0250164j 0.00253544+0.00150887j -0.000327722-0.0385822j 0.00705335+0.00712609j 0.00190628+0.0687473j 0.000203164-0.00110795j 0.00156506-0.0260033j 3.60461e-05-0.0494388j -0.000654836-0.0220232j -0.00271298+0.0658099j 0.000967454-0.0555913j -0.000927146+0.0355211j 0.00490194-0.154915j -0.00257787+0.00129777j 0.000559738+0.0212265j 0.0034291-0.0210704j -0.00177578+0.141719j 0.00302112-0.0806335j -0.00528139-0.0765617j 0.00224169+0.0456391j 0.000488993+0.0201418j -0.000588339-0.0214049j 0.0026-0.115692j -0.00252662+0.0583975j -0.000153936+0.0850848j -0.00481427+0.0171382j 0.0061306-0.0503668j 0.00366998+0.0176868j -0.000609929+0.697844j -0.00781343+0.171683j 0.000778358+0.0215558j -0.00106775+0.221996j 9.17108e-05+0.00748792j 6.76823e-05+4.50669e-05j 
-0.000114491-0.0192695j 0.00195858+0.00578025j -0.00312266-0.0177241j -0.00195849-0.0207085j -0.0016683+0.0754309j -0.000196919-0.118343j 0.00158589+0.00787459j -0.00242001-0.0497113j -0.000768011+0.0124425j 0.000751285+0.0638564j -4.78725e-05+0.0113746j 0.000759298-0.0208065j -0.000497921-0.0116472j -0.000976394-0.0310489j -0.00029248-0.00346017j 0.00151272-0.0312249j 0.00234935+0.0557935j 0.00109595-0.012781j 0.00106983+0.048909j -0.00124467-0.0181067j 0.00343717-0.00319911j -0.00164075+0.00387665j -0.00330262+0.0534248j -0.00070084-0.0289417j -0.000107956+0.18112j -0.00184187-0.179152j 0.00316222-0.0128422j -0.0017427+0.0787591j 0.00213369+0.0355692j -0.000828706+0.0324052j 0.001754-0.180007j 0.00101919+0.00237497j -0.0017153+0.0475292j 8.16658e-05+0.0663057j 0.00542717-0.00140806j -0.00297862-0.0521424j -0.00857257+0.0079506j 0.00222155+0.12086j 0.00183837-0.036525j -0.00112491+0.0527441j 0.00123396-0.0884029j 2.45807e-05+0.0448327j 0.00335632-0.124434j -0.000110033-0.0652089j -0.00517942-0.396077j 0.00477686-0.112668j 0.00870367-0.217496j 0.000238225+0.569284j -0.00126256+0.100879j -0.000443494-0.153134j -0.000877932-0.0286735j 0.000513977-0.0368329j 
0.00482273-0.00953195j -6.69163e-05+0.00323735j -0.00177749+0.00344794j 0.00070328-0.0344965j -0.000239487+0.0177216j 0.00211894-0.141691j -0.00237551-0.0731925j -0.0016165-0.102244j 0.000922932-0.0307981j 0.00280437+0.0642481j 0.000104634-0.00527656j -0.000970982-0.0673982j -0.00313796-0.0049363j -0.00133191-0.0419909j 0.00132995-0.0385053j -0.00172917-0.0491678j -0.00142082+0.0875912j -0.000371316-0.0134847j 0.00212157+0.0287523j -0.00161051-0.037348j -0.000484011-0.0172453j 0.00383526-0.054455j -0.00278461-0.0108747j -0.000949675-0.109654j -0.00653616+0.119316j -0.00208+0.101093j -0.00602163+0.0945982j 0.00112483+0.0424026j -0.000982055+0.0321651j -0.00144552-0.00846665j -0.000797651+0.150552j 0.00179902+0.142202j 0.00069961-0.0646357j 0.000481167-0.166431j 0.00280379+0.0593437j -0.00123492-0.113404j -0.00160522+0.222488j 0.00203279+0.0292663j 7.19603e-05+0.0538145j 0.000646472+0.0753095j -0.000373308-0.188018j -0.00173682+0.0769367j -0.0027677+0.0953422j -0.00810796+0.306411j 0.0024291-0.148559j -0.00487776-0.267158j 0.000951261-0.191893j 0.00440017-0.144421j -0.00446229+0.0916672j -0.00119908+0.279622j -0.00113235+0.0197523j 0.000133563+0.0654465j 
0.000546743-0.00142877j 0.00404585-0.00887765j 0.00292651-0.0634909j -0.00057785+0.0211122j 0.00155539+0.0492054j -0.000139638+0.0457296j -0.00018744+0.051953j -0.000149188+0.017031j 0.00103667+0.0221096j -0.000606726+0.00621809j -0.0011206+0.0821027j 0.00166981-0.064186j 0.00190258+0.0403947j -0.002682-0.000153957j 0.00199401+0.020456j -0.00545233-0.0253048j 0.00120006+0.0761288j -0.00138517-0.0469857j -0.00367246-0.0541284j 0.00256496-0.0960932j -0.00389174+0.0582622j 0.00261538+0.0412964j -0.00367196-0.0509838j 0.00410504-0.180547j 0.00201682-0.161889j -0.00377211-0.0535897j -0.00115333+0.09804j -0.000372132+0.0571163j 0.0017763-0.0528975j 0.00172006-0.133078j 0.00529658-0.0477029j 0.000159516-0.0154389j -0.00138586-0.0244737j -0.000600161+0.102577j 0.000637749-0.115462j -0.000658702+0.0308265j -0.00246704-0.0873597j -0.00575028-0.158402j 0.00126008-0.105918j -0.00438726-0.0925694j -0.00433878+0.0103093j -0.00674801+0.0275845j -0.00512967+0.0651305j -0.00323657-0.147129j 0.00491611+0.367571j 0.00209683-0.477927j 0.000344369-0.0628553j -0.000551495+0.189037j 0.00104698-0.0858364j -0.0059876+0.0552832j 0.00118939+0.0995768j 0.00296627-0.0179125j 
-0.00186361-0.000547791j -0.000546107-0.00606834j -0.0021222+0.0248746j 0.00324193+0.0251507j 0.00241493-0.0248746j 0.00292429+0.0745658j 0.000663882+0.0903361j -0.00140466+0.0714613j -0.00569423+0.0457552j 0.0013578-0.0375406j 0.000971807-0.00252755j 0.00136206+0.0746991j -0.00607011-0.0153496j -0.00415668+0.000948532j -0.000950128+0.0149183j 0.00158151+0.0833541j 0.0011057-0.0592438j 0.00201182-0.0161921j 0.0031373-0.0202137j 0.00169601-0.0125634j 0.000543405+0.0121339j 0.00598665+0.0439862j -0.00392938-0.0515487j -0.000543786+0.070829j -0.00578141-0.0168683j -0.000332968+0.00837797j -0.00124837-0.0149133j 0.000915265-0.0634653j 0.00102792-0.0253641j -0.0053776-0.0254458j 0.00129226+0.0371098j -0.00141045-0.060942j 0.000748836-0.0124306j 0.00531571+0.0607487j -0.000168397-0.112214j 0.00258448+0.101004j -0.00494966-0.0301639j 0.000117338+0.00249062j -0.00157702-0.00647534j 0.000727364+0.0437486j 0.00419353+0.160825j -0.00117204-0.0610845j 0.000792501-0.036516j -0.00492385-0.194966j 0.00588537+0.0523732j -0.00155827+0.191294j -0.00194314-0.155625j 0.00231526+0.0145424j 0.0112703-0.0201982j 0.00418223+0.0261307j 0.00395607-0.016493j -0.00464614-0.0442446j 
0.00395482+0.00150079j 0.00023127+0.0207374j -0.00205403-0.059956j -0.00312561+0.0121011j -0.000359919+0.0589862j -0.00271721+0.0831674j -0.00137135+0.0524654j -0.00281105-0.00865039j -0.00143216+0.0704449j -0.00347977-0.00518329j 0.00151694+0.0290709j 0.00191364+0.0152987j -0.00293607+0.0101213j -0.0015022+0.0289585j 0.00127238+0.0625504j -0.00157118+0.0276394j 0.00534326-0.0525389j -0.000970309-0.00706006j -0.0029018-0.0137551j 0.00408982-0.00222616j 0.00463971-0.0248754j 0.0037483+0.0300008j -0.00571904-0.0638875j 0.00515176+0.0578132j -0.00425105-0.0781807j -0.00232164+0.108263j -0.00131979+0.334559j -0.00171439+0.124809j 0.000420387-0.0359846j -0.00119101-0.00969359j 0.00145834-0.293439j -0.00212275-0.103712j 0.00321751+0.0607865j -0.00406168-0.0675447j 0.0020983+0.173321j -0.00193399-0.0717758j 0.00399341-0.210241j 0.00298793+0.0929481j 0.00092438-0.0251448j 0.00219113-0.114127j 0.00352088-0.0426141j -0.000828309-0.0730805j 0.00333088+0.217387j 0.0061962-0.0310141j 0.00117122-0.0799917j -0.003438+0.138547j 0.00111843-0.0792086j -0.00505198-0.160178j -0.0072465+0.00770218j -0.00609951-0.105615j -0.000804018+0.0230336j 0.00701126+0.0107873j 
0.00133731+0.0143464j -0.0037655+0.0143731j 0.0039973-0.0206872j -0.0022515-0.0603467j -0.000846729+0.00148451j 0.00277291-0.0657246j 0.00102681-0.0257376j -0.00117946-0.0305534j 0.000420727+0.0358902j 0.00441623+0.0409019j 0.00105881-0.000882145j 0.0030109+0.0473563j -0.00306184-0.0145773j 0.00297595+0.0367221j 0.00189622+0.0193337j 0.00274166-0.0540938j 0.000343239-0.0144184j 0.00174506+0.000597587j -0.00187044+0.0990056j -5.45376e-05-0.09747j -0.00117326+0.0540086j 0.00395285-0.0104489j -0.000362118+0.137457j 0.000369291-0.0445577j 0.000544984-0.102307j -0.00141244-0.0795572j 0.00215742-0.0478861j 0.00195507+0.00588097j -0.00256112-0.0615541j -0.00151352-0.00995371j -0.00313223-0.0619581j -0.00596948+0.00409729j 0.00371723-0.0295925j 0.00371815+0.00902065j -0.00518233+0.011983j 0.00224307-0.0173846j 0.000145965-0.0859315j 0.00155326-0.0910485j -0.00353304-0.0239628j 0.001253+0.0131914j 0.00499695+0.0112069j 1.90588e-05+0.211632j -0.00199396+0.0805404j -0.00762275-0.229077j 0.00531597-0.0900779j 0.010045-0.0386074j -0.00426715-0.079798j 0.00751687-0.0507128j -0.0157496-0.206751j 0.0102133-0.0447589j -0.0121635-0.048765j -0.00291586+0.0487236j 
