0.00216119+0.00100466j -0.00203691+0.00780181j 0.00352822+0.0106002j 0.00611439-0.00716571j -0.00972372-0.0112964j -0.00565437-0.00921545j 0.000632972-0.0166985j -1.33487e-05-0.00662075j -0.000398874-0.044367j -0.000222553+0.00666147j -0.00494155-0.0237576j -3.52724e-05-0.0697254j -0.00512525+0.0193439j -0.0126061+0.0320328j 0.0090614-0.0127353j 0.0168492+0.0190548j 0.00686888+0.000104626j 0.0176852-0.034647j 0.00369699-0.0127917j 0.00694806+0.0318394j 0.00765619+0.0394461j 0.00518454+0.0799092j -0.0101423+0.03378j 0.0206398-0.00831725j 0.00940935+0.0289324j -0.030513+0.0482648j -0.0127813-0.0681438j 0.00909789-0.00142957j -0.0128102+0.0447932j 0.00699759-0.0171584j 0.0184407+0.113357j 0.0184256+0.0153979j 0.0133243-0.0170489j -0.00410243-0.00689932j -0.00715359-0.0247652j 0.0476272+0.00709711j 0.0262527-0.00671864j 0.0264913+0.0178688j -0.0233573-0.00567926j -0.0176004-0.00597641j -0.000713849-0.0384785j 0.011849-0.00709737j -0.0118869-0.021562j -0.00236911+0.00784286j 0.00431605+0.0411621j 0.010541-0.0204189j -0.0114604+0.0379701j 0.00242494+0.00417867j 0.00274693+0.0060332j -0.0178485-0.0186964j 0.00634761-0.0086192j -0.0106181+0.0106664j 0.00716327+0.0212183j 0.0357607-0.0474207j -0.0215183+0.0347907j -0.00784825-0.0549185j -0.0188941-0.0260299j 0.000905622+0.00101373j 0.0141342+0.0104179j -0.0124468+0.00830924j 0.00401522-0.0186379j 0.0200903-0.00413802j -0.0156871-0.027688j 0.0145286-0.0205496j 0.0237918+0.00933309j 0.00192645-0.0387886j 0.00525863-0.00253523j -0.00230343+0.0414827j -0.0175795+0.0255263j -0.0142595-0.0041416j -0.0150309-0.0195158j 0.0168124+0.01892j -0.0162841-0.0191621j -0.010571-0.00501986j -0.0157738+0.00763327j 0.00487151-0.0244492j 0.00413369+0.0122395j -0.0229669+0.00130588j -0.00168535+0.071114j -0.0178447+0.0292167j -0.00349143-0.0170187j -0.00313044-0.0385111j -0.00940247-0.0210569j -0.0174549-0.00558674j 0.015198+0.00952883j -0.00711463-0.00128726j -0.00709015-0.017972j -0.00182599+0.0351285j -0.00366325+0.00604307j 0.00415657-0.0513947j -0.00440567-0.00863902j -0.00199729-0.00145121j 
0.00799533-0.0164854j -0.00963819+0.000613126j 0.0111477-0.0207565j 0.00384221+0.0229424j 0.0179806+0.0415768j 0.00577496+0.0166344j 0.0013064+0.0718904j 0.00451372+0.0378881j -3.29365e-05+0.17274j 0.0307137+0.0257216j 0.000296347+0.0258238j -0.0175081+0.15148j -0.00744645+0.000613398j 0.00851161+0.00679824j -0.00150629+0.0380536j -0.0283833-0.0565771j -0.0185803-0.066008j 0.0190093+0.0400958j 0.00775172+0.10169j -0.0249183+0.0505551j -0.000876875-0.0354313j 0.000911508+0.0409619j -0.00668738+0.0581297j 0.0053039-0.0137603j 0.00122084-0.00273541j -0.015434+0.0135624j -0.000207779+0.0920962j -0.00980807+0.0216628j 0.00111697-0.0527741j -0.0116027-0.00388438j 0.0111855+0.013829j 0.00695209+0.000204342j -0.00605792-0.0130998j 0.0225474+0.0368198j -0.00786377+0.015947j 0.0193436+0.00741277j 0.00224933-0.00883333j 0.0118533-0.00152191j -0.0140306+0.0491895j 0.0010091+0.0104475j 0.0114229-0.0204445j -0.00339721+0.00672221j -0.0121148+0.0325048j 0.00619921-0.0641482j 0.009009-0.013251j -0.00384812-0.0323118j 0.0156451-0.0413212j 0.00536976+0.00442235j 0.00903423-0.00953203j 0.00103813-0.0189412j -0.0134097+0.0451824j -0.00048138-0.0667361j -0.00241114-0.0767077j 0.00259074+0.000658089j -0.0127381-0.0247294j 0.0310047-0.00158156j -0.00415458+0.105123j 0.00449363-0.00246692j -0.00770431+0.0586971j -0.027815-0.0727998j -0.0126818-0.0238744j 0.00383976+0.0696269j -0.0145018+0.0567147j 0.00726639+0.0358531j -0.00838308-0.0117126j -0.00977982+0.0266763j 0.0219742+0.0510096j 0.00279838-0.0664668j 0.00138278-0.00894802j -0.00915023+0.039988j -0.00434203-0.00279055j -0.00551596-0.0425381j 0.00670729+0.0140016j 0.00552241-0.0010237j -0.00809343+0.00247879j 0.00974397-0.0302881j -0.00881991+0.0164823j -0.0178665-0.0101047j 0.017765+0.0142032j -0.0117126+0.0135993j -0.00512539+0.0329004j 0.00141918+0.0109213j 0.00863557+0.0313954j 0.0129401+0.0181239j -0.0228626-0.0290452j 0.000205054-0.0387447j 0.0234503-0.000524745j 0.00167503-0.0453461j 0.0108995-0.0241454j 0.0205683+0.0312091j 0.00638713-0.0374082j 0.0231121+0.0267297j 
-0.00161566-0.00362292j 0.0118444-0.0131299j -0.00695472+0.0168154j -0.0121819-0.0029423j 0.00727402-0.00290334j 0.0149711-0.00283215j 0.0133049-0.0558353j 0.00236631+0.00695311j -0.00288884-0.0547118j -0.0141686+0.0299973j 0.0232839+0.0250491j -0.00382001-0.0400314j 0.00718496+0.0127587j -0.0338791-0.0417058j 0.0304608+0.0556995j 0.00882358-0.035751j 0.00679812+0.0855656j -0.0028555-0.0360284j 0.00571928+0.0255779j 0.0109399-0.0651101j -0.00338228+0.0185157j 0.000654612+0.123684j -0.013842+0.166114j 0.0158508-0.0695744j 0.00962882+0.00424949j -0.00679413-0.0502888j 0.00928835-0.0447765j -0.00107536+0.0678385j 0.00960207-0.0546363j -0.0168081+0.0604369j 0.0218818-0.0428259j -0.00085312-0.0991037j 0.00304145+0.0779055j -0.00796309+0.0235412j 0.00268605+0.0327211j -0.00935222-0.0126823j -0.00952487+0.0757968j 0.0107464+0.00784627j -0.0230627-0.0594273j 0.0128098+0.0161507j 0.0142892+0.000737327j -0.0271212-0.028684j 0.0103311-0.00924542j 0.00583719+0.0219866j 0.030425+0.0896221j -0.0144053-0.00711095j 0.0189649+0.0896477j 0.022862-0.0358533j 0.00841113+0.022892j 0.0241621-0.0571615j -0.0113449+0.0597448j -0.00749645+0.00717111j -0.0283115+0.0841528j 0.00619547+0.0166325j -0.0196316+0.0446844j 0.0319863+0.0241276j -0.00680648+0.0934827j -0.0085767-0.0723067j -0.00259462+0.0327345j 0.00507687+0.0522884j -0.0248473+0.0051883j 0.000935725-0.00735559j -0.00942357-0.0420552j -0.00188523-0.0207633j -0.0236362+0.0228802j -0.00136872-0.000105767j 0.00836819+0.00600197j -0.00835685+0.0196974j 0.00169992-0.00435307j -0.00180735+0.0252304j 0.00110212+0.0293647j -0.000771577+0.00874968j -0.0165236+0.0193884j -0.00388792+0.00314289j 0.0044627-0.00937032j 0.00115408+0.0167249j 0.0105931-0.0322616j -0.00130991-0.00226661j -0.00261892-0.0265636j -0.00822543-0.0525096j -0.00601547+0.00347139j 0.000577058+0.0155973j -0.00504845-0.00276499j -0.00949967+0.0744071j -0.00671036-0.0101981j -0.0024771+0.0350022j 0.0136747-0.00873496j 0.00363356-0.00478578j 0.00209901-0.0288087j -5.20884e-06+0.0161683j 0.00412912+0.014403j 0.00347551+0.0100702j 
0.00533666-0.0113115j -0.0169414-0.0011245j 0.014555-0.0297591j 0.00905974+0.00542815j -0.00421906+0.0535131j -0.000122895+0.0282958j 0.0104713+0.0202388j -0.00110555-0.0147367j -0.00664243+0.128098j -0.000943136+0.0493065j -0.0124347+0.0203046j 0.0116703+0.0773464j -0.00126666+0.0310397j -0.00579744+0.000631738j 0.00543486+0.000724706j 0.0160991-0.0586719j 0.013665-0.00591482j -0.0165664-0.0596165j -0.0155106-0.00120715j 0.0148393+0.00213761j 0.00788591+0.0427531j 0.0102883+0.0334588j -0.00103966+0.0618353j 0.0021647+0.00508931j -0.00865724+0.178141j 0.00658307+0.0927727j 0.00286196+0.00266374j 0.00742066+0.129542j -0.00104963-0.198483j 0.00242317-0.0445777j -0.0100984+0.0574492j -0.00794482-0.0628491j -0.00537931+0.0766524j -0.00983989+0.092871j 0.00604271-0.0136596j -0.0092325-0.0458862j 0.00477416+0.0603901j -0.00378483+0.0300408j 0.014298-0.0226176j -0.00978559-0.0345885j -0.0135237-0.00309216j 0.0240989+0.0313125j 0.000765124+0.0396338j 0.00753036+0.0337088j -0.0234109-0.00516098j 0.000446552+0.0212194j 0.00478898+0.0825258j -0.0024357-0.0336947j -0.00581245+0.083343j -0.00658016-0.0334525j 0.00608617-0.0103476j 0.0103261-0.057608j 0.00948289-0.0776382j 0.0200965-0.130484j 0.00456568-0.0523715j -0.00646586-0.0539788j 0.00323813+0.00537049j 0.0126896+0.0600334j 0.00102286-0.0376905j 0.0227601+0.00374323j -0.0069405-0.0166854j 0.0142435-0.0168556j -0.00287158+0.0407595j 0.00226552-0.0048501j 0.00946329+0.0677312j 0.00169385+0.00053304j 0.0160084+0.0992257j -0.011564-0.0931768j 0.0052121-0.0277816j 0.00143212+0.0543553j -0.000616075-0.0401402j -0.0035426-0.00305642j -0.00631607-0.0173751j -0.00399816+0.00736391j -0.0250154+0.00630901j -0.00459903+0.0116134j -0.0024176+0.000651497j -0.0227533+0.00490071j -0.0100249-0.0386996j 0.00576575-0.0177369j -0.00408777+0.00293028j -0.0178226+0.0607079j 0.0133795+0.0260212j 0.00711684+0.0561319j -0.0210987+0.0251357j -0.00693215+0.0132072j 0.0123073-0.093793j -0.00566074+0.0169451j 0.0113273+0.0149093j 0.0159913+0.0459107j 0.00721721-0.0308267j 0.026388+0.0171447j 
-0.00320735+0.00584207j 0.00630158-0.0124968j -0.00909585+0.00124922j -0.00724722+0.0119423j -0.0192666+0.0580173j -0.0358747+0.0176376j -0.0128095+0.0474895j -0.0136944+0.0248206j 0.0157932+0.10948j 0.0178142+0.0980699j 0.000711185+0.0384774j -0.0263601+0.144327j -0.00247858+0.0442597j -0.00421088-0.0269183j -0.01653+0.0282639j 0.00824367-0.0562642j -0.0225217+0.029786j 0.0183258-0.0350334j 0.0273516+0.112752j -0.00319732-0.0809498j -0.00835552+0.026312j -0.0111475+0.0709695j 0.010039-0.0554449j 0.00956548-0.101518j 0.000434539+0.121388j -0.00687448+0.0109178j 0.00260523+0.0530537j 0.020668+0.0747116j 0.0197623+0.0151044j -0.00311146+0.0563247j -0.00383946-0.0123963j -0.015036-0.042974j 0.00203625+0.0809522j -0.00488946-0.0244449j -0.00732753+0.0173316j -0.017278+0.0180651j -0.00194756+0.020012j -0.000451359-0.00303029j -0.00373178+0.00592675j -0.00286192+0.0784175j -0.000750947-0.0193834j -0.00463073-0.00154371j -0.0052521-0.0229898j -0.000101423+0.0370995j -0.00182195-0.028559j -0.00526236-0.0527443j 0.00491098+0.0387569j -0.000691146+0.0339549j 0.00122584+0.0591829j 0.00412016-0.102863j -0.00286997+0.0255638j 0.00408117-0.0220902j -0.000399328+0.0405532j -0.0194545-0.0763943j 0.000282795-0.0810482j -0.00228996-0.0176009j 0.00592551-0.0452845j -0.000509532-0.101918j -0.00416105+0.0620539j -0.00902235+0.0341423j 0.00313616-0.0639607j -0.00779868-0.0110051j -0.00955968-0.0077531j 0.0148483-0.0793669j -0.0111414+0.0814973j -0.0119174-0.042567j 0.00197556+0.0583587j 0.00551428-0.0253621j -0.00197063+0.0199882j -0.00859483+0.0206273j -0.00858945-0.0107931j -0.00397478-0.0290509j 0.00663452+0.0184305j 0.0017997+0.0317529j 0.0145465-0.00586938j 0.00109957+0.00994561j -0.00621791-0.0281966j 0.0093547+0.0112954j 0.00687366-0.038397j 0.00399554-0.0303096j -0.0194027+0.0106436j 0.0100627+0.00368026j 0.00252399+0.00271267j 0.0208617+0.0443035j 0.00638136-0.0449864j 0.0141117+0.0160563j -0.00335066-0.0168246j 0.00856707+0.105368j 0.0152849+0.00615781j 0.000327278+0.0299237j 0.00774172+0.00924481j 0.00490622+0.00627762j 
0.00429674-0.00676696j 0.00231249-0.00344365j 0.00532911+0.0151767j 0.00200406-0.0374259j 0.00396358-0.0301711j -0.00964158+0.00608222j 0.00587617-0.0694011j -0.00458435-0.103429j 0.004217-0.0809676j 0.00228518-0.0282428j -0.0123532-0.00338j -0.00231813-0.078715j -0.00830115-0.0418061j 0.00645908+0.104507j -0.0198583-0.0235897j -0.0220451+0.0323909j -0.0148587+0.105349j 0.0158982-0.0122404j 0.0261386-0.195411j -0.0250812+0.0485579j -0.00924583+0.0919733j -0.00922074-0.106485j 0.0066893+0.110842j 0.00824885+0.15846j 0.000497576+0.097056j -0.0116612+0.0154663j -0.0206147-0.0749996j -0.0141164+0.093725j 0.000569166-0.102021j 0.00927556-0.0923836j 0.010482+0.0390145j -0.011863-0.0913151j -0.000104246+0.02543j 0.0108064+0.017548j -0.0175472-0.0222992j -0.037385-0.0748888j -0.0198077-0.00550028j -0.0130812+0.0917985j -0.00213254-0.075272j -0.00898834-0.0520555j 0.0129729+0.0088229j 0.0122053-0.0023826j -0.0127813-0.00642261j 0.00123906+0.0263202j 0.00429554+0.00337389j -0.0103714+0.161917j 0.0128822+0.165614j -0.0107546-0.104785j -0.00717991-0.0264721j 0.00495184-0.0545265j 0.00310824-0.116986j 0.00378012+0.0944663j -0.0079757+0.0173922j 0.00547965+0.00409257j 0.000711497+0.0426233j 0.00765553+0.12193j -0.00989593-0.0151537j 0.00371845+0.0327811j 0.0291567-0.090411j 0.00593005+0.16404j -0.00147836+0.0614687j -0.0245854-0.130543j -0.00676439-0.0908611j 0.0163431+0.0158741j 0.0127864+0.0114917j -0.00259138+0.0869803j 0.0153665-0.10361j -0.00956438+0.0195045j 0.0165637-0.0567991j 0.00671811-4.09159e-05j 0.00110744+0.0482694j -0.0126324+0.0510046j 0.000128627+0.00600241j -0.000875556-0.0250643j -0.0188122+0.0274967j -0.000189171+0.043312j 0.00132786-0.0238229j -0.0106677+0.0193377j -0.00522988+0.0345171j 0.00407892-0.0292565j 0.016099-0.0214679j -0.00984989+0.0584694j -0.000457324-0.0135044j -0.00976739+0.00818092j -0.00135814+0.0853809j -0.0110048+0.117877j -0.0161798+0.0215238j -0.0076466-0.0296584j -0.000720445+0.00669996j -0.0121489-0.0137883j 0.00357588+0.0207874j -0.00389794+0.0144218j 
-0.00974627+0.00945055j -0.00876513+0.00901553j -0.0178038-0.00519802j 0.0169854-0.0219522j 0.0156753-0.0161878j -0.00978235+0.00186834j 0.0407182-0.0125583j -0.0242035-0.0278216j -0.0212811+0.00920974j 0.0130791-0.0455396j 0.00424759-0.0796042j -0.0195118+0.0312801j -0.00492195-0.0921617j -0.0315584+0.118963j 0.00400488-0.0852272j 0.0102659+0.0523867j 0.00398207+0.0272006j 0.001855+0.083205j 0.0355688-0.0237282j -0.000779477+0.063581j -0.000366872+0.0980059j -0.00316403+0.0355061j 0.0125814+0.0331681j 0.0239668+0.107721j 0.00899784-0.0635889j 0.00919377-0.0435139j 0.0237516+0.168181j 0.0140552-0.0293199j 0.0223697-0.00838415j -0.00262223-0.0296445j -0.00254204+0.0682301j 0.00354438-0.0471386j -0.0171816-0.0730798j 0.0191553+0.0128982j -0.0124451+0.0266764j 0.00200525+0.047796j 0.0115907-0.123136j 0.00525699-0.0450188j 0.00592534-0.0175645j -0.00398913-0.0234955j 0.00860711+0.0496686j -0.012861+0.0137637j -0.00440453+0.060302j -0.0037808-0.0347221j 0.00357401-0.0508676j 0.00639499+0.0590718j -0.0120536-0.0143344j 0.00492801+0.0117895j 0.00663763+0.00334458j -0.00136732+0.00621416j -0.0155039-0.0568283j 0.00605633-0.0249977j 0.0161918-0.138191j -0.00994232-0.071196j -0.00429143-0.0188191j 0.000850778-0.0437833j 0.00932955-0.00179693j 0.000502738+0.00765089j -0.00238307+0.000879314j -0.0164405-0.00257717j 0.0123468+0.00743733j -0.0196922+0.0311731j -0.0130754+0.0109622j 0.0120299+0.0302746j 0.0140702+0.0259675j 0.00554712+0.0167079j 0.0127233+0.0294065j 0.00198407-0.0398793j 0.00672642-0.042257j 0.00122714+0.0371763j 0.0125342+0.0223888j -0.0179957-0.0180012j 6.02498e-05+0.00504559j 0.00202893-0.00440485j -0.00376199-0.026229j -0.00404953+0.00998112j -0.00128793-0.000139261j -0.00966764+0.00422942j 0.000130031+2.28873e-05j -0.0049785+0.0418162j 0.0100222+0.0341899j 0.00783069+0.0457358j 0.00221325+0.0492437j 0.00362991-0.0325734j 0.00815674+0.0165412j 0.0100364+0.0060762j -0.00908473-0.0271268j -0.0144729-0.021668j -0.00488541+0.00850114j -0.000339214+0.0146894j -0.0123225+0.000121778j -0.00282378-0.0213707j 
-0.00315591-0.00753647j -0.00823931+0.00414399j -0.0162192-0.00278102j 0.0327785-0.0117386j 0.00485102-0.0296897j -0.0229917-0.0155356j 0.0319262-0.0350022j 0.0108229-0.0272622j -0.0205168-0.0570769j 0.000643729-0.00933223j -0.00242892+0.0655464j -0.000913583-0.149048j -0.00114703+0.0594581j -0.00864696-0.0355694j 0.00175471+0.0305545j 0.00587781-0.062434j -0.00449473-0.00980715j 0.00136494-0.102558j 0.0145432-0.0238233j -0.0170674+0.0112283j 0.00802037-0.111992j -0.00999004-0.0872252j 0.0123391-0.00485028j 0.0185288+0.0121149j 0.0126582+0.0986848j 0.00598339+0.0639967j -5.33657e-06-0.235514j 0.00382242+0.00674621j 0.00265975-0.0571233j 0.00263125+0.0442515j -0.0116182-0.122266j -0.0167396+0.0199203j -0.0123715-0.0480196j 0.00625069-0.0171897j -0.00119553+0.00531346j 0.0125371+0.00530298j 0.00619456+0.135166j 0.00288119+0.0191333j 0.00752614-0.0230504j 0.00774349+0.0528511j -0.00127427-0.0105637j -0.00866192-0.0121788j 0.00960465-0.0702353j -0.0146314+0.0484207j 0.00523364+0.0425127j 0.0134115-0.113095j -0.0179887+0.0268209j -0.00387472-0.0659472j -0.0019282+0.0754992j -0.0103484+0.0306974j -0.00431614+0.0692645j 0.00090473-0.049714j 0.0188699+0.0608055j -0.0161117+0.0775438j -0.00424632+0.0216786j -0.0124322-0.0272432j 0.00877417+0.156846j -0.00953735-0.0850025j -0.0340244+0.0993777j -0.0209019-0.0313282j -0.00587578-0.0406447j -0.00480023+0.0509271j 0.000144743+0.0316767j 0.00350843+0.0247522j -0.0215104-0.0531035j -0.0256033-0.0154634j 0.00580945+0.0290942j 0.0149393+0.0510472j -0.00684123+0.0233803j -0.0171124-0.00354806j -0.00682017-0.0429835j -0.0109986+0.0203688j 0.0122417-0.0386076j 0.00617235-7.03445e-05j 0.0133395+0.0247582j 0.0221701-0.0355784j -0.0112938+0.0256426j -0.0220412-0.0106062j 0.0141993-0.0069461j -0.000911322-0.0250698j -0.0135555-0.0416213j -0.00275643-0.0336685j 0.0092467-0.0260826j -0.0032161+0.0662517j -0.0108511-0.0603405j -0.0204943-0.0308305j -0.00975778-0.00946538j 0.00896943-0.0232502j -0.0122456-0.0355497j -0.0109262-0.0307539j 0.0137987+0.00546792j -0.00696897+0.0112307j 
0.00181093+0.00619088j -0.00185383+0.00172239j 0.00292632+0.0242188j 0.00255177+0.00134687j -0.000233848-0.0197808j -0.00162042-0.0204257j -0.0141283-0.0122057j 0.0013369+0.0125811j 0.00289925-0.12326j 0.00412074-0.0318352j -0.00439349-0.0436021j 0.00574308-0.0358306j 0.00102889+0.0323754j 0.0131643+0.0742046j -0.00324822-0.137718j -0.000921999+0.0881468j 0.00503248+0.0533036j -0.000129485-0.0851511j -0.0082429+0.051037j 0.0037527-0.0162401j -0.00339645-0.126151j 0.00460471+0.308394j 0.00344461+0.492911j -0.0100977-0.0495516j -0.000731137-0.121723j 0.0039966-0.112468j 0.00460017-0.0315445j -0.000482902+0.088864j -0.000503408-0.0310155j 0.0118273-0.0728629j -0.0157729+0.13388j 0.00328595+0.03316j -0.00772885-0.0942569j -0.00995645-0.0765778j -0.00391676+0.0276209j -0.0207425+0.0929303j -0.00552962-0.0456827j -0.00581058-0.0270294j 0.010595+0.0169056j -0.00232662+0.0336872j -0.00283831-0.0232109j -0.001089-0.00768436j 0.00318045-0.0393502j 0.000981171-0.158966j -0.00273328+0.00581235j 0.00151801+0.0582075j -0.00192905+0.047092j 0.000439901-0.0525722j -0.00185765+0.103987j 0.00226583-0.00657402j -0.0062708-0.0738534j 0.0042431-0.167053j 0.00845985+0.02799j -0.0104544-0.0547974j 0.00494972-0.0561592j -4.31508e-05-0.0520898j 0.00725203+0.0110423j 0.00429796-0.0963076j -0.0024288+0.142739j 0.00983818+0.0670719j -0.0104135-0.0896725j 0.00441814+0.036582j 0.00762081+0.0181004j -0.00581866+0.0364414j -0.0107837+0.0563639j -0.0102228-0.0128416j 0.0105863+0.0454702j -0.00438226+0.029603j 0.00362052+0.0164702j 0.00121174+0.0603881j 0.00439255+0.0536337j -0.00736199+0.00651899j -0.0132397-0.0366918j -0.00238692+0.0130993j -0.018957+0.0127749j -0.0148347-0.0341617j -0.00561192-0.00824807j -0.0385956-0.0306008j 0.00783474+0.114708j -0.019075+0.0536j 0.0119083-0.0110873j 0.0114823-0.00567913j -0.0268814+0.072956j -0.0107873+0.0193846j 0.0144204-0.0504589j 0.00271096-0.0179414j 0.00444338+0.0172285j 0.00798217+0.0246785j 0.00960007-0.00457208j 0.00588179-0.0199252j 0.00444761+0.00135741j -0.00136386+0.0114481j 
0.00397705+0.00814149j 0.00165836-0.0135486j 0.0190901-0.0066305j -0.00604206-0.00314376j -0.00965506-0.025402j -0.000345683-0.0224707j -0.00331202-0.0673045j 0.00634057-0.0174942j 0.00696643-0.121502j -0.00487029-0.0925678j -0.00371447-0.0284065j -0.00838282-0.00525896j 0.00540379-0.0819546j -0.00528554-0.0126173j 0.00203891-0.166408j 0.00865678+0.0124044j -0.00187507+0.0918125j -0.00165431-0.16588j -0.0092743-0.107826j 0.00960092-0.0591346j 0.0102917-0.231289j 0.000858108-0.326795j -0.00666388+0.0489901j 0.00084153+0.0656837j 0.000971748+0.011126j -0.00190243-0.211916j 0.00389664+0.0591915j 0.00831117+0.0345647j 0.00685442-0.0822433j -0.00544627-0.0762144j 0.00333622-0.121384j -0.0132294+0.0334548j -0.00104381+0.00524606j -2.60537e-05-0.0153604j 0.00873459+0.0131291j 0.0233703-0.0370557j 0.0157499+0.0419601j 0.0118979+0.0137462j 4.34924e-05-0.0436385j -0.00378212+0.0109285j -0.000187638+0.0465822j 0.00742925+0.107166j -0.000894942+0.0583211j 0.00320304-0.0621313j 0.00241621-0.161471j 0.00444227+0.0948629j 0.00422638-0.121476j 0.00434838-0.0222318j -0.0037934+0.134261j 0.00883195+0.0729395j -0.00508562-0.0627822j 0.0108192+0.0577302j 0.000382679-0.141907j -0.000313467+0.0474017j -0.00146844-0.0917213j 0.0135675+0.0224188j 0.000205587+0.0381228j -0.000659893-0.0361662j -0.000261254+0.0544813j 0.00171109-0.0481795j -0.0145404-0.0513459j 0.011963-0.0389825j 0.0072444+0.0581516j 0.00910106+0.0244972j -0.0131936-0.0262096j -0.0111943-0.000318533j 0.0135797-0.0199614j -0.00167256-0.0772762j 0.00965151-0.0497064j 0.00530297-0.00115119j 0.00666248+0.0327023j -0.00889226+0.00906598j 0.00335151-0.0241183j 0.000116929+0.0144992j -0.00186918+0.00875897j -0.00734622+0.0618737j -0.00431405+0.00668099j -0.00231464-0.0160769j -0.000222608-0.15768j -0.00364922-0.0352874j 0.0228884-0.0314845j -0.00910689+0.112239j -0.00708421+0.0160207j -0.00217137-0.0287985j 0.0123448-0.0591448j -0.00318228+0.0190558j 0.00024044-6.78258e-05j 0.0111875-0.0164993j -0.0031326-0.0215487j -0.0100242+0.0565206j 0.00542602+0.0238474j -0.00718481-0.0176714j 
0.00822712-0.00309098j -0.000982432-0.0150642j 0.00779064-0.0112912j -0.000977677+0.000790174j 0.00434723+0.0515958j 0.00973973+0.013433j -0.00216578+0.150797j -0.00122056+0.0172501j -0.000674372+0.184534j -0.00488489+0.0561135j -0.00566685+0.0331501j 0.00539511+0.184238j 0.00354332-0.0215596j 0.00796417+0.0325153j 0.00775263+0.031427j 0.00200836+0.0533121j 0.0172894-0.112477j -0.000331862+0.138588j -0.00274834-0.00379779j 0.00825497+0.0483751j -0.000333877-0.181301j 0.00556379-0.0406248j -0.00696882-0.14114j -0.00308653-0.014656j 0.00605335+0.107055j -0.00173931+0.159276j 0.00563646+0.121969j -0.00610907-0.031709j -0.00763999-0.0295626j 0.0190501-0.0155413j -0.00170444+0.0136953j 0.0222007-0.033318j -0.00440215-0.0683988j -0.00274812+0.049381j -0.0100865-0.0408703j -0.00668575+0.0434629j 0.00282566-0.113213j 0.00580705+0.0147556j -0.00219079+0.0918663j -0.0106185-0.0218645j 0.00987029-0.0759024j -0.0024195+0.0503648j -0.000855465-0.0334381j -0.00469555-0.0162595j 0.015598+0.0283417j 0.00242146+0.00317094j -0.0011624-0.0168866j 0.00253387+0.0185101j -0.0011754-0.042354j 0.00568598+0.00529436j -0.00916172-0.0982563j 0.0027472-0.0374728j -0.00405405-0.0588166j -0.00470992-0.0785089j -0.00404667-0.155124j 0.00760974-0.0500698j -0.000553493-0.08333j -0.000891161+0.0295856j 0.00674172-0.00205056j -0.009319+0.0447555j -0.00167939+0.0452107j 0.00378113+0.0849138j -0.00186089+0.00388127j -0.00983502+0.03334j 0.00298394-0.000544021j -0.00417438+0.00436274j 0.00195671-0.0117266j 0.0080562-0.0544826j -0.000849135+0.0245937j -0.00364019-0.0210003j 0.012285+0.031904j -0.00831508-0.0357514j 0.000451086+0.0304578j 0.00570937-0.0984441j 0.00482578-0.0272166j 0.0169253+0.00148173j -0.00451946+0.00985659j -0.0158163+0.0234322j 0.0142305+0.00559929j -0.000449341+0.0253493j 0.00470968-0.036528j -0.00330984-0.00726231j 0.0107641+0.0198163j -0.00610416-0.0426481j 0.00148919+0.0405431j -0.0150181-0.0331664j -0.0198542-0.0171949j 0.0271403+0.0254221j -0.00230234-0.0279127j -0.0218249-0.00792497j 0.0272077+0.0626223j -0.0241262+0.0298528j 
