0.0438014-0.0374438j 0.0602492-0.0947252j -0.245964-0.0157296j -0.251367+0.06573j 0.191687-0.229408j 0.25478+0.0185463j 0.237902-0.308839j -0.0412535+0.000440955j 0.00491283+0.00236007j 0.0733291+0.0490175j -0.0558905-0.0634451j -0.008925+0.0386847j -0.0550745+0.102332j 0.0148754+0.0678064j 0.0047873+0.0471139j 0.195451-0.0823664j 0.105686-0.0666294j 0.17151-0.249048j 
-0.0199574+0.0895264j 0.236498-0.211112j -0.0365426-0.152383j -0.121716+0.0248321j 0.205869+0.285408j -0.231652-0.10376j -0.3666+0.518912j 0.00524272-0.00263017j 0.129883-0.000854738j 0.0856686+0.0670364j -0.0689833+0.0274685j -0.0232675-0.0373145j -0.0768556-0.0665378j -0.11818+0.0157847j 0.0382603-0.212313j 0.0568375+0.0451843j 0.0203463-0.113209j 0.101531-0.0537856j 
-0.0314265-0.193838j -0.0518119+0.141637j -0.325281+0.0682235j -0.0765213+0.169374j 0.444423-0.010594j 0.165654-0.339328j 0.193841-0.109569j -0.0729869+0.0500546j -0.085427+0.0674373j 0.110624-0.000270455j -0.0307225-0.0246136j 0.024224+0.0489864j -0.00685547-0.0672783j 0.0163672+0.102609j -0.100773-0.158645j 0.0584096+0.150265j -0.0640399-0.0447202j -0.190682+0.0823279j 
0.0403222+0.223112j 0.212417+0.129613j 0.0412678+0.180817j 0.271988-0.233093j 0.0127897+0.0792741j 0.19879+0.439214j -0.0501704-0.360735j 0.0556339-0.0644177j 0.0688625+0.0275416j -0.031214+0.0248813j 0.00751738-0.000321268j 0.114655+0.119997j 0.0150604-0.0890934j 0.152186-0.0697715j 0.10511-0.0403671j 0.0999253+0.153505j 0.0345324-0.209473j 9.52103e-05+0.0574616j 
-0.0779667-0.0375473j -0.0470143-0.109638j -0.0388486+0.184027j 0.118463-0.388735j 0.342173+0.123928j 0.407207-0.139586j -0.0473769-0.228848j 0.00927168+0.0385614j 0.0233421-0.0375618j 0.0246719-0.0490267j 0.115636-0.120028j 0.0606359+0.000563271j -0.0754597+0.0545641j -0.268297-0.195977j 0.154181-0.0666971j -0.0229865-0.104814j -0.11632+0.0217437j 0.0191633+0.0655438j 
0.320843+0.201643j -0.156931+0.224432j -0.264939+0.410621j 0.374111+0.00224033j 0.272499+0.403064j -0.164875-0.227039j -0.314192+0.213329j -0.0564379-0.102417j -0.0769102+0.0675066j 0.00786716-0.0674832j -0.0144373-0.0897519j 0.0755515+0.0547761j 0.058941-0.00176406j 0.0756578-0.051227j -0.0160264+0.08547j -0.0012474-0.0656345j 0.0772654+0.0618213j 0.049996-0.105382j 
-0.0371478+0.232548j -0.411364-0.127801j 0.336303-0.126171j -0.124333-0.391542j -0.0361574-0.185607j 0.051973-0.11076j -0.0794303+0.034434j 0.014973-0.0680287j -0.119358-0.0168147j -0.0174523+0.103455j -0.150692-0.0713367j 0.269478-0.195377j 0.0757737+0.0514015j -0.0640765-0.000573293j -0.114623-0.120251j 0.0281611+0.0500826j 0.0228891+0.0339507j 0.00782711-0.0385849j 
-0.052066+0.336451j -0.19842+0.455186j 0.00236567-0.0779265j -0.272109-0.225144j 0.0442567-0.178748j -0.218364+0.105882j 0.0485204-0.230685j 0.0049693-0.0486689j 0.0363509+0.213162j 0.101053-0.156599j -0.107151-0.0432606j -0.152657-0.0682537j -0.0154156-0.0862042j -0.115622+0.120295j -0.0077499+0.000270655j -0.0337254-0.0287659j 0.0698221-0.0203443j 0.0527221+0.0649314j 
-0.201734-0.132621j 0.170698+0.332529j -0.437905-0.00865396j -0.0654141-0.156966j 0.328337+0.0694383j -0.0648157-0.163964j 0.0294335-0.185304j 0.194402+0.0822631j 0.0563829-0.0431977j -0.0564131+0.151284j -0.100116+0.151483j 0.024067-0.105623j -0.00228212+0.0657539j 0.028591-0.0501222j -0.034262+0.0289585j -0.106455+0.000252079j 0.090546+0.0701622j 0.0690195+0.0444275j 
-0.361554-0.509631j 0.205118-0.125694j 0.224982-0.277714j 0.139866+0.0403704j -0.0587839+0.151265j -0.232693-0.220127j -0.00942686-0.0766326j 0.106353+0.0685445j 0.0210381+0.11118j 0.0634759-0.0427446j -0.03261-0.210165j 0.117466+0.0227685j 0.0773897-0.0627894j 0.0229519-0.0342308j 0.0697117+0.0203148j 0.0903004-0.0706562j 0.122553-0.000855496j -0.00275908+0.00114215j 
-0.258049-0.323824j 0.263336-0.0231969j -0.180501-0.241109j -0.243035-0.0632961j 0.242699-0.00780136j 0.0393831+0.0845716j -0.0481994-0.0437126j -0.16846-0.246488j -0.102269-0.055825j -0.189671-0.0821272j 0.000360262-0.0590575j 0.0192865-0.0657117j -0.0513603-0.105525j -0.0081743-0.038445j -0.0524892+0.0659074j -0.0687111+0.0454463j 0.00240926+0.00130279j 0.0413582-0.000454243j 
-0.00680111-0.0319899j -0.0189648-0.0133917j -0.0606312+0.0795485j -0.0539776+0.0993982j -0.0202997-0.0906665j 0.178442-0.0471148j -0.0628179+0.105895j 0.0376163-0.0608883j 0.0378612-0.0218044j -0.10532+0.0663194j 0.117433-0.00895908j -0.0562556-0.0514407j -0.129891-0.128203j -0.055019-0.0605073j -0.130201+0.0680902j -0.319721+0.129943j -0.17171+0.0874332j -0.23389+0.227631j 
-0.0181407-0.0126506j 0.0128006+0.113129j 0.0542834+0.000228298j 0.0454851-0.0378387j -0.111953+0.0082198j 0.108745-0.161474j 0.165176-0.133452j -0.0299562+0.0132438j 0.0906526-0.122859j 0.188855-0.0369075j -0.0810435+0.0597369j -0.061958+0.0153179j -0.128652+0.096784j -0.0977542+0.0708508j 0.0748772-0.0974829j 0.0137532+0.251349j -0.0735358-0.126878j -0.287617+0.320867j 
0.0512933+0.0212505j -0.056068-0.0954167j 0.044623-0.0472338j 0.0163175-0.00898287j -0.0603316+0.0469234j -0.0324708+0.0520831j 0.0651846-0.140635j 0.00911944+0.0694574j -0.037829+0.177323j 0.00913726-0.0557196j -0.00238047-0.0657668j 0.077334+0.0346851j 0.120118-0.00446415j 0.0318035+0.086229j -0.0623524-0.213128j 0.266899+0.149185j 0.103949-0.2907j 0.0228444-0.0151926j 
-0.101736-0.0287622j -0.0486414+0.0567566j 0.0356475+0.0720409j 0.013703+0.0443836j -0.0050698-0.00671042j -0.160112+0.0600122j -0.12644+0.0723016j -0.0646612-0.150283j 0.0254658-0.095229j -0.0512229+0.205574j -0.0970864-0.000783565j 0.117644+0.0299232j 0.108424-0.197652j 0.208011-0.0146232j -0.161741-0.029797j -0.0150083+0.148431j -0.112203+0.168929j -0.102627-0.0521328j 
-0.00707179-0.0372404j -0.044799+0.0377773j -0.0804837-0.134021j 0.068982+0.187271j 0.0389544-0.0101153j 0.0175242-0.205872j -0.199535-0.103281j 0.0164553-0.0252487j 0.0763985-0.0481071j 0.022678-0.0882191j -0.0366531-0.103553j 0.175592-0.0315063j -0.177637-0.0400931j -0.0734851-0.126697j -0.15002+0.0821848j 0.149166+0.0800773j 0.348972+0.144315j 0.01103-0.386773j 
-0.134093+0.0289448j 0.0255079-0.0637157j 0.0122882-0.10774j 0.0203581+0.00966763j -0.0900376-0.0151001j 0.0428184+0.119034j -0.0887542-0.116403j -0.114726-0.089705j -0.0227702-0.00628959j -0.178325-0.0697133j 0.0436508-0.127568j 0.124173-0.0445869j 0.166072-0.125604j -0.0087335-0.0148233j -0.268808-0.015185j 0.0377471+0.333011j -0.0371689-0.125863j -0.253854+0.0157489j 
0.0421007+0.107725j -0.152093+0.087899j -0.202426+0.0450039j 0.00850385-0.205628j -0.0993843+0.110952j -0.030157-0.0184142j -0.00996668+0.103151j 0.00749335+0.0617311j 0.0765259-0.014233j -0.0684659+0.0867055j 0.0384035+0.345903j 0.142941-0.0399146j 0.104813+0.371516j -0.0413062-0.202715j -0.106361-0.00447591j -0.25418+0.0720188j -0.00594507+0.0753802j 0.0719886+0.0910001j 
-0.0771679-0.0459737j -0.193364-0.107682j 0.040633+0.106483j 0.0911958-0.00467454j -0.0451517+0.108589j -0.184653+0.104432j 0.0862727-0.0474453j -0.116934-0.11172j 0.264238+0.150345j -0.0184589-0.140861j 0.187551-0.160627j -0.179394-0.018225j 0.104777+0.00654734j -0.178791+0.0202888j 0.189427+0.161791j 0.00873302-0.142108j -0.262848+0.145101j 0.127547-0.117131j 
-0.00796297-0.104672j 0.0333809-0.0128206j -0.104244-0.115816j -0.00841603-0.203424j -0.197433-0.0455936j 0.155866+0.0786416j 0.034263-0.111683j 0.0712816-0.0955381j -0.0187574-0.0729099j -0.256879-0.0675985j 0.102868-0.0143958j 0.0432555-0.200656j -0.104179+0.368711j -0.140524-0.0325054j -0.038848+0.346852j -0.0667237-0.0854449j 0.0840823+0.00959608j 0.00486835-0.0664086j 
