1.10679+0.000154802j 0.106726-0.000210639j 0.168767+0.0326299j 0.192973-0.000276043j 0.235557+0.0523198j -0.16733+0.0329941j -0.0535104+0.0982295j 0.13445-0.0638556j -0.0704186+0.0358393j 0.0322232+0.000740337j 0.214196+3.63041e-05j 0.0649836+0.0468537j 0.0684463+0.0359268j 0.140338+0.0490035j -0.0538668-0.0980474j 0.0378139+0.0349551j -0.0229618-0.0643784j -0.0441853+0.0421091j -0.0214147-0.0982025j -0.0846268+0.00308605j -0.0166732+0.0355437j 0.0410663-0.0233082j 0.0470529-0.0467282j -0.00405927-0.0845636j 0.0116654+0.0522581j 0.148477+0.00120562j 0.00325306-0.0192011j 0.0344025-0.000247844j 0.000899059+0.0483182j 0.00073543-0.000420834j 0.012342-0.0518828j 0.0176483-0.0829223j -0.0458452-0.0485656j -0.0415675-0.0223521j 0.015059+0.0348497j -0.0843363-0.000427296j -0.021802+0.0981268j 0.0429347+0.0421795j -0.0235392+0.0638626j 0.0377361-0.0345906j 
0.290163-0.263095j 0.330963+0.476196j -0.26588+0.0272957j 0.222754+0.189817j -0.128458-0.0918796j 0.0260096+0.335236j -0.0227874-0.11498j -0.134246+0.0166611j -0.0432103-0.0225379j 0.0174457+0.0120034j 0.11724-0.103685j -0.00890087-0.0129877j -0.071794-0.062113j 0.0382404+0.117837j 0.0421586+0.0240309j -0.0473236-0.0300762j -0.0116201+0.0853032j -0.0535605+0.0167251j -0.00737914-0.00346172j 0.0765984+0.0375183j -0.0825667+0.0125703j 0.0809934+0.0195373j -0.0679552+0.0383037j 0.0488728+0.0359254j 0.053886-0.0226132j 0.0765892-0.0548314j 0.0325995+0.0389301j 0.0157354-0.044653j -0.0106277+0.0217599j 0.0380809+0.111501j 0.015364-0.0187411j -0.0447336-0.0360038j 0.0300406+0.0664729j 0.0663079-0.0554391j -0.0112394+0.0900514j -0.078776+0.00364085j -0.0329541+0.0143172j 0.0258512-0.0685314j -0.0796705-0.0556132j -0.0212465+0.0914124j 
-0.290903-0.261899j -0.3338+0.473159j 0.0276943-0.335879j -0.222775+0.190775j 0.156676-0.0276921j -0.266604-0.029768j -0.0423346+0.0239555j -0.025533+0.119996j -0.0712583+0.0638912j -0.0191454+0.012114j -0.118305-0.102276j 0.0142673+0.00455176j -0.0430585+0.0255414j 0.135055+0.00129726j 0.0207894-0.115816j 0.021716+0.09132j 0.0809254-0.0562711j 0.0259649+0.0681932j 0.0339801+0.015791j 0.0785294+0.00085087j -0.0108568-0.0894121j 0.0651952+0.0554614j 0.0300256-0.0683631j -0.0514853+0.026329j -0.0153251-0.015498j -0.0769633-0.0540493j 0.0416839-0.0293019j -0.0161855-0.0450917j -0.00917148-0.0226327j -0.0387824+0.11039j -0.0523033-0.0232124j 0.0560606-0.028199j -0.066587-0.0389845j 0.0795319-0.019502j -0.0838047-0.0136141j -0.0740991+0.0402774j 0.00719931-0.00317144j -0.0536715-0.0152444j 0.0114829+0.0856521j 0.0467239-0.0321367j 
-0.106477-0.0840763j 0.406252+0.127803j 0.0547056-0.0146917j -0.176194+0.103275j 0.0597091+0.185747j 0.00896346+0.185231j 0.0318563-0.0184324j 0.131001-0.0156532j -0.0387893-0.0308322j 0.183809+0.0256146j -0.108844-0.0434407j -0.098794+0.0630173j -0.130796-0.231223j 0.0917883-0.228019j 0.129629-0.421435j 0.00885894+0.00165017j -0.0046209-0.0551889j 0.00273984-0.0021157j 0.0263395+0.0982598j -0.0389633+0.0103464j -0.0218942+0.0253435j 0.00454532+0.0508666j 0.0327492-0.0261304j -0.0414745-0.00154283j -0.094374+0.0903484j -0.0446994-0.000741336j 0.038239+0.00449856j 0.0592708-0.0626629j 0.149004+0.00805943j -0.0473393-0.0319475j -0.0665206+0.0388102j 0.0111961+0.08213j 0.0585107+0.0406921j -0.0479815-0.0308447j 0.0232495+0.0505491j 0.014465+0.0706917j -0.0290224+0.13064j 0.0402186+0.0480302j -0.0334079-0.070551j 0.0335618+0.0699293j 
0.130639-0.054271j 0.206394-0.0747944j 0.305368-0.0962626j 0.100161+0.0632905j -0.225847-0.132542j -0.0245027-0.0155271j 0.0887684-0.0529031j 0.184834+0.0557135j 0.0685225+0.0580892j 0.0414294+0.139492j 0.0134017+0.145295j -0.151134-0.134115j 0.14541-0.218943j 0.0133235-0.207893j 0.0930337+0.0752007j -0.0164545-0.0120739j -0.0162146-0.08063j 0.0507771-0.0640788j 0.0421963+0.0152125j 0.0160841+0.0313841j 0.0814358-0.038938j -0.0560438+0.0286974j 0.134692-0.0532752j 0.0750002-0.0574283j 0.0701825-0.0511862j 0.0375616+0.00579511j 0.0064887-0.000418401j -0.0322211-0.0317401j 0.0493484-0.098896j 0.105693+0.00523007j 0.146494+0.0974582j -0.121089+0.0182366j -0.0277764+0.00716491j 0.0585-0.0362574j -0.0370546-0.03892j -0.018696-0.00464871j 0.0429652+0.0847246j -0.0235478-0.007137j 0.00279553+0.00121006j -0.033737+0.0313089j 
0.149989-0.20003j 0.145499+0.00760205j 0.0890097-0.00210322j 0.157131+0.341797j 0.142195-0.188034j 0.162737-0.34021j -0.00289512+0.0384427j -0.102587+0.0580848j 0.119364-0.0761621j 0.216829-0.0193588j -0.0375304+0.0201936j 0.022469-0.105604j -0.185434-0.0522073j 0.0824983-0.00724114j -0.226915-0.0747494j 0.0448198+0.0245886j 0.0540963+0.00918965j -0.0418171-0.0159394j 0.00375666+0.113405j 0.0372575-0.0891755j -0.00741554-0.0809071j -0.0600365-0.0492972j -0.0156504-0.00580461j -0.0882293-0.0469658j 0.00512671+0.114817j 0.0747113-0.0518628j -0.012578+0.035685j -0.138273-0.134588j -0.0663044-0.0117873j -0.00420181+0.129491j 0.18357+0.0787565j -0.0222784-0.0665764j 0.126775+0.0431569j -0.0940284+0.136413j 0.0190104-0.00894168j 0.00737806-0.128481j 0.0309702-0.0549267j 0.00276152+0.00113193j 0.0595726+0.0742214j 0.107561-0.103154j 
-0.15304-0.198868j -0.146608+0.00757186j 0.158332+0.344635j -0.161508+0.33759j -0.0440415-0.230259j 0.0906706+0.00702999j 0.225867-0.0696059j -0.0831952+0.00189105j -0.183972+0.0550646j -0.217247-0.0164899j 0.0369067+0.0205441j 0.0943578-0.0545865j 0.121053+0.07797j 0.106934+0.0504714j 0.00350568+0.0385959j -0.11022-0.100797j -0.0610291+0.0745398j 0.00338753+0.00107515j -0.0334807-0.0572416j -0.0125258-0.12751j 0.0136735+0.0119981j -0.0941127-0.134862j 0.122299-0.0418685j -0.0341154+0.0673547j -0.185947+0.079202j -0.0778577-0.050647j -0.00304935-0.0375578j 0.141255-0.133133j -0.0673298+0.0170681j 0.00413794+0.1299j -0.0107048+0.110301j -0.0919369+0.034706j -0.0154803+0.0040588j -0.0577517+0.0487325j -0.00633402+0.0842059j -0.0413084-0.0868188j -0.00281224+0.112261j -0.0402254+0.0166015j -0.0536376+0.00871017j -0.0442539+0.0265336j 
0.130459+0.0511358j 0.205393+0.0753902j 0.026222-0.0119284j 0.101858-0.0574441j -0.259529+0.0197333j -0.303393-0.100451j 0.0939519-0.076176j 0.0330148+0.205938j -0.146371-0.215767j 0.0377502-0.141674j 0.0123298-0.147073j -0.177079-0.100007j -0.070019+0.0609944j 0.18013-0.0737689j 0.0849105+0.0517761j -0.0355735-0.0308373j 0.00250497-0.00253166j 0.0247924-0.00526134j 0.0429217-0.0845247j -0.0174385+0.00239064j 0.0379998-0.041953j -0.0585808-0.0373031j 0.0291478+0.00624811j 0.115236+0.0361688j 0.14355-0.0957921j 0.0390729-0.00745749j -0.00710138-0.00235262j -0.0336507+0.0298348j -0.0536474-0.0975045j 0.104857-0.00245519j 0.0745947+0.0522913j -0.0659915-0.0673491j -0.132307-0.0505221j 0.0565552+0.0307418j -0.0826568-0.0387758j 0.0138836-0.0355819j 0.0419265-0.0147015j -0.0515171-0.0637396j -0.0151838+0.0810172j -0.0159937+0.011706j 
0.105625-0.0848823j -0.406053+0.125987j 0.0130247-0.181681j 0.175799+0.106353j -0.135249+0.141321j 0.0582643+0.0152202j -0.129353-0.420981j -0.113845-0.21801j -0.128892+0.234397j -0.186893+0.0272575j 0.108242-0.0412686j -0.0250032+0.113465j -0.0359298+0.0316738j -0.131964-0.00102872j -0.0309245-0.0168115j -0.0333501+0.0734818j 0.0347491-0.0665237j 0.0401227-0.0503704j 0.0260574+0.131084j -0.0118946+0.0688666j 0.0225545-0.0480737j -0.0468906+0.0285648j 0.0614685-0.0417393j 0.0263557-0.0793086j 0.0638567+0.0388704j 0.0431176-0.00208777j 0.037641+0.00541202j -0.0582008-0.0622081j 0.147173-0.0120937j 0.0481828-0.0306256j 0.094747+0.0922401j -0.0437696-0.00490903j 0.0347424+0.0269292j 0.00303282-0.0503804j -0.0212325-0.0223528j 0.0386172+0.00787909j -0.0239391+0.0988989j 0.00194641+0.0030363j 0.00428755-0.0554907j -0.00901503+0.00229188j 
0.0144702-0.0443568j -0.0386904+0.184779j -0.0327653+0.0947654j 0.0124731-0.153867j -0.0332995-0.0874057j -0.222047-0.260606j 0.002195-0.006881j 0.00743612-0.0151181j -0.0158372+0.0270137j 0.0346872+0.00875283j -0.0709035+0.0469233j 0.0165682+0.0630608j -0.166804+0.0574129j 0.17341-0.0540665j -0.0697478-0.0569796j 0.00803591-0.00401255j -0.00215575+0.00783188j 0.0186708+0.00768516j 0.0777325-0.00749196j -0.0140206-0.0274733j 0.0202922+0.000270069j 0.0322476+0.024776j -0.000945037+0.00538095j -0.0786459-0.0814809j -0.000953599+0.00182262j -0.00466881+0.0153325j -0.00375777+0.0382882j -0.0618893-0.0620288j 0.118669+0.0352023j 0.0089934-0.0608163j -0.0145664+0.0924362j -0.086214+0.0582879j -0.0592906+0.0242402j -0.0644899-0.112983j -0.0226235+0.0222027j -0.0648393-0.0124382j -0.178234-0.00224504j -0.0272765-0.178928j 0.143545-0.251629j 0.208731-0.353484j 
0.0157042-0.0393203j -0.00537805+0.0395788j 0.0335857-0.102701j 0.0237515+0.0527292j -0.113485+0.160178j -0.0207442+0.027185j -0.00876527+0.0229233j -0.0358759+0.0322742j 0.00228609-0.0536187j -0.166552-0.0341876j 0.0817476-0.0201245j -0.0525045-0.0520171j -0.177714+0.250578j 0.155967-0.109944j -0.025178-0.209977j -0.00442389-0.00734881j 0.0542572-0.0355526j -0.064177-0.00613899j -0.141079+0.00419812j 0.0261328+0.0105649j -0.00304754+0.0210763j -0.0466126-0.00962314j -0.0409138+0.0176874j 0.0321332+0.088426j 0.0733307-0.0537792j 0.061287+0.00591489j 0.0220402+0.000265338j 0.00738253-0.0301755j -0.0197047+0.00391734j -0.0038951+0.0182174j 0.0482184+0.0313265j 0.177704+0.0157254j 0.0241858+0.125259j -0.0609183-0.0184158j 0.0378975-0.0345308j 0.0169744+0.207622j -0.0563095-0.0987302j -0.175876+0.152968j -0.0716229+0.225525j -0.129081-0.145851j 
