0.00950915+0.00888031j -0.0160316+0.0184183j 0.023009-0.0443133j 0.0354476-0.102075j 0.0652162-0.077793j 0.323039-0.0437403j -0.385412-0.136743j 0.00426674-0.00995537j -0.0192483-0.0124929j -0.0319528-0.00858391j 0.0551806-0.0163385j -0.000721828+0.00504149j -0.0265195+0.0324932j 0.0464902+0.0817113j 0.126635+0.240485j 0.132397-0.146003j -0.187096-0.0034663j 0.200103-0.123696j 
-0.00472836+0.0245017j -0.0657708-0.0861026j 0.0515762-0.00239544j 0.204988-0.108009j -0.364207-0.00443962j 0.342032+0.117409j 0.120995-0.0800295j 0.0291089+0.0122527j 0.0299477-0.0502437j -0.0493237-0.073726j 0.127624+0.117406j 0.00111313-0.010339j 0.172964+0.0214816j 0.106773-0.241532j 0.0641149+0.00512107j 0.21478+0.0598241j -0.17979+0.10926j -0.0190223+0.0638837j 
-0.0359933-0.00702869j -0.0167331-0.0462284j 0.299275-0.0374151j -0.234309-0.000860943j -0.305692-0.0359122j -0.011057+0.0467846j 0.034111-0.00918948j 0.013445+0.0251258j 0.0278713-0.00624449j -0.105207-0.0913759j -0.106945-0.0824983j -0.0270397-0.311495j 0.137901-0.000298084j -0.0270253+0.316019j -0.105764+0.0807783j 0.105823-0.0917883j -0.0306883-0.00419016j -0.0115094+0.0249308j 
0.136422+0.0728246j -0.320913+0.123088j -0.372342+0.00499998j -0.211331-0.101947j 0.0626905-0.00151708j 0.0575476-0.0918352j -0.0113829-0.0216597j -0.0284086-0.0688809j -0.173748-0.105258j 0.215327-0.0598287j -0.0622528-0.00750492j -0.106902-0.241835j -0.177389+0.018517j -0.00369447-0.00497323j -0.127166+0.121919j -0.0510508+0.0724567j 0.0355083+0.0461595j 0.030014-0.0162247j 
0.372018-0.138886j 0.339259+0.036624j -0.0517385-0.0780907j 0.0417664+0.107385j -0.0245114-0.0438072j -0.0193277-0.0152595j -0.00996185+0.0102677j -0.196146-0.119715j 0.194988+0.00130965j -0.140118-0.143655j 0.12515-0.243782j 0.0483817-0.0747064j -0.0228412-0.0328767j -0.00148948-0.000891699j 0.0589203+0.0124971j 0.0331022-0.0125599j 0.0183475-0.0148533j -0.0054697-0.00967766j 
-0.0173328-6.28591e-05j 0.0123184+0.000140509j 0.0402382+0.00689747j 0.0499088+0.0122771j -0.036003+0.0501388j -0.182529-0.0517516j -0.745674+0.136691j 0.00033837+0.00266011j 0.00393039+0.00258386j 0.00385489-0.00319002j -0.00694564+0.00742906j 0.00192422-0.00350164j 0.00960499-0.00994387j -0.00122235-0.006371j 0.0192334-0.0273333j -0.0120202+0.0146234j -0.0709518+0.00943253j 0.0830738+0.0308814j 
-0.0122887+0.000501466j -0.0870715-0.000358094j 0.0867014+0.0341248j 0.176112-0.0112123j -0.206408-0.0666417j -0.59012+0.0939645j -0.154926-0.0556919j 0.00407714+0.00317841j 0.000549438-0.00828113j -0.00454271-0.0150916j 0.00882753+0.0174139j -0.00270078+0.00171335j -0.00534202+0.00723431j 0.014648-0.00969502j -0.0284179+0.0255016j -0.0792895+0.000739228j 0.0739575+0.0292077j 0.040809-0.0169953j 
0.0400888-0.00669414j -0.0870831+0.0345254j -0.243589+0.000353331j -0.0435151+0.0216529j -0.591467+0.0324985j -0.199552-0.0660072j -0.0346788+0.0524698j -0.00165117-0.00511701j -0.0125904-0.00699095j 0.00341945+0.0147064j -0.00523111-0.00332752j 0.00672573+0.0181864j 0.0498965-0.0154012j 0.0715905-0.000519678j -0.0548598+0.00101053j 0.0656714+0.0174457j 0.0154013-0.0153992j -0.0102829-0.00283332j 
0.049885-0.011644j -0.17638-0.0105276j -0.0442793-0.0216198j 0.680336-0.00012444j 0.058781-0.0204608j -0.162034+0.0104629j -0.0390069-0.0129995j -0.00299258-0.00559569j -0.0162091-0.0129605j -0.0103054+0.000651396j 0.0598136-0.0231586j 0.00129546-0.0209096j 0.0640478+0.000138288j 0.00105968+0.0209108j 0.0589028+0.0221586j 0.010069+0.000270943j 0.0135735-0.0132372j 0.001823-0.00517245j 
0.0351424+0.0498179j -0.20442+0.0670185j 0.593305+0.0333153j -0.059487-0.0204293j 0.236447-0.000360101j -0.0847679-0.0352275j -0.034398-0.00568119j 0.0102004-0.0033874j -0.0178305-0.0143027j -0.066753+0.0176902j -0.0558157-0.00131727j 0.0725644+0.000367251j 0.0484315+0.0150467j 0.00676897-0.0179007j -0.00628477+0.00333267j -0.00198724+0.0145027j 0.0112593-0.00757766j 0.000858526-0.00489638j 
-0.181958+0.0519817j 0.594534+0.0937456j -0.197524+0.0663999j -0.162258-0.00980387j 0.0850626-0.0356261j 0.075073+0.000381136j -0.0182121-0.00024426j 0.0465854+0.0159292j 0.0753362-0.0298707j -0.0813459-0.00134146j 0.0268499+0.0239229j -0.0134485-0.00950845j 0.00664566+0.00686107j 0.00288037+0.00182264j -0.00730167+0.0176722j -0.00331918+0.0148818j 0.000785118+0.00727428j 0.00347587-0.00347631j 
-0.75107-0.136005j 0.154142-0.0558948j -0.0339317-0.0521656j -0.0389427+0.0123359j 0.0342003-0.00547087j -0.0181878+0.000582584j -0.01765-7.1811e-05j 0.0864796-0.031557j -0.0759566-0.00929068j -0.00895835-0.0138258j -0.0186812-0.0268032j 0.0013915-0.00552397j -0.00912147-0.00969695j -0.00164872-0.00311249j 0.00605248+0.00657685j 0.00301599+0.00250333j 0.00296309-0.00280183j 0.000300387-0.0023784j 
-0.0010452-0.00975717j -0.0129774+0.0148369j 0.000408894+0.0209262j -0.00354692+0.0231951j -0.0475462-0.00496485j 0.168506-0.105906j 0.344592+0.0866907j 0.00197258+0.00128941j 0.0173912+0.00303274j 0.00815715-0.000337033j -0.00258455+0.0108112j -0.0089723-0.00848263j -0.0261587-0.0202052j -0.010785-0.00704284j -0.0135128-0.0212498j -0.0512809+0.00927287j -0.0710206-0.0689996j -0.399222-0.0165254j 
-0.0117581+0.0124331j 0.0109696+0.0264231j 0.0420778-0.0358966j 0.0488665-0.0560062j -0.047288+0.0746073j -0.318641-0.0775643j 0.277729-0.157102j -0.016561-0.00332879j -0.000911006+0.00448592j 0.037546+0.0165838j -0.0360954-0.01826j 0.00390631+0.00362804j 0.0135682+0.01394j -0.00711099+0.010204j 0.080339-0.00215666j 0.0906739+0.0700912j 0.323326+0.010906j 0.0419245-0.072271j 
-0.0109255-0.00443952j 0.00629912+0.0141778j 0.0205613+0.0203291j 0.0340835+0.0241113j -0.0321385+0.0143903j 0.0228395-0.173683j 0.00872387-0.247358j 0.000909144+0.00741252j 0.0012202+0.0253245j -0.00301954+0.00117406j -0.00890149+0.0123467j 0.00553105-0.0188984j 0.0111362-0.0520134j 0.00818082-0.0229423j 0.0104118-0.029688j -0.00978467-0.114354j -0.00590146-0.152659j -0.0379607-0.566001j 
-0.0182114-0.00908573j -0.018549+0.0457362j 0.0341096+0.0507311j 0.0763054+0.00655072j -0.23204-0.0213753j 0.221005-0.230729j 0.0676828+0.170706j -0.0100721+0.0129544j 0.0295855+0.00181551j 0.0387894-0.0269455j -0.0360701+0.0451j -0.0210354-0.0243409j -0.0651462-0.0429828j -0.0238899-0.0188948j 0.0115984-0.0444462j 0.282923-0.0454789j 0.0672707-0.20564j 0.114385+0.0384188j 
-0.00191687+0.00680881j 0.0354663+0.0333901j -0.0050348+0.000644136j -0.0160893-0.0551855j -0.152447+0.0759727j 0.15613+0.0940575j -0.0404166-0.222773j -0.00393649-0.0217847j 0.0227653+0.0185605j 0.00948205+0.0619366j 0.00344562-0.0356601j -0.0295225-0.0290747j -0.0994274-0.0461492j -0.0452933-0.0445174j -0.0105364+0.106662j 0.11752+0.210514j 0.0644868+0.407906j -0.00755883+0.0597289j 
-0.0108331-0.0223651j -0.0473232+0.0365721j -0.0840038+0.0402714j 0.0601502-0.00783624j 0.133358-0.26951j 0.138408+0.186624j 0.0424831+0.0218151j 0.00833328+0.00224666j 0.0327906-0.0493426j -0.0227298-0.0206832j -0.0125535+0.000937503j -0.0365787+0.0629996j -0.0679863+0.14699j -0.142897+0.0307512j 0.129965+0.092248j 0.0704341-0.290021j 0.133497-0.0722035j -0.0309675-0.0528695j 
0.0294766+0.00227989j -0.0267411-0.0650479j -0.0212762-0.0196894j -0.2342+0.0342929j -0.162019+0.00203031j 0.00642934+0.205114j 0.0415-0.117693j -0.00164369+0.00789648j -0.0316691-0.0352076j -0.00233881-0.0355262j 0.0697287+0.0490621j -0.0268635-0.00841459j -0.0288046+0.0998786j -0.0835736+0.0139493j -0.291568-0.221229j 0.0384508-0.165718j -0.0307841-0.0917655j -0.0143836-0.0589223j 
