-0.47434+0.000154756j -0.124551-0.263167j 0.124479-0.261825j 0.132469-0.0450387j 0.0221307-0.122698j -0.136257-0.127475j 0.137107-0.127231j 0.0223166+0.120459j -0.131525-0.0453883j -0.00913604-0.0598405j 0.0214036+0.0347828j -0.125586+0.0333919j 0.0176938+0.0721851j 0.0659954+0.0251609j -0.0115985-0.126528j -0.09648-0.0491916j -0.00334108-3.24089e-05j 0.0985909-0.0485945j 0.0110011-0.123091j -0.0669022+0.0279507j 0.0185928-0.0726454j 0.124198+0.0350763j -0.0196082+0.0353661j 0.00952828-0.0591083j 
0.85776+0.0001238j 0.0948558-0.0255699j -0.0945821-0.0250517j -0.178261-0.0143698j 0.0930573-0.201092j -0.00865859+0.0474027j 0.00599496+0.0471898j 0.0926886+0.202316j 0.177959-0.0147569j -0.054126+0.149491j 0.080109-0.0151198j 0.0413846-0.0134023j -0.0346833+0.00231362j 0.136282-0.0633723j 0.0482203-0.083323j 0.0316656+0.0293369j -0.0443433-6.86286e-05j -0.0339545+0.0287357j -0.0508863-0.0857589j -0.133991-0.0619102j -0.0345087-0.00244821j -0.0403263-0.0140028j -0.0815946-0.0156907j 0.0538812+0.14926j 
-0.355724+0.163474j 0.0476901+0.0305271j 0.36516+0.358645j -0.035643+0.0447723j 0.0147284+0.00690973j -0.244597+0.0502959j 0.15522+0.227186j -0.167831+0.0861715j 0.0629928+0.314466j 0.0123771+0.0336548j 0.0362888+0.0517471j 0.0104312+0.0621856j -0.131229+0.0535067j 0.015586-0.0838461j 0.0375238+0.0503664j -0.0666703-0.0287468j -0.0784063-0.0743492j 0.090229-0.0267832j 0.0422949-0.0343413j 0.0922998-0.0494879j -0.0269804+0.0931121j -0.0477404-0.0527304j 0.0389945+0.119008j 0.0265982+0.00196141j 
0.172511-0.000515329j 0.104153+0.472361j -0.10625+0.468659j 0.138374+0.0405307j -0.0142271+0.166311j 0.103927-0.103617j -0.102524-0.102776j -0.0141362-0.168509j -0.139134+0.0381001j 0.00461607-0.0759133j -0.0812751-0.0223069j 0.0510193-0.000121434j 0.00553171+0.0454612j -0.0246749-0.0897042j 0.0679384-0.0378485j 0.0242629-0.0339792j -0.207951+0.00157476j -0.0280291-0.0333973j -0.0682252-0.039189j 0.0244865-0.0900254j 0.00426257-0.0468853j -0.0521795+0.00217702j 0.0801731-0.0236996j -0.00577199-0.0766012j 
0.416602+0.093246j -0.311686+0.182696j 0.206335+0.297974j -0.0666897+0.212768j -0.139699+0.0156322j -0.275446+0.0568214j 0.229285+0.167206j -0.121434-0.0721174j -0.0291702+0.221751j 0.075776+0.0117077j 0.0246269-0.0922396j -0.0117251-0.00811894j 0.0749892+0.0500673j 0.0686292+0.143729j -0.0440223-0.0141131j 0.0871506+0.0741106j 0.0784795+0.0156236j -0.10835+0.0303382j 0.0418753+0.008986j -0.122863+0.101254j 0.0897419-0.0124898j 0.0161285+0.001424j 0.0174531-0.0940012j -0.0747482-0.0206444j 
0.353766+0.164645j 0.367156-0.35716j 0.0466176-0.0263244j 0.0630117-0.313619j 0.166713+0.0845221j 0.152645-0.231613j -0.245908-0.0496067j -0.0160741+0.00360118j -0.0385318-0.0443973j 0.0261784+0.000258106j 0.0398842-0.117709j -0.0476238+0.0523727j 0.0247394+0.0934341j 0.0930457+0.0486205j 0.0405119+0.0314641j 0.0917212+0.0256012j 0.0769927-0.0764467j -0.0650984+0.0261608j 0.0369268-0.0497358j 0.0150737+0.0862851j 0.132374+0.0518458j 0.00832974-0.0616126j 0.0361249-0.0529176j 0.0119376-0.0355442j 
0.0799344+0.144233j -0.0527467-0.073j 0.384795+0.152853j -0.00346518+0.00514284j -0.000833325+0.00350772j 0.00873123-0.00820456j -0.0481609+0.0361756j 0.185877-0.177632j 0.0100792+0.150012j 0.000739595-0.000986724j -0.0113893+0.0135791j -0.0339103-0.0100276j 0.0844991-0.0147752j 0.00084481-0.030798j -0.0243841+0.0367008j 0.099046+0.0309684j -0.0246956-0.0422129j 0.102368+0.0229218j -0.0262149-0.0658459j -0.0801957+0.00361655j 0.22536-0.0123234j -0.15644-0.175636j 0.114431-0.279172j 0.038609-0.372431j 
-0.117035+0.0181938j 0.258185+0.021083j -0.091561+0.0375517j -0.0195749-0.0138576j 0.0140296-0.0100882j -0.134387+0.103823j -0.0176321+0.0202516j -0.089841-0.252525j 0.0717016-0.164034j -0.00846741-0.00818758j 0.0687107-0.0634177j 0.0392523-0.00510515j -0.162432-0.0662667j 0.0351808-0.0272208j 0.0822339-0.00582024j -0.0737123+0.0688205j 0.122251-0.0275744j -0.0302157-0.164036j 0.0248873-0.0791735j 0.0140954+0.189463j 0.066277+0.0641995j -0.202095+0.242343j -0.0200399+0.169221j -0.249012-0.0755116j 
0.163249-0.114874j 0.23108+0.0487121j -0.194533+0.026202j -0.0207612-0.0157935j 0.029162-0.0272179j -0.171515+0.0285592j -0.0320374-0.245418j 0.290917+0.127214j -0.115495+0.293431j 0.00488296-0.0181474j 0.0715852-0.00832479j 0.0272553+0.0340974j -0.0784021-0.0242477j -0.0110681-0.0237664j 0.08035+0.0137675j 0.085117-0.120305j 0.085489+0.0512462j -0.0149705-0.120804j -0.167664+0.009243j 0.013141+0.212313j -0.124264+0.137975j 0.037406+0.167903j -0.0650794+0.0931338j 0.153995-0.0593587j 
0.123864-0.000494784j 0.129174+0.00851238j -0.127887+0.00901431j -0.150996-0.000250213j -0.0743894+0.139634j 0.180698+0.28987j -0.183895+0.285658j -0.0722745-0.134278j 0.149649+0.00537415j 0.0333726+0.0250424j -0.101878+0.0503016j -0.120358+0.0532397j -0.0665252+0.00709999j -0.20859+0.0468645j 0.061389+0.038476j 0.027239-0.0663628j 0.168908+0.000129j -0.0257146-0.0641515j -0.0557697+0.0417284j 0.210621+0.046629j -0.0678616-0.00415486j 0.121767+0.0551247j 0.103941+0.0526349j -0.0286123+0.0254564j 
0.0112281-0.000675219j 0.0655379-0.0189539j -0.0650579-0.0192362j -0.205538+0.039153j -0.0249158+0.13203j 0.03851-0.0518591j -0.0404234-0.0529043j -0.0216405-0.132392j 0.204325+0.0414127j 0.0271707-0.0687671j 0.194069+0.0227496j 0.0261421-0.101598j 0.0303458-0.0297404j 0.000139201+0.0187107j -0.0275036+0.198127j -0.123464-0.1813j -0.106286+0.00239013j 0.123642-0.182254j 0.0281969+0.201792j -0.00218534+0.0170982j 0.0318671+0.0313673j -0.0243994-0.102067j -0.194179+0.0226016j -0.0260966-0.0694669j 
