-0.00181659-0.0114741j -0.014842-0.0107991j 0.0145732-0.0143607j -0.0275363+0.0323389j 0.00844934-0.0153705j -0.0417124+0.042792j 0.00524965+0.0271066j -0.08189+0.117034j 0.0557941-0.0637013j 0.31581-0.0460464j 0.386674+0.13667j 0.0102976-0.00105115j -0.00156704+0.0134748j -0.0112856-0.0131407j 0.0253646+0.012807j 0.0107638+0.00325839j 0.0258589+0.0138702j -0.0260175+0.000834812j 0.0690902-0.000799487j 0.0106145-0.00758305j 0.0228797-0.0132354j 0.109409+0.234745j 0.0701753+0.10852j 0.166504-0.117085j 0.192289-0.0105084j -0.166332+0.104674j 
0.0157352+0.0134049j -0.000232115-0.0362875j 0.0185023+0.0651767j -0.0380587-0.0743294j 0.0100614-0.00839519j -0.0198761+0.0320582j 0.065975-0.0414768j -0.123055+0.113393j -0.349997+0.00562485j 0.346783+0.127312j -0.183475+0.077895j -0.0047638+0.0220046j -0.0294315-0.00268033j 0.0321887-0.0213353j -0.0148377+0.0580883j -0.0198994+0.0123092j 0.0438562+0.0403728j 0.0014404+0.00535742j 0.0894979+0.0819388j 0.0498986+0.0596051j -0.159906-0.0928203j 0.122063-0.153952j -0.0988003+0.129248j 0.240887+0.0629583j 0.159143-0.0832814j 0.0871806-0.0725839j 
0.00845452+0.0229656j 0.0533984+0.0301929j 0.0169653+0.0654481j -0.0225717-0.0155374j 0.0285302+0.0793261j -0.21678+0.0693596j -0.318426+0.00171942j 0.241842-0.00401485j -0.302848-0.0763033j -0.0679557+0.0679581j -0.047255-0.0116888j -0.0237396+0.00540927j -0.00384687-0.043271j 0.0420058+0.00212648j 0.0116937+0.0404888j 0.00882356-0.0271604j 0.118084+0.079935j 0.0144454+0.203626j -0.145631-0.0157691j 0.144685-0.112865j -0.0945011-0.0350206j 0.00674778+0.164577j -0.17534-0.0320482j 0.135712-0.0894011j 0.00876331+0.0404838j 0.0438678-0.0325918j 
0.0149391+0.0250749j 0.0688143+0.0557432j -0.0421483+0.00422448j 0.257742-0.102919j 0.00705385-0.0920844j -0.284629+0.000607211j -0.00345487-0.0937498j -0.2698-0.0983761j -0.048265+0.0001888j -0.0631088+0.0606861j 0.00624206-0.0226971j -0.0207851+0.0020279j 0.00143374-0.0461947j 0.030882+0.0356932j -0.050389-0.081434j -0.152302-0.0886833j 0.163707-0.000423903j -0.0688899-0.262501j 0.0645653+0.00039972j 0.0655827-0.257942j -0.165818-0.0030937j 0.154919-0.0993014j 0.0487724-0.0801846j 0.0320376-0.0332948j 0.00521743+0.0439969j 0.0235932-0.00198948j 
0.0436941-0.0159411j -0.0793812-0.0639762j 0.285645-0.0798236j 0.249929+0.00629543j -0.322163-0.00219462j 0.220053+0.0659668j 0.0314058-0.0810896j -0.0286873+0.0139967j -0.00691935+0.0643266j 0.0523436-0.034538j -0.00256298+0.0214861j 0.0432244+0.0297825j -0.00189592+0.043989j -0.129996-0.0887478j -0.176708+0.0291855j 0.00476609-0.166147j -0.0907874+0.0322761j 0.142016+0.107851j 0.15115-0.0178869j 0.0110872-0.206998j 0.118751-0.0785131j 0.0106911+0.0257748j 0.0138684-0.0399843j -0.0444922+0.0041374j 0.000801267-0.0428568j -0.0257499-0.00206111j 
-0.204077-0.0683472j -0.316774+0.135026j -0.363457-0.00357477j 0.122211+0.106098j -0.0589048-0.0439094j -0.0334208-0.0304733j -0.0147113-0.007327j 0.0333215-0.0816343j 0.0161046-0.0679851j -0.00643806-0.0327147j 0.0177184-0.0161979j -0.098358-0.0783034j 0.14834+0.0783629j 0.240019-0.063978j 0.106193+0.11952j -0.121992-0.163287j 0.165315-0.0918736j -0.0550353+0.0549225j 0.0832847-0.0837829j -0.00169041+0.00287284j -0.0474638+0.0428113j 0.0229946+0.0131278j 0.0176884+0.0553487j 0.0346583+0.0171572j -0.0294419+0.00701595j 0.00694581+0.0223998j 
-0.36695+0.14065j 0.336243+0.0370762j -0.0373826-0.0628123j -0.0868099-0.123553j 0.00637335-0.0256697j 0.0417134+0.0444947j 0.00748393+0.013971j -0.0302845-0.0297745j -0.016011-0.0108448j -0.0156464+0.0131736j 0.000883893-0.0108851j -0.159143-0.100947j -0.20138-0.015079j -0.176371-0.113572j 0.0641452-0.116661j 0.110722-0.230023j 0.0183859+0.0171893j 0.0135656+0.00389473j -0.0733209+0.00342405j -0.0240788-0.00464725j 0.0270214-0.0163718j 0.0107308-0.00357621j 0.0246901-0.0163441j 0.00961427-0.0145509j 0.00328486+0.013472j 0.0103053-0.000302642j 
0.00519341+7.56095e-05j 0.032425+0.00103429j -0.0117284-0.00271253j -0.00298434-0.0104014j 0.020357+0.00895428j -0.056628-0.0194246j -0.0239748-0.00715051j -0.0320965-0.0172098j -0.101979+0.0511663j -0.149635-0.0469877j 0.716249-0.141646j -0.00161883+5.37165e-05j -0.0018201-0.00436374j 0.00314973+0.00356154j -0.00455487+0.00177158j -0.00194243-0.00171315j -0.0036699+0.00673396j 0.00011277+0.00223487j -0.012159+0.0097652j 0.000635654+0.0025089j -0.0121231+0.00644096j 0.0166887-0.027188j 0.0196695-0.0127638j -0.00240562+0.0138935j 0.0741552-0.0109513j -0.0825535-0.0319109j 
0.0325382-0.000963713j -0.00452103-0.000157663j 0.0799318+0.0080988j -0.0766424-0.0151698j 0.00593432+0.0104821j -0.0252318-0.0345639j 0.0101804-0.0280006j -0.142459+0.033081j -0.236651-0.0924181j -0.563614+0.121631j 0.112072+0.0546863j 0.00205525+0.0053827j -0.00367812-0.00139798j 0.000579702-0.00686959j -0.00122161+0.0122875j -0.00101121+0.00257186j 0.000678771+0.0113919j 0.00267991-0.00660579j 0.00662639+0.0125711j 0.00241207+0.00855766j 0.00840072-0.0170904j 0.00433836+0.00831937j -0.0257926+0.0252987j -0.0675874+0.00160964j -0.0740616-0.0315086j -0.0596975+0.0164433j 
0.0116778-0.0029621j -0.0799822+0.00784775j 0.0542597-0.000279551j -0.025386+0.0380657j -0.0901847-0.0303811j 0.257089+0.0149124j 0.135204+0.0319771j -0.0270647-0.0339223j -0.515748+0.0847453j -0.222169-0.0937668j 0.0934125-0.0549882j 0.0043987+0.00244888j 0.00373658+0.00848912j -0.00716001-0.00747018j 0.0031251-0.00562859j 0.00332524+0.00945668j -0.00750184-0.0166357j 0.00119801-0.013307j -0.00159477-0.00463505j -0.0107379+0.00270216j -0.0339914+0.0223047j 0.027679+0.00258811j -0.0844357-0.00154988j 0.063421+0.0220895j -0.0265887+0.0157664j 0.0106339+0.00870804j 
0.00282457-0.0102385j 0.0765744-0.0149144j -0.0263578-0.0379164j 0.154325-0.000127251j -0.0565697-0.0260125j -0.0525293-0.0368939j 0.0842929-0.0273706j 0.662176-0.0251542j 0.0132795+0.0327113j 0.128876-0.0323166j -0.019206-0.019349j -0.000999743-0.00109093j -0.00575357-0.00648328j 0.00116224+0.00538477j -0.00471692-0.0107158j -0.0111461-0.00979539j -0.00654129+0.000404486j 0.0215735-0.0325642j -0.0437815+0.0179958j 0.0115565-0.00270788j 0.0690058-0.00112248j -0.0320266-0.0262298j -0.055598-0.00926334j -0.0121921+0.0033537j 0.010743-0.00989286j 0.0035072-0.00363379j 
-0.0203789+0.00899287j -0.00591437+0.0105332j -0.0893799+0.0305415j -0.0571278+0.0260637j -0.0248566+0.00010325j -0.146346+0.0143441j 0.723426-0.0251034j 0.073144-0.026539j -0.128486-0.032241j -0.00824127+0.0298654j -0.0238968-0.00571918j -0.00275586-0.00241608j 0.00293736+0.00010164j 0.00640171+0.00562015j -0.00090461+0.000857074j 0.00669059+0.00743594j 0.00665766+0.0101935j 0.00226667+0.00723464j 0.0107974-0.00502241j -0.0755445+0.00487262j -0.0273968+0.00126238j -0.0525498+0.000659936j 0.0317046+0.00469009j 0.00640714-0.00824444j 0.00461286+0.00016578j 0.00116603-0.0029554j 
-0.057075+0.0194712j -0.024705+0.0348005j -0.257024+0.0153915j 0.0510767-0.0367961j 0.146852+0.0140377j 0.583441+8.06057e-05j -0.141208+0.0135274j -0.0516392-0.0358019j -0.248244-0.0147033j 0.0308407+0.0369925j -0.0524198-0.0184229j -0.00780072-0.00726395j 0.00982042+0.00057759j 0.0128555+0.016052j -0.0104494-0.00101484j -0.00484419-0.00271983j -0.0487387+0.0175884j 0.0363441-0.0114523j 0.0710149+1.32153e-07j -0.03724-0.0108953j 0.0490244+0.0170424j 0.00374375-0.00316109j 0.0120818-0.0015329j 0.0103749-0.016294j 0.0105045-0.00143395j 0.00634918-0.00773264j 
