0.0402792+0.0235964j -0.132529-0.101379j 0.0125968+0.14506j -0.0035199+0.0258622j -0.0322346+0.0421214j 0.0270451+0.0624267j 0.0101213-0.0428297j 0.0105086-0.0280552j 0.0151895-0.0432231j 0.0476398-0.0199198j -0.0188973-0.0366074j -0.0292982+0.0284885j -0.00984699-0.000772789j 0.000131185-0.0353779j 0.00175637-0.0101118j -0.0106752+0.0395848j -0.0518675+0.00360402j 0.0414777+0.000906776j 0.0463415+0.0289387j 0.0120576-0.0354615j -0.0640522+0.00329794j 0.0281984-0.0458478j 0.0496529+0.0227802j 0.00800098+0.0150168j -0.145993+0.0067723j 0.0995643+0.22379j 0.15328-0.0994582j 0.109693-0.0109701j -0.111464+0.0117719j -0.0201982-0.0874454j -0.0373573-0.0666647j 0.0211651+0.0447918j 0.0406134-0.0350593j -0.0390621-0.0158932j 0.0144998+0.0520045j 0.0318664-0.0112643j -0.00360425-0.0310384j 0.0155841+0.0169467j -0.0122242+0.0180257j 0.00715999+0.0154698j -0.0230785-0.028601j 0.000238666+0.00522479j -0.0182525+0.00480468j 0.0274635+0.00880749j -0.0191161-0.0111387j -0.00138557+0.0174656j -0.0128289-0.0020575j 0.0131082-0.00340837j 0.00557606-0.00184518j -0.0030356-0.0247477j -0.00144201-0.0140389j -0.0213886-0.00168174j -0.0166105-0.0184525j -0.0274822-0.0282253j 0.0286733+0.00776423j 0.0208712-0.00267584j 0.00482647-0.00127j 0.0342534+0.033541j -0.0338757-0.0406095j -0.020685-0.0111356j -0.0104117-0.0154522j -0.0387774+0.0140294j 0.0138815+0.0558067j -0.0408964+0.0717631j 0.10099+0.0255359j -0.311197-0.0613485j -0.00495782+0.25375j 3.09521e-05-0.00368837j 0.137845-0.127927j 
0.119755+0.0891158j 0.0630029+0.0318877j 0.00950804-0.0523002j -0.00377212+0.124396j -0.0378111+0.0337389j -0.0145086-0.0295347j 0.00875599-0.0885312j -0.0353677+0.0429488j 0.032909-0.0396172j -0.0193299-0.0370713j 0.00110767-0.0321105j -0.00850805+0.00904851j -0.0305459+0.0340428j -0.0243479+0.00155386j -0.0004827+0.0236035j 0.025905-0.00611769j 0.0149347+0.00617854j -0.0265437-0.0131055j -0.00215585-0.00632j -0.028124+0.0591788j 0.0166025+0.016599j -0.0358296-0.0365673j -0.0340661-0.0162605j 0.00637069-0.0641853j -0.0141453+0.0910988j 0.214922-0.0610596j -0.135407-0.231319j -0.128312+0.024544j -0.142143-0.0141379j 0.0349766+0.05472j -0.00506773-0.0828078j -0.0400747+0.0383922j 0.0275577+0.0172875j 0.0168287+0.0109138j 0.00319437+0.0131604j 0.00356471+0.0420936j 0.0321836-0.00300288j 0.000567965-0.00223672j 0.0269603+0.00918546j -0.0111564-0.0251317j 0.0245363-0.0186287j -0.00488807+0.00926647j 0.00186949+0.00647059j 0.00499383+0.00836899j 0.0237341-0.0228565j -0.00479431+0.00184865j 0.00821152-0.00193111j -0.00588242-0.0103027j -0.016286+0.00208703j 0.0206459-0.00951638j -0.00471006+0.00424734j -0.0030405-0.00279839j 0.00168359-0.0201778j -0.00865498-0.0147939j 0.0196916+0.0118242j -0.000772784+0.00804578j -0.00185414+0.00847124j 0.0404109+0.0260332j 0.0171708+0.00066813j -0.0323359-0.0394198j 0.0131501-0.0452324j 0.0437211+0.00841069j -0.0182314+0.0410041j 0.0718962-0.061769j 0.0695799-0.0320835j -0.0109573+0.23066j 0.315689+0.118193j 0.130448-0.150374j 0.0390614+0.0264996j 
-0.109971+0.0245798j -0.115895+0.0134769j -0.0416799+0.0162496j -0.0186109-0.0195811j 0.0250659+0.0094583j 0.0464839+0.0630211j 0.0452975+0.0287041j -0.0424822+0.0566979j -0.0201095+0.04904j 0.000211099+0.105197j 0.040058-0.051576j 0.00774549-0.0424761j 0.0113956-0.00978138j 0.0422683+0.00650368j -0.111874+0.0166054j 0.0430076-0.0346032j -0.0120133-0.0115963j -0.103159+0.117633j 0.116969-0.00257425j 0.132656+0.0419294j -0.0339514-0.0459324j 0.144603+0.0639359j 0.0095812+0.150113j -0.00346414+0.00927928j 0.138902-0.234623j 0.275378-0.0168622j -0.0576043-0.0152962j -0.00543259+0.0517971j -0.0252459-0.183215j -0.0524545+0.00843238j 0.062929+0.0222421j -0.0209677-0.0144989j -0.018141+0.052339j 0.0145674-0.0482054j 0.00585103-0.0213255j -0.00969356+0.0229704j 0.0558768+0.00400117j 0.0231637-0.00230816j 0.0189257-0.0230822j -0.0119624+0.0201331j 0.0115984-0.0111605j -0.00732609+0.0078175j -0.00696374-0.00766863j -0.0152137+0.0263419j -0.00505171+0.00514659j -0.0119168-0.0141845j 0.00174469-0.00934179j 0.0192066+0.00144343j -0.0159014+0.00922539j -0.0380626-0.019677j -0.00147914+0.000268315j 0.00883032-0.0104959j 0.0464372-0.00720951j 0.0146152+0.00659414j 0.022993+0.0147482j -0.0167343+0.0262211j -0.0187428+0.0116328j 0.012733-0.0161754j -0.000673676+0.0457573j -0.0261577+0.0163022j 0.000551833+0.0188812j -0.198069-0.0439214j 0.0565972+0.0762824j 0.0362569-0.046765j -0.0859148+0.155645j -0.0100443-0.0447208j 0.109089-0.0382719j 0.0718666+0.050303j -0.0286656+0.117946j 
0.107793-0.0133548j -0.0993705+0.0315087j 0.052615+0.0300541j -0.0442539-0.0448921j -0.0561004-0.145759j 0.0617251+0.0422199j -0.0109688+0.0406405j -0.0722011+0.0187929j 0.0144794+0.00913995j -0.034404+0.0480155j -0.0165173-0.0725617j 0.0101174-0.0677735j -0.013293+0.00624778j -0.0219469-0.0388355j -0.00201708+0.00974709j 0.0274175-0.00798901j 0.00460712+0.00632154j 0.108177+0.0365678j 0.00288191-0.0297444j -0.0422536-0.121169j -0.00938417-0.0139493j 0.0278088-0.0565139j 0.241597+0.0310139j 0.00190961+0.105085j -0.127616-0.215325j -0.109754-0.0820327j -0.22203-0.205081j 0.00326058-0.146166j -0.0826946-0.049667j -0.0767773-0.000162513j -0.0580428+0.0215414j -0.0201896-0.0482406j 0.0113403+0.0282329j -0.0108937-0.025507j 0.0184917+0.025154j -0.001592+0.0031461j -0.019775+0.0394947j 0.0337367-0.00317082j 0.00475776+0.0342279j -0.0102369-0.00504827j -0.0177418+0.0242296j -0.0142509+0.00026999j -0.0139325-0.00651688j -0.0181078-0.0132533j -0.0207817+0.0122105j 0.0387879-0.00380834j -0.0161048+0.00353181j 0.0033671+0.00337165j -0.00664508-0.0176884j 0.0374214+0.0047803j -0.000605062-0.00438585j -0.00524315-0.0035799j -0.00104963+0.00225769j -0.0194815+0.0155236j 0.0376255+0.000546964j -0.0143269+2.03464e-06j -0.00621661+0.0100706j 0.0305558-0.0256974j 0.0548039-0.0193878j 0.0461714+0.0197242j 0.0765811+0.0455932j 0.0538863+0.127116j 0.130585-0.016117j -0.041225+0.0668401j 0.108442+0.110031j 0.060241+0.00329455j -0.0103103-0.00476781j -0.0105712+0.0818795j -0.0358837-0.032058j 
0.0513988-0.0398367j 0.0429839-0.0065478j 0.0530998-0.00206937j -0.09118-0.0447388j -0.127844-0.13519j -0.00482651+0.0121725j -0.00758677+0.0376471j -0.0474284+0.0688845j 0.0356505-0.0236552j -0.023148+0.0592383j -0.0565161-0.0455553j -0.0983647-0.0384174j -0.0080859+0.00522359j -0.0305343-0.0431468j -0.00422972+0.0174037j 0.0450645-0.0314157j 0.00981559+0.00993318j 0.172224+0.0629552j -0.0379619-0.0731859j -0.0140803-0.0909645j -0.0878753-0.00705504j -0.0222539-0.0732455j -0.162983-0.116295j -0.0308104+0.161078j 0.172263+0.0723079j 0.230817+0.0305297j 0.132255+0.247023j -0.021471+0.104724j -0.140065+0.178518j 0.00921821+0.00221285j -0.0295771+0.0069445j -0.0532147+0.00143057j 0.0277516+0.0238813j -0.00942823-0.0283901j 0.0170242+0.0335763j 0.0231913+0.00260729j 0.0157389-0.00791784j 0.0193596-0.0149089j 0.0126233+0.000195122j -0.00531996+0.0179067j -0.0065463-0.0168662j 0.00505186+0.0208673j -0.00228054-0.0070786j -0.00505582+0.0174963j -0.00111625-0.013055j -0.010178-0.0226193j -0.00346587-0.000344912j 0.0140565+0.0160501j -0.00307925-0.000317716j -0.0568802-0.0212203j -0.00912642-0.0277388j -0.00482724-0.0057052j -0.0110929-0.0342425j -0.0212601+0.0114196j 0.0383668-0.019184j -0.012555+0.0256377j 0.0163735+0.0131743j 0.0728273-0.00794893j 0.0386379+0.0119014j -0.059532-0.00676814j 0.0593398-0.0201222j 0.0172889+0.0583627j -0.0503864-0.0409704j 0.0148418+0.0479688j -0.059169-0.0073746j -0.0722756-0.0516438j 0.0832584-0.0574149j 0.0372349-0.0335066j 0.0192225-0.0129798j 
0.0546345+0.00398192j 0.0588379-0.0307899j -0.0968666+0.00718419j 0.0779836+0.0125047j 0.0819737-0.0102166j 0.100817+0.0565886j -0.0198275+0.0514642j -0.0103824+0.0500947j -0.0488682+0.0995705j -0.0389002+0.0574051j 0.0472256-0.0291377j 0.0222034+0.0240044j 0.0130477-0.0118545j -0.00569961+0.0449601j -0.0103844+0.0334044j 0.0106295-0.0327569j 0.0742823+0.0899028j 0.0477275+0.0458928j 0.0257054-0.0172298j 0.00822288-0.0692738j 0.0548705+0.124962j 0.0106756-0.019984j -0.00171722-0.126054j 0.135586-0.0158151j -0.0463045-0.04414j 0.0744315+0.0937297j 0.0804197+0.0587248j 0.163184-0.202097j 0.0781966+0.178513j -0.0116503-0.0555719j -0.0869666+0.00985021j 0.0444547-0.00650532j 0.0200939-0.0191565j -0.0262464-0.0230586j 0.0258037-0.0204379j -0.00319189-0.03154j -0.00931279-0.00600707j 0.00352656-0.033905j -0.0130606+0.0107378j 0.00957785+0.0127405j -0.0266977+0.0184328j 0.0177749+0.00157243j -0.0245743-0.00184017j -0.016628-0.0010241j -0.0103057+0.0294067j 0.0071909+0.00739791j 0.0103094-0.00694066j -0.0197429+0.00449562j -0.00851036+0.0200209j 0.010702-0.00982707j 0.0107988-0.0253166j -0.0195528+0.0111182j -0.0195693+0.0088696j 0.012601-0.0169028j 0.00535891-0.0097766j -0.0322047+0.00905469j -0.0245024-0.0112276j 0.0258747+0.0128906j 0.0248783+0.00329968j 0.0132792+0.0391222j 0.00207437+0.0210497j -0.00163995-0.00905939j 0.00588216-0.0331037j 0.0275846+0.015216j -0.0053412-0.00749063j -0.0716596-0.00586746j -0.000709359+0.0166734j -0.0305894+0.00560593j 0.0176137-0.0714249j 
0.0820101-0.0744857j -0.0452234+0.0329153j 0.0652006+0.00745958j 0.0121836+0.0222931j 0.0361999+0.000793642j 0.0120627-0.025422j 0.0151573+0.0381139j -0.0537119-0.0682406j 0.0771686+0.0664203j -0.0418987-0.00716582j 0.0024306+0.00571284j 0.0202699+0.0375506j -0.0524674-0.00882445j 0.0219821+0.0156089j -0.0772301+0.00661027j 0.0626006-0.0133909j 0.093822-0.0632812j 0.0652825+0.0772237j 0.121691-0.105391j 0.0496724-0.113391j -0.00067443-0.0203669j 0.0587259-0.0723854j -0.118213-0.0132773j -0.0730868-0.114631j -0.0629362-0.0649908j -0.0303284-0.0176437j -0.0718738+0.138035j -0.162801-0.173745j 0.0340268-0.148203j -0.0887056+0.0337126j -0.0189646+0.0649402j -0.0251423-0.0397294j -0.016231+0.0154235j 0.0033605-0.0128123j -0.0143676-0.0307153j -0.0142381+0.00595494j 0.0151573-0.00258078j -0.00119794+0.00162123j 9.28454e-05-0.0017379j 0.00947046-0.00238715j -0.00103193+0.016964j -0.0019514-0.0165817j -0.00749776+0.00499562j -0.0127471+0.0179781j -0.00148013+0.00800643j 0.00286545+0.00179429j -0.00583016-0.0146787j 0.0193614+0.00455885j 0.00876769+0.0210496j -0.00644426+0.00492462j -0.0116505+0.0039848j 0.000504608-0.00083454j 0.0287739+0.0150132j 0.0191843-0.00838813j 0.0170381+0.00973706j 0.00879613+0.00558946j -0.0621225-0.00366858j 0.0646175+0.0120386j 0.00926374+0.00570803j 0.00925469-0.0222429j 0.0270213+0.0509766j -0.0177334+0.0586525j -0.0386105-0.0642946j 0.0030416-0.0114951j -0.0298548-0.0026954j -0.0285542-0.0358939j -0.0276918-0.0341956j 0.00404734+0.071965j -0.0351529-0.00208158j 
0.0310704-0.06006j 0.0441747-0.0900644j 0.17719-0.0477073j -0.0126724+0.0112501j -0.0713389+0.00075753j -0.117452-0.019853j 0.00411671-0.0251233j 0.00606863+0.0943744j 0.0248294-0.0416282j -0.0085216+0.0806374j -0.106543-0.0186561j -0.120861+0.0460752j -0.0661038-0.0640604j -0.011447-0.00962765j 0.0169334-0.0418727j 0.0756846+0.00729627j 0.0464196-0.0182379j -0.00440779-0.0318989j -0.0212184-0.0114554j -0.12247-0.0586472j 0.0304879-0.0635021j 0.0662177-0.0805705j 0.0285961-0.0343205j 0.0421109-0.0148458j 0.0605549-0.0179111j -0.133827-0.0644909j 0.12092+0.0522885j -0.0989469+0.00974808j 0.163091-0.00235815j -0.0139049+0.00104952j -0.00551952+0.0522982j -0.0552986+0.0112793j -0.0134585-0.0128017j -0.00132238+0.0188572j 0.0030922+0.0134605j 0.00974316-0.0126716j -0.0162545-0.0161404j -0.00242516-0.00845127j -0.000332678+0.000520112j 0.00255459+0.0156648j 0.00109327-0.00135425j 0.00804424+0.0018072j 0.00904473+0.00796082j -0.031141+0.00818717j 0.0131502-0.0147332j -0.00116345-0.0138487j 0.00250778-0.00328315j 0.00819279+0.0203678j 0.0169537+0.00274894j -0.0394077+0.00848983j -0.0142976-0.0220653j 0.0121517+0.00794004j -0.0395461-0.00634535j 0.000362926+0.00409788j -0.0372206-0.0323657j -0.030976-0.0120973j 0.021066+0.0095673j -0.00688603-0.0374478j -0.0111652-0.0588698j 0.0090628-0.0194664j 0.0212098-0.0315596j 0.015486-0.00438575j 0.0326725+0.0277412j 0.0178928+0.0212925j 0.0104369+0.0463495j -0.00972257-0.0368447j 0.00142924+0.0133907j 0.0031592+0.00234044j -0.0171813+0.00569032j 
0.0245355-0.0489698j 0.0161916-0.0122362j 0.105526+0.0165632j -0.030809-0.00232319j -0.0152585-0.0877731j 0.0371415+0.0191726j 0.0215552+0.0328397j -0.0424423+0.0655029j 0.153612-0.0223391j -0.102469+0.0299286j 0.116358-0.0247813j -0.0441738+0.00644615j -0.00656086+0.081554j 0.0335584+0.0812258j -0.032636+0.0851154j -0.147449-0.13918j -0.115844-0.051471j -0.0335221+0.0488434j -0.100999+0.211894j 0.156432-0.123555j 0.163104-0.0302896j -0.184262-0.231834j -0.133205-0.111412j 0.0193048-0.00830596j 0.00548992-0.1268j 0.0600685+0.0533484j -0.0260615+0.0437789j 0.0650895-0.144034j 0.19731+0.180579j -0.0406738-0.0372247j -0.0639807+0.0529414j -0.0321241-0.0379524j -0.0243474+0.00780534j 0.00139193-0.0199639j -0.00379005-0.00808695j -0.0245018-0.0177289j 0.0040248+0.000502723j 0.00159742-0.0242568j 0.0192538+0.00594331j -0.0140953-0.0153455j 0.0219983+0.0147883j -0.0119245-0.00348899j -0.00829526-0.018205j -0.0109071+0.00724637j 0.0176563+0.0037981j 0.016369-0.00279669j 0.017703-0.00443206j -0.0093275+0.0163241j -0.0325875+0.0175304j -0.0234407-0.0287024j -0.0268039+0.0159615j -0.0122131-0.0256452j 0.0174871-0.00358673j -0.0333937+0.0236485j 0.0516993-0.00185515j 0.03868+0.0548377j -0.00573205-0.00396736j 0.00988166-0.000140031j 0.0238134-0.0307537j 0.0250921+0.0191561j -0.0294486-0.00924113j -0.000578953-0.00523465j 0.0042689+0.0130187j 2.16642e-06+0.0150902j 0.0157005+0.0222369j 0.0125717-0.013193j 0.0147199-0.024392j -0.0563009+0.0213226j -0.0355138-0.0584568j 
0.025999-0.0315979j -0.0175353+0.00895224j 0.00313526-0.0615678j 0.0243272+0.0243969j 0.0743822+0.0440193j -0.0338675+0.0310314j 0.049141+0.0323533j -0.0917018-0.0716659j 0.0489254+0.0995078j -0.0952099-0.000676968j -0.0906382-0.0301906j 0.0765082+0.0260979j -0.0443597+0.000568402j 0.0244662+0.147789j 0.0421292-0.102795j 0.0550651-0.0688527j -0.0688775-0.0549796j 0.0969493+0.000742122j -0.00540374-0.145596j 0.0249487+0.0063829j 0.127807+0.053202j 0.255066+0.105875j 0.16417-0.0339653j -0.0156163-0.0606616j -0.0379119+0.0726141j 0.171005-0.0390403j 0.253275+0.219461j -0.0424688-0.14437j 0.0631262-0.0407512j -0.0676622+0.0411749j 0.0108941+0.0686732j -0.0162068+0.000268485j -0.0115751+0.00875954j 0.0185658+0.00594366j -0.0229915-0.0367032j 0.00291785+0.0217816j 0.0250813+0.00104723j 0.0155763+0.0214266j 0.00484947+0.000663477j -0.00431103-0.00201106j -0.00401404-0.00555937j -0.00587496-0.000820795j -0.00189358+0.0320948j -0.00229629+0.00692092j 0.000174172-0.000629315j -0.000157713+0.000860988j -0.00588682-0.0133606j -0.00609024-0.0253411j -0.0116933+0.0123055j 0.0194567-0.0160126j 0.024246+0.0202766j 0.0258519+0.0187839j 0.0121049-0.00449949j -0.0605925-0.0270967j -0.00686216-0.0020855j 0.000193429+0.0474135j 0.0316274+0.0128115j -0.000115807-0.0117407j -0.00858791+0.0208754j 0.0195571+0.000460437j 0.000701924-0.00347728j -0.0258806-0.00128421j 0.00461514-0.00895266j -0.0133525+0.00261978j 0.00450244+0.00101192j -0.0200067+0.030564j -0.00108218+0.00301539j 0.0332496+0.0479987j -0.0396756+0.0175854j 
0.00212685+0.0303822j 0.0350705-0.0465244j 0.025601+0.117485j -0.0209894+0.0113919j -0.0100264-0.0274479j 0.00892223+0.0250809j -0.0802167+0.0953091j -0.0567096+0.0398504j 0.0124449+0.0728858j -0.106822+0.026725j -0.0469908-0.016575j -0.0496683+0.0895551j 0.0429749+0.12281j -0.0321574+0.0225591j 0.00583272-0.0427364j 0.101742-0.0997847j 0.00715568-0.23849j 0.00925513-0.168585j 0.0082787-0.170018j -0.177546-0.0239011j 0.0351607+0.155847j -0.00313811+0.0441069j 0.0667064+0.128682j -0.0281817-0.0108892j 0.0477361-0.0130812j -0.127849+0.178266j -0.200995-0.0144301j -0.233301+0.0361213j 0.0705153-0.121987j 0.00527494-0.00245051j 0.012911+0.0162454j -0.0471748-0.0280653j -0.00365094+0.0128733j 0.00187169-0.0101218j 0.00983187-0.00952387j -0.0122224-0.000733385j 0.0160738-0.00930656j -0.00592834+0.00526152j 0.0140263+0.0288121j -0.00637898-0.0342053j 0.0201316+0.00228701j -0.01028-0.000449415j -0.00525102+0.00579314j -0.0320273+0.014498j 0.00869418+0.0142688j 0.00422643+0.0075174j 0.0146946-0.0243927j -0.00930813-0.0286399j 0.00680484-0.012529j -0.00520312-0.031776j 0.0281396-0.00463136j 0.00884798+0.0150853j 0.0113592-0.0132514j -0.0238404-0.00861548j 0.0222232+0.0336629j -0.025519+0.0478038j 0.0179128+0.0301777j 0.0146776-0.0253382j -0.034895-0.017428j 0.0220361+0.00233848j 0.0264735+0.00110423j 0.015378-0.0397768j 0.00760691-0.00476968j -0.00269938-0.00559777j 0.014978+0.00710665j 0.0202171+0.0107639j 0.0230841+0.0146973j 0.028728+0.028608j -0.0510857+0.0205811j 
